@relation KC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R2

@attribute ev(g) numeric
@attribute l numeric
@attribute i numeric
@attribute t numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute defects {false,true}

@data
9,0.04,54.5,2313.26,0,10,1,22,true
8,0.03,70.65,3236.41,11,9,0,21,true
1,0.05,63.49,1271.26,0,2,0,15,true
1,0.33,16.73,8.36,0,1,0,6,true
1,0.1,60.03,339.06,0,0,0,11,true
1,0.05,58.78,1117.59,0,1,0,15,true
8,0.05,35.44,797.94,3,2,0,17,true
1,0.05,68.37,1824.2,6,16,0,20,true
1,0.2,101.02,134.75,0,0,0,7,true
10,0.03,59.66,3682.78,0,12,0,20,true
6,0.03,101.78,5003.41,4,16,0,22,true
1,0.12,42.94,179.92,0,0,0,11,true
1,0.05,67.96,1420.61,7,7,0,17,true
3,0.09,39.13,244.51,3,5,0,13,true
1,0.4,19.93,6.92,0,1,0,5,true
1,0.1,16.67,88.03,0,0,0,13,true
1,0.13,14.75,52.46,0,1,0,8,true
1,0.19,25.1,38.43,1,1,0,9,true
18,0.04,143.73,4332.81,17,23,0,18,true
22,0.02,60,7258.83,6,24,0,30,true
1,0.08,29.12,249.91,0,2,0,12,true
1,0.12,19.13,76.8,0,1,0,9,true
1,0,0,0,0,0,0,0,true
3,0.11,24.93,105.05,0,8,0,11,true
4,0.06,22.55,362.08,0,1,0,17,true
7,0.04,50.98,1843.56,2,11,0,19,true
1,0.15,20.61,48.38,1,7,0,10,true
1,0.08,14.78,121.93,0,1,0,13,true
21,0.02,63.84,6877.97,3,58,0,28,true
1,0.06,18.77,263.24,0,13,0,11,true
1,0.12,21.51,86.34,0,0,0,11,true
3,0.06,20.24,281.93,0,3,0,19,true
5,0.07,52,607.36,10,11,4,16,true
1,0.09,27.14,175.86,11,4,0,9,true
1,0.29,17.08,11.63,0,0,0,7,true
1,0.4,17.75,6.16,0,0,0,5,true
1,0.33,11.2,5.6,0,0,0,4,true
1,0.07,53.73,606.19,3,6,0,14,true
1,0.3,28.2,17.85,4,5,0,6,true
1,0.2,24.8,34.44,0,4,0,8,true
1,0.14,17.74,50.28,0,2,0,10,true
1,0.09,19.35,122.33,2,2,0,12,true
1,0.1,44.93,251.9,2,3,1,13,true
1,0.2,12.44,16.59,3,1,0,7,true
3,0.06,35.28,584.71,0,4,0,20,true
1,0.19,25.66,38.55,18,0,0,8,true
1,0.14,64.5,182.83,0,1,0,10,true
1,0.33,29.33,14.67,0,0,0,6,true
1,0.91,45.63,3.07,0,1,0,2,true
3,0.07,38.26,415.14,0,2,0,13,true
10,0.04,90.59,3734.06,26,25,0,22,true
10,0.05,79.19,2166.89,24,18,0,23,true
6,0.06,71.07,1249.03,8,5,0,18,true
1,0.25,19.53,17.36,0,0,0,8,true
1,0.22,20.31,22.84,0,0,0,7,true
1,0.22,20.31,22.84,0,0,0,7,true
1,0.22,20.31,22.84,0,0,0,7,true
1,0.22,20.31,22.84,0,0,0,7,true
1,0.15,16.52,43.16,0,2,0,8,true
1,0.08,34.3,322.02,4,5,0,13,true
1,0.08,52.11,411.76,4,3,0,14,true
1,1,8,0.44,0,0,0,2,true
3,0.05,50.41,1064.87,0,5,0,18,true
5,0.06,42.97,689.84,1,6,0,18,true
7,0.04,32.56,1234.59,2,5,1,22,true
1,0.06,73.18,973.54,2,5,0,17,true
13,0.06,67.29,1011.74,2,3,0,12,true
7,0.02,116.45,13041.31,9,15,0,23,true
1,0.04,69.72,1924.82,7,5,0,15,true
5,0.06,68.88,917.4,10,3,0,16,true
1,0.03,51.83,2412.84,4,13,0,22,true
1,0.16,11.53,26.38,10,2,1,7,true
8,0.04,54.22,1652.6,6,10,1,21,true
1,0.16,28.02,61.25,0,1,0,6,true
1,0.05,33.91,744.25,0,10,0,18,true
1,0.16,29.24,67.14,0,1,0,10,true
1,0.16,29.24,67.14,0,0,0,10,true
3,0.03,42.58,2861.24,0,8,0,31,true
1,0.19,32.64,48.88,2,3,0,9,true
1,0.4,6.2,2.15,0,0,0,5,true
8,0.05,140.96,3615.95,44,32,0,19,true
1,0.18,59.23,103.2,0,0,0,8,true
1,0.18,59.23,103.2,0,0,0,8,true
4,0.04,43.97,1376.94,8,12,1,17,true
1,0.19,33.22,52.5,0,0,0,8,true
3,0.04,85.07,3400.71,2,9,0,22,true
1,0.21,14.27,17.27,0,2,0,7,true
1,0.07,53.34,633.44,10,12,0,16,true
1,0.32,69.59,38.19,0,2,0,6,true
10,0.04,83.5,3533.74,8,6,0,20,true
12,0.03,56.51,3977.71,35,11,0,23,true
1,0.11,27.09,130.4,3,3,0,11,true
4,0.03,37.62,1843.52,2,7,0,22,true
7,0.02,35.46,3165.6,0,12,0,25,true
14,0.02,60.37,5986.67,1,12,0,28,true
1,0.06,51.09,726.66,10,7,0,16,true
15,0.02,68.18,8845.33,2,11,0,31,true
1,0.17,55.71,105.32,1,1,0,8,true
1,0.4,26.64,9.25,0,0,0,5,true
1,0.06,58.17,773.3,16,17,0,15,true
8,0.03,41.39,2130.72,10,13,2,23,true
1,1,8,0.44,0,0,0,2,true
6,0.03,57.39,2953.07,1,18,0,25,true
3,0.03,60.01,3255.76,0,14,0,23,true
12,0.03,41.82,2261.59,23,13,0,26,true
5,0.05,19.69,493.98,0,3,0,15,true
6,0.06,137.08,2467.5,2,15,0,18,true
16,0.02,64.47,8712.42,9,16,7,30,true
1,0.38,11.58,4.57,0,0,0,4,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0.29,18.03,12.27,0,2,0,5,false
1,0.38,11.58,4.57,0,0,0,4,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,0.27,29.44,23,0,2,0,6,false
1,0.29,18.03,12.27,0,2,0,5,false
1,0,0,0,0,0,0,1,false
1,0.29,18.03,12.27,0,2,0,5,false
1,0,0,0,0,1,0,1,false
1,0.14,14.02,41.88,0,2,0,8,false
3,0.1,18.89,104.93,0,2,0,12,false
3,0.1,18.89,104.93,0,2,0,12,false
3,0.1,18.89,104.93,0,2,0,12,false
1,0.19,27.26,40.96,0,2,0,8,false
5,0.09,36.3,260.95,1,6,0,13,false
1,0.17,21.22,39.36,0,1,0,8,false
1,0.06,30.53,426.51,0,1,0,12,false
3,0.09,42.34,314.63,3,3,0,14,false
1,0.1,28.99,161.05,0,5,0,10,false
1,0.11,16.58,77.41,0,1,0,10,false
1,0.1,20.22,118.86,0,4,0,9,false
1,0.21,13.88,17.76,0,2,0,8,false
1,0.15,16.2,40,0,3,0,10,false
1,0.11,27.25,132.33,0,2,0,11,false
9,0.06,46.69,809.62,4,2,0,16,false
1,0.06,45.08,627.28,4,4,0,13,false
5,0.04,77.47,2334.5,9,5,0,15,false
1,0.11,25.17,117.49,1,1,0,11,false
1,0.11,25.17,117.49,1,1,0,11,false
1,0.11,25.17,117.49,1,1,0,11,false
1,0.13,68.36,227.51,1,4,0,9,false
1,0.19,28.87,43.37,0,0,0,8,false
1,0.17,42.41,81.09,0,0,0,8,false
1,0.08,68.24,576.11,0,2,0,13,false
1,0.18,52.46,89.95,0,0,0,8,false
1,0.04,39.51,1264.38,6,6,0,16,false
1,0.1,17.03,96.17,0,1,0,11,false
1,0.1,18.95,111.95,0,2,0,11,false
1,0.11,11.92,53.66,0,1,0,9,false
1,0.09,29.77,226.41,2,2,0,9,false
3,0.05,30.49,579.72,0,2,0,13,false
1,0.04,27.84,865.48,2,1,0,15,false
1,0.09,22.65,143.16,0,1,0,12,false
9,0.06,28.74,454.69,1,1,0,15,false
11,0.03,115.99,6989.35,11,17,0,19,false
1,0.33,14.99,7.5,0,1,0,6,false
1,0.4,15.95,5.54,0,1,0,5,false
1,0.08,22.64,212.57,0,4,0,11,false
1,0.21,16.32,19.74,0,0,0,8,false
3,0.07,39.09,469.92,0,2,0,13,false
1,0.25,18.08,16.07,0,2,0,7,false
5,0.05,43.7,902.89,4,5,0,15,false
1,0.33,13.84,6.92,0,1,0,6,false
1,0.11,39.2,186.86,0,3,0,11,false
1,0.17,17.98,33.43,1,2,0,9,false
1,0.11,42.3,190.37,0,1,0,9,false
5,0.06,32.04,514.4,1,4,0,15,false
1,0.1,19.44,114.29,0,2,0,9,false
1,0.33,28,14,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.33,21.58,10.79,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.67,7.74,0.97,0,1,0,3,false
1,0.16,19.71,45.25,0,2,0,10,false
1,0,0,0,0,0,0,0,false
1,0.06,35.3,566.79,0,2,1,14,false
1,0,0,0,0,0,0,0,false
1,2,23.22,0.32,0,0,0,1,false
1,2,23.22,0.32,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,1,18.09,1.01,0,0,0,2,false
1,0.4,14.4,5,0,1,0,4,false
1,1,18.09,1.01,0,0,0,2,false
1,0.3,20.76,12.81,0,3,0,5,false
1,2,31.02,0.43,0,0,0,1,false
1,0,0,0,0,0,0,1,false
1,1,13.93,0.77,0,0,0,2,false
1,0,0,0,0,0,0,1,false
1,0.09,70.66,528.21,1,5,0,12,false
1,0,0,0,0,0,0,0,false
1,1,4.75,0.26,0,0,0,2,false
1,0.3,20.76,12.81,0,3,0,5,false
1,1,18.09,1.01,0,0,0,2,false
1,1,18.09,1.01,0,0,0,2,false
1,0.25,15.78,14.03,0,2,0,5,false
1,0.23,58.94,62.67,0,0,0,7,false
1,0,0,0,0,0,0,1,false
1,0.3,20.76,12.81,0,3,0,5,false
1,0.5,16.84,3.74,0,0,0,2,false
1,0.64,26.22,3.6,0,0,0,2,false
1,0.38,22.2,8.77,0,1,0,4,false
3,0.11,24.39,116.52,0,2,0,12,false
1,0.18,35.36,59.43,0,2,0,10,false
8,0.05,58.5,1120.92,4,7,0,16,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,9.6,3.33,0,1,0,5,false
1,0.4,9.6,3.33,0,1,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,9.6,3.33,0,1,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,12.68,4.4,0,0,0,5,false
1,0.4,9.6,3.33,0,1,0,5,false
1,0.04,52.56,1497.5,5,4,0,18,false
1,0.04,27.12,911.02,2,2,0,19,false
10,0.03,36.77,2477.4,5,7,0,18,false
1,0.05,39.07,1039.42,3,4,0,12,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
3,0.06,43.01,581.45,0,1,0,13,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.21,16.32,19.74,0,0,0,8,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.16,14.45,32.89,0,2,0,8,false
1,0.16,14.45,32.89,0,2,0,8,false
1,0.15,16.56,40.89,0,3,0,8,false
1,0.5,11.23,2.5,0,0,0,4,false
1,0.5,13.5,3,0,2,0,4,false
1,0.14,15.06,44.98,0,2,0,8,false
1,0.16,14.45,32.89,0,2,0,8,false
1,0.16,14.45,32.89,0,2,0,8,false
1,0.17,15.23,30.46,0,3,0,8,false
1,0.16,14.45,32.89,0,3,0,8,false
1,0.16,14.45,32.89,0,3,0,8,false
1,0.5,11.23,2.5,0,0,0,4,false
1,0.17,15.23,30.46,0,3,0,8,false
1,0.27,12.4,9.69,2,1,0,6,false
1,0.17,11.35,22.7,0,4,0,8,false
1,0.16,14.45,32.89,0,2,0,8,false
1,0.16,14.45,32.89,0,3,0,8,false
1,0.17,15.23,30.46,0,3,0,8,false
1,0.19,14.28,22.56,0,4,0,8,false
1,0.16,14.45,32.89,0,3,0,8,false
1,0.19,14.28,22.56,0,4,0,8,false
1,0.16,14.45,32.89,0,2,0,8,false
1,0.16,14.45,32.89,0,3,0,8,false
1,0.16,14.45,32.89,0,3,0,8,false
5,0.05,35.23,654.11,2,3,0,15,false
1,0.16,21.02,45.21,0,0,0,8,false
1,0.33,28,14,0,1,0,6,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.5,5.8,1.29,0,0,0,4,false
1,0.5,5.8,1.29,0,0,0,4,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.22,4.44,5,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.67,7.74,0.97,0,0,0,3,false
1,0.08,22.36,192.9,0,1,0,12,false
1,0.08,22.36,192.9,0,1,0,12,false
1,0.1,24.4,132.87,2,1,0,11,false
1,0.67,12.06,1.51,0,0,0,3,false
1,0.67,12.06,1.51,0,0,0,3,false
1,0,0,0,0,0,0,2,false
1,0.1,74.84,400.52,0,2,0,10,false
1,0.67,5.33,0.67,0,0,0,3,false
1,0.67,12.06,1.51,0,0,0,3,false
1,0.67,12.06,1.51,0,0,0,3,false
1,0.29,8.15,5.55,0,0,0,7,false
1,0.09,40.66,312.49,7,4,0,13,false
1,0.4,9.6,3.33,0,0,0,5,false
3,0.09,45.68,292.56,1,1,0,12,false
3,0.08,56.16,460.72,1,1,0,13,false
3,0.08,81.84,654.69,0,2,0,15,false
3,0.06,13.14,201.82,0,1,0,14,false
1,0.09,16.21,109.03,0,1,0,11,false
1,0.06,68.06,938.81,0,3,0,16,false
3,0.09,45.65,309.67,1,0,0,13,false
1,0.06,49.98,745,4,4,0,13,false
1,0.21,15.5,18.75,2,2,0,8,false
1,0.16,14.8,32.61,0,1,0,7,false
1,0.06,57.43,864.1,1,4,0,18,false
1,0.3,22.83,14.09,1,2,0,5,false
5,0.05,43.27,811.6,4,4,0,15,false
