@relation 'mozilla-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R1-3,12-13'

@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
0.824381,0.268021,0.020403,332.318182,1,164,130151,0.507576,1930,1
0,0,0,0,1,38,3660,0.5,36,0
0.847568,0.087696,0.017016,254.666667,0,55,53,1,179,0
0,0,0,0,1,18,407,1,34,0
0.541267,0.24913,0.036557,272.105263,1,30,1056,0.684211,118,1
0.895754,0,0.003646,1462.666667,1,57,51,1,381,0
0.940921,0.090949,0.012362,453,0,19,20,0.6,201,0
0.897482,0.003625,0.005638,827.666667,0,19,14,0.666667,176,0
0,0,0,0,1,26,1589,0.5,34,0
0,0,0.842105,1.727273,1,26,2309,0.545455,23,0
0.579158,0.015431,0.008238,718.25,1,56,93,0.25,123,1
0,0,0,0,1,39,4536,0.75,278,0
0,0,0,0,0,6,2,0.5,1912,0
0.68498,0.017739,0.047236,323.2,0,74,926,0.8,963,1
0.438756,0.020979,0.084454,371.8,1,77,248,0.6,109,0
0.879823,0.008162,0.000517,879.909091,1,119,134,0.545455,584,0
0.026898,0.63583,0.521292,17.025,1,16,1618,0.35,346,1
0.553811,0.122904,0.279599,399.5,0,99,343,0.8,117,0
0,0,0,0,0,6,126,0.333333,12,0
0.588567,0.032911,0.000844,748.421053,1,124,165,0.578947,6031,1
0.776606,0.069421,0.085198,472.222749,0,169,19994,0.341232,4265,1
0,0.004209,0,332.6,1,7,14,0.4,88,1
0,0.1875,0,16,1,5,2,1,81,0
0.538728,0.050096,0.487476,59.884615,1,38,1297,0.461538,569,0
0.664053,0.024005,0.024691,393.693694,1,147,14335,0.522523,5851,1
0,0,0,92,1,1,0,0.5,2,0
0.690539,0.019099,0.047682,446.588235,1,104,1219,0.705882,177,1
0,1,1,0,0,22,8179,0.1,28,0
0,0,0,797,1,1,0,1,16,0
1,0.156863,0,51,1,11,270,0.5,3697,0
0.978185,0.003497,0.002152,371.8,1,32,26,0.3,250,0
0.818488,0.015021,0.005879,516.245614,0,103,2745,0.666667,642,0
0.68527,0.005184,0.00311,275.571429,0,62,11,0.571429,1337,0
0,0.093168,0.055901,161,1,5,2,1,115,0
0.804328,0.029887,0.020014,716.807692,1,120,596,0.807692,192,0
0.599819,0.086373,0.036851,957.344262,0,154,4213,0.770492,2076,0
0.259879,0.034845,0.031549,4247.333333,0,90,510,1,834,0
0.814181,0.001545,0.001255,2071.2,0,63,1121,0.6,616,0
0.40995,0.036749,0.028633,985.666667,0,102,741,0.555556,632,0
0,0.002401,0.002401,833,0,11,164,1,55,0
0.725099,0.012851,0.008375,1327.470588,0,102,2289,0.647059,115,0
0.771599,0.004227,0.002155,1340.555556,0,111,1342,0.777778,860,0
0.573362,0.01177,0.007167,1716.3,0,136,1229,1,83,0
0.89507,0.000743,0.0008,4375.25,0,98,691,0.75,747,0
0.412791,0.018565,0.008867,515.571429,0,52,674,0.714286,553,0
0.810586,0.002121,0.002925,1709.3125,1,145,1870,0.6875,758,0
0.223813,0.013953,0.009163,2401,0,57,207,1,555,0
0.771431,0.004615,0.003996,1480.583333,1,109,1428,0.666667,742,0
0.970951,0.001406,0.000937,2134,0,82,201,1,531,0
0.600549,0.005639,0.010118,1205.8,1,89,359,0.8,670,0
0.835393,0.004404,0.005169,1044.6,0,53,332,0.6,38,0
0.662267,0.019443,0.012211,2108.75,0,121,344,0.75,598,0
0.648401,0.002275,0.002427,2930.222222,0,128,694,0.777778,608,0
0.747966,0.006082,0.005442,2343,0,99,138,1,456,0
0,0.003617,0,553,1,20,36,1,41,0
0.667763,0.002641,0.003381,1893.2,0,87,284,0.6,66,0
0.937011,0.036353,0,508.9,1,99,829,0.8,10,0
0.519026,0.054316,0.00679,257.75,1,60,363,0.75,27,0
0.600174,0.017433,0.009307,693.545455,1,56,397,0.363636,48,0
0.744014,0.034906,0.003255,1117.272727,0,80,6876,0.909091,1362,0
0.826074,0.000173,0.000778,3856.333333,0,122,1669,0.666667,746,0
0.721986,0.008893,0.010974,1761.777778,0,130,5606,0.888889,1311,0
0.801139,0.003625,0.004961,1310.25,0,40,2244,0.5,763,0
0,0.006135,0.004172,4075,0,52,525,1,68,0
0.27331,0.007019,0.009732,2671.5,0,123,1882,1,1250,0
0.747051,0.010763,0.014188,511,0,30,2523,1,611,0
0,0.00112,0.000373,8034,0,104,462,1,591,0
0.710085,0.005548,0.004602,1982.625,0,123,4573,0.875,1242,0
0.136746,0.011766,0.010677,3059.666667,0,106,1741,1,596,0
0.83105,0.004058,0.001395,1577.2,0,99,2159,0.8,1218,0
0,0.16129,0.064516,31,0,6,642,1,550,0
0.652448,0.001851,0.001851,1860.888889,0,115,4546,0.888889,1206,0
0.56651,0.001817,0.000661,6054.5,0,111,790,1,560,0
0.124721,0.003283,0.006959,2538.666667,0,86,1185,0.666667,632,0
0.85212,0.000938,0.000772,3625.4,0,127,1910,1,1074,0
0.99865,0.001347,0.001422,2672.4,0,119,1948,0.6,575,0
1,0,0.000529,1890,0,59,726,0.5,84,0
0.426229,0.008738,0.008326,6065.5,0,111,730,1,536,0
0.589066,0.01716,0.026002,1522.933333,0,123,5145,0.8,1041,0
0.994737,0.001029,0.000643,2591,0,87,1034,0.666667,128,0
0.85999,0.001422,0.002719,4045,0,126,1308,0.75,573,0
0.746122,0.00332,0.000922,2711.25,0,107,1486,0.75,527,0
0.604774,0.00913,0.00909,1815.142857,0,141,5088,0.785714,1023,0
0.771101,0.003214,0.002741,1511.428571,0,111,2325,0.857143,998,0
0,0.002015,0.000252,3970,0,47,296,1,38,0
0.293676,0.003679,0.00096,6252,0,107,570,1,473,0
0.800381,0.001721,0.001721,2615.166667,0,121,1620,1,911,0
0.464898,0.013861,0.014394,3751.666667,0,108,802,1,432,0
0,0.002023,0,3954,0,47,285,1,34,0
0.511652,0.002179,1.238017,1101.6,0,46,1506,0.6,439,0
0.562685,0.016098,0.012343,2777.714286,0,130,1848,0.714286,524,0
0.714989,0.003314,0.010772,1056,0,104,2390,0.75,907,0
0.543564,0.000203,0.001418,2468,0,70,610,1,453,0
0.892094,0.004555,0.001426,2414.888889,0,133,2486,1,869,0
0.789989,0.015834,0.017551,1747.277778,0,145,4680,0.722222,915,0
0.55513,0.029653,0.050029,1455.307692,0,133,6349,0.615385,800,0
0.596103,0.046753,0.027288,1398.828571,0,149,9309,0.657143,814,0
0.760605,0.00459,0.005762,2047.866667,0,127,3333,0.733333,746,0
0.992215,0.001823,0.008204,365.666667,0,29,291,0.666667,288,0
0.748508,0.020722,0.004144,422.25,0,41,740,1,293,0
0.699822,0.019403,0.011629,2295.384615,0,121,1744,0.692308,572,0
0.817363,0.024975,0.006799,1190.870968,1,116,4380,0.548387,460,0
0.675343,0.018902,0.017178,1945,1,122,1650,0.705882,445,0
0.722329,0.007004,0.003096,3391,0,111,496,1,411,0
0.779271,0.003197,0.002093,2627.8,0,129,827,0.8,454,0
0.742422,0.02801,0.032319,1877.590909,1,134,2066,0.727273,443,0
0.698263,0.251327,0.093805,141.25,0,42,1140,1,525,0
0,0.096273,0.062112,322,0,2,0,1,118,0
0.678678,0.018716,0.006919,2254.8,0,123,792,1,169,0
0,0.023715,0,1012,0,60,181,1,51,0
0.755451,0.021267,0.000443,752.333333,0,74,411,1,1592,0
0,0,0.003417,878,0,55,595,1,117,0
0,0.026565,0,527,0,24,515,1,38,0
0,0.07619,0,210,0,7,614,1,77,0
0.834202,0.019774,0.011299,236,0,40,2461,0.666667,75,0
0,0.001147,0,872,0,55,446,1,99,0
0.951763,0.025856,0.00076,657.5,0,60,788,1,25,0
0.985228,0.010912,0,641.5,0,59,638,1,18,0
0.862819,0.00989,0.00299,1449.333333,0,50,863,1,99,0
0,0.010276,0,1849,0,36,130,1,59,0
0.27799,0.874693,0.250614,610.5,1,48,932,1,54,0
0.458686,0.013151,0.002233,2015,0,46,148,1,44,0
0,0.131212,0.037409,1791,0,36,62,1,41,0
0.574742,0.074012,0.165685,198.166667,0,47,694,0.5,22,0
0.760786,0.04291,0.012127,536,1,114,997,1,164,0
0.596744,1.784615,0,162.5,1,1,0,0.5,214,0
0.768893,1.993311,0,149.5,1,1,12,0.5,104,0
0.636439,0.026115,0.020702,930.807692,0,232,4075,0.961538,116,0
1,0.003094,0.003094,323.214286,0,149,7982,0.696429,334,0
0.749769,0.047863,0.018803,146.25,1,25,137,0.75,1716,0
0.807789,0.940575,0.000276,172.285714,0,29,215,1,33,0
0.933288,0.003249,0.002946,661.825,0,117,5307,0.7,1793,0
0.762345,0.021459,0.034335,466,0,57,351,1,3,0
0.861525,0.053982,0.008947,838.25,0,45,66,0.75,49,0
0.422762,0.152276,0.048666,318.5,0,23,76,0.5,779,0
0.718575,0.054573,0.002419,3969,0,84,573,0.6,726,0
0,0.024096,0.012048,83,1,2,0,1,154,0
0.830968,0.01085,0.00896,975.052632,1,139,1298,0.578947,761,0
0.730909,0.245323,0.008087,502.121212,0,65,5752,0.575758,319,0
0.746524,0.197718,0.002396,486.944444,0,18,1290,0.666667,291,0
0.560314,0.041661,0.165266,624.75,0,114,3896,0.5,45,0
0.656284,0.071409,0.043991,825.590909,0,127,1615,0.727273,67,0
0.980738,0.036953,0.015918,586.333333,0,16,43,1,149,1
0.804954,0.034349,0.003404,1077.166667,0,16,148,0.666667,129,0
0.995434,0.054002,0.127518,169.712604,0,263,0,0.002452,2101,0
0.824767,0.004212,0.007258,978.894737,0,145,4865,0.736842,777,0
0,0.016185,0,865,1,33,42,1,26,0
0.865936,0.004215,0.001106,1447.3,0,46,1017,0.3,633,0
0.690262,0.011608,0.002922,3079.75,0,139,580,1,835,0
0.934206,0.000942,0.000362,4600.666667,0,123,392,1,814,0
0.884964,0.00304,0.000095,5262.5,0,120,262,1,781,0
0.130798,0.008489,0.007363,3848,0,88,1293,1,238,0
0.360373,0.005487,0.018722,774.5,0,88,428,1,592,0
0.902479,0.041827,0.070996,605.666667,0,70,324,0.666667,46,0
1,0.015528,0.003106,322,0,19,58,0.5,28,0
0.451432,0.028134,0.016446,1933.6,1,95,871,0.7,652,0
0,0.002105,0.002105,475,0,2,0,1,145,0
0.822006,0.01064,0.00608,1233.5625,0,62,1470,0.5625,18,0
0.702333,0.007338,0.001223,3066.25,0,118,219,1,4,0
0.764205,0.028689,0.008197,122,1,1,0,0.5,514,0
0.526923,0.150988,0.095111,961.285714,0,94,332,0.714286,517,0
0.5942,0.014644,0.002991,2424.25,1,84,166,1,503,0
0.611922,0.021495,0.01145,829.666667,1,43,214,0.833333,214,0
0.846657,0.005541,0.004197,992.666667,1,43,108,0.666667,194,0
0.754025,0.060637,0.027064,291.9,1,16,6578,0.4,726,0
0.717742,0.013656,0.016139,1611,0,26,1037,1,649,0
0.750892,0.011227,0.014931,1462.25,0,158,13375,0.708333,1377,0
0.707014,0.012571,0.026929,2318.285714,0,115,2110,0.714286,898,0
0.673588,0.020293,0.005637,295.666667,0,9,1534,1,443,0
0,0.063725,0.04902,204,1,5,324,1,369,0
0.666352,0.100571,0.004,437.5,0,10,1016,1,750,0
0.793314,0.093697,0.067291,293.5,0,8,2977,0.75,316,0
0.899719,0.138651,0.020199,265.545455,0,8,3463,0.727273,308,0
0,0.030075,0.011278,266,0,3,0,1,86,0
0.609683,0.109247,0.043037,137.30303,0,3,2172,0.030303,72,0
0,0.194245,0.039568,556,0,1,0,1,268,0
0.94394,0.009704,0.009704,391.6,0,8,1419,0.5,255,0
0.591673,0.152381,0.047619,52.5,1,5,534,1,202,0
0.979869,0.017211,0.003972,1133,0,46,46,1,4,0
0.534356,0.010587,0.018383,2030.833333,0,141,813,1,175,0
0.250419,0.012085,0.00953,2544.5,0,117,484,1,164,0
0,0.116883,1.87013,77,0,3,0,1,84,0
0,0.002815,0.001919,7815,1,111,150,1,44,0
0.567877,0.005352,0.006869,1601.428571,1,129,1012,1,61,0
0.563289,0.005254,0.409807,190.333333,0,41,2833,0.666667,85,0
0,0,0.00995,201,0,6,605,1,76,0
0.717631,0.119454,0.269625,439.5,1,90,5954,0.833333,178,0
0.99357,0.00689,0.005702,2104.5,0,46,562,1,85,0
0.485461,0.014008,0.000778,642.5,0,59,670,1,21,0
0,0.128852,0.028011,714,0,48,197,1,47,0
0,0.09901,0,202,0,4,244,1,12,0
0.43122,0.015337,0.009306,1160.6,0,83,440,1,49,0
0,0.007491,0.003745,267,1,4,34,1,34,0
0.846914,0.040395,0.035931,276.676471,1,87,1770,0.617647,1851,0
0.585873,0.114173,0.011811,254,0,2,84,1,1008,0
0,0.05848,0.011696,171,1,4,21,1,2,0
0.410023,0.416667,0.048611,168,0,1,298,0.333333,770,0
0.263956,0.088023,0.069264,231,1,15,888,1,544,0
0.677965,0.018216,0.009697,689.625,1,125,531,0.5,740,0
0.227114,0.071304,0.022319,575,0,112,839,0.5,51,0
0.743157,0.076286,0.019791,146.263158,1,31,4227,0.421053,303,0
0.688216,0.508982,0.083832,133.6,1,18,1198,0.8,5,0
0.685314,1.1044,0.014668,105.363636,1,32,334,0.909091,290,1
0.993055,0.012291,0.032485,569.5,1,34,64,1,322,0
0.70541,0.180708,0.181456,267.466667,1,69,3067,0.8,36,0
0.20879,0.128378,0.277027,5.481481,1,9,20496,0.259259,758,0
0.75447,0.02288,0.0025,433.416667,1,82,1348,0.833333,2105,0
0.940454,0.001376,0.001357,1394.315315,1,262,30335,0.612613,544,0
0.882998,0.007889,0.007474,401.388889,1,92,997,0.555556,1410,0
0.765782,0.021407,0.087326,173.117647,1,34,2661,0.441176,97,0
0,0.001287,0.001287,777,1,75,1,1,131,0
0,0,0.003676,272,1,3,30,1,418,0
0,0.001515,0.001136,2641,1,23,43,1,479,0
0,0.001488,0.001488,672,1,2,14,1,3,0
0.93156,0.014706,0.014706,238,1,16,52,0.5,162,0
0.546295,0.014667,0.014667,250,1,20,56,1,428,0
0.695356,0.017631,0.022187,1121.777778,1,59,217,0.777778,491,0
0.546295,0.014667,0.014667,250,1,20,210,1,431,0
0.954973,0.014034,0.010795,694.75,0,89,230,0.75,405,0
0.804986,0.002981,0.002665,3689.5,0,113,1140,0.833333,879,0
0.89057,0.006902,0.002548,3139.333333,0,86,471,0.666667,259,0
0.788638,0.013684,0.013352,4019.333333,0,89,283,1,805,0
0.742488,0.00093,0.000677,5911.5,0,89,298,1,800,0
0,0.000437,0.000437,2289,0,89,132,1,598,0
0.857327,0.035248,0.012541,1262.5,0,110,793,0.833333,812,0
0.521222,0.010721,0.003426,4524,0,88,251,1,759,0
0.723239,0.006847,0.000548,1825.5,0,106,517,1,618,0
0,0.002206,0.002084,8159,0,78,114,1,171,0
0.267427,0.006241,0.006085,2136.333333,0,127,614,1,753,0
0.40238,0.004298,0.000985,2481.555556,1,99,1348,0.777778,802,0
0.956574,0.00087,0.001232,1380.1,0,116,1122,0.8,769,0
0.51995,0.034303,0.014666,2011.5,0,57,183,1,553,0
0.988284,0.008147,0.029192,1473,0,87,166,1,522,0
0.534944,0.004122,0.00644,1941,0,72,155,1,25,0
0.660214,0.006607,0.004405,2451.8,0,94,401,1,631,0
0.522559,0.001669,0.000104,4794.5,0,87,155,1,55,0
0.755375,0.009259,0,1242,0,88,116,1,34,0
0.914346,0.003057,0.002166,1962.5,0,70,238,1,38,0
0.563856,0.04105,0.004711,743,1,32,713,1,10,0
0.651988,0.049893,0.024947,467.666667,0,29,977,1,9,0
0,0.141026,0.038462,78,1,2,0,1,3,0
0,0.000943,0.000943,1060,1,24,185,1,107,0
0.805199,0.031525,0.013179,692.090909,0,173,7671,0.757576,226,0
0.90024,0.053691,0.011745,99.333333,0,22,3679,0.666667,34,0
0.559109,0.040956,0.009556,488.333333,0,49,1873,1,732,0
0.677911,0.007571,0.010498,2245.285714,0,122,3591,0.857143,1196,0
0,0.104,0.048,125,0,2,0,1,61,0
0.775902,0.016988,0.002265,588.666667,0,42,109,1,3,0
0.733296,0.048588,0.034693,1412.375,0,122,517,0.75,124,0
0,0.000511,0.000383,7828,0,106,70,1,786,0
0.691839,0.006534,0.007778,3214,0,123,331,1,807,0
0.930608,0.005345,0.003495,3242.666667,0,114,182,1,783,0
0.449118,0.020279,0.012938,2179.6,0,121,620,1,1636,0
0.286397,0.001046,0.001278,4303.5,0,105,78,1,777,0
0.811278,0.004053,0.004053,493.5,1,36,245,1,584,0
0,0.031746,0.031746,126,1,10,129,1,16,0
0,0.004115,0.00823,243,0,25,905,1,72,0
0.652964,0.008307,0.005192,1605,0,64,1197,1,141,0
0,0.001266,0.001266,790,0,62,444,1,36,0
0.965519,0.011075,0.001846,722.333333,0,84,1310,1,131,0
0,0.04111,0.012333,1946,0,40,344,1,97,0
0.570485,0.01472,0.01423,679.333333,0,83,3173,0.833333,189,0
0.748531,0.00709,0.00709,1081.333333,0,65,759,1,111,0
0.309543,0.002317,0.011583,647.5,0,70,967,1,88,0
0.991076,0.005537,0.00443,451.5,0,55,777,1,136,0
0,0.000522,0.000522,1914,0,37,221,1,79,0
0.935747,0.033268,0.017613,255.5,0,38,2659,0.5,43,0
1,0.001629,0.001629,1227.5,0,42,1032,1,108,0
0.343927,0.040816,0.024358,506.333333,0,63,1023,1,48,0
0.769135,0.01637,0.01032,936.666667,0,55,1008,1,77,0
0.96948,0.031489,0.016955,1341.75,0,64,807,1,72,0
0,0.001674,0.000558,1792,0,36,62,1,42,0
0.195909,0.00851,0.00851,1939,0,45,24,1,36,0
0,0.001159,0.002899,1725,0,11,305,1,98,0
1,0.005764,0.005764,173.5,1,39,907,1,2,0
0.791512,0.57871,0.226692,403.016393,0,7,2175,0.131148,1273,0
0,0.030928,0.030928,97,1,19,79,1,1,0
0.522559,0.333333,0.611111,36,1,5,116,1,1600,0
0.7927,0.041435,0.021212,1211.55,1,21,78,0.1,154,0
1,0.010618,0.004826,518,1,37,20,1,9,0
0.782239,0.021332,0.04155,1154.095238,1,34,0,0.047619,125,0
0.785172,0.015491,0.007069,664.9,1,183,1072,0.9,654,1
0.205593,0.013687,0,1132.5,1,19,29,1,2,0
0.208181,0.073919,0.011158,358.5,1,85,47,1,131,0
0.890492,0.031884,0.005797,345,1,12,12,1,725,0
0.406565,0.031124,0.011044,332,1,128,1472,1,400,0
0.560577,0.230769,0.130178,84.5,0,1,14,1,65,0
0.544856,0.76659,0.004577,109.25,1,18,70,0.75,59,1
0,0,0.00578,173,1,5,30,1,8,0
0.196332,0,0.036614,32.859375,1,74,25170,0.390625,968,0
0.380716,0.123252,0.140734,381.333333,1,24,84,0.666667,2782,1
0.380947,0.044408,0,304,1,15,567,1,1128,0
0.674174,0.015496,0.029056,516.25,1,3,92,0.75,217,0
0,0.052288,0,153,1,2,22,1,319,0
0,0.001252,0.002503,799,1,5,0,1,20,0
0.913443,0.019751,0.017557,273.4,1,54,0,0.4,775,0
0.915878,0.002516,0.002516,832.84127,1,331,77430,0.65873,1114,1
1,0.006279,0.006279,159.25,1,54,565,1,568,0
0.455311,0.086185,0.026616,197.25,1,11,608,0.75,53,1
1,0.004132,0,484,1,25,1116,0.75,28,0
0,0.090909,0.049587,121,0,10,113,1,1,0
0,0.001996,0.001996,501,1,2,181,1,3,0
0,0.091525,0.00339,295,1,3,2,1,1,0
0,0.781022,0.171533,274,1,2,355,1,338,0
0.8003,0.002838,0.00078,2349.333333,1,136,247,1,2450,0
0.571476,0.140426,0.02234,235,1,17,82,0.75,188,1
0.75887,0.014854,0.01008,628.333333,1,1,127,1,206,0
0,0.20068,0.115646,294,1,31,19,1,1,0
0.783132,0.054614,0.077213,177,1,4,404,1,418,0
0.837159,0.3228,0.257531,199.176471,1,6,1042,0.5,52,1
0.327445,0.190476,0.047619,105,1,1,74,0.5,63,0
0,0.004673,0.004673,428,1,6,219,1,103,0
0,0.001588,0.000454,4409,0,66,3,1,38,0
0.568759,0.113242,0.026089,886.375,1,95,1094,0.3125,108,0
0,0.022556,0,133,1,1,0,1,127,0
0.811278,0.004053,0.004053,493.5,1,36,71,1,578,0
0.940286,0.011207,0.000862,580,1,43,106,1,35,0
0,0.009091,0.00303,330,1,2,6,1,110,0
0,0,0,120.333333,1,1,0,0.333333,100,1
0.60882,0.029582,0,462,1,69,33,1,316,1
0,0.001967,0,1017,1,22,1,1,1,0
0,0.033333,0.022222,180,1,12,53,1,70,0
0,0,0.002273,1760,1,47,7,1,264,0
0.985057,0.002849,0.019943,234,1,30,605,0.666667,3,0
0.899145,0.004731,0.001992,892.444444,1,98,0,0.111111,126,0
0.899145,0.001997,0.004743,890.222222,1,98,9,0.111111,117,0
0.899145,0.004731,0.001992,892.444444,0,98,331,0.333333,13,1
0,0.027397,0,365,0,10,20,1,1,0
1,0.002425,0,412.333333,1,35,177,1,25,0
0.664042,0.06135,0.100204,122.25,1,26,80,0.5,43,0
0.170232,0.001321,0.035667,16.456522,1,44,4864,0.217391,49,1
0.455876,0.001391,0.070932,179.75,1,27,485,1,660,0
0,0.046729,0.003115,321,1,1,26,1,254,0
0,0,0.053892,167,1,23,24,1,115,0
0.863121,0.005754,0.002301,434.5,1,18,424,0.5,2,0
0.626811,0.455144,0.168713,1107.921053,1,4,22687,0.078947,650,0
0.885601,0.001359,0.01495,613.166667,0,52,879,0.833333,1498,0
0,0,0.0125,160,1,22,67,1,1,0
0.563856,0.04105,0.004711,743,1,32,6,0.5,8,0
0.855738,0.124331,0.050207,1158.2,0,16,9620,0.3,609,0
0,0.3,0,20,1,9,240,1,20,0
0,0.004742,0,2109,1,18,88,1,21,0
0,0.016981,0,530,1,2,6,1,1,0
0,0,0,55.931818,1,7,7708,0.113636,58,1
0.995518,0.004079,0.003765,245.153846,1,52,2779,0.769231,723,0
0,0.141026,0.038462,78,1,2,46,1,2,0
0,0.04741,0,1139,1,101,58,1,45,0
0.065238,0.011146,0.076964,471,1,62,34,0.75,178,0
0.77935,0.015823,0.000633,790,1,6,19,1,1142,0
0.812482,0.02206,0.021052,746.691011,1,248,9281,0.662921,3492,1
0.626839,0.098266,0.084778,173,1,12,244,1,280,0
0,0.016,0.016,125,0,8,22,1,136,0
0,0.000148,0.000148,6749,1,2,56,1,555,0
0.61003,0.01947,0.011443,835.83871,1,204,2015,0.387097,173,1
1,0,0.25,4,0,8,972,0.25,4,0
0,0.054839,0.006452,310,1,14,150,1,2,1
0,0,0.043478,23,1,3,673,1,17,0
0,0,0.039648,1135,1,53,2,1,102,0
0.732973,0.012019,0.000467,714.166667,1,123,342,0.833333,23,1
0,0.034268,0.003115,321,0,5,72,1,6,0
0.408621,0,0.233208,265,1,28,261,0.8,19,0
0.704223,0.015952,0.014851,303,1,7,0,0.166667,187,0
0.905653,0.024607,0.0252,187.388889,1,8,1562,0.611111,181,0
0.677538,0.021431,0.007923,877,0,2,6074,0.076923,500,0
0.982141,0.018519,0.033333,90,1,17,339,0.666667,84,0
0.874818,0.03252,0.01084,147.6,1,7,585,1,300,0
0,0.014944,0.007472,803,1,83,1,1,7,1
0,0.012245,0,245,0,10,0,1,187,0
1,0.011568,0.001285,778,1,16,0,0.5,76,0
1,0.056774,0.024516,775,1,16,124,0.5,74,0
0.870229,0.011334,0.003487,382.333333,1,6,3111,0.666667,3,0
0,0.008111,0.000954,2096,0,44,1,1,533,0
0,0.463415,0.243902,41,1,3,6,1,19,0
0.668291,0.349762,0.101749,104.833333,1,27,1557,0.833333,138,1
0.499605,0.117158,0.084422,1095.1,0,11,3420,0.05,457,0
