@relation 'poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,0,0,0,0.666667,0
1,1.272727,0.036364,0,0.5,0
0,0.883333,0.866667,5,0.218254,1
0,0.8,0.5,0,0.309091,1
0,0.8,0.5,0,0.309091,1
0,0.78125,0.833333,0,0.305882,1
1,0.6,1,0,0.227273,1
0,1.111111,0.333333,0,0.25,0
0,0.722222,1,0,0.166667,1
0,2,0,0,0.75,0
0,2,0,0,1,0
0,0.796875,0,1,0.243697,1
0,1.333333,0,0,0.5,1
4,2,0,0,0.666667,0
0,0.977891,0.238095,4,0.252874,1
0,2,0,0,1,0
0,1.125,0,0,0.311111,1
0,1.125,0,0,0.259259,0
0,0.25,1,0,0.522727,0
0,0.666667,0.5,0,0.269231,1
0,0,0,0,0.5,0
0,0.787879,0.666667,0,0.316667,1
19,1,0.25,0,0.1875,1
0,1.111111,0.333333,0,0.25,0
0,0.957181,0.473684,0,0.162963,1
0,2,0,0,1,0
1,0.484848,1,0,0.366667,1
0,2,0,0,1,1
0,0.75,0,0,0.5,1
0,0.333333,0,0,0.416667,0
0,0.833333,0.5,0,0.266667,1
0,0.833333,0,0,0.266667,1
0,0.683333,0,0,0.338462,0
0,0.925926,0.333333,0,0.32,1
1,0.85,0.75,0,0.257576,1
0,0.833333,0.666667,0,0.333333,1
0,2,0,0,0.291667,0
0,0.848684,0.9375,9,0.216117,1
14,0.842105,1,0,0.2375,1
0,0.711538,0.833333,4,0.148148,1
0,0.928571,0.333333,0,0.306667,1
0,0.8,0.6,0,0.291667,0
0,2,0,0,0.875,0
0,2,0,0,1,0
0,0.7625,0.8,0,0.305882,1
1,0.821429,1,4,0.666667,1
0,0.794872,0,1,0.328571,1
1,0.357143,1,0,0.375,1
0,0.785714,0.5,0,0.325,1
0,0.936343,0.625,4,0.190972,1
0,0.747826,0.8,0,0.22619,1
0,0.382353,1,0,0.433333,0
0,0,1,0,0.32,0
0,0.857143,0.5,0,0.306667,1
0,0.703704,0.833333,4,0.254386,1
0,2,0,0,0,0
0,2,0,0,0.666667,0
0,1.071429,0,0,0.10303,1
0,1.111111,0.333333,0,0.25,1
0,2,0,0,0.669565,1
0,2,0,0,0.666667,0
0,1.125,0,0,0.259259,0
0,0.776471,0,0,0.355556,1
1,2,0,0,1,0
0,0.75,0.666667,0,0.307692,1
0,2,0,0,0.666667,0
0,2,0,0,0.666667,1
0,0.208333,0,0,0.212,0
0,2,0,0,0.5,0
0,1.1,0.333333,0,0.454545,1
0,0.694444,0.666667,2,0.182222,1
0,0.642857,1,1,0.25641,0
0,1.25,0,0,0.36,0
0,0.644444,1,0,0.180556,1
0,0.984848,0.111111,1,0.253623,1
0,0.787879,0.333333,0,0.22619,1
0,2,0,0,0.625,0
0,1.033333,1,0,0.157143,1
0,0.8,0.5,0,0.257576,1
0,0.785714,0,0,0.325,0
0,1.142857,0.5,0,0.270833,0
0,1.2,0,0,0.333333,0
0,1.333333,0,0,0.625,0
0,0.75,0,1,0.175,1
0,0.5,0.5,0,0.075456,0
2,0.333333,1,0,0.34,1
0,0.7625,0.8,0,0.305882,1
0,0.533333,1,0,0.291667,0
0,1.2,0,0,0.333333,0
0,0.926471,0.470588,4,0.129167,1
0,0.895833,0.9375,6,0.25463,1
0,0.836,0.9,3,0.253333,1
0,0.821429,1,6,0.583333,0
0,0.851852,0.333333,0,0.228571,1
0,0,0,0,0.666667,0
0,0.857143,0.928571,3,0.137592,1
0,0.533333,1,0,0.454545,0
0,0.830357,1,2,0.079561,1
0,0.8,0.5,0,0.309091,1
0,0.8,0.5,0,0.309091,1
0,0,0,0,0.75,0
0,2,0,0,0.666667,1
134,2,0,0,0.283333,1
0,0.87037,0.555556,0,0.305263,1
0,0.872727,0.6,0,0.316667,0
0,0.925926,0.333333,0,0.32,1
0,2,0,0,0.75,0
0,0,1,1,0.5625,1
0,2,0,0,0.777778,0
1,2,0,0,0.333333,0
0,1.142857,0,0,0.325,1
0,0.822917,0.666667,1,0.27451,1
0,0.25,1,0,0.311111,0
0,0.669643,0,0,0.232759,1
3,0.962649,1,16,0.175781,1
0,0.8,0.5,0,0.309091,1
0,0.666667,0.166667,1,0.259259,0
0,0.636364,1,0,0.246753,1
0,1.125,0.25,0,0.583333,1
0,0.95,0.25,0,0.309091,1
2,0.776224,0.909091,0,0.27381,1
0,0.757143,0.8,0,0.2,1
0,0.8,0.5,0,0.257576,1
0,2,0,0,0.583333,0
0,0.5,1,1,0.466667,0
0,0.904762,1,0,0.4,1
0,2,0,0,1,0
0,0.8,0.5,0,0.257576,1
0,0.730769,0.5,0,0.342857,1
0,0.833333,0.5,0,0.266667,1
0,0.8,1,2,0.541667,1
0,2,0,0,0.296296,1
0,1.142857,0,0,0.325,1
0,0.863636,1,0,0.214286,1
4,0.698413,1,0,0.238095,1
0,0.916667,0.5,0,0.30303,1
0,0.722222,0.666667,0,0.269231,1
0,0.355556,0.666667,0,0.18,1
0,0.777778,0.5,0,0.34,1
0,0.85,0.8,0,0.307692,1
0,0.75,1,0,0.5,1
0,0.860947,0.846154,0,0.265432,1
0,0.75,1,2,0.181818,1
0,0.90404,0.444444,0,0.21118,1
0,1.125,0,0,0.311111,1
2,0.933333,0.75,1,0.190476,1
0,0.85,0.5,0,0.38,1
0,0.357143,0,1,0.375,0
0,1.1,0,0,0.220779,0
0,0.625,1,0,0.301587,1
0,0.861538,0.8,0,0.314286,1
0,2,0,0,1,0
0,0.757576,0.333333,0,0.277778,1
0,1,0.166667,0,0.309091,1
2,0.755556,0.5,0,0.325,1
0,2,0,0,1,0
0,0.740741,1,0,0.228571,0
0,2,0,0,0.625,1
0,0.888889,0.666667,0,0.3,1
0,1.125,0,0,0.259259,0
0,0.333333,1,0,0.466667,0
0,0.8,0.5,0,0.257576,0
0,0.912587,0.384615,3,0.220779,1
0,0.5,1,1,0.342857,0
0,0.923684,0,1,0.302564,0
0,0.666667,1,0,0.5,1
0,0.428571,1,0,0.425,1
0,0.924242,1,1,0.3125,1
0,0.940217,0.565217,1,0.200758,1
0,0.891705,0.928571,0,0.265625,1
0,2,0,0,0,0
0,0.787879,0.666667,0,0.263889,1
0,0.753846,0.8,0,0.214286,1
0,0.714286,0.75,0,0.209524,1
0,1.2,0,0,0.333333,0
21,1.25,0,0,0.6,0
0,2,0,0,0.533333,1
0,1.142857,0,0,0.325,1
0,0.841751,1,0,0.383929,1
0,0.944118,0.352941,0,0.304762,1
0,0.9,0.95,8,0.215805,1
0,1.357143,0,0,0.5,1
0,0.8,0.5,0,0.309091,1
0,0.98,0.2,0,0.309091,1
0,0.8,0.5,0,0.257576,1
0,2,0,0,0.583333,0
0,0.666667,1,2,0.4375,0
0,0.507246,1,0,0.160256,0
0,0.753846,0.8,0,0.214286,1
0,0,0,0,0.916667,0
0,0,1,1,0.541667,1
0,0.566667,1,1,0.272727,1
0,0.833333,0.5,0,0.32,1
0,0.75,0.666667,0,0.307692,1
0,0.747826,0.8,0,0.197917,1
1,0.833333,1,0,0.416667,1
0,2,0,0,0.75,1
0,1.125,0,0,0.311111,1
0,0.166667,1,0,0.428571,0
0,0.833333,0.666667,0,0.333333,1
0,0.847222,0.625,0,0.305263,1
0,0.833333,0.5,0,0.32,1
0,0.833333,0.5,0,0.266667,1
0,0.125,0,0,0.259259,0
0,0.690909,1,0,0.375,1
0,0.583333,0.75,3,0.19697,1
0,2,0,0,0.25,0
0,0.742857,0.888889,3,0.16,1
0,0.851852,0.333333,0,0.228571,1
0,1.25,0,0,0.4,0
0,1.5,0,0,0.666667,0
0,2,0,0,0,0
0,0.875,0.5,0,0.311111,1
0,1.02,0,0,0.193277,0
0,1.5,0,0,0.666667,0
1,0.754902,1,2,0.25,1
0,0.777778,0.833333,0,0.218045,1
0,0.944444,0.666667,0,0.314286,0
3,0.142857,1,0,0.375,1
0,0.75,1,2,0.36,0
0,0.6875,0.5,0,0.311111,1
0,0.333333,1,0,0.333333,0
0,0.980995,0.483146,34,0.251773,1
0,1.125,0,0,0.259259,1
0,2,0,0,0.666667,0
2,1.25,0,0,0.5,0
3,0.994048,0,2,0.317647,1
1,0.82,0.5,1,0.288,0
0,0.888889,0.5,0,0.305263,1
0,0,0,0,0.666667,0
1,0.916667,0,1,0.327273,1
0,0.940894,0.722222,19,0.077239,1
0,0.833333,0.5,0,0.266667,1
0,0.867647,0.941176,4,0.216216,1
0,0.877273,0.7,1,0.223602,1
1,0.747475,0.888889,2,0.173203,1
0,0.859195,0.916667,9,0.216749,1
0,0.852941,0.625,0,0.259259,1
0,0.914322,0.565217,6,0.216327,1
0,0.98,0.2,0,0.309091,1
0,0,1,1,0.6,0
0,0.75,0.5,0,0.257576,1
0,2,0,0,1,1
0,0.354167,1,2,0.144796,1
0,0.649123,1,2,0.154545,0
0,2,0,0,0.25,0
0,0.611111,0.5,0,0.45,0
0,2,0,0,1,0
0,0.772727,0.875,3,0.253623,1
0,0.222222,1,1,0.4375,0
0,0.8,0.5,0,0.309091,1
0,1.125,0,0,0.259259,1
0,1.111111,0.333333,0,0.25,0
0,1.3125,0.125,1,0.666667,1
0,0.5,1,0,0.5,0
1,0.929012,0.518519,6,0.252252,1
0,0.835938,1,3,0.182692,1
0,2,0,0,1,0
0,2,0,0,1,0
0,0.35,1,0,0.363636,1
0,2,0,0,1,1
0,0.8,0.5,0,0.309091,1
0,1.018519,0,0,0.192208,1
0,0.833333,0.5,0,0.32,1
0,2,0,0,0.555556,1
0,0.388889,1,0,0.313333,0
0,0.8,0.5,0,0.257576,1
0,2,0,0,0.5,1
0,0.957143,0.142857,0,0.222222,1
0,0.75,0,1,0.175,1
1,0.721088,0.857143,2,0.198864,0
0,0.8,0.5,0,0.309091,1
0,0.957692,0.5,14,0.215457,1
0,0.75,1,2,0.55,1
0,0.800926,0.888889,2,0.253333,1
0,0.972222,0.25,0,0.32,1
0,0.921695,1,6,0.136886,1
2,0,1,1,0.15,0
0,0.8,0.5,0,0.309091,1
0,0.925743,0.4375,3,0.135567,1
0,2,0,0,1,0
0,0.84,0.4,0,0.287879,1
0,0.854167,0.875,0,0.236842,1
0,0.65625,1,1,0.25,0
0,2,0,0,0.200617,1
0,1,1,0,0.314286,0
0,2,0,0,0.75,0
0,0.925926,0.333333,0,0.32,1
0,1.111111,0.333333,0,0.25,0
0,0.833333,0.666667,0,0.333333,1
0,0.5,1,1,0.7,1
0,0.761364,0.875,4,0.253623,1
0,0.833333,0.5,0,0.32,1
0,2,0,0,1,0
0,0.715584,0.642857,1,0.173737,1
0,0.6875,0.8,3,0.254902,1
0,0.955263,0.315789,0,0.304762,1
0,0.666667,1,1,0.5,1
0,2,0,0,0.5,0
0,0.885714,0.8,0,0.270833,0
0,0.611111,1,0,0.52381,1
2,0.818182,0,0,0.708333,0
0,0.333333,0,1,0.47619,0
0,0.388889,1,0,0.313333,1
0,1.111111,0.5,0,0.25,0
0,2,0,0,0.5,1
0,0.8,0.5,0,0.257576,1
0,0.090909,0,1,0.316667,1
0,0.509615,1,0,0.37037,1
0,1.045398,0.023697,2,0.161538,1
2,1.04,0.4,0,0.4,1
0,1,0.2,0,0.32,1
0,0.75,0.666667,0,0.307692,1
2,0.611111,1,2,0.325,0
0,1.125,0,0,0.259259,0
0,2,0,0,0.583333,0
0,0.8,0.5,0,0.257576,1
4,2,0,0,0.666667,1
0,0.867725,0.944444,8,0.251938,1
2,0.5,1,2,0.458333,1
0,1.149123,0.052632,2,0.22449,0
5,0.685714,0.857143,3,0.196429,1
0,0.777778,0,0,0.266667,1
2,0.5,1,0,0.5,0
