@relation 'ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,3,0.6,53,1,0,0,0.666667,0,0,7.5,1,0.8333,0
3,8,1313,0.956553,1133,1,2,0.406593,0.195455,0,0,19.127273,10,1.8545,0
2,0,3,2,136,0,0,0.8,0.666667,0,0,44.333333,2,1,0
1,0,0,0.428571,169,1,0,0,0.625,0,0,19.875,7,1.625,0
2,0,39,0.483333,136,1,0,0.454545,0.348485,1,1,10.818182,1,0.5455,0
1,0,43,0.833333,91,0.5,1,0,0.2,0,0,7.9,3,1.2,0
3,0,0,2,4,0,0,1,1,0,0,3,0,0,0
2,1,3,1.5,72,0,0,0.866667,1,0,0,22.666667,1,0.6667,0
1,0,36,1.104167,281,0.833333,0,0,0.25,0,0,29.555556,11,3,0
1,0,3,0.666667,43,1,0,0,0.714286,0,0,4.714286,1,0.8571,0
1,1,30,0.5,130,1,0,0,0.666667,0,0,13.333333,4,1.2222,0
1,2,1603,0.874288,2303,1,2,0,0.21371,0,0,35.015873,35,3.2381,1
3,2,7,0.4,56,1,1,0.733333,0.433333,1,4,8,1,0.6667,0
1,0,1,2,2,0,0,0,0.666667,0,0,0,1,1,0
3,0,159,0.904762,365,1,1,0.649123,0.361905,2,2,14.818182,9,1.3636,0
5,0,118,0.975,137,0.5,1,0.905882,0.270588,3,5,6.470588,2,1.0588,1
3,0,18,0.826446,804,1,1,0.770833,0.277778,2,2,65.083333,18,4.8333,1
2,0,27,0.761905,245,1,1,0.357143,0.283333,1,1,22.8,2,1,0
3,0,1,2,128,0,0,0.987179,0.625,1,3,63,9,4.5,1
3,1,451,0.893375,920,1,5,0.480519,0.146825,0,0,19.860465,15,1.5116,1
2,28,183,0.52381,271,1,1,0.3,0.198864,1,2,11.227273,3,1.3182,0
5,2,295,0.842975,586,0.818182,1,0.745902,0.173203,3,15,15.911765,5,1.7941,1
3,0,1,2,19,0,0,0.9375,1,2,2,8,1,0.5,0
1,0,3,2,16,0,0,0,0.333333,0,0,4.333333,1,0.6667,0
3,0,2,0.666667,76,1,0,0.925,0.5,1,1,17.5,3,1.25,0
3,0,0,0,76,1,1,0.787234,0.287879,2,2,5.818182,1,0.9091,0
1,0,4,0.888889,187,0.333333,0,0,0.5,0,0,45,9,3.5,1
2,2,1200,0.848864,1842,0.875,2,0.409639,0.155844,1,5,31.607143,14,2.1964,1
5,0,0,0.583333,105,1,1,0.931818,0.583333,1,1,19.4,9,2.2,0
1,0,10,2,241,0,0,0,0.36,0,0,47.2,7,4.2,0
1,0,0,0.5,218,1,0,0,0.47619,0,0,29.571429,5,2.2857,0
5,0,130,0.991071,207,1,0,0.869919,0.352941,2,3,10.764706,3,1.1765,1
1,0,0,0.333333,157,1,1,0,0.533333,0,0,37.5,2,0.75,0
3,0,0,0.375,141,1,0,0.902439,0.466667,0,0,26.8,1,0.8,0
4,0,10,0.803571,345,1,0,0.870968,0.314815,1,1,36.555556,1,0.8889,1
2,0,0,0,67,1,1,0.714286,0.666667,1,1,20.333333,1,0.6667,0
1,0,0,0.4,52,1,1,0,0.375,0,0,7.333333,2,1,0
5,0,0,0.333333,77,1,0,0.953846,0.4375,1,1,18,5,2,0
1,0,0,0.333333,19,1,0,0,0.625,0,0,3.5,1,0.75,0
1,1,34,0.9375,145,1,1,0,0.481481,0,0,14.888889,1,0.8889,0
5,0,0,0.693878,329,0.571429,1,0.844444,0.25,1,4,39.25,19,4.625,0
4,0,47,0.821429,566,1,1,0.857143,0.244898,2,2,36.2,4,1.2,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,90,0.703125,878,1,1,0,0.29375,0,0,50.176471,11,2.5294,0
4,2,270,0.434783,250,1,1,0.706667,0.162037,2,15,9.375,5,1.375,0
1,0,0,0.777778,106,1,1,0,0.625,0,0,24.75,5,1.75,0
2,0,229,0.802198,405,1,0,0.5,0.138047,1,1,13.740741,6,1.5185,1
3,0,15,0.666667,166,1,1,0.769231,0.3,1,1,15.3,3,1.4,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
4,0,3,0.583333,249,1,2,0.795455,0.266667,1,3,23.5,7,2.4,0
4,3,19,0.816667,240,0.666667,0,0.811321,0.290909,0,0,20.272727,4,1.2727,0
1,0,44,0.805195,156,1,1,0,0.261905,0,0,11.416667,4,1.25,0
3,0,0,0.606061,303,1,1,0.770833,0.22619,2,3,24,3,1.25,1
3,0,1,2,33,0,0,0.969697,1,0,0,15.5,1,0.5,0
3,0,41,0.785714,725,1,3,0.74,0.25,1,1,46.8,2,1.2667,1
3,0,0,0.833333,258,1,1,0.880952,0.444444,1,1,35.285714,1,0.7143,0
1,0,6,2,4,0,0,0,0.5,0,0,0,1,1,0
4,0,4,0.833333,42,1,1,0.944444,0.583333,1,1,9,2,1,0
4,2,162,0.71,361,1,1,0.768116,0.19375,2,9,15.952381,6,1.619,0
4,0,0,0.666667,55,1,0,0.933333,0.625,1,1,12.25,4,1.5,0
1,2,145,0.954861,143,1,3,0,0.230263,0,0,5.684211,1,0.9474,1
3,0,44,0.936364,455,0.5,0,0.770833,0.236111,0,0,36.083333,4,1.75,0
1,0,15,1.2,10,0,0,0,0.722222,0,0,0,1,1,0
5,0,3,2,52,0,0,0.96875,0.555556,1,1,16.333333,3,1.6667,0
2,0,0,0.5,115,1,0,0.6,0.47619,0,0,15.142857,4,1.2857,0
3,2,83,0.74359,220,1,1,0.74,0.297619,1,1,14.5,4,1.2143,1
2,3,7,0.960606,605,1,1,0.583333,0.25974,0,0,51,15,2.9091,0
1,0,100,0.7125,654,0.8,0,0,0.27451,0,0,37.176471,7,2.0588,0
2,1,0,0,103,0,1,0.875,0.666667,0,0,50,1,0.5,0
3,0,45,0.619048,311,1,3,0.681818,0.216667,1,1,19.333333,6,1.8667,0
2,102,346,0.839286,375,1,3,0.243243,0.191571,1,1,11.724138,5,1.3448,0
4,0,39,0.723485,710,1,2,0.643678,0.148485,3,4,19.647059,5,1.9118,1
1,0,6,2,45,0,0,0,0.625,0,0,10.25,2,1,0
1,0,5,0.444444,148,1,2,0,0.52381,0,0,19.714286,3,1.1429,0
4,0,103,0.929487,1034,1,1,0.821053,0.269841,0,0,52.052632,1,0.8947,0
3,0,0,2,5,0,0,1,1,0,0,4,0,0,0
5,0,0,0.761905,197,0.5,0,0.844444,0.35,1,4,22.875,6,2.25,0
1,0,75,0.9,286,0.7,0,0,0.208333,0,0,17.4,5,1.5333,0
1,1,15,0.8,163,0,0,0,0.305556,0,0,25.833333,4,1.3333,0
3,0,4,1,111,1,0,0.925,0.75,2,2,26.25,2,1,0
1,0,21,2,7,0,0,0,1,0,0,0,1,1,1
1,0,1,2,48,0,0,0,0.5,0,0,23,1,0.5,0
1,0,0,2,48,0,0,0,0,0,0,0,0,0,0
4,0,222,0.943734,309,0.529412,0,0.676056,0.375,2,2,11.166667,8,1.375,0
1,0,1,0.5,14,1,0,0,0.666667,0,0,3.333333,1,0.6667,0
4,0,0,0,161,1,0,0.928571,0.75,2,4,38.5,1,0.5,0
7,0,0,2,40,0,0,1,1,0,0,37,0,0,0
2,0,0,0.333333,125,1,0,0.75,0.5,0,0,29.5,2,1,0
5,0,7,0.735043,488,1,0,0.7,0.25,2,5,33.214286,12,1.7857,1
1,0,0,0.25,204,1,0,0,0.666667,0,0,65.666667,2,1,0
4,12,4,0.666667,22,1,1,0.928571,0.5,0,0,4.25,1,0.5,0
4,2,8,0.742857,143,1,3,0.853659,0.428571,1,3,16.25,4,1.5,0
2,0,10,0.729167,159,1,1,0.529412,0.277778,1,1,16,3,1.1111,0
4,0,3,2,27,0,0,0.972222,0.555556,0,0,8,3,1,0
3,0,59,0.977444,678,1,1,0.637931,0.477273,1,1,28.954545,8,1.8182,0
4,2,45,0.775,202,1,0,0.896552,0.285714,0,0,17,6,1.7273,0
4,0,0,0,87,1,0,0.928571,0.75,2,4,20.5,1,0.5,0
1,0,0,0.386364,234,1,0,0,0.444444,0,0,18.166667,4,1.5833,0
1,0,4,0.5,39,1,0,0,0.7,0,0,6.2,1,0.6,0
5,0,60,0.545455,213,1,0,0.873418,0.277778,3,6,16.666667,4,1.4167,0
1,0,10,2,5,0,0,0,0.533333,0,0,0,1,1,0
1,0,81,0.856481,517,1,4,0,0.183333,0,0,25.578947,6,1.8421,0
2,0,6,1.333333,49,1,0,0.842105,1,1,1,11,1,0.75,0
4,0,0,2,6,0,0,1,1,0,0,5,0,0,0
3,0,41,0.769231,384,1,2,0.74,0.261905,1,1,25.928571,26,3,1
4,0,1,2,20,0,0,0.971429,0.75,1,1,9,3,1.5,0
1,0,1,1.441176,76,0.058824,1,0,0.5,0,0,18.666667,4,1.6667,0
3,0,1,0.708333,260,1,2,0.860465,0.285714,2,2,35.571429,1,0.8571,1
3,3,9,1.041667,106,0.375,0,0.860465,0.428571,0,0,13,3,1.1429,0
1,0,0,2,2,0,0,0,1,0,0,0,1,1,0
4,0,0,0.68,205,1,1,0.939759,0.416667,2,4,32.333333,1,0.8333,0
2,0,13,0.75,97,1,3,0.2,0.220779,0,0,7.272727,1,0.7273,0
2,0,1,2,48,0,0,0.875,0.75,0,0,23,5,2.5,0
4,0,244,0.804348,397,1,1,0.736111,0.21118,2,14,15.375,6,1.9583,1
1,1,248,0.875,290,1,1,0,0.173333,0,0,10.36,6,1.4,0
2,0,3,2,40,0,0,0.857143,0.666667,0,0,12.333333,1,0.6667,0
1,0,34,1.083333,566,0.222222,0,0,0.303571,0,0,60.888889,2,0.8889,1
2,0,0,0,30,1,0,0.818182,0.666667,0,0,8.666667,2,1,0
4,1,844,0.877404,2937,1,2,0.624,0.127315,0,0,58.408163,13,1.449,1
5,2,15,2,83,0,0,0.955357,0.416667,1,1,12.833333,3,1.1667,1
3,0,0,0.25,122,1,0,0.833333,0.285714,1,1,16.142857,1,0.8571,0
4,0,3,2,27,0,0,0.972222,0.555556,0,0,8,3,1,0
1,0,0,2,2064,0,0,0,0,0,0,2052,0,0,0
1,2,6,0.678571,185,1,0,0,0.625,0,0,21.125,4,1.875,1
6,0,39,0.9,195,1,1,0.944785,0.3,4,10,16.181818,5,1.2727,1
4,0,22,0.571429,95,1,0,0.928571,0.40625,1,1,10.75,2,1,0
1,0,26,0.651515,341,1,0,0,0.3125,0,0,26.916667,1,0.8333,0
1,0,0,0.5,86,1,0,0,0.642857,0,0,11,1,0.8571,0
3,0,1,2,58,0,0,0.952381,0.666667,1,1,28,1,0.5,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,87,0.884615,905,1,2,0,0.192308,0,0,63.5,10,1.7143,1
1,2,124,0.7,575,0.857143,0,0,0.325397,0,0,26.047619,10,2.619,0
3,3,2,0.625,48,1,0,0.902439,0.466667,0,0,8.2,1,0.8,0
2,0,60,0.833333,331,1,0,0.56,0.416667,2,3,24.076923,4,1.3077,0
4,0,15,2,94,0,0,0.947917,0.833333,1,1,14.666667,3,1.1667,0
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,0,11,0.6,236,0.333333,1,0.827586,0.666667,1,2,37.833333,6,1.6667,1
4,0,6,0.75,94,1,0,0.927273,0.6,2,2,17.4,3,1.2,0
4,0,180,0.782609,741,1,0,0.710526,0.326087,2,2,29.541667,7,1.625,1
1,0,3,1.5,182,0,0,0,0.833333,0,0,59.333333,12,4.3333,0
1,0,461,0.786842,559,1,6,0,0.153846,0,0,13.076923,7,1.6923,0
4,0,0,0.777778,162,0.666667,0,0.928571,0.75,2,4,38.75,1,0.5,0
4,0,148,0.91866,263,0.545455,0,0.716418,0.3875,2,3,11.6,6,1.4,0
4,0,0,2,4,0,0,1,1,0,0,3,0,0,0
1,1,14,0.4375,103,1,1,0,0.555556,0,0,10.222222,1,0.6667,0
5,0,0,0.688889,212,1,0,0.777778,0.3,2,5,19.7,5,1.2,0
1,0,0,2,16,0,0,0,1,0,0,3,0,0,1
3,0,163,0.867347,783,1,5,0.649123,0.251701,2,2,33.954545,22,2.6818,1
5,0,0,0.6,104,0.5,0,0.883721,0.333333,2,5,16,4,1.6667,0
3,0,21,0.6,129,1,0,0.804348,0.4,1,1,11.4,1,0.9,0
3,9,10,2,62,0,0,0.882353,0.533333,1,1,11.4,5,2,0
4,0,1,2,20,0,0,0.971429,0.75,1,1,9,3,1.5,0
5,0,0,0.708333,126,1,0,0.848485,0.47619,2,5,16.428571,5,1.2857,0
2,0,1,2,346,0,0,0.958333,1,1,1,172,1,0.5,0
1,0,3,2,3,0,0,0,1,0,0,0,1,1,0
5,0,15,2,74,0,0,0.954545,0.5,2,7,11.333333,3,1.8333,0
3,0,277,0.744444,900,1,0,0.552239,0.207885,1,5,27.83871,16,2.5806,1
4,0,176,0.808184,1046,1,1,0.772277,0.175,0,0,41.875,6,1.4167,1
2,0,434,0.940848,1220,0.928571,2,0.507937,0.328125,1,5,35.121212,26,2.5152,0
3,0,4,0.75,90,1,0,0.902439,0.533333,0,0,16.4,1,0.8,0
1,0,3,1.5,111,0,0,0,0.833333,0,0,35.666667,7,2.6667,0
2,0,1,2,73,0,0,0.875,0.75,0,0,35.5,6,3,0
5,0,0,2,7,0,0,1,1,0,0,6,0,0,0
3,4,54,0.791667,233,1,1,0.714286,0.261538,1,3,16.615385,6,2,1
4,0,6,1.166667,164,0.5,0,0.942308,1,3,5,39.5,7,2.5,0
1,1,4,0.666667,502,0.5,0,0,0.555556,0,0,124,4,1.25,0
1,2,56,0.770833,269,1,2,0,0.205128,0,0,19.384615,7,1.3846,0
4,0,0,0,84,1,0,0.945946,0.4375,0,0,19.75,12,3.25,0
4,0,54,0.835,457,0.9,2,0.804124,0.194444,2,2,20.285714,3,1,1
1,0,3,1.5,8,0,0,0,0.666667,0,0,0,1,1,0
4,0,3,2,83,0,0,0.956522,0.666667,1,1,26.666667,4,2,0
4,1,2700,0.977952,1021,1,6,0.506494,0.205937,1,1,11.779221,14,1.7532,1
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,0,0.333333,36,1,0,0,0.4375,0,0,7.75,1,0.75,0
4,0,15,2,106,0,0,0.936709,0.555556,1,2,16.666667,4,1.3333,0
2,2,28,0.546875,344,1,2,0.792208,0.294118,2,4,18.764706,5,2.1176,1
2,0,0,0.333333,27,1,0,0.666667,0.625,1,1,5.5,1,0.75,0
4,0,15,0.566667,279,0.666667,2,0.854839,0.327273,3,6,24.090909,10,2.5455,1
2,0,54,0.84375,450,1,0,0.727273,0.346154,2,6,33,6,1.3077,1
1,0,276,2,24,0,0,0,0.089286,0,0,0,1,1,0
2,0,8,1,379,1,0,0.857143,0.416667,0,0,74.4,12,3.2,1
1,0,55,0.696429,161,1,1,0,0.293333,1,1,9.466667,3,1.3333,0
1,0,0,0,69,1,0,0,0.533333,0,0,12.6,3,1.2,0
1,0,1,0.5,120,1,0,0,0.666667,0,0,38.333333,6,3,0
3,0,6,1.05,193,1,0,0.882353,0.533333,0,0,36.6,5,1.6,1
4,0,9,0.916667,210,0.666667,0,0.928571,0.642857,2,2,28.142857,13,3.4286,1
1,0,0,0.423077,419,1,0,0,0.285714,0,0,28.785714,7,3.6429,0
4,0,271,0.955789,392,0.473684,0,0.657534,0.384615,2,3,13.346154,9,1.5,0
4,0,774,0.923342,1254,0.962963,9,0.65,0.127907,4,6,26.886364,5,1.2045,1
1,0,10,2,5,0,0,0,0.4,0,0,0,1,1,0
4,0,233,0.892,881,1,1,0.709302,0.157051,2,2,32.115385,4,1.0769,1
4,0,100,0.9375,241,0.461538,0,0.75,0.382353,2,3,12.411765,7,1.4118,0
1,0,1627,0.949875,1752,0.642857,1,0,0.160234,0,0,28.965517,17,2.6379,1
1,0,107,0.636364,689,1,2,0,0.26087,0,0,28.73913,7,2.1304,1
3,0,17,0.771429,224,1,1,0.804348,0.4,1,1,18.727273,3,1,0
1,0,0,0.52381,133,1,0,0,0.325,0,0,15.25,6,2,0
2,0,8,0.875,77,0.5,0,0.571429,0.4375,1,2,14,2,0.8,0
3,0,0,0.833333,33,0.5,0,0.909091,0.583333,0,0,6.75,2,1,1
1,0,3,0.6,51,1,0,0,0.666667,0,0,7.166667,1,0.8333,0
1,0,15,0.833333,388,0.333333,0,0,0.2,0,0,54,3,1.2857,1
5,0,0,0.688889,328,1,1,0.777778,0.375,2,5,30.8,12,2.3,0
2,0,0,1,115,1,0,0.727273,0.625,2,3,27,1,0.75,0
3,0,86,0.892045,348,1,2,0.698113,0.15508,1,1,18.823529,8,2.2353,1
5,0,68,0.75,199,1,0,0.837838,0.292308,2,8,14.153846,5,2.1538,0
2,0,0,0.96875,251,1,0,0.888889,0.5,1,3,77.333333,11,5.3333,0
1,0,0,0,58,1,0,0,0.666667,0,0,17.666667,4,1.6667,0
2,0,11,0.95,195,0.583333,11,0.727273,0.4,1,1,29.5,3,1,0
3,13,46,1.020833,189,0.3,0,0.770833,0.375,0,0,12,3,1,0
4,0,66,0.875,184,0.5,0,0.8,0.512821,2,3,12.846154,4,1.3846,0
3,0,12,0.880952,133,1,2,0.840909,0.270833,1,1,14.875,3,1.625,0
3,0,268,0.85119,879,1,6,0.578125,0.125,1,1,28.689655,29,3,1
1,0,0,1.142857,156,1,1,0,0.583333,0,0,46.333333,9,4.3333,0
4,0,0,0,34,1,0,0.918919,0.5,1,1,7.25,2,1,0
1,0,130,0.852632,125,1,0,0,0.36,0,0,5,4,1.05,0
1,0,72,0.929167,463,0.5625,1,0,0.177778,0,0,26.9375,5,1.9375,0
1,0,0,2,15,0,0,0,1,0,0,3,0,0,0
3,2,62,0.638889,202,1,1,0.755102,0.307692,0,0,14.307692,5,1.5385,1
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,28,2,271,0,0,0,0.45,0,0,32.875,7,2.875,0
1,0,0,2,7,0,0,0,0,0,0,0,0,0,0
1,0,0,0.9,74,0.6,3,0,0.583333,0,0,12.8,5,1.2,0
3,0,0,0.454545,192,1,0,0.75,0.238095,1,1,14.833333,4,1.6667,0
1,0,244,0.815476,712,1,4,0,0.17803,0,0,26.92,8,1.48,1
5,0,0,0,27,1,0,0.928571,0.666667,0,0,7.666667,1,0.3333,0
4,0,1,2,22,0,0,0.985507,1,1,1,10,1,0.5,0
1,0,53,0.825,968,0.5,0,0,0.183333,0,0,86.272727,17,3.1818,1
3,0,3,2,25,0,0,0.8,0.666667,2,2,7.333333,1,0.6667,0
4,0,28,0.78125,156,1,0,0.864407,0.481481,2,2,15.888889,1,0.8889,0
6,0,233,0.8,269,1,0,0.857143,0.269231,1,7,9.115385,3,1.3846,0
3,0,0,0.666667,191,1,1,0.860465,0.314286,0,0,25.714286,2,1,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,6,0.75,24,1,0,0,0.7,0,0,3.4,1,0.8,0
3,0,3,0.4,135,1,0,0.880952,0.5,0,0,21.166667,2,1,0
3,0,0,0.5,82,1,2,0.902439,1,1,1,15,3,1.2,0
3,0,4,0.909091,377,1,1,0.840909,0.5,1,1,44.75,7,1.875,0
1,0,21,2,7,0,0,0,0.642857,0,0,0,1,1,0
6,1,126,0.7875,274,1,0,0.871429,0.178571,5,19,11.666667,4,1.381,0
2,0,302,0.962963,1230,1,0,0.542373,0.272321,2,8,41.785714,20,2.2857,0
1,0,0,2,25,0,0,0,0,0,0,0,0,0,0
2,0,3,2,44,0,0,0.92,1,1,1,13.666667,1,0.6667,0
4,0,0,0,55,0,0,0.962264,0.666667,1,1,17,1,0.6667,0
3,0,63,0.923077,615,1,0,0.74,0.222222,1,1,42.142857,3,1.2857,0
2,0,0,0.666667,105,1,0,0.75,0.5,0,0,24.5,1,0.75,0
3,0,3,0.75,104,1,1,0.902439,0.533333,1,1,15.666667,1,0.6667,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,0,0,182,1,2,0,0.6,0,0,88.5,9,4.5,0
1,7,11,1.083333,124,0.214286,0,0,0.357143,0,0,14.714286,1,0.8571,0
2,0,0,0.222222,68,1,1,0.625,0.5,1,1,15.25,1,0.75,0
2,0,6,0.742857,122,1,1,0.5625,0.4375,0,0,13.625,2,1.125,0
3,0,21,0.740741,359,1,0,0.804348,0.45,0,0,34.3,2,1.1,0
1,0,6,2,4,0,0,0,0.625,0,0,0,1,1,0
1,0,0,0,43,1,1,0,0.666667,0,0,6,1,0.8333,0
1,0,58,0.833333,292,1,0,0,0.32967,0,0,20.923077,10,1.8462,0
1,0,3,0.75,70,1,1,0,0.533333,0,0,10,1,0.6667,0
4,0,148,0.923077,285,0.538462,0,0.716418,0.375,2,2,12.6,5,1.3,0
2,0,1,2,20,0,0,0.875,0.75,1,1,9,1,0.5,0
1,0,145,0.794118,1004,1,2,0,0.184874,0,0,54.666667,47,6.7778,1
3,0,365,0.905556,466,1,3,0.560606,0.209524,0,0,13.645161,4,1.2581,0
4,0,1,2,12,0,0,0.977778,0.75,0,0,5,1,0.5,0
2,0,44,0.80303,231,1,2,0.45,0.291667,0,0,17.75,5,1.6667,0
3,0,8,0.714286,214,1,1,0.840909,0.5,2,2,25.25,6,1.75,0
4,0,3,2,82,0,0,0.956522,0.5,1,1,26.333333,6,2.3333,0
1,0,81,0.857143,230,0.857143,0,0,0.285714,0,0,14.928571,5,1.5714,0
2,1,21,0.733333,94,1,1,0.608696,0.4,2,3,7.272727,1,0.8182,0
3,2,1,0.5,25,1,0,0.882353,0.833333,1,1,7,3,1.3333,0
4,0,22,2,791,0,0,0.909091,0.703704,4,9,86.888889,23,4.8889,1
1,0,1,0.7,74,1,0,0,0.555556,0,0,10.666667,1,0.8333,0
2,2,6,0.9,185,0.4,6,0.8,0.5,1,1,34,5,1.2,0
1,0,6,1,56,1,1,0,0.375,0,0,12.75,1,0.75,0
1,0,417,0.927894,2098,0.387097,0,0,0.290441,0,0,58.057143,19,2.5143,1
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
4,0,69,0.826531,498,1,0,0.847826,0.233333,3,5,31.733333,7,1.4667,1
2,0,3,0.666667,108,1,0,0.5,0.428571,1,1,13.714286,2,1,0
1,0,0,0.769697,381,1,0,0,0.818182,0,0,29.5,3,1.6667,1
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
4,0,22,0.89881,623,0.571429,2,0.876404,0.27381,1,2,45.846154,1,0.8462,1
2,0,402,0.889167,4541,0.933333,2,0.116279,0.191667,1,1,109.02439,47,5.5854,1
1,0,68,0.929167,400,0.4,0,0,0.708333,0,0,28.230769,50,4.5385,1
1,0,76,0.791667,165,1,2,0,0.195313,0,0,8.8125,4,1.3125,0
3,0,30,0.781818,282,1,1,0.770833,0.472222,1,1,22.083333,6,2.0833,0
1,0,0,0.333333,24,1,0,0,0.875,0,0,4.75,1,0.75,0
4,0,152,0.833333,573,0.888889,2,0.672131,0.178571,1,1,25.857143,23,3.1905,1
3,0,14,0.8125,90,1,1,0.840909,0.40625,0,0,8.333333,1,0.7778,1
3,0,27,0.837607,372,0.666667,0,0.74,0.214286,1,1,24.928571,5,1.8571,0
1,0,0,2,26,0,0,0,0,0,0,0,0,0,0
2,0,9,1.0625,278,0.375,0,0.642857,0.555556,0,0,36.428571,3,1,0
3,0,0,0.64,131,1,0,0.880952,0.555556,2,2,20,1,0.8333,0
5,0,0,0.777778,107,1,0,0.848485,0.47619,2,5,13.857143,5,1.2857,0
5,0,0,2,4,0,0,1,1,0,0,3,0,0,0
1,4,113,0.890756,356,0.857143,0,0,0.268908,0,0,18.388889,11,1.7778,1
1,0,66,1.045455,261,0,0,0,0.259259,0,0,20.583333,8,1.9167,0
4,1,0,0,75,1,1,0.933333,0.4375,2,5,17.5,3,1.5,1
4,0,4,0.714286,274,1,0,0.917647,0.46875,4,4,32.5,5,1.375,0
3,0,133,0.571429,625,1,0,0.588235,0.266234,2,3,27.227273,9,2.8182,0
1,1,0,0,51,1,0,0,0.625,0,0,11.5,1,0.75,0
2,0,77,0.877551,315,1,3,0.566667,0.222222,1,1,19.533333,2,0.9333,0
3,1,86,0.878788,631,0.909091,3,0.72549,0.188889,2,2,37.75,4,1.1875,1
4,5,348,0.037037,204,1,0,0.564516,0.079193,0,0,6.25,4,1.2143,1
