@relation lucene-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R10

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,5,13,18,1,5,1,0.333333,0,0.6,0,0,18.333333,1,0.6667,1
2,0,0,2,13,4,0.25,0,2,0.285714,0,0,18.142857,1,0.8571,0
3,0,0,1,7,12,0.461538,1,1,0.196429,2,2,11.857143,6,1.2857,1
1,1,0,13,1,3,0.666667,0.333333,1,0.583333,0,0,6.333333,1,0.6667,1
3,0,1,1,10,3,1,1,1,0.533333,1,3,28,3,1.6667,1
1,6,3,25,3,3,2,0,0,0.833333,0,0,4,1,0.6667,1
1,0,78,11,8,12,1.041667,0,1,0.427083,0,0,0.384615,1,0.9231,1
1,7,147,40,0,17,0.921569,1,0,0.25,0,0,16.277778,1,0.9444,1
1,6,70,15,1,11,0.729167,1,0,0.769231,0,0,8,2,1,1
4,0,1,2,6,0,2,0,0,0.583333,1,1,31,1,0.5,1
2,0,0,2,3,3,0.333333,0,3,0.466667,0,0,12.666667,3,1.3333,0
1,1,67,10,22,12,0.897436,0.333333,12,0.403846,0,0,12.357143,1,0.8571,1
1,0,1,0,2,2,2,0,0,0.75,0,0,2.5,1,0.5,0
1,0,92,18,5,8,0.776871,0.52381,1,0.182857,1,1,41.972222,4,1.3056,1
2,2,42,3,1,10,0.695313,0.625,0,0.302083,1,5,26.647059,8,1.2941,0
2,0,8,2,0,3,0.5,0,0,0.45,1,2,16.4,3,1.2,0
1,0,0,0,13,22,0.344,1,4,0.184615,0,0,26.269231,2,1.1538,1
2,0,0,1,2,5,0.375,0,0,0.466667,1,2,18.6,1,0.8,0
1,3,3,10,1,0,2,0,0,0.555556,0,0,1,1,0.6667,0
1,0,55,6,12,11,2,0,0,0.263636,0,0,0,1,1,1
2,0,0,1,3,3,0.666667,0.666667,1,0.47619,0,0,14.5,4,2,0
1,3,167,26,3,18,0.962963,1,1,0.25,0,0,16.894737,1,0.8947,1
2,0,102,2,8,16,0.578947,1,2,0.128125,2,4,21.55,7,1.8,1
1,0,6,2,0,4,2,0,0,0.333333,0,0,35.75,1,0.75,1
2,0,1,4,2,0,2,0,0,0.666667,1,3,18.5,4,2,1
3,0,7,1,2,4,0.85,0.5,0,0.4,1,2,17,1,0.5,1
2,0,38,5,3,10,0.658333,0,1,0.214286,1,4,32.615385,8,2.3846,0
1,0,0,1,6,6,0.574074,1,3,0.228571,0,0,28.7,4,1.6,0
1,0,15,14,0,6,2,0,0,0.375,0,0,0,1,1,1
1,3,21,6,4,0,1,0,1,0.342857,0,0,1,1,0.8571,0
2,1,17,1,1,8,0.555556,0.75,0,0.36,1,5,17.1,1,0.9,0
1,0,4,5,0,0,1.24359,0,0,0.444444,0,0,67,4,1.75,0
4,0,553,22,10,28,0.937997,0.411765,1,0.162162,1,2,17.736842,6,1.2895,1
2,0,0,2,6,17,2,0,0,0.30719,1,6,27.352941,4,0.8824,1
1,1,0,1,2,0,0.466667,1,1,0.611111,0,0,28.166667,3,1.3333,1
2,0,6,1,10,2,0.8,0,3,0.333333,0,0,35,1,0.6,1
1,0,1,8,0,2,2,0,0,1,0,0,0,1,1,0
4,1,1,1,1,1,2,0,0,0.666667,1,1,3.5,1,0.5,0
2,0,15,3,5,5,2,0,0,0.333333,2,3,8.5,3,1.1667,1
2,0,24,2,12,5,0.916667,0,6,0.270833,0,0,16.555556,6,2,0
3,0,0,4,7,11,0.454545,1,0,0.22619,2,2,23.166667,7,1.6667,1
1,1,10,5,2,0,2,0,0,0.4,0,0,0.6,1,0.8,0
1,0,1,17,0,2,2,0,0,0.5,0,0,9.5,2,1,1
3,0,4,1,7,3,0.666667,1,0,0.5,1,1,12.5,2,1,1
1,0,196,2,2,10,0.968496,0.707317,0,0.214286,0,0,26.52,3,1.28,0
1,0,38,3,6,9,0.767857,0.857143,3,0.197917,0,0,40.823529,6,1.5294,1
2,0,0,1,1,11,0.35,0,1,0.242424,1,5,7.727273,1,0.9091,0
1,0,22,1,0,6,0.428571,1,0,0.178571,0,0,14.625,5,1.375,1
2,0,1,3,1,2,1,0,0,0.875,0,0,6.5,0,0,1
3,0,15,2,0,4,1.12,0,0,0.5,1,1,28.833333,14,2.8333,1
1,1,3,5,1,0,2,0,0,1,0,0,1,1,0.6667,0
1,0,39,4,30,0,0.812937,0.884615,10,0.169421,0,0,80.521739,6,1.087,1
3,0,0,1,2,8,0.75,0.5,0,0.288889,2,2,12.9,2,0.7,0
1,0,1998,18,46,0,0.941202,0.409836,12,0.069867,0,0,35.5,23,2.0132,1
3,0,8,0,4,7,0.285714,1,1,0.4375,2,2,13.25,2,1,1
1,0,1,0,1,2,2,0,0,0.75,0,0,17.5,3,1.5,0
2,4,0,9,1,2,0.333333,1,0,0.75,0,0,4.25,1,0.5,1
1,0,3,0,0,1,1,0,0,0.333333,0,0,7.666667,2,1,0
1,2,0,12,0,0,2,0,0,1,0,0,3,0,0,0
2,0,9,10,1,5,0.2,1,0,0.333333,1,1,9.666667,3,1.1667,1
1,0,2,1,3,6,0.178571,1,2,0.34375,0,0,13,2,1,0
1,5,5,5,0,1,0.6,0.5,0,0.7,0,0,13.333333,1,0.5,0
1,0,98,3,6,9,0.765,1,5,0.204082,0,0,22.761905,3,1.2857,1
1,0,276,19,1,24,2,0,0,0.291667,0,0,0,1,1,1
1,0,1,1,0,0,1,0,0,1,0,0,17,0,0,1
2,2,1,2,8,6,0.333333,1,1,0.342857,2,3,18.285714,5,1.5714,1
1,0,19,4,0,7,0.979167,0,2,0.52381,0,0,4.857143,2,0.7143,1
3,0,3,0,4,3,2,0,0,0.555556,2,3,5.666667,1,0.6667,0
2,0,3,0,3,6,0.6,1,0,0.380952,0,0,9.833333,1,0.6667,0
3,0,3,1,16,6,0.4,1,1,0.351852,2,3,48.166667,1,0.8333,1
3,1,2,3,4,7,0.475,1,1,0.355556,1,3,29.333333,1,0.7778,1
1,0,21,1,0,7,2,0,0,0.321429,0,0,21.142857,4,2.5714,0
2,0,1,1,2,6,0.583333,1,0,0.444444,1,2,47.571429,2,0.8571,0
1,0,64,3,10,5,0.712919,0.818182,3,0.205263,0,0,49.5,2,1,1
2,0,37,4,17,4,0.779221,0,6,0.190476,0,0,48.333333,5,1.5333,1
1,0,79,2,12,6,0.709402,1,7,0.25,0,0,31.421053,4,1.1053,1
3,0,69,0,13,12,0.96337,0.571429,0,0.205128,0,0,49.142857,1,0.8571,0
1,0,1,0,6,2,2,0,0,0.5,0,0,85,1,0.5,0
1,1,21,2,5,1,2,0,0,0.428571,0,0,1.142857,1,0.8571,1
2,0,15,2,8,1,1,0,2,0.333333,0,0,3.666667,1,0.8333,0
1,0,3,2,2,3,2,0,0,0.833333,0,0,8.333333,2,1,0
1,3,1,15,1,2,2,0,0,1,0,0,1.5,1,0.5,1
1,0,0,1,1,0,2,0,3,1,0,0,12,0,0,0
1,0,0,0,2,2,0,1,0,0.666667,0,0,14.5,3,1.5,0
1,1,64,41,0,11,0.611111,1,0,0.292308,0,0,13.923077,4,1.4615,1
1,0,10,17,0,5,2,0,0,0.6,0,0,0,1,1,1
1,0,0,3,4,0,0.75,0.333333,4,0.4,0,0,19.4,5,1.6,1
2,0,5,1,2,5,0.583333,1,0,0.416667,0,0,185.142857,5,2.1429,1
1,0,0,4,1,5,0.44,0.2,1,0.4,0,0,61.833333,4,1.6667,0
1,0,3,0,0,2,2,0,0,0.333333,0,0,54,1,0.6667,0
1,0,4,0,1,6,0.547619,0.5,1,0.309524,0,0,28.25,8,2.75,0
2,0,70,2,7,16,0.72,1,2,0.5,1,5,15.375,1,0.875,0
2,0,0,3,14,5,0.763889,0.333333,5,0.179487,0,0,43,20,3.3077,0
1,0,0,7,0,2,0.875,0.125,7,0.555556,1,1,17.75,5,1.5,1
2,0,0,3,9,6,0,1,1,0.416667,2,2,12.833333,2,1,1
2,0,0,2,8,7,0.5,0.5,0,0.357143,1,2,27.25,1,0.25,1
2,0,11,0,3,6,0.85,1,0,0.388889,0,0,16.666667,4,1.5,0
3,0,0,1,3,6,0.466667,1,2,0.5,1,3,17.333333,1,0.8333,1
1,0,99,3,9,2,0.847594,0.470588,4,0.231405,0,0,48.869565,2,0.8696,0
1,0,0,0,0,3,1.166667,0.5,0,0.333333,0,0,29.25,6,2.5,1
1,0,32,3,1,10,0.783333,0.8,1,0.269231,1,1,9,7,1.3846,0
3,0,2,0,3,3,0.75,0.5,0,0.333333,1,2,139.8,79,16.2,0
2,0,208,2,7,11,0.894231,0.769231,2,0.178571,0,0,19.72,4,1.52,1
3,0,0,2,2,1,1,1,0,0.5,1,4,14.5,1,0.5,0
2,0,0,0,4,3,0,1,1,0.666667,1,1,8,1,0.6667,1
1,0,99,1,0,14,0.857143,0,0,0.339286,0,0,237.2,8,3.3333,1
1,0,60,0,15,8,0.763889,0.5,1,0.1875,0,0,113.769231,3,1.0769,1
1,0,19,3,1,0,0.833333,0.5,1,0.386364,0,0,10.545455,2,0.9091,0
2,0,10,1,1,4,2,0,0,1,1,2,2,1,0.8,0
4,0,0,8,0,1,2,0,0,1,0,0,4,0,0,0
1,0,61,11,1,13,0.692308,0,3,0.320513,0,0,11.285714,3,0.7143,1
2,0,2,2,12,5,0.8125,0,4,0.4,0,0,13,3,1.6,1
1,0,6747,16,34,88,0.886538,0.737705,12,0.070034,0,0,49.680723,7,1.3795,1
2,0,0,1,5,11,0.45,1,0,0.287879,2,3,30.090909,15,3.0909,1
2,0,3,0,4,3,2,0,0,0.777778,1,2,9.333333,1,0.6667,1
1,0,91,9,0,14,2,0,0,0.261905,0,0,15.285714,2,1.6429,1
1,1,0,1,3,1,0.611111,1,1,0.5,0,0,45.7,2,1,0
2,0,2,1,9,15,0.577778,0.333333,0,0.3625,1,6,22.9375,2,0.8125,1
2,0,0,9,16,4,0.836538,0,6,0.232143,1,1,83.111111,12,3.6667,1
1,2,28,5,5,0,1,0,1,0.267857,0,0,0.875,1,0.875,0
2,5,15,14,7,5,2,0,0,0.5,1,1,1.833333,1,0.8333,1
2,2,8,5,2,6,0.5,1,2,0.407407,1,2,10.222222,2,1,0
3,1,0,4,20,21,0.710317,1,1,0.126689,2,11,29.027027,6,1.2973,1
1,1,2716,1,33,44,0.908333,0.571429,12,0.093421,0,0,41.407407,23,2.1852,1
2,0,17,2,19,2,0.775,0,6,0.222222,0,0,52.363636,15,2.8182,1
3,1,1464,13,33,28,0.903738,0.580645,13,0.139194,2,15,33.421875,30,1.6719,1
2,0,3,1,4,3,2,0,0,0.777778,1,2,9.333333,1,0.6667,1
2,0,172,2,21,5,0.855263,0.75,3,0.245614,1,4,20.7,7,1.25,1
2,0,0,3,3,0,0.375,0,1,0.5,1,3,74.2,26,6.6,0
2,4,8,4,4,8,0.428571,1,0,0.3125,2,2,5.625,4,1.25,1
1,7,1,23,0,2,2,0,0,0.666667,0,0,1.5,1,0.5,1
2,0,46,3,11,3,0.833333,0,5,0.19697,0,0,26.307692,14,2.4615,0
1,2,21,5,1,6,2,0,0,0.47619,0,0,1.571429,1,0.8571,0
3,0,0,1,7,12,0.423077,1,2,0.214286,2,2,14.857143,6,1.2857,1
3,0,4,1,4,2,0.75,0.5,0,0.416667,1,2,31.25,1,0.5,0
2,0,8,3,6,7,0.428571,1,1,0.25,2,3,10.5,5,1.5,1
4,0,0,0,14,13,0,1,1,0.205128,0,0,8.153846,1,0.9231,1
2,0,0,0,12,23,0,1,1,0.185714,1,9,6.107143,1,0.9643,1
1,0,18,1,1,6,0.428571,1,0,0.314286,0,0,68.875,8,2.5,1
3,0,3,1,3,2,1.5,0,0,0.555556,1,1,8.666667,1,0.6667,1
2,0,3,2,3,0,2,0,0,0.555556,1,3,14.666667,4,1.6667,0
2,0,0,8,16,2,0.333333,0.333333,6,0.466667,0,0,110.333333,1,0.6667,1
1,0,0,3,1,14,0.230769,1,0,0.428571,1,1,15,6,1.5,0
2,0,0,2,3,3,0.75,0,1,0.6,0,0,9.666667,1,0.6667,0
2,0,10,3,8,3,1,0,2,0.4,0,0,4.2,1,0.8,0
1,0,0,3,3,10,0.703704,1,2,0.325,0,0,16.4,3,1.1,1
1,0,10,2,5,4,1,0,1,0.7,0,0,1,1,0.8,1
2,0,0,10,16,7,0.785088,0.291667,11,0.157895,0,0,78.05,12,3.75,0
2,0,0,0,16,24,0.710938,1,1,0.170799,1,9,23.030303,4,1.1212,1
4,0,0,3,0,1,2,0,0,1,0,0,4,0,0,0
3,1,0,2,5,5,0.520833,1,2,0.309524,1,3,25,1,0.8571,1
3,0,0,3,9,13,0.583333,1,0,0.211538,2,2,26.307692,7,1.6923,1
2,0,32,2,12,3,0.90625,0.5,1,0.25,0,0,44,1,0.7778,0
2,0,0,2,2,0,0.484848,1,2,0.625,1,1,41.75,2,1.25,0
1,0,0,1,4,0,0.1875,0,0,0.3,0,0,43.6,7,2.6,1
1,0,253,1,4,7,0.719814,0.210526,1,0.405882,0,0,85.885714,112,7.8286,1
1,0,3,4,5,2,2,0,0,0.666667,0,0,6,1,0.6667,1
2,1,9,5,7,6,0.5,0,1,0.265306,2,3,9.428571,4,1.2857,1
1,5,15,37,1,6,2,0,0,0.583333,0,0,2.5,1,0.8333,1
2,2,8,2,2,7,0.285714,0,0,0.5,1,1,4.875,1,0.75,0
2,0,0,2,7,5,0,1,1,0.533333,1,1,13,1,0.8,0
1,0,0,2,11,2,0.628571,0.571429,5,0.3,0,0,97.666667,1,0.6667,1
3,0,0,1,9,7,0.545455,1,2,0.285714,1,3,43.222222,2,1,1
3,0,1,0,7,1,2,0,0,0.833333,0,0,25,5,2.5,1
3,0,9,2,6,6,0.777778,0.333333,1,0.333333,2,3,15.714286,6,1.7143,1
1,0,170,3,17,0,0.810897,0.846154,5,0.208333,0,0,40.12,5,1.2,1
1,9,8,12,0,9,0.444444,1,0,0.461538,0,0,21.307692,7,2.0769,1
1,15,72,51,7,12,0.833333,1,0,0.230769,0,0,18.076923,9,1.8462,1
1,0,4,4,3,4,0.821429,1,2,0.35,0,0,20,2,1.2,1
1,2,124,51,4,16,0.875,1,1,0.18125,0,0,4.411765,1,0.8824,1
2,0,0,1,8,6,0,1,1,0.333333,2,3,23.666667,4,1.5,1
3,0,10,3,3,9,0.977273,0.1875,1,0.287879,2,3,18.083333,1,0.75,1
2,0,2,0,3,5,0.7,0.8,0,0.428571,0,0,35.6,18,4,0
3,0,9,2,6,6,0.777778,0.333333,1,0.333333,2,3,15.714286,6,1.7143,1
2,0,0,1,6,5,0.666667,0.666667,0,0.375,2,2,11.428571,3,1,0
1,0,0,0,2,4,0,0,0,0.4,0,0,19.5,2,0.5,0
1,0,13,1,0,13,0.600962,1,0,0.253086,0,0,41.592593,26,5.6667,0
1,0,6,24,1,4,2,0,0,0.5,0,0,0,1,1,0
2,0,0,2,3,3,0.833333,0.5,0,0.416667,0,0,6.25,1,0.75,1
1,2,19,26,2,5,0.833333,0,0,0.388889,0,0,9,1,0.7143,1
3,0,0,0,8,7,0.142857,1,1,0.375,1,1,13.625,3,1,1
2,0,0,1,7,9,0.083333,1,0,0.314815,2,2,75.555556,14,3.2222,1
1,0,1,1,1,2,2,0,0,0.666667,0,0,0,1,1,0
2,0,0,1,6,5,0.666667,0.333333,0,0.375,2,2,12.428571,3,1,0
3,0,0,1,3,6,0.333333,1,2,0.47619,1,3,24.142857,1,0.8571,1
3,0,2,0,4,2,0.777778,0.333333,1,0.416667,1,2,17.75,1,0.5,0
1,0,1,2,8,0,0.719048,0.52381,7,0.366667,0,0,56.909091,7,1.2727,1
2,0,0,1,2,0,0.571429,1,0,0.425,1,3,17.875,1,0.875,0
2,1,0,2,21,14,0.466667,1,1,0.23125,1,5,34.875,6,1.25,1
2,0,0,4,7,4,0.761111,0.533333,6,0.211538,1,2,28.153846,1,0.9231,0
2,0,12,4,10,13,0.625,1,0,0.158824,2,4,23.058824,7,2.0588,1
1,0,7,4,0,4,0.708333,0.5,0,0.388889,0,0,17.714286,5,1.4286,1
2,0,80,2,5,8,0.866667,0.857143,0,0.214286,0,0,11.5,2,0.75,1
1,1,15,4,4,0,2,0,0,0.366667,0,0,0.5,1,0.8333,0
2,0,0,1,5,3,0.458333,1,1,0.458333,0,0,27.75,5,2.75,0
3,1,0,2,5,9,0.454545,1,1,0.416667,1,3,28.083333,1,0.8333,1
1,0,0,2,0,0,2,0,0,0,0,0,140,0,0,0
1,1,21,4,4,0,1,0,1,0.342857,0,0,1,1,0.8571,0
2,0,72,1,24,2,0.866667,0.2,2,0.155556,1,1,64.461538,4,1.1538,1
2,0,10,4,13,5,0.729167,0,3,0.208333,0,0,36.692308,9,1.8462,1
3,0,0,1,2,3,1.333333,0,0,0.5,1,2,5.5,1,0.75,1
1,0,2,11,0,8,0.666667,0.666667,1,0.5,1,1,7.888889,5,1.1111,1
3,0,9,2,6,6,0.777778,0.333333,1,0.333333,2,3,15.714286,6,1.7143,1
2,2,1,2,3,2,2,0,0,0.75,0,0,1.5,1,0.5,0
2,1,0,2,5,4,0.6,1,2,0.5,0,0,18,4,1.3333,1
1,0,0,4,1,3,0.357143,0.142857,1,0.666667,0,0,32,2,1,0
2,0,3,0,4,3,2,0,0,0.777778,1,2,9.333333,1,0.6667,1
2,2,114,8,10,24,0.846429,0.8,0,0.267857,1,8,34.413793,3,1.0345,1
3,0,7,0,3,3,0.8,0.5,0,0.4,2,3,16.166667,1,0.6667,1
1,0,0,6,2,10,0.333333,1,2,0.375,1,1,9.2,4,1.4,0
1,0,3,2,0,3,2,0,0,1,0,0,0,1,1,0
2,0,0,1,1,5,0.125,0.5,0,0.466667,1,2,15,1,0.8,0
2,0,6,1,3,4,0.75,1,2,0.625,0,0,3.4,1,0.6,0
1,1,0,23,0,1,2,0,0,1,0,0,9,0,0,1
1,1,0,3,1,7,0.571429,1,0,0.35,0,0,15.25,4,1.75,0
1,3,15,6,2,6,2,0,0,0.444444,1,1,1,1,0.8333,0
3,0,2,0,3,2,0.75,0,0,0.4,1,2,17.75,1,0.5,0
2,0,0,4,20,14,0.357143,0.5,1,0.189744,1,3,12.533333,1,0.7333,1
3,0,0,2,1,4,0.55,0.4,1,0.4,1,1,79.6,14,4.8,1
3,0,3,1,2,5,1.2,0,0,0.5,1,2,7.666667,1,0.8333,1
1,0,15,45,4,6,2,0,0,0.416667,0,0,0,1,1,1
2,17,13,36,4,4,0.8,1,1,0.458333,0,0,6.166667,1,0.8333,1
1,4,2812,104,25,62,0.946667,0.571429,1,0.100833,0,0,8.407895,12,1.1579,1
3,0,100,2,1,12,0.671053,1,0,0.233333,2,11,27.25,6,2.7,1
1,1,3,5,0,0,2,0,0,1,0,0,1,1,0.6667,0
1,0,0,1,9,2,0.75,0.142857,6,0.416667,0,0,43.8,1,0.6,0
1,0,4,2,1,4,0.583333,0.666667,1,0.5,0,0,27.4,7,2.6,0
5,0,1,2,1,1,2,0,0,0.666667,1,1,3.5,1,0.5,1
2,1,0,9,4,54,0.240741,1,0,0.287879,1,1,26.8,8,1.9455,1
1,0,0,5,3,9,0.285714,1,0,0.321429,0,0,101.266667,10,2,1
1,3,140,3,4,21,0.855978,1,0,0.171875,0,0,23.041667,20,2.125,1
2,0,0,2,6,11,0.384615,1,0,0.171429,2,5,21.571429,6,1.5714,1
1,4,17,11,1,5,0.833333,1,0,0.380952,0,0,2.714286,1,0.7143,0
1,4,6,14,0,4,2,0,0,0.625,0,0,0.75,1,0.75,1
1,0,26,3,14,5,0.675325,0.928571,6,0.321429,0,0,37.833333,4,1.1667,1
3,0,26,1,7,7,0.609091,1,3,0.305556,1,3,36.583333,2,1.0833,1
3,1,0,2,8,10,0,1,1,0.266667,2,2,11.1,4,1.3,1
1,0,3,1,0,2,2,0,0,0.333333,0,0,19.666667,4,2.6667,0
1,0,0,3,1,5,0.666667,1,1,0.45,0,0,5.4,1,0.6,0
2,0,0,1,2,6,0.5,0.875,1,0.270833,1,4,27.5,2,1,0
1,3,270,30,14,23,0.913043,1,1,0.275,0,0,4.708333,1,0.9583,1
4,0,4,2,5,2,2,0,0,0.35,1,1,9.5,4,1.5,1
1,6,9,14,1,4,0.6,1,0,0.5,0,0,4,1,0.8333,1
2,0,3,2,3,4,0.2,1,0,0.611111,0,0,15.833333,2,0.6667,1
4,0,0,2,0,1,2,0,0,1,0,0,4,0,0,0
2,8,0,8,1,2,0,1,1,0.666667,0,0,5.333333,1,0.6667,1
2,0,0,2,9,5,0.694444,0,4,0.277778,0,0,19,3,1,0
1,0,1,6,2,5,1.075758,0.363636,0,0.333333,0,0,135.857143,14,7.7143,1
2,0,1,3,2,0,2,0,0,0.666667,1,3,24.5,6,3,0
3,2,0,2,7,6,0.666667,1,4,0.21978,1,3,24.846154,3,1.1538,1
3,0,3,0,5,3,1,1,0,0.666667,1,2,17,1,0.6667,1
2,0,0,0,10,18,0.537037,0.666667,0,0.25,1,2,11.421053,1,0.4211,1
2,0,26,9,2,11,0.688889,0.666667,1,0.175,1,5,19.1875,2,0.9375,0
5,0,0,5,0,1,2,0,0,1,0,0,4,0,0,0
2,0,11,4,12,5,0.766667,0.4,5,0.6,0,0,10.285714,1,0.7143,1
4,0,6,1,0,4,2,0,0,0.666667,0,0,4,0,0,0
1,0,0,29,0,1,0.148148,0,0,0.45,0,0,39.75,8,4.25,1
1,2,10,3,12,8,0.682292,0.875,4,0.230769,0,0,32.769231,1,0.9231,1
1,0,1,14,1,2,2,0,0,1,0,0,0,1,1,1
1,0,0,1,2,4,0.375,1,1,0.6,0,0,10.6,2,1.2,0
3,0,104,5,15,10,0.65625,1,3,0.2375,1,3,22.428571,5,1.0952,1
2,0,0,4,7,11,0.614286,1,0,0.191667,2,3,24.133333,9,2.1333,1
1,0,43,23,2,45,0.655385,0.230769,1,0.285714,1,1,20.745098,12,1.7255,1
1,0,4,0,15,2,0.333333,1,1,0.5,0,0,87.75,1,0.75,1
1,0,0,4,2,1,2,0,0,1,0,0,0,1,1,1
1,1,10,6,4,0,2,0,0,0.466667,0,0,0.6,1,0.8,0
3,0,2,0,4,2,0.777778,0,1,0.4,1,2,12.75,1,0.5,0
