@relation camel-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R11

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,0,4,2,0,0,0.4375,0,11.75,1,1
1,0,0,19,3,2,0,1,0,0,1,1
2,0,4,1,1,0.333333,0,0.75,2,4.75,0.5,0
2,0,318,1,5,0.86039,0,0.199234,4,9.103448,0.8966,1
1,0,10,7,6,2,0,0.44,0,11.6,1,1
4,3,0,4,0,2,0,1,0,5,0,0
1,0,1,1,4,2,0,0.5,0,10.5,1.5,0
3,0,13,1,7,0.466667,1,0.444444,1,11.5,1,0
2,0,3,1,3,2,0,1,1,24.666667,0.6667,0
1,0,0,18,0,2,0,1,0,0,1,1
2,4,7,4,5,0.6,2,0.375,0,6.833333,1,0
5,0,0,1,2,0,0,0.666667,0,9,0.5,1
1,0,230,0,12,0.65,2,0.13,0,11.52,1.04,1
1,0,0,1,4,0,1,0.666667,0,18,0.5,0
3,0,126,4,17,0.782895,2,0.16,1,13.55,1.05,0
0,2,6,2,3,2,0,0.4,0,22.25,1.5,0
1,0,19,6,8,0.966667,2,0.3,0,7.285714,1.1429,0
1,0,0,0,3,0.521739,0,0.373913,0,7.166667,0.8333,0
3,0,0,1,14,0.5,2,0.4375,1,24.4,1.4,0
5,0,1,0,2,2,0,0.625,1,6.5,0.5,0
1,0,0,1,4,0.25,1,0.466667,0,16.333333,1,1
5,0,3,1,1,2,0,0.777778,0,4.333333,0,0
1,0,0,2,2,0,1,0.6,0,7.4,0.8,0
2,0,3,0,1,2,0,0.666667,2,3,0.3333,1
3,0,1,1,3,2,0,0.666667,2,7.5,0.5,0
2,0,28,1,7,2,0,0.347222,1,48.5,3.125,0
3,0,1,0,4,2,0,0.666667,1,4.5,0.5,0
2,2,56,2,10,0.84375,5,0.179688,1,13.529412,1,1
1,0,0,0,0,2,0,1,0,0,1,0
2,0,1,1,1,0.5,0,0.666667,0,3.666667,0.6667,0
4,0,0,0,3,0,1,1,0,5,0,0
1,0,0,0,5,0,2,0.625,0,13,0.5,0
1,0,3486,4,20,0.960359,1,0.092697,0,9.775281,1.4831,0
5,0,0,1,1,1,0,0.666667,0,9,0.5,0
1,0,2,1,7,0.5,2,0.777778,0,31.25,1.5,1
1,0,36,122,7,2,0,0.333333,0,0,1,1
2,0,3,0,1,2,0,0.666667,2,3,0.3333,1
2,0,4,2,1,0.962963,9,0.444444,1,24.5,0.5,0
1,0,1,1,2,0.5,0,1,0,3.333333,0.3333,0
1,0,6,0,0,0.75,0,0.466667,0,3.4,0.8,0
1,0,257,4,8,0.905455,0,0.136364,0,6.884615,1.0769,1
2,0,0,0,1,2,0,1,0,3,0,0
2,0,6,3,6,2,0,0.4375,1,6,0.75,1
3,0,6,3,9,2,0,0.4375,0,9.75,0.75,1
3,0,10,2,6,2,0,0.4,2,6.2,0.4,1
1,0,1,1,2,2,0,0.666667,0,2.5,0.5,1
1,0,0,103,1,2,0,1,0,0,1,0
1,0,66,2,1,2,0,0.1,0,8.333333,0.9167,1
1,0,105,3,1,2,0,0.28,0,33.6,1.5333,1
2,0,165,4,8,0.833333,1,0.245614,3,4.684211,0.8947,0
3,3,6,5,0,2,0,0.666667,0,4,0,1
1,0,9,1,3,0.933333,0,0.5,0,11,2,1
4,2,0,3,0,2,0,1,0,5,0,0
1,0,1,1,2,0.5,0,1,0,3.333333,0.3333,0
1,0,36,6,5,2,0,0.349206,0,0,1,0
1,0,119,3,27,0.745098,2,0.235294,0,18.611111,1.6111,0
1,0,0,0,0,2,0,1,0,0,1,0
1,0,1,21,0,2,0,1,0,0,1,0
2,0,0,0,1,0.333333,0,0.583333,0,4.25,0.5,0
1,0,73,0,10,0.461538,0,0.306122,0,12.571429,1.0714,0
1,0,26,6,8,0.714286,1,0.301587,0,31.125,1.5,0
2,0,6,2,6,2,0,0.4375,1,5.75,0.75,0
2,0,0,1,2,0.333333,0,0.625,1,10,0.75,0
0,0,52,4,13,0.854167,1,0.202381,0,7.923077,1,0
4,0,1,2,1,2,0,0.833333,0,4.5,0,0
2,0,29,0,14,0.82,2,0.340909,0,7.727273,0.9091,0
2,0,330,3,16,0.771605,5,0.117347,0,7.392857,1,1
1,0,0,2,1,2,0,1,0,0,1,1
3,0,14,1,9,0.642857,2,0.285714,0,35.625,1.375,1
1,0,3,0,1,2,0,0.333333,0,72.666667,0.6667,0
3,0,1,0,3,2,0,0.666667,1,11,0.5,0
1,0,0,1,3,0,0,0.583333,0,7.5,0.75,1
2,7,24,7,8,0.555556,1,0.230769,5,9.307692,0.8462,1
1,0,0,0,0,2,0,1,0,0,1,0
1,0,0,1,1,2,0,0,0,0,0,0
3,0,18,1,8,0.5625,1,0.333333,2,8.111111,0.8889,1
2,0,56,1,13,0.666667,0,0.309524,3,23.923077,1.8462,0
3,0,3,1,6,2,0,0.555556,0,9.333333,0.3333,1
1,0,24,1,5,0.571429,0,0.373913,0,15.416667,1.5,0
3,0,3,1,4,2,0,0.5,2,6.666667,0.3333,0
4,0,3,0,8,2,0,0.666667,2,15.666667,0.6667,0
1,0,0,1,2,0.5,0,0.666667,0,8,0.6667,0
1,0,0,3,0,2,0,1,0,0,1,0
1,0,0,1,5,0,1,0.666667,0,14.5,0.5,0
1,2,30,2,9,0.5625,0,0.265625,0,20.444444,2,0
1,0,0,1,0,2,0,1,0,0,1,0
1,0,37,3,8,0.980952,0,0.214815,0,30.333333,1.1333,1
1,0,22,21,3,0.571429,1,0.25,0,20.875,0.75,0
1,0,3,1,4,2,0,0.833333,0,5.666667,0.6667,0
2,0,47,5,17,0.9,0,0.181818,1,6.090909,0.9091,0
2,0,0,8,7,0.571429,1,0.3,1,7.375,1,0
2,0,85,3,13,0.839286,0,0.177778,1,8.133333,1.1333,0
3,0,3,1,3,0.5,1,0.357143,2,9.142857,1.1429,1
2,1,9,1,1,0.666667,0,0.642857,0,4.428571,1.1429,0
2,10,9,11,4,0.777778,1,0.5,5,8.285714,1.1429,1
6,0,0,1,4,0,0,0.6,1,19.5,1.5,0
2,1,0,1,6,0.25,1,0.388889,1,6.222222,0.7778,1
1,11,4361,28,53,0.967742,3,0.067131,0,9.712766,1.0745,1
3,0,1,0,4,2,0,0.666667,1,7.5,0.5,0
4,0,4,1,6,0.5,1,0.4,4,8.2,0.6,0
0,0,2,1,9,0.5,0,0.375,0,16.25,1,0
1,0,2,3,1,0.75,1,0.36,0,5.4,0.8,1
3,0,3,1,8,0.666667,1,0.305556,1,23.666667,0.8333,0
3,0,0,5,4,0,1,0.4375,0,9,0.75,1
1,0,0,0,0,2,0,1,0,0,1,0
3,0,112,6,26,0.770833,2,0.229167,3,11.352941,1.1176,0
2,0,0,1,3,0.333333,2,0.36,5,12,1.2,1
3,0,35,1,4,0.2,0,0.590909,5,4.545455,0.8182,1
5,0,0,1,1,2,0,1,0,5,0,0
4,0,0,1,1,0,0,0.75,0,8.5,0.5,1
5,0,0,0,1,0.833333,0,0.5,0,10.25,0.75,1
1,0,210,270,4,2,0,0.196429,0,0,1,1
1,0,1,4,0,2,0,1,0,0,1,1
2,0,6,1,3,2,0,0.625,4,2.5,0.75,1
2,0,8,1,3,0.25,0,0.4,2,5.6,0.8,0
1,0,253,105,10,2,0,0.202899,0,0,1,1
1,0,1,1,2,2,0,0.75,0,2.5,0.5,1
2,0,0,9,6,0,0,0.5,1,7.75,0.75,0
1,0,1,1,4,0.666667,2,0.36,0,25.166667,2.8333,1
1,0,22,1,7,0.8,3,0.3125,0,12.444444,1.2222,0
1,3,0,3,0,0.333333,0,0.625,0,6.5,0.75,0
3,2,4,2,6,0.625,1,0.5,0,9,0.8,0
3,0,38,1,9,0.611111,2,0.305556,3,18.769231,0.8462,0
1,0,0,0,0,2,0,1,0,0,1,0
2,0,0,1,8,0.25,2,0.416667,0,9,0.6667,0
3,0,0,1,7,0.142857,0,0.291667,2,9.625,0.5,1
1,0,66,1,13,2,0,0.444444,0,5.166667,0.9167,1
1,2,48,2,12,0.886364,1,0.218182,0,23.833333,1.6667,0
2,0,161,14,11,0.787879,2,0.221591,6,11.565217,1,1
2,0,523,4,24,0.920814,2,0.144385,1,8.428571,0.9714,0
1,0,31,5,6,0.346154,2,0.321429,0,22.142857,2.1429,1
2,0,92,3,7,0.703125,1,0.294118,4,7.058824,1,1
4,0,0,5,0,0,0,0.75,0,8.5,0.5,0
1,0,0,4,0,2,0,1,0,0,1,0
2,4,9,5,6,0.4,0,0.361111,0,6.5,0.8333,0
1,0,0,4,1,2,0,1,0,0,1,0
3,0,16,3,8,0.125,1,0.333333,3,10.888889,0.6667,0
4,0,72,3,14,0.780952,2,0.225,1,23.3125,2.3125,1
2,0,189,2,13,0.928571,1,0.174603,1,9.090909,0.9091,1
4,0,15,4,15,2,0,0.366667,0,10.5,0.8333,0
1,1,3,1,6,2,0,0.533333,0,31,1.6667,1
3,0,3,0,5,0.5,2,0.267857,2,18.571429,1.2857,1
3,0,93,1,14,0.821429,1,0.261905,3,13.2,0.8667,0
1,0,3,11,5,2,0,0.416667,0,14.666667,2.3333,1
4,1,9,9,11,0.333333,1,0.333333,0,6.714286,0.8571,0
1,0,7,2,2,0.866667,1,0.583333,0,6.166667,1,1
1,0,429,69,4,0.896552,1,0.103448,1,22.066667,2.7333,1
1,0,0,3,1,2,0,1,0,0,1,0
1,0,1436,1,13,0.663636,1,0.125758,0,10.5,1.125,0
1,0,49,1,11,0.7,0,0.4,4,16.818182,1.6364,0
1,0,0,3,2,2,0,1,0,0,1,0
1,0,0,28,0,2,0,1,0,0,1,0
1,0,3,3,12,1.041667,0,0.666667,0,138.666667,2,1
3,0,30,1,4,0.25,0,0.555556,5,4.444444,0.7778,1
1,0,1,0,0,2,0,1,0,0,1,1
1,0,0,2,1,0,1,0.666667,0,4.333333,0.6667,1
1,0,1,2,2,2,0,0.625,0,0,1,1
4,0,0,5,0,0,0,0.6,1,9.4,0.2,0
2,0,217,4,18,0.636364,3,0.241546,2,9.608696,1,0
1,0,1,1,9,0.5,2,0.666667,0,50.666667,2,1
1,0,1,0,6,2,0,0.75,0,10.5,0.5,0
1,0,10,0,2,0.714286,0,0.285714,0,22,1,0
2,0,206,6,15,0.800926,1,0.190476,1,16.56,1.32,0
1,0,0,5,1,2,0,1,0,0,1,0
3,0,4,1,6,0.75,1,0.533333,0,8,0.8,0
2,9,3,16,4,0.111111,1,0.5,1,6.2,0.8,0
3,0,4,1,7,0.5,1,0.388889,2,9,0.8889,1
5,1,2,1,8,0.75,1,0.4,0,11.8,1,0
2,0,1,2,2,2,0,0.75,0,14.5,0.5,0
2,0,1,1,10,0.638889,4,0.277778,1,11.2,0.9,0
3,0,19,2,7,0.5,0,0.464286,1,7.285714,0.8571,0
2,24,48,26,11,0.727273,1,0.277778,1,10.333333,0.9167,1
1,0,1,1,1,2,0,0.666667,0,7,1.5,0
3,2,37,2,6,0.666667,1,0.3,1,9.818182,0.8182,0
1,0,1,2,0,2,0,0.75,0,0,1,1
3,0,0,1,7,0.25,0,0.5,1,10,0.8,0
1,0,0,5,0,2,0,1,0,0,1,0
3,0,3,1,4,2,0,0.5,1,4.333333,0.3333,0
0,0,61,5,19,0.89011,3,0.201923,0,11.5,1,0
1,3,21,3,9,0.722222,2,0.37037,0,13.7,0.6,1
