@relation 'CM1-weka.filters.unsupervised.attribute.Remove-R1-2,4-6,8-12,14,16-21'

@attribute ev(g) numeric
@attribute l numeric
@attribute lOCode numeric
@attribute lOBlank numeric
@attribute defects {false,true}

@data
1,0.04,10,21,false
1,0.67,1,2,false
1,0.04,6,9,false
1,0.67,1,2,false
1,0.04,7,10,false
1,0.03,35,46,false
1,0.67,1,2,false
1,0.67,1,2,false
1,0.07,8,8,false
1,0.5,1,1,false
1,0.03,18,33,false
1,0.06,5,10,false
1,0.05,11,25,false
1,0.07,2,9,false
3,0.07,4,20,false
1,0.2,3,3,false
1,0.06,2,10,false
1,0.1,5,6,false
1,0.1,5,6,false
1,0.5,3,2,false
1,0.12,4,7,false
1,0.09,3,14,false
5,0.07,4,19,false
1,0.29,0,7,false
5,0.04,21,36,false
1,0.16,0,2,false
1,0.16,0,2,false
1,0.16,0,2,false
1,0.16,0,2,false
1,0.16,0,2,false
1,0.16,0,2,false
1,0.16,0,2,false
1,0.08,2,3,false
1,0.08,2,3,false
4,0.07,14,9,false
1,0.15,4,5,false
1,0.12,3,1,false
1,0.11,3,1,false
1,0.07,0,5,false
10,0.04,6,49,false
15,0.04,20,77,false
1,0.18,0,2,false
1,0.05,1,31,false
1,0.04,11,34,false
1,0.11,11,14,false
1,0.19,2,2,false
1,0.22,2,1,false
1,0.22,3,1,false
1,0.12,5,5,false
1,0.15,6,4,false
1,0.05,1,5,false
1,0.1,0,4,false
9,0.02,6,39,false
1,0.05,7,18,false
5,0.01,16,49,false
3,0.02,12,31,false
1,0.22,1,1,false
1,0.2,2,7,false
1,0.12,3,6,false
1,0.04,7,5,false
1,0.14,0,2,false
4,0.08,1,1,false
1,0.11,2,7,false
1,0.12,0,1,false
4,0.03,5,17,false
1,0.14,2,3,false
1,0.14,2,3,false
1,0.07,1,6,false
3,0.21,0,0,false
1,0.08,4,4,false
1,0.5,0,0,false
5,0.16,0,0,false
9,0.02,44,84,false
1,0.02,28,17,false
5,0.03,3,16,false
1,0.04,0,51,false
1,0.09,0,6,false
1,0.14,0,1,false
1,0.04,4,9,false
1,0.08,4,5,false
1,0.67,0,1,false
8,0.02,0,15,false
8,0.02,0,15,false
9,0.02,1,23,false
9,0.02,1,23,false
4,0.04,1,4,false
4,0.04,1,4,false
4,0.04,1,3,false
4,0.04,1,3,false
9,0.01,1,6,false
15,0.01,1,9,false
6,0.02,1,7,false
7,0.03,3,6,false
8,0.04,0,5,false
1,0.05,10,6,false
1,0.04,0,15,false
5,0.04,25,40,false
1,0.09,0,9,false
1,0.04,0,16,false
15,0.03,6,82,false
1,0.14,0,1,false
4,0.03,5,34,false
1,0.06,9,22,false
1,0.1,0,9,false
1,0.5,0,2,false
3,0.07,3,12,false
3,0.05,4,14,false
13,0.02,5,38,false
5,0.05,4,39,false
1,0.5,1,2,false
1,0.06,4,19,false
1,0.2,0,1,false
1,0.1,9,13,false
1,0.29,0,0,false
1,0.29,0,0,false
1,0.33,0,0,false
1,0.33,0,0,false
1,0.09,0,3,false
1,0.19,1,6,false
1,0.16,0,3,false
1,0.2,0,1,false
1,0.33,0,0,false
1,0.14,0,2,false
1,0.1,0,3,false
1,0.09,4,6,false
1,0.33,0,0,false
1,0.05,1,12,false
1,0.16,0,6,false
1,0.15,0,0,false
1,0.18,0,0,false
1,0.17,0,1,false
1,0.06,0,3,false
7,0.04,6,25,false
1,0.06,3,5,false
1,0.17,3,5,false
1,0.06,7,15,false
1,0.5,2,3,false
1,0.09,4,5,false
1,0.07,2,6,false
1,0.06,2,5,false
1,0.05,3,4,false
1,0.33,3,5,false
1,0.04,3,4,false
1,0.1,1,14,false
10,0.03,28,35,false
1,0.1,1,1,false
1,0.09,7,6,false
1,0.36,0,0,false
1,0.13,2,3,false
1,0.05,8,17,false
1,0.03,10,16,false
1,0.03,14,11,false
1,0.05,2,5,false
27,0.01,80,81,false
1,0.07,1,2,false
1,0.18,2,20,false
10,0.03,35,115,false
12,0.02,53,156,false
1,0.06,15,10,false
9,0.04,19,17,false
27,0.02,61,48,false
1,0.11,1,1,false
1,0.08,1,1,false
7,0.05,6,17,false
3,0.02,30,74,false
1,0.07,8,33,false
1,0.05,1,1,false
1,0.04,1,1,false
1,0.1,1,4,false
9,0.05,5,16,false
3,0.02,30,40,false
9,0.03,25,77,false
1,0.23,0,4,false
1,0.16,0,3,false
1,0.5,0,1,false
1,0.67,0,0,false
3,0.07,2,8,false
1,0.23,0,4,false
1,0.18,0,3,false
1,0.07,4,13,false
1,0.5,0,1,false
1,0.67,0,0,false
1,0.22,1,5,false
1,0.25,1,5,false
1,0.09,0,7,false
1,0.19,0,5,false
1,0.19,0,5,false
1,0.06,1,16,false
1,0.4,2,3,false
1,0.2,1,3,false
1,0.22,1,3,false
1,0.16,2,4,false
1,0.4,2,3,false
1,0.2,1,3,false
1,0.22,1,3,false
1,0.16,2,4,false
1,0,0,1,false
1,0,0,1,false
1,0,0,8,false
1,0.5,2,3,false
1,0.23,0,2,false
1,0.07,0,7,false
1,0.67,1,2,false
1,0.27,3,1,false
1,0.16,4,2,false
1,0.1,2,3,false
1,0.12,4,2,false
4,0.04,4,27,false
5,0.06,2,6,false
3,0.04,7,20,false
1,0.16,0,4,false
1,0.16,0,5,false
1,0.1,1,3,false
4,0.1,3,7,false
4,0.1,1,7,false
1,0.14,0,0,false
1,0.09,0,0,false
1,0.1,0,0,false
4,0.08,0,0,false
6,0.07,1,2,false
3,0.07,0,5,false
3,0.1,0,0,false
10,0.09,0,12,false
10,0.05,1,8,false
10,0.1,0,12,false
1,0.05,8,5,false
5,0.04,0,5,false
1,0.05,0,3,false
4,0.04,0,4,false
1,0.2,0,0,false
1,0.29,0,0,false
3,0.03,0,7,false
1,0.35,0,2,false
1,0.02,0,10,false
1,0.04,1,7,false
1,0.11,3,7,false
1,0.5,0,1,false
3,0.17,0,3,false
1,0.04,1,5,false
1,0.09,0,9,false
1,0.29,0,0,false
1,0.08,0,1,false
1,0.23,0,0,false
1,0.21,0,0,false
1,0.07,0,1,false
1,0.07,0,1,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.1,0,1,false
1,0.05,1,15,true
1,0.08,4,27,true
8,0.04,6,30,true
1,0.07,0,9,true
1,0.05,7,31,true
1,0.04,7,62,true
1,0.05,6,36,true
1,0.04,11,93,true
21,0.01,14,155,true
1,0.11,0,7,true
1,0.11,0,7,true
1,0.01,3,55,true
1,0.07,0,9,true
9,0.02,20,46,true
3,0.08,0,1,true
1,0.03,0,10,true
30,0.02,45,42,true
3,0.04,3,16,true
9,0.02,23,12,true
4,0.07,14,2,true
1,0.03,6,6,true
1,0.07,6,3,true
5,0.03,6,9,true
1,0.05,2,40,true
1,0.14,2,0,true
1,0.05,6,25,true
1,0.06,1,27,true
5,0.08,0,9,true
1,0.05,16,32,true
1,0.08,1,10,true
9,0.02,4,30,true
1,0.05,3,13,true
11,0.03,7,31,true
1,0.04,0,17,true
9,0.02,9,51,true
1,0.18,0,0,true
1,0.1,2,12,true
1,0.11,3,14,true
1,0.09,3,10,true
1,0.1,2,8,true
1,0.2,0,7,true
4,0.08,2,10,true
7,0.05,4,4,true
1,0.04,2,2,true
3,0.05,1,4,true
3,0.02,9,35,true
1,0.15,1,4,true
5,0.06,2,0,true
