@relation 'ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17,19'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,3,0.268908,16.111111,1,0
0,0,0.75,5,0.5,0
0,1,0.154167,24.083333,2.5417,0
0,0,0.259259,7,0.8889,0
0,0,0.2,14,2.4286,1
0,5,0.090084,18.558333,1.4167,1
0,0,0.416667,52.142857,2,0
0,3,0.216749,24.833333,1.1667,1
0,0,0.386364,14.545455,1.3636,0
0,1,0.375,6.3,1.1,1
0,1,0.254902,18.705882,1.5882,0
0,3,0.127706,28.911765,2.2353,1
0,0,0.386364,12.181818,1.5455,0
0,2,0.571429,12,1.375,0
0,0,0.3125,16,1.8889,0
0,3,0.228571,21.818182,1,0
0,0,1,73.5,0.5,0
0,1,0.55,19.166667,0.8333,0
0,6,0.177632,33.2,2.3,0
0,0,0.75,17.625,1.375,0
0,0,0.375,12.8125,1.3125,0
0,3,0.177778,55.592593,2.963,1
15,0,0.45,19.066667,1.1333,0
0,1,0.311111,29.333333,0.8,1
0,1,0.254545,18.583333,2.1667,0
1,0,0.458333,43.333333,0.6667,1
0,0,0.5,0,1,0
0,1,0.357143,17,0.875,1
0,0,0.75,0,1,0
0,4,0.155319,15.854167,1.375,1
1,0,0.75,37,2.25,0
0,1,0.619048,24.857143,2.2857,1
0,0,1,9,0,0
0,0,1,0,1,0
0,0,0.75,11.75,1,0
0,0,0.44,15,2,0
0,0,1,0,1,0
0,0,1,0,1,0
0,0,0.625,0,1,0
0,0,0.666667,38.333333,1.6667,0
0,0,1,11.5,0.5,0
0,0,0.875,4,0.75,0
0,0,0.5,28.333333,0.3333,0
0,0,0.833333,22,1.5,0
0,4,0.25,19.25,2,0
0,0,0.666667,7.333333,0.6667,0
0,0,1,0,1,0
0,0,0.533333,24.8,0.8,0
0,0,0.75,3.5,0,0
0,1,0.214286,31.857143,1.0714,0
0,0,0.555556,3,0.6667,0
0,1,0.277778,37.333333,1.1111,1
0,0,1,4,0,0
0,1,0.288889,14.111111,1.3333,0
0,0,0.458333,10.333333,0.8333,0
0,0,1,0,1,0
0,0,0.397727,13.545455,1.5455,0
0,0,0.5,28.75,0.75,0
0,0,0.47619,3.428571,0.8571,0
0,0,0.75,4.5,0.5,0
0,0,0.328125,9.764706,1.2941,0
0,1,0.119298,15.526316,1.2105,0
0,0,0.263889,10.75,0.8333,0
0,2,0.114919,23.645161,2.2903,1
0,1,0.266667,12.2,1.0667,0
0,0,1,0,1,0
0,2,0.151515,39.178571,1.6786,1
0,0,0.533333,8.5,0.6667,0
0,0,0.666667,0,1,0
0,0,0.22,26.636364,1.3636,1
1,0,0.08,6.52,0.96,0
0,0,1,4,0,0
0,0,1,0,1,0
0,0,0.75,38.5,0.5,0
0,0,0.833333,6.571429,0.8571,0
0,1,0.5,22.75,1.75,0
0,0,0.34,16.3,1.5,1
0,0,0.666667,17,0.6667,0
0,0,0.428571,12.142857,1,0
0,0,1,0,1,0
1,2,0.24,18.807692,1.3077,1
2,3,0.201389,27.625,2.625,1
0,7,0.110577,31.545455,1.9697,0
1,4,0.162698,25.931034,1.3793,0
0,0,0.285714,22,1.4286,0
0,0,0.75,2.5,0.5,0
0,2,0.363636,18.363636,1.4545,0
0,1,0.288889,40.5,2.875,1
0,0,0,0,0,0
0,0,1,7.5,0,0
4,2,0.228571,24.4,2.3333,1
0,0,0.5,10.5,0.75,0
0,1,0.277778,33.111111,1.4444,0
0,0,0.30303,10.090909,1,0
0,0,0.4,34.166667,1.3333,0
0,0,0.625,53,4,0
0,0,0.481481,22.666667,0.7778,0
0,1,0.5,34,2.6,0
0,0,0.472222,21.076923,1.0769,0
0,0,0.75,4,0.5,0
0,3,0.074667,22.630435,1.6739,1
1,0,0.35,22.5,1.5,0
0,1,0.8125,21.875,1.25,0
4,1,0.289474,12.605263,1.3684,0
0,0,0.571429,8.857143,1.4286,0
0,0,1,17,0,0
0,0,1,0,1,0
0,3,0.188552,28.441176,3.0588,1
0,0,0.4,3.8,0.6,0
0,0,0.14876,90,4.5217,1
0,0,0.3,20.6,1.2,0
0,9,0.091642,35.380952,2.0794,1
5,0,0.583333,10.166667,1.1667,0
0,1,0.5,23.5,1.25,0
0,0,0.8,28,0.8,0
0,5,0.098246,17.916667,1.3167,1
0,0,0.36,0,1,0
0,0,0.5,16,1,0
0,0,0.625,5.25,0.75,0
1,0,0.666667,2.666667,0.6667,0
0,0,0.416667,20.833333,0.8333,0
0,0,0.542857,57.8,0.6,1
0,0,0.375,41.833333,1.3333,0
0,1,0.285714,20.875,0.75,0
0,0,0.518519,8.333333,0.8889,0
0,0,0.875,13,1.75,1
0,0,0.285714,28.571429,2,1
0,1,0.311111,12.111111,1.6667,0
0,1,0.333333,63.444444,2.1111,0
0,0,1,3,0,1
0,3,0.189286,28.964286,3.3214,0
0,0,1,47.333333,3.6667,0
0,0,0.555556,10,1.3333,0
0,1,0.34,24.4,2.7,1
0,0,0.458333,14.833333,1.1667,0
0,0,0,0,0,0
0,0,0.375,36.555556,1.2222,0
0,0,0.466667,20.2,1,0
0,0,0.305556,13.416667,1.4167,0
0,0,1,0,1,0
0,2,0.17803,54,2.2273,1
0,0,1,29.75,0.75,1
0,2,0.289474,20.85,1.3,1
1,1,0.21875,30.48,1.68,1
0,1,0.211538,27,1.4615,0
0,0,1,15.666667,0.6667,0
1,1,0.37037,11.7,1.4,0
1,0,0.47619,4.714286,0.8571,0
0,6,0.115625,24.225,2.35,1
0,0,0.666667,79.333333,6.3333,1
7,0,0.092,6.8,0.96,0
0,0,0.487179,13.884615,0.9615,0
0,0,0.4,19.833333,0.8333,1
0,0,0.3,17.25,1.2,0
0,1,0.271429,43.090909,0.8182,1
0,1,0.6,35,0.5,0
0,0,0.875,17.5,1,0
0,0,0.183824,33.705882,0.9412,1
0,0,0.333333,53.5,1.25,0
0,0,0.666667,5.555556,1,0
0,2,0.196581,25,2.2857,0
0,2,0.241071,33.5,2.5,0
0,1,0.7,10.5,1.1667,0
4,5,0.122984,39.387097,2,1
0,3,0.1875,22.619048,1.4286,0
0,0,0.16,20.657143,1.2,1
0,0,0.375,30.75,2.5,0
0,1,0.583333,7.5,1,0
0,0,0.428571,13.714286,1,0
0,0,0.35,16,0.875,0
0,0,0.52381,8.428571,0.8571,0
0,1,0.555556,10,0.5,0
0,0,0.75,4.5,0.5,0
0,0,0.47619,14.428571,1.4286,1
0,0,0.305556,9.833333,1,0
0,0,1,3.333333,0.3333,0
0,0,0.666667,4,0,0
0,0,1,10.5,0.5,0
0,0,0.17619,19.645161,2.1935,1
0,0,0.75,5,0.5,0
0,0,0.361111,11.666667,1.2222,0
0,0,0.666667,0,1,0
0,0,0.263158,9,1.05,1
2,0,0.084656,6.037037,1.1852,1
0,1,0.36,27.8,2,0
0,0,1,31.5,0.5,0
0,0,1,78.5,0.5,0
0,0,0.5,18.75,0.75,0
0,1,0.375,23.2,1.6,0
0,1,0.111111,38.435897,2.2308,1
1,0,0.625,3,0.75,0
0,0,0.407407,12.2,1.3,0
2,8,0.115789,44,1.4839,1
0,4,0.140693,15.428571,1.4048,0
0,0,0.32,14.3,1,1
3,2,0.241071,14.375,1.375,0
1,0,0.333333,25.888889,0.7778,0
0,0,0.296296,27.777778,2.8889,0
0,1,0.595238,25.142857,1,0
3,0,0.222222,19.466667,1.8667,1
1,0,1,3,0,0
0,0,0.555556,4.666667,0.6667,0
7,0,0.234694,14.931034,2.0345,0
0,0,0.416667,30.666667,0.8333,0
0,0,0.433333,20,1,0
0,0,0.4,27.8,3,0
0,0,0.666667,5,0.6667,0
0,0,0.5,14.166667,0.8333,0
4,2,0.193122,19.809524,1.619,1
0,0,0.309524,36.714286,2,0
0,0,0.75,11.75,1,0
3,1,0.322222,9.066667,0.6667,0
0,2,0.181818,29.388889,1.9444,1
0,0,0.5,5.333333,0.6667,0
59,0,0.481481,13.111111,1.4444,0
0,1,0.583333,45.5,2.1667,0
0,1,0.314286,26.071429,1.1429,0
0,1,0.308081,21.970588,1.5588,0
0,1,0.25,14,1.1,0
0,0,0.666667,7,1.6667,0
0,0,0.666667,10,1,0
0,1,0.2,17.12,1.84,1
0,0,0.5,131.5,0.5,0
0,0,1,0,1,0
0,0,0.8,15.2,1.2,0
0,1,0.166667,36.5,1.5625,1
0,0,0.75,3,0.5,0
0,1,0.183036,16.785714,1.1429,0
0,5,0.15,29.903226,1.129,0
0,2,0.209877,75.777778,1.4815,1
0,0,0.555556,37.666667,1.6667,0
0,2,0.325,25.28,1.56,0
0,0,0.222222,33.32,1.64,1
0,0,0.367347,68.142857,3.1429,1
0,0,0.392857,12.761905,1.4762,0
0,0,0.361111,32,0.8333,0
0,4,0.147436,40.692308,1.3846,0
0,0,0.6875,18.375,1,0
0,0,1,100,0,0
0,0,0.533333,16.4,1.2,0
0,0,0.75,0,1,0
0,0,0.21875,15.75,1.5833,0
0,0,0.325,33.625,1.25,0
0,1,0.21978,29.653846,1.9615,1
0,0,0.444444,12.333333,1,0
0,0,0.444444,21.166667,2,0
0,0,1,0,1,0
0,0,0.666667,32,0.6667,0
1,0,1,3,0,0
0,0,0.75,25.5,0.75,0
0,0,0.75,35.5,0.75,0
0,0,0.5,26,1,0
1,0,0.714286,4.571429,0.8571,0
0,0,0.75,5,0.5,0
0,5,0.167464,24.15,1.45,1
0,1,0.666667,10.333333,1,0
0,0,0.47619,20,1.1429,0
0,1,0.36,32.727273,0.8182,1
0,1,0.454545,21.090909,1.4545,0
0,2,0.235294,6.882353,0.9412,0
0,0,0.541667,34.25,2.375,0
0,4,0.243386,29.892857,2.0714,0
0,0,0.333333,18.25,1,0
0,0,0.714286,137.125,1.125,0
0,0,0.466667,32.6,2,0
0,0,1,22.333333,1.6667,0
0,0,0.714286,13.571429,1.4286,0
2,0,0.4375,10,1.875,0
1,0,0.464286,11.571429,1.2857,0
1,0,0.270833,17.166667,0.9167,0
0,3,0.146341,27.190476,2.2619,1
0,0,0.4,11,1,1
0,0,0.5,12.25,1.125,0
0,0,1,0,1,0
0,0,0.555556,16.333333,1.6667,0
0,0,0.666667,34,1,0
0,0,0.75,0,1,0
3,1,0.121094,12.546875,1.4844,0
0,0,0.333333,30.5,1.1667,0
0,0,0.666667,9.333333,0.6667,0
3,2,0.061743,16.40678,1.8475,1
0,0,0.428571,13.714286,1,0
0,0,0.271429,0,1,0
0,0,0.4,0,1,0
0,1,0.195804,25.769231,1.0769,0
0,7,0.1875,35.043478,2.4783,0
0,0,0.875,3,0.75,0
0,1,0.083333,10.615385,0.9231,0
0,0,0.75,9,0.5,0
21,1,0.073413,6.761905,1.1667,0
6,5,0.176309,39.818182,2.0909,0
0,0,1,78.5,0.5,1
0,0,0.3125,14.25,1.75,0
0,0,0.108333,33.266667,1.9,1
2,0,0.392857,18.714286,0.8571,0
0,0,0.4,16.333333,1,1
0,2,0.282051,6.307692,0.9231,1
0,0,0.5,23.25,0.75,0
1,1,0.35,40.25,1.125,1
0,2,0.555556,16.25,0.9167,0
0,0,0.466667,8.8,0.8,0
1,0,0.666667,13.666667,1.2222,0
0,0,0.625,8,1.25,0
0,0,1,11.5,0.5,0
0,2,0.25,21.1875,1,0
2,2,0.333333,5.933333,1,0
0,0,0.75,5,0.5,1
0,2,0.3,10.727273,1,0
0,0,0.288889,14.777778,1.5556,0
0,0,1,30.75,2,0
0,1,0.333333,18.555556,1.1111,0
0,3,0.13961,9.285714,1.2857,0
1,0,0.525,11.8,1.2,0
0,0,0.666667,30.666667,1,0
0,0,0.222222,26.388889,1.0833,0
0,2,0.247619,34.333333,0.8,1
1,0,0.555556,16.333333,1.6667,0
0,0,1,0,1,0
0,0,1,10.5,0.5,0
0,1,0.268519,15.777778,1.2222,1
0,2,0.342857,28.285714,2.5714,0
0,0,0.4,10.5,0.5,0
0,0,0.355769,20.692308,0.6154,0
0,0,0.179487,21.076923,2,0
0,1,0.5,15.5,0.75,1
0,5,0.15625,25.823529,0.8824,1
0,2,0.24359,30.357143,1,0
0,0,0.666667,60.666667,4.3333,0
0,0,1,0,1,0
0,1,0.642857,45.571429,3.2857,0
0,0,0.75,4.5,0.5,0
0,0,0.7,20.2,0.6,0
2,0,0.56,9.6,0.8,0
0,0,0.5,5.666667,1,0
3,1,0.546875,10.0625,1,1
0,2,0.194444,27.055556,1.5,1
0,1,0.666667,14.333333,1.3333,0
1,0,0.555556,82.333333,3.3333,1
0,0,0.342857,13.428571,1.1429,0
10,9,0.22619,44.76,4.68,1
2,1,0.388889,8.833333,0.9444,0
0,0,0.210938,17.1875,2.125,0
0,0,0.666667,7.333333,0.6667,0
0,0,1,26,1.6667,0
0,3,0.171429,21.742857,1.4,1
0,0,0.5,10.25,0.75,0
0,1,0.666667,5.5,0.5,0
6,1,0.228571,13.3,0.8,0
0,0,0.571429,13.714286,1.4286,0
0,0,0.583333,25.666667,0.6667,0
0,1,0.5,26.5,2,0
0,0,0.333333,18.25,1,0
2,2,0.277778,6.416667,1,1
1,2,0.218638,35.3125,2.625,1
0,0,0.305556,27,3.1667,0
1,0,0.36,28.7,2.6,0
0,0,1,0,1,0
0,1,0.194805,16.608696,1.9565,0
0,1,0.357143,29.166667,1.5,1
0,0,0.267857,31.357143,2.7143,0
0,3,0.178947,42.333333,2.5641,0
0,1,0.179167,19.12,1.84,1
0,0,0.533333,20.2,1.4,0
0,1,0.5,42.5,2,1
1,0,0.325926,25.533333,0.5333,1
0,1,0.227273,35.869565,1.2609,1
2,0,0.152778,20,1.5,1
0,0,0.9375,36.625,3,1
0,3,0.240741,16.944444,1.4444,0
2,3,0.238095,12.916667,1.5417,0
0,0,0.555556,25,1.8333,0
0,1,0.333333,47,3.1667,1
0,0,0.666667,16.333333,0.6667,0
0,11,0.112476,28.021739,1.5543,1
6,0,0.5,6.5,1.5,0
5,0,0.314286,19,1.5714,0
0,0,1,42,3.4,1
0,0,0.75,40,3,0
