@relation 'data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-6,8-15,18,20-21,24-26,28,30,33,35-47,49-50,52-53,55,57-61'

@attribute CvsWEntropy numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0.001781,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,clean
0.023841,0,0,0,0,0,0,1,0,1.01,0,0.000875,3.05,0.012165,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.150819,0,1,0.001861,0,0,0,1,0,0,0,0,0,0,0,buggy
0.000581,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,buggy
0.008759,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,clean
0,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.049919,0,0,0.015175,0,0,0,1,0,0,0,0,3.05,0.012165,12,clean
0.104889,0,0,0.002774,0,0.002308,0,3,0,1.01,1.03,0.002921,1.05,0.002341,14,buggy
0.005326,5,0,0,6.07,0,0,1,0.022523,0,0,0,1.01,0.005924,9,clean
0.005702,1,1,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.039501,0,1,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.004413,0,0,0,0,0,7,1,0,0,0,0,2.03,0.008591,31,clean
0.057452,0,1,0,0,0,0,2,0,0,0,0,2.06,0.009791,35,clean
0.030131,0,0,0,0,0.030844,25,4,0,2.02,2.02,0.006657,8.3,0.019174,78,clean
0,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.069027,0,0,0,0,0.000514,4,2,0,0,1.02,0,1.02,0.000376,10,clean
0.002143,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,12,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.013388,0,0,0,0,0,0,1,0,2.02,0,0.004356,5.14,0.015794,9,clean
0.002548,0,0,0,1.02,0,0,1,0.004973,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.060614,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.005967,4,0,0,1.02,0,1,2,0.004498,0,0,0,0,0,27,clean
0.002243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.005414,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,buggy
0.006308,1,0,0,0,0,0,2,0,0,0,0,1.1,0.027723,22,clean
0.083931,0,0,0,0,0,0,1,0,0,0,0,1.07,0.001058,0,clean
0.002307,0,0,0,0,0.001023,1,1,0,0,1.01,0,6.26,0.011171,226,clean
0.005011,0,0,0,0,0,0,1,0,0,0,0,3.11,0.012186,18,clean
0.011383,0,0,0,0,0.003609,0,4,0,1.01,1.01,0.002921,8.36,0.020509,51,clean
0.001542,0,0,0,0,0,1,2,0,0,0,0,3.19,0.012186,28,clean
0.003069,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.003576,1,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.008524,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.010569,0,0,0,0,0,1,1,0,0,0,0,2.02,0.009791,14,clean
0.002631,0,0,0,0,0,0,2,0,0,0,0,0,0,13,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,clean
0,0,0,0,0,0,1,3,0,0,0,0,1.01,0.051511,21,clean
0.253433,0,0,0.013552,0,0,0,1,0,0,0,0,2.02,0.009791,9,buggy
0.010632,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.042586,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.001138,0,0,0,0,0,0,2,0,0,0,0,2.02,0.031562,32,clean
0.001328,0,0,0,0,0,0,2,0,0,0,0,2.02,0.031562,32,clean
0.128868,0,1,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.123265,0,0,0.002741,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.0024,0,0,0,0,0,0,3,0,0,0,0,0,0,12,clean
0.002305,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.001328,0,0,0,0,0,0,2,0,0,0,0,2.03,0.033647,26,clean
0.001328,0,0,0,0,0,0,1,0,0,0,0,1.15,0.002024,0,clean
0.002046,0,0,0,0,0,0,2,0,0,0,0,1.1,0.027723,22,clean
0.004579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.063071,1,0,0,1.01,0,0,1,0.002086,0,0,0,0,0,0,clean
0.002141,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.115192,0,0,0.002667,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.037673,0,1,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.01074,0,0,0,0,0,0,2,0,0,0,0,0,0,29,clean
0.002846,0,0,0,0,0,1,2,0,0,0,0,0,0,17,clean
0.003144,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.005796,0,0,0,0,0,1,2,0,0,0,0,0,0,27,clean
0.01686,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.016135,0,0,0.002741,0,0,1,3,0,0,0,0,2.02,0.009791,19,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,clean
0.041414,0,0,0,0,0,0,2,0,0,0,0,2.06,0.009791,37,clean
0.014404,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.154618,0,0,0.014561,2.02,0,1,2,0.006911,0,0,0,3.08,0.007771,19,buggy
0.003009,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,14,clean
0.084251,0,0,0,0,0,19,3,0,0,0,0,2.02,0.009791,76,clean
0.02442,1,0,0.015014,3.03,0,0,2,0.011215,1.01,0,0.002266,1.04,0.002778,4,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,clean
0.001193,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.004153,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.015277,0,1,0,0,0,0,2,0,0,0,0,2.02,0.009791,17,clean
0.004603,0,0,0,0,0,0,2,0,0,0,0,0,0,20,clean
0.001592,0,0,0.005097,0,0,0,1,0,0,0,0,1.02,0.005924,18,clean
0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.0037,0,0,0,0,0,0,3,0,0,0,0,2.02,0.009791,24,buggy
0.014103,0,0,0,0,0,0,1,0,0,0,0,3.11,0.012165,51,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.023777,0,0,0,0,0,1,2,0,0,0,0,2.02,0.009791,17,clean
0.005149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.003192,0,0,0,0,0,0,2,0,0,0,0,2.04,0.030118,6,clean
0.002706,0,0,0,3.04,0,0,1,0.010534,0,0,0,0,0,0,clean
0.001518,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.021405,0,0,0,0,0.005892,1,5,0,2.02,2.02,0.003568,5.26,0.016778,60,clean
0.011213,0,1,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.001699,2,0,0,1.01,0,0,1,0,0,0,0,1.01,0.005924,13,clean
0.027596,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.002125,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,2,0,1.01,0,0.00092,2.26,0.008591,54,clean
0.00716,0,0,0.030978,0,0,0,1,0,0,0,0,0,0,0,clean
0.001419,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.000341,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.070505,6,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.000682,0,0,0,0,0,7,3,0,0,0,0,1.1,0.027723,39,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.047571,0,0,0,0,0,0,2,0,0,0,0,2.04,0.009791,55,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.010668,0,0,0.002532,0,0,0,1,0,0,0,0,0,0,0,clean
0.077994,0,0,0.008061,0,0,0,1,0,0,0,0,2.02,0.009791,10,clean
0.028946,0,0,0,0,0,0,1,0,3.04,0,0.002893,3.48,0.004826,0,clean
0.009705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.003997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001138,0,0,0,0,0.003307,0,1,0,1.03,1.02,0.00316,2.17,0.008829,0,clean
0,0,0,0,0,0,3,2,0,0,0,0,0,0,14,buggy
0.003862,0,0,0,0,0.005667,2,4,0,1.01,2.02,0.002921,14.21,0.030356,170,clean
0.002663,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,4,3,0,0,0,0,0,0,46,clean
0.004022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.009474,3,1,0,1.01,0,0,1,0.001564,0,0,0,2.04,0.009791,18,clean
0.005637,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.018519,0,0,0,0,0,1,2,0,2.02,0,0.004493,3.03,0.010996,11,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.011587,0,1,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002216,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
0.044483,0,1,0.002741,0,0,1,3,0,1.01,0,0.002921,4.06,0.014863,21,buggy
0.001138,0,0,0,0,0,1,2,0,0,0,0,0,0,6,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.006878,0,0,0.019848,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,clean
0.002218,0,0,0,0,0,0,3,0,0,0,0,0,0,14,clean
0.001138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,10,clean
0.099696,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,11,buggy
0.010189,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.006846,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,clean
0.000949,1,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.012933,0,0,0.019848,0,0.018086,6,3,0,1.01,2.06,0.009752,3.3,0.03839,57,clean
0.001386,1,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.009788,3,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.00027,0,1,0,0,0,0,1,0,0,0,0,1.02,0.005924,18,clean
0.001328,0,0,0,0,0,1,2,0,0,0,0,0,0,15,clean
0.299901,0,3,0.015987,0,0,0,1,0,0,0,0,0,0,0,clean
0.010797,0,0,0,0,0,0,2,0,0,0,0,2.02,0.003725,7,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,clean
0.027888,11,0,0,1.01,0,0,1,0.013005,0,0,0,2.02,0.009791,9,clean
0,1,0,0,0,0,0,2,0,0,0,0,2.06,0.009791,35,clean
0.002373,0,0,0,0,0.003609,0,2,0,0,1.03,0,2.02,0.031562,32,clean
0.021409,5,0,0,5.05,0,0,1,0.016904,0,0,0,1.01,0.005924,9,clean
0.007559,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.003644,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.036347,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,clean
0.002106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.056074,0,1,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.007706,0,1,0,0,0,0,3,0,0,0,0,2.08,0.009791,52,clean
0.008403,0,1,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.003613,2,0,0,0,0,2,2,0,0,0,0,1.01,0.005924,25,clean
0.019177,0,0,0,0,0,6,3,0,1.01,0,0.002921,4.09,0.014863,38,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.091709,0,1,0.0009,0,0,0,1,0,0,0,0,0,0,0,clean
0.000266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.095462,0,0,0.002667,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.022246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.17594,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.001508,0,0,0,0,0,0,2,0,0,0,0,1.01,0.005924,11,clean
0.010809,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.004944,3,0,0,0,0,4,4,0,0,0,0,1.1,0.027723,45,clean
0.001518,0,0,0,0,0,0,2,0,0,0,0,1.01,0.005924,54,clean
0.001279,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.00733,1,0,0,1.01,0,0,1,0.0262,0,0,0,0,0,9,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.02373,0,0,0.014422,1.01,0.005356,0,2,0.004825,0,2.05,0,6.09,0.041678,32,buggy
0,1,0,0,0,0,0,3,0,0,0,0,0,0,58,clean
0.30528,0,3,0.020419,0,0,0,1,0,0,0,0,1.02,0.003867,0,buggy
0.002868,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.029559,4,2,0.00318,2.04,0.003609,0,3,0.007273,0,1.01,0,3.19,0.011322,101,clean
0.05299,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.097004,0,1,0.032263,0,0,0,1,0,3.04,0,0.004202,3.48,0.007549,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.02004,3,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,22,clean
0.399081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.006455,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0.005715,0,0,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0,0,0,0,0,0,0,2,0,0,0,0,0,0,31,buggy
0.007869,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.110154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.016366,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.009763,0,1,0,0,0,0,2,0,0,0,0,2.02,0.009791,17,clean
0,6,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.000949,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.057119,0,1,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.003704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.02529,0,0,0.002667,0,0.005356,0,2,0,0,2.05,0,7.13,0.042969,32,buggy
0.001791,0,1,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0.049957,0,0,0,0,0.00752,8,3,0,0,3.03,0,4.06,0.055964,29,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.002193,1,0,0,1.01,0,0,1,0.003536,0,0,0,0,0,0,clean
0.012648,0,1,0,0,0,0,1,0,0,0,0,2.04,0.009791,18,clean
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.042681,0,0,0,0,0,0,1,0,0,0,0,4.06,0.011897,21,clean
0.00119,1,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.002626,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,clean
0.163063,0,0,0,0,0,3,2,0,0,0,0,2.02,0.009791,17,clean
0.002488,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.024954,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.084845,0,3,0.02314,0,0,0,1,0,0,0,0,0,0,0,buggy
0.058519,0,0,0,2.02,0,0,1,0.004307,0,0,0,2.02,0.009791,9,clean
0.071954,0,0,0.001861,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.049344,0,0,0.003546,0,0,0,1,0,0,0,0,0,0,0,clean
0.001328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.009247,0,0,0,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.011961,0,0,0,0,0,7,1,0,0,0,0,1.02,0.005924,34,clean
0.002825,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.004234,0,0,0,0,0,5,3,0,0,0,0,1.01,0.005924,32,clean
0.00563,0,0,0,0,0,0,3,0,0,0,0,0,0,44,clean
0.003288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.050244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,buggy
0.004798,0,0,0,0,0,0,1,0,0,0,0,1.01,0.005924,9,clean
0.001708,0,0,0,0,0,1,1,0,0,0,0,1.01,0.005924,14,clean
0.026776,0,0,0,0,0,0,1,0,0,0,0,3.11,0.012459,14,clean
0.023139,0,1,0.001676,0,0,0,1,0,0,0,0,2.02,0.009791,9,clean
0.003607,0,0,0,0,0,0,1,0,0,0,0,0,0,0,buggy
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.012781,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clean
0.001534,0,0,0,0,0,4,3,0,0,0,0,1.1,0.027723,43,clean
