@relation data/M_multi_metrics_LC.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R59-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R55-weka.filters.unsupervised.attribute.Remove-R46-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R3

@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_wmc numeric
@attribute WCHU_fanOut numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute LDHH_rfc numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute class {buggy,clean}

@data
0,0,0,0,2.55041,0,0,0,0,0,0,0.174739,0,0,51,0,1,3,0,0,0,0,0,0,8,0,0,0,0,0.010398,0,9,18,0.10691,clean
0,0,0,0,0,0,13,0,0,0,0,0,0,8,72,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,clean
0.049736,0,0.015802,0,2.2048,0,0,0,0,0,0,0.136638,0,1,38,0,1,9,0,0,0,0.014478,0,0,0,0,1.01,0,0,0,0.019225,9,5,0.145088,clean
0,0,0,0,0.740259,0,0,0,0,0,0,0.016145,0,9,70,0,1,0,0,0,0,0,3.03,0,0,0,0,0,0.02407,0.010398,0.019225,9,2,0.000005,clean
0,0,0,0,5.97302,0,0,0,0,0,0,0.27076,0,4,31,0,1,1,0,0,0,0,1.01,0,3,0,0,0,0.001453,0.005149,0.001203,11,5,0.198475,clean
0,0,0,0,3.0742,0,0,0,0,0,0,0.073134,0,3,41,0,3,1,0,1.01,0,0,1.01,0,3,0,0,0.00406,0.003144,0.013377,0,17,6,0.001173,clean
0,0,0,0,0,0,6,0,0,0,0,0,0,5,45,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,clean
0,0,0,0,4.71817,0,0,0,0,0,0,0.251675,0,8,47,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0.00831,0,10,2,0.140904,clean
0.03915,0,0,0.027692,2.46341,0,0,0,0,0,1.01,0.135853,0,4,40,0,1,1,0,0,0,0.030266,1.01,0,7,0,0,0,0.03059,0,0.049832,11,3,0.132707,clean
0.03915,0,0,0,5.92561,0,1,0,0,0,0,0.2724,0,2,20,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,18,4,0.123015,buggy
0.082944,0,0.000449,0,7.77801,0,0,22,0,0,0,0.280119,0,0,7,0,1,90,0.00885,0,0,0.002306,0,0,0,0,1.01,0,0,0.010398,0.002597,9,4,0.140061,buggy
0.019301,1.01,0.037227,0.034085,19.5286,0.002193,2,0,0,0.003374,5.09,0.739952,0,11,306,0,1,19,0,0,0,0.052569,5.06,0,8,0,7.24,0,0.022297,0,0.051475,0,27,0.360125,buggy
0,0,0.000995,0.001449,1.39384,0,6,0,0,0,1.01,0.064392,0,2,21,0,1,2,0,0,0,0.002443,0,0,1,0,1.01,0,0,0.00831,0.003446,9,3,0.059927,clean
0.054856,0,0,0,7.01764,0,2,0,0,0,0,0.233481,0,2,37,0,1,72,0,0,0,0.001624,0,0,0,0,0,0,0,0.010398,0,18,7,0.103884,clean
0,0,0,0,8.32875,0,2,0,0,0,0,0.33686,0.003039,10,123,1,2,1,0,0,1.01,0.004713,2.04,0,0,0,0,0,0.00412,0.012964,0.004349,19,0,0.139153,clean
0,0,0,0,2.5991,0,0,2,0,0,0,0.142869,0,4,74,1,3,2,0,0,0,0,1.01,0,0,0,0,0,0.020279,0.01201,0.019225,16,2,0.141042,clean
0.03915,0,0,0,1.54522,0,9,0,0,0,0,0.089145,0.010266,10,189,1,2,1,0,0,1.01,0,0,0,0,0,0,0,0,0,0,16,4,0.096226,buggy
0,0,0,0,1.18716,0,0,0,0,0,0,0.048688,0,1,50,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,27,10,0.041747,clean
0.002928,0,0.003137,0,9.35438,0,0,0,0,0,0,3.49127,0,6,66,2,2,2,0,0,0,0.008582,1.02,0,0,0,1.01,0,0.002985,0.004949,0.010104,39,3,0.146405,clean
0,0,0,0,1.18716,0,0,0,0,0,0,0.048688,0,0,9,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,9,2,0.041747,clean
0,0,0,0.001334,6.61495,0,0,0,0,0,1.01,0.159497,0,4,98,0,3,1,0,1.01,0,0.001427,2.02,0,6,0,0,0.00406,0.004106,0.013377,0.000805,17,7,0.002266,clean
0.001933,0,0,0.004444,6.52069,0,0,0,0,0.002265,2.05,0.177842,0,4,78,0,3,1,0,1.01,0,0.004298,3.03,0,5,0,0,0.00406,0.007839,0.013377,0.003666,17,6,0.034398,clean
0.024839,0,0.018433,0,6.8389,0,0,0,0,0,0,0.26789,0,5,76,0,1,9,0,0,0,0.017349,1.02,0,0,0,2.06,0,0.020279,0.011701,0.022086,27,11,0.169496,clean
0.051546,0,0.006204,0,1.39384,0,8,0,0,0,0,0.064392,0,2,96,0,2,5,0,0,0,0.004139,0,0,0,0,1.01,0,0,0.010808,0.008866,33,10,0.059927,clean
0,0,0,0,2.24283,0,0,0,0,0,0,0.176221,0,3,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.005149,0,10,2,0.114048,clean
0,0,0,0,2.3444,0,0,0,0,0,0,0.074714,0,8,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.005149,0.003086,9,1,0.026201,clean
0,0,0,0,5.06437,0,0,0,0,0,0,0.134047,0,1,39,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0.010398,0,39,3,0.009162,clean
0,0,0.002501,0.0028,2.40151,0,0,0,0,0,1.01,0.074362,0,5,36,0,1,2,0,0,0,0.002983,1.01,0,4,0,1.01,0,0.001164,0.00831,0.003086,9,3,0.022518,clean
0.02559,0,0.000942,0,14.6136,0,0,0,0,0.025024,0,3.6437,0,10,140,0,2,12,0,0,0,0.031237,1.01,0,4,0,1.02,0,0.001313,0.010398,0.042867,39,11,0.2146,buggy
0.03915,0,0,0,2.62836,0,0,0,0,0,0,0.206049,0.018412,14,174,2,2,5,0,0,1.01,0.00445,1.01,0,4,0,0,0,0.00604,0.03425,0.006784,58,19,0.160434,buggy
0,0,0,0,1.23854,0,0,0,0,0,0,0.145898,0,5,61,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,9,0.106899,clean
0.001793,0,0,0,3.28866,0,0,4,0,0,0,0.087698,0,8,71,2,2,6,0,0,0,0.001624,1.08,0,0,0,0,0,0.001763,0.004949,0.001591,39,1,0.005271,clean
0.015324,4.22,0,0.028305,13.9297,0.009005,19,0,0,0.011996,11.4,3.64623,0,27,829,0,1,9,0,0,0,0.072874,8.22,0,25,0,0,0,0.050384,0.00831,0.075519,9,0,0.318946,buggy
0,0,0,0,2.74289,0,0,0,0,0,0,0.069929,0,4,34,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0.010398,0,9,3,0.004366,clean
0,0,0,0,1.17486,0,0,0,0,0,0,0.033753,0,9,64,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0.00831,0,9,1,0.005051,clean
0,0,0,0,2.55842,0,0,0,0,0,0,0.089965,0,2,58,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0.00831,0,17,0,0.053001,clean
0,0,0,0,2.55041,0,0,0,0,0,0,0.174739,0,3,60,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0.010398,0,39,10,0.10691,clean
0,0,0,0,2.76873,0,3,0,0,0,0,0.137154,0,3,87,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.041644,0.019225,27,2,0.113602,clean
0,0,0,0,2.2048,0,4,0,0,0,0,0.136638,0,13,130,0,2,1,0,0,0,0.044743,0,0,2,0,0,0,0,0,0.019225,11,2,0.145088,buggy
0.071829,0,0.002116,0.002525,4.67638,0,0,12,0,0.003977,1.02,0.132192,0,1,89,0,1,45,0.007722,0,0,0.006209,0,0,3,0,2.02,0,0,0.010398,0.006236,18,15,0.029605,clean
0,0,0,0,1.17486,0,1,0,0,0,0,0.033753,0,1,51,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0.00831,0,9,9,0.005051,clean
0.016243,0,0.003231,0,12.8567,0,0,0,0,0,0,0.518075,0,12,280,0,1,17,0,0,0,0.003905,1.02,0,5,0,1.02,0,0.001313,0.010398,0.004019,9,14,0.2776,clean
0,0,0,0,1.17486,0,0,0,0,0,0,0.033753,0,1,19,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0.011468,0,15,5,0.005051,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,clean
0.03915,1.01,0,0.027692,1.54522,0.020901,1,0,0,0,1.01,0.089145,0.010266,14,229,1,2,0,0,0,1.01,0.041513,2.04,0,2,0,0,0,0.035827,0,0.041832,16,2,0.096226,clean
0,0,0,0,1.17515,0,0,0,0,0,0,0.040252,0,1,9,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0.027761,0,11,3,0.020379,clean
0.006004,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,6,0,0,0,0,0,0,3,0,0,0,0,0.010398,0,11,5,0,clean
0,0,0,0,4.01101,0,0,0,0,0,0,0.223297,0,3,22,0,1,0,0,0,0,0,2.02,0,0,0,0,0,0.003082,0.010398,0,9,1,0.126469,clean
0.001135,0,0,0.003778,27.817,0,0,3,0,0,2.04,0.914975,0.010885,0,6,2,2,1,0.013868,0,2.02,0,0,0,3,0,0,0,0,0.027347,0,27,2,0.314159,buggy
0,0,0,0,0.60098,0,0,1,0,0,0,0.021936,0,5,60,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,24,9,0.014134,clean
0,0,0,0,2.88097,0,0,1,0,0,0,0.187772,0,2,50,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0.010398,0,15,7,0.108062,clean
0,0,0,0,0.792859,0,4,0,0,0,0,0.042456,0,3,37,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0.045793,clean
0,0,0,0,0.792859,0,0,1,0,0,0,0.042456,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.045793,clean
0,0,0,0,3.81886,0,1,0,0,0,0,0.209658,0.002308,0,11,3,2,1,0,0,2.02,0,0,0,0,0,0,0,0,0.011292,0,12,4,0.108135,clean
0.004721,0,0.004774,0,5.76219,0,0,4,0,0,0,0.275178,0,10,116,2,2,2,0.034341,0,0,0.035044,1.04,0,0,0,2.04,0,0.002985,0.004949,0.035119,39,11,0.131628,buggy
0,0,0,0,1.31187,0,1,0,0,0,0,0.028841,0,3,57,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.041644,0,27,2,0.000011,clean
0.001066,0,0.002879,0,17.2681,0,0,0,0,0.001251,0,0.569637,0.003039,9,265,1,2,1,0,0,1.01,0.012621,2.02,0,0,0,2.02,0,0.005819,0.012964,0.012313,19,4,0.171246,clean
0.006004,0,0,0.000783,16.8263,0,0,0,0,0,1.01,0.612866,0,9,226,0,1,4,0,0,0,0.031237,5.07,0,8,0,0,0,0.011488,0.016886,0.02074,18,6,0.263269,buggy
0,0,0,0,1.18716,0,3,0,0,0,0,0.048688,0,2,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0.041747,clean
0,0,0,0,0.871061,0,6,0,0,0,0,0.030964,0,2,76,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0.018208,buggy
0,0,0,0,4.74253,0,0,0,0,0,0,0.29526,0,1,27,1,3,1,0,0,0,0,0,0,7,0,0,0,0,0.010279,0.019225,16,2,0.209,clean
0,0,0,0,3.81153,0,0,0,0,0,0,0.210002,0,5,18,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0.010398,0,10,2,0.108541,clean
0.006162,2.02,0,0.00509,5.63409,0.003565,3,1,0,0,3.03,0.154655,0,0,41,0,1,4,0.001839,0,0,0.004928,0,0,3,0,0,0,0,0.011292,0.005019,18,0,0.02112,clean
0,0,0,0,0.788836,0,0,0,0,0,0,0.038216,0,3,55,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0.039402,buggy
0.003077,0,0.001637,0,3.28866,0,0,0,0,0,0,0.087698,0,5,69,0,1,9,0,0,0,0,0,0,10,0,1.02,0,0,0.00831,0,18,12,0.005271,clean
0,0,0,0,2.42975,0,0,6,0,0,0,0.060687,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,11,1,0.001622,clean
0,0,0,0,0.792859,0,2,0,0,0,0,0.042456,0,1,13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0.045793,clean
0,0,0,0,0.60098,0,0,0,0,0,0,0.021936,0,0,33,0,1,9,0,0,0,0,0,0,6,0,0,0,0,0,0,18,6,0.014134,clean
0,0,0,0,0,0,0,0,0,0,0,0,0.003039,2,16,1,2,0,0,0,1.01,0,0,0,0,0,0,0,0,0.012964,0,19,1,0,clean
0,0,0,0,2.35699,0,0,0,0,0,0,0.140911,0,2,32,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,13,6,0.148302,clean
0.04129,1.05,0.000691,0.001173,1.48053,0.000513,0,0,0,0,1.05,0.039997,0,0,37,0,1,5,0,0,0,0.001204,0,0,5,0,1.11,0,0,0.00831,0.001101,9,11,0.002852,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,2,0,0,0,0,0,2.02,0,2,0,0,0,0.005716,0.010398,0,15,3,0,clean
0,0,0,0.013591,1.25878,0,0,0,0,0,1.01,0.027544,0,4,21,1,3,1,0,0,0,0,2.02,0,2,0,0,0,0.02301,0.024375,0.019225,16,2,0.000009,clean
0,0,0,0,1.18716,0,0,1,0,0,0,0.048688,0,5,267,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,0.041747,clean
0,4.09,0.006496,0.006319,16.8684,0.006942,8,1,0,0,3.04,0.606812,0,2,24,2,1,0,0,0,0,0.008346,2.11,0,4,0,3.04,0,0.002508,0.010398,0.008476,17,8,0.244443,buggy
0.15358,0,0.04775,0.008209,31.8654,0,0,6,0,0.001785,5.16,1.03245,0,16,214,0,1,138,0.002354,0,0,0.048024,6.14,0,3,0,8.13,0,0.010245,0.010398,0.050254,9,39,0.362861,buggy
0,0,0,0,1.76352,0,0,0,0,0,0,0.052058,0,1,35,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0.008307,0,15,5,0.010147,clean
0,0,0,0,2.99495,0,0,0,0,0,0,0.074035,0,3,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.010398,0,12,2,0.001685,clean
0.001135,0,0,0,0,0,0,0,0,0,0,0,0,3,51,0,1,0,0,0,0,0,1.01,0,0,0,0,0,0.000252,0.010398,0,9,2,0,clean
0,0,0,0,1.43177,0,1,0,0,0,0,0.03126,0.002308,0,11,3,2,1,0,0,2.02,0,0,0,0,0,0,0,0,0.011292,0,12,4,0.000009,clean
0.001697,0,0,0,1.17486,0,1,0,0,0,0,0.033753,0,2,12,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0.00831,0,10,2,0.005051,clean
0,0,0,0,2.56045,0,0,0,0,0,0,0.057945,0,5,92,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.01379,0,33,7,0.000087,clean
0.001001,0,0,0.007261,3.75035,0,0,0,0,0.012777,2.03,0.136886,0,4,139,5,4,2,0,1.01,0,0.011937,2.02,0,4,0,0,0.00406,0.005944,0.013377,0.011836,27,0,0.077803,clean
0.03915,0,0.029129,0.027692,3.59553,0,3,0,0,0.025024,1.01,0.286809,0,9,276,0,2,1,0,0,0,0.030266,1.01,0,14,0,1.01,0,0.03059,0,0.030608,13,15,0.255201,clean
0.002028,0,0,0.002507,16.8048,0,0,0,0,0.002642,2.03,0.536249,0.011304,5,73,56,2,4,0,0,7.09,0.003591,3.04,0,0,0,0,0,0.006458,0.060079,0.004773,68,2,0.13606,clean
0,0,0,0,1.64243,0,6,0,0,0,0,0.041874,0,2,75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.012574,0,21,13,0.001163,clean
0.04129,0,0,0,2.54818,0,0,1,0,0,0,0.089529,0,3,66,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0.00831,0,9,0,0.052754,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,2,1,0,0,0,0,0,0,32,0,0,0,0,0.010398,0,15,2,0,clean
0.024168,0,0.001438,0,5.74394,0,0,0,0,0,0,0.166227,0,3,128,0,1,5,0,0,0,0.004147,2.02,0,4,0,1.01,0,0.002519,0.010398,0.003721,9,8,0.041992,clean
0,0,0,0,3.12296,0,0,0,0,0,0,0.08187,0,5,71,0,1,0,0,0,0,0,2.02,0,3,0,0,0,0.00542,0.010398,0,9,8,0.004015,clean
0.014688,1.01,0.0046,0.014167,11.3676,0.000826,4,0,0,0.001785,6.11,3.5767,0,9,467,0,1,13,0,0,0,0.024988,6.11,0,11,0,4.06,0,0.005187,0.010398,0.024548,9,5,0.217353,buggy
0,0,0,0,7.34144,0,0,0,0,0,0,0.36946,0.011304,8,209,56,2,1,0,0,7.09,0.002983,2.02,0,0,0,0,0,0.002373,0.060079,0.022311,68,1,0.227756,clean
0,0,0,0,2.26754,0,0,0,0,0,0,0.170881,0,2,7,0,2,1,0,0,0,0,2.02,0,0,0,0,0,0.005716,0.010398,0,15,2,0.107142,clean
0,0,0,0,1.33267,0,0,0,0,0,0,0.041671,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.035501,0,27,1,0.012747,clean
0.001697,0,0,0,1.17486,0,0,0,0,0,0,0.033753,0,4,60,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0.00831,0,9,2,0.005051,clean
0,0,0,0,2.69823,0,0,0,0,0,0,0.081124,0,4,43,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0.00831,0.002454,31,5,0.020023,clean
0,0,0,0,2.99495,0,0,0,0,0,0,0.074035,0,4,12,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.010398,0,10,2,0.001685,clean
0.005476,0,0.00063,0,1.36109,0,0,1,0,0,0,0.040918,0.000843,0,17,6,3,6,0.002632,1.01,1.02,0.001612,0,0,0,0,1.02,0.002169,0,0.007774,0.001588,30,3,0.009319,clean
0,0,0,0,2.35699,0,0,0,0,0,0,0.140911,0,0,21,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0.019225,13,5,0.148302,clean
0,0,0,0,3.66829,0,0,0,0,0,0,0.206585,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.041644,0,27,1,0.108521,clean
0,0,0,0,3.2211,0,6,0,0,0,0,0.078161,0,4,133,0,3,1,0,0,0,0.030266,0,0,0,0,0,0,0,0.010398,0.030608,24,5,0.001239,clean
0.011819,0,0,0,7.7902,0,0,0,0,0.000755,0,0.218167,0,9,182,0,1,14,0,0,0,0.002864,4.04,0,6,0,0,0,0.012218,0.00831,0.004613,9,8,0.027488,clean
0.002279,0,0.00184,0,10.3263,0,0,0,0,0,0,0.287547,0,2,24,1,2,1,0,0,0,0.003315,1.01,0,1,0,2.02,0,0.00076,0.010398,0.001655,13,3,0.045571,clean
