@relation 'xerces-1.3_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-14,16-17,19-20'

@attribute noc numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0.583333,8.75,1
0,0.75,0,0
0,0.666667,5.333333,0
0,0.25,26.142857,0
0,0.324675,68.090909,1
0,0.46875,25.125,0
1,0.246753,8,1
0,0,0,0
0,0.5,0,0
0,0.75,0,0
0,0.35,26.166667,0
0,0,0,0
0,0.5,157.2,1
0,0.246465,47.109091,0
0,0.555556,4.555556,0
0,1,4,0
0,0.285714,1.222222,0
0,0.5,27.75,1
0,0.515152,0,0
0,0.291667,66.416667,0
2,0.416667,7.25,0
0,0.666667,4,0
0,0.37963,5.333333,0
0,0.375,16.923077,0
0,0.555556,134.25,0
0,0.333333,0,0
0,0.232143,67.863636,0
1,0.285714,12.25,0
0,0,0,0
0,0.75,0,0
0,0.333333,17.571429,1
0,1,3,0
0,0.571429,71.5,0
3,0.288889,11.111111,1
0,0.611111,0,0
0,0.5,0,0
0,0.75,0,0
0,0.555556,4.555556,0
0,0.7,0,0
0,0.75,0,0
0,0.214876,79,0
0,0.387755,143.857143,0
0,0.6,4.6,0
0,0.571429,4.571429,0
0,0.270833,0,0
0,0.5,19.75,1
0,0.35,20.4,0
0,1,0,0
0,0.666667,5.333333,0
0,0.666667,0,0
0,0.428571,0,0
0,0.6,0,0
0,1,3,0
0,0.4375,13.583333,0
0,0.528846,26.730769,1
0,0.5,19.5,1
0,1,7,0
0,0.571429,4.571429,0
0,0.466667,22.2,1
0,0.375,0,0
0,0.5,0,0
0,0.25,0,0
0,1,713.666667,1
0,0.444444,6.5,0
0,1,3,0
0,0.538462,0,0
0,0.6,4.6,0
0,0.75,0,0
2,0.144231,62.25641,0
1,0.194286,61.64,1
1,0.131944,27.55102,1
0,0.45,9.8,0
3,0.118172,15.507246,0
0,0.5,17.25,1
1,0.555556,3,0
0,0.666667,4.666667,0
0,0.75,3.5,0
0,0,0,0
0,0.5,0,0
0,0.555556,4.555556,0
0,0.22623,40.704918,1
0,0.666667,5.333333,0
0,0.281818,0,0
0,0.571429,4.571429,0
0,0.545455,4.545455,0
0,0.55,14.2,0
0,0.833333,72.666667,0
0,0.147959,99.169014,1
0,0.75,0,0
1,0.55,9.6,0
0,0.15035,6.181818,0
0,0.183007,22.411765,0
0,0.555556,13,1
0,0.5,0,0
0,0.555556,4.555556,0
0,0.666667,4.666667,0
0,0.189815,75.277778,0
0,0.333333,51.285714,0
0,0.75,0,0
0,0.5,4.666667,0
0,0.355556,15.111111,0
0,0.394737,4.526316,0
0,0.137778,44.543478,0
0,1,0,0
0,0.32,12,0
0,0.75,0,0
0,1,0,0
0,0.75,0,0
0,0.40625,33.5,0
0,0.4,5.4,1
0,0.5,49.6,1
0,0.75,0,0
1,0.179012,18.388889,0
0,1,85.333333,0
0,0.5,105.25,1
0,0.5,59,0
0,0.375,5,0
0,0.5,38.5,0
0,0.75,0,0
0,0.301587,93.222222,0
0,0.75,0,0
0,0.6875,0,0
0,0.666667,4.666667,0
0,0.520833,70.375,0
9,0.1875,42.102041,1
3,0.135989,32.642857,1
0,0.233333,35.421053,0
0,0.357143,11.214286,0
0,0.571429,4.571429,0
0,0.75,0,0
1,0.5,6.333333,0
0,0.333333,5.5,1
3,0.555556,7.833333,0
1,0.152074,89.761905,1
0,1,5,0
0,0.52381,4.714286,0
0,0.4,7.4,0
0,0.75,0,0
0,0.4,0,0
0,0.25,81.833333,1
0,0.571429,5.142857,0
0,0,0,0
0,0.244444,17.8,1
0,0.666667,4.666667,0
0,0.307692,117,0
0,0.45,5.2,0
0,0.75,0,0
0,0.347826,0,0
0,0.416667,24.333333,0
0,0.75,0,0
1,1,7,0
0,0.33,0,0
0,0.555556,9.333333,1
0,0.555556,0,0
2,0.2,35.923077,1
0,1,0,1
0,0.294737,5.026316,0
0,0.312,4.68,0
0,0.6,4.6,0
0,0.246377,6.913043,0
0,0.375,0,0
0,0.3,12.25,1
1,0.4,8.8,0
0,0.5,35.6,0
0,0.75,0,0
0,1,306.333333,0
2,0.36,88.6,1
0,0.645833,0,0
1,0.52381,9.857143,0
0,0.21875,15.3125,0
0,0.55,16.5,0
0,0.571429,4.571429,0
0,0.5,0,0
0,0.75,0,0
0,0.6,9.4,0
0,0.45,4.6,0
0,0.75,0,0
0,0.303571,21.125,0
0,0.416667,4.777778,0
0,0.555556,4.555556,0
0,0.75,0,0
0,0.638889,0,0
0,0.284091,41.818182,0
0,0.275,13.15,0
0,0.354167,0,0
0,0.363636,0,0
0,0.295652,5.478261,0
0,0.571429,69,0
0,0.75,0,0
0,0.5,42.5,1
0,0.282353,0,0
0,0.37069,0,0
0,0,0,0
0,0.085474,70.968421,1
0,0.5,5.666667,0
0,0.464286,56.25,0
0,0.4,0,0
1,0.393939,6,0
2,0.6,3,0
0,0.75,0,0
0,0.433333,21.5,0
2,0.533333,23.833333,1
0,0.538462,4.538462,0
16,0.533333,1.4,1
0,0.4375,6.75,0
6,0.195652,9.166667,0
0,0.409091,16,0
0,1,0,0
0,0.192308,123.603774,0
0,0.392857,4,0
0,1,0,0
0,0.138249,35.177419,0
0,1,3,0
0,0.777778,0,0
0,0.333333,52.142857,0
0,0.555556,4.555556,0
0,0.318182,28.636364,0
0,0.515152,9,0
0,0.314286,4.619048,0
0,0.285714,1.266667,0
0,0.6,9.4,0
0,0.666667,0,0
0,0.555556,0,0
0,0.75,0,0
0,0.75,0,0
0,0.583333,6.75,0
0,0.403846,6.923077,0
0,1,0,0
0,0.285714,5,0
0,0.666667,0,0
0,0,0,0
0,0.4375,6.75,0
0,0.5,4.666667,0
0,0.375,0,0
0,0.666667,0,0
0,0.75,0,0
0,0.481481,4.611111,0
35,0.436364,7.454545,0
0,0.75,0,0
0,0.194444,77.666667,0
0,0.6,4.6,0
0,0.75,0,0
0,0.394737,4.631579,0
0,0.625,5.75,0
0,1,0,0
0,0.625,37,0
0,0.466667,10.333333,0
0,1,81,0
0,0.571429,4.571429,0
0,0.75,0,0
0,0.75,0,0
0,0.375,12.625,1
0,0.461538,0,0
1,0.454545,21.416667,0
0,0.666667,5,0
0,1,0,0
0,0.189815,105,0
0,0.5,35.2,0
0,0.226481,46.47619,1
0,0.375,0,0
0,0.45,5,0
0,0.307692,27.615385,0
0,0.75,0,0
0,0.538462,4.538462,0
0,0.25,86,1
0,0.555556,11.666667,1
0,1,0,0
0,0.666667,0,0
0,0.75,0,0
0,0.4,4.6,0
0,0.6,4.6,0
2,0.174479,90.848485,0
0,0.25,779.8,0
0,0.5,11.666667,0
0,0.571429,4.571429,0
0,0,0,0
0,1,0,0
0,0.366667,173.666667,0
1,0.4,7.8,1
0,0.309677,7.354839,0
0,1,0,1
0,0.75,0,0
0,0.126667,27.933333,0
0,0.75,0,0
0,0.5,0,0
0,0.371429,0,0
2,0.174174,36.789474,0
0,0.438596,0,0
0,0.666667,0,0
0,0.533333,4.533333,0
0,0.75,0,0
0,0.170833,180.609756,0
0,0.666667,4,0
0,0.521739,4.521739,0
0,0.75,0,0
0,0.285714,77.222222,1
0,0.206349,0,0
0,0.333333,33,0
0,0.31746,38.222222,0
0,0.150725,52.574468,1
0,1,0,1
0,0.6,4.6,0
0,0.354167,0,0
0,0.555556,18,1
0,1,0,0
0,0.75,0,0
0,0.184524,98.214286,0
0,0.5,0,0
1,0.555556,3,0
0,0.555556,13,1
0,0.521739,4.521739,0
0,0.403846,4.615385,0
0,0.555556,7.166667,0
0,0.75,0,0
0,0.388889,4.592593,0
3,0.333333,36.6,0
0,0.571429,4.571429,0
0,0.75,0,0
0,0.5,0,0
0,0.314286,7.285714,0
0,0.571429,4.571429,0
0,0.416667,41.666667,0
0,0.5,13.333333,0
0,1,4,0
0,0.571429,5.142857,0
1,0.210227,68.882353,0
0,0.75,0,0
0,1,7,0
0,0.284848,28.617647,0
0,0.6,0,0
0,1,3,1
0,0.75,0,0
0,0.75,0,0
0,0.666667,0,0
0,0.488889,0,0
0,0.6,4.6,0
0,0.5,50,0
0,0.555556,4.777778,0
0,0.7,0,0
3,0.480769,22.714286,0
0,0.375,0,0
0,0.355263,0,0
0,0.583333,0,0
0,0.338889,68.9,0
0,0.184211,19.461538,1
0,0.583333,5.25,1
0,1,0,0
1,0.431818,8.090909,0
0,0.625,16.75,0
0,1,159,1
0,0.75,3.5,0
