@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-6,8-9,11,13-14,18,21,23-28,30,33-39,41-42,46-47,49-55,57-61'

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute WCHU_noc numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0.009892,0,0,3,0,0,0,0,0,1,0,0,2.11,3,0,0,0,8,clean
23,0.50624,0.002586,0,3,0,1,0.003816,4.12,0,1,0,0,5.99,28,0,24,0,8,clean
0,0.000657,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,8,clean
0,0.021094,0,0,0,0,1,0,0,0,2,0,0,1.03,1,1,0,0,62,clean
0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,15,clean
0,0.014051,0,0,0,0,0,0,0,0,2,0,0,0,8,0,8,0,25,clean
0,0.004269,0,0,5,2,0,0,0,0,5,0,1.02,0,5,0,0,0.001409,197,buggy
0,0.130658,0,0.002035,4,5,2,0,0,0,4,0,1.02,1.07,4,1,0,0.001409,57,clean
0,0.005591,0,0,0,0,0,0,0,0,3,0,0,1.14,3,0,2,0,73,buggy
0,0.004584,0.018394,0,0,0,0,0,1.01,0,8,0,0,0,4,1,4,0,260,clean
0,0.024515,0,0.006873,6,0,0,0,0,0,3,0,0,1.1,6,1,0,0,40,clean
0,0.00353,0,0,0,1,0,0,0,0,2,0,0,0,4,0,4,0,24,clean
0,0.085435,0.001296,0.000358,0,1,0,0,3.1,1.01,2,0.000585,1.01,4.35,5,0,0,0.00026,18,buggy
2,0.435971,0,0,2,3,1,0.003145,0,0,2,0,1.02,21.3,12,0,0,0.001409,16,buggy
0,0.44007,0,0.001136,9,1,1,0,0,1.01,2,0,0,8.27,12,0,0,0,46,clean
0,0.003951,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,0,88,clean
0,0.150336,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,8,clean
0,0.001637,0,0,0,0,0,0,0,0,5,0,0,1.05,1,1,0,0,264,clean
2,0.014742,0,0,0,0,0,0,0,0,1,0,0,2.09,13,0,0,0,8,buggy
0,0.002208,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,33,clean
0,0.042135,0,0,0,2,1,0,0,0,1,0,0,0,5,0,0,0,8,clean
0,0.02691,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,clean
0,0.017571,0,0.002662,4,0,0,0,0,0,5,0,1.02,0,4,1,0,0.001409,65,clean
3,0.107001,0.005028,0,0,0,1,0.004869,1.02,0,2,0,1.01,2.12,2,1,2,0.008262,12,clean
0,0.007795,0,0,0,0,0,0,0,0,3,0,0,1.45,14,0,8,0,73,clean
1,0.040694,0,0.000965,6,2,0,0,0,1.01,3,0.001667,1.02,1.17,9,0,0,0.001409,24,clean
0,0.019509,0,0,2,0,1,0,0,0,7,0,1.02,0,2,1,0,0.001409,124,buggy
0,0.269073,0.000864,0,10,0,1,0,1.01,0,3,0,1.02,0,21,0,11,0.001409,38,buggy
0,0.003446,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,87,clean
0,0.003746,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,174,clean
0,0.024129,0,0,3,0,0,0,0,0,4,0,1.02,0,3,0,0,0.001409,69,clean
4,0.267116,0,0.002101,4,2,4,0.002607,0,0,1,0,0,6.31,58,2,3,0,8,buggy
1,0.034972,0.002,0,1,3,0,0,1.01,1.01,1,0.002037,0,1.07,6,0,5,0,11,clean
0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,139,clean
1,0.006179,0,0,0,4,0,0,0,0,2,0,0,0,24,0,0,0,35,clean
0,0.004092,0.000622,0,0,0,0,0,1.01,0,1,0,0,0,4,0,4,0,8,clean
0,0.002208,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,clean
0,0.002208,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,21,clean
0,0.067159,0.006613,0.004246,1,0,0,0,2.02,0,4,0,1.02,3.18,2,0,1,0.001409,148,clean
0,0.036478,0,0,0,0,0,0,0,0,6,0,1.02,0,0,0,0,0.001409,102,clean
0,0.003654,0,0,4,1,0,0,0,1.01,2,0.000292,1.02,0,4,0,0,0.001409,16,clean
0,0.023211,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,8,clean
0,0.109581,0,0.008082,13,5,3,0,0,1.01,4,0.000585,1.02,1.16,13,0,0,0.001409,77,buggy
10,0.383893,0.001024,0,0,0,1,0.003316,2.02,0,1,0,0,12.57,17,0,17,0,212,buggy
0,0.003157,0,0,1,0,0,0,0,0,5,0,1.02,1.03,2,0,1,0.001409,64,clean
0,0.00447,0,0,0,3,1,0,0,0,1,0,0,1.09,0,0,0,0,8,clean
0,0.002647,0,0,0,0,0,0,0,0,7,0,1.02,0,2,0,0,0.001409,86,clean
0,0.013422,0,0,2,0,0,0,0,0,6,0,1.02,0,2,0,0,0.001409,107,clean
9,0.006684,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,8,clean
0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,134,clean
0,0.001224,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,33,buggy
30,0.420596,0.002357,0,0,1,1,0.004351,2.03,0,2,0,0,11.93,2,0,2,0,10,buggy
0,0.003865,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,88,clean
0,0.003862,0,0.000535,1,0,0,0,0,0,3,0,0,0,6,0,3,0,76,clean
0,0.002208,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,12,clean
0,0.015435,0,0.000529,5,1,0,0,0,0,2,0,0,1.12,5,0,0,0,18,clean
0,0.003697,0,0.002662,2,0,0,0,0,0,4,0,1.02,0,2,0,0,0.001409,68,clean
0,0.091984,0,0,1,3,3,0,0,0,4,0,1.02,0,1,0,0,0.001409,57,clean
0,0.003357,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,94,clean
0,0.072005,0,0,0,3,1,0,0,0,4,0,1.02,3.51,0,0,0,0.001409,69,clean
0,0.002208,0,0,0,0,0,0,0,0,3,0,1.02,0,1,0,1,0.001409,30,clean
1,0.06711,0.001522,0.003988,1,2,2,0,1.01,0,7,0,1.02,0,1,1,0,0.001409,101,buggy
2,0.014428,0,0,0,0,0,0.002751,0,0,1,0,0,1.06,1,0,1,0,12,clean
0,0.083187,0.003402,0,0,0,0,0,1.01,0,2,0,0,1.13,3,2,1,0,33,buggy
0,0.012363,0,0,0,1,0,0,0,0,5,0,0,0,7,0,0,0,47,buggy
3,0.039263,0,0,2,1,0,0.002735,0,0,1,0,0,3.25,2,1,0,0,8,clean
0,0.040562,0,0,0,0,1,0,0,0,5,0,1.02,2.23,0,0,0,0.001409,202,clean
0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,clean
0,0.002208,0,0,0,6,0,0,0,0,2,0,0,0,1,1,0,0,14,clean
0,0.00115,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,8,clean
3,0.012089,0.001517,0,0,1,0,0,2.02,0,1,0,0,0,12,0,8,0,0,clean
0,0.007057,0,0.000939,1,0,1,0,0,0,3,0,1.01,1.06,1,0,0,0,22,clean
41,0.285085,0.00771,0.005114,10,0,12,0.023527,5.05,0,1,0,0,13.48,26,7,15,0,8,buggy
1,0.004884,0.001798,0,0,0,0,0,1.01,0,2,0,0,0,23,0,23,0,40,clean
0,0.003172,0,0,1,0,0,0,0,0,5,0,1.02,0,2,0,1,0.001409,65,clean
1,0.17533,0,0,0,0,0,0.000462,0,0,1,0,0,4.49,5,2,0,0,15,clean
0,0.020449,0,0.000741,13,0,2,0,0,0,3,0,1.02,1.06,16,1,0,0.001409,38,buggy
0,0.246259,0,0.000397,1,11,0,0,0,2.02,1,0.002501,0,3.69,29,1,0,0,8,buggy
0,0.037352,0,0,0,3,0,0.001009,0,0,2,0,0,2.59,7,0,0,0,62,clean
2,0.00393,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,16,clean
3,0.012619,0,0,2,0,0,0,0,0,2,0,0,0,10,2,6,0,19,clean
0,0.01427,0,0,0,0,0,0,0,0,4,0,0,3.27,19,1,8,0,100,clean
0,0.002208,0,0,0,1,0,0,0,0,6,0,1.01,0,1,0,0,0.004395,47,clean
0,0.207262,0,0,0,0,1,0,0,0,1,0,0,1.09,276,0,1,0,8,buggy
0,0.049096,0,0,0,0,0,0,0,0,2,0,0,0,15,0,2,0,70,clean
0,0.002208,0,0,1,3,0,0,0,0,2,0,0,0,1,0,0,0,33,clean
0,0.010598,0,0,1,7,0,0,0,1.01,3,0.0038,0,3.98,1,3,0,0,76,clean
0,0.0083,0,0,1,1,1,0,0,1.01,3,0.000367,0,0,1,1,0,0,59,clean
0,0.084221,0.000714,0.001986,2,2,2,0,1.01,0,1,0,0,1.54,3,2,0,0,8,clean
0,0.002155,0,0,1,0,0,0,0,0,4,0,1.02,0,1,0,0,0.001409,56,buggy
0,0.021588,0,0,0,0,4,0.000531,0,0,1,0,0,1.01,0,0,0,0,0,clean
0,0.009892,0.001798,0,0,0,2,0,1.01,0,4,0,0,0,14,0,0,0,185,clean
0,0.002544,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,clean
0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,1,0,0,11,clean
0,0.118675,0,0,9,0,4,0,0,0,5,0,1.02,1.08,9,0,0,0.001409,94,clean
0,0.005117,0.018394,0,0,0,0,0,1.01,0,8,0,0,0,4,1,4,0,304,clean
0,0.002678,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,8,clean
0,0.00068,0,0,1,0,0,0,0,0,7,0,0,1.07,1,0,0,0,102,clean
0,0.031635,0,0.000516,2,0,0,0,0,0,1,0,0,3.27,2,0,0,0,8,buggy
1,0.006385,0.001003,0.000522,0,0,0,0.001485,1.01,0,1,0,0,1.02,0,0,0,0,8,clean
0,0.012972,0,0,0,0,0,0,0,0,4,0,1.02,0,0,1,0,0.008262,38,buggy
0,0.002208,0,0,4,0,0,0,0,0,1,0,0,0,5,0,0,0,8,clean
0,0.002208,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,23,clean
4,0.012385,0,0,0,0,0,0,0,0,3,0,0,1.08,2,0,0,0,17,buggy
0,0.012496,0.000634,0,0,0,0,0,1.01,0,3,0,0,3.87,9,0,4,0,84,clean
2,0.135188,0,0.001805,12,0,1,0,0,0,3,0,1.02,1.14,12,1,0,0.001409,103,buggy
0,0.002208,0,0,0,0,0,0,0,0,6,0,1.02,0,0,0,0,0.001409,102,clean
8,0.231448,0.002621,0,0,0,0,0.005907,1.02,0,1,0,0,1.7,2,0,2,0,8,buggy
0,0.001941,0,0,2,0,0,0,0,0,4,0,1.02,0,2,0,0,0.001409,33,clean
0,0.001999,0.000741,0,3,0,0,0,1.01,0,2,0,1.01,1.07,10,1,7,0.001409,21,clean
0,0.002208,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,212,buggy
0,0.001369,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,8,clean
0,0.014525,0.000634,0,0,0,0,0,1.02,0,2,0,0,1.45,8,0,5,0,68,clean
4,0.051928,0,0,1,1,0,0.014529,0,0,1,0,0,4.39,6,0,0,0,11,buggy
0,0.041441,0,0,3,2,1,0,0,1.02,6,0.001203,1.02,1.05,3,1,0,0.001409,95,clean
2,0,0,0.000358,3,0,1,0,0,0,2,0,1.02,3.71,11,0,8,0.001409,8,clean
0,0.004082,0,0,0,0,0,0,0,0,2,0,0,0,5,0,3,0,68,clean
0,0.007074,0,0,0,2,0,0,0,0,5,0,1.01,1.46,3,1,0,0.004395,37,clean
0,0.016369,0,0.000513,8,0,1,0,0,0,2,0,0,2.17,8,0,0,0,18,clean
0,0.063283,0.000572,0,2,0,1,0,1.07,0,1,0,0,0,10,1,8,0,0,clean
0,0.049255,0,0,3,2,2,0,0,0,2,0,1.02,22.01,25,2,0,0.001409,8,clean
1,0.068647,0,0,1,0,0,0.001081,0,1.02,5,0.001421,1.01,1.04,2,0,0,0,49,buggy
0,0.019735,0,0,2,0,0,0,0,0,4,0,1.02,0,2,0,0,0.001409,148,clean
0,0.00189,0,0,2,0,0,0,0,0,7,0,0,1.15,2,0,0,0,115,clean
0,0.003351,0,0.000535,1,0,0,0,0,0,3,0,0,0,6,0,3,0,76,clean
0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,5,clean
0,0.000678,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,55,clean
0,0.003978,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,0,73,clean
0,0.033741,0.005029,0,3,0,2,0,2.02,0,1,0,0,0,7,1,0,0,8,buggy
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,8,buggy
0,0.008144,0.000583,0,0,0,0,0,1.03,0,3,0,0,1.05,5,0,5,0,31,clean
3,0.453537,0.002253,0.006846,44,0,1,0.005552,4.1,0,1,0,0,16.7,107,1,2,0,20,clean
0,0.006556,0,0.000882,2,0,0,0,0,0,7,0,1.02,0,2,0,0,0.001409,124,clean
10,0.402768,0.002144,0.000741,8,0,1,0.006664,4.08,0,1,0,0,15.31,43,2,8,0,21,buggy
0,0.001519,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,62,clean
11,1.45113,0.00159,0.001623,0,0,6,0.00392,1.01,0,1,0,0,22.31,182,7,2,0,0,buggy
3,0.012422,0,0.000397,6,1,0,0,0,0,2,0,1.02,1.31,6,0,0,0.001409,16,buggy
0,0.002908,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,45,buggy
0,0.053422,0,0,0,0,1,0,0,0,2,0,0,0,6,1,0,0,4,clean
1,0.002208,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,17,clean
0,0.053829,0.012497,0,0,0,0,0.001358,3.03,0,3,0,0,3.26,1,0,1,0,21,clean
0,0.029343,0,0.006873,8,1,0,0,0,0,2,0,0,1.1,8,2,0,0,33,clean
4,0.062498,0.000741,0,0,1,1,0.000822,1.1,1.01,2,0.000828,1.01,2.66,9,1,0,0.001409,25,clean
0,0.026094,0,0.01,3,0,0,0,0,0,2,0,0,0,10,1,4,0,33,clean
0,0.003941,0,0,0,0,0,0,0,0,4,0,0,0,9,0,3,0,100,clean
0,0.006711,0,0.004634,0,0,0,0,0,0,2,0,0,0,0,1,0,0,16,clean
0,0.001556,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,27,clean
0,0.002208,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,11,clean
1,0.020318,0,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,8,clean
10,0.185896,0.000634,0.000882,11,0,0,0.001243,1.04,0,2,0,0,5.13,22,3,11,0,19,buggy
3,0.190234,0.000774,0.001476,5,0,5,0.001463,1.01,0,4,0,1.02,2.45,7,0,2,0.001409,80,clean
0,0.002497,0,0,1,0,0,0,0,0,3,0,1.02,0,1,0,0,0.001409,72,buggy
0,0.002208,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,19,clean
0,0.203669,0,0,6,1,1,0,0,1.01,4,0.000295,1.02,6.75,6,0,0,0.001409,148,buggy
5,0.238687,0.008944,0,0,0,1,0.005679,3.04,0,2,0,2.03,2.86,13,4,5,0.009671,12,clean
0,0.002208,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,31,clean
0,0.001905,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,68,clean
0,0.075681,0,0,0,1,0,0,0,0,1,0,0,3.58,21,0,1,0,8,buggy
0,0.069739,0.001798,0,0,1,2,0,1.01,0,7,0,0,17.25,5,3,4,0,263,buggy
0,0.004139,0,0,0,0,0,0,0,0,2,0,0,0,24,0,3,0,68,clean
0,0.003932,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,75,clean
0,0.002208,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,23,clean
0,0.002208,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,31,clean
2,0.025133,0,0,0,1,1,0,0,0,3,0,0,0,3,1,0,0,17,clean
0,0.006202,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,18,clean
0,0.023114,0,0,0,0,0,0,0,0,1,0,0,0,10,0,10,0,8,clean
0,0.002208,0,0,0,17,0,0,0,2.02,2,0.000828,0,0,4,0,3,0,22,clean
0,0.002307,0,0,0,0,0,0,0,0,3,0,1.02,0,0,0,0,0.001409,32,clean
0,0.004789,0,0,1,4,0,0,0,0,4,0,1.02,0,1,0,0,0.001409,69,clean
0,0.056683,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,clean
0,0.009607,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,17,clean
0,0.016439,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,16,clean
0,0.385448,0,0,10,3,5,0,0,0,6,0,1.02,4.1,10,0,0,0.001409,94,buggy
0,0.004318,0,0,0,0,1,0,0,0,3,0,0,0,5,0,3,0,73,clean
0,0.004508,0,0,0,1,0,0,0,1.01,4,0.01184,0,0,0,1,0,0,127,clean
0,0.003978,0,0,0,0,0,0,0,0,2,0,0,0,5,0,3,0,68,clean
0,0.002208,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,clean
37,0.173283,0.000936,0,2,0,0,0.002847,2.02,0,2,0,0,9.89,12,1,9,0,13,buggy
1,0.006889,0,0,0,0,0,0,0,0,1,0,0,1.09,3,1,0,0,8,clean
0,0.003827,0,0.000689,0,0,0,0,0,0,4,0,0,1.06,0,0,0,0,28,clean
1,0.056038,0.001522,0.003988,1,1,0,0,1.01,0,7,0,1.02,0,1,1,0,0.001409,101,buggy
0,0.012036,0,0,0,0,0,0,0,0,4,0,1.02,0,0,0,0,0.001409,41,clean
13,0.252129,0.000572,0.001371,2,0,6,0.013913,2.02,0,2,0,1.02,3.76,2,1,0,0.001409,80,buggy
0,0.005267,0,0,0,0,0,0,0,0,3,0,0,1.12,3,0,2,0,73,clean
0,0.0185,0.001639,0,0,0,0,0,2.02,0,3,0,0,4.79,8,0,8,0,27,clean
0,0.074792,0.001075,0.000689,4,0,1,0,2.02,0,6,0,1.02,4.5,6,0,1,0.001409,207,clean
1,0.037675,0.011228,0,5,0,0,0,1.01,0,2,0,0,1.66,15,2,1,0,16,clean
1,0.002453,0,0,3,0,1,0,0,0,1,0,0,0,3,1,0,0,8,clean
0,0.001628,0,0,3,0,0,0,0,0,4,0,0,0,3,1,0,0,67,clean
1,0.159701,0.007221,0.001774,0,0,1,0.008771,2.02,0,1,0,0,7.3,6,1,2,0,8,buggy
0,0.003174,0.018394,0,0,0,0,0,1.01,0,3,0,0,0,4,1,4,0,70,clean
0,0.087499,0,0.006873,13,0,1,0,0,0,2,0,1.01,2.58,13,2,0,0.001409,33,clean
3,0.031907,0,0,2,0,0,0,0,0,2,0,0,0,3,0,1,0,11,clean
0,0.003356,0,0,5,0,0,0,0,0,3,0,0,1.03,5,1,0,0,33,clean
1,0.007107,0,0,4,0,0,0,0,0,1,0,0,1.1,4,0,0,0,16,clean
0,0.003978,0,0,0,0,0,0,0,0,3,0,0,0,3,0,2,0,73,clean
0,0.010994,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,8,clean
0,0.044342,0,0.003973,6,0,1,0,0,0,4,0,1.02,0,7,1,0,0.001409,46,clean
0,0.125401,0,0.000875,3,0,1,0.001233,0,0,3,0,1.01,5,3,2,0,0,67,buggy
0,0.005726,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,49,buggy
0,0.04487,0.002795,0,0,0,0,0,3.04,0,2,0,1.01,3.7,12,0,11,0.000461,24,clean
0,0.004743,0,0,0,0,0,0,0,0,8,0,0,1.04,1,0,1,0,243,clean
0,0.077729,0,0.007509,20,0,0,0,0,0,3,0,0,2.95,20,1,0,0,40,clean
0,0.002208,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,23,clean
0,0.023224,0,0,0,0,0,0,0,0,1,0,0,3.31,0,0,0,0,8,clean
2,0.06931,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,16,clean
0,0.02318,0,0,2,0,0,0,0,0,5,0,1.02,0,2,1,0,0.001409,94,buggy
0,0.004967,0,0,2,0,0,0,0,0,7,0,1.02,0,2,0,0,0.001409,101,clean
0,0.006544,0,0,1,0,0,0,0,0,2,0,0,1.03,1,0,0,0,22,clean
0,0.003978,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,73,clean
0,0.002208,0,0,7,0,0,0,0,0,1,0,0,0,7,0,0,0,8,clean
3,0.023806,0,0,0,0,1,0,0,0,1,0,0,1.21,5,1,5,0,8,buggy
0,0.005001,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,56,buggy
1,0.002599,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,13,clean
0,0.003369,0,0,0,0,1,0,0,0,6,0,1.02,0,1,0,0,0.001409,79,clean
3,0.03009,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,19,clean
0,0.002208,0,0,0,0,0,0,0,0,4,0,1.02,0,0,0,0,0.001409,61,clean
1,0.002208,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,8,clean
0,0.00234,0,0,0,0,0,0,0,0,6,0,1.02,0,0,0,0,0.001409,85,clean
1,0.00428,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,clean
0,0.002208,0,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,11,buggy
0,0.003996,0,0,2,2,0,0,0,0,6,0,1.02,0,2,0,0,0.001409,95,clean
2,0.17606,0.000251,0,0,0,1,0,1.01,0,1,0,0,0,3,1,3,0,8,buggy
0,0.002667,0,0,5,0,0,0,0,0,1,0,0,0,11,0,0,0,8,clean
0,0.009105,0,0,0,0,0,0,0,0,6,0,1.02,1.04,0,0,0,0.001409,207,clean
0,0.002307,0,0,0,0,0,0,0,0,3,0,1.02,0,0,0,0,0.001409,32,clean
0,0.003856,0,0,0,3,0,0,0,0,5,0,1.02,0,0,0,0,0.001409,77,clean
0,0.0083,0,0,0,0,0,0,0,0,2,0,0,0,8,0,5,0,68,clean
1,0.03342,0,0,1,1,2,0.001124,0,0,4,0,0,5.22,3,2,0,0,162,clean
0,0.008181,0,0,0,0,0,0,0,0,5,0,1.02,0,0,0,0,0.001409,94,clean
2,0.002208,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,22,buggy
0,0.003978,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,75,clean
0,0.028248,0,0,2,0,0,0,0,0,2,0,0,4.86,2,0,0,0,46,clean
0,0.005113,0,0,0,0,0,0,0,0,8,0,1.02,0,0,0,0,0.001409,109,clean
0,0.001796,0,0,3,0,1,0,0,0,3,0,1.02,0,3,1,0,0.001409,38,clean
7,0.040662,0,0,0,0,0,0.000747,0,0,1,0,0,1.19,1,0,1,0,8,buggy
35,0.189006,0,0.001692,3,0,0,0.008746,0,0,2,0,0,2.77,9,3,5,0,11,buggy
1,0.002253,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,13,clean
0,0.001963,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,8,clean
0,0.00583,0,0,2,2,0,0,0,0,5,0,1.02,0,2,0,0,0.001409,84,clean
0,0.007274,0,0,0,0,0,0,0,0,6,0,1.02,0,0,0,0,0.001409,93,clean
1,0.004627,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,8,clean
1,0.037024,0,0.002662,3,1,0,0,0,1.01,5,0.001203,1.02,0,3,1,0,0.001409,94,clean
0,0.004112,0,0.002702,1,0,0,0,0,0,4,0,0,0,1,0,0,0,25,clean
0,0.002208,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,31,clean
