@relation synapse-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
2,0,6,0,9,0.833333,0.666667,0,0.416667,0,19.6,2,0
2,0,13,0,15,0.866667,0.333333,0,0.4,1,27.333333,8,0
2,0,13,0,11,0.866667,0.333333,0,0.4,1,20.166667,8,0
2,0,213,2,27,0.887363,0.714286,0,0.196154,0,20.555556,11,1
3,0,4,3,9,0.777778,0.666667,0,0.444444,2,24.5,7,0
1,0,15,5,9,2,0,0,0.5,0,23.333333,4,0
1,0,257,12,4,0.956923,0.615385,1,0.194286,0,6.038462,3,0
3,0,13,0,14,0.866667,0.333333,0,0.4,1,22.166667,5,0
1,11,0,11,2,0.5,1,0,0.52381,0,9.142857,4,0
1,0,322,12,0,0.928571,1,0,0.296552,0,4.931034,1,0
1,0,7,1,14,0.733333,0.666667,0,0.35,0,54.5,18,1
3,0,17,1,11,0.888889,0.333333,0,0.366667,1,31.142857,10,0
1,0,0,3,2,2,0,0,1,0,0,1,0
2,0,8,0,8,1.107143,0.857143,0,0.416667,0,20.8,7,0
1,0,28,1,13,0.75,0.666667,1,0.232143,0,59.222222,25,0
2,7,4,7,8,0.833333,0.5,0,0.333333,0,16.25,3,0
1,0,33,7,7,0.666667,0.5,0,0.222222,0,25.2,4,0
2,0,6,0,11,0.833333,0.666667,0,0.416667,0,56.2,19,0
1,0,16,3,5,0.625,0.875,0,0.514286,0,17.75,5,0
2,0,13,0,12,0.866667,0.333333,0,0.4,1,20,6,0
1,0,26,6,3,0.928571,0.428571,0,0.375,0,6,1,0
1,0,87,1,1,0.852941,1,0,0.361111,0,9.666667,1,0
1,0,1,6,15,2,0,0,0.5,0,30.5,7,0
2,0,2,1,20,0.75,0.75,0,0.5,1,96.4,1,0
1,0,30,3,6,0.833333,0.857143,2,0.366667,0,13.615385,5,0
1,0,1,2,0,1,0,0,1,0,4,0,0
1,0,7,3,10,0.918182,0.181818,1,0.28,0,44.727273,5,0
1,0,13,0,8,0.8,0.5,0,0.2,0,41.5,6,1
1,0,3,1,12,0.666667,0.666667,1,0.261905,0,37.857143,22,1
3,0,17,2,9,0.733333,0.833333,0,0.3,2,22.727273,8,0
1,0,1,2,2,2,0,0,0.75,0,0,1,0
1,0,15,10,1,2,0,0,0.458333,0,0,1,0
2,0,13,0,10,0.866667,0.333333,0,0.4,1,12.333333,3,0
1,0,0,2,0,0,1,0,1,0,5.333333,1,0
4,0,3,88,0,1.5,1,0,0.777778,0,4.333333,0,0
1,0,5,3,10,0.75,0.75,2,0.2,0,9.166667,1,0
1,3,10,13,2,2,0,0,0.45,0,16.6,5,0
1,0,9,7,1,0.666667,1,0,0.475,0,14.4,2,0
1,0,1,7,10,2,0,0,0.5,0,44.5,7,0
2,0,13,0,12,0.866667,0.333333,0,0.4,1,25.333333,9,0
1,0,0,4,0,2,0,0,0,0,49,0,0
2,0,1,0,7,2,0,0,0.75,0,9,1,0
1,0,0,1,10,0,1,0,0.75,0,19.5,3,0
3,0,4,0,5,0.666667,1,0,0.666667,0,6.25,1,0
1,0,30,1,16,0.90625,0.75,2,0.25,0,22.555556,6,1
1,0,22,1,1,0.8125,1,2,0.288889,0,6.888889,4,0
1,0,28,1,17,0.791667,0.666667,1,0.232143,0,22,6,0
1,0,16,3,4,0.8125,0.75,1,0.3,0,9,2,0
3,0,6,0,12,0.833333,0.666667,0,0.416667,1,44,10,0
1,0,0,2,6,0.25,1,0,0.6,0,23.6,5,0
2,0,13,0,13,1,0.6,0,0.4,1,40.5,12,0
1,0,6,1,16,0.75,0.8,0,0.3125,0,102.4,30,0
1,0,0,2,6,0.25,1,0,0.6,0,27.4,5,0
1,0,19,1,5,0.666667,0.5,0,0.458333,0,25.428571,10,0
2,0,11,2,7,0.796296,0.833333,1,0.288889,0,21.1,12,0
2,0,103,2,15,0.909091,0.909091,0,0.294118,0,23.888889,13,0
1,0,13,1,10,0.7,0.5,0,0.3,0,22.166667,6,0
1,0,3,2,6,0.916667,0.181818,1,0.333333,0,50.571429,3,0
2,0,52,0,10,0.848485,0.666667,0,0.363636,2,47.833333,8,0
1,0,7,1,14,0.8,0.666667,0,0.32,0,54.333333,15,0
1,0,9,1,9,0.8,0.5,0,0.333333,0,17.5,1,0
1,0,15,0,11,2,0,0,0.361111,0,4.833333,1,0
2,0,6,0,12,0.833333,0.666667,0,0.416667,0,43.2,13,0
1,0,6,1,20,0.75,0.666667,0,0.5,0,37,8,0
2,0,7,2,9,0.759259,0.666667,0,0.222222,0,29.6,6,0
1,0,28,1,13,0.833333,0.666667,1,0.232143,0,17.666667,5,0
1,0,6,6,1,2,0,0,0.7,0,0,1,0
1,0,8,9,7,0.875,0.5,0,0.35,0,19.2,4,0
2,0,7,0,12,0.777778,0.666667,0,0.416667,0,16.857143,3,0
1,0,6,1,12,0.75,0.8,0,0.3125,0,27,6,0
1,0,10,11,3,2,0,0,0.45,0,0,1,1
1,0,39,1,37,0.833333,0.5,0,0.190476,0,59.2,6,1
3,0,8,2,5,0.833333,0.666667,0,0.5,2,17,6,0
1,0,1,2,4,2,0,0,0.5,0,15.5,3,0
1,0,11,3,4,0.622222,1,2,0.316667,0,15.4,7,0
3,0,8,1,7,0.75,0.5,0,0.3125,1,10.8,2,0
1,0,28,4,0,2,0,0,1,0,0,1,0
3,0,7,0,13,0.809524,0.857143,0,0.416667,1,27,9,0
3,0,13,0,12,0.866667,0.333333,0,0.4,1,22,6,0
2,0,47,2,8,0.885714,0.7,0,0.3,0,30.266667,27,1
1,0,4,4,9,0.833333,0.5,0,0.333333,0,44.75,11,0
1,0,28,1,10,0.75,0.666667,1,0.25,0,50.333333,30,1
1,0,21,43,1,2,0,0,0.428571,0,0,1,0
1,0,35,3,5,0.74359,1,2,0.255102,0,10.357143,5,0
1,0,6,1,10,0.75,0.8,0,0.3125,0,22,4,0
1,0,0,1,14,0,1,0,0.75,0,49.5,6,0
1,0,4,3,0,0.65,0.8,0,0.25,0,37.6,5,0
1,0,490,17,29,0.898305,0.909091,2,0.103955,0,13.266667,10,1
3,0,56,3,15,0.848485,0.909091,1,0.257143,2,35.5,9,0
1,0,6,55,1,2,0,0,0.5,0,0,1,0
3,0,6,1,6,1,0.5,0,0.333333,1,8.25,1,0
3,0,13,0,10,0.866667,0.333333,0,0.4,1,13,3,0
2,0,13,0,12,0.866667,0.333333,0,0.4,1,26.333333,11,0
1,0,28,7,3,2,0,0,0.4375,0,0,1,0
1,0,0,3,3,0.25,1,0,0.555556,0,23.666667,4,0
1,0,1269,8,28,0.959469,0.925926,4,0.119013,0,13.425926,23,0
3,0,13,0,10,0.866667,0.333333,0,0.4,1,13,3,0
2,0,13,0,12,0.866667,0.333333,0,0.4,1,30.166667,10,0
1,0,9,2,32,0.833333,0.75,0,0.361111,0,73.714286,20,1
