@relation poi-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R12

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,228,6,3,20,0.770833,0.833333,0,0.251429,2,15.52,1.64,1
1,0,3,3,0,2,2,0,0,0.5,0,13.333333,0.6667,0
2,0,39,2,3,9,0.851852,0.333333,0,0.283333,1,6.5,0.7,1
1,0,0,5,2,3,0.25,1,0,0.666667,0,24.333333,0.6667,1
1,0,9,2,3,11,0.25,1,0,0.454545,0,7.181818,0.6364,0
2,0,32,7,5,11,1.034091,0.125,0,0.35,1,24.333333,1.9167,1
1,0,0,0,0,0,2,0,0,0,0,0,0,0
2,0,46,2,3,10,0.818182,0.5,0,0.4,1,9.416667,1,1
1,0,1,0,3,2,2,0,0,0.5,0,12.5,0.5,0
2,0,4,1,4,2,0.833333,1,1,0.4,1,25.5,1.25,0
2,0,36,2,2,9,1.125,0,0,0.333333,0,5.888889,0.7778,1
1,0,123,1,4,4,0.659091,1,1,0.267081,0,27.608696,2.3043,1
3,3,4,4,0,5,0.5,1,0,0.6,0,4.6,0.2,1
4,2,4,5,0,5,0.5,1,0,0.6,0,4.6,0.2,1
2,0,142,3,4,18,0.798246,0.833333,0,0.3,1,15.8,1.5,1
2,0,46,2,4,10,0.818182,0.5,0,0.4,1,9,0.8333,1
1,0,3,1,3,3,2,0,0,0.833333,0,1.333333,0.6667,0
2,0,49,3,4,13,0.75,0.5,0,0.516667,1,23.466667,1.2667,1
2,0,87,2,2,13,0.803571,0.75,0,0.483333,1,8.266667,0.8,1
2,0,43,2,3,9,0.85,0.5,0,0.418182,1,9.454545,1,1
2,0,138,2,3,18,0.827068,0.857143,0,0.36,1,13.95,0.9,1
2,0,11,1,12,2,0.8,1,2,0.541667,1,27.5,1.1667,0
1,0,4,6,2,2,0.333333,1,0,0.333333,0,12.5,0.75,0
1,0,36,1,8,5,2,0,0,0.296296,0,396.888889,1.3333,0
2,0,3214,5,4,93,0.981195,0.483146,34,0.313684,1,13.46875,0.9896,1
2,0,36,2,2,9,1.125,0.333333,0,0.333333,0,5.333333,0.7778,1
2,0,36,2,2,9,1.125,0,0,0.333333,0,5.666667,0.7778,1
2,0,88,1,5,18,0.763158,0.833333,1,0.36,1,16.1,0.9,1
5,0,6,1,1,4,2,0,0,0.666667,0,4,0,1
2,0,10,4,4,5,2,0,0,0.5,0,9,0.8,0
2,1,0,8,2,2,1.125,0,0,0.5,0,5,0.6667,1
2,0,65,2,4,12,0.74359,0.666667,0,0.4,1,15.142857,1.0714,1
1,3,84,11,3,16,0.994048,0,2,0.317647,0,6.705882,1.1176,0
1,0,60,63,0,8,0.333333,0.666667,0,0.212963,0,46.307692,1.8462,0
2,0,45,2,2,10,1.111111,0.333333,0,0.32,0,4.6,0.8,1
2,0,25,2,3,8,0.8,0.5,0,0.568182,1,10.272727,1.2727,1
1,0,9,4,11,5,0.722222,1,0,0.166667,0,104.714286,2,1
3,0,41,5,4,11,0.916667,0,1,0.327273,0,4.454545,0.9091,0
2,0,41,1,7,12,0.711538,0,0,0.285714,1,14.785714,2,1
2,0,52,4,4,11,0.933333,0.4,0,0.415385,1,92.153846,1.3846,1
2,0,54,4,3,14,0.7,0,0,0.3625,1,23,1.5625,0
2,1,0,1,1,1,2,0,0,1,0,3,0,0
2,0,57,1,4,12,0.769231,0.666667,0,0.482143,1,12.714286,0.8571,1
5,0,6,0,1,4,2,0,0,0.666667,0,4,0,1
3,0,3,6,2,1,2,0,0,0.666667,1,8,0.3333,0
2,0,22,1,2,22,0.5,0,0,0.244444,1,37.36,3.6,1
2,0,10,1,4,5,2,0,0,0.5,0,5.4,0.8,0
1,0,1,1,2,2,2,0,0,0.5,0,114.5,8.5,0
1,0,0,2,1,4,0.5,1,1,0.7,0,28.4,1.2,0
2,0,38,1,5,22,0.75,0.875,4,0.35,1,16.541667,0.9167,1
2,0,49,3,3,9,0.85,0.5,0,0.522727,1,8.454545,0.8182,1
1,0,0,3,0,1,2,0,0,1,0,0,1,0
2,0,117,1,5,24,0.936364,0.363636,3,0.346154,1,17.576923,0.9231,1
2,0,46,1,4,10,0.981818,0.2,0,0.5,1,10.583333,0.8333,1
2,0,244,3,6,22,0.908213,0.444444,0,0.284722,1,15.375,1.4583,1
1,0,0,1,2,1,0,1,1,0.6,0,22,2.5,0
3,0,45,6,3,8,1.111111,0,0,0.525,1,7.5,0.8,1
2,0,36,1,3,10,0.772727,0.5,0,0.4,1,10.75,0.8333,1
2,2,102,3,3,11,0.933333,0.75,1,0.190476,0,614.5625,1.1875,1
1,0,0,19,1,1,2,0,0,1,0,0,1,0
2,0,114,1,4,18,0.877193,0.555556,0,0.45,1,16.55,0.9,1
1,0,106,10,28,13,0.354167,1,2,0.144796,0,25.941176,1.1176,0
2,0,64,1,2,11,0.883333,0.6,0,0.5,1,9.615385,0.7692,1
2,0,94,3,14,15,0.649123,1,2,0.154545,1,15.2,1.15,0
2,0,6,4,1,5,2,0,0,0.7,1,8.2,1,0
1,0,3,0,1,2,2,0,0,0.333333,0,104,0.6667,1
2,0,46,2,4,10,0.818182,0.5,0,0.4,1,9,0.8333,1
1,0,3,2,2,3,2,0,0,0.75,0,1.666667,0.6667,0
2,0,36,2,2,9,1.125,0,0,0.333333,0,5.333333,0.7778,1
2,0,45,1,3,8,1.111111,0,0,0.525,1,7.6,0.8,1
1,0,0,9,14,14,0.5,1,3,0.198864,0,27.0625,1.0625,0
1,0,45,13,0,10,2,0,0,0.4,0,0,1,0
2,0,36,2,3,7,1.125,0,0,0.555556,1,6.888889,0.7778,1
2,0,114,1,4,18,0.855263,0.625,0,0.45,1,16.55,0.9,1
1,0,0,1,1,1,2,0,0,1,0,0,1,0
1,0,0,13,0,1,2,0,0,1,0,0,1,0
2,0,0,7,3,8,0.35,1,0,0.545455,1,15.181818,1,1
1,0,1,19,1,2,2,0,0,1,0,0,1,0
2,0,46,1,4,10,0.818182,0.5,0,0.5,1,10.583333,0.8333,1
3,0,171,1,3,19,1.055556,0,0,0.526316,0,5.684211,0.9474,1
1,0,0,3,1,1,2,0,0,1,0,0,1,0
2,0,91,1,4,16,0.776471,0.8,0,0.458333,1,15.555556,0.8889,1
2,0,46,3,3,10,0.818182,0.5,0,0.4,1,9.5,1,1
1,0,1,2,0,1,2,0,0,0.5,0,18.5,1.5,0
2,0,25,8,6,11,0.957143,0.142857,0,0.222222,1,31.636364,1.8182,0
2,0,511,4,5,35,0.938063,0.625,4,0.239382,1,14.263158,1,1
2,0,46,1,4,10,0.818182,0.5,0,0.5,1,10.583333,0.8333,1
1,0,107,34,0,18,0.382353,1,0,0.433333,0,8.333333,1.2222,0
2,0,0,0,0,10,0,1,0,0.32,1,7.5,0.9,0
2,0,153,1,5,24,0.8,0.888889,2,0.346154,1,17.923077,0.9231,1
2,0,49,2,3,9,0.975,0.25,0,0.522727,1,8.454545,0.8182,1
1,0,2749,45,54,48,0.914286,1,5,0.16732,0,38.906977,2.2209,1
1,0,15,2,0,6,1.2,0,0,0.333333,0,22,2,1
2,0,45,2,2,10,1.111111,0.333333,0,0.32,0,5.4,0.8,1
2,0,253,1,1,23,2,0,0,0.669565,1,1.130435,0.9565,0
4,0,6,2,1,4,2,0,0,0.666667,0,4,0,0
2,0,312,1,6,32,0.909274,0.8125,0,0.265625,1,17.6875,0.9688,0
2,0,49,2,3,9,1,0.2,0,0.522727,1,8.454545,0.8182,1
2,0,69,2,3,12,0.769231,0.666667,0,0.482143,1,9.857143,0.8571,1
1,2,19,3,4,6,0.611111,1,2,0.325,0,5.9,1.3,0
2,0,33,2,3,9,0.866667,0.6,0,0.283333,1,7.4,0.7,1
1,0,0,3,0,3,0,0,0,0.666667,0,9.333333,0.6667,0
2,0,470,6,6,32,0.863426,0.833333,0,0.219595,1,22.081081,1.8919,1
1,0,21,1,3,11,0.533333,1,0,0.454545,0,6.909091,0.6364,0
3,0,3060,0,3,72,0.83906,1,2,0.07963,2,9.3875,1.1375,0
3,0,15,1,0,6,1.178378,0.054054,2,0.3,1,40.666667,1.1667,1
2,0,46,0,4,10,0.818182,0.5,0,0.5,1,10.583333,0.8333,1
1,0,0,2,1,2,0,0,0,0.833333,0,19,0.5,1
1,0,6,5,2,4,2,0,0,0.666667,0,0,1,0
2,0,141,1,4,20,0.957393,0.315789,0,0.443182,1,17.363636,0.9091,1
1,0,1,1,4,0,2,0,0,0.5,0,40,0.5,0
2,0,22,1,3,7,0.885714,0.8,0,0.35,1,11.125,0.625,1
2,0,14,5,2,6,0.785714,0,0,0.325,0,7.625,1,0
1,0,651,3,30,7,0.766926,0.705882,1,0.174004,0,33.148148,3.1667,1
2,0,1,1,5,16,0.670588,0.8,3,0.366667,1,14.055556,0.8889,1
1,0,0,7,1,8,0.642857,0.5,0,0.46875,0,40.375,2.125,1
1,0,0,6,1,1,2,0,0,1,0,0,1,0
2,0,82,1,5,22,0.766304,0.875,3,0.35,1,16.916667,0.9167,1
1,0,4,1,6,4,0.333333,0,0,0.416667,0,19.25,1.25,1
2,0,43,2,5,9,0.85,0.5,0,0.418182,1,12.818182,0.9091,1
2,0,43,2,3,9,0.85,0,0,0.418182,1,9.454545,1,1
2,0,49,2,3,9,0.933333,0.333333,0,0.522727,1,8.454545,0.8182,1
2,1,255,1,5,36,0.924925,0.518519,6,0.331579,1,19.368421,0.9474,1
2,0,665,1,14,41,0.836957,1,3,0.185619,2,20.042553,1.5319,0
3,0,0,2,2,7,1.142857,0.5,0,0.35,1,18.875,0.625,1
1,0,0,0,0,24,0.388889,1,0,0.313333,1,24.04,2.6,0
2,0,45,2,2,10,1.111111,0.5,0,0.32,0,4,0.8,1
1,0,1,2,7,2,2,0,0,0.5,0,11,0.5,0
2,0,46,3,3,10,0.818182,0.5,0,0.4,1,9.5,1,1
3,0,0,3,7,9,0.375,0,1,0.369231,3,48.384615,1.5385,1
1,0,0,4,0,24,0.388889,1,0,0.36,1,24.04,2.6,0
2,0,43,2,3,9,0.85,0.5,0,0.522727,1,8.454545,0.8182,1
1,0,36,5,4,9,2,0,0,0.314815,0,0,1,0
1,0,0,4,2,41,1,0.066667,1,0.304762,0,6.52381,1.0952,1
1,0,0,3,1,1,2,0,0,1,0,0,1,0
2,0,56,2,3,11,0.777778,0.666667,0,0.5,1,9.615385,0.8462,1
2,0,46,2,4,10,0.818182,0.5,0,0.4,1,9,0.8333,1
2,0,3,2,2,9,0.916667,0.5,0,0.283333,1,7.3,0.9,1
1,0,20,2,0,8,0.625,1,0,0.301587,0,31,2.4444,0
2,0,49,2,3,9,0.85,0.5,0,0.522727,1,8.454545,0.8182,1
2,0,0,8,8,11,0.757576,0.333333,0,0.277778,1,21.166667,1.25,0
2,0,46,1,4,10,1,0.166667,0,0.5,1,10.583333,0.8333,1
2,0,327,2,4,28,0.775862,0.833333,0,0.216667,1,15.633333,2.0667,1
2,0,37,1,5,16,0.806723,0.571429,2,0.366667,1,14.555556,0.8889,1
1,0,3,0,17,6,0.083333,1,1,0.303571,0,39,1.8571,0
2,0,36,2,2,9,1.125,0,0,0.333333,0,5.666667,0.7778,1
1,0,4,1,1,2,0.333333,1,0,0.466667,0,35.25,1.25,0
2,0,46,2,4,10,0.818182,0.5,0,0.4,1,9,0.8333,1
2,0,94,3,10,20,0.897436,0.384615,2,0.262857,2,18.08,1.52,1
1,0,5,1,17,6,0.55,0,2,0.375,0,39.5,2.6667,1
1,0,16,2,6,8,0.727273,0.555556,2,0.319444,0,28.166667,2,1
2,0,4,0,1,4,0.666667,1,0,0.5,1,9.75,1.25,0
2,0,4,3,0,5,0.428571,1,0,0.425,1,9.875,0.875,0
2,0,6,1,16,2,0.75,1,2,0.55,1,34.8,1.2,0
2,0,103,2,4,16,0.848739,0,1,0.472222,1,16.777778,1.1667,1
2,0,162,3,4,46,0.861702,0.95,12,0.325,1,17.145833,1,1
1,0,1,7,6,1,0,1,1,0.514286,0,35.571429,0.7143,0
4,0,6,3,1,4,2,0,0,0.666667,0,4,0,1
2,0,1362,17,7,17,0.927083,1,1,0.265306,1,30.473684,2.5263,0
2,18,10,20,1,5,1.25,0,0,0.6,0,1,0.8,0
1,0,15,2,8,5,2,0,0,0.666667,0,27.5,0.8333,1
2,0,36,1,3,7,1.125,0,0,0.555556,1,6.888889,0.7778,1
1,0,198,1,1,28,0.841751,1,0,0.383929,0,12.464286,1.75,1
2,0,664,4,4,46,0.902083,0.95,8,0.270833,1,13.44898,0.9388,1
2,0,46,1,4,10,0.818182,0.5,0,0.5,1,10.583333,0.8333,1
2,0,43,2,3,9,0.85,0.5,0,0.418182,1,9.363636,1,1
2,0,367,1,5,36,0.854054,0.933333,4,0.276316,1,19.842105,0.9474,1
2,0,204,2,5,21,0.882609,0.7,1,0.298611,1,16,1.2917,1
2,0,187,4,7,34,0.747475,0.888889,2,0.198529,2,20.147059,1.4118,1
2,0,171,3,4,28,0.863889,0.916667,9,0.283333,1,11.709677,0.9032,1
2,0,36,2,2,9,1.125,0,0,0.333333,0,5.666667,0.7778,1
1,0,9,4,3,11,0.25,1,0,0.522727,0,6.545455,0.6364,0
1,0,3,0,2,2,2,0,0,0.333333,0,36.333333,2.3333,0
1,0,1,1,1,1,0.75,1,0,0.5,0,38.666667,2.6667,0
2,0,46,3,3,10,0.818182,0.5,0,0.4,1,9.5,1,1
1,0,6,1,2,4,2,0,0,0.583333,0,0,1,0
1,0,0,3,2,3,0.666667,1,2,0.4375,0,5.25,0.75,0
2,0,81,1,5,16,0.764706,0.8,0,0.305556,1,15.833333,0.8889,1
3,0,3,2,3,10,0.722222,0.5,0,0.4,1,6.1,0.8,1
1,0,0,2,4,5,0,1,1,0.541667,0,27.166667,2.3333,1
1,0,0,2,9,10,0.566667,1,1,0.272727,0,17.818182,1.0909,0
1,0,9,5,1,3,1.164242,0.003636,0,0.190476,0,168.285714,1.2857,0
2,0,49,2,3,9,0.85,0.5,0,0.522727,1,8.454545,0.8182,1
1,0,0,1,0,0,2,0,0,1,0,3,0,0
2,0,43,2,3,9,0.85,0.5,0,0.418182,1,9.363636,1,1
2,1,0,2,4,9,0.125,0,0,0.351852,1,18,1.1111,0
1,0,3,1,3,9,0.222222,0,0,0.333333,0,17.2,1.3,1
1,3,290,13,6,18,0.962649,1,16,0.175781,0,20.6875,1.1563,0
1,0,34,6,0,9,0.690909,1,0,0.375,0,24.083333,1.5833,1
2,0,61,4,3,11,0.807692,0.5,0,0.5,1,16.357143,1.0714,1
1,0,21,4,1,14,0.564103,0,0,0.297619,0,16.142857,1.5714,1
2,0,2,2,4,8,0.666667,0.166667,1,0.333333,1,20.777778,0.8889,1
2,0,54,2,3,10,0.909091,0.333333,0,0.4,1,8.5,0.8333,1
2,0,28,1,5,11,0.636364,1,0,0.246753,1,28.166667,1.3333,0
2,0,105,1,6,20,0.920635,0.4,2,0.253247,1,17.5,0.9091,1
1,0,0,1,0,4,1.125,0.25,0,0.583333,0,5.25,0.5,0
4,0,6,2,1,4,2,0,0,0.666667,0,4,0,1
2,0,54,2,3,10,0.954545,0.25,0,0.5,1,8.583333,0.8333,1
1,0,0,2,2,3,0.369048,1,1,0.416667,0,52.625,2.375,1
2,0,72,3,4,15,0.791667,0.833333,0,0.268908,1,15.235294,1.2941,1
2,0,46,1,4,10,0.818182,0.5,0,0.5,1,10.583333,0.8333,1
2,0,46,2,3,10,0.818182,0.5,0,0.4,1,9.416667,1,1
3,0,120,1,3,16,1.066667,0,0,0.53125,0,5.4375,0.9375,1
1,0,15,6,1,6,2,0,0,0.583333,0,0,1,0
2,0,45,2,2,10,1.111111,0.333333,0,0.32,0,5.4,0.8,1
3,0,19,2,4,13,1.076923,1,0,0.385714,1,26,1.4286,1
1,0,48,2,5,9,0.818182,1,2,0.5,0,25.25,1.4167,1
3,0,10,1,1,5,1.25,0,0,0.55,1,4.4,0.2,1
1,0,0,4,0,0,2,0,0,0,0,0,0,0
3,0,26,2,1,7,0.857143,0.25,1,0.342857,1,25.875,1.125,1
2,3,0,7,4,8,0.142857,1,0,0.375,1,13.25,1.25,0
2,0,0,0,5,22,0.717391,0.875,6,0.35,1,15.791667,0.9167,1
1,0,2,3,2,4,0.75,1,2,0.36,0,5.4,0.8,0
3,0,4,3,0,5,0.5,1,0,0.6,0,4.6,0.2,0
3,0,0,2,4,8,0.666667,0.5,0,0.525,1,15.9,0.9,1
1,0,0,3,5,3,0,1,0,0.5,0,27.75,1.25,0
1,0,0,0,0,1,2,0,0,1,0,3,0,1
1,0,62,1,129,5,0.818182,0.5,0,0.239583,0,112,11.4167,1
2,0,348,6,4,35,0.843254,0.928571,5,0.279279,1,16.486486,1.1351,1
1,0,24,6,2,8,0.863636,1,0,0.214286,0,25.25,1.25,0
2,0,54,2,3,10,0.818182,0.5,0,0.5,1,8.583333,0.8333,1
2,4,44,4,8,13,0.75,1,0,0.3875,1,16.352941,1.3529,1
2,0,46,0,4,10,0.818182,0.5,0,0.5,1,10.583333,0.8333,1
1,0,87,5,16,22,0.748276,0.6,4,0.146154,0,36.7,2.9,1
2,0,107,2,3,16,0.794118,0.833333,0,0.458333,1,13.055556,0.8889,1
1,0,2,0,8,4,0.666667,0,1,0.36,0,21.8,2.2,0
1,1,197,4,10,16,0.813853,0.545455,1,0.369048,0,15.681818,1.0455,1
1,0,0,2,5,7,0.571429,1,2,0.458333,0,15.375,1.375,0
2,0,114,2,4,18,0.894737,0.5,0,0.45,1,16.55,0.9,1
1,0,331,3,0,24,0.873563,0,0,0.391667,0,24.366667,2.6333,1
1,0,1,5,0,2,2,0,0,0.75,0,0,1,0
