@relation synapse-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
1,0,0,1,0,0,0,0.625,0,26,1,0
2,0,6,0,11,1,0,0.555556,0,33.75,6,0
1,0,28,4,0,2,0,1,0,0,1,0
2,0,3,0,9,2,0,0.555556,0,48.333333,10,0
2,0,3,0,9,2,0,0.555556,0,38.666667,9,0
2,0,48,2,28,0.866667,0,0.242188,0,56.5,33,1
2,0,41,0,11,0.9,0,0.38,2,49.818182,9,0
2,0,3,0,8,2,0,0.555556,0,37,7,0
2,0,100,2,13,0.90625,0,0.3,0,24.764706,12,1
1,0,9,3,4,0.333333,0,0.3,0,78.571429,12,0
2,0,4,2,7,0.625,0,0.377778,0,61.333333,11,1
2,0,78,4,10,0.8125,2,0.276786,1,19.647059,17,1
1,0,28,7,3,2,0,0.4375,0,0,1,0
2,0,0,1,20,0.535714,1,0.404762,1,63.875,4,1
1,0,3,2,2,2,0,0.666667,0,0,1,0
1,0,30,1,38,0.625,0,0.196429,0,60.666667,6,1
3,0,1,3,15,0.814286,0,0.30303,1,49.545455,16,0
1,0,1,0,5,0.5,0,0.5,0,5.666667,1,1
3,0,0,2,8,0.5,0,0.388889,1,29.888889,10,0
1,1,0,1,1,0,0,0.666667,0,4.333333,1,0
1,0,11,3,4,0.622222,2,0.316667,0,15.4,7,1
1,0,3,2,2,2,0,0.666667,0,0,1,0
2,0,3,0,10,2,0,0.555556,0,17.666667,4,0
3,0,3,0,9,2,0,0.555556,0,32.333333,6,0
1,0,5,1,6,0.55,0,0.28,0,24.333333,4,0
3,0,4,0,5,0.666667,0,0.666667,0,6.5,1,0
1,0,20,1,17,0.642857,1,0.244898,0,22.625,6,1
2,0,4,0,10,0.666667,0,0.666667,0,34,6,1
2,0,2,0,10,0.666667,0,0.666667,0,66.25,19,0
2,0,2,0,7,0.666667,0,0.666667,0,14.75,3,0
1,0,0,3,3,0.25,0,0.555556,0,23.666667,4,0
3,0,6,0,9,2,0,0.583333,2,8.75,1,0
2,0,234,4,11,0.913194,2,0.223958,1,14.36,17,1
1,0,2,1,12,0.583333,0,0.333333,0,29.5,6,0
1,0,2,1,14,0.625,0,0.375,0,73,22,1
1,0,2,1,14,0.625,0,0.35,0,73.4,19,1
1,0,35,3,5,0.74359,2,0.255102,0,10.357143,5,1
1,0,0,1,10,0,0,0.75,0,19.5,3,1
1,17,7,17,5,0.47619,0,0.380952,0,14.066667,4,0
3,0,1,1,4,2,0,0.5,0,6,1,0
1,0,1,8,2,2,0,0.75,0,0,1,0
2,0,4,0,9,0.666667,0,0.666667,0,34,6,0
3,0,4,0,5,0.666667,0,0.666667,0,6.5,1,0
3,0,3,0,7,2,0,0.555556,0,14.333333,3,0
2,0,3,0,11,2,0,0.555556,0,35,8,0
1,0,87,4,12,0.845588,3,0.227941,0,13,7,1
2,0,4,0,10,0.666667,0,0.666667,0,44,15,0
1,0,0,2,2,2,0,1,0,0,1,0
3,0,4,0,11,0.666667,0,0.666667,0,47,10,0
3,0,3,2,5,2,0,0.833333,1,23.666667,8,0
1,0,0,1,9,0.5,2,0.5,0,30,4,0
1,0,4,2,20,0.25,0,0.416667,0,96.8,1,0
3,0,3,1,4,2,0,0.555556,0,10,2,0
1,0,13,1,5,0.2,0,0.5,0,28.333333,10,0
1,0,0,3,9,0.583333,2,0.25,0,7.6,1,0
2,0,4,0,4,0.666667,0,0.666667,0,5.5,1,0
1,0,0,1,0,2,0,1,0,0,1,0
2,0,2,0,8,0.666667,0,0.666667,0,13.75,3,1
1,0,6,6,2,2,0,0.666667,0,0,1,0
1,0,27,3,9,0.791209,2,0.4,0,18.5,7,1
2,0,34,4,9,0.866667,0,0.258929,0,28.6875,8,0
3,0,3,0,8,2,0,0.555556,0,14,3,0
1,0,1,8,3,1.969231,0,1,0,7,0,1
1,0,6,74,1,2,0,0.5,0,0,1,0
1,0,15,5,9,2,0,0.5,0,23.333333,4,0
1,0,32,0,25,0.875,0,0.270833,0,26,7,1
1,0,22,0,11,0.75,0,0.4,0,36.888889,1,0
1,0,0,1,14,0,0,0.75,0,49.5,6,1
2,0,299,2,12,0.898707,2,0.172414,0,18.266667,22,1
2,0,2,1,5,0.55,0,0.625,0,39.2,5,0
3,0,1,1,1,2,0,0.777778,2,13.333333,2,0
1,0,21,46,1,2,0,0.428571,0,0,1,0
1,0,0,2,9,0.56,1,0.28,0,29.090909,3,0
1,0,5,1,9,0.708333,0,0.416667,0,39.142857,20,0
1,0,14,4,12,0.828571,1,0.333333,0,45.75,12,0
2,0,0,2,8,0.5,1,0.270833,0,19.875,6,0
1,0,35,3,3,0.851852,1,0.266667,0,3.3,1,0
1,0,1,8,10,2,0,0.5,0,44.5,7,1
1,0,143,2,17,0.878788,0,0.181818,0,21.956522,5,0
1,0,0,1,11,0.25,0,0.3125,0,112,39,1
1,0,493,13,0,0.941176,0,0.297143,0,4.942857,1,1
1,0,8,2,18,0.25,0,0.3,0,19.8,8,1
1,0,87,1,1,0.852941,0,0.361111,0,9.666667,1,0
2,0,14,2,16,0.727273,1,0.3,0,23.916667,17,0
2,2,12,4,10,0.75,0,0.678571,0,88.375,23,0
1,0,0,2,6,0.25,0,0.6,0,27.4,5,0
1,17,22,17,14,0.771429,0,0.346939,0,22.125,5,1
1,0,0,2,0,2,0,1,0,0,1,0
1,0,3,9,1,2,0,0.666667,0,0,1,0
1,0,0,4,10,0.527778,1,0.288889,0,39.3,7,0
2,7,1,7,5,2,0,0.666667,0,19,3,0
1,0,9,3,5,0.5,0,0.566667,0,17.857143,5,0
1,0,0,9,1,2,0,1,0,0,1,0
1,0,22,1,1,0.8125,2,0.288889,0,6.888889,4,0
1,0,1,2,2,2,0,0.75,0,0,1,0
2,2,53,8,13,0.666667,0,0.255102,0,28.857143,7,0
2,0,6,2,14,0.80303,0,0.22619,0,32.333333,25,0
3,0,349,1,11,1.030769,0,0.164835,1,30.481481,11,0
2,0,3,0,7,2,0,0.555556,0,12.666667,3,0
3,0,3,0,8,2,0,0.555556,0,14,3,0
3,0,4,0,5,0.666667,0,0.666667,0,6.25,1,0
2,0,3,0,8,2,0,0.555556,0,28.333333,8,0
1,0,1,2,0,1,0,1,0,4,0,0
1,0,1,2,6,0.5,0,0.5,0,7.333333,1,0
1,0,10,2,12,0.583333,1,0.190476,0,28,4,0
2,0,110,2,19,0.84,1,0.185714,0,26.809524,15,0
1,0,3,2,33,0.6,0,0.371429,0,90.333333,7,1
2,0,2,0,13,0.666667,0,0.666667,0,42,5,0
1,0,28,4,27,2,0,0.2,0,52.75,6,1
2,0,2,0,13,0.690476,0,0.666667,0,74,17,0
1,0,1,2,4,2,0,0.5,0,15.5,3,0
1,0,26,7,3,0.928571,0,0.375,0,6,1,0
2,0,0,2,10,0.5,0,0.291667,0,18.375,10,0
1,0,3,3,2,0.583333,1,0.314286,0,6.285714,2,0
