@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ns numeric
@attribute nm numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
1,1,1,0,0.006135,0,163,0,6,0,1,1747,701.466667,1743,0
1,6,11,0.988109,0.008863,0.008863,123.090909,1,6,598,0.636364,12564,5677.916667,12209,0
1,2,3,0.189427,0.180812,0.031365,180.666667,0,6,206,1,1625,717.5,1621,0
1,1,2,0,0,0,0,0,6,141,1,10546,5317.666667,10250,0
2,55,114,0.923853,2.26442,2.2654,116.342105,0,8,479,0.114035,1211,1078.5,1211,1
1,1,1,0,0.735849,0.207547,53,1,2,17,1,35,12.866667,1,0
2,9,13,0.521998,0.519704,1.812808,31.230769,1,2,338,0.384615,48,25.866667,14,0
3,5,5,0.895134,0.360374,0.118565,128.2,1,2,85,0.8,53,30.866667,17,0
3,28,104,0,0,0,62.884615,0,1,0,0.009615,18932,6272.622619,215,0
1,1,1,0,0,0,2,0,1,0,1,19577,6917.622619,1,0
3,4,8,0,0,0,64.875,0,1,0,0.125,21164,8367.008333,684,0
1,1,1,0,0.323529,5.411765,34,0,1,0,1,21164,8367.008333,126,0
2,2,2,0.260863,0.263374,0.016461,121.5,1,1,0,1,21004,8256.378571,520,0
4,5,5,0,0,0,62.2,0,1,0,0.2,21001,8253.378571,833,1
1,1,1,0,0.018868,0.018868,53,1,1,0,1,21005,8257.378571,111,0
2,2,3,0,0,0,27.666667,0,1,0,0.333333,21023,8275.378571,783,0
3,5,7,0.561975,0.021505,0.111111,39.857143,0,1,0,0.571429,21150,8353.008333,671,0
2,2,5,0,0,0,77.4,0,1,0,0.2,20981,8233.378571,1065,1
6,28,102,0,0,0,12.862745,0,1,0,0.009804,18828,6168.622619,473,1
1,1,1,0,0.041667,0.041667,96,0,1,0,1,21164,8367.008333,471,0
1,1,1,0,0,0,44,0,1,0,1,20954,8227.171429,395,0
2,2,2,0,0,0,25,0,1,0,0.5,21150,8353.008333,587,0
1,1,1,0,0.060686,0.002639,379,0,1,0,1,21164,8367.008333,471,0
1,1,1,0,0.079365,0.079365,126,0,1,0,1,21164,8367.008333,471,0
1,2,2,0.088232,1.416667,1.255952,168,1,2,34,1,34,11.866667,3,0
1,1,1,0,0.12,0.14,50,1,1,5,1,20964,8229.486905,400,0
1,1,1,0,0.420561,0.196262,107,0,1,0,1,21024,8276.378571,417,0
2,21,143,0,0,0,43.748252,0,1,0,0.006993,18565,5905.622619,286,0
3,10,21,0.74748,0.302469,0.195473,46.285714,0,1,82,0.333333,20949,8222.171429,1087,0
1,2,3,0.561838,0.09375,0.041667,32,0,1,64,0.666667,21137,8340.008333,458,0
2,3,3,0,0,0,45.333333,0,1,0,0.333333,20925,8206.917857,1015,0
1,1,1,0,2.272727,1.597403,77,1,2,17,1,32,9.866667,1,0
5,6,7,0.720227,0.102731,0.085826,109.857143,0,1,151,0.714286,21133,8336.008333,1406,0
3,4,9,0.509454,0.176849,0.021436,103.666667,0,1,233,0.444444,21091,8294.008333,1203,0
2,2,3,0,0,0,38.666667,0,1,0,0.333333,20949,8222.171429,1035,0
3,3,3,0.955232,0.481481,0.606481,72,0,2,6,0.666667,21037,8240.008333,1175,0
3,5,18,0.641848,0.566396,0.28636,61.5,0,1,235,0.444444,21071,8274.008333,1185,0
4,7,10,0.576936,0.263757,0.051233,52.7,0,1,74,0.5,20995,8247.378571,1129,0
2,2,2,0,0,0,31,0,1,0,0.5,21071,8274.008333,1122,0
1,1,1,0,0.05303,0.007576,132,0,1,0,1,20950,8223.171429,394,0
2,14,143,0,0,0,52.468531,0,1,0,0.006993,18422,5762.622619,143,1
3,39,161,0,0,0,60.242236,0,1,0,0.006211,18726,6066.622619,447,1
1,1,1,0,0.026316,0.026316,38,0,1,0,1,21164,8367.008333,87,0
1,1,1,0,0,0,8,0,1,0,1,21137,8340.008333,82,0
2,3,11,0,0,0,11.181818,0,1,0,0.090909,21091,8294.008333,120,0
1,1,1,0,0,0,0,0,1,0,1,21141,8344.008333,83,0
1,1,1,0,3.333333,3.333333,21,0,3,1,1,8814,5631.833333,8539,1
1,6,20,0,0,0,50.1,0,1,0,0.05,16289,5918.8,15698,1
1,9,15,0.959278,0.010692,0.01238,118.466667,1,9,630,0.4,12579,5692.916667,12224,0
1,1,9,0.693186,0.625536,0.723176,103.555556,1,8,430,0.777778,10899,5324.75,10599,1
1,1,1,0,2.493827,2.271605,81,0,5,19,1,250,250,228,1
1,2,2,0.11091,1.574713,1.54023,43.5,1,2,81,1,16244,5885.216667,15653,1
1,1,1,0,0,0,22,0,1,0,1,11732,5279.666667,11412,0
1,1,1,0,0.128205,0.871795,39,1,2,17,1,16650,4461.642857,15917,0
1,2,3,0.054939,0.567073,0.62561,273.333333,0,8,234,0.666667,2248,869.1,2242,0
1,1,1,0,0.210526,0,38,1,2,21,1,11740,5283,11420,0
1,3,3,0.334163,0.727528,0.755618,118.666667,1,3,43,1,11739,5286.666667,11419,1
1,1,3,0.628234,0.292683,0.02439,13.666667,0,2,57,0.666667,10169,6116.5,9882,0
1,1,1,0,0.032558,0.004651,215,0,3,6,1,1552,768.25,1548,0
1,1,1,0,0.00463,0.00463,216,0,3,7,1,1537,756.416667,1533,0
1,1,3,0.884153,0.094845,0.049485,161.666667,1,5,134,1,1534,753.416667,1530,1
1,4,4,0.677169,0.030973,0.115044,113,0,8,158,0.75,1527,748.416667,1523,0
1,1,1,0,0.034483,0,29,0,4,169,1,1910,690.316667,1906,0
1,1,1,0,0.007353,0.007353,272,1,2,7,1,1895,675.316667,1891,0
1,3,13,0.607304,0.349842,0.182297,73,0,8,1154,0.615385,1354,601.25,1350,1
1,1,1,0,0.26087,0.130435,23,1,2,46,1,1984,1688.833333,1938,0
1,2,2,0.387051,0.136364,0.136364,242,1,5,79,1,1961,1671,1915,1
1,1,2,0.825627,0.126437,0.028736,87,1,3,8,0.5,1341,943.833333,1337,1
1,3,3,0.056432,0.959813,0.942991,356.666667,0,6,58,1,1310,953.166667,1306,1
1,1,1,0,0.040909,0.009091,220,1,5,4,1,1305,948.166667,1301,0
1,3,5,0.804625,0.235892,0.129797,177.2,0,7,77,0.8,1278,922.666667,1274,1
1,2,3,0.126579,1.521739,1.53913,38.333333,1,5,6,0.333333,1214,1081.5,1192,1
1,2,2,0.667714,0.029018,0.066964,448,1,6,6,1,6522,4265.5,6401,0
1,1,1,0,0.031933,0.067227,595,0,5,1,1,1049,783,1047,0
1,1,1,0,0.011589,0.009934,604,0,5,0,1,1043,777,1041,0
1,3,3,0.725686,0.02381,0.010476,350,1,5,17,1,1002,746.5,1000,0
2,2,4,0,0,0,27,0,1,0,0.25,20995,8247.378571,118,0
1,1,1,0,0.736842,0.789474,19,0,1,0,1,6150,4454.5,6029,0
1,3,5,0.916726,0.082996,0.071862,197.6,0,4,242,0.4,6111,4415.5,5990,1
1,1,3,0,0,0,20,0,1,0,0.333333,2686,2686,2678,1
1,43,223,0,0,0,63.156951,0,1,0,0.004484,19155,6495.622619,223,1
3,4,12,0.680559,0.616071,0.189286,46.666667,0,1,92,0.583333,20981,8233.378571,1169,1
2,3,8,0,0.067164,0.097015,16.75,0,1,0,0.25,19586,6926.622619,652,0
1,1,1,0,0.285714,0.190476,42,0,1,2,1,20951,8224.171429,643,0
1,1,1,0,0.004167,0.004167,240,1,2,29,1,60,37.866667,5,0
1,3,5,0.753502,0.082508,0.009901,181.8,0,1,35,0.2,20896,8179.222619,625,0
4,8,10,0.629258,0.25,0.101145,104.8,0,1,93,0.4,21034,8280.778571,2319,1
1,1,2,1,0.035088,0.035088,85.5,0,1,20,0.5,20953,8226.171429,645,0
2,3,3,0.63093,0.008969,0.017937,74.333333,1,1,30,0.333333,20957,8223.946429,1043,1
1,1,1,0,0.007194,0.007194,139,0,1,0,1,21164,8367.008333,697,0
2,3,4,0.976305,0.031609,0.027299,174,1,1,8,0.5,20887,8211.84881,987,0
1,1,1,0,0.048851,0.045977,348,1,2,19,1,61,38.783333,6,0
4,6,8,0,0,0,34.875,0,1,0,0.125,21126,8329.008333,1279,0
1,49,325,0,0,0,67.8,0,1,0,0.003077,19480,6820.622619,548,1
5,6,12,0,0,0,40.5,0,1,0,0.083333,21118,8321.008333,1391,0
5,10,15,0.772281,0.144882,0.041732,84.666667,0,1,310,0.533333,21118,8321.008333,1391,0
2,2,3,0.889513,0.032103,0.004815,207.666667,0,1,24,0.666667,20922,8203.917857,1012,0
3,6,6,0.933574,0.316294,0.111821,52.166667,1,2,133,1,59,36.866667,12,0
4,6,22,0,0,0,28,0,1,0,0.045455,20919,8200.917857,1059,1
1,19,63,0,0,0,40.603175,0,1,0,0.015873,19543,6883.622619,611,1
4,7,15,0.870059,0.204225,0.158451,56.8,0,1,19,0.466667,21023,8275.378571,1258,0
1,1,1,0,0,0,0,0,1,15,1,21001,8253.378571,5,0
1,1,1,0,0,0,3,0,1,0,1,19586,6926.622619,1,0
1,12,33,0,0,0,12,0,1,0,0.030303,19576,6916.622619,33,0
3,4,6,0.886292,0.075153,0.004601,108.666667,1,1,46,0.666667,20963,8229.946429,1088,0
3,4,7,0,0,0,67.714286,0,1,0,0.142857,21051,8254.008333,1150,0
3,3,7,0.64448,0.061033,0.018779,30.428571,0,1,96,0.714286,21051,8254.008333,1150,0
2,2,4,0,0,0,6.75,0,1,0,0.25,20896,8179.222619,664,0
1,1,1,0,0.031746,0.015873,63,0,2,41,1,1801,714.15,1797,0
1,1,1,0,0.223022,0.057554,139,0,6,0,1,1725,679.633333,1721,0
1,1,1,0,0,0,0,0,1,84,1,3602,3602,13,0
1,3,3,0,0,0,0,0,2,137,1,3607,3607,18,0
1,1,1,0,0,0,17,0,1,0,1,476,476,1,0
1,2,2,0.98648,2.438596,0,28.5,0,1,28,1,1899,1899,8,0
1,1,1,0,0,0,0,0,1,0,1,1656,1656,2,0
2,2,2,0.928839,0.093458,0.191589,107,0,2,0,0.5,1778,1778,1778,0
1,1,1,0,0.066667,0.5,30,0,1,0,1,1693,1693,5,0
1,1,1,0,2.583333,0,36,0,1,0,1,1656,1656,2,0
1,1,1,0,0,0,122,0,1,0,1,2692,2692,9,0
1,1,1,0,0.769231,0.307692,26,1,1,36,1,2824,2824,10,0
1,1,1,0,0,0,0,0,1,0,1,1658,1658,4,0
1,1,1,0,2.4,0,25,0,1,0,1,1658,1658,4,0
1,2,2,0.591673,0.211414,0.079118,385.5,1,1,25,1,17439,5083.711905,1008,1
1,2,22,0,0,0,19.181818,0,1,0,0.045455,16587,4543.604762,682,0
1,2,4,0,0,0,7,0,1,0,0.25,16612,4568.604762,707,0
1,3,5,0,0,0,29.6,0,1,0,0.2,16716,4459.17619,792,0
1,1,1,0,0.272727,0.090909,11,0,1,70,1,17898,5432.361905,1055,0
1,1,1,0,0,0,13,0,1,0,1,16638,4594.604762,733,0
1,1,3,0,0,0,7,0,1,0,0.333333,16608,4564.604762,703,0
1,2,2,0.970951,0.042735,0,58.5,1,1,20,1,16672,4483.642857,753,0
1,2,5,0,0,0,23.6,1,1,0,0.2,16662,4473.642857,743,1
1,1,3,0.974252,0.160643,0.297189,83,0,1,147,1,18219,5578.016667,1063,0
1,1,1,0,0,0.045455,44,0,1,56,1,18072,5494.65,1056,0
1,1,1,0,0,0,96,0,1,0,1,16717,4460.17619,793,0
1,1,4,0,0,0,27,0,1,0,0.25,16595,4551.604762,690,0
1,4,6,0.484206,0.148241,0.371859,66.333333,0,1,18,0.5,16688,4431.17619,764,0
1,3,5,0.533563,0.076687,0.027607,65.2,1,1,20,1,16670,4481.642857,751,0
2,252,1297,0.30127,21,18,0,0,15,238874,0.276793,20883,8223.622619,19576,0
2,6,7,0.358423,0.136086,0.764526,93.428571,1,8,349,1,17835,5373.442857,17835,1
2,19,55,0,0,0,49.127273,0,1,0,0.018182,16553,4559.828571,16553,1
1,1,2,0,0,0,59,0,1,0,0.5,16742,4422.388095,817,0
1,4,4,0.593229,0.14983,0.038593,220.25,0,1,28,0.75,17422,5075.616667,1003,0
1,6,15,0.697436,0.180371,0.156499,25.133333,0,1,206,0.533333,16716,4459.17619,792,0
1,1,4,0.67839,0.12,0.146667,18.75,0,1,28,0.25,16595,4551.604762,690,0
1,4,6,0,0,0,31.166667,0,1,0,0.166667,16626,4582.604762,721,0
1,2,6,0,0,0,36.166667,0,1,0,0.166667,16696,4439.17619,772,0
1,1,3,0,0,0,286.333333,1,1,0,0.333333,17806,5412.845238,1040,0
1,1,2,0,1.028754,0.308307,313,0,1,16,1,16696,4439.17619,772,0
1,4,8,0.340311,0.427481,0.29771,81.875,0,1,55,0.25,16626,4582.604762,721,1
1,1,1,0,0.132743,0.165192,339,0,1,0,1,17815,5421.845238,1049,0
1,1,1,0,0.067524,2.279743,311,1,1,10,1,17807,5413.845238,1041,1
1,2,2,0.780502,0.81741,0.41189,235.5,1,1,20,1,16655,4466.642857,736,0
1,2,3,0.625829,0.148872,0.066165,221.666667,0,1,3,0.333333,16556,4521.761905,651,0
1,3,3,0.78355,0.258065,0.350806,82.666667,0,1,48,1,17814,5420.845238,1048,0
2,23,26,0.69565,0.014675,0.01782,183.461538,1,10,1734,0.461538,18104,5526.65,18104,1
1,2,2,0.918296,0.002801,0.005602,178.5,1,1,20,0.5,16664,4475.642857,745,0
1,4,10,0.628475,0.1875,0.155303,52.8,0,1,70,0.1,16608,4564.604762,703,1
1,1,1,0,0.265625,0.1875,128,1,1,8,1,17437,5081.711905,1006,0
1,4,5,0.665893,0.86014,0.342657,57.2,0,1,715,1,16882,4562.388095,926,1
1,2,8,0,0.6,1.322222,11.25,0,1,56,0.125,16587,4543.604762,682,1
1,1,1,0,0.006667,0.006667,150,0,1,1,1,16557,4522.761905,652,0
1,1,1,0,0,0,27,1,1,0,1,16655,4466.642857,736,1
2,4,6,0.604113,0.189974,0.14248,126.333333,1,5,597,1,17826,5364.442857,17826,1
1,1,1,0,0,0,133,1,1,0,1,16670,4481.642857,751,0
1,2,3,0,0,0,116,0,1,0,0.333333,16631,4587.604762,726,1
1,1,1,0,0,0,235,0,1,0,1,17814,5420.845238,1048,0
1,4,6,0.677175,0.320611,0.248092,43.666667,0,1,42,0.166667,16638,4594.604762,733,1
1,1,2,0,0,0,0,0,1,12,0.5,16631,4587.604762,726,0
1,2,2,0.289079,1.014085,0.098592,35.5,1,1,27,1,16662,4473.642857,743,1
1,2,5,0.354738,1.004167,0.504167,48,0,1,713,0.8,16824,4504.388095,871,1
1,3,4,0.147465,0.798077,0.865385,26,0,1,406,0.5,15851,5789.333333,586,1
1,1,1,0,0,0,0,0,1,340,1,14640,4607.233333,514,0
1,1,7,0,0,0,5.857143,0,1,0,0.142857,15851,5789.333333,586,0
1,4,6,0,0,0,8,0,1,0,0.166667,16816,4496.388095,863,0
1,4,8,0,0,0,10.875,0,1,0,0.125,16792,4472.388095,843,0
1,1,1,0,0,0,2,0,1,0,1,16897,4577.388095,938,0
1,2,3,0,0,0,22.666667,0,1,0,0.333333,16824,4504.388095,871,0
1,2,10,0,0,0,27.6,0,1,0,0.1,16776,4456.388095,831,0
1,1,1,0,0.277778,0.277778,18,0,1,171,1,14331,4411.016667,431,1
1,1,1,0,0,0,18,0,1,0,1,14022,6459.833333,406,0
1,3,4,0,0,0,60.5,0,1,0,0.25,11869,5364.833333,345,1
1,2,3,0,0,0,24,0,1,0,0.333333,11876,5371.833333,350,0
1,2,10,0,0,0,24.5,0,1,0,0.1,16852,4532.388095,899,1
1,3,3,0.66501,0.165179,0.013393,74.666667,1,1,33,1,17810,5416.845238,1044,0
1,1,2,0.873981,0.117647,0.082353,42.5,0,1,0,1,16899,4579.388095,940,0
1,6,18,0.770872,0.30855,0.087361,59.777778,0,1,630,0.5,16852,4532.388095,899,0
1,3,5,0.804446,0.411765,0.184314,51,0,1,520,0.6,15827,5765.333333,562,0
2,8,14,0.946714,0.074742,0.072165,27.714286,0,1,2551,0.428571,14998,4938.45,14998,0
1,9,13,0.875416,0.086176,0.084381,42.846154,0,1,1342,0.461538,14021,6458.833333,405,0
1,7,21,0,0,0,34.571429,0,1,0,0.047619,11861,5356.833333,341,1
1,1,1,0,0.612903,0.258065,62,1,1,22,1,16497,4503.828571,594,0
2,5,6,0.670387,0.109718,0.10815,106.333333,0,7,365,0.833333,16226,5911.4,16226,1
2,4,5,0.367111,0.117647,0.147059,27.2,0,6,98,0.8,16122,5807.4,16122,0
2,3,3,0.716636,0.106707,0.07622,109.333333,0,6,211,1,14603,4570.233333,14603,1
2,3,4,0.911534,0.032,0.056,31.25,1,1,261,1,13380,6179.816667,13380,0
1,4,5,0.424831,0.012876,0.025751,46.6,1,1,185,0.6,11946,5228.916667,355,0
1,3,11,0.617522,0.261017,0.223729,26.818182,0,1,1674,0.363636,15840,5778.333333,575,0
1,1,1,0,0.090909,0.090909,44,0,1,114,1,14023,6460.833333,407,0
1,4,6,0,0,0,11.666667,0,1,0,0.166667,16873,4553.388095,918,0
1,1,1,0,0,0,36,0,1,0,1,15827,5765.333333,562,0
1,1,2,0,0,0,27.5,0,1,0,0.5,11872,5367.833333,347,0
1,3,3,0.615232,0.121739,0.113043,38.333333,1,1,650,1,16676,4487.642857,757,0
1,1,2,0,0,0,42.5,0,1,0,0.5,15840,5778.333333,575,0
1,1,1,0,0,0,7,0,1,0,1,14331,4411.016667,431,0
2,5,5,0.79381,0.129542,0.048973,126.6,1,3,69,0.4,17436,5080.711905,17436,0
1,1,1,0,0,0,12,1,1,0,1,16673,4484.642857,754,0
1,1,1,0,0,0,0,0,1,0,1,62,39,2,0
1,1,1,0,0.567568,0.153153,111,0,1,0,1,91,68,10,0
2,4,4,0.755754,0.277778,0.111111,90,1,7,134,0.5,85,62,85,0
1,1,1,0,1.675676,0,74,0,1,0,1,62,39,2,0
1,1,1,0,0,0,0,0,1,0,1,91,68,10,0
1,1,2,0.437734,1.768041,0,97,0,1,0,0.5,91,68,10,0
1,1,1,0,0,0,0,0,1,0,1,91,68,10,0
1,1,1,0,0,0,0,0,1,0,1,65,42,4,0
1,1,1,0,1.769231,0,13,0,1,0,1,65,42,4,0
1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
1,2,8,0.854993,1.596639,0,59.5,0,1,0,0.125,109,86,27,0
1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
1,1,1,0,0,0,0,0,1,0,1,111,88,29,0
1,1,1,0,1.636364,0,77,0,1,0,1,111,88,29,0
1,1,1,0,0,0,0,0,1,0,1,145,122,41,0
1,1,1,0,0.134328,1.044776,67,0,1,0,1,163,140,57,0
1,1,1,0,0,0,0,0,1,0,1,159,136,55,0
1,1,1,0,0,0.011299,177,0,1,0,1,164,141,58,0
1,1,1,0,0,0,0,0,1,0,1,145,122,41,0
1,2,6,0.875463,1.770764,0,50.166667,0,1,0,0.166667,145,122,41,0
1,1,1,0,0,0,0,0,1,0,1,159,136,55,0
1,1,1,0,0.233333,0.2,30,0,1,0,1,162,139,56,0
1,4,7,0.837994,1.629252,0,84,0,1,0,0.142857,159,136,55,0
1,1,1,0,0,0,0,0,1,0,1,145,122,41,0
1,1,1,0,0,0,0,0,1,0,1,145,122,41,0
1,1,1,0,0,0,0,0,1,0,1,145,122,41,0
1,1,1,0,0,0,0,0,1,0,1,145,122,41,0
1,1,1,0,0,0,0,0,1,0,1,159,136,55,0
1,1,1,0,0,0,0,0,1,0,1,159,136,55,0
1,1,1,0,0,0,0,0,1,0,1,159,136,55,0
1,1,1,0,0,0,0,0,1,0,1,159,136,55,0
1,1,1,0,0,0,0,0,1,0,1,159,136,55,0
1,1,1,0,0,0,55,0,1,0,1,16679,4490.642857,758,1
1,1,1,0,0.092593,0.018519,54,1,1,8,1,21002,8254.378571,1184,0
1,1,1,0,0.019231,0,52,0,1,65,1,20897,8180.222619,1183,0
1,1,1,0,0,0,56,0,1,0,1,13758,6255.133333,385,0
1,1,1,0,0,0,0,0,1,187,1,14329,4409.016667,429,0
1,3,10,0,0,0,0,0,6,4500,0.4,14630,4597.233333,504,0
1,1,1,0,0,0,9,0,1,0,1,10640,5275,298,0
1,1,1,0,0.282051,0.102564,39,0,1,710,1,14545,4539.733333,432,0
1,1,1,0,0,0,9,0,1,0,1,14631,4598.233333,505,0
1,5,19,0.422893,0.876513,0.769976,43.473684,0,10,5007,0.789474,14350,4430.016667,13919,0
1,1,1,0,0,0,12,0,1,0,1,5283,4368,35,0
1,1,1,0,0,0,12,0,1,0,1,14638,4605.233333,512,0
1,1,1,0,0,0,0,0,1,408,1,14645,4612.233333,519,0
1,2,2,0,0,0,10,0,1,0,0.5,10653,5288,300,0
1,2,2,0,0,0,0,0,2,620,1,14619,4586.233333,493,0
1,1,1,0,0,0,9,0,1,0,1,14632,4599.233333,506,0
1,1,1,0,0,0,0,0,2,47,1,14635,4602.233333,509,0
1,1,6,0,0,0,61.5,0,1,0,0.166667,302,302,28,1
1,1,6,0,0,0,61.5,0,1,0,0.166667,14610,4577.233333,484,0
1,1,1,0,0,0,0,0,1,767,1,14617,4584.233333,491,0
1,1,1,0,0,0,12,0,1,0,1,5282,4367,34,0
1,1,1,0,0,0,12,0,1,0,1,14639,4606.233333,513,0
1,1,1,0,0,0,0,0,1,23,1,4573,4573,23,0
1,1,1,0,0,0,0,0,2,135,1,14230,5048.6,408,0
1,2,2,0,0,0,74,0,1,0,0.5,3602,3602,13,1
2,24,148,0.957675,2.304897,2.304724,39.047297,0,8,147,0.02027,1088,956.5,1088,1
2,7,10,0.443,1.69964,1.69964,55.6,0,6,575,0.5,2007,1705.5,2007,1
2,34,51,0.868247,1.407118,1.407292,112.941176,0,8,1770,0.431373,1306,1102.666667,1306,1
1,1,1,0,0.02521,0.02521,119,0,1,218,1,6895,4533.5,142,0
1,1,45,0,0,0,46.533333,0,1,0,0.022222,5648,4258.5,101,0
1,1,44,0,0,0,0,0,2,31649,0.045455,14596,4574.2,476,0
1,1,1,0,0,0,11,0,1,0,1,14641,4608.233333,515,0
1,2,2,0,0,0,45,0,1,0,0.5,4826,4826,25,0
1,1,1,0,0,0,0,0,1,0,1,5677,4272,116,0
1,1,1,0,2.783784,0,37,0,1,0,1,5677,4272,116,0
1,1,1,0,0,0,0,0,1,6,1,14634,4601.233333,508,0
1,1,1,0,0,0,34,0,1,0,1,5811,4118,119,0
1,2,2,0,0,0,39,0,1,0,0.5,14644,4611.233333,518,0
2,4,5,0.690767,0.109049,0.034803,86.2,1,2,37,1,7006,4597.5,7006,0
1,1,1,0,0,0,0,0,2,413,1,14604,4571.233333,478,0
1,3,11,0.859335,0.056856,0.080268,27.181818,0,1,11,0.090909,7571,5028.5,233,0
1,2,2,0,0,0,24.5,0,1,0,0.5,3607,3607,18,0
1,1,1,0,0,0,11,0,1,0,1,14617,4584.233333,491,0
1,1,1,0,0.181818,0.181818,11,0,1,9,1,14999,4939.45,535,0
1,4,4,0.244154,1.562141,1.407266,130.75,1,2,94,0.5,6908,4546.5,148,1
2,17,29,0.743698,0.230807,0.152575,70.965517,1,6,2427,0.689655,5900,4204.5,5900,0
1,1,1,0,0,0,0,0,1,0,1,5687,4282,118,0
1,1,1,0,2.5,0,38,0,1,0,1,5687,4282,118,0
2,12,26,0.84964,0.895219,0.896529,58.730769,0,6,740,0.423077,1708,1423,1708,1
1,1,1,0,0,0,39,1,1,0,1,6908,4546.5,148,1
1,1,1,0,0.051282,0.051282,39,0,1,10,1,15821,5759.333333,556,0
1,1,1,0,2.181818,1.727273,11,1,2,201,1,10627,5286.083333,297,0
1,1,2,0,0,0,68,0,1,0,0.5,5500,4117,37,1
1,1,2,1,0.264463,0.016529,60.5,0,2,133,1,1682,1397,29,0
2,28,54,0.875332,1.828386,1.874787,54.277778,0,7,2423,0.722222,8572,6007.666667,8572,1
1,1,1,0,0.024096,0.024096,83,1,2,18,1,11679,5253.75,320,0
1,1,1,0,0.021053,0.010526,95,1,1,6,1,6903,4541.5,143,0
1,1,1,0,0.138298,0.095745,94,1,1,3,1,6739,4389.5,134,0
2,11,24,0.768254,0.153798,0.05604,66.916667,1,4,2390,0.541667,6682,4366.5,6682,1
2,2,6,0,0.102041,0.040816,8.166667,1,2,26,0.5,6993,4584.5,6993,0
1,2,6,0,0,0,24.166667,0,1,0,0.166667,26,26,7,1
1,1,1,0,0.166667,0.25,12,1,2,5,1,6952,4543.5,149,0
2,2,2,0,0.005405,0.005405,92.5,1,5,24,1,6999,4590.5,6999,0
1,2,2,0.94566,0.01845,0.02214,135.5,1,2,330,0.5,14243,4718.55,410,0
1,1,3,0,1.587838,1.587838,148,0,1,0,0.333333,4855,4855,31,0
1,1,3,0,0,0,148,0,1,0,0.333333,4850,4850,28,0
2,3,4,0.861546,0.031579,0.031579,166.25,1,7,217,0.75,23,22.5,23,1
1,2,2,1,0.009756,0.009756,205,1,5,96,0.5,10328,6006.166667,296,0
1,1,1,0,2.105405,2.075676,370,1,4,39,1,501,472.5,1,1
