@relation 'jdt-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R3'

@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute exp numeric
@attribute rexp numeric
@attribute bug {1,0}

@data
1,1,0,0.007123,0.004274,702,1,11,24,1,5683,1582.42619,0
1,1,0,0.000168,0,5938,0,12,9,1,27,27,0
1,2,0.768043,0.02289,0.019462,1416.714286,0,12,778,0.857143,2281,674.571429,0
1,1,0,0.002132,0,1407,0,11,2,1,2272,665.619048,0
1,1,0,0.009901,0,303,0,2,65,1,2271,664.619048,0
1,1,0,0.444444,0.055556,90,0,7,57,1,3161,830.840476,0
1,1,0,0.028606,0.001217,1643,0,9,1,1,3130,800.607143,0
1,1,0,0.000746,0.000746,1341,0,8,3,1,26,26,0
1,1,0,0.00713,0.003565,1122,0,15,0,1,441,163,0
1,2,0.897482,0.034146,0.003252,205,0,7,35,1,2262,658.909524,0
1,5,0.930623,0.017351,0.004627,288.166667,0,12,1056,0.5,2259,655.909524,0
1,1,0,0.031847,0.002123,471,0,8,6,1,2246,643.290476,0
1,1,0,0.003279,0.003279,305,1,8,54,1,1579,311.025652,0
1,1,0,0.052356,0,191,0,7,21,1,2244,644.554762,0
1,1,0,0.004329,0.021645,462,0,8,255,1,2239,639.97381,0
1,1,0,0.014797,0,811,1,7,204,1,1576,309.960337,0
1,1,0,0.20743,0.080495,323,0,2,76,1,3118,816.609524,0
1,1,0,0.052154,0.00907,441,0,9,2,1,3117,815.609524,0
1,2,0.927926,0.036842,0.02193,570,0,13,59,1,439,164,0
1,1,0,0.067757,0.03271,428,0,9,110,1,3115,815.709524,0
1,1,0,0.005742,0.00056,7140,1,11,3,1,1575,313.545924,0
1,1,0,0.053274,0.051054,901,1,10,131,1,1574,312.545924,0
1,3,0.825234,0.011141,0.007182,2172.2,0,13,208,1,762,253.730952,0
1,1,0,0.144068,0.101695,472,0,8,344,1,10924,2569.618398,0
1,2,0.787258,0.051282,0.013516,1257.75,0,9,573,1,2232,644.021429,0
1,1,1,0.004399,0.004399,227.333333,0,7,6,0.333333,2228,644.873809,0
1,1,0,0.044776,0,67,0,8,533,1,3109,819.733333,0
1,1,0,0.003516,0.000703,1422,0,11,14,1,2224,640.990476,0
1,1,0.985228,0.019231,0,182,1,10,0,1,1573,314.746465,0
1,1,0,0.020809,0.012717,865,0,10,16,1,22439,2433.983683,0
1,1,0,0.434783,0.021739,46,1,5,286,1,1566,307.746465,0
1,1,0,0.030159,0.020635,630,0,1,336,1,10888,2567.988456,0
1,1,0,0.04698,0,149,0,9,24,1,435,162.5,0
1,2,0.485461,0.032819,0.003861,259,0,11,237,1,757,252.302381,0
1,1,0,0.003442,0.001721,581,0,4,106,1,2163,589.690476,0
1,1,0,0.008036,0.002679,1120,0,15,1,1,2162,588.690476,0
1,1,0,0.029096,0.016845,653,0,10,1,1,22424,2444.317202,0
1,2,0.1029,0.050648,0.015018,3396,1,13,269,1,1563,317.165079,1
1,2,0.439497,0.002459,0.003905,3457,0,11,75,1,745,263.183333,0
1,1,0.947177,0.00306,0.000695,2396.666667,1,10,762,1,1561,321.428607,0
1,1,0,0.014263,0.006339,631,0,9,92,1,743,261.283333,0
1,1,0,0.309524,0.142857,42,1,5,90,1,1558,318.737374,1
1,1,0.803042,0.040937,0.040248,453.4375,0,12,3624,0.75,2126,601.166667,0
1,1,0,0.001826,0.001826,1095,0,14,1,1,414,151.333333,0
1,1,0.957553,0.033824,0.008824,340,0,11,586,1,737,261.816667,1
1,1,0,0.000704,0.000704,1420,0,11,3,1,2107,617.533333,0
1,1,0,0.009091,0.001299,770,0,10,57,1,735,262.016667,0
1,1,0.968321,0.077763,0.046385,366.5,0,10,4,0.5,22346,2459.713473,0
1,1,0.513588,0.057558,0.05407,860,0,11,204,1,2101,615.85,0
1,1,0,0.059441,0.006993,286,0,7,294,1,2099,617.733333,0
1,2,0.516393,0.049835,0.066107,655.5,0,14,1119,0.833333,2098,624.333333,0
1,2,0.444126,0.059246,0.057451,278.5,0,11,316,1,3050,849.766667,0
1,1,0,0.003303,0.003303,1514,0,12,118,1,3048,849.016667,0
1,2,0.721928,0.00207,0.000887,1691,0,10,25,1,3041,845.183333,0
1,1,0,0.004317,0.004317,695,0,11,97,1,727,257.216667,0
1,1,0,0.009494,0,632,0,9,49,1,2080,611.4,0
1,1,0,0.333333,0.333333,3,0,4,500,1,3037,841.733333,0
1,1,0,0.00252,0.000593,6747,1,10,14,1,5590,2091.65,0
1,1,0,0.666667,0.25,36,1,1,0,1,5587,2089.666667,0
1,1,0,0.814815,0.074074,27,1,1,446,1,5586,2088.666667,0
1,2,0.843758,0.025514,0.001325,1509,1,10,95,1,5584,2096.4,0
1,1,0,0.002412,0.000804,3731,1,10,2,1,1553,347.95285,0
1,2,0.357647,0.006924,0.002154,3249.5,1,11,109,1,5556,2089.4,0
1,1,0,0.003668,0.004943,6271,1,10,2,1,1552,353.036183,1
1,1,0,0.042056,0.018692,214,0,4,126,1,2079,633.7,0
1,1,0,0.000159,0.000159,6277,1,10,5,1,1550,357.369517,0
1,1,0,0.095238,0,84,0,7,110,1,2077,635.433333,0
1,1,0,0.000956,0,6277,1,10,6,1,1549,356.725072,0
1,1,0,0.555556,0.333333,9,0,1,112,1,2074,632.683333,0
1,1,0,0.020619,0.0252,873,0,9,6,1,2068,626.8,0
1,1,0,0.023041,0.004608,217,1,7,116,1,1547,355.458406,0
1,1,0,0.007843,0.003922,255,1,4,457,1,1546,354.569517,0
1,1,0,0.003826,0.002232,6273,1,10,0,1,1545,353.569517,0
1,1,0,0.002873,0.00383,6266,1,10,1,1,1543,351.569517,0
1,2,0.918296,0.016842,0.002105,237.5,0,8,98,1,2064,624.683333,0
1,1,0.85282,0.011782,0.004418,452.666667,0,11,116,0.666667,722,273.716667,0
1,1,0,0.043165,0.014388,278,1,7,103,1,1542,350.569517,0
1,1,0,0.002869,0.001913,6273,1,10,0,1,1541,349.569517,0
1,1,0,0.03268,0,306,0,2,75,1,2062,622.683333,0
1,1,0,0.000638,0.00016,6267,1,10,0,1,1538,346.569517,0
1,2,1,0.002985,0,2010,1,9,125,1,1537,345.569517,0
1,1,0,0.000798,0,6264,1,10,0,1,1533,341.569517,0
1,1,0,0.008304,0.004312,6262,1,10,34,1,1532,340.569517,0
1,1,0.921072,0.075897,0.046154,487.5,0,10,78,1,719,270.716667,0
1,1,0,0.025114,0.020548,876,0,9,82,1,3005,864.366667,0
1,3,0.96023,0.001301,0.001301,1280.666667,0,10,169,1,3004,863.366667,0
1,1,0,0.000641,0.001281,6243,1,10,10,1,1530,351.832576,1
1,1,0,0.03876,0.007752,129,0,4,421,1,3000,934.5,0
1,1,0,0.004411,0,2494,1,10,28,1,2058,647.7,0
1,1,0,0.1875,0,32,1,1,309,1,2057,647.45,0
1,1,0,0.005851,0,1880,0,9,17,1,10134,2367.227092,0
1,1,0,0.044053,0.022026,227,0,8,11,1,695,284.033333,0
1,1,0,0.013359,0.001908,524,0,11,18,1,694,283.4,0
1,1,0,0.005348,0,748,0,11,27,1,692,281.4,1
1,1,0,0.004803,0.004803,1874,0,9,53,1,10102,2415.340657,0
1,1,0.985228,0.002199,0.001649,909.5,1,11,46,0.5,2043,648.883333,0
1,1,0,0.003837,0.001181,3388,1,7,49,1,5316,2101.55,0
1,1,0.998364,0.021538,0,487.5,0,10,12,0.5,402,202.5,0
1,2,0.650022,0.005612,0.007856,445.5,1,8,470,1,5313,2099.083333,1
1,1,0,0.007813,0,128,1,2,25,1,5306,2111.433333,0
1,1,0.716634,0.040289,0.038223,484,0,10,49,1,400,206.333333,1
1,1,0.811278,0.00443,0.00443,451.5,1,10,233,1,5271,2145.2,1
1,1,0.964845,0.143333,0.091667,300,0,9,226,1,22308,2762.938023,1
1,1,0,0.064815,0,216,0,8,28,1,22306,2760.938023,0
1,1,0,1.325681,1.341463,697,0,9,15,1,22304,2762.615296,1
1,1,0.889459,0.012256,0.000454,1468.666667,1,12,166,1,1978,605.683333,0
1,1,0,0.036364,0.006061,330,1,8,23,1,1973,603.983333,0
1,1,0,0.005917,0.00789,507,0,7,16,1,395,205.5,0
1,1,0,0.000406,0.003248,2463,0,10,1,1,2989,1095.916667,0
1,1,0,0.457547,0.457547,212,0,5,22,1,393,203.5,0
1,1,0,0.001247,0,1604,1,9,18,1,1965,597.55,0
1,2,0.434081,0.027053,0.027053,517.5,0,9,12,1,2978,1091.216667,0
1,1,0,0.099156,0.012658,474,0,5,106,1,2965,1078.316667,0
1,1,0,0.066929,0.01378,508,0,7,7,1,392,210.333333,0
1,2,0.775061,0.307479,0.049861,72.2,1,8,1099,0.6,1939,590.65,0
1,1,0,0.014706,0.003676,272,1,7,337,1,1510,387.397222,0
1,1,0,0.019391,0.00277,361,1,7,3,1,1509,386.397222,0
1,1,0.309543,0.020118,0.001183,1690,1,8,122,1,1507,388.48575,1
1,1,0,0,0.000849,2355,1,10,1,1,1908,568.1,0
1,1,0,0.00035,0,5717,1,11,2,1,1500,387.940115,0
1,1,0,0.109359,0.194532,951,0,9,2,1,2954,1087.3,0
1,1,0,0.003546,0.003546,282,0,7,92,1,22271,2819.076515,0
1,1,0,0,0.018182,55,0,7,130,1,2953,1087.633333,0
1,2,0.624806,0.235067,0.085934,1297.5,0,10,66,1,2952,1086.633333,0
1,1,0,0.018277,0,1149,1,7,20,1,4945,2077.05,0
1,1,0.811278,0.0023,0.000986,3043,1,10,2,1,1497,388.010786,0
1,1,0,0.051282,0.025641,78,1,1,25,1,1490,382.172691,0
1,1,0,0.000815,0,2455,0,9,8,1,372,206.333333,0
1,1,0,0.00739,0.000591,3383,1,7,28,1,4912,2111.85,1
1,1,0,0.024138,0.024138,290,0,7,103,1,2948,1087.8,0
1,1,0,0.017937,0.017937,223,0,10,20,1,2942,1096.633333,0
1,3,0.838711,0.006418,0.006418,623.25,0,12,166,0.75,365,201.666667,1
1,1,0,0.005848,0.002506,2394,0,11,38,1,361,197.666667,0
1,1,0,0.010033,0.006689,299,1,2,13,1,1484,383.681421,0
1,1,0,0.219512,0,492,0,7,1,1,358,196.5,0
1,1,0,0.008584,0.008584,233,0,8,248,1,2918,1088.666667,0
1,1,0,0.333333,0,15,0,4,290,1,2917,1087.666667,0
1,1,0,0.017204,0.012903,465,0,8,20,1,1893,606.383333,0
1,1,0,0.003077,0.003077,325,0,8,48,1,1892,605.633333,0
1,2,0.721928,0.005513,0.001378,725.5,0,11,72,1,626,246.666667,1
1,1,0,0,0.001441,694,0,11,17,1,22246,2913.232648,0
1,1,0,0.028676,0.007322,1639,0,10,27,1,2916,1160.266667,0
1,1,0,0.007576,0,396,0,9,30,1,2915,1170.316667,0
1,1,0,0.013423,0,298,1,1,34,1,1458,380.890115,0
1,4,0.875794,0.014968,0.002427,494.4,0,12,784,1,354,238.5,0
1,1,0,0.020619,0.010309,194,0,8,90,1,2912,1218.483333,0
1,1,0,0.003015,0.00201,995,0,7,22,1,349,233.5,0
1,1,0,0.020101,0.023451,597,0,9,248,1,579,222.466667,0
1,1,0,0.000847,0.002965,2361,0,11,2,1,342,227,0
1,1,0,0.009605,0.008004,1874,0,9,1,1,9623,2502.101984,0
1,1,0,0.010638,0.010638,282,0,7,0,1,22228,3039.867496,0
1,2,0.918296,0.013175,0.004177,1556,0,11,49,1,2873,1237.55,0
1,1,0,0.005607,0,2675,0,7,3,1,2864,1232.816667,0
1,2,0.994539,0.027911,0.016362,519.5,0,4,425,1,9576,2485.99127,0
1,1,0,0.003,0.00075,2667,1,7,24,1,1449,380.103175,0
1,1,0,0.025316,0,237,0,8,227,1,2854,1231.766667,0
1,1,0.764205,0.011933,0.009547,209.5,0,7,279,1,2850,1227.766667,0
1,1,0,0.002123,0,1413,0,11,3,1,2847,1225.016667,0
1,1,0,0.004785,0,209,0,4,1,1,2846,1226.75,0
1,1,0,0.004902,0.002451,408,0,7,26,1,329,221,0
1,4,0.727464,0.003235,0.006029,1700.25,0,12,237,0.75,2845,1225.983333,0
1,1,0,0.031057,0.001871,5345,1,10,12,1,1443,381.251191,0
1,1,0,0.006246,0,1601,0,9,27,1,2841,1221.983333,0
1,3,0.710491,0.055257,0.022476,456.05,0,12,3696,0.8,2835,1215.983333,0
1,2,0,0.005305,0.005305,188.5,1,1,11,1,1442,381.831746,0
1,1,1,0.010909,0.003636,412.5,0,11,19,1,22221,3110.094553,0
1,1,0,0.054187,0,203,1,7,190,1,1439,383.795635,0
1,1,0,0.002857,0.000714,1400,0,11,38,1,1889,725.383333,0
1,7,0.843738,0.007774,0.00548,603.615385,0,13,1527,0.846154,22213,3123.732612,0
1,1,0,0.003762,0,2658,1,7,0,1,1435,387.111111,0
1,1,0.950478,0.036728,0,1620,1,8,212,1,1432,384.111111,1
1,1,0,0.031802,0.031802,283,0,7,100,1,315,211,0
1,1,0,0.103448,0.126437,87,0,1,1,1,2813,1268.666667,0
1,2,0.948078,0.024804,0.001305,1149,0,11,255,1,1888,740.333333,1
1,3,0.80458,0.129213,0.072602,385.666667,0,14,18,0.666667,2782,1286.833333,0
1,1,0,0.171053,0.052632,76,0,7,191,1,311,207.5,0
1,1,0,0.009662,0.004831,414,0,11,29,1,22195,3198.218074,0
1,1,0,0.001873,0.001873,1068,0,9,112,1,2725,1236.25,0
1,1,0,0.050251,0.040201,199,0,7,152,1,2723,1235.833333,0
1,1,0.798618,0.083333,0.052861,536,0,10,599,0.666667,22184,3205.617388,1
1,1,0.716978,0.030102,0.001806,415.25,0,7,308,0.5,310,206.5,0
1,1,0,0.001269,0.000423,2364,0,11,19,1,305,201.5,0
1,1,0,0.024845,0.21118,161,0,5,0,1,304,200.5,0
1,1,0.896038,0.097473,0.018051,138.5,0,5,333,1,300,196.5,0
1,1,0,0.008068,0.00828,4710,1,10,17,1,1404,378.858333,0
1,1,0,0.000267,0,3742,1,10,77,1,4440,2595.583333,0
1,2,0.891008,0.038771,0.010913,435.25,0,11,863,0.625,2707,1234.333333,0
1,1,0,0.007874,0,1397,0,11,6,1,2699,1226.833333,0
1,1,0,0.036635,0.017639,737,0,10,1,1,22176,3266.997691,0
1,1,0,0.01511,0.005495,728,1,10,91,1,4430,2596.416667,0
1,1,0,0.007231,0.009783,4702,1,10,1,1,1397,386.070238,0
1,2,0.813195,0.012384,0.014036,1514,0,11,250,1,22175,3274.111291,0
1,1,0,0.000849,0.011043,4709,1,10,1,1,1396,386.070238,0
1,1,0.996792,0.051282,0.012821,117,0,8,100,1,22171,3270.147006,0
1,2,0.721928,0.098361,0.010929,91.5,1,8,312,1,1395,385.121429,0
1,1,0.355196,0.167658,0.03829,384.285714,0,9,885,1,293,215.5,0
1,1,0,0.078797,0.080946,1396,0,11,51,1,1880,820,0
1,1,0,0.000211,0.000211,4742,1,10,13,1,1390,420.446429,0
1,1,0,0.00212,0.000848,2358,0,10,28,1,559,330.166667,0
1,1,0.222285,0.00964,0.002096,2386,1,10,167,1,1377,426.25,0
1,1,0,0.054622,0.151261,238,0,9,14,1,556,330.166667,0
1,1,0,0.057851,0.008264,121,0,1,15,1,1864,945.916667,0
1,2,0.742488,0.007911,0.00211,948,1,11,95,1,4340,2780,0
1,2,1,0.001283,0.000642,1558.5,0,11,22,1,1858,940.666667,0
1,1,0,0.000152,0.000152,6574,1,10,1,1,1374,424.994048,0
1,1,0,0.000976,0.000976,2050,0,9,5,1,282,280.5,0
1,1,0,0.000458,0.000153,6549,0,10,5,1,1852,934.916667,0
1,1,0,0.017426,0.020107,746,0,5,1,1,2568,1248.75,0
1,1,0,0.057096,0.042414,613,0,9,3,1,1851,933.916667,0
1,1,0,0.013158,0,380,0,8,58,1,1843,925.916667,0
1,1,0,0.008795,0.00088,1137,0,9,86,1,1842,924.916667,0
1,1,0,0.006826,0,293,0,1,9,1,1841,923.916667,0
1,1,0,0.000458,0.000458,6548,1,10,85,1,1372,423.168651,0
1,1,0,0.005698,0.005698,351,0,5,13,1,2547,1227.833333,0
1,1,0,0.007547,0.003774,265,0,4,40,1,22144,3636.468434,1
1,1,0,0.058824,0.058824,17,0,3,84,1,1836,918.916667,0
1,1,0.999171,0.079533,0.045599,471.5,0,10,132,1,1833,915.916667,1
1,1,0.91357,0.009756,0.01561,341.666667,0,11,89,1,22140,3632.468434,0
1,2,0.949124,0.015857,0.048082,977.5,0,10,93,1,1819,901.916667,0
1,1,0,0.008791,0.002198,455,0,7,3,1,1817,900.416667,0
1,2,0.773674,0.066667,0.032967,455,0,10,182,1,549,323.916667,1
1,15,0.62471,0.022906,0.016686,955.457143,0,12,1731,0.6,2546,1379.666667,1
1,1,0,0.002667,0.002667,375,0,9,31,1,1764,862.083333,0
1,1,0,0.013889,0.003472,288,1,1,63,1,4319,2845.833333,0
1,1,0,0.001676,0.000419,2386,0,10,12,1,531,330.083333,1
1,1,0.684038,0.013314,0.002959,338,0,11,85,1,22091,3773.059091,1
1,1,0,0.0131,0,229,1,11,43,1,4302,2888.083333,1
1,2,1,0.011352,0.011352,969,0,12,42,1,2500,1447.333333,0
1,1,0,0.037175,0.003717,269,0,7,37,1,1738,900.75,0
1,1,0,0.001686,0.001686,593,0,9,33,1,525,331.083333,1
1,1,0,0.005051,0.005051,198,0,7,35,1,1736,906.833333,0
1,1,0,0.003683,0.000614,1629,0,11,26,1,1735,905.833333,0
1,3,0.764002,0.014486,0.003169,736.333333,0,10,166,1,8977,2951.028571,0
1,1,0,0.163539,0.005362,373,1,9,1,1,3813,2421.833333,0
1,1,0,0.045977,0.022989,87,0,8,146,1,2498,1636.75,0
1,1,0,0.005277,0,379,0,8,22,1,1732,909.916667,0
1,4,0.776407,0.005019,0.013802,1328.333333,0,10,99,0.833333,515,322.416667,0
1,1,0,0.001028,0.001028,973,0,9,7,1,2497,1637.25,0
1,1,0,0.000421,0.000421,4746,1,10,2,1,1362,473.577778,0
1,1,0,0.0625,0.078125,64,0,8,24,1,22082,3840.239286,0
1,1,0,0.00077,0.000385,2597,1,7,8,1,1360,471.998016,0
1,1,0,0.001344,0.001344,1488,1,9,14,1,1359,471.902778,0
1,1,0,0.090909,0.036364,55,0,6,188,1,1727,914.583333,0
1,1,0,0.003854,0,1038,0,7,22,1,208,208,0
1,1,0,0.02551,0.005102,196,1,7,21,1,1354,466.902778,0
1,1,0,0.002892,0,1383,0,11,17,1,1726,935.666667,0
1,2,0.413817,0.012288,0.008777,854.5,0,10,16,1,2490,1754.166667,0
1,2,0.999839,0.057881,0.01137,967.5,0,12,0,0.5,2487,1751.166667,0
1,1,0,0.011952,0,753,0,9,14,1,1724,936.333333,0
1,1,0,1.308943,1.349593,123,0,7,7,1,22060,3945.525397,1
1,1,0.525451,0.031921,0.00055,908.5,0,9,138,1,2480,1761,0
1,1,0,0.015564,0.003891,257,0,10,9,1,1720,952.333333,0
1,1,0,0.025152,0.016912,2306,0,10,8,1,1719,954.833333,0
1,1,0,0.010101,0.000918,1089,0,11,8,1,22056,3994.513889,1
1,4,0.859777,0.002122,0.000118,2120.25,0,12,15,0.75,493,317.833333,0
1,1,0,0.036827,0.016997,353,0,6,7,1,489,313.833333,1
1,1,0,0.011551,0.00165,606,0,9,7,1,1709,945.833333,0
1,1,0,0.147541,0,61,1,6,6,1,1337,462.56627,0
1,1,0,0.015177,0.008432,593,0,9,2,1,487,314.5,0
1,1,0.985228,0.030303,0.012121,82.5,1,6,2,0.5,3705,2393,0
1,1,0,0.030189,0.030189,265,0,7,0,1,22034,4014.744048,0
1,3,0.656197,0.022901,0.006997,524,0,14,66,0.666667,482,310,0
1,1,0,0.056,0.016,125,0,8,68,1,479,307,0
1,1,0.308757,0.064234,0.041241,1370,0,10,85,1,478,306,1
1,1,0,0.009259,0.009259,108,1,8,0,1,2775,1465,0
1,1,1,0.025,0.0125,80,1,7,566,1,1336,465.422619,0
1,1,0,0.919483,0.913519,2012,0,9,6,1,22033,4014.224603,1
1,1,0,0.018568,0.02122,377,0,8,11,1,1697,953.5,1
1,1,0,0.053079,0.025478,471,0,7,9,1,207,207,0
1,1,1,0.004717,0.004717,212,0,11,79,1,206,206,0
1,1,0,0.016,0.008,125,0,7,1,1,204,204,0
1,1,0,0,0.002353,4674,1,10,2,1,1334,464.739286,0
1,1,1,0.018265,0.004566,219,0,9,163,0.75,203,203,0
1,1,0,0.254482,0.24004,2008,1,9,6,1,2747,1460.833333,0
1,2,0.753196,0.00623,0.003617,1658.666667,1,12,298,1,1331,461.780952,0
1,1,0,0.269461,0.005988,167,0,5,388,1,1695,1019.833333,0
1,1,0,0.003774,0.003774,530,0,8,28,1,1694,1018.833333,0
1,1,0,0.008652,0.008652,1387,0,11,3,1,1693,1020.333333,0
1,1,0,0.015296,0.001275,1569,0,9,14,1,2467,1780.333333,0
1,1,0,0.141975,0,162,0,5,311,1,1684,1019,0
1,1,0,0.021798,0.016349,367,1,10,0,1,2733,1467.833333,0
1,1,0,0.010695,0.010695,187,0,6,2,1,1683,1019.666667,0
1,1,0,0.160428,0.144385,187,1,6,78,1,2690,1435.666667,0
1,2,0.742488,0.018127,0.010574,331,0,9,66,1,21999,4077.979762,0
1,2,0.62357,0.0066,0.001015,2954.5,0,11,4,1,21988,4070.081746,0
1,3,0.031288,0.085463,0.08314,2008.666667,0,12,40,1,21983,4065.081746,1
1,1,0,0.035211,0,142,0,9,21,1,1633,982.5,0
1,2,0.494183,0.012804,0.010883,781,0,10,47,1,1632,981.5,0
1,1,0,0.007576,0.007576,132,0,9,8,1,21953,4079.161905,0
1,1,0,0,0.001669,599,0,9,20,1,1620,974.5,0
1,1,0.689779,0.005407,0.000258,1941.75,1,7,223,0.75,2670,1424,0
1,1,0,0.16,0.04,25,0,1,34,1,1619,977.5,0
1,2,0.991618,0.008192,0.004191,2624.5,1,11,0,1,1320,466.555556,0
1,1,0,0.011516,0,1042,0,7,0,1,155,155,0
1,1,0,0.000448,0.000448,2234,0,10,13,1,1618,976.5,0
1,3,0.712698,0.72211,0.674949,151.692308,0,11,670,0.538462,21949,4079.045635,1
1,1,0,0.002685,0.001879,3725,1,10,0,1,2661,1420.833333,0
1,1,0,0.000269,0,3723,1,10,7,1,2660,1419.833333,0
1,1,0,0.015723,0.003145,636,0,10,7,1,472,313.166667,0
1,2,0.597095,0.015406,0.004202,238,0,9,65,0.666667,21932,4062.411111,0
1,1,0,0.004425,0.004425,226,1,2,5,1,1314,464.278968,0
1,1,0,0.2,0.046154,260,1,7,13,1,1313,464.346825,0
1,1,0,0.014212,0.002584,774,0,9,0,1,21909,4054.12619,0
1,2,0.210842,0.040422,0.012302,569,0,9,0,0.5,2454,1783,0
1,1,0,0.000394,0.000197,5079,0,11,0,1,21829,3977.255952,0
1,1,0,0.011364,0.003788,264,0,7,31,1,21817,3989.740476,0
1,1,0,0.001973,0.000197,5068,1,11,3,1,2619,1567.166667,0
1,1,0,0.018868,0.011321,265,0,7,2,1,1545,914.166667,0
1,1,0,0.055556,0,18,0,10,14,1,1544,913.166667,0
1,1,0,0.285714,0.285714,14,1,8,351,1,1300,457.034921,0
1,1,0,0.064151,0.041509,530,1,8,57,1,1299,456.268254,1
1,3,0.488671,0.026439,0.012053,1028.8,1,11,887,0.8,1298,455.268254,1
1,1,0,0.015504,0.003876,258,0,7,130,1,1532,901.166667,0
1,1,0.25593,0.071845,0.018447,515,0,10,26,1,463,306,1
1,1,0,0.003228,0,3717,1,9,0,1,2601,1553,1
1,2,0.56651,0.006563,0.002387,838,0,14,7,1,124,124,0
1,1,0,0.048701,0.003247,308,1,10,13,1,1291,448.551587,0
1,1,0,0.00639,0.003195,313,0,9,2,1,21814,4016.876984,0
1,1,0.836641,0.015707,0.015707,477.5,0,9,11,1,21804,4006.876984,0
1,1,0,0.036496,0.021898,137,0,9,2,1,1504,880.166667,0
1,2,0.391244,0.008621,0.005388,464,0,9,56,1,1503,879.166667,0
1,1,0,0.049383,0.012346,243,0,7,87,1,1497,873.166667,0
1,1,0,0.016566,0.019578,664,0,11,2,1,451,296.666667,0
1,1,0,0.016548,0.018913,423,0,8,182,1,1494,878.666667,0
1,1,0,1.4,0.9,10,0,2,8,1,1493,882.333333,0
1,1,0,0.111111,0.055556,18,0,10,15,1,1492,881.333333,0
1,1,0,0.012162,0.008784,1480,0,9,6,1,1489,878.333333,0
1,1,0,0.004739,0.004739,422,0,7,49,1,1488,877.333333,0
