@relation 'xerces-1.3_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,19'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.708134,0.636364,4,0.233083,0,0,28.5,2.65,0
0,0.844444,0,0,0.458333,0,0,98.833333,2.5,0
0,1.111111,0,0,0.3,0,0,0,1,0
1,0.843537,0.857143,1,0.227273,0,0,25.772727,2.4545,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,1.083333,1,0,0.25,0,0,100.142857,3.5714,0
0,0,0,1,0.888889,0,0,51,3,0
0,2,0,0,0.5,0,0,0,1,0
0,0.380952,1,0,0.40625,1,3,143,0.75,1
0,2,0,0,0.4,0,0,0,1,0
0,2,0,0,0.308571,0,0,4.714286,0.9714,0
0,2,0,0,0.5,0,0,0,1,0
0,0.875,1,0,0.333333,0,0,19.666667,1,0
0,2,0,0,0.46875,0,0,0,1,0
0,0.728571,0,2,0.5,1,1,18.666667,0.6667,0
0,2,0,0,0.342857,0,0,5,0.8571,0
0,2,0,0,0.4,0,0,34.133333,3.8,0
0,0,1,0,0.571429,2,2,118,0.5,0
0,2,0,0,0.666667,0,0,4.666667,0.6667,0
2,0.908217,1,11,0.106971,0,0,22.301887,1.0189,1
0,2,0,0,0.75,0,0,0,1,0
0,0.577778,0.9,2,0.275,0,0,72.5,1.1,0
0,2,0,0,0,0,0,0,0,0
0,2,0,0,0.545455,1,6,4.545455,0.9091,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.666667,0,0,4.666667,0.6667,0
0,0.788672,0.96875,10,0.135526,0,0,130.716049,1.5432,1
0,0.522989,0.833333,3,0.201149,1,2,85.366667,1.3,0
0,2,0,0,0.348485,0,0,0,1,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,1,1,2,0.214286,0,0,12.027778,2,0
0,2,0,0,0,0,0,0,0,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.397059,0,0,4.647059,0.9412,0
0,2,0,0,0.75,0,0,0,1,0
3,0.93149,0.923077,2,0.1375,2,19,21.492308,2,1
1,0.96,0.4,0,0.611111,3,3,38.166667,1.3333,1
0,0.666667,0.5,0,0.5,2,7,13.5,1,1
0,2,0,0,0.317647,0,0,6.235294,1.1765,0
0,2,0,0,0.428571,0,0,4.571429,0.8571,0
0,0.625,1,0,0.388889,1,2,12,1,0
0,0.813725,0.647059,3,0.188889,1,4,86,1.2581,0
0,2,0,0,0.6,1,4,4.6,0.8,0
0,2,0,0,0.333333,0,0,7.333333,0.6667,0
0,0.816697,1,2,0.333333,0,0,39.166667,2.8667,1
1,0.25,1,1,0.44,0,0,50.6,6,0
0,0.666667,0.5,0,0.5,3,11,24.25,1.5,1
0,0.666667,1,1,0.5,0,0,6.5,0.5,0
0,2,0,0,0.583333,0,0,8.75,0.75,1
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.666667,0,0,5.333333,0.6667,0
0,0.875,1,0,0.25,0,0,26.142857,1.5714,0
0,2,0,0,0.324675,1,9,68.090909,3.1818,1
0,1.040816,0.214286,0,0.46875,1,1,25.125,1.5,0
1,2,0,0,0.246753,0,0,8,0.9091,1
0,2,0,0,0,0,0,0,0,0
0,2,0,0,0.5,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,0.530303,0,0,0.35,0,0,26.166667,2.75,0
0,2,0,0,0,0,0,0,0,0
0,1.243808,0.009288,0,0.5,0,0,157.2,2.2,1
0,0.798942,0,7,0.246465,0,0,47.109091,3.8182,0
0,2,0,0,0.555556,1,5,4.555556,0.8889,0
0,2,0,0,1,0,0,4,0,0
0,2,0,0,0.285714,0,0,1.222222,0.9444,0
0,0.666667,0.5,0,0.5,4,9,27.75,2.25,1
0,2,0,0,0.515152,0,0,0,1,0
0,0.924242,0,0,0.291667,1,1,66.416667,4.9167,0
2,0.904762,0.666667,2,0.416667,1,3,7.25,1.25,0
0,0.5,1,0,0.666667,0,0,4,0.6667,0
0,2,0,0,0.37963,0,0,5.333333,1.1111,0
0,0.733333,0.8,2,0.375,0,0,16.923077,1.4615,0
0,0.982906,0.051282,0,0.555556,1,1,134.25,0.5,0
0,1.2,0,0,0.333333,0,0,0,1,0
0,0.703297,0.692308,4,0.232143,0,0,67.863636,4.6818,0
1,0.928571,0.5,0,0.285714,0,0,12.25,0.75,0
0,2,0,0,0,0,0,0,0,0
0,2,0,0,0.75,0,0,0,1,0
0,0.791667,0.75,3,0.333333,0,0,17.571429,0.7143,1
0,2,0,0,1,0,0,3,0,0
0,2,0,0,0.571429,0,0,71.5,0.5,0
3,0.982143,0.571429,2,0.288889,0,0,11.111111,1.1111,1
0,2,0,0,0.611111,0,0,0,1,0
0,2,0,0,0.5,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.555556,1,5,4.555556,0.8889,0
0,2,0,0,0.7,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,0.666667,1,3,0.214876,0,0,79,0.8182,0
0,0.366667,1,3,0.387755,0,0,143.857143,0.7143,0
0,2,0,0,0.6,0,0,4.6,0.8,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,1.043478,0,0,0.270833,0,0,0,1,0
0,0.666667,0.5,0,0.5,2,7,19.75,0.75,1
0,2,0,0,0.35,0,0,20.4,1.8,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.666667,0,0,5.333333,0.6667,0
0,2,0,0,0.666667,0,0,0,1,0
0,2,0,0,0.428571,0,0,0,1,0
0,2,0,0,0.6,0,0,0,1,0
0,2,0,0,1,0,0,3,0,0
0,0.30303,0,0,0.4375,0,0,13.583333,1.25,0
0,0.08,0,0,0.528846,0,0,26.730769,2.6538,1
0,0.666667,0.5,0,0.5,2,7,19.5,1,1
0,2,0,0,1,0,0,7,0,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,0.75,0.5,0,0.466667,2,8,22.2,2,1
0,2,0,0,0.375,0,0,0,1,0
0,2,0,0,0.5,0,0,0,1,0
0,2,0,0,0.25,0,0,0,1,0
0,0.5,0,0,1,0,0,713.666667,0.3333,1
0,0.666667,0,1,0.444444,0,0,6.5,0.5,0
0,2,0,2,1,0,0,3,0,0
0,2,0,0,0.538462,0,0,0,1,0
0,2,0,0,0.6,1,4,4.6,0.8,0
0,2,0,0,0.75,0,0,0,1,0
2,0.902047,1,9,0.144231,0,0,62.25641,2.3333,0
1,0.850863,0.076923,0,0.194286,0,0,61.64,2.48,1
1,0.9,1,6,0.131944,2,9,27.55102,1.0408,1
0,0,1,1,0.45,1,2,9.8,0.8,0
3,0.971362,0.894737,1,0.118172,0,0,15.507246,2.3043,0
0,0.666667,0.5,0,0.5,2,8,17.25,1.25,1
1,1.5,0,0,0.555556,1,4,3,0.6667,0
0,2,0,0,0.666667,0,0,4.666667,0.6667,0
0,2,0,0,0.75,0,0,3.5,0,0
0,2,0,0,0,0,0,0,0,0
0,2,0,0,0.5,0,0,0,1,0
0,2,0,0,0.555556,1,4,4.555556,0.8889,0
0,0.890476,0.952381,1,0.22623,2,10,40.704918,2.5246,1
0,2,0,0,0.666667,0,0,5.333333,0.6667,0
0,2,0,0,0.281818,0,0,0,1,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,2,0,0,0.545455,1,6,4.545455,0.9091,0
0,2,0,0,0.55,1,1,14.2,0.4,0
0,1,1,0,0.833333,0,0,72.666667,4.6667,0
0,0.924861,1,15,0.147959,0,0,99.169014,1.0423,1
0,2,0,0,0.75,0,0,0,1,0
1,0.5,0,0,0.55,0,0,9.6,0.8,0
0,0.698413,0,3,0.15035,0,0,6.181818,0.9545,0
0,0.4625,1,0,0.183007,1,15,22.411765,2.2353,0
0,0.75,0.5,0,0.555556,3,11,13,1,1
0,2,0,0,0.5,0,0,0,1,0
0,2,0,0,0.555556,1,5,4.555556,0.8889,0
0,2,0,0,0.666667,0,0,4.666667,0.6667,0
0,0.891641,0.157895,2,0.189815,0,0,75.277778,1.1667,0
0,0.75,1,2,0.333333,0,0,51.285714,0.7143,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.5,0,0,4.666667,0.6667,0
0,0.375,1,1,0.355556,1,2,15.111111,0.8889,0
0,2,0,0,0.394737,0,0,4.526316,0.9474,0
0,0.838889,1,2,0.137778,0,0,44.543478,4.0435,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.32,1,1,12,1.7333,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,0.767857,1,0,0.40625,1,2,33.5,1,0
0,0.5,1,2,0.4,0,0,5.4,0.8,1
0,1.203488,0.046512,0,0.5,0,0,49.6,2.2,1
0,2,0,0,0.75,0,0,0,1,0
1,0.720588,1,1,0.179012,0,0,18.388889,1.7778,0
0,0.5,0,0,1,0,0,85.333333,0.3333,0
0,0.666667,1,0,0.5,0,0,105.25,0.5,1
0,1.166667,0.333333,1,0.5,0,0,59,1.3333,0
0,0.777778,1,0,0.375,0,0,5,0.8,0
0,0.133333,1,1,0.5,0,0,38.5,1.1667,0
0,2,0,0,0.75,0,0,0,1,0
0,0.5,0.941176,2,0.301587,0,0,93.222222,0.7778,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.6875,0,0,0,1,0
0,2,0,0,0.666667,0,0,4.666667,0.6667,0
0,0.142857,0,0,0.520833,0,0,70.375,5.625,0
9,0.995139,0.366667,20,0.1875,0,0,42.102041,2.2857,1
3,0.778182,0.933333,4,0.135989,0,0,32.642857,2.9464,1
0,0.96732,0.941176,0,0.233333,0,0,35.421053,2.8421,0
0,1,1,1,0.357143,0,0,11.214286,1.7857,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,2,0,0,0.75,0,0,0,1,0
1,0.9,0.5,0,0.5,1,5,6.333333,1.3333,0
0,0.666667,1,3,0.333333,0,0,5.5,0.8333,1
3,0,1,0,0.555556,1,2,7.833333,1,0
1,0.874194,0.9,6,0.152074,2,18,89.761905,1.6825,1
0,2,0,0,1,0,0,5,0,0
0,2,0,0,0.52381,0,0,4.714286,0.9524,0
0,2,0,0,0.4,0,0,7.4,1.1333,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.4,0,0,0,1,0
0,2,0,0,0.25,2,7,81.833333,8.0833,1
0,2,0,0,0.571429,0,0,5.142857,0.8571,0
0,2,0,0,0,0,0,0,0,0
0,0.857143,0.714286,2,0.244444,0,0,17.8,1.1,1
0,2,0,0,0.666667,0,0,4.666667,0.6667,0
0,0.779264,1,7,0.307692,0,0,117,1,0
0,2,0,0,0.45,1,2,5.2,0.8,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.347826,0,0,0,1,0
0,0.2,1,2,0.416667,1,2,24.333333,0.8333,0
0,2,0,0,0.75,0,0,0,1,0
1,2,0,0,1,0,0,7,0,0
0,1.041667,0,0,0.33,0,0,0,1,0
0,0.75,0.5,0,0.555556,2,7,9.333333,0.6667,1
0,2,0,0,0.555556,0,0,0,1,0
2,0.861111,1,4,0.2,0,0,35.923077,1.4615,1
0,2,0,0,1,0,0,0,1,1
0,2,0,0,0.294737,1,3,5.026316,1.0789,0
0,2,0,0,0.312,1,7,4.68,0.96,0
0,2,0,0,0.6,1,4,4.6,0.8,0
0,0.954545,1,1,0.246377,1,1,6.913043,1.2174,0
0,2,0,0,0.375,0,0,0,1,0
0,0.619048,1,1,0.3,1,1,12.25,0.75,1
1,0.833333,0.666667,1,0.4,2,6,8.8,1.2,0
0,1.159091,0.136364,0,0.5,0,0,35.6,2.2,0
0,2,0,0,0.75,0,0,0,1,0
0,0.5,0,0,1,0,0,306.333333,0.3333,0
2,0.791667,1,2,0.36,0,0,88.6,0.8,1
0,2,0,0,0.645833,0,0,0,1,0
1,0.916667,0.75,0,0.52381,1,4,9.857143,1.8571,0
0,2,0,0,0.21875,1,10,15.3125,1.9375,0
0,0,0,1,0.55,0,0,16.5,0.5,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,2,0,0,0.5,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.6,0,0,9.4,1.6,0
0,2,0,0,0.45,0,0,4.6,0.8,0
0,2,0,0,0.75,0,0,0,1,0
0,0.653061,1,2,0.303571,0,0,21.125,1.5,0
0,2,0,0,0.416667,0,0,4.777778,0.8889,0
0,2,0,0,0.555556,1,6,4.555556,0.8889,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.638889,0,0,0,1,0
0,0.5,1,2,0.284091,0,0,41.818182,1,0
0,1,0,1,0.275,0,0,13.15,2,0
0,2,0,0,0.354167,0,0,0,1,0
0,2,0,0,0.363636,0,0,0,1,0
0,2,0,0,0.295652,1,3,5.478261,1.1304,0
0,2,0,0,0.571429,2,2,69,0.5,0
0,2,0,0,0.75,0,0,0,1,0
0,0.666667,0.5,0,0.5,2,5,42.5,2.5,1
0,2,0,0,0.282353,0,0,0,1,0
0,2,0,0,0.37069,0,0,0,1,0
0,2,0,0,0,0,0,0,0,0
0,0.944105,0.967213,41,0.085474,0,0,70.968421,1.6211,1
0,2,0,0,0.5,0,0,5.666667,0.6667,0
0,0.333333,1,2,0.464286,0,0,56.25,0.625,0
0,1.111111,0,0,0.4,0,0,0,1,0
1,0.9,0.1,2,0.393939,0,0,6,0.9091,0
2,2,0,0,0.6,0,0,3,0.2,0
0,2,0,0,0.75,0,0,0,1,0
0,0,1,0,0.433333,1,2,21.5,1.5,0
2,0.8,0,1,0.533333,0,0,23.833333,4.3333,1
0,2,0,0,0.538462,1,7,4.538462,0.9231,0
16,1.25,1,0,0.533333,0,0,1.4,0.8,1
0,0.285714,1,0,0.4375,0,0,6.75,0.5,0
6,1.023551,0,1,0.195652,0,0,9.166667,0.9583,0
0,0.05,0,0,0.409091,1,1,16,1.1818,0
0,2,0,0,1,0,0,0,1,0
0,0.906177,0.090909,6,0.192308,1,1,123.603774,13.3585,0
0,0.876923,1,0,0.392857,0,0,4,0.7143,0
0,2,0,0,1,0,0,0,1,0
0,0.850198,0.862069,12,0.138249,0,0,35.177419,1.3226,0
0,2,0,0,1,0,0,3,0,0
0,2,0,0,0.777778,0,0,0,1,0
0,0.75,1,1,0.333333,1,1,52.142857,0.7143,0
0,2,0,0,0.555556,1,6,4.555556,0.8889,0
0,0.716667,1,3,0.318182,0,0,28.636364,0.9091,0
0,0.5,1,1,0.515152,0,0,9,1.2727,0
0,2,0,0,0.314286,1,7,4.619048,0.9524,0
0,2,0,0,0.285714,0,0,1.266667,0.9333,0
0,2,0,0,0.6,0,0,9.4,1.6,0
0,2,0,0,0.666667,0,0,0,1,0
0,2,0,0,0.555556,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,1,1,1,0.583333,0,0,6.75,1,0
0,2,0,0,0.403846,0,0,6.923077,1.2308,0
0,2,0,0,1,0,0,0,1,0
0,0.714286,1,1,0.285714,0,0,5,0.75,0
0,2,0,0,0.666667,0,0,0,1,0
0,2,0,0,0,0,0,0,0,0
0,0.285714,1,0,0.4375,0,0,6.75,0.5,0
0,2,0,0,0.5,0,0,4.666667,0.6667,0
0,2,0,0,0.375,0,0,0,1,0
0,2,0,0,0.666667,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,0.941176,1,1,0.481481,0,0,4.611111,1,0
35,2,0,0,0.436364,2,3,7.454545,1.2727,0
0,2,0,0,0.75,0,0,0,1,0
0,0.690909,1,3,0.194444,0,0,77.666667,0.8333,0
0,2,0,0,0.6,0,0,4.6,0.8,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.394737,1,6,4.631579,0.9474,0
0,0,1,0,0.625,0,0,5.75,1,0
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.625,2,2,37,5.5,0
0,0.375,1,0,0.466667,0,0,10.333333,0.5556,0
0,0.5,0,0,1,0,0,81,0.3333,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,0.666667,1,1,0.375,1,1,12.625,0.75,1
0,2,0,0,0.461538,0,0,0,1,0
1,0.878788,0.833333,0,0.454545,0,0,21.416667,1.6667,0
0,0,0,0,0.666667,0,0,5,0.5,0
0,2,0,0,1,0,0,0,1,0
0,0.845588,1,2,0.189815,0,0,105,1.1667,0
0,1.17,0.08,0,0.5,0,0,35.2,2.2,0
0,0.780488,1,0,0.226481,0,0,46.47619,3.1429,1
0,2,0,0,0.375,0,0,0,1,0
0,2,0,0,0.45,0,0,5,0.8,0
0,0.6875,1,4,0.307692,0,0,27.615385,4.2308,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.538462,1,4,4.538462,0.9231,0
0,0.733333,0.6,0,0.25,0,0,86,2,1
0,0.75,0.5,0,0.555556,2,7,11.666667,0.6667,1
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.666667,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.4,1,4,4.6,0.9333,0
0,2,0,0,0.6,1,4,4.6,0.8,0
2,0.565625,1,2,0.174479,1,3,90.848485,1.0606,0
0,0.908497,0.176471,0,0.25,0,0,779.8,4.7,0
0,0.5,0,0,0.5,0,0,11.666667,0.6667,0
0,2,0,0,0.571429,1,4,4.571429,0.8571,0
0,2,0,0,0,0,0,0,0,0
0,2,0,0,1,0,0,0,1,0
0,0.579545,1,0,0.366667,1,3,173.666667,0.8889,0
1,0.933333,0.8,0,0.4,2,6,7.8,1.6,1
0,2,0,0,0.309677,0,0,7.354839,1.3871,0
0,2,0,0,1,0,0,0,1,1
0,2,0,0,0.75,0,0,0,1,0
0,0.882033,0.736842,9,0.126667,0,0,27.933333,1.2333,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.5,0,0,0,1,0
0,2,0,0,0.371429,0,0,0,1,0
2,0.817568,0.75,1,0.174174,1,16,36.789474,2.7368,0
0,2,0,0,0.438596,0,0,0,1,0
0,2,0,0,0.666667,0,0,0,1,0
0,2,0,0,0.533333,1,6,4.533333,0.9333,0
0,2,0,0,0.75,0,0,0,1,0
0,0.608824,0.882353,3,0.170833,1,4,180.609756,1.0488,0
0,0.5,1,0,0.666667,0,0,4,0.6667,0
0,2,0,0,0.521739,0,0,4.521739,0.9565,0
0,2,0,0,0.75,0,0,0,1,0
0,0.669118,1,2,0.285714,0,0,77.222222,0.7778,1
0,2,0,0,0.206349,0,0,0,1,0
0,2,0,0,0.333333,0,0,33,0.6667,0
0,1.028846,0.153846,1,0.31746,0,0,38.222222,4.6667,0
0,0.944317,0.070175,15,0.150725,0,0,52.574468,1.0426,1
0,2,0,0,1,0,0,0,1,1
0,2,0,0,0.6,0,0,4.6,0.8,0
0,2,0,0,0.354167,0,0,0,1,0
0,0.75,0.5,0,0.555556,2,3,18,0.6667,1
0,2,0,0,1,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,0.757692,1,3,0.184524,0,0,98.214286,1.0714,0
0,2,0,0,0.5,0,0,0,1,0
1,1.5,0,0,0.555556,1,4,3,0.6667,0
0,0.75,0.5,0,0.555556,3,12,13,1,1
0,2,0,0,0.521739,1,6,4.521739,0.9565,0
0,2,0,0,0.403846,1,6,4.615385,0.9231,0
0,0,1,0,0.555556,1,1,7.166667,0.6667,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.388889,0,0,4.592593,0.963,0
3,0.75,1,0,0.333333,0,0,36.6,0.6,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.5,0,0,0,1,0
0,0.972222,0,1,0.314286,0,0,7.285714,0.8571,0
0,2,0,0,0.571429,1,6,4.571429,0.8571,0
0,0.054545,0,0,0.416667,1,1,41.666667,2.75,0
0,1,0,2,0.5,1,1,13.333333,0.6667,0
0,2,0,0,1,0,0,4,0,0
0,2,0,0,0.571429,0,0,5.142857,0.8571,0
1,0.5625,0.5,0,0.210227,1,8,68.882353,7.4706,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,1,0,0,7,0,0
0,0.969697,0.8,5,0.284848,2,4,28.617647,2.2059,0
0,2,0,0,0.6,0,0,0,1,0
0,2,0,0,1,0,0,3,0,1
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.75,0,0,0,1,0
0,2,0,0,0.666667,0,0,0,1,0
0,2,0,0,0.488889,0,0,0,1,0
0,2,0,0,0.6,1,4,4.6,0.8,0
0,2,0,0,0.5,0,0,50,5,0
0,2,0,0,0.555556,1,1,4.777778,0.8889,0
0,2,0,0,0.7,0,0,0,1,0
3,0.717949,0.666667,1,0.480769,1,2,22.714286,1.5714,0
0,2,0,0,0.375,0,0,0,1,0
0,2,0,0,0.355263,0,0,0,1,0
0,2,0,0,0.583333,0,0,0,1,0
0,0.829023,0.916667,2,0.338889,0,0,68.9,3.1667,0
0,1,1,0,0.184211,1,12,19.461538,1.5641,1
0,2,0,0,0.583333,0,0,5.25,0.75,1
0,2,0,0,1,0,0,0,1,0
1,0.5,1,0,0.431818,0,0,8.090909,0.9091,0
0,0.357143,1,0,0.625,0,0,16.75,1.375,0
0,0.5,0,0,1,0,0,159,0.3333,1
0,2,0,0,0.75,0,0,3.5,0,0
