@relation 'jdt-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R2-3,10,12-14'

@attribute ns numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute npt numeric
@attribute bug {1,0}

@data
1,0.740386,0.020963,0,588.333333,0,11,1,0
1,0.756834,0.133929,0.029762,168,0,11,1,0
1,0,0.018072,0.006024,332,0,8,1,0
1,0.811278,0.001422,0.000474,2110,0,11,1,0
1,0,0.02766,0.025532,470,0,8,1,0
1,0,0.007123,0.004274,702,1,11,1,0
1,0,0.000168,0,5938,0,12,1,0
1,0.768043,0.02289,0.019462,1416.714286,0,12,0.857143,0
1,0,0.002132,0,1407,0,11,1,0
1,0,0.009901,0,303,0,2,1,0
1,0,0.444444,0.055556,90,0,7,1,0
1,0,0.028606,0.001217,1643,0,9,1,0
1,0,0.000746,0.000746,1341,0,8,1,0
1,0,0.00713,0.003565,1122,0,15,1,0
1,0.897482,0.034146,0.003252,205,0,7,1,0
1,0.930623,0.017351,0.004627,288.166667,0,12,0.5,0
1,0,0.031847,0.002123,471,0,8,1,0
1,0,0.003279,0.003279,305,1,8,1,0
1,0,0.052356,0,191,0,7,1,0
1,0,0.004329,0.021645,462,0,8,1,0
1,0,0.014797,0,811,1,7,1,0
1,0,0.20743,0.080495,323,0,2,1,0
1,0,0.052154,0.00907,441,0,9,1,0
1,0.927926,0.036842,0.02193,570,0,13,1,0
1,0,0.067757,0.03271,428,0,9,1,0
1,0,0.005742,0.00056,7140,1,11,1,0
1,0,0.053274,0.051054,901,1,10,1,0
1,0.825234,0.011141,0.007182,2172.2,0,13,1,0
1,0,0.144068,0.101695,472,0,8,1,0
1,0.787258,0.051282,0.013516,1257.75,0,9,1,0
1,1,0.004399,0.004399,227.333333,0,7,0.333333,0
1,0,0.044776,0,67,0,8,1,0
1,0,0.003516,0.000703,1422,0,11,1,0
1,0.985228,0.019231,0,182,1,10,1,0
1,0,0.020809,0.012717,865,0,10,1,0
1,0,0.434783,0.021739,46,1,5,1,0
1,0,0.030159,0.020635,630,0,1,1,0
1,0,0.04698,0,149,0,9,1,0
1,0.485461,0.032819,0.003861,259,0,11,1,0
1,0,0.003442,0.001721,581,0,4,1,0
1,0,0.008036,0.002679,1120,0,15,1,0
1,0,0.029096,0.016845,653,0,10,1,0
1,0.1029,0.050648,0.015018,3396,1,13,1,1
1,0.439497,0.002459,0.003905,3457,0,11,1,0
1,0.947177,0.00306,0.000695,2396.666667,1,10,1,0
1,0,0.014263,0.006339,631,0,9,1,0
1,0,0.309524,0.142857,42,1,5,1,1
1,0.803042,0.040937,0.040248,453.4375,0,12,0.75,0
1,0,0.001826,0.001826,1095,0,14,1,0
1,0.957553,0.033824,0.008824,340,0,11,1,1
1,0,0.000704,0.000704,1420,0,11,1,0
1,0,0.009091,0.001299,770,0,10,1,0
1,0.968321,0.077763,0.046385,366.5,0,10,0.5,0
1,0.513588,0.057558,0.05407,860,0,11,1,0
1,0,0.059441,0.006993,286,0,7,1,0
1,0.516393,0.049835,0.066107,655.5,0,14,0.833333,0
1,0.444126,0.059246,0.057451,278.5,0,11,1,0
1,0,0.003303,0.003303,1514,0,12,1,0
1,0.721928,0.00207,0.000887,1691,0,10,1,0
1,0,0.004317,0.004317,695,0,11,1,0
1,0,0.009494,0,632,0,9,1,0
1,0,0.333333,0.333333,3,0,4,1,0
1,0,0.00252,0.000593,6747,1,10,1,0
1,0,0.666667,0.25,36,1,1,1,0
1,0,0.814815,0.074074,27,1,1,1,0
1,0.843758,0.025514,0.001325,1509,1,10,1,0
1,0,0.002412,0.000804,3731,1,10,1,0
1,0.357647,0.006924,0.002154,3249.5,1,11,1,0
1,0,0.003668,0.004943,6271,1,10,1,1
1,0,0.042056,0.018692,214,0,4,1,0
1,0,0.000159,0.000159,6277,1,10,1,0
1,0,0.095238,0,84,0,7,1,0
1,0,0.000956,0,6277,1,10,1,0
1,0,0.555556,0.333333,9,0,1,1,0
1,0,0.020619,0.0252,873,0,9,1,0
1,0,0.023041,0.004608,217,1,7,1,0
1,0,0.007843,0.003922,255,1,4,1,0
1,0,0.003826,0.002232,6273,1,10,1,0
1,0,0.002873,0.00383,6266,1,10,1,0
1,0.918296,0.016842,0.002105,237.5,0,8,1,0
1,0.85282,0.011782,0.004418,452.666667,0,11,0.666667,0
1,0,0.043165,0.014388,278,1,7,1,0
1,0,0.002869,0.001913,6273,1,10,1,0
1,0,0.03268,0,306,0,2,1,0
1,0,0.000638,0.00016,6267,1,10,1,0
1,1,0.002985,0,2010,1,9,1,0
1,0,0.000798,0,6264,1,10,1,0
1,0,0.008304,0.004312,6262,1,10,1,0
1,0.921072,0.075897,0.046154,487.5,0,10,1,0
1,0,0.025114,0.020548,876,0,9,1,0
1,0.96023,0.001301,0.001301,1280.666667,0,10,1,0
1,0,0.000641,0.001281,6243,1,10,1,1
1,0,0.03876,0.007752,129,0,4,1,0
1,0,0.004411,0,2494,1,10,1,0
1,0,0.1875,0,32,1,1,1,0
1,0,0.005851,0,1880,0,9,1,0
1,0,0.044053,0.022026,227,0,8,1,0
1,0,0.013359,0.001908,524,0,11,1,0
1,0,0.005348,0,748,0,11,1,1
1,0,0.004803,0.004803,1874,0,9,1,0
1,0.985228,0.002199,0.001649,909.5,1,11,0.5,0
1,0,0.003837,0.001181,3388,1,7,1,0
1,0.998364,0.021538,0,487.5,0,10,0.5,0
1,0.650022,0.005612,0.007856,445.5,1,8,1,1
1,0,0.007813,0,128,1,2,1,0
1,0.716634,0.040289,0.038223,484,0,10,1,1
1,0.811278,0.00443,0.00443,451.5,1,10,1,1
1,0.964845,0.143333,0.091667,300,0,9,1,1
1,0,0.064815,0,216,0,8,1,0
1,0,1.325681,1.341463,697,0,9,1,1
1,0.889459,0.012256,0.000454,1468.666667,1,12,1,0
1,0,0.036364,0.006061,330,1,8,1,0
1,0,0.005917,0.00789,507,0,7,1,0
1,0,0.000406,0.003248,2463,0,10,1,0
1,0,0.457547,0.457547,212,0,5,1,0
1,0,0.001247,0,1604,1,9,1,0
1,0.434081,0.027053,0.027053,517.5,0,9,1,0
1,0,0.099156,0.012658,474,0,5,1,0
1,0,0.066929,0.01378,508,0,7,1,0
1,0.775061,0.307479,0.049861,72.2,1,8,0.6,0
1,0,0.014706,0.003676,272,1,7,1,0
1,0,0.019391,0.00277,361,1,7,1,0
1,0.309543,0.020118,0.001183,1690,1,8,1,1
1,0,0,0.000849,2355,1,10,1,0
1,0,0.00035,0,5717,1,11,1,0
1,0,0.109359,0.194532,951,0,9,1,0
1,0,0.003546,0.003546,282,0,7,1,0
1,0,0,0.018182,55,0,7,1,0
1,0.624806,0.235067,0.085934,1297.5,0,10,1,0
1,0,0.018277,0,1149,1,7,1,0
1,0.811278,0.0023,0.000986,3043,1,10,1,0
1,0,0.051282,0.025641,78,1,1,1,0
1,0,0.000815,0,2455,0,9,1,0
1,0,0.00739,0.000591,3383,1,7,1,1
1,0,0.024138,0.024138,290,0,7,1,0
1,0,0.017937,0.017937,223,0,10,1,0
1,0.838711,0.006418,0.006418,623.25,0,12,0.75,1
1,0,0.005848,0.002506,2394,0,11,1,0
1,0,0.010033,0.006689,299,1,2,1,0
1,0,0.219512,0,492,0,7,1,0
1,0,0.008584,0.008584,233,0,8,1,0
1,0,0.333333,0,15,0,4,1,0
1,0,0.017204,0.012903,465,0,8,1,0
1,0,0.003077,0.003077,325,0,8,1,0
1,0.721928,0.005513,0.001378,725.5,0,11,1,1
1,0,0,0.001441,694,0,11,1,0
1,0,0.028676,0.007322,1639,0,10,1,0
1,0,0.007576,0,396,0,9,1,0
1,0,0.013423,0,298,1,1,1,0
1,0.875794,0.014968,0.002427,494.4,0,12,1,0
1,0,0.020619,0.010309,194,0,8,1,0
1,0,0.003015,0.00201,995,0,7,1,0
1,0,0.020101,0.023451,597,0,9,1,0
1,0,0.000847,0.002965,2361,0,11,1,0
1,0,0.009605,0.008004,1874,0,9,1,0
1,0,0.010638,0.010638,282,0,7,1,0
1,0.918296,0.013175,0.004177,1556,0,11,1,0
1,0,0.005607,0,2675,0,7,1,0
1,0.994539,0.027911,0.016362,519.5,0,4,1,0
1,0,0.003,0.00075,2667,1,7,1,0
1,0,0.025316,0,237,0,8,1,0
1,0.764205,0.011933,0.009547,209.5,0,7,1,0
1,0,0.002123,0,1413,0,11,1,0
1,0,0.004785,0,209,0,4,1,0
1,0,0.004902,0.002451,408,0,7,1,0
1,0.727464,0.003235,0.006029,1700.25,0,12,0.75,0
1,0,0.031057,0.001871,5345,1,10,1,0
1,0,0.006246,0,1601,0,9,1,0
1,0.710491,0.055257,0.022476,456.05,0,12,0.8,0
1,0,0.005305,0.005305,188.5,1,1,1,0
1,1,0.010909,0.003636,412.5,0,11,1,0
1,0,0.054187,0,203,1,7,1,0
1,0,0.002857,0.000714,1400,0,11,1,0
1,0.843738,0.007774,0.00548,603.615385,0,13,0.846154,0
1,0,0.003762,0,2658,1,7,1,0
1,0.950478,0.036728,0,1620,1,8,1,1
1,0,0.031802,0.031802,283,0,7,1,0
1,0,0.103448,0.126437,87,0,1,1,0
1,0.948078,0.024804,0.001305,1149,0,11,1,1
1,0.80458,0.129213,0.072602,385.666667,0,14,0.666667,0
1,0,0.171053,0.052632,76,0,7,1,0
1,0,0.009662,0.004831,414,0,11,1,0
1,0,0.001873,0.001873,1068,0,9,1,0
1,0,0.050251,0.040201,199,0,7,1,0
1,0.798618,0.083333,0.052861,536,0,10,0.666667,1
1,0.716978,0.030102,0.001806,415.25,0,7,0.5,0
1,0,0.001269,0.000423,2364,0,11,1,0
1,0,0.024845,0.21118,161,0,5,1,0
1,0.896038,0.097473,0.018051,138.5,0,5,1,0
1,0,0.008068,0.00828,4710,1,10,1,0
1,0,0.000267,0,3742,1,10,1,0
1,0.891008,0.038771,0.010913,435.25,0,11,0.625,0
1,0,0.007874,0,1397,0,11,1,0
1,0,0.036635,0.017639,737,0,10,1,0
1,0,0.01511,0.005495,728,1,10,1,0
1,0,0.007231,0.009783,4702,1,10,1,0
1,0.813195,0.012384,0.014036,1514,0,11,1,0
1,0,0.000849,0.011043,4709,1,10,1,0
1,0.996792,0.051282,0.012821,117,0,8,1,0
1,0.721928,0.098361,0.010929,91.5,1,8,1,0
1,0.355196,0.167658,0.03829,384.285714,0,9,1,0
1,0,0.078797,0.080946,1396,0,11,1,0
1,0,0.000211,0.000211,4742,1,10,1,0
1,0,0.00212,0.000848,2358,0,10,1,0
1,0.222285,0.00964,0.002096,2386,1,10,1,0
1,0,0.054622,0.151261,238,0,9,1,0
1,0,0.057851,0.008264,121,0,1,1,0
1,0.742488,0.007911,0.00211,948,1,11,1,0
1,1,0.001283,0.000642,1558.5,0,11,1,0
1,0,0.000152,0.000152,6574,1,10,1,0
1,0,0.000976,0.000976,2050,0,9,1,0
1,0,0.000458,0.000153,6549,0,10,1,0
1,0,0.017426,0.020107,746,0,5,1,0
1,0,0.057096,0.042414,613,0,9,1,0
1,0,0.013158,0,380,0,8,1,0
1,0,0.008795,0.00088,1137,0,9,1,0
1,0,0.006826,0,293,0,1,1,0
1,0,0.000458,0.000458,6548,1,10,1,0
1,0,0.005698,0.005698,351,0,5,1,0
1,0,0.007547,0.003774,265,0,4,1,1
1,0,0.058824,0.058824,17,0,3,1,0
1,0.999171,0.079533,0.045599,471.5,0,10,1,1
1,0.91357,0.009756,0.01561,341.666667,0,11,1,0
1,0.949124,0.015857,0.048082,977.5,0,10,1,0
1,0,0.008791,0.002198,455,0,7,1,0
1,0.773674,0.066667,0.032967,455,0,10,1,1
1,0.62471,0.022906,0.016686,955.457143,0,12,0.6,1
1,0,0.002667,0.002667,375,0,9,1,0
1,0,0.013889,0.003472,288,1,1,1,0
1,0,0.001676,0.000419,2386,0,10,1,1
1,0.684038,0.013314,0.002959,338,0,11,1,1
1,0,0.0131,0,229,1,11,1,1
1,1,0.011352,0.011352,969,0,12,1,0
1,0,0.037175,0.003717,269,0,7,1,0
1,0,0.001686,0.001686,593,0,9,1,1
1,0,0.005051,0.005051,198,0,7,1,0
1,0,0.003683,0.000614,1629,0,11,1,0
1,0.764002,0.014486,0.003169,736.333333,0,10,1,0
1,0,0.163539,0.005362,373,1,9,1,0
1,0,0.045977,0.022989,87,0,8,1,0
1,0,0.005277,0,379,0,8,1,0
1,0.776407,0.005019,0.013802,1328.333333,0,10,0.833333,0
1,0,0.001028,0.001028,973,0,9,1,0
1,0,0.000421,0.000421,4746,1,10,1,0
1,0,0.0625,0.078125,64,0,8,1,0
1,0,0.00077,0.000385,2597,1,7,1,0
1,0,0.001344,0.001344,1488,1,9,1,0
1,0,0.090909,0.036364,55,0,6,1,0
1,0,0.003854,0,1038,0,7,1,0
1,0,0.02551,0.005102,196,1,7,1,0
1,0,0.002892,0,1383,0,11,1,0
1,0.413817,0.012288,0.008777,854.5,0,10,1,0
1,0.999839,0.057881,0.01137,967.5,0,12,0.5,0
1,0,0.011952,0,753,0,9,1,0
1,0,1.308943,1.349593,123,0,7,1,1
1,0.525451,0.031921,0.00055,908.5,0,9,1,0
1,0,0.015564,0.003891,257,0,10,1,0
1,0,0.025152,0.016912,2306,0,10,1,0
1,0,0.010101,0.000918,1089,0,11,1,1
1,0.859777,0.002122,0.000118,2120.25,0,12,0.75,0
1,0,0.036827,0.016997,353,0,6,1,1
1,0,0.011551,0.00165,606,0,9,1,0
1,0,0.147541,0,61,1,6,1,0
1,0,0.015177,0.008432,593,0,9,1,0
1,0.985228,0.030303,0.012121,82.5,1,6,0.5,0
1,0,0.030189,0.030189,265,0,7,1,0
1,0.656197,0.022901,0.006997,524,0,14,0.666667,0
1,0,0.056,0.016,125,0,8,1,0
1,0.308757,0.064234,0.041241,1370,0,10,1,1
1,0,0.009259,0.009259,108,1,8,1,0
1,1,0.025,0.0125,80,1,7,1,0
1,0,0.919483,0.913519,2012,0,9,1,1
1,0,0.018568,0.02122,377,0,8,1,1
1,0,0.053079,0.025478,471,0,7,1,0
1,1,0.004717,0.004717,212,0,11,1,0
1,0,0.016,0.008,125,0,7,1,0
1,0,0,0.002353,4674,1,10,1,0
1,1,0.018265,0.004566,219,0,9,0.75,0
1,0,0.254482,0.24004,2008,1,9,1,0
1,0.753196,0.00623,0.003617,1658.666667,1,12,1,0
1,0,0.269461,0.005988,167,0,5,1,0
1,0,0.003774,0.003774,530,0,8,1,0
1,0,0.008652,0.008652,1387,0,11,1,0
1,0,0.015296,0.001275,1569,0,9,1,0
1,0,0.141975,0,162,0,5,1,0
1,0,0.021798,0.016349,367,1,10,1,0
1,0,0.010695,0.010695,187,0,6,1,0
1,0,0.160428,0.144385,187,1,6,1,0
1,0.742488,0.018127,0.010574,331,0,9,1,0
1,0.62357,0.0066,0.001015,2954.5,0,11,1,0
1,0.031288,0.085463,0.08314,2008.666667,0,12,1,1
1,0,0.035211,0,142,0,9,1,0
1,0.494183,0.012804,0.010883,781,0,10,1,0
1,0,0.007576,0.007576,132,0,9,1,0
1,0,0,0.001669,599,0,9,1,0
1,0.689779,0.005407,0.000258,1941.75,1,7,0.75,0
1,0,0.16,0.04,25,0,1,1,0
1,0.991618,0.008192,0.004191,2624.5,1,11,1,0
1,0,0.011516,0,1042,0,7,1,0
1,0,0.000448,0.000448,2234,0,10,1,0
1,0.712698,0.72211,0.674949,151.692308,0,11,0.538462,1
1,0,0.002685,0.001879,3725,1,10,1,0
1,0,0.000269,0,3723,1,10,1,0
1,0,0.015723,0.003145,636,0,10,1,0
1,0.597095,0.015406,0.004202,238,0,9,0.666667,0
1,0,0.004425,0.004425,226,1,2,1,0
1,0,0.2,0.046154,260,1,7,1,0
1,0,0.014212,0.002584,774,0,9,1,0
1,0.210842,0.040422,0.012302,569,0,9,0.5,0
1,0,0.000394,0.000197,5079,0,11,1,0
1,0,0.011364,0.003788,264,0,7,1,0
1,0,0.001973,0.000197,5068,1,11,1,0
1,0,0.018868,0.011321,265,0,7,1,0
1,0,0.055556,0,18,0,10,1,0
1,0,0.285714,0.285714,14,1,8,1,0
1,0,0.064151,0.041509,530,1,8,1,1
1,0.488671,0.026439,0.012053,1028.8,1,11,0.8,1
1,0,0.015504,0.003876,258,0,7,1,0
1,0.25593,0.071845,0.018447,515,0,10,1,1
1,0,0.003228,0,3717,1,9,1,1
1,0.56651,0.006563,0.002387,838,0,14,1,0
1,0,0.048701,0.003247,308,1,10,1,0
1,0,0.00639,0.003195,313,0,9,1,0
1,0.836641,0.015707,0.015707,477.5,0,9,1,0
1,0,0.036496,0.021898,137,0,9,1,0
1,0.391244,0.008621,0.005388,464,0,9,1,0
1,0,0.049383,0.012346,243,0,7,1,0
1,0,0.016566,0.019578,664,0,11,1,0
1,0,0.016548,0.018913,423,0,8,1,0
1,0,1.4,0.9,10,0,2,1,0
1,0,0.111111,0.055556,18,0,10,1,0
1,0,0.012162,0.008784,1480,0,9,1,0
1,0,0.004739,0.004739,422,0,7,1,0
1,0.790067,0.009233,0.006668,779.8,0,11,1,0
1,0.678034,0.079177,0.009501,210.5,1,11,0.833333,1
1,0.764401,0.034686,0.00738,338.75,1,12,0.5,1
1,0,0.006227,0.002491,2409,0,10,1,0
1,0.927314,0.011676,0.004311,1113.4,0,11,1,1
1,0.503258,0.002349,0.007048,1915.5,1,9,1,1
1,0,0.049296,0.056338,142,0,7,1,0
1,0,0.000395,0.000395,2534,1,7,1,0
1,0,0.005908,0,677,1,8,1,0
1,0.973385,0.046154,0.014103,390,0,9,0.5,0
1,0.981941,0.034483,0.015915,188.5,0,7,1,1
1,0,0.238377,0.014129,2194,0,10,1,0
1,0,0.001551,0.001108,4513,0,9,1,0
1,0,0.001761,0.001761,568,1,3,1,0
1,0,0.056452,0.045699,372,0,7,1,1
1,0.991076,0.021762,0.006218,482.5,0,11,1,0
1,0.721565,0.049711,0.027746,288.333333,0,10,1,1
1,0,0.227273,0.090909,66,0,7,1,0
1,0,0.3,0.042857,70,0,7,1,0
1,0,0.015873,0.015873,126,0,3,1,0
1,0,0.357143,0.057143,70,0,2,1,0
1,0,0.002584,0.002584,387,0,8,1,0
1,0.603238,0.047826,0.021256,295.714286,1,9,1,0
1,0,0.098901,0.005495,182,1,6,1,0
1,0,0.020833,0,48,1,9,1,0
1,0.998364,0.029661,0,354,1,9,1,0
1,0.534474,0.067961,0.038835,171.666667,0,8,0.333333,1
1,0,0.019048,0.009524,105,1,5,1,0
1,0,0.015823,0.006329,316,1,6,1,0
1,0.836641,0.008205,0.007179,487.5,1,10,1,0
1,0.896038,0.055118,0.007874,127,1,8,1,0
1,0,0.028862,0.005093,589,1,9,1,0
1,0,0.09375,0,64,1,7,1,0
1,0.721928,0.008361,0,299,1,9,1,0
1,0,0.010846,0,922,1,11,1,0
1,0.497406,0.012987,0.001146,872.666667,0,9,1,0
1,0,0.358209,0.58209,67,0,8,1,0
1,0.970951,0.003071,0.002047,488.5,0,11,0.5,0
1,0.996961,0.015003,0.004566,511,0,9,0.666667,0
1,1,0.026971,0.005187,964,0,9,1,0
1,0.845475,0.023129,0.022071,508.846154,1,11,1,1
1,1,0.002633,0.00158,949.5,0,9,1,0
1,0,0.287671,0,73,1,7,1,0
1,0,0.003442,0.003442,581,0,9,1,0
1,0.489387,0.007289,0.005207,720.25,0,11,1,0
1,1,0.000571,0.00019,2626.5,1,10,1,1
1,0,0.00052,0,1924,1,8,1,0
1,0,0.109034,0.007269,963,0,11,1,0
1,0,0.009481,0.009893,2426,0,10,1,0
1,0.82815,0.022849,0.008568,400.142857,0,10,1,0
1,0,0.015873,0.015873,63,1,7,1,0
1,0,0.037325,0.027994,643,0,8,1,0
1,0,0.095756,0.106638,919,0,11,1,1
1,0,0.007181,0,557,0,10,1,0
1,0.59705,0.201258,0.075472,159,0,9,1,1
1,0.706541,0.006211,0.00097,1717.333333,0,9,1,1
1,1,0.008761,0.001252,399.5,0,8,1,0
1,0,2.066372,1.712389,226,0,10,1,1
1,0.683071,0.023992,0.008066,690.714286,1,9,0.857143,1
1,1,0.001419,0,3524.5,1,9,1,0
1,0.994985,0.008091,0.001156,2595.5,1,9,1,0
1,0.551322,0.03943,0.006711,298,1,9,0.25,0
1,0,0.175287,0.109195,348,0,6,1,0
1,0,0.00042,0.00042,4757,1,7,1,0
1,0,0.005747,0,174,1,6,1,0
1,0.805355,0.031726,0.003384,1773,1,9,0.75,1
1,0,0.064516,0.048387,62,0,7,1,0
1,0,0.000225,0.000225,4454,1,9,1,0
1,0,0.000449,0.000225,4454,0,9,1,0
1,0,0.004274,0.004274,234,0,8,1,0
1,0,0.012761,0.00116,862,1,9,1,0
1,0.635674,0.018956,0.008749,762,1,11,1,1
1,0.844354,0.009276,0.004638,359.333333,0,9,1,0
1,0.464108,0.065309,0.035179,990.166667,1,9,0.833333,1
1,0,0.032401,0.02651,1358,0,11,1,0
1,0,0.002245,0,891,0,11,1,0
1,0,0.000411,0.000411,2431,0,10,1,0
1,0.676421,0.046257,0.017662,297.25,0,9,0.75,1
1,0,0.007634,0,262,0,7,1,0
1,0,0.00823,0.010974,729,1,9,1,0
1,0,0.111111,0.111111,18,0,9,1,0
1,0,0.042672,0.03525,539,0,8,1,0
1,0,0.005348,0,374,0,8,1,0
1,0.955759,0.060729,0.032389,370.5,0,9,0.5,1
1,0,0.040519,0.001621,617,0,9,1,0
1,0,0.008696,0,345,0,5,1,0
1,0,0.066667,0.003604,555,0,10,1,0
1,0,0.028213,0.003135,319,1,6,1,0
1,0,0.021409,0.016575,1448,1,7,1,1
1,0,0.031746,0.007937,126,0,5,1,0
1,0,0.007587,0.000489,4086,1,9,1,0
1,0.521479,0.10148,0.261099,405.428571,0,10,0.714286,0
1,0.374864,0.016206,0.001956,894.75,1,12,0.75,0
1,0.294758,0.038025,0.017345,499.666667,1,7,0.666667,1
1,0.952859,0.14741,0.087649,125.5,0,8,1,0
1,0.957407,0.00661,0.000254,1966.75,1,7,1,0
1,0.058598,0.114601,0.001102,363,0,10,0.8,0
1,1,0.007752,0.007752,129,0,4,1,0
1,0.669996,0.017831,0.003343,1346,0,10,1,1
1,0,0.00166,0.00083,2410,0,10,1,0
1,0,0.035225,0.001613,3719,1,8,1,0
1,0,0.001106,0.002765,3617,0,8,1,0
1,0,0.000299,0.000299,3347,1,7,1,0
1,0,0.184127,0.196825,315,0,6,1,0
1,0,0.001264,0.001264,2374,0,10,1,0
1,0,0.08,0.072,125,0,5,1,1
1,0.863121,0.046796,0.017294,491.5,0,10,1,0
1,0,0.01087,0.007246,276,0,8,1,0
1,0.9765,0.058131,0.015453,679.5,1,9,1,0
1,0,0.037825,0.034279,846,1,9,1,0
1,0,0.000906,0.000906,3312,1,7,1,0
1,0,0.008658,0.003247,924,0,8,1,0
1,0,0.044776,0.029851,67,0,9,1,0
1,0.811278,0.003937,0.006562,381,0,11,1,0
1,0,0,0.000978,6138,1,9,1,0
1,0,0.001375,0,1455,0,9,1,0
1,0,0.018182,0.016043,1870,1,8,1,1
1,0,0.005038,0.002519,397,1,7,1,0
1,0,0.007634,0.007634,131,1,8,1,0
1,0,0.013548,0.000645,1550,0,10,1,0
1,0,0.004771,0.000954,1048,0,10,1,0
1,0,0.453488,0.287791,344,0,8,1,0
1,0,0.007576,0,396,1,7,1,0
1,0,0.007709,0,908,0,11,1,0
1,0,0.053957,0.014388,278,0,6,1,0
1,0.735509,0.005758,0.005374,1302.5,0,10,1,0
1,0.650022,0.005099,0.003138,2549.5,0,10,1,0
1,0.954434,0.005848,0.017544,171,1,7,1,0
1,0,0.05765,0.064302,451,0,8,1,0
1,0,0.001073,0,1864,1,8,1,0
1,0.901897,0.014286,0.00102,326.666667,0,9,1,0
1,0.918296,0.007067,0.024735,141.5,1,7,1,0
1,0,0.03003,0.006006,333,1,9,1,0
1,0,0,0.004608,217,1,7,1,0
1,0,0.014286,0.007937,630,0,10,1,0
1,0,0.001905,0,525,0,9,1,1
1,0,0.04898,0.028571,245,0,9,1,0
1,0.884865,0.01138,0.001597,1669.666667,1,10,1,0
1,0.258019,0.048811,0.008761,399.5,0,9,0.5,0
1,0.842215,0.009681,0.006139,1058.75,0,10,1,1
1,0.33729,0.045584,0,175.5,0,9,1,0
1,0,0.005272,0,569,0,4,1,0
1,0.985228,0.003376,0.000563,888.5,0,9,1,0
1,0,0.00551,0,726,0,10,1,0
1,0,0.004933,0,4054,1,9,1,0
1,0,0.002111,0.001056,4737,1,7,1,0
1,0,0.06875,0.0125,160,1,1,1,0
1,0,0.001073,0.001073,932,0,6,1,0
1,0,0.00625,0.00625,160,1,7,1,0
1,0,0.065574,0.04918,61,0,6,1,0
1,0,0.012962,0.000648,1543,0,10,1,0
1,0,0.003438,0.000164,6108,1,9,1,0
1,0,0.085271,0.007752,129,1,5,1,0
1,0.271941,0.020649,0.000737,904,0,12,1,1
1,0.970951,0.002295,0.00153,653.5,0,10,1,0
1,0,0.01173,0.01173,341,0,7,1,0
1,0,0.00789,0.003287,1521,0,10,1,0
1,0,0.083799,0.046555,537,0,8,1,0
1,0,0.00351,0.002633,2279,0,10,1,0
1,0.970951,0.005155,0.001289,388,0,9,1,0
1,0,0.035545,0.011848,844,1,9,1,1
1,0,0.038348,0.000983,1017,1,8,1,0
1,0,0.002018,0.001009,991,1,8,1,0
1,0,0.000875,0.000875,2285,0,10,1,0
1,0,0.005937,0.001319,1516,0,10,1,0
1,0,0.004773,0,838,0,9,1,0
1,0,0.012516,0.003755,799,1,7,1,0
1,0,0.022727,0.015152,132,0,8,1,0
1,0,0.00369,0.00369,271,0,6,1,0
1,0.500557,0.012763,0.015286,518.307692,0,10,0.538462,0
1,0,0.001114,0.000836,3590,1,8,1,0
