@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2'

@attribute ns numeric
@attribute entropy numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute rexp numeric
@attribute bug {1,0}

@data
1,0.561838,0.041667,32,0,1,64,0.666667,8340.008333,0
2,0,0,45.333333,0,1,0,0.333333,8206.917857,0
1,0,1.597403,77,1,2,17,1,9.866667,0
5,0.720227,0.085826,109.857143,0,1,151,0.714286,8336.008333,0
3,0.509454,0.021436,103.666667,0,1,233,0.444444,8294.008333,0
2,0,0,38.666667,0,1,0,0.333333,8222.171429,0
3,0.955232,0.606481,72,0,2,6,0.666667,8240.008333,0
3,0.641848,0.28636,61.5,0,1,235,0.444444,8274.008333,0
4,0.576936,0.051233,52.7,0,1,74,0.5,8247.378571,0
2,0,0,31,0,1,0,0.5,8274.008333,0
1,0,0.007576,132,0,1,0,1,8223.171429,0
2,0,0,52.468531,0,1,0,0.006993,5762.622619,1
3,0,0,60.242236,0,1,0,0.006211,6066.622619,1
1,0,0.026316,38,0,1,0,1,8367.008333,0
1,0,0,8,0,1,0,1,8340.008333,0
2,0,0,11.181818,0,1,0,0.090909,8294.008333,0
1,0,0,0,0,1,0,1,8344.008333,0
1,0,3.333333,21,0,3,1,1,5631.833333,1
1,0,0,50.1,0,1,0,0.05,5918.8,1
1,0.959278,0.01238,118.466667,1,9,630,0.4,5692.916667,0
1,0.693186,0.723176,103.555556,1,8,430,0.777778,5324.75,1
1,0,2.271605,81,0,5,19,1,250,1
1,0.11091,1.54023,43.5,1,2,81,1,5885.216667,1
1,0,0,22,0,1,0,1,5279.666667,0
1,0,0.871795,39,1,2,17,1,4461.642857,0
1,0.054939,0.62561,273.333333,0,8,234,0.666667,869.1,0
1,0,0,38,1,2,21,1,5283,0
1,0.334163,0.755618,118.666667,1,3,43,1,5286.666667,1
1,0.628234,0.02439,13.666667,0,2,57,0.666667,6116.5,0
1,0,0.004651,215,0,3,6,1,768.25,0
1,0,0.00463,216,0,3,7,1,756.416667,0
1,0.884153,0.049485,161.666667,1,5,134,1,753.416667,1
1,0.677169,0.115044,113,0,8,158,0.75,748.416667,0
1,0,0,29,0,4,169,1,690.316667,0
1,0,0.007353,272,1,2,7,1,675.316667,0
1,0.607304,0.182297,73,0,8,1154,0.615385,601.25,1
1,0,0.130435,23,1,2,46,1,1688.833333,0
1,0.387051,0.136364,242,1,5,79,1,1671,1
1,0.825627,0.028736,87,1,3,8,0.5,943.833333,1
1,0.056432,0.942991,356.666667,0,6,58,1,953.166667,1
1,0,0.009091,220,1,5,4,1,948.166667,0
1,0.804625,0.129797,177.2,0,7,77,0.8,922.666667,1
1,0.126579,1.53913,38.333333,1,5,6,0.333333,1081.5,1
1,0.667714,0.066964,448,1,6,6,1,4265.5,0
1,0,0.067227,595,0,5,1,1,783,0
1,0,0.009934,604,0,5,0,1,777,0
1,0.725686,0.010476,350,1,5,17,1,746.5,0
2,0,0,27,0,1,0,0.25,8247.378571,0
1,0,0.789474,19,0,1,0,1,4454.5,0
1,0.916726,0.071862,197.6,0,4,242,0.4,4415.5,1
1,0,0,20,0,1,0,0.333333,2686,1
1,0,0,63.156951,0,1,0,0.004484,6495.622619,1
3,0.680559,0.189286,46.666667,0,1,92,0.583333,8233.378571,1
2,0,0.097015,16.75,0,1,0,0.25,6926.622619,0
1,0,0.190476,42,0,1,2,1,8224.171429,0
1,0,0.004167,240,1,2,29,1,37.866667,0
1,0.753502,0.009901,181.8,0,1,35,0.2,8179.222619,0
4,0.629258,0.101145,104.8,0,1,93,0.4,8280.778571,1
1,1,0.035088,85.5,0,1,20,0.5,8226.171429,0
2,0.63093,0.017937,74.333333,1,1,30,0.333333,8223.946429,1
1,0,0.007194,139,0,1,0,1,8367.008333,0
2,0.976305,0.027299,174,1,1,8,0.5,8211.84881,0
1,0,0.045977,348,1,2,19,1,38.783333,0
4,0,0,34.875,0,1,0,0.125,8329.008333,0
1,0,0,67.8,0,1,0,0.003077,6820.622619,1
5,0,0,40.5,0,1,0,0.083333,8321.008333,0
5,0.772281,0.041732,84.666667,0,1,310,0.533333,8321.008333,0
2,0.889513,0.004815,207.666667,0,1,24,0.666667,8203.917857,0
3,0.933574,0.111821,52.166667,1,2,133,1,36.866667,0
4,0,0,28,0,1,0,0.045455,8200.917857,1
1,0,0,40.603175,0,1,0,0.015873,6883.622619,1
4,0.870059,0.158451,56.8,0,1,19,0.466667,8275.378571,0
1,0,0,0,0,1,15,1,8253.378571,0
1,0,0,3,0,1,0,1,6926.622619,0
1,0,0,12,0,1,0,0.030303,6916.622619,0
3,0.886292,0.004601,108.666667,1,1,46,0.666667,8229.946429,0
3,0,0,67.714286,0,1,0,0.142857,8254.008333,0
3,0.64448,0.018779,30.428571,0,1,96,0.714286,8254.008333,0
2,0,0,6.75,0,1,0,0.25,8179.222619,0
1,0,0.015873,63,0,2,41,1,714.15,0
1,0,0.057554,139,0,6,0,1,679.633333,0
1,0,0,0,0,1,84,1,3602,0
1,0,0,0,0,2,137,1,3607,0
1,0,0,17,0,1,0,1,476,0
1,0.98648,0,28.5,0,1,28,1,1899,0
1,0,0,0,0,1,0,1,1656,0
2,0.928839,0.191589,107,0,2,0,0.5,1778,0
1,0,0.5,30,0,1,0,1,1693,0
1,0,0,36,0,1,0,1,1656,0
1,0,0,122,0,1,0,1,2692,0
1,0,0.307692,26,1,1,36,1,2824,0
1,0,0,0,0,1,0,1,1658,0
1,0,0,25,0,1,0,1,1658,0
1,0.591673,0.079118,385.5,1,1,25,1,5083.711905,1
1,0,0,19.181818,0,1,0,0.045455,4543.604762,0
1,0,0,7,0,1,0,0.25,4568.604762,0
1,0,0,29.6,0,1,0,0.2,4459.17619,0
1,0,0.090909,11,0,1,70,1,5432.361905,0
1,0,0,13,0,1,0,1,4594.604762,0
1,0,0,7,0,1,0,0.333333,4564.604762,0
1,0.970951,0,58.5,1,1,20,1,4483.642857,0
1,0,0,23.6,1,1,0,0.2,4473.642857,1
1,0.974252,0.297189,83,0,1,147,1,5578.016667,0
1,0,0.045455,44,0,1,56,1,5494.65,0
1,0,0,96,0,1,0,1,4460.17619,0
1,0,0,27,0,1,0,0.25,4551.604762,0
1,0.484206,0.371859,66.333333,0,1,18,0.5,4431.17619,0
1,0.533563,0.027607,65.2,1,1,20,1,4481.642857,0
2,0.30127,18,0,0,15,238874,0.276793,8223.622619,0
2,0.358423,0.764526,93.428571,1,8,349,1,5373.442857,1
2,0,0,49.127273,0,1,0,0.018182,4559.828571,1
1,0,0,59,0,1,0,0.5,4422.388095,0
1,0.593229,0.038593,220.25,0,1,28,0.75,5075.616667,0
1,0.697436,0.156499,25.133333,0,1,206,0.533333,4459.17619,0
1,0.67839,0.146667,18.75,0,1,28,0.25,4551.604762,0
1,0,0,31.166667,0,1,0,0.166667,4582.604762,0
1,0,0,36.166667,0,1,0,0.166667,4439.17619,0
1,0,0,286.333333,1,1,0,0.333333,5412.845238,0
1,0,0.308307,313,0,1,16,1,4439.17619,0
1,0.340311,0.29771,81.875,0,1,55,0.25,4582.604762,1
1,0,0.165192,339,0,1,0,1,5421.845238,0
1,0,2.279743,311,1,1,10,1,5413.845238,1
1,0.780502,0.41189,235.5,1,1,20,1,4466.642857,0
1,0.625829,0.066165,221.666667,0,1,3,0.333333,4521.761905,0
1,0.78355,0.350806,82.666667,0,1,48,1,5420.845238,0
2,0.69565,0.01782,183.461538,1,10,1734,0.461538,5526.65,1
1,0.918296,0.005602,178.5,1,1,20,0.5,4475.642857,0
1,0.628475,0.155303,52.8,0,1,70,0.1,4564.604762,1
1,0,0.1875,128,1,1,8,1,5081.711905,0
1,0.665893,0.342657,57.2,0,1,715,1,4562.388095,1
1,0,1.322222,11.25,0,1,56,0.125,4543.604762,1
1,0,0.006667,150,0,1,1,1,4522.761905,0
1,0,0,27,1,1,0,1,4466.642857,1
2,0.604113,0.14248,126.333333,1,5,597,1,5364.442857,1
1,0,0,133,1,1,0,1,4481.642857,0
1,0,0,116,0,1,0,0.333333,4587.604762,1
1,0,0,235,0,1,0,1,5420.845238,0
1,0.677175,0.248092,43.666667,0,1,42,0.166667,4594.604762,1
1,0,0,0,0,1,12,0.5,4587.604762,0
1,0.289079,0.098592,35.5,1,1,27,1,4473.642857,1
1,0.354738,0.504167,48,0,1,713,0.8,4504.388095,1
1,0.147465,0.865385,26,0,1,406,0.5,5789.333333,1
1,0,0,0,0,1,340,1,4607.233333,0
1,0,0,5.857143,0,1,0,0.142857,5789.333333,0
1,0,0,8,0,1,0,0.166667,4496.388095,0
1,0,0,10.875,0,1,0,0.125,4472.388095,0
1,0,0,2,0,1,0,1,4577.388095,0
1,0,0,22.666667,0,1,0,0.333333,4504.388095,0
1,0,0,27.6,0,1,0,0.1,4456.388095,0
1,0,0.277778,18,0,1,171,1,4411.016667,1
1,0,0,18,0,1,0,1,6459.833333,0
1,0,0,60.5,0,1,0,0.25,5364.833333,1
1,0,0,24,0,1,0,0.333333,5371.833333,0
1,0,0,24.5,0,1,0,0.1,4532.388095,1
1,0.66501,0.013393,74.666667,1,1,33,1,5416.845238,0
1,0.873981,0.082353,42.5,0,1,0,1,4579.388095,0
1,0.770872,0.087361,59.777778,0,1,630,0.5,4532.388095,0
1,0.804446,0.184314,51,0,1,520,0.6,5765.333333,0
2,0.946714,0.072165,27.714286,0,1,2551,0.428571,4938.45,0
1,0.875416,0.084381,42.846154,0,1,1342,0.461538,6458.833333,0
1,0,0,34.571429,0,1,0,0.047619,5356.833333,1
1,0,0.258065,62,1,1,22,1,4503.828571,0
2,0.670387,0.10815,106.333333,0,7,365,0.833333,5911.4,1
2,0.367111,0.147059,27.2,0,6,98,0.8,5807.4,0
2,0.716636,0.07622,109.333333,0,6,211,1,4570.233333,1
2,0.911534,0.056,31.25,1,1,261,1,6179.816667,0
1,0.424831,0.025751,46.6,1,1,185,0.6,5228.916667,0
1,0.617522,0.223729,26.818182,0,1,1674,0.363636,5778.333333,0
1,0,0.090909,44,0,1,114,1,6460.833333,0
1,0,0,11.666667,0,1,0,0.166667,4553.388095,0
1,0,0,36,0,1,0,1,5765.333333,0
1,0,0,27.5,0,1,0,0.5,5367.833333,0
1,0.615232,0.113043,38.333333,1,1,650,1,4487.642857,0
1,0,0,42.5,0,1,0,0.5,5778.333333,0
1,0,0,7,0,1,0,1,4411.016667,0
2,0.79381,0.048973,126.6,1,3,69,0.4,5080.711905,0
1,0,0,12,1,1,0,1,4484.642857,0
1,0,0,0,0,1,0,1,39,0
1,0,0.153153,111,0,1,0,1,68,0
2,0.755754,0.111111,90,1,7,134,0.5,62,0
1,0,0,74,0,1,0,1,39,0
1,0,0,0,0,1,0,1,68,0
1,0.437734,0,97,0,1,0,0.5,68,0
1,0,0,0,0,1,0,1,68,0
1,0,0,0,0,1,0,1,42,0
1,0,0,13,0,1,0,1,42,0
1,0,0,0,0,1,0,1,86,0
1,0,0,0,0,1,0,1,86,0
1,0,0,0,0,1,0,1,86,0
1,0,0,0,0,1,0,1,86,0
1,0,0,0,0,1,0,1,86,0
1,0,0,0,0,1,0,1,86,0
1,0,0,0,0,1,0,1,86,0
1,0.854993,0,59.5,0,1,0,0.125,86,0
1,0,0,0,0,1,0,1,86,0
1,0,0,0,0,1,0,1,88,0
1,0,0,77,0,1,0,1,88,0
1,0,0,0,0,1,0,1,122,0
1,0,1.044776,67,0,1,0,1,140,0
1,0,0,0,0,1,0,1,136,0
1,0,0.011299,177,0,1,0,1,141,0
1,0,0,0,0,1,0,1,122,0
1,0.875463,0,50.166667,0,1,0,0.166667,122,0
1,0,0,0,0,1,0,1,136,0
1,0,0.2,30,0,1,0,1,139,0
1,0.837994,0,84,0,1,0,0.142857,136,0
1,0,0,0,0,1,0,1,122,0
1,0,0,0,0,1,0,1,122,0
1,0,0,0,0,1,0,1,122,0
1,0,0,0,0,1,0,1,122,0
1,0,0,0,0,1,0,1,136,0
1,0,0,0,0,1,0,1,136,0
1,0,0,0,0,1,0,1,136,0
1,0,0,0,0,1,0,1,136,0
1,0,0,0,0,1,0,1,136,0
1,0,0,55,0,1,0,1,4490.642857,1
1,0,0.018519,54,1,1,8,1,8254.378571,0
1,0,0,52,0,1,65,1,8180.222619,0
1,0,0,56,0,1,0,1,6255.133333,0
1,0,0,0,0,1,187,1,4409.016667,0
1,0,0,0,0,6,4500,0.4,4597.233333,0
1,0,0,9,0,1,0,1,5275,0
1,0,0.102564,39,0,1,710,1,4539.733333,0
1,0,0,9,0,1,0,1,4598.233333,0
1,0.422893,0.769976,43.473684,0,10,5007,0.789474,4430.016667,0
1,0,0,12,0,1,0,1,4368,0
1,0,0,12,0,1,0,1,4605.233333,0
1,0,0,0,0,1,408,1,4612.233333,0
1,0,0,10,0,1,0,0.5,5288,0
1,0,0,0,0,2,620,1,4586.233333,0
1,0,0,9,0,1,0,1,4599.233333,0
1,0,0,0,0,2,47,1,4602.233333,0
1,0,0,61.5,0,1,0,0.166667,302,1
1,0,0,61.5,0,1,0,0.166667,4577.233333,0
1,0,0,0,0,1,767,1,4584.233333,0
1,0,0,12,0,1,0,1,4367,0
1,0,0,12,0,1,0,1,4606.233333,0
1,0,0,0,0,1,23,1,4573,0
1,0,0,0,0,2,135,1,5048.6,0
1,0,0,74,0,1,0,0.5,3602,1
2,0.957675,2.304724,39.047297,0,8,147,0.02027,956.5,1
2,0.443,1.69964,55.6,0,6,575,0.5,1705.5,1
2,0.868247,1.407292,112.941176,0,8,1770,0.431373,1102.666667,1
1,0,0.02521,119,0,1,218,1,4533.5,0
1,0,0,46.533333,0,1,0,0.022222,4258.5,0
1,0,0,0,0,2,31649,0.045455,4574.2,0
1,0,0,11,0,1,0,1,4608.233333,0
1,0,0,45,0,1,0,0.5,4826,0
1,0,0,0,0,1,0,1,4272,0
1,0,0,37,0,1,0,1,4272,0
1,0,0,0,0,1,6,1,4601.233333,0
1,0,0,34,0,1,0,1,4118,0
1,0,0,39,0,1,0,0.5,4611.233333,0
2,0.690767,0.034803,86.2,1,2,37,1,4597.5,0
1,0,0,0,0,2,413,1,4571.233333,0
1,0.859335,0.080268,27.181818,0,1,11,0.090909,5028.5,0
1,0,0,24.5,0,1,0,0.5,3607,0
1,0,0,11,0,1,0,1,4584.233333,0
1,0,0.181818,11,0,1,9,1,4939.45,0
1,0.244154,1.407266,130.75,1,2,94,0.5,4546.5,1
2,0.743698,0.152575,70.965517,1,6,2427,0.689655,4204.5,0
1,0,0,0,0,1,0,1,4282,0
1,0,0,38,0,1,0,1,4282,0
2,0.84964,0.896529,58.730769,0,6,740,0.423077,1423,1
1,0,0,39,1,1,0,1,4546.5,1
1,0,0.051282,39,0,1,10,1,5759.333333,0
1,0,1.727273,11,1,2,201,1,5286.083333,0
1,0,0,68,0,1,0,0.5,4117,1
1,1,0.016529,60.5,0,2,133,1,1397,0
2,0.875332,1.874787,54.277778,0,7,2423,0.722222,6007.666667,1
1,0,0.024096,83,1,2,18,1,5253.75,0
1,0,0.010526,95,1,1,6,1,4541.5,0
1,0,0.095745,94,1,1,3,1,4389.5,0
2,0.768254,0.05604,66.916667,1,4,2390,0.541667,4366.5,1
2,0,0.040816,8.166667,1,2,26,0.5,4584.5,0
1,0,0,24.166667,0,1,0,0.166667,26,1
1,0,0.25,12,1,2,5,1,4543.5,0
2,0,0.005405,92.5,1,5,24,1,4590.5,0
1,0.94566,0.02214,135.5,1,2,330,0.5,4718.55,0
1,0,1.587838,148,0,1,0,0.333333,4855,0
1,0,0,148,0,1,0,0.333333,4850,0
2,0.861546,0.031579,166.25,1,7,217,0.75,22.5,1
1,1,0.009756,205,1,5,96,0.5,6006.166667,0
1,0,2.075676,370,1,4,39,1,472.5,1
2,0.471933,0.123145,57.299065,0,7,19651,0.378505,626.5,1
1,0,0,121.75,0,1,0,0.25,4582.233333,0
1,0.576632,0.824926,35.473684,1,3,3862,0.263158,4707.25,1
1,0,0,31.666667,0,1,0,0.333333,105,1
1,0,0,0,0,1,21,1,5720.433333,0
1,0,0,0,0,4,212,1,4605.233333,0
1,0,0,104,0,1,0,1,3668,0
1,0,0,32,0,1,0,1,4572,1
1,0,2.643836,73,0,4,130,1,1297.416667,1
1,0.981941,0.042553,70.5,0,4,357,1,1394,0
1,0,2.12963,108,1,3,39,1,473.5,1
1,0,0,72,0,1,0,1,4601.233333,0
1,0,0,0,0,1,767,1,4582.233333,0
1,0,0.15625,32,1,2,0,1,1395,0
1,0,0,20,0,1,0,1,5758.333333,0
1,0,0,30,0,1,0,1,4587.233333,0
1,0.882657,0.119968,46.925926,1,6,4687,0.37037,6255.733333,1
1,0.974981,0.083612,27.181818,0,1,66,0.090909,5130.5,0
1,0.993238,0.785992,28.555556,0,1,1029,0.444444,4677,0
1,0,0,32.5,0,1,0,0.083333,4129,1
1,0.957608,0.10219,45.666667,1,4,128,0.222222,6412,0
2,0.912187,1.161934,86.866667,1,7,1009,0.466667,209,1
1,0.852992,0.028807,40.5,0,1,18,0.166667,4150.5,0
2,0.841092,0.432877,45.625,0,5,312,0.5,4633,0
2,0.830056,0.022512,168.8,0,6,32,0.8,5147.5,0
1,0,0,37.875,1,1,0,0.125,4273.5,1
1,0,0,0,0,4,492,0.333333,6132.5,0
1,0.717753,0.20202,44,0,1,420,0.444444,4557.5,0
1,0,0,17,0,1,0,0.5,6370.116667,0
1,0,0.058824,17,1,1,167,1,6004.166667,0
1,0,0,13.75,0,1,0,0.25,4402,0
1,0,0.019608,51,1,1,6,1,4273.5,0
1,0.953583,0.161538,32.5,0,1,24,0.25,4262.5,0
1,0,0.03125,32,1,2,0,1,888,0
1,0.979032,0.782609,15.333333,0,1,3,0.333333,4517.5,0
2,0.024639,1.297872,9.4,0,7,4311,0.3,4731.916667,0
1,0.498396,0.098592,17.75,0,3,741,0.75,6370.116667,0
1,0,0,0,0,1,30,1,4130,0
1,0,0,89,1,1,7,1,4239.5,0
1,0,0,88,0,1,25,1,4200,0
1,0.38715,0.060241,110.666667,1,2,393,1,6415,0
1,0,0,0,0,4,212,1,4611.233333,0
1,0,1.6,20,1,3,30,1,82,0
2,0.663197,0.042781,93.5,1,5,0,1,5982.5,1
2,0.681785,1.546599,39.7,0,5,42,0.3,6013.166667,1
1,0,0.083333,24,1,3,6,1,876,0
1,0,0.08,25,0,2,12,1,3,0
1,0,0,21,0,1,0,1,4603.233333,0
1,0,0,43,0,1,0,0.5,872.9,0
1,0,0,15,0,1,0,1,8343.008333,0
1,0.94776,0.024546,78.083333,0,2,91,0.666667,3875,1
1,0,0.006173,162,0,3,17,1,4410.5,0
1,0,0,70.5,0,1,0,0.5,3908,0
1,0,0,34,0,1,0,1,2769,0
1,0.274644,0.65371,31.444444,0,6,1024,0.666667,5948.266667,0
1,0,1.385827,127,0,4,12,1,1276.416667,1
1,0.891161,1.495017,100.333333,0,5,57,0.666667,5792.5,0
1,0.118859,0.929224,219,0,5,3,1,5794.5,1
1,0.842118,0.019956,150.333333,0,11,186,0.416667,731.5,1
1,0.310918,0.034043,47,0,3,0,0.8,3944,1
1,0,0,24,0,1,0,1,5278.666667,0
1,0.795269,0.993421,76,0,5,812,0.2,5231.25,1
1,0,0,6,0,1,0,1,4382,0
2,0.971555,0.015769,190.25,0,8,78,1,5215.797619,0
1,0.696723,0.102392,74.333333,0,4,1008,0.833333,4373.5,1
1,0.692678,0.374907,74.388889,0,7,2506,0.444444,5146.135714,1
1,0.881291,0.025862,58,0,2,8,1,4210,1
1,0,0,21.333333,0,1,0,0.333333,778.616667,0
1,0,0.010256,195,0,1,0,1,2578,0
1,0,0.020408,49,0,3,79,1,873.883333,0
1,0,0,40.5,0,1,0,0.5,5284,0
1,0,0,23,1,1,0,1,5497.65,0
1,0.702093,0.133562,97.333333,1,3,563,1,704.966667,0
1,0.74136,0.042857,70,0,8,1027,0.833333,691.633333,1
1,0,2.690789,152,0,6,37,1,1266.083333,0
1,0.961032,0.553846,130,0,4,156,1,1265.083333,0
1,0,0.028037,107,0,2,3,1,516.5,0
1,0,0,66.3,0,1,0,0.1,4177.5,1
1,0,0.076087,92,0,4,1,1,1151,1
1,0,0.0625,16,1,3,210,1,4563.333333,0
1,0,0,7,0,1,0,0.5,5146.711905,0
1,0.78209,0.035623,131,0,4,583,0.666667,4465.842857,1
1,0.969724,0.017647,68,1,8,198,0.6,6413.55,0
1,0,0,34.666667,0,1,0,0.333333,5283.5,1
1,0,0,34.666667,0,1,0,0.333333,4465.842857,0
1,0.491237,0.040302,198.5,1,5,65,1,4588.5,0
1,0,0,35,0,1,0,1,5937.266667,0
1,0,0,44,0,1,0,1,5650.5,1
1,0,0,66,1,1,0,1,4445,1
1,0,0,38,0,1,0,1,6336.166667,0
1,0,0,50,0,1,0,1,844,0
1,0,0.350877,57,0,4,18,1,5444.357143,0
1,0.798652,0.58908,29,0,5,2325,0.333333,4751.916667,0
1,0.918296,0,169.5,0,2,145,1,4698.216667,1
1,0.782933,0.055738,130.714286,0,5,152,1,4331.5,0
1,0,0,27,1,1,18,1,4119,0
1,0,0,53,0,1,0,1,5049.747619,1
1,0,0.161765,204,0,4,0,1,4337,0
1,0,0,0,0,1,0,1,3691,0
1,0.961586,0.004208,305.571429,0,3,96,0.857143,3465,0
1,0,0,39,0,1,0,1,484,0
1,0,0,63,0,4,259,1,5506,0
1,0,0.006173,162,1,2,25,1,4832,0
1,0,0.0375,160,0,5,1,1,5193.833333,0
1,0,2.278912,147,0,4,19,1,255,1
1,0.590387,0.071625,90.75,0,4,21,1,4210.5,0
1,0.63431,0.1513,211.5,0,1,0,0.5,33,0
1,0,0.009346,107,0,3,0,1,3565,0
1,0,0.041837,980,0,2,0,1,3458,0
1,0.811278,0.022161,180.5,0,2,28,1,484,0
1,0.830923,0.044349,116.5,1,9,410,1,4497.828571,1
1,0.954434,0.666667,30,0,1,122,0.5,304,1
1,0,0,260.5,1,1,0,0.25,3586,1
1,0.590645,0.046512,75.25,0,3,60,1,69,0
1,0.657883,0.028158,177.571429,0,7,206,1,744.416667,1
1,0.472377,0.273363,285.857143,0,6,309,0.857143,659.583333,1
1,0.585937,0.122981,115,0,2,146,1,4639,1
1,0,0.061224,49,0,6,135,1,5160.711905,0
1,0.507042,0.841785,123.25,0,4,84,0.416667,6020.166667,1
1,0,0.541436,181,0,1,72,1,4629,0
1,0.80473,0.034965,143,0,3,109,0.526316,2759,1
1,0,0,18.666667,0,1,0,0.333333,4734,0
1,0,0,34,0,1,0,1,2759,0
1,0.318894,0.270907,283,1,7,110,1,5331.416667,1
1,0,1.540616,357,1,5,1,1,5317.75,1
1,0.557286,0.034797,201.166667,1,6,436,0.666667,5330.75,1
1,0,0.134328,134,0,4,0,1,476,0
1,0.889095,0.04004,111,0,4,47,0.555556,190,0
1,0,0.014493,69,0,2,16,1,769.416667,0
1,0,0.358333,120,0,6,9,1,5844.333333,1
1,0.098959,0.352941,110.5,1,5,53,1,5648.5,1
1,0.682592,0.242718,117.714286,1,6,103,0.571429,5637.666667,1
1,0.11249,1,231,1,5,169,1,5303.666667,1
1,0,0.3,50,0,2,0,1,19,0
1,0,0.052288,153,0,2,9,1,219,0
1,0,0,103,0,1,0,1,335.5,0
1,0,0.244444,135,0,4,43,1,1673,1
1,0.652235,0.369128,119.2,0,5,6,1,4275.5,1
1,0,0,146,0,1,0,1,6053.5,0
1,0.035668,1.655844,154,0,5,20,1,5619.833333,1
1,0,0.102041,49,1,2,4,1,116,0
1,0.875331,0.018439,81.35,0,7,624,0.4,5863.116667,0
1,0,1.088785,214,1,6,4,1,165.166667,1
1,0,0.007194,278,0,2,9,1,5858.333333,0
1,0,0.013889,144,1,2,21,1,4384.5,0
1,0,0.066667,75,0,2,0,1,368.5,0
1,0,0.1,30,0,2,0,1,315.5,0
1,0.928512,0.430575,178.25,0,6,35,1,543,0
1,0,0.888889,81,0,2,4,1,553,0
1,0,0.282392,602,0,5,5,1,4360,1
1,0,0.085526,152,0,4,15,1,389.5,0
1,0,0.024615,325,0,3,14,1,383.5,1
1,0,0.403698,649,1,5,8,1,382.5,1
