@relation 'poi-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-9,11,14,18-19'

@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,32,1.034091,0.125,0,0.35,1,5,1.9167,1
0,0,2,0,0,0,0,0,0,0
0,46,0.818182,0.5,0,0.4,1,6,1,1
0,1,2,0,0,0.5,0,0,0.5,0
0,4,0.833333,1,1,0.4,1,1,1.25,0
0,36,1.125,0,0,0.333333,0,0,0.7778,1
0,123,0.659091,1,1,0.267081,0,0,2.3043,1
3,4,0.5,1,0,0.6,0,0,0.2,1
2,4,0.5,1,0,0.6,0,0,0.2,1
0,142,0.798246,0.833333,0,0.3,1,6,1.5,1
0,46,0.818182,0.5,0,0.4,1,6,0.8333,1
0,3,2,0,0,0.833333,0,0,0.6667,0
0,49,0.75,0.5,0,0.516667,1,6,1.2667,1
0,87,0.803571,0.75,0,0.483333,1,6,0.8,1
0,43,0.85,0.5,0,0.418182,1,6,1,1
0,138,0.827068,0.857143,0,0.36,1,6,0.9,1
0,11,0.8,1,2,0.541667,1,1,1.1667,0
0,4,0.333333,1,0,0.333333,0,0,0.75,0
0,36,2,0,0,0.296296,0,0,1.3333,0
0,3214,0.981195,0.483146,34,0.313684,1,6,0.9896,1
0,36,1.125,0.333333,0,0.333333,0,0,0.7778,1
0,36,1.125,0,0,0.333333,0,0,0.7778,1
0,88,0.763158,0.833333,1,0.36,1,6,0.9,1
0,6,2,0,0,0.666667,0,0,0,1
0,10,2,0,0,0.5,0,0,0.8,0
1,0,1.125,0,0,0.5,0,0,0.6667,1
0,65,0.74359,0.666667,0,0.4,1,6,1.0714,1
3,84,0.994048,0,2,0.317647,0,0,1.1176,0
0,60,0.333333,0.666667,0,0.212963,0,0,1.8462,0
0,45,1.111111,0.333333,0,0.32,0,0,0.8,1
0,25,0.8,0.5,0,0.568182,1,5,1.2727,1
0,9,0.722222,1,0,0.166667,0,0,2,1
0,41,0.916667,0,1,0.327273,0,0,0.9091,0
0,41,0.711538,0,0,0.285714,1,5,2,1
0,52,0.933333,0.4,0,0.415385,1,6,1.3846,1
0,54,0.7,0,0,0.3625,1,1,1.5625,0
1,0,2,0,0,1,0,0,0,0
0,57,0.769231,0.666667,0,0.482143,1,6,0.8571,1
0,6,2,0,0,0.666667,0,0,0,1
0,3,2,0,0,0.666667,1,1,0.3333,0
0,22,0.5,0,0,0.244444,1,5,3.6,1
0,10,2,0,0,0.5,0,0,0.8,0
0,1,2,0,0,0.5,0,0,8.5,0
0,0,0.5,1,1,0.7,0,0,1.2,0
0,38,0.75,0.875,4,0.35,1,6,0.9167,1
0,49,0.85,0.5,0,0.522727,1,6,0.8182,1
0,0,2,0,0,1,0,0,1,0
0,117,0.936364,0.363636,3,0.346154,1,6,0.9231,1
0,46,0.981818,0.2,0,0.5,1,6,0.8333,1
0,244,0.908213,0.444444,0,0.284722,1,5,1.4583,1
0,0,0,1,1,0.6,0,0,2.5,0
0,45,1.111111,0,0,0.525,1,6,0.8,1
0,36,0.772727,0.5,0,0.4,1,6,0.8333,1
2,102,0.933333,0.75,1,0.190476,0,0,1.1875,1
0,0,2,0,0,1,0,0,1,0
0,114,0.877193,0.555556,0,0.45,1,6,0.9,1
0,106,0.354167,1,2,0.144796,0,0,1.1176,0
0,64,0.883333,0.6,0,0.5,1,6,0.7692,1
0,94,0.649123,1,2,0.154545,1,1,1.15,0
0,6,2,0,0,0.7,1,1,1,0
0,3,2,0,0,0.333333,0,0,0.6667,1
0,46,0.818182,0.5,0,0.4,1,6,0.8333,1
0,3,2,0,0,0.75,0,0,0.6667,0
0,36,1.125,0,0,0.333333,0,0,0.7778,1
0,45,1.111111,0,0,0.525,1,6,0.8,1
0,0,0.5,1,3,0.198864,0,0,1.0625,0
0,45,2,0,0,0.4,0,0,1,0
0,36,1.125,0,0,0.555556,1,6,0.7778,1
0,114,0.855263,0.625,0,0.45,1,6,0.9,1
0,0,2,0,0,1,0,0,1,0
0,0,2,0,0,1,0,0,1,0
0,0,0.35,1,0,0.545455,1,6,1,1
0,1,2,0,0,1,0,0,1,0
0,46,0.818182,0.5,0,0.5,1,6,0.8333,1
0,171,1.055556,0,0,0.526316,0,0,0.9474,1
0,0,2,0,0,1,0,0,1,0
0,91,0.776471,0.8,0,0.458333,1,6,0.8889,1
0,46,0.818182,0.5,0,0.4,1,6,1,1
0,1,2,0,0,0.5,0,0,1.5,0
0,25,0.957143,0.142857,0,0.222222,1,6,1.8182,0
0,511,0.938063,0.625,4,0.239382,1,6,1,1
0,46,0.818182,0.5,0,0.5,1,6,0.8333,1
0,107,0.382353,1,0,0.433333,0,0,1.2222,0
0,0,0,1,0,0.32,1,2,0.9,0
0,153,0.8,0.888889,2,0.346154,1,6,0.9231,1
0,49,0.975,0.25,0,0.522727,1,6,0.8182,1
0,2749,0.914286,1,5,0.16732,0,0,2.2209,1
0,15,1.2,0,0,0.333333,0,0,2,1
0,45,1.111111,0.333333,0,0.32,0,0,0.8,1
0,253,2,0,0,0.669565,1,2,0.9565,0
0,6,2,0,0,0.666667,0,0,0,0
0,312,0.909274,0.8125,0,0.265625,1,5,0.9688,0
0,49,1,0.2,0,0.522727,1,6,0.8182,1
0,69,0.769231,0.666667,0,0.482143,1,6,0.8571,1
2,19,0.611111,1,2,0.325,0,0,1.3,0
0,33,0.866667,0.6,0,0.283333,1,2,0.7,1
0,0,0,0,0,0.666667,0,0,0.6667,0
0,470,0.863426,0.833333,0,0.219595,1,6,1.8919,1
0,21,0.533333,1,0,0.454545,0,0,0.6364,0
0,3060,0.83906,1,2,0.07963,2,20,1.1375,0
0,15,1.178378,0.054054,2,0.3,1,2,1.1667,1
0,46,0.818182,0.5,0,0.5,1,6,0.8333,1
0,0,0,0,0,0.833333,0,0,0.5,1
0,6,2,0,0,0.666667,0,0,1,0
0,141,0.957393,0.315789,0,0.443182,1,6,0.9091,1
0,1,2,0,0,0.5,0,0,0.5,0
0,22,0.885714,0.8,0,0.35,1,2,0.625,1
0,14,0.785714,0,0,0.325,0,0,1,0
0,651,0.766926,0.705882,1,0.174004,0,0,3.1667,1
0,1,0.670588,0.8,3,0.366667,1,6,0.8889,1
0,0,0.642857,0.5,0,0.46875,0,0,2.125,1
0,0,2,0,0,1,0,0,1,0
0,82,0.766304,0.875,3,0.35,1,6,0.9167,1
0,4,0.333333,0,0,0.416667,0,0,1.25,1
0,43,0.85,0.5,0,0.418182,1,6,0.9091,1
0,43,0.85,0,0,0.418182,1,6,1,1
0,49,0.933333,0.333333,0,0.522727,1,6,0.8182,1
1,255,0.924925,0.518519,6,0.331579,1,6,0.9474,1
0,665,0.836957,1,3,0.185619,2,18,1.5319,0
0,0,1.142857,0.5,0,0.35,1,5,0.625,1
0,0,0.388889,1,0,0.313333,1,1,2.6,0
0,45,1.111111,0.5,0,0.32,0,0,0.8,1
0,1,2,0,0,0.5,0,0,0.5,0
0,46,0.818182,0.5,0,0.4,1,6,1,1
0,0,0.375,0,1,0.369231,3,5,1.5385,1
0,0,0.388889,1,0,0.36,1,1,2.6,0
0,43,0.85,0.5,0,0.522727,1,6,0.8182,1
0,36,2,0,0,0.314815,0,0,1,0
0,0,1,0.066667,1,0.304762,0,0,1.0952,1
0,0,2,0,0,1,0,0,1,0
0,56,0.777778,0.666667,0,0.5,1,6,0.8462,1
0,46,0.818182,0.5,0,0.4,1,6,0.8333,1
0,3,0.916667,0.5,0,0.283333,1,2,0.9,1
0,20,0.625,1,0,0.301587,0,0,2.4444,0
0,49,0.85,0.5,0,0.522727,1,6,0.8182,1
0,0,0.757576,0.333333,0,0.277778,1,5,1.25,0
0,46,1,0.166667,0,0.5,1,6,0.8333,1
0,327,0.775862,0.833333,0,0.216667,1,6,2.0667,1
0,37,0.806723,0.571429,2,0.366667,1,6,0.8889,1
0,3,0.083333,1,1,0.303571,0,0,1.8571,0
0,36,1.125,0,0,0.333333,0,0,0.7778,1
0,4,0.333333,1,0,0.466667,0,0,1.25,0
0,46,0.818182,0.5,0,0.4,1,6,0.8333,1
0,94,0.897436,0.384615,2,0.262857,2,7,1.52,1
0,5,0.55,0,2,0.375,0,0,2.6667,1
0,16,0.727273,0.555556,2,0.319444,0,0,2,1
0,4,0.666667,1,0,0.5,1,1,1.25,0
0,4,0.428571,1,0,0.425,1,1,0.875,0
0,6,0.75,1,2,0.55,1,1,1.2,0
0,103,0.848739,0,1,0.472222,1,6,1.1667,1
0,162,0.861702,0.95,12,0.325,1,6,1,1
0,1,0,1,1,0.514286,0,0,0.7143,0
0,6,2,0,0,0.666667,0,0,0,1
0,1362,0.927083,1,1,0.265306,1,7,2.5263,0
18,10,1.25,0,0,0.6,0,0,0.8,0
0,15,2,0,0,0.666667,0,0,0.8333,1
0,36,1.125,0,0,0.555556,1,6,0.7778,1
0,198,0.841751,1,0,0.383929,0,0,1.75,1
0,664,0.902083,0.95,8,0.270833,1,6,0.9388,1
0,46,0.818182,0.5,0,0.5,1,6,0.8333,1
0,43,0.85,0.5,0,0.418182,1,6,1,1
0,367,0.854054,0.933333,4,0.276316,1,6,0.9474,1
0,204,0.882609,0.7,1,0.298611,1,6,1.2917,1
0,187,0.747475,0.888889,2,0.198529,2,3,1.4118,1
0,171,0.863889,0.916667,9,0.283333,1,6,0.9032,1
0,36,1.125,0,0,0.333333,0,0,0.7778,1
0,9,0.25,1,0,0.522727,0,0,0.6364,0
0,3,2,0,0,0.333333,0,0,2.3333,0
0,1,0.75,1,0,0.5,0,0,2.6667,0
0,46,0.818182,0.5,0,0.4,1,6,1,1
0,6,2,0,0,0.583333,0,0,1,0
0,0,0.666667,1,2,0.4375,0,0,0.75,0
0,81,0.764706,0.8,0,0.305556,1,6,0.8889,1
0,3,0.722222,0.5,0,0.4,1,2,0.8,1
0,0,0,1,1,0.541667,0,0,2.3333,1
0,0,0.566667,1,1,0.272727,0,0,1.0909,0
0,9,1.164242,0.003636,0,0.190476,0,0,1.2857,0
0,49,0.85,0.5,0,0.522727,1,6,0.8182,1
0,0,2,0,0,1,0,0,0,0
0,43,0.85,0.5,0,0.418182,1,6,1,1
1,0,0.125,0,0,0.351852,1,1,1.1111,0
0,3,0.222222,0,0,0.333333,0,0,1.3,1
3,290,0.962649,1,16,0.175781,0,0,1.1563,0
0,34,0.690909,1,0,0.375,0,0,1.5833,1
0,61,0.807692,0.5,0,0.5,1,5,1.0714,1
0,21,0.564103,0,0,0.297619,0,0,1.5714,1
0,2,0.666667,0.166667,1,0.333333,1,2,0.8889,1
0,54,0.909091,0.333333,0,0.4,1,6,0.8333,1
0,28,0.636364,1,0,0.246753,1,6,1.3333,0
0,105,0.920635,0.4,2,0.253247,1,6,0.9091,1
0,0,1.125,0.25,0,0.583333,0,0,0.5,0
0,6,2,0,0,0.666667,0,0,0,1
0,54,0.954545,0.25,0,0.5,1,6,0.8333,1
0,0,0.369048,1,1,0.416667,0,0,2.375,1
0,72,0.791667,0.833333,0,0.268908,1,6,1.2941,1
0,46,0.818182,0.5,0,0.5,1,6,0.8333,1
0,46,0.818182,0.5,0,0.4,1,6,1,1
0,120,1.066667,0,0,0.53125,0,0,0.9375,1
0,15,2,0,0,0.583333,0,0,1,0
0,45,1.111111,0.333333,0,0.32,0,0,0.8,1
0,19,1.076923,1,0,0.385714,1,4,1.4286,1
0,48,0.818182,1,2,0.5,0,0,1.4167,1
0,10,1.25,0,0,0.55,1,3,0.2,1
0,0,2,0,0,0,0,0,0,0
0,26,0.857143,0.25,1,0.342857,1,1,1.125,1
3,0,0.142857,1,0,0.375,1,1,1.25,0
0,0,0.717391,0.875,6,0.35,1,6,0.9167,1
0,2,0.75,1,2,0.36,0,0,0.8,0
0,4,0.5,1,0,0.6,0,0,0.2,0
0,0,0.666667,0.5,0,0.525,1,6,0.9,1
0,0,0,1,0,0.5,0,0,1.25,0
0,0,2,0,0,1,0,0,0,1
0,62,0.818182,0.5,0,0.239583,0,0,11.4167,1
0,348,0.843254,0.928571,5,0.279279,1,6,1.1351,1
0,24,0.863636,1,0,0.214286,0,0,1.25,0
0,54,0.818182,0.5,0,0.5,1,6,0.8333,1
4,44,0.75,1,0,0.3875,1,6,1.3529,1
0,46,0.818182,0.5,0,0.5,1,6,0.8333,1
0,87,0.748276,0.6,4,0.146154,0,0,2.9,1
0,107,0.794118,0.833333,0,0.458333,1,6,0.8889,1
0,2,0.666667,0,1,0.36,0,0,2.2,0
1,197,0.813853,0.545455,1,0.369048,0,0,1.0455,1
0,0,0.571429,1,2,0.458333,0,0,1.375,0
0,114,0.894737,0.5,0,0.45,1,6,0.9,1
0,331,0.873563,0,0,0.391667,0,0,2.6333,1
0,1,2,0,0,0.75,0,0,1,0
0,6636,0.942356,0.72973,19,0.067187,0,0,2.2171,1
0,0,2,0,0,1,0,0,1,0
0,25,0.8,0.5,0,0.431818,1,6,1.1818,1
0,0,0.571429,1,1,0.25,0,0,3,1
0,595,2,0,0,0.2,0,0,1.2,1
0,21,1,1,0,0.428571,1,2,0.7143,1
0,1,2,0,0,0.75,0,0,1,0
0,49,0.933333,0.333333,0,0.522727,1,6,0.8182,1
0,45,1.111111,0.333333,0,0.32,0,0,0.8,1
0,43,0.833333,0.666667,0,0.333333,1,5,0.9333,0
0,10,1.25,0,0,0.5,1,2,0.4,1
0,0,0.731481,0.75,3,0.198413,1,6,1.1786,1
0,0,0.642857,1,1,0.25641,1,2,0.9231,0
0,33,0.9,0.75,0,0.327273,1,2,0.8182,1
0,15,0.644444,1,0,0.17284,0,0,2,1
0,195,0.875,0.833333,0,0.265432,1,5,1.037,1
0,221,0.727273,0.75,0,0.304348,1,6,1.8261,1
0,1,0.692308,0.5,0,0.4,1,6,1.2143,1
0,10,1.25,0,0,0.5,1,2,0.4,1
0,0,0,0,0,0.5,0,0,0.6667,0
0,34,0.854167,0.5,0,0.323077,1,5,0.9231,0
0,66,0.805556,0.666667,0,0.5,1,6,0.8462,1
0,36,1.125,0,0,0.333333,0,0,0.7778,1
16,60,1,0.25,0,0.283333,0,0,1.1667,1
0,9,0.833333,1,5,0.571429,0,0,1,1
0,45,1.111111,0.333333,0,0.32,0,0,0.8,1
0,49,0.933333,0.333333,0,0.522727,1,6,0.8182,1
0,1491,0.957966,0.487179,0,0.203629,1,6,1.4194,1
0,6,2,0,0,0.75,0,0,1,0
0,109,0.81746,0.857143,1,0.368421,1,6,0.8947,1
0,0,0,1,2,0.5625,0,0,2,1
0,30,0.75,1,1,0.407407,1,1,0.8889,0
0,0,2,0,0,1,0,0,0,0
0,1,2,0,0,0.5,0,0,0.5,1
0,9,0.944444,0.666667,0,0.428571,1,2,1,1
0,43,0.833333,0.666667,0,0.333333,1,5,1,0
