@relation xerces-1.3_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R5

@attribute dit numeric
@attribute noc numeric
@attribute ca numeric
@attribute npm numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
3,52,53,17,0,0,0.456522,2,9.826087,4,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,1,13,0,0,0.538462,0,4.538462,1,0
1,0,5,13,0.636364,4,0.233083,0,28.5,11,0
1,0,2,6,0,0,0.458333,0,98.833333,8,0
1,0,20,10,0,0,0.3,0,0,1,0
1,1,6,9,0.857143,1,0.227273,0,25.772727,11,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
1,0,1,6,1,0,0.25,0,100.142857,11,0
2,0,1,3,0,1,0.888889,0,51,9,0
1,0,0,8,0,0,0.5,0,0,1,0
3,0,1,0,1,0,0.40625,3,143,1,1
1,0,4,18,0,0,0.4,0,0,1,0
4,0,0,35,0,0,0.308571,0,4.714286,1,0
1,0,1,14,0,0,0.5,0,0,1,0
1,0,1,9,1,0,0.333333,0,19.666667,2,0
1,0,0,8,0,0,0.46875,0,0,1,0
1,0,7,6,0,2,0.5,1,18.666667,1,0
4,0,0,7,0,0,0.342857,0,5,1,0
1,0,3,14,0,0,0.4,0,34.133333,5,0
2,0,2,1,1,0,0.571429,2,118,1,0
4,0,0,3,0,0,0.666667,0,4.666667,1,0
1,2,2,22,1,11,0.106971,0,22.301887,3,1
1,0,0,12,0,0,0.75,0,0,1,0
2,0,2,7,0.9,2,0.275,0,72.5,4,0
1,0,1,0,0,0,0,0,0,0,0
4,0,0,11,0,0,0.545455,6,4.545455,1,0
1,0,0,1,0,0,1,0,0,1,0
1,0,0,4,0,0,1,0,0,1,0
4,0,0,3,0,0,0.666667,0,4.666667,1,0
1,0,3,9,0.96875,10,0.135526,0,130.716049,25,1
2,0,1,22,0.833333,3,0.201149,2,85.366667,4,0
1,0,0,11,0,0,0.348485,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0
1,0,0,6,0,0,1,0,0,1,0
1,0,1,4,0,0,0.75,0,0,1,0
4,0,1,35,1,2,0.214286,0,12.027778,7,0
1,0,1,0,0,0,0,0,0,0,0
1,0,1,4,0,0,0.75,0,0,1,0
4,0,0,17,0,0,0.397059,0,4.647059,1,0
1,0,1,2,0,0,0.75,0,0,1,0
4,3,47,49,0.923077,2,0.1375,19,21.492308,23,1
3,1,2,4,0.4,0,0.611111,3,38.166667,3,1
3,0,1,1,0.5,0,0.5,7,13.5,2,1
4,0,0,17,0,0,0.317647,0,6.235294,3,0
4,0,0,7,0,0,0.428571,0,4.571429,1,0
2,0,2,1,1,0,0.388889,2,12,2,0
2,0,1,24,0.647059,3,0.188889,4,86,5,0
4,0,0,5,0,0,0.6,4,4.6,1,0
1,0,0,2,0,0,0.333333,0,7.333333,1,0
1,0,8,29,1,2,0.333333,0,39.166667,6,1
1,1,3,4,1,1,0.44,0,50.6,22,0
4,0,1,1,0.5,0,0.5,11,24.25,4,1
2,0,0,2,1,1,0.5,0,6.5,1,0
2,0,0,4,0,0,0.583333,0,8.75,1,1
1,0,0,6,0,0,0.75,0,0,1,0
4,0,0,3,0,0,0.666667,0,5.333333,1,0
1,0,1,4,1,0,0.25,0,26.142857,4,0
2,0,1,5,0,0,0.324675,9,68.090909,13,1
2,0,1,7,0.214286,0,0.46875,1,25.125,6,0
1,1,0,10,0,0,0.246753,0,8,1,1
1,0,1,0,0,0,0,0,0,0,0
1,0,0,16,0,0,0.5,0,0,1,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,3,6,0,0,0.35,0,26.166667,8,0
1,0,1,0,0,0,0,0,0,0,0
1,0,1,4,0.009288,0,0.5,0,157.2,9,1
1,0,1,26,0,7,0.246465,0,47.109091,20,0
4,0,0,9,0,0,0.555556,5,4.555556,1,0
4,0,0,1,0,0,1,0,4,0,0
1,0,0,18,0,0,0.285714,0,1.222222,1,0
4,0,1,1,0.5,0,0.5,9,27.75,7,1
1,0,0,11,0,0,0.515152,0,0,1,0
1,0,8,11,0,0,0.291667,1,66.416667,26,0
2,2,9,5,0.666667,2,0.416667,3,7.25,2,0
2,0,4,3,1,0,0.666667,0,4,1,0
4,0,0,27,0,0,0.37963,0,5.333333,3,0
1,0,0,11,0.8,2,0.375,0,16.923077,4,0
3,0,37,2,0.051282,0,0.555556,1,134.25,1,0
1,0,0,6,0,0,0.333333,0,0,1,0
1,0,1,12,0.692308,4,0.232143,0,67.863636,24,0
1,1,1,6,0.5,0,0.285714,0,12.25,1,0
1,0,1,0,0,0,0,0,0,0,0
1,0,36,4,0,0,0.75,0,0,1,0
2,0,1,6,0.75,3,0.333333,0,17.571429,1,1
1,0,4,0,0,0,1,0,3,0,0
2,0,1,1,0,0,0.571429,0,71.5,1,0
1,3,14,8,0.571429,2,0.288889,0,11.111111,3,1
1,0,0,6,0,0,0.611111,0,0,1,0
1,0,0,26,0,0,0.5,0,0,1,0
1,0,1,6,0,0,0.75,0,0,1,0
4,0,0,9,0,0,0.555556,5,4.555556,1,0
1,0,0,5,0,0,0.7,0,0,1,0
1,0,1,4,0,0,0.75,0,0,1,0
2,0,3,6,1,3,0.214876,0,79,1,0
1,0,1,7,1,3,0.387755,0,143.857143,1,0
4,0,0,5,0,0,0.6,0,4.6,1,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
1,0,0,24,0,0,0.270833,0,0,1,0
3,0,1,1,0.5,0,0.5,7,19.75,1,1
1,0,6,5,0,0,0.35,0,20.4,3,0
1,0,0,1,0,0,1,0,0,1,0
4,0,1,3,0,0,0.666667,0,5.333333,1,0
1,0,0,3,0,0,0.666667,0,0,1,0
1,0,0,7,0,0,0.428571,0,0,1,0
1,0,0,5,0,0,0.6,0,0,1,0
1,0,0,1,0,0,1,0,3,0,0
1,0,0,12,0,0,0.4375,0,13.583333,2,0
1,0,0,24,0,0,0.528846,0,26.730769,5,1
3,0,1,1,0.5,0,0.5,7,19.5,2,1
4,0,0,1,0,0,1,0,7,0,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
3,0,1,1,0.5,0,0.466667,8,22.2,7,1
1,0,1,16,0,0,0.375,0,0,1,0
1,0,0,12,0,0,0.5,0,0,1,0
1,0,0,7,0,0,0.25,0,0,1,0
3,0,0,2,0,0,1,0,713.666667,1,1
2,0,0,3,0,1,0.444444,0,6.5,1,0
1,0,5,1,0,2,1,0,3,0,0
1,0,0,13,0,0,0.538462,0,0,1,0
4,0,0,5,0,0,0.6,4,4.6,1,0
1,0,0,2,0,0,0.75,0,0,1,0
1,2,9,13,1,9,0.144231,0,62.25641,13,0
1,1,2,3,0.076923,0,0.194286,0,61.64,55,1
2,1,2,41,1,6,0.131944,9,27.55102,3,1
2,0,2,1,1,1,0.45,2,9.8,1,0
1,3,20,36,0.894737,1,0.118172,0,15.507246,31,0
3,0,1,1,0.5,0,0.5,8,17.25,3,1
4,1,2,3,0,0,0.555556,4,3,1,0
4,0,1,3,0,0,0.666667,0,4.666667,1,0
3,0,6,2,0,0,0.75,0,3.5,0,0
1,0,0,0,0,0,0,0,0,0,0
1,0,1,8,0,0,0.5,0,0,1,0
4,0,0,9,0,0,0.555556,4,4.555556,1,0
3,0,16,48,0.952381,1,0.22623,10,40.704918,12,1
4,0,0,3,0,0,0.666667,0,5.333333,1,0
1,0,0,22,0,0,0.281818,0,0,1,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
4,0,0,11,0,0,0.545455,6,4.545455,1,0
3,0,1,5,0,0,0.55,1,14.2,2,0
1,0,1,3,1,0,0.833333,0,72.666667,8,0
1,0,1,23,1,15,0.147959,0,99.169014,3,1
1,0,0,20,0,0,0.75,0,0,1,0
1,1,4,5,0,0,0.55,0,9.6,2,0
1,0,0,20,0,3,0.15035,0,6.181818,2,0
2,0,1,16,1,0,0.183007,15,22.411765,8,0
5,0,1,1,0.5,0,0.555556,11,13,2,1
1,0,2,3,0,0,0.5,0,0,1,0
4,0,0,9,0,0,0.555556,5,4.555556,1,0
4,0,0,3,0,0,0.666667,0,4.666667,1,0
2,0,1,9,0.157895,2,0.189815,0,75.277778,4,0
2,0,1,6,1,2,0.333333,0,51.285714,1,0
1,0,0,10,0,0,0.75,0,0,1,0
4,0,0,3,0,0,0.5,0,4.666667,1,0
2,0,2,2,1,1,0.355556,2,15.111111,2,0
4,0,0,19,0,0,0.394737,0,4.526316,1,0
1,0,0,27,1,2,0.137778,0,44.543478,19,0
1,0,0,1,0,0,1,0,0,1,0
4,0,1,15,0,0,0.32,1,12,6,0
1,0,1,4,0,0,0.75,0,0,1,0
1,0,0,2,0,0,1,0,0,1,0
1,0,1,8,0,0,0.75,0,0,1,0
2,0,7,7,1,0,0.40625,2,33.5,2,0
1,0,4,5,1,2,0.4,0,5.4,1,1
1,0,2,4,0.046512,0,0.5,0,49.6,9,1
1,0,0,2,0,0,0.75,0,0,1,0
1,1,5,18,1,1,0.179012,0,18.388889,3,0
3,0,0,2,0,0,1,0,85.333333,1,0
1,0,3,2,1,0,0.5,0,105.25,1,1
1,0,1,0,0.333333,1,0.5,0,59,4,0
1,0,0,10,1,0,0.375,0,5,1,0
1,0,8,6,1,1,0.5,0,38.5,4,0
1,0,0,8,0,0,0.75,0,0,1,0
2,0,1,7,0.941176,2,0.301587,0,93.222222,1,0
1,0,1,2,0,0,0.75,0,0,1,0
1,0,0,16,0,0,0.6875,0,0,1,0
4,0,0,3,0,0,0.666667,0,4.666667,1,0
1,0,1,5,0,0,0.520833,0,70.375,8,0
1,9,15,2,0.366667,20,0.1875,0,42.102041,24,1
1,3,3,37,0.933333,4,0.135989,0,32.642857,13,1
1,0,1,11,0.941176,0,0.233333,0,35.421053,15,0
4,0,2,12,1,1,0.357143,0,11.214286,4,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
1,0,1,2,0,0,0.75,0,0,1,0
3,1,3,6,0.5,0,0.5,5,6.333333,2,0
1,0,9,6,1,3,0.333333,0,5.5,1,1
3,3,0,6,1,0,0.555556,2,7.833333,3,0
2,1,5,42,0.9,6,0.152074,18,89.761905,6,1
5,0,1,1,0,0,1,0,5,0,0
4,0,0,21,0,0,0.52381,0,4.714286,1,0
4,0,0,15,0,0,0.4,0,7.4,3,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,6,5,0,0,0.4,0,0,1,0
2,0,2,9,0,0,0.25,7,81.833333,30,1
4,0,0,7,0,0,0.571429,0,5.142857,1,0
1,0,0,0,0,0,0,0,0,0,0
2,0,1,7,0.714286,2,0.244444,0,17.8,4,1
4,0,1,3,0,0,0.666667,0,4.666667,1,0
1,0,1,7,1,7,0.307692,0,117,3,0
4,0,0,5,0,0,0.45,2,5.2,1,0
1,0,1,2,0,0,0.75,0,0,1,0
1,0,0,23,0,0,0.347826,0,0,1,0
2,0,2,1,1,2,0.416667,2,24.333333,1,0
1,0,1,4,0,0,0.75,0,0,1,0
4,1,0,1,0,0,1,0,7,0,0
1,0,0,25,0,0,0.33,0,0,1,0
4,0,1,1,0.5,0,0.555556,7,9.333333,1,1
1,0,0,3,0,0,0.555556,0,0,1,0
1,2,7,10,1,4,0.2,0,35.923077,6,1
1,0,0,3,0,0,1,0,0,1,1
4,0,0,38,0,0,0.294737,3,5.026316,3,0
4,0,0,25,0,0,0.312,7,4.68,1,0
4,0,0,5,0,0,0.6,4,4.6,1,0
4,0,0,23,1,1,0.246377,1,6.913043,3,0
1,0,1,20,0,0,0.375,0,0,1,0
2,0,1,6,1,1,0.3,1,12.25,1,1
4,1,4,5,0.666667,1,0.4,6,8.8,2,0
1,0,5,4,0.136364,0,0.5,0,35.6,9,0
1,0,0,2,0,0,0.75,0,0,1,0
3,0,0,2,0,0,1,0,306.333333,1,0
1,2,8,4,1,2,0.36,0,88.6,1,1
1,0,0,16,0,0,0.645833,0,0,1,0
2,1,3,7,0.75,0,0.52381,4,9.857143,3,0
2,0,1,10,0,0,0.21875,10,15.3125,6,0
1,0,5,4,0,1,0.55,0,16.5,2,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
1,0,0,6,0,0,0.5,0,0,1,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,0,5,0,0,0.6,0,9.4,3,0
4,0,0,5,0,0,0.45,0,4.6,1,0
1,0,1,8,0,0,0.75,0,0,1,0
1,0,3,8,1,2,0.303571,0,21.125,2,0
4,0,0,9,0,0,0.416667,0,4.777778,1,0
4,0,0,9,0,0,0.555556,6,4.555556,1,0
1,0,1,18,0,0,0.75,0,0,1,0
1,0,0,12,0,0,0.638889,0,0,1,0
2,0,2,8,1,2,0.284091,0,41.818182,4,0
4,0,2,19,0,1,0.275,0,13.15,4,0
1,0,0,12,0,0,0.354167,0,0,1,0
1,0,7,8,0,0,0.363636,0,0,1,0
4,0,0,23,0,0,0.295652,3,5.478261,3,0
2,0,1,1,0,0,0.571429,2,69,1,0
1,0,1,10,0,0,0.75,0,0,1,0
3,0,1,1,0.5,0,0.5,5,42.5,8,1
1,0,0,34,0,0,0.282353,0,0,1,0
1,0,0,29,0,0,0.37069,0,0,1,0
1,0,1,0,0,0,0,0,0,0,0
1,0,13,55,0.967213,41,0.085474,0,70.968421,17,1
4,0,0,3,0,0,0.5,0,5.666667,1,0
1,0,1,8,1,2,0.464286,0,56.25,1,0
1,0,0,10,0,0,0.4,0,0,1,0
1,1,3,11,0.1,2,0.393939,0,6,1,0
3,2,2,5,0,0,0.6,0,3,1,0
1,0,0,4,0,0,0.75,0,0,1,0
2,0,1,3,1,0,0.433333,2,21.5,5,0
1,2,3,5,0,1,0.533333,0,23.833333,20,1
4,0,0,13,0,0,0.538462,7,4.538462,1,0
1,16,17,5,1,0,0.533333,0,1.4,1,1
4,0,20,8,1,0,0.4375,0,6.75,1,0
1,6,7,0,0,1,0.195652,0,9.166667,2,0
1,0,40,11,0,0,0.409091,1,16,7,0
1,0,0,2,0,0,1,0,0,1,0
1,0,12,20,0.090909,6,0.192308,1,123.603774,147,0
1,0,0,14,1,0,0.392857,0,4,1,0
1,0,5,1,0,0,1,0,0,1,0
1,0,10,39,0.862069,12,0.138249,0,35.177419,6,0
1,0,0,1,0,0,1,0,3,0,0
1,0,0,3,0,0,0.777778,0,0,1,0
2,0,1,6,1,1,0.333333,1,52.142857,1,0
4,0,0,9,0,0,0.555556,6,4.555556,1,0
1,0,0,11,1,3,0.318182,0,28.636364,1,0
1,0,2,11,1,1,0.515152,0,9,2,0
4,0,0,21,0,0,0.314286,7,4.619048,1,0
1,0,0,15,0,0,0.285714,0,1.266667,1,0
4,0,0,5,0,0,0.6,0,9.4,3,0
1,0,3,3,0,0,0.666667,0,0,1,0
1,0,8,9,0,0,0.555556,0,0,1,0
1,0,0,22,0,0,0.75,0,0,1,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,0,4,1,1,0.583333,0,6.75,2,0
4,0,0,13,0,0,0.403846,0,6.923077,3,0
1,0,0,4,0,0,1,0,0,1,0
2,0,1,7,1,1,0.285714,0,5,1,0
1,0,0,3,0,0,0.666667,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0
4,0,18,8,1,0,0.4375,0,6.75,1,0
4,0,0,3,0,0,0.5,0,4.666667,1,0
1,0,0,16,0,0,0.375,0,0,1,0
1,0,9,3,0,0,0.666667,0,0,1,0
1,0,1,8,0,0,0.75,0,0,1,0
4,0,0,18,1,1,0.481481,0,4.611111,2,0
3,35,36,7,0,0,0.436364,3,7.454545,3,0
1,0,1,2,0,0,0.75,0,0,1,0
2,0,3,7,1,3,0.194444,0,77.666667,1,0
4,0,0,5,0,0,0.6,0,4.6,1,0
1,0,1,2,0,0,0.75,0,0,1,0
4,0,0,19,0,0,0.394737,6,4.631579,1,0
1,0,1,0,1,0,0.625,0,5.75,2,0
1,0,0,1,0,0,1,0,0,1,0
2,0,1,1,0,0,0.625,2,37,11,0
4,0,0,8,1,0,0.466667,0,10.333333,1,0
3,0,0,2,0,0,1,0,81,1,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,0,4,0,0,0.75,0,0,1,0
2,0,1,6,1,1,0.375,1,12.625,1,1
1,0,0,13,0,0,0.461538,0,0,1,0
1,1,0,8,0.833333,0,0.454545,0,21.416667,10,0
4,0,4,2,0,0,0.666667,0,5,1,0
1,0,0,1,0,0,1,0,0,1,0
2,0,1,10,1,2,0.189815,0,105,4,0
1,0,9,4,0.08,0,0.5,0,35.2,9,0
1,0,2,29,1,0,0.226481,0,46.47619,33,1
1,0,0,6,0,0,0.375,0,0,1,0
4,0,0,5,0,0,0.45,0,5,1,0
1,0,1,9,1,4,0.307692,0,27.615385,11,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,0,13,0,0,0.538462,4,4.538462,1,0
1,0,4,7,0.6,0,0.25,0,86,4,1
3,0,1,1,0.5,0,0.555556,7,11.666667,1,1
1,0,0,1,0,0,1,0,0,1,0
1,0,0,3,0,0,0.666667,0,0,1,0
1,0,1,2,0,0,0.75,0,0,1,0
4,0,0,15,0,0,0.4,4,4.6,1,0
4,0,0,5,0,0,0.6,4,4.6,1,0
2,2,3,20,1,2,0.174479,3,90.848485,2,0
1,0,10,8,0.176471,0,0.25,0,779.8,9,0
1,0,5,0,0,0,0.5,0,11.666667,2,0
4,0,0,7,0,0,0.571429,4,4.571429,1,0
1,0,0,0,0,0,0,0,0,0,0
1,0,0,7,0,0,1,0,0,1,0
3,0,0,0,1,0,0.366667,3,173.666667,1,0
4,1,4,10,0.8,0,0.4,6,7.8,2,1
4,0,1,31,0,0,0.309677,0,7.354839,6,0
1,0,4,1,0,0,1,0,0,1,1
1,0,1,2,0,0,0.75,0,0,1,0
1,0,0,24,0.736842,9,0.126667,0,27.933333,4,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,1,10,0,0,0.5,0,0,1,0
1,0,0,35,0,0,0.371429,0,0,1,0
2,2,9,24,0.75,1,0.174174,16,36.789474,16,0
1,0,0,19,0,0,0.438596,0,0,1,0
1,0,0,8,0,0,0.666667,0,0,1,0
4,0,0,15,0,0,0.533333,6,4.533333,1,0
1,0,1,2,0,0,0.75,0,0,1,0
2,0,1,22,0.882353,3,0.170833,4,180.609756,2,0
2,0,4,3,1,0,0.666667,0,4,1,0
4,0,0,23,0,0,0.521739,0,4.521739,1,0
1,0,0,2,0,0,0.75,0,0,1,0
2,0,1,7,1,2,0.285714,0,77.222222,1,1
1,0,0,14,0,0,0.206349,0,0,1,0
1,0,0,2,0,0,0.333333,0,33,1,0
1,0,7,3,0.153846,1,0.31746,0,38.222222,17,0
1,0,7,18,0.070175,15,0.150725,0,52.574468,2,1
1,0,16,1,0,0,1,0,0,1,1
4,0,0,5,0,0,0.6,0,4.6,1,0
1,0,0,8,0,0,0.354167,0,0,1,0
3,0,1,1,0.5,0,0.555556,3,18,1,1
1,0,0,2,0,0,1,0,0,1,0
1,0,1,2,0,0,0.75,0,0,1,0
2,0,3,8,1,3,0.184524,0,98.214286,4,0
1,0,0,4,0,0,0.5,0,0,1,0
3,1,2,3,0,0,0.555556,4,3,1,0
4,0,1,1,0.5,0,0.555556,12,13,2,1
4,0,0,23,0,0,0.521739,6,4.521739,1,0
4,0,0,13,0,0,0.403846,6,4.615385,1,0
3,0,0,6,1,0,0.555556,1,7.166667,3,0
1,0,0,8,0,0,0.75,0,0,1,0
4,0,0,27,0,0,0.388889,0,4.592593,1,0
1,3,7,3,1,0,0.333333,0,36.6,1,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
1,0,0,2,0,0,0.75,0,0,1,0
1,0,0,18,0,0,0.5,0,0,1,0
2,0,6,7,0,1,0.314286,0,7.285714,1,0
4,0,0,7,0,0,0.571429,6,4.571429,1,0
1,0,6,3,0,0,0.416667,1,41.666667,7,0
1,0,6,6,0,2,0.5,1,13.333333,1,0
4,0,0,1,0,0,1,0,4,0,0
4,0,0,7,0,0,0.571429,0,5.142857,1,0
2,1,2,10,0.5,0,0.210227,8,68.882353,37,0
1,0,0,2,0,0,0.75,0,0,1,0
4,0,0,1,0,0,1,0,7,0,0
3,0,55,29,0.8,5,0.284848,4,28.617647,7,0
1,0,22,2,0,0,0.6,0,0,1,0
1,0,0,1,0,0,1,0,3,0,1
1,0,0,6,0,0,0.75,0,0,1,0
1,0,1,6,0,0,0.75,0,0,1,0
1,0,0,3,0,0,0.666667,0,0,1,0
1,0,0,15,0,0,0.488889,0,0,1,0
4,0,0,5,0,0,0.6,4,4.6,1,0
1,0,0,2,0,0,0.5,0,50,10,0
4,0,0,9,0,0,0.555556,1,4.777778,1,0
1,0,0,5,0,0,0.7,0,0,1,0
3,3,3,11,0.666667,1,0.480769,2,22.714286,6,0
1,0,3,6,0,0,0.375,0,0,1,0
1,0,0,38,0,0,0.355263,0,0,1,0
1,0,5,3,0,0,0.583333,0,0,1,0
1,0,57,26,0.916667,2,0.338889,0,68.9,9,0
2,0,1,2,1,0,0.184211,12,19.461538,12,1
2,0,0,4,0,0,0.583333,0,5.25,1,1
1,0,0,3,0,0,1,0,0,1,0
1,1,1,11,1,0,0.431818,0,8.090909,1,0
1,0,2,7,1,0,0.625,0,16.75,4,0
3,0,0,2,0,0,1,0,159,1,1
3,0,0,2,0,0,0.75,0,3.5,0,0
