@relation poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,0,4,0,2,0,0,0,0,0,0,0
1,0,3,1,3,2,0,0,0.833333,0,1.333333,0.6667,1
2,0,73,2,3,0.788462,0.75,0,0.314286,1,7.428571,0.8571,1
2,0,119,3,5,0.809524,0.857143,0,0.254386,1,14.578947,1,1
1,0,0,0,1,0,0,0,0.666667,0,16,1.6,0
1,1,2,3,0,1.272727,0.036364,0,0.5,0,184.75,1,0
2,0,394,5,6,0.883333,0.866667,5,0.218254,1,13.27027,1.1351,1
2,0,43,2,4,0.8,0.5,0,0.309091,1,8.090909,0.9091,1
2,0,35,0,5,0.8,0.5,0,0.309091,1,9.909091,0.9091,1
2,0,90,2,4,0.78125,0.833333,0,0.305882,1,12.294118,0.9412,1
2,1,25,2,13,0.6,1,0,0.227273,1,26.636364,0.9091,1
2,0,45,3,3,1.111111,0.333333,0,0.25,0,4.6,0.8,0
1,0,9,4,16,0.722222,1,0,0.166667,0,106.285714,2,1
1,0,1,5,0,2,0,0,0.75,0,0,1,0
1,0,0,7,1,2,0,0,1,0,0,1,0
2,0,108,3,9,0.796875,0,1,0.243697,1,29,3.3529,1
3,0,6,1,2,1.333333,0,0,0.5,1,3.25,0.25,1
1,4,6,4,1,2,0,0,0.666667,0,2.75,0.75,0
3,0,146,9,7,0.977891,0.238095,4,0.252874,1,16.103448,0.9655,1
1,0,0,9,0,2,0,0,1,0,0,1,0
2,0,36,3,4,1.125,0,0,0.311111,1,6.333333,0.8889,1
2,0,36,2,3,1.125,0,0,0.259259,0,5.666667,0.7778,0
1,0,9,4,3,0.25,1,0,0.522727,0,6.545455,0.6364,0
2,0,0,12,6,0.666667,0.5,0,0.269231,1,16.923077,1.3846,1
1,0,0,1,0,0,0,0,0.5,0,26.666667,0.6667,0
2,0,54,2,4,0.787879,0.666667,0,0.316667,1,8.916667,0.9167,1
1,19,85,29,58,1,0.25,0,0.1875,0,40.071429,1.9286,1
2,0,45,2,3,1.111111,0.333333,0,0.25,0,5,0.8,0
2,0,1374,5,11,0.957181,0.473684,0,0.162963,1,16.966667,1.4833,1
1,0,6,6,0,2,0,0,1,0,0,1,0
1,1,18,10,7,0.484848,1,0,0.366667,1,48.333333,2.3333,1
3,0,0,3,1,2,0,0,1,0,7,0,1
1,0,1,0,0,0.75,0,0,0.5,0,16,0.3333,1
1,0,4,1,6,0.333333,0,0,0.416667,0,19.25,1.25,0
2,0,33,2,7,0.833333,0.5,0,0.266667,1,13.6,1,1
2,0,33,2,4,0.833333,0,0,0.266667,1,9,1.1,1
2,0,4,3,8,0.683333,0,0,0.338462,1,12,1,0
2,0,39,2,4,0.925926,0.333333,0,0.32,1,7.9,0.9,1
2,1,21,2,4,0.85,0.75,0,0.257576,1,6.454545,0.8182,1
2,0,43,1,6,0.833333,0.666667,0,0.333333,1,15.8,1,1
1,0,15,1,0,2,0,0,0.291667,0,43,0.8333,0
2,0,91,1,7,0.848684,0.9375,9,0.216117,1,15.307692,0.9744,1
1,14,164,36,4,0.842105,1,0,0.2375,0,5.95,1.05,1
1,0,107,4,6,0.711538,0.833333,4,0.148148,0,17.851852,1.963,1
2,0,57,1,5,0.928571,0.333333,0,0.306667,1,13.4,0.9333,1
2,0,4,2,5,0.8,0.6,0,0.291667,1,16.25,0.625,0
5,0,1,0,3,2,0,0,0.875,0,15.5,0,0
1,0,0,3,1,2,0,0,1,0,0,1,0
2,0,74,1,5,0.7625,0.8,0,0.305882,1,14.529412,0.9412,1
2,1,20,3,19,0.821429,1,4,0.666667,1,31.875,0.875,1
1,0,1,2,11,0.794872,0,1,0.328571,0,12.357143,1,1
2,1,0,6,4,0.357143,1,0,0.375,1,33.25,1.625,1
3,0,8,2,5,0.785714,0.5,0,0.325,1,14.375,0.875,1
2,0,474,4,7,0.936343,0.625,4,0.190972,1,13.189189,1.027,1
2,0,234,5,5,0.747826,0.8,0,0.22619,1,14.041667,1.8333,1
1,0,107,37,0,0.382353,1,0,0.433333,0,8.333333,1.2222,0
2,0,0,0,0,0,1,0,0.32,1,7.5,0.9,0
2,0,79,4,4,0.857143,0.5,0,0.306667,1,14.866667,1.2667,1
2,0,0,1,7,0.703704,0.833333,4,0.254386,1,12.473684,0.9474,1
1,0,0,0,0,2,0,0,0,0,0,0,0
5,0,6,1,1,2,0,0,0.666667,0,4,0,0
1,0,105,6,1,1.071429,0,0,0.10303,0,21.466667,1.8667,1
2,0,45,2,3,1.111111,0.333333,0,0.25,0,5.4,0.8,1
2,0,253,1,1,2,0,0,0.669565,1,1.130435,0.9565,1
4,0,6,2,1,2,0,0,0.666667,0,4,0,0
2,0,36,1,3,1.125,0,0,0.259259,0,5.333333,0.7778,0
2,0,85,4,3,0.776471,0,0,0.355556,1,20.833333,1.5,1
2,1,0,1,1,2,0,0,1,0,3,0,0
2,0,44,1,5,0.75,0.666667,0,0.307692,1,11.923077,0.9231,1
5,0,6,3,1,2,0,0,0.666667,0,4,0,0
3,0,3,6,2,2,0,0,0.666667,1,8,0.3333,1
2,0,0,1,3,0.208333,0,0,0.212,1,38.6,3.8,0
2,0,10,1,4,2,0,0,0.5,0,5.4,0.8,0
3,0,55,4,7,1.1,0.333333,0,0.454545,2,17.545455,1.5455,1
2,0,0,3,5,0.694444,0.666667,2,0.182222,1,6.12,1.12,1
2,0,0,9,3,0.642857,1,1,0.25641,1,19.307692,0.9231,0
3,0,10,1,3,1.25,0,0,0.36,2,7.2,0.6,0
1,0,15,2,12,0.644444,1,0,0.180556,0,71.7,2,1
1,0,0,6,1,0.984848,0.111111,1,0.253623,0,5.478261,0.9565,1
2,0,42,1,4,0.787879,0.333333,0,0.22619,1,13.916667,1.1667,1
3,0,1,1,2,2,0,0,0.625,0,4.5,0,0
1,0,53,1,2,1.033333,1,0,0.157143,0,20.636364,1.6364,1
2,0,35,2,4,0.8,0.5,0,0.257576,1,9.090909,1.0909,1
2,0,14,5,2,0.785714,0,0,0.325,0,7.625,1,0
3,0,0,2,3,1.142857,0.5,0,0.270833,1,18,0.625,0
3,0,13,1,3,1.2,0,0,0.333333,2,31.166667,0.6667,0
3,0,6,1,2,1.333333,0,0,0.625,1,2.75,0.5,0
1,0,158,1,1,0.75,0,1,0.175,0,11.9,1.1,1
3,0,0,0,0,0.5,0.5,0,0.075456,2,32.988235,0.9882,0
1,2,3,13,1,0.333333,1,0,0.34,0,5.8,1,1
2,0,94,2,4,0.7625,0.8,0,0.305882,1,10.882353,0.9412,1
1,0,78,2,1,0.533333,1,0,0.291667,0,9.5,1.625,0
3,0,15,2,3,1.2,0,0,0.333333,1,4,0.6667,0
1,0,100,4,41,0.926471,0.470588,4,0.129167,0,33.707692,2.3077,1
2,0,442,3,6,0.895833,0.9375,6,0.25463,1,11.675676,0.9459,1
2,0,179,3,6,0.836,0.9,3,0.253333,1,11.653846,0.9231,1
2,0,0,2,6,0.821429,1,6,0.583333,1,38.5,1.375,0
2,0,39,2,4,0.851852,0.333333,0,0.228571,1,6.2,0.7,1
1,0,0,3,0,0,0,0,0.666667,0,9.333333,0.6667,0
2,0,436,7,9,0.857143,0.928571,3,0.137592,1,20.513514,1.8649,1
1,0,21,1,3,0.533333,1,0,0.454545,0,6.909091,0.6364,0
3,0,3130,0,3,0.830357,1,2,0.079561,2,10.08642,1.1975,1
2,0,43,2,4,0.8,0.5,0,0.309091,1,8.090909,0.9091,1
2,0,35,0,5,0.8,0.5,0,0.309091,1,9.909091,0.9091,1
1,0,0,1,2,0,0,0,0.75,0,42,0.5,0
1,0,6,5,2,2,0,0,0.666667,0,0,1,1
1,134,66,154,1,2,0,0,0.283333,0,4.25,0.8333,1
2,0,95,1,5,0.87037,0.555556,0,0.305263,1,15.421053,0.9474,1
2,0,52,1,3,0.872727,0.6,0,0.316667,1,8.916667,0.8333,0
2,0,39,2,4,0.925926,0.333333,0,0.32,1,7.9,0.9,1
1,0,6,3,0,2,0,0,0.75,0,0,1,0
1,0,0,0,9,0,1,1,0.5625,0,114.25,2,1
4,0,3,147,0,2,0,0,0.777778,0,4.333333,0,0
2,1,15,3,4,2,0,0,0.333333,1,10.166667,0.6667,0
2,0,28,2,4,1.142857,0,0,0.325,1,6.375,0.875,1
2,0,38,4,8,0.822917,0.666667,1,0.27451,1,23.411765,1.1765,1
1,0,0,10,0,0.25,1,0,0.311111,1,31.444444,1.8889,0
2,0,282,1,5,0.669643,0,0,0.232759,1,23.344828,2.2069,1
1,3,290,13,6,0.962649,1,16,0.175781,0,20.6875,1.1563,1
2,0,25,3,4,0.8,0.5,0,0.309091,1,9.818182,0.9091,1
2,0,2,2,6,0.666667,0.166667,1,0.259259,1,19.444444,0.8889,0
2,0,28,1,5,0.636364,1,0,0.246753,1,28.166667,1.3333,1
1,0,0,1,0,1.125,0.25,0,0.583333,0,5.25,0.5,1
2,0,43,2,4,0.95,0.25,0,0.309091,1,8.090909,0.9091,1
2,2,27,3,7,0.776224,0.909091,0,0.27381,1,40.642857,2.4286,1
2,0,55,3,5,0.757143,0.8,0,0.2,1,14.666667,1.3333,1
2,0,35,2,4,0.8,0.5,0,0.257576,1,9,1.0909,1
1,0,15,7,1,2,0,0,0.583333,0,0,1,0
1,0,1,1,3,0.5,1,1,0.466667,0,9.333333,1,0
3,0,5,2,4,0.904762,1,0,0.4,1,27.733333,1.5333,1
6,0,0,1,1,2,0,0,1,0,5,0,0
2,0,35,2,5,0.8,0.5,0,0.257576,1,8.545455,0.9091,1
2,0,35,3,5,0.730769,0.5,0,0.342857,1,22.785714,1.3571,1
2,0,33,2,4,0.833333,0.5,0,0.266667,1,9,1.1,1
2,0,11,1,12,0.8,1,2,0.541667,1,27.5,1.1667,1
1,0,36,1,8,2,0,0,0.296296,0,396.888889,1.3333,1
2,0,28,1,4,1.142857,0,0,0.325,1,6.375,0.875,1
1,0,24,6,2,0.863636,1,0,0.214286,0,25.25,1.25,1
2,4,69,6,9,0.698413,1,0,0.238095,1,18.590909,1.3636,1
3,0,0,3,6,0.916667,0.5,0,0.30303,1,20.363636,0.9091,1
2,0,52,2,5,0.722222,0.666667,0,0.269231,1,14.615385,1.1538,1
1,0,102,71,0,0.355556,0.666667,0,0.18,0,48.4375,1.875,1
2,0,15,3,4,0.777778,0.5,0,0.34,1,11.3,1.2,1
2,0,64,3,3,0.85,0.8,0,0.307692,1,11.846154,1.0769,1
1,0,1,1,1,0.75,1,0,0.5,0,38.666667,2.6667,1
2,0,149,3,5,0.860947,0.846154,0,0.265432,1,18.444444,1.2593,1
4,0,9,5,6,0.75,1,2,0.181818,1,12.090909,1.4545,1
2,0,221,3,6,0.90404,0.444444,0,0.21118,1,15.043478,1.5217,1
3,0,36,8,4,1.125,0,0,0.311111,1,6.666667,0.8889,1
2,2,102,3,3,0.933333,0.75,1,0.190476,0,616.375,1.1875,1
2,0,11,1,6,0.85,0.5,0,0.38,1,20.636364,0.9091,1
1,0,0,4,3,0.357143,0,1,0.375,0,29,1.875,0
2,0,55,2,4,1.1,0,0,0.220779,0,7.454545,0.8182,0
1,0,20,2,0,0.625,1,0,0.301587,0,31,2.4444,1
2,0,73,3,5,0.861538,0.8,0,0.314286,1,12.357143,1.0714,1
5,0,0,1,0,2,0,0,1,0,4,0,0
2,0,0,10,8,0.757576,0.333333,0,0.277778,1,21.166667,1.25,1
2,0,35,1,5,1,0.166667,0,0.309091,1,9.909091,0.9091,1
2,2,96,4,5,0.755556,0.5,0,0.325,1,27.1875,1.6875,1
1,0,0,0,0,2,0,0,1,0,3,0,0
2,0,5,2,3,0.740741,1,0,0.228571,1,21,1.2,0
1,0,1,1,9,2,0,0,0.625,0,82,5.5,1
2,0,25,1,4,0.888889,0.666667,0,0.3,1,7,0.8,1
2,0,36,2,3,1.125,0,0,0.259259,0,5.666667,0.7778,0
1,0,4,1,1,0.333333,1,0,0.466667,0,35.25,1.25,0
2,0,35,2,5,0.8,0.5,0,0.257576,1,8.545455,0.9091,0
2,0,65,2,10,0.912587,0.384615,3,0.220779,2,15.217391,1.3913,1
2,0,9,5,2,0.5,1,1,0.342857,0,5.714286,0.7143,0
1,0,0,2,1,0.923684,0,1,0.302564,0,4.74359,1.0256,0
2,0,4,0,1,0.666667,1,0,0.5,1,9.75,1.25,1
2,0,4,3,0,0.428571,1,0,0.425,1,9.875,0.875,1
2,0,54,4,2,0.924242,1,1,0.3125,1,17,1.3333,1
2,0,326,2,7,0.940217,0.565217,1,0.200758,1,19.030303,1.303,1
3,0,312,0,7,0.891705,0.928571,0,0.265625,1,17.75,0.9688,1
1,0,0,1,0,2,0,0,0,0,0,0,0
2,0,54,2,4,0.787879,0.666667,0,0.263889,1,8.916667,0.9167,1
2,0,55,4,5,0.753846,0.8,0,0.214286,1,17.071429,1.6429,1
2,0,53,5,5,0.714286,0.75,0,0.209524,1,12.666667,1.2667,1
3,0,15,2,3,1.2,0,0,0.333333,0,4,0.6667,0
2,21,10,23,1,1.25,0,0,0.6,0,1,0.8,0
1,0,15,1,8,2,0,0,0.533333,0,20.333333,0.8333,1
2,0,28,1,4,1.142857,0,0,0.325,1,6.375,0.875,1
1,0,198,1,1,0.841751,1,0,0.383929,0,12.464286,1.75,1
2,0,148,4,4,0.944118,0.352941,0,0.304762,1,11.809524,0.9524,1
2,0,616,4,6,0.9,0.95,8,0.215805,1,12.479167,0.9583,1
3,0,1,3,3,1.357143,0,0,0.5,0,5,0.6667,1
2,0,35,1,5,0.8,0.5,0,0.309091,1,9.909091,0.9091,1
2,0,43,2,4,0.98,0.2,0,0.309091,1,8.090909,0.9091,1
2,0,35,3,4,0.8,0.5,0,0.257576,1,9.090909,1.0909,1
1,0,6,1,2,2,0,0,0.583333,0,0,1,0
1,0,0,3,2,0.666667,1,2,0.4375,0,5.25,0.75,0
2,0,116,5,11,0.507246,1,0,0.160256,1,31.416667,1.4167,0
2,0,55,4,5,0.753846,0.8,0,0.214286,1,17.142857,1.6429,1
1,0,0,0,1,0,0,0,0.916667,0,16.833333,1.8333,0
1,0,0,2,5,0,1,1,0.541667,0,28,2.5,1
1,0,0,2,9,0.566667,1,1,0.272727,0,17.818182,1.0909,1
2,0,33,2,4,0.833333,0.5,0,0.32,1,7.9,0.9,1
2,0,44,3,5,0.75,0.666667,0,0.307692,1,11.923077,0.9231,1
2,0,234,6,5,0.747826,0.8,0,0.197917,1,14,1.8333,1
1,1,4,3,8,0.833333,1,0,0.416667,0,52,3,1
1,0,3,4,2,2,0,0,0.75,0,1.666667,0.6667,1
2,0,36,1,4,1.125,0,0,0.311111,1,6.777778,0.8889,1
3,0,9,2,2,0.166667,1,0,0.428571,1,11,1.4286,0
2,0,43,1,6,0.833333,0.666667,0,0.333333,1,15.466667,1,1
2,0,95,1,5,0.847222,0.625,0,0.305263,1,15.421053,0.9474,1
2,0,39,2,4,0.833333,0.5,0,0.32,1,7.9,0.9,1
2,0,33,2,4,0.833333,0.5,0,0.266667,1,8.9,1.1,1
1,0,0,1,4,0.125,0,0,0.259259,0,14.333333,1.1111,0
1,0,34,6,0,0.690909,1,0,0.375,0,27.416667,1.5833,1
1,0,0,7,5,0.583333,0.75,3,0.19697,0,12.772727,1.5,1
1,0,36,4,6,2,0,0,0.25,0,21.666667,0.8889,0
1,0,252,11,8,0.742857,0.888889,3,0.16,1,45.944444,4.1667,1
2,0,39,2,4,0.851852,0.333333,0,0.228571,1,6.2,0.7,1
3,0,10,2,2,1.25,0,0,0.4,1,9.2,0.4,0
3,0,3,1,2,1.5,0,0,0.666667,1,29.333333,1,0
1,0,0,0,0,2,0,0,0,0,0,0,0
2,0,24,1,4,0.875,0.5,0,0.311111,1,9.555556,0.8889,1
3,0,1275,1,10,1.02,0,0,0.193277,0,10.039216,1.1765,0
3,0,3,1,2,1.5,0,0,0.666667,1,29.333333,1,0
1,1,127,8,7,0.754902,1,2,0.25,1,38.333333,2.4444,1
2,0,123,2,5,0.777778,0.833333,0,0.218045,1,15.526316,1.6316,1
2,0,9,1,3,0.944444,0.666667,0,0.314286,1,8.428571,1.8571,0
2,3,0,9,4,0.142857,1,0,0.375,1,14,1.25,1
1,0,2,3,2,0.75,1,2,0.36,0,5.4,0.8,0
3,0,0,2,5,0.6875,0.5,0,0.311111,1,15.444444,1,1
1,0,4,6,2,0.333333,1,0,0.333333,0,12.5,0.75,0
2,0,3119,5,6,0.980995,0.483146,34,0.251773,1,12.494737,1,1
2,0,36,2,3,1.125,0,0,0.259259,0,5.666667,0.7778,1
5,0,6,2,1,2,0,0,0.666667,0,4,0,0
2,2,0,10,2,1.25,0,0,0.5,0,5,0.6667,0
1,3,84,15,3,0.994048,0,2,0.317647,0,6.705882,1.1176,1
1,1,273,5,11,0.82,0.5,1,0.288,1,19.884615,1.3077,0
2,0,95,2,5,0.888889,0.5,0,0.305263,1,15.421053,0.9474,1
1,0,0,0,0,0,0,0,0.666667,0,16,1.6,0
3,1,41,7,4,0.916667,0,1,0.327273,0,4.454545,0.9091,1
1,0,7059,5,60,0.940894,0.722222,19,0.077239,0,27.671642,2.3507,1
2,0,33,2,4,0.833333,0.5,0,0.266667,1,8.9,1.1,1
2,0,350,1,7,0.867647,0.941176,4,0.216216,1,18.513514,0.973,1
2,0,181,2,7,0.877273,0.7,1,0.223602,1,15.434783,1.3478,1
2,1,187,5,9,0.747475,0.888889,2,0.173203,2,19.323529,1.4118,1
2,0,141,3,6,0.859195,0.916667,9,0.216749,1,11,0.9333,1
2,0,51,5,4,0.852941,0.625,0,0.259259,1,15.222222,0.9444,1
2,0,189,1,7,0.914322,0.565217,6,0.216327,1,16.485714,0.9714,1
2,0,35,1,5,0.98,0.2,0,0.309091,1,9.909091,0.9091,1
1,0,0,1,2,0,1,1,0.6,0,22,2.5,0
2,0,25,1,4,0.75,0.5,0,0.257576,1,10.090909,0.9091,1
1,0,0,21,1,2,0,0,1,0,0,1,1
1,0,106,9,28,0.354167,1,2,0.144796,0,25.941176,1.1176,1
2,0,94,3,14,0.649123,1,2,0.154545,1,15.2,1.15,0
1,0,6,0,0,2,0,0,0.25,0,79.75,0.75,0
1,0,0,10,1,0.611111,0.5,0,0.45,1,34.7,2,0
1,0,0,6,1,2,0,0,1,0,0,1,0
2,0,75,1,7,0.772727,0.875,3,0.253623,1,14.913043,0.9565,1
1,0,0,1,1,0.222222,1,1,0.4375,1,30.5,2.5,0
2,0,35,1,5,0.8,0.5,0,0.309091,1,9.909091,0.9091,1
