@relation 'synapse-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,16-17'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,66,0.666667,0.5,0,0,0.25,32.538462,19,2.7692,0
2,0,8,0.916667,0.666667,0,0.25,0.416667,14.6,3,1,0
3,0,4,0.666667,1,0,0.6,0.666667,6.25,1,0.5,0
1,0,0,0.25,0,0,0,0.6,24.4,5,3,0
1,0,0,2,0,0,0,0,6,0,0,0
1,0,24,0.885714,0.8,0,0,0.261905,28.75,2,1.125,0
1,0,0,2,0,0,0,1,0,1,1,0
2,0,13,0.866667,0.333333,0,0.6,0.4,14.833333,4,1.3333,0
1,0,172,0.824885,0.714286,1,0,0.225806,16.3125,8,1.875,0
2,0,43,0.873016,0.666667,0,0.315789,0.22449,29,23,2.6667,1
3,0,11,0.866667,0.666667,0,0.428571,0.466667,32.833333,9,2.8333,0
1,0,1,2,0,0,0,0.75,0,1,1,0
2,0,6,0.8,0.8,0,0.25,0.416667,39.2,5,1.4,0
2,7,8,0.75,0.5,0,0.666667,0.3125,13.2,3,1,0
3,0,13,1.04,0.8,0,0.75,0.4,10.166667,1,0.6667,0
1,11,1,2,0,0,0,0.666667,17,5,2.5,0
1,0,4,0.666667,1,1,0,0.5,6.75,2,0.75,0
1,0,6,2,0,0,0,0.666667,0,1,1,0
1,0,0,0,1,0,0,0.75,37,4,2,0
2,0,1,0.75,0.75,1,0.6,0.35,29.166667,12,2.5,0
2,0,6,0.833333,0.666667,0,0.25,0.416667,41.6,14,3.2,1
1,1,4,0.833333,0.5,0,0,0.444444,46.5,1,0.5,0
1,0,13,0.7,0.5,0,0,0.28,19.166667,8,1.8333,0
3,0,76,0.868056,0.888889,0,0.482759,0.3,20.647059,24,2.2353,0
1,0,11,0.7,0.2,0,0,0.266667,23.285714,4,1.2857,0
2,0,4,0.777778,0.666667,0,0.75,0.444444,16,5,1.5,0
3,0,13,0.866667,0.333333,0,0.692308,0.4,13,3,1.1667,0
1,0,1081,2,0,0,0,0.139265,0,1,1,0
2,7,0,0.703704,0.666667,0,0.428571,0.277778,11,2,0.9,0
2,0,63,0.830357,0.875,2,0.235294,0.255102,18.133333,12,2,1
2,0,1,0.733333,0.666667,1,0.5,0.4,7.666667,1,0.6667,0
1,0,30,0.9375,0.75,0,0,0.267857,29,2,0.8889,0
5,0,3,2,0,0,0.989691,0.5,5,1,0.3333,0
1,0,1,2,0,0,0,0.666667,0,1,1,0
1,0,0,0.25,1,0,0,0.6,56.2,9,4.2,0
2,0,6,0.833333,0.666667,0,0.25,0.416667,19.6,2,0.8,0
2,0,13,0.866667,0.333333,0,0.6,0.4,27.333333,8,2,0
2,0,13,0.866667,0.333333,0,0.6,0.4,20.166667,8,2,0
2,0,213,0.887363,0.714286,0,0.193548,0.196154,20.555556,11,2.3704,1
3,0,4,0.777778,0.666667,0,0.875,0.444444,24.5,7,2,0
1,0,15,2,0,0,0,0.5,23.333333,4,2.3333,0
1,0,257,0.956923,0.615385,1,0,0.194286,6.038462,3,1.2692,0
3,0,13,0.866667,0.333333,0,0.692308,0.4,22.166667,5,1.5,0
1,11,0,0.5,1,0,0,0.52381,9.142857,4,1.4286,0
1,0,322,0.928571,1,0,0,0.296552,4.931034,1,0.9655,0
1,0,7,0.733333,0.666667,0,0,0.35,54.5,18,4,1
3,0,17,0.888889,0.333333,0,0.642857,0.366667,31.142857,10,2.8571,0
1,0,0,2,0,0,0,1,0,1,1,0
2,0,8,1.107143,0.857143,0,0.25,0.416667,20.8,7,1.8,0
1,0,28,0.75,0.666667,1,0,0.232143,59.222222,25,5.2222,0
2,7,4,0.833333,0.5,0,0.333333,0.333333,16.25,3,1,0
1,0,33,0.666667,0.5,0,0,0.222222,25.2,4,1.4,0
2,0,6,0.833333,0.666667,0,0.25,0.416667,56.2,19,4.2,0
1,0,16,0.625,0.875,0,0,0.514286,17.75,5,1.75,0
2,0,13,0.866667,0.333333,0,0.6,0.4,20,6,1.6667,0
1,0,26,0.928571,0.428571,0,0,0.375,6,1,0.7778,0
1,0,87,0.852941,1,0,0,0.361111,9.666667,1,0.9444,0
1,0,1,2,0,0,0,0.5,30.5,7,3.5,0
2,0,2,0.75,0.75,0,0.4,0.5,96.4,1,0.6,0
1,0,30,0.833333,0.857143,2,0,0.366667,13.615385,5,1.4615,0
1,0,1,1,0,0,0,1,4,0,0,0
1,0,7,0.918182,0.181818,1,0,0.28,44.727273,5,1.5455,0
1,0,13,0.8,0.5,0,0,0.2,41.5,6,1.5,1
1,0,3,0.666667,0.666667,1,0,0.261905,37.857143,22,3.7143,1
3,0,17,0.733333,0.833333,0,0.608696,0.3,22.727273,8,1.9091,0
1,0,1,2,0,0,0,0.75,0,1,1,0
1,0,15,2,0,0,0,0.458333,0,1,1,0
2,0,13,0.866667,0.333333,0,0.6,0.4,12.333333,3,1.1667,0
1,0,0,0,1,0,0,1,5.333333,1,0.6667,0
4,0,3,1.5,1,0,1,0.777778,4.333333,0,0,0
1,0,5,0.75,0.75,2,0,0.2,9.166667,1,0.6667,0
1,3,10,2,0,0,0,0.45,16.6,5,2,0
1,0,9,0.666667,1,0,0,0.475,14.4,2,1.2,0
1,0,1,2,0,0,0,0.5,44.5,7,3.5,0
2,0,13,0.866667,0.333333,0,0.6,0.4,25.333333,9,2.1667,0
1,0,0,2,0,0,0,0,49,0,0,0
2,0,1,2,0,0,0.875,0.75,9,1,0.5,0
1,0,0,0,1,0,0,0.75,19.5,3,1.5,0
3,0,4,0.666667,1,0,0.6,0.666667,6.25,1,0.5,0
1,0,30,0.90625,0.75,2,0,0.25,22.555556,6,1.3333,1
1,0,22,0.8125,1,2,0,0.288889,6.888889,4,1.2222,0
1,0,28,0.791667,0.666667,1,0,0.232143,22,6,1.5556,0
1,0,16,0.8125,0.75,1,0,0.3,9,2,1,0
3,0,6,0.833333,0.666667,0,0.5,0.416667,44,10,2.4,0
1,0,0,0.25,1,0,0,0.6,23.6,5,3,0
2,0,13,1,0.6,0,0.6,0.4,40.5,12,2.6667,0
1,0,6,0.75,0.8,0,0,0.3125,102.4,30,6.4,0
1,0,0,0.25,1,0,0,0.6,27.4,5,3,0
1,0,19,0.666667,0.5,0,0,0.458333,25.428571,10,2,0
2,0,11,0.796296,0.833333,1,0.428571,0.288889,21.1,12,1.9,0
2,0,103,0.909091,0.909091,0,0.272727,0.294118,23.888889,13,2.0556,0
1,0,13,0.7,0.5,0,0,0.3,22.166667,6,1.6667,0
1,0,3,0.916667,0.181818,1,0,0.333333,50.571429,3,1.1429,0
2,0,52,0.848485,0.666667,0,0.375,0.363636,47.833333,8,2.25,0
1,0,7,0.8,0.666667,0,0,0.32,54.333333,15,4.1667,0
1,0,9,0.8,0.5,0,0,0.333333,17.5,1,0.6667,0
1,0,15,2,0,0,0,0.361111,4.833333,1,0.8333,0
2,0,6,0.833333,0.666667,0,0.25,0.416667,43.2,13,3,0
1,0,6,0.75,0.666667,0,0,0.5,37,8,2,0
2,0,7,0.759259,0.666667,0,0.428571,0.222222,29.6,6,1.8,0
1,0,28,0.833333,0.666667,1,0,0.232143,17.666667,5,1.4444,0
1,0,6,2,0,0,0,0.7,0,1,1,0
1,0,8,0.875,0.5,0,0,0.35,19.2,4,1.2,0
2,0,7,0.777778,0.666667,0,0.166667,0.416667,16.857143,3,1,0
1,0,6,0.75,0.8,0,0,0.3125,27,6,1.6,0
1,0,10,2,0,0,0,0.45,0,1,1,1
1,0,39,0.833333,0.5,0,0,0.190476,59.2,6,2.2,1
3,0,8,0.833333,0.666667,0,0.823529,0.5,17,6,1.8,0
1,0,1,2,0,0,0,0.5,15.5,3,1.5,0
1,0,11,0.622222,1,2,0,0.316667,15.4,7,1.9,0
3,0,8,0.75,0.5,0,0.75,0.3125,10.8,2,0.8,0
1,0,28,2,0,0,0,1,0,1,1,0
3,0,7,0.809524,0.857143,0,0.375,0.416667,27,9,1.8571,0
3,0,13,0.866667,0.333333,0,0.692308,0.4,22,6,1.6667,0
2,0,47,0.885714,0.7,0,0.315789,0.3,30.266667,27,2.6,1
1,0,4,0.833333,0.5,0,0,0.333333,44.75,11,3,0
1,0,28,0.75,0.666667,1,0,0.25,50.333333,30,4.5556,1
1,0,21,2,0,0,0,0.428571,0,1,1,0
1,0,35,0.74359,1,2,0,0.255102,10.357143,5,1.5714,0
1,0,6,0.75,0.8,0,0,0.3125,22,4,1.2,0
1,0,0,0,1,0,0,0.75,49.5,6,3,0
1,0,4,0.65,0.8,0,0,0.25,37.6,5,2,0
1,0,490,0.898305,0.909091,2,0,0.103955,13.266667,10,1.4667,1
3,0,56,0.848485,0.909091,1,0.5,0.257143,35.5,9,2.125,0
1,0,6,2,0,0,0,0.5,0,1,1,0
3,0,6,1,0.5,0,0.6,0.333333,8.25,1,0.5,0
3,0,13,0.866667,0.333333,0,0.692308,0.4,13,3,1.1667,0
2,0,13,0.866667,0.333333,0,0.6,0.4,26.333333,11,2.5,0
1,0,28,2,0,0,0,0.4375,0,1,1,0
1,0,0,0.25,1,0,0,0.555556,23.666667,4,1.6667,0
1,0,1269,0.959469,0.925926,4,0,0.119013,13.425926,23,1.3704,0
3,0,13,0.866667,0.333333,0,0.692308,0.4,13,3,1.1667,0
2,0,13,0.866667,0.333333,0,0.6,0.4,30.166667,10,2.3333,0
1,0,9,0.833333,0.75,0,0,0.361111,73.714286,20,4.2857,1
