@relation PC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R2

@attribute ev(g) numeric
@attribute L numeric
@attribute I numeric
@attribute T numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute defects {false,true}

@data
1,0.11,40.56,178.05,5,3,3,10,false
1,0.07,50.26,599.82,0,9,1,19,false
1,0.06,38.3,587.35,16,3,17,16,false
1,0.21,30.56,36.98,12,0,8,8,false
1,0.27,11.52,9,1,1,2,6,false
1,0.14,27.5,73.23,18,0,11,12,false
1,0.21,30.56,36.98,12,0,8,8,false
1,0.27,11.52,9,1,1,2,6,false
1,0.11,26.65,124.4,15,0,12,11,false
1,0.06,58.18,772.02,13,0,12,15,false
1,0.08,45.16,378.73,1,0,4,12,false
1,0.14,21.14,57.56,2,1,3,8,false
1,0.16,27.56,62.22,3,0,1,9,false
1,0.09,25.55,176.59,0,0,0,10,false
1,0.22,48.53,53.73,0,0,0,5,false
4,0.04,15.74,596.81,1,1,4,19,false
3,0.08,19.41,177.62,0,0,1,14,false
4,0.06,34.52,541.31,0,2,9,21,false
1,0.08,38.84,356.71,10,0,22,12,false
1,0.05,15.86,352.54,4,2,6,16,false
1,0.11,75.95,325.85,9,1,14,10,false
5,0.09,43.77,310.92,1,7,2,14,false
1,0.04,17.63,602.92,1,3,5,15,false
1,0.24,27.25,26.7,9,0,6,7,false
1,0.19,10.76,16.47,0,2,2,6,false
1,0.16,21.55,44.71,13,0,9,10,false
1,0.24,27.25,26.7,9,0,6,7,false
1,0.19,10.76,16.47,0,2,2,6,false
1,0.16,19.35,41.99,12,0,12,10,false
1,0.1,50.85,271.56,4,0,13,11,false
1,0.06,37.91,605.76,8,0,19,16,false
4,0.02,41.25,3721.5,35,2,19,26,false
1,0.33,19.12,9.56,0,0,2,6,false
1,0.19,8.57,13.12,0,0,0,7,false
1,0.17,7.4,14,1,0,0,7,false
1,0.15,38.09,89.41,0,0,1,8,false
1,0.04,8.55,260.2,0,0,1,13,false
4,0.03,14.99,753.47,0,0,2,19,false
1,0.22,23.69,26.65,5,3,6,6,false
3,0.07,26.25,269.28,6,4,10,14,false
1,0.32,12.17,6.6,1,0,2,5,false
1,0.32,12.17,6.6,1,0,2,5,false
1,0.14,27.5,73.23,18,0,11,12,false
4,0.06,32.24,438.82,0,2,8,20,false
3,0.13,19.66,66.08,4,0,3,10,false
1,0.33,15.5,7.75,0,2,0,5,false
4,0.03,42.11,3234.93,38,2,19,25,false
1,0.09,25.67,175.32,0,1,0,13,false
6,0.04,28.4,1211.17,0,0,2,19,false
1,0.33,13.29,6.64,0,0,0,6,false
9,0.04,68.52,1906.47,8,0,42,25,false
1,0.06,143.69,2286.26,16,10,10,16,false
9,0.06,88.97,1249.28,15,0,18,17,false
1,0.05,135.85,2939.92,5,7,10,15,false
3,0.06,45.07,759.53,8,4,21,22,false
1,0.23,11.59,12.33,0,2,2,5,false
1,0.23,11.59,12.33,0,2,2,5,false
1,0.16,21.55,44.71,13,0,9,10,false
1,0.08,15.98,133.84,5,0,7,13,false
8,0.02,63.2,6442.72,6,1,30,46,false
1,0.06,37.27,540.32,1,0,9,20,false
3,0.02,15.29,1585.95,0,0,0,17,false
1,0.08,45.44,426.64,0,0,1,13,false
1,0.09,25.27,182.23,0,0,2,11,false
1,0.25,9.51,8.45,0,0,0,6,false
1,0,0,0,0,0,0,1,false
4,0.13,19.97,65.76,0,0,3,11,false
9,0.08,39,348.11,3,0,11,13,false
5,0.09,28.03,181.01,3,0,0,15,false
1,0.06,93.12,1226.87,21,0,48,14,false
1,0.06,85.96,1520.93,21,1,48,16,false
1,0.15,164.89,432.99,50,2,27,11,false
1,0.24,14.5,13.43,0,0,1,7,false
1,0.25,13.47,11.98,0,0,1,6,false
1,0.22,21.33,24,3,1,4,8,false
4,0.05,53.64,1069.78,13,2,8,18,false
1,0.25,8.72,7.75,0,0,0,6,false
1,0.05,41.3,783.84,0,0,1,16,false
1,0.16,22.15,50.41,0,0,1,8,false
1,0.25,9.51,8.45,0,0,0,6,false
22,0.02,50.98,6059.65,7,0,8,32,false
1,0.03,48.28,2619.45,3,0,17,25,false
1,0.03,35.84,2978.5,16,2,14,22,false
1,0.21,62.78,76.64,1,0,2,5,false
1,0.17,11.42,22.84,1,0,2,8,false
5,0.09,30.08,222.13,4,0,0,14,false
1,0.06,34.89,583.68,10,0,6,17,false
1,0.06,34.89,583.68,10,0,6,17,false
1,0.11,20.73,87.73,7,0,5,12,false
1,0.5,46.26,10.28,0,0,2,4,false
3,0.04,34.18,1487.1,25,2,23,23,false
1,0.25,20.76,18.46,0,0,1,4,false
1,0.08,32.46,304.77,1,0,2,12,false
1,0.04,35.76,1204.28,7,0,14,21,false
3,0.07,16.41,205.1,5,0,9,15,false
6,0.06,20,293.47,0,0,1,13,false
1,0.25,9.51,8.45,0,0,0,6,false
1,0.04,40.52,1643.12,5,0,4,19,false
3,0.04,64.45,2102.67,5,0,18,24,false
1,0.12,32.81,125.73,1,2,3,13,false
4,0.06,27.09,361.52,0,2,7,19,false
1,0.27,45.65,33.86,3,2,2,5,false
1,0.23,50.67,52.35,15,2,9,6,false
1,0.07,27.2,272.67,7,0,10,13,false
5,0.05,44.17,937.95,12,15,15,21,false
1,0.31,16.84,9.58,0,0,0,4,false
1,0.32,11.16,6.05,0,0,0,5,false
1,0.05,5.29,138.08,0,0,2,10,false
1,0.25,9.51,8.45,0,0,0,6,false
4,0.04,19.75,621.44,0,3,2,17,false
3,0.04,69.56,2684.56,7,0,19,24,false
1,0.04,34.97,1311.58,7,1,21,23,false
1,0.28,14.41,10.38,0,0,3,6,false
1,0.29,9.06,6.16,0,0,0,7,false
1,0.16,18.01,39.09,0,0,2,10,false
1,0.03,44.52,2781.61,3,0,16,25,false
1,0.18,19.64,33,1,0,4,8,false
1,0.25,23.5,20.89,3,0,2,8,false
1,0.21,8.54,10.33,0,0,0,7,false
6,0.02,106.19,11414.13,37,2,31,19,false
1,0.18,13.67,24.81,0,0,1,8,false
3,0.1,35.44,193.16,2,0,2,13,false
1,0.33,13.29,6.64,0,0,0,6,false
1,0.17,22.33,44.66,0,0,1,10,false
6,0.02,83.64,9409.14,9,0,25,30,false
1,0.5,62,13.78,0,0,1,4,false
1,0.09,22.11,137.4,3,2,6,11,false
1,0.21,8.54,10.33,0,0,2,7,false
3,0.12,16.48,62.3,4,0,4,11,false
3,0.03,67.22,3638.3,5,0,19,28,false
1,0.25,17.92,15.93,2,0,2,6,false
1,0.09,15.83,106.43,1,1,5,11,false
1,0.05,66.5,1438.36,29,11,24,19,false
1,0.4,8.98,3.12,0,0,0,5,false
1,0.06,19.82,281.84,0,0,1,16,false
3,0.2,19.38,27.59,1,0,1,9,false
1,0.1,11.6,64.44,0,0,2,10,false
3,0.04,21.9,726.94,0,0,6,20,false
17,0.02,95.85,10653.28,7,12,101,34,false
1,0.14,23.29,64.93,2,0,4,10,false
1,0.5,9.83,2.18,0,1,1,4,false
1,0.06,87.22,1467.05,27,0,12,15,false
1,0.29,9.06,6.16,0,0,0,7,false
3,0.04,81.98,2974.33,8,0,19,23,false
1,0.07,38.89,419.2,0,0,4,20,false
1,0.14,39.87,105.45,7,2,5,9,false
1,0.11,46,209.18,2,0,8,10,false
1,0.01,83.06,35352.71,24,42,62,29,false
1,0.04,39.25,1352.03,3,0,5,18,false
8,0.05,23.36,437.18,1,0,1,16,false
1,0.14,26.51,74.76,0,0,1,9,false
17,0.02,59.99,9479.87,0,2,12,40,false
1,0.04,52.55,1916.8,0,0,24,31,false
1,0.1,32.45,178.41,1,0,3,14,false
1,0.67,40.15,5.02,0,0,1,3,false
3,0.03,55.79,2999.82,7,0,18,28,false
1,0.07,120.16,1523.81,8,2,13,15,false
1,0.06,87.22,1467.05,27,0,11,15,false
1,0.03,43.51,3813.38,3,2,16,28,false
1,0.21,8.54,10.33,0,0,2,7,false
3,0.04,79.08,3322.57,7,0,20,25,false
1,0.13,10.92,37.47,0,0,4,10,false
7,0.04,90.99,3639.89,34,1,26,22,false
1,0.05,43.19,1028.77,12,2,12,22,false
1,0.04,148.42,4699.28,2,0,19,21,false
1,0.01,79.48,35567.99,24,42,56,29,false
5,0.04,24.27,776.69,0,0,1,19,false
1,0.1,19.11,117.06,1,0,1,11,false
1,0.1,11.62,61.37,0,0,1,9,false
1,0.26,34.26,27.75,0,0,3,6,false
1,0.04,75.92,3381,12,0,14,21,false
1,0.12,169.61,643.02,10,5,5,12,false
7,0.05,19.37,520.73,2,0,8,11,false
5,0.06,43.76,612.03,7,0,8,17,false
1,0.06,87.22,1467.05,27,0,12,15,false
1,0.11,10.81,53.4,0,0,2,12,false
1,0.18,17.09,31.01,0,0,2,8,false
1,0.07,41.14,418.79,12,1,6,17,false
5,0.02,88.12,7889.94,34,0,24,19,false
1,0.67,13.79,1.72,0,0,5,3,false
5,0.05,41.04,797.52,0,2,2,21,false
1,0.07,10.79,127.24,1,0,1,12,false
1,0.33,13,6.5,0,0,0,4,false
1,0.11,15.29,67.13,0,0,0,10,false
1,0.11,35.16,163.84,2,0,5,12,false
5,0.03,20.59,1177.59,19,3,14,21,false
5,0.03,27.54,1349.5,20,1,16,11,false
5,0.03,69.97,4202.39,19,0,22,28,false
1,0.1,30.06,180.09,0,0,6,9,false
1,0.04,111.14,4338.85,13,0,48,14,false
1,0.06,87.22,1467.05,27,0,11,15,false
1,0.03,54.19,2525.64,0,0,27,34,false
1,0.13,26.92,84.13,1,1,4,12,false
1,0.5,10.34,2.3,0,0,1,4,false
1,0.05,47.47,1295.77,27,1,11,19,false
1,0.2,15.23,21.15,2,0,1,7,false
1,0.1,14.35,86.25,0,0,1,13,false
3,0.1,27.69,157.28,1,0,1,14,false
3,0.15,12.61,31.92,0,0,0,9,false
15,0.03,118.25,5883.07,1,4,13,23,false
5,0.03,23.19,1074.3,19,5,19,21,false
3,0.06,55.34,944.31,16,0,20,18,false
1,0.07,17.46,190.11,0,2,5,14,false
5,0.07,39.03,487.84,7,0,9,15,false
5,0.06,43.76,612.03,7,0,8,17,false
1,0.04,102.01,4443.31,13,0,17,20,false
1,0.17,46.1,92.2,9,0,7,6,false
5,0.11,66.7,309.47,4,0,8,14,false
1,0.07,35.63,414.77,3,0,8,16,false
1,0.01,47.04,34822.1,0,3,1,13,false
1,0.07,5.18,64.76,1,0,0,10,false
1,0.1,21.91,122.82,0,0,1,13,false
1,0.22,6.67,7.5,0,0,2,6,false
12,0.01,25.8,7080.96,6,0,4,32,false
5,0.03,21.89,1123.32,21,4,19,21,false
1,0.18,288.76,510.31,4,3,5,4,false
1,0.05,48.69,1046.22,0,0,19,26,false
5,0.07,41.15,448.08,7,0,9,14,false
1,0.04,111.14,4338.85,13,0,48,14,false
1,0.09,103.05,666.83,2,0,8,13,false
1,0.08,41.62,393.01,3,0,7,16,false
1,0.07,21.01,212.73,3,0,0,14,false
1,0.24,16.21,15.89,0,0,0,7,false
1,0.05,27.22,738.05,0,0,5,18,false
1,0.14,22.01,63.38,1,0,3,8,false
1,0.05,6.98,189.43,0,0,5,13,false
1,0.08,26.28,222.1,1,1,2,8,false
1,0.04,74.49,3287.1,8,1,15,21,false
1,0.24,15.41,14.27,9,0,3,7,false
5,0.07,39.03,487.84,7,0,9,15,false
1,0.09,28.52,176.74,1,0,5,13,false
1,0.35,137.84,62.8,0,0,2,3,false
1,0.14,25.04,74.81,2,1,3,6,false
1,0.07,44.89,493.64,3,0,7,16,false
1,0.04,46.52,1968.8,7,0,17,24,false
1,0.5,16.5,3.67,0,0,2,4,false
1,0,58.42,237757.4,0,0,14,66,false
4,0.05,33.58,785.61,0,0,1,18,false
1,0.06,63.37,1022.62,7,0,9,8,false
3,0.03,49.49,2646.07,30,0,20,23,false
5,0.07,41.15,448.08,7,0,9,14,false
1,0.14,47.11,142.09,0,0,8,8,false
1,0.07,26.07,283.89,3,1,8,16,false
1,0.07,61.13,670.33,22,5,16,18,false
1,0.19,110.26,172.35,5,0,5,4,false
1,0.06,19.33,303.69,0,0,3,10,false
1,0.33,9.51,4.75,0,0,0,6,false
10,0.03,55.26,2717.29,1,1,5,22,false
12,0.03,44.45,2071.62,4,4,30,25,false
1,0.02,47.35,7521.99,20,6,21,33,false
1,0.03,25.45,1278.07,9,2,13,21,false
3,0.07,32.47,338.34,10,0,8,18,false
1,0.13,35.57,126.49,9,2,6,12,false
1,0.04,44.04,1468.75,6,0,9,21,false
1,0.22,19.1,21.49,0,1,5,9,false
1,0.06,43,617.18,5,3,13,14,false
12,0.04,92.24,2910.9,35,2,27,23,false
1,0.04,13.72,416.37,3,1,2,17,false
1,0.31,21.19,12.16,0,0,0,5,false
11,0.03,48.52,3536.07,0,4,3,22,false
1,0.22,48.89,55,0,0,4,4,false
1,0.35,30.11,13.66,7,1,6,5,false
1,0.2,18.57,26.44,1,0,4,9,false
1,0.02,58.14,11725.99,0,2,18,32,false
3,0.06,49.03,687.86,11,0,8,21,false
1,0.5,9.83,2.18,3,0,1,4,false
1,0.04,32.61,903.7,3,0,12,14,false
1,0.22,19.1,21.49,2,3,5,9,false
1,0.14,14.14,39.29,0,0,1,9,false
23,0.02,88.43,8954.35,60,4,32,27,false
9,0.03,65.3,3391.63,16,1,17,37,false
1,0.04,100.54,4542.68,2,0,3,14,false
4,0.05,29.2,616.8,3,0,4,15,false
1,0.4,7.86,2.73,0,0,0,5,false
1,0.09,39.03,255.58,0,0,0,12,false
1,0.1,32.4,170.14,0,0,9,14,false
14,0.04,129.41,3715.52,38,17,29,19,false
1,0.33,19.93,9.97,5,1,6,5,false
3,0.06,49.03,687.86,11,0,8,21,false
1,0.24,15.41,14.27,9,0,3,7,false
1,0.04,79.38,2232.46,8,9,31,30,false
5,0.04,62.91,2780.66,33,3,13,23,false
1,0.22,18.67,21,2,0,2,8,false
1,0.16,7.91,16.48,0,0,0,7,false
1,0.05,27.15,551.64,7,2,6,12,false
1,0,0,0,0,0,0,1,false
1,0.21,13.87,16.78,3,1,2,8,false
6,0.06,60.39,969.56,5,0,19,19,false
13,0.02,54.85,5659.76,26,3,31,27,false
1,0.05,26.56,645.17,11,1,9,20,false
1,0.06,19.04,284.25,7,0,4,17,false
3,0.03,49.49,2646.07,30,0,20,23,false
1,0.15,19.62,48.44,1,0,2,8,false
1,0.05,22.29,431.57,0,0,2,16,false
1,0.13,32.95,101.36,0,0,2,11,false
1,0.09,16.73,112.44,0,0,0,8,false
1,0.12,12.17,47.69,0,0,0,12,false
1,0.21,13.87,16.78,0,1,1,8,false
9,0.07,47.16,617.07,2,0,15,14,false
3,0.03,69.75,3584.96,35,3,122,25,false
8,0.04,44.23,1891.23,20,2,24,25,false
3,0.07,32.47,338.34,10,0,8,18,false
1,0.22,54.02,63.93,0,0,5,4,false
3,0.02,22.75,2196.03,9,2,8,22,false
1,0.13,32.81,109.91,0,0,2,11,false
1,0.06,49.13,698.81,22,0,11,16,false
1,0.18,17.31,29.08,0,1,1,7,false
1,0.17,19.12,38.24,0,1,1,6,false
1,0.4,7.86,2.73,0,0,0,5,false
7,0.02,30.87,3115.79,1,1,13,29,false
1,0.08,29.64,262.76,0,0,10,16,false
3,0.02,67.09,7425.6,22,3,41,26,false
5,0.1,19.49,102.91,3,1,6,13,false
1,0.18,12.4,21.79,0,0,2,5,false
3,0.07,39.97,485.48,14,0,12,18,false
3,0.06,49.03,687.86,11,0,8,21,false
9,0.07,47.16,617.07,0,0,14,14,false
1,0.1,22.43,126.7,1,0,7,11,false
3,0.12,20.9,87.2,0,0,3,13,false
1,0.1,38.45,223.75,13,0,4,12,false
1,0.07,32.45,348.01,0,1,0,12,false
1,0.07,27.46,272.44,0,3,7,7,false
4,0.03,34,2925.55,1,5,1,29,false
1,0.19,76.51,120.91,0,0,5,6,false
1,0.08,29.64,262.76,0,0,10,16,false
1,0.12,28.92,113.35,0,1,5,14,false
3,0.09,26.52,194.88,8,0,5,18,false
