@relation data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R61-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R34-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R43-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R12

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
0,0,0.001953,0,0,0,0,0,0,9.14037,0,16,0,2,0,0,0,1,0,0,0.010847,19,3,clean
1,0,0.034476,0.011852,0.003264,0,0,1,0.008619,9.32549,0,79,0,1,15,0,0,7,0,0.003393,0.005924,9,8,clean
4,0,0.172504,0.004075,0.006195,0,0,2,0.005557,9.72916,0,217,0,1,1,0,0,10,0,0.007077,0.009791,9,2,clean
0,0,0.001875,0,0,0,1,0,0,0.121386,0,13,0,2,2,0,0,2,0,0,0.027723,22,1,clean
0,0,0,0,0,0,0,0,0,0,0,62,0,1,3,0,0,11,0,0,0,18,21,buggy
15,0,0.217807,0.001104,0.000957,0,0,1,0.0009,0.421471,0,456,0,1,0,0,0,2,0,0.03945,0.009791,9,1,clean
0,0,0.017608,0,0,0,0,0,0,9.43518,0,64,0,1,1,0,0,4,0,0.00539,0,0,4,clean
0,0,0.002277,0,0.003264,0,0,0,0,9.09329,0,61,0,1,1,0,0,1,0,0,0.005924,9,7,clean
0,0,0.042056,0,0,0,0,0,0,9.27729,0,54,7,1,0,0,2.07,2,0,0.002663,0.016354,31,4,clean
0,0,0.004776,0,0,0,8,0,0,9.21468,1.01,36,0,1,31,0,0,5,0,0,0,9,11,clean
0,0,0.008344,0.004651,0.004769,0,0,0,0,9.32615,0,23,0,2,6,1.01,0,5,0.000875,0,0.012165,22,7,clean
3,1.03,0.023915,0,0,8,0,0,0,9.19356,0,307,0,1,0,0,0,0,0,0.044241,0.009791,9,7,clean
2,0,0.034676,0.001655,0.003174,0,0,0,0.0012,9.39297,0,34,0,1,0,0,0,3,0,0.004111,0.009791,9,2,clean
0,0,0.002557,0,0,0,0,0,0,9.25218,0,13,0,2,0,0,0,0,0,0,0.009791,17,0,clean
0,0,0.000949,0,0,0,1,0,0,9.09329,0,47,0,1,1,0,0,1,0,0,0,0,4,clean
0,0,0.002692,0,0,0,0,0,0,9.21468,0,9,1,2,0,0,0,1,0,0,0.005924,15,0,clean
0,0,0.017626,0,0.010189,0,0,0,0,9.40165,0,99,0,1,2,0,0,1,0,0.029215,0,0,4,clean
0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0,0,0,0,0,0,0,0,0,122,16,3,1,0,0,4,0,0,0,49,7,buggy
1,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,2,0,0,0,9,1,buggy
0,0,0.017674,0.002241,0,0,0,0,0,9.44939,0,63,0,2,0,0,0,0,0,0.01125,0.022649,31,12,clean
0,0,0.001763,0,0,0,0,0,0,9.17116,0,41,0,1,2,0,0,6,0,0,0.009791,9,14,clean
0,0,0.061734,0.003194,0.004547,0,0,0,0,9.61644,0,84,0,2,1,1.01,0,1,0.001571,0.012691,0.004479,7,2,buggy
0,0,0.001081,0,0,0,0,0,0,9.15904,0,23,2,4,3,1.01,2.02,1,0.002921,0,0.019903,170,6,clean
0,0,0.052219,0,0,0,0,0,0,9.34163,0,65,0,1,3,0,0,0,0,0,0.009791,9,4,clean
0,0,0.013317,0,0,0,0,0,0,0.166306,0,43,0,1,0,0,0,3,0,0.002623,0.011815,9,7,clean
0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0.005312,0,0,0,0,0,0,9.16485,0,106,0,1,2,0,0,4,0,0.004111,0,0,4,buggy
0,0,0.000949,0,0,0,0,0,0,9.09329,0,22,1,1,1,0,0,4,0,0,0.005924,14,6,clean
0,2.1,0,0,0,38,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,buggy
0,0,0.192404,0,0.001218,0,0,0,0,9.60696,0,19,0,1,2,0,0,4,0,0,0.011815,9,6,clean
0,0,0,0.006379,0.010189,0,0,0,0,0,0,23,0,1,4,0,0,3,0,0,0,0,7,clean
0,0,0.004835,0,0,0,0,0,0,9.19857,0,20,0,1,4,0,0,4,0,0,0.005924,9,6,clean
0,0,0.008271,0,0,0,0,0,0,9.28183,0,19,2,3,1,0,0,0,0,0,0.014101,42,3,clean
0,0,0.000949,0,0,0,0,0,0,9.09329,0,29,0,1,2,0,0,3,0,0,0.005924,15,8,clean
0,0,0.016954,0,0,0,0,1,0,9.22122,0,82,0,3,0,0,0,7,0,0.002623,0.009791,52,14,clean
0,0,0.001773,0,0,0,0,0,0,0.032607,0,27,0,1,1,0,0,0,0,0,0,0,5,clean
3,0,0.061515,0,0,0,0,0,0,9.49991,0,133,4,2,0,0,0,3,0,0.025472,0,12,1,clean
4,0,0.019605,0.006611,0,0,0,0,0,0.121386,0,309,1,2,1,0,0,8,0,0.022485,0,27,30,clean
2,0,0.040174,0,0,0,0,0,0,9.43991,0,111,0,1,1,0,0,3,0,0.024405,0,0,3,clean
0,0,0.008085,0,0,0,0,1,0,9.22122,0,40,0,2,0,0,0,3,0,0.002623,0.011815,25,7,clean
1,0,0.025216,0.003194,0.013067,0,0,0,0.003114,9.43089,0,31,0,1,9,0,0,0,0,0.003794,0.009791,9,1,clean
0,0,0.002291,0,0,0,0,1,0,9.17816,0,76,1,2,3,0,0,1,0,0,0.009791,23,13,clean
0,0,0,0,0,0,0,0,0,0,0,22,0,1,1,0,0,1,0,0,0,0,3,buggy
3,0,0.014471,0.006798,0,0,0,0,0.004871,9.21468,0,53,0,1,3,0,0,1,0,0.059041,0,0,5,clean
0,0,0.000682,0,0.007905,0,0,0,0,0.121386,0,11,7,3,0,0,0,2,0,0,0.027723,39,2,clean
11,0,0,0,0,0,0,0,0,0,0,461,0,1,5,0,0,29,0,0,0,9,4,buggy
0,0,0.003657,0.005692,0,0,0,0,0,9.21441,0,36,0,1,12,0,0,0,0,0,0.005924,9,12,clean
1,0,0.018047,0.021139,0,0,1,0,0,9.07779,0,263,0,2,3,0,0,4,0,0.056435,0.004816,12,26,clean
0,0,0.001193,0,0,0,0,0,0,0.121386,0,24,4,3,1,0,0,1,0,0,0.027723,43,4,clean
4,0,0.00695,0,0,0,0,0,0,9.3141,0,205,0,1,1,0,0,10,0,0.024777,0,0,12,clean
0,0,0,0.012529,0.012522,0,0,0,0,0,0,83,0,1,3,0,0,6,0,0.03446,0,9,14,clean
0,0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,2,0,0,0.027723,22,1,clean
0,0,0.014507,0.003348,0,0,0,0,0,0.077595,0,6,0,2,0,0,0,0,0,0.003393,0.012459,11,2,clean
0,0,0.002704,0,0,0,0,0,0,9.07779,0,50,0,2,2,0,0,1,0,0.006771,0.056265,14,7,buggy
0,0,0.001369,0,0,0,0,0,0,9.14866,0,51,0,1,0,0,0,0,0,0,0.009791,9,15,clean
0,0,0.002541,0,0.010189,0,0,0,0,9.16383,0,26,4,2,0,0,0,1,0,0,0.005924,11,2,clean
2,0,0,0,0,0,0,0,0,0,0,146,0,1,9,0,0,2,0,0,0,13,13,buggy
2,0,0.848744,0.009602,0.008363,0,0,4,0.000798,10.0764,0,198,25,4,1,2.02,2.02,11,0.006657,0.023262,0.019174,78,3,clean
0,0,0.001587,0,0,0,0,0,0,9.22338,0,5,0,2,0,0,0,0,0,0,0,1,0,clean
0,0,0.000949,0,0,0,0,0,0,9.09329,0,3,0,1,1,0,0,1,0,0,0.033647,26,1,clean
0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,1,clean
0,0,0.029353,0,0,0,0,0,0,0.079964,0,186,3,1,1,0,1.03,3,0,0.001686,0.010674,125,4,clean
2,0,0,0,0,0,0,0,0,0,0,40,0,1,1,0,0,3,0,0,0,9,1,buggy
0,0,0.001781,0,0,0,0,0,0,9.14904,0,16,0,1,1,0,0,0,0,0,0.009791,9,2,clean
2,0,0,0,0,0,0,0,0,0,0,227,0,2,1,0,0,8,0,0.022087,0,12,19,clean
0,0,0.023841,0,0,0,0,0,0,0.205613,0,23,0,1,0,1.01,0,2,0.000875,0,0.012165,9,3,clean
3,0,0,0,0,0,0,0,0,0,0,134,0,1,2,0,0,6,0,0,0,0,4,buggy
0,1.01,0,0,0,23,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
3,0,0.150819,0,0.015122,0,0,1,0.001861,9.58228,0,251,0,1,5,0,0,7,0,0.012262,0,0,5,buggy
1,0,0.000581,0,0,0,0,0,0,0.136886,0,130,0,1,3,0,0,2,0,0.012361,0.005924,9,7,buggy
0,0,0.008759,0,0,0,0,0,0,9.46929,0,14,0,1,8,0,0,0,0,0,0,0,4,clean
0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,18,1,clean
0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,2,0,0,0.009791,9,1,clean
0,0,0,0,0,12,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
5,0,0.049919,0.008001,0.012292,0,0,0,0.015175,9.56194,0,136,0,1,1,0,0,6,0,0.012675,0.012165,12,10,clean
3,0,0.104889,0.003803,0.003995,0,0,0,0.002774,9.57627,0,324,0,3,1,1.01,1.03,10,0.002921,0.006073,0.002341,14,6,buggy
0,0,0.005326,0,0,0,5,0,0,9.19857,6.07,31,0,1,7,0,0,2,0,0,0.005924,9,7,clean
0,0,0.005702,0.003348,0,0,1,1,0,9.31408,0,6,0,1,2,0,0,0,0,0.003393,0.009791,9,2,clean
1,0,0.039501,0,0.011863,0,0,1,0,9.50082,0,54,0,1,2,0,0,0,0,0.012393,0,0,2,buggy
1,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,2,0,0,0,9,1,buggy
0,0,0.004413,0,0,0,0,0,0,9.16485,0,7,7,1,1,0,0,1,0,0.003393,0.008591,31,2,clean
0,0,0.057452,0,0,0,0,1,0,9.22122,0,288,0,2,2,0,0,23,0,0.002623,0.009791,35,46,clean
5,0,0.030131,0.003803,0.000731,0,0,0,0,9.4805,0,265,25,4,1,2.02,2.02,15,0.006657,0.003005,0.019174,78,5,clean
0,0,0,0,0,0,0,0,0,0,0,75,0,1,0,0,0,10,0,0,0.009791,9,22,clean
3,0,0.069027,0,0.002022,0,0,0,0,0.20874,0,308,4,2,12,0,1.02,21,0,0.003534,0.000376,10,34,clean
0,0,0.002143,0,0,0,0,0,0,9.14037,0,87,0,1,3,0,0,5,0,0.024144,0.009791,12,7,clean
1,0,0,0,0,0,0,0,0,0,0,63,0,1,4,0,0,3,0,0.008081,0,9,8,clean
1,0,0.013388,0.006075,0.002734,0,0,0,0,9.36564,0,65,0,1,2,2.02,0,4,0.004356,0.020267,0.015794,9,9,clean
0,0,0.002548,0,0,0,0,0,0,9.25052,1.02,32,0,1,0,0,0,0,0,0.015771,0,0,0,clean
4,0,0,0.046059,0.045459,0,0,0,0,0,0,153,0,1,6,0,0,5,0,0.053053,0,9,13,clean
0,0,0.060614,0,0,0,0,0,0,0.132776,0,326,0,1,0,0,0,9,0,0.004661,0,0,11,clean
0,0,0.005967,0,0,0,4,0,0,0.121386,1.02,51,1,2,8,0,0,1,0,0,0,27,6,clean
0,0,0.002243,0,0,0,0,0,0,9.15676,0,20,0,1,0,0,0,0,0,0,0,0,1,clean
0,0,0.005414,0,0,0,0,0,0,9.19857,0,0,0,1,0,0,0,0,0,0,0.005924,9,0,buggy
0,0,0.006308,0,0,0,1,0,0,0.121386,0,22,0,2,1,0,0,4,0,0,0.027723,22,1,clean
0,0,0.083931,0,0.008269,0,0,0,0,9.64504,0,31,0,1,2,0,0,2,0,0.01169,0.001058,0,4,clean
0,0,0.002307,0.000846,0,0,0,0,0,0.052765,0,166,1,1,0,0,1.01,2,0,0.001686,0.011171,226,9,clean
0,0,0.005011,0,0,0,0,0,0,9.34635,0,28,0,1,0,0,0,1,0,0,0.012186,18,2,clean
0,0,0.011383,0.007348,0.003264,0,0,0,0,9.38967,0,20,0,4,16,1.01,1.01,1,0.002921,0.001436,0.020509,51,4,clean
0,0,0.001542,0,0,0,0,0,0,9.17814,0,23,1,2,1,0,0,2,0,0,0.012186,28,5,clean
0,0,0.003069,0,0,0,0,0,0,0.121386,0,35,0,1,2,0,0,4,0,0.012361,0,9,9,clean
0,0,0.003576,0,0,0,1,0,0,9.22957,0,54,0,1,4,0,0,4,0,0.005988,0.005924,9,11,clean
5,0,0.008524,0,0,0,0,0,0,0.121386,0,190,4,3,1,0,0,4,0,0,0.027723,43,4,clean
0,0,0.010569,0,0,0,0,0,0,9.31033,0,16,1,1,1,0,0,1,0,0,0.009791,14,7,clean
0,0,0.002631,0,0,0,0,0,0,9.07779,0,8,0,2,1,0,0,1,0,0,0,13,2,clean
0,0,0,0,0,0,0,0,0,0,0,9,0,2,1,0,0,0,0,0,0,22,1,clean
0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0.020279,0.051511,21,1,clean
9,0,0.253433,0,0.000625,0,0,0,0.013552,9.88745,0,293,0,1,2,0,0,2,0,0.046727,0.009791,9,2,buggy
0,0,0.010632,0,0,0,0,0,0,9.21479,0,3,0,1,0,0,0,0,0,0,0,0,1,clean
0,0,0.002022,0,0,0,0,0,0,9.07779,0,11,0,1,1,0,0,2,0,0,0,0,2,buggy
0,0,0.042586,0,0,0,0,0,0,9.6251,0,58,0,1,3,0,0,6,0,0.028026,0.009791,9,13,clean
0,0,0.001138,0,0,0,0,0,0,9.09329,0,42,0,2,1,0,0,2,0,0,0.031562,32,4,clean
0,0,0.001328,0,0,0,0,0,0,9.09329,0,49,0,2,1,0,0,2,0,0.008081,0.031562,32,2,clean
1,0,0.128868,0,0,0,0,1,0,9.53121,0,41,0,1,0,0,0,2,0,0.006246,0,0,8,clean
3,0,0.123265,0.002107,0,16,0,0,0.002741,9.66116,0,208,0,1,3,0,0,0,0,0.015838,0.009791,9,2,clean
0,0,0.0024,0,0,0,0,0,0,9.15394,0,43,0,3,1,0,0,2,0,0,0,12,6,clean
0,0,0.002305,0,0,1,0,0,0,9.21823,0,50,0,1,6,0,0,1,0,0,0.009791,9,8,clean
0,0,0,0,0,0,0,0,0,0,0,22,0,1,2,0,0,0,0,0,0,9,0,clean
0,0,0.001328,0,0,0,0,0,0,9.09329,0,3,0,2,0,0,0,1,0,0,0.033647,26,1,clean
0,0,0.001328,0,0,0,0,0,0,9.09329,0,7,0,1,2,0,0,1,0,0,0.002024,0,2,clean
0,0,0.002046,0,0,0,0,0,0,0.121386,0,9,0,2,1,0,0,0,0,0,0.027723,22,1,clean
0,0,0.004579,0,0,0,0,0,0,9.07779,0,58,0,1,1,0,0,1,0,0,0,0,3,clean
1,0,0,0,0,36,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,buggy
0,0,0.063071,0.018552,0,0,1,0,0,9.61627,1.01,132,0,1,2,0,0,0,0,0.045105,0,0,4,clean
0,0,0.002141,0,0,0,0,0,0,9.15227,0,12,0,1,0,0,0,3,0,0,0.009791,18,5,clean
1,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,9,3,clean
1,0,0.115192,0.003411,0.00249,0,0,0,0.002667,9.5382,0,119,0,1,2,0,0,3,0,0.024117,0.009791,9,8,clean
0,0,0.037673,0,0.010189,0,0,1,0,9.84848,0,61,0,1,4,0,0,2,0,0.009099,0,0,7,clean
5,0,0.01074,0,0,0,0,0,0,0.121386,0,217,0,2,0,0,0,7,0,0.029485,0,29,25,clean
0,0,0.002846,0,0,0,0,0,0,9.09329,0,32,1,2,1,0,0,0,0,0,0,17,1,clean
0,0,0.003144,0,0,0,0,0,0,9.22338,0,70,0,1,2,0,0,6,0,0.007203,0.005924,9,6,clean
1,0,0.005796,0,0,0,0,0,0,0.121386,0,57,1,2,2,0,0,1,0,0,0,27,19,clean
0,1.01,0.01686,0.001104,0,1,0,0,0,9.32,0,34,0,1,3,0,0,1,0,0,0,0,7,clean
1,0,0.016135,0,0,1,0,0,0.002741,9.43975,0,51,1,3,1,0,0,0,0,0.012095,0.009791,19,4,clean
0,0,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,clean
0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,18,1,clean
0,0,0.041414,0,0,0,0,0,0,0.209384,0,101,0,2,0,0,0,9,0,0.002623,0.009791,37,18,clean
3,0,0.014404,0,0,0,0,0,0,9.25516,0,134,0,1,1,0,0,4,0,0.018159,0.009791,9,5,clean
6,0,0.154618,0.026657,0.083027,0,0,0,0.014561,9.58268,2.02,225,1,2,0,0,0,12,0,0.069897,0.007771,19,5,buggy
0,0,0.003009,0,0,0,0,0,0,9.24064,0,23,0,1,1,0,0,2,0,0,0.009791,14,7,clean
0,0,0.084251,0,0,0,0,0,0,0.108897,0,17,19,3,0,0,0,0,0,0,0.009791,76,1,clean
0,0,0.02442,0.005965,0,0,1,0,0.015014,9.38337,3.03,30,0,2,3,1.01,0,0,0.002266,0.012901,0.002778,4,1,clean
1,0,0,0,0,0,0,0,0,0,0,63,0,1,5,0,0,3,0,0,0,29,3,clean
0,0,0.001193,0,0,0,0,0,0,0.121386,0,35,0,1,3,0,0,2,0,0.013771,0,9,6,clean
0,0,0.004153,0,0,0,0,0,0,9.28911,0,9,0,1,0,0,0,0,0,0.003519,0.009791,9,3,clean
0,0,0.015277,0,0,0,0,1,0,9.49002,0,12,0,2,0,0,0,0,0,0,0.009791,17,0,clean
0,0,0.004603,0,0,0,0,0,0,0.121386,0,48,0,2,4,0,0,8,0,0,0,20,17,clean
1,0,0.001592,0.006611,0.005116,0,0,0,0.005097,9.15904,0,39,0,1,4,0,0,7,0,0.008081,0.005924,18,9,clean
0,0,0,0,0,0,1,0,0,0,0,57,0,1,0,0,0,0,0,0,0,9,0,clean
0,0,0.0037,0,0,0,0,0,0,9.29306,0,47,0,3,1,0,0,1,0,0.019468,0.009791,24,3,buggy
4,0,0.014103,0.002325,0.002038,1,0,0,0,9.24327,0,512,0,1,4,0,0,103,0,0.01442,0.012165,51,9,buggy
1,0,0,0,0,0,0,0,0,0,0,15,0,1,3,0,0,1,0,0,0,9,1,clean
1,0,0.023777,0,0,0,0,0,0,9.40392,0,142,1,2,2,0,0,0,0,0.021494,0.009791,17,3,clean
2,0,0.005149,0,0,0,0,0,0,9.33613,0,116,0,1,1,0,0,4,0,0.016811,0,0,2,clean
1,0,0.003192,0,0,0,0,0,0,9.21441,0,21,0,2,0,0,0,1,0,0.006515,0.030118,6,4,clean
0,0,0.002706,0,0,0,0,0,0,9.22957,3.04,30,0,1,0,0,0,1,0,0,0,0,3,clean
0,0,0.001518,0,0,0,0,0,0,9.09329,0,6,0,1,1,0,0,1,0,0,0.005924,9,2,clean
0,0,0.021405,0.005309,0.002306,0,0,0,0,9.27239,0,9,1,5,3,2.02,2.02,0,0.003568,0.005628,0.016778,60,2,clean
2,0,0.011213,0,0.002734,0,0,1,0,9.44519,0,37,0,1,5,0,0,4,0,0.004111,0.009791,9,2,buggy
2,0,0,0,0,1,0,0,0,0,0,91,0,1,2,0,0,5,0,0,0,0,3,clean
1,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,0,2,0,0,0,9,1,buggy
0,0,0.001699,0,0,0,2,0,0,9.16273,1.01,8,0,1,0,0,0,0,0,0,0.005924,13,4,clean
2,0,0.027596,0.003348,0.003264,0,0,0,0,9.16485,0,196,0,1,1,0,0,5,0,0.004111,0,0,6,buggy
