@relation 'lucene-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,14,19'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,15,0.6,0.7,3,0.285714,1,1,33.2,1.7333,0
1,1,0,0.666667,0.333333,1,0.583333,0,0,6.333333,0.6667,0
2,3,1,0.5,1,0,0.666667,0,0,4.333333,0.3333,0
1,0,3,1,0,0,0.333333,0,0,7.666667,1,0
1,0,0,0.5,1,0,0.5,0,0,134.555556,1,1
1,5,5,0.6,0.5,0,0.7,0,0,13.333333,0.5,0
2,0,10,0.133333,0,0,0.375,0,0,15,0.875,1
2,5,10,2,0,0,0.466667,1,1,1.8,0.8,0
1,0,25,0.722222,1,2,0.228571,0,0,16.4,0.9,1
2,0,0,0.5,1,2,0.4,1,2,26.6,0.8,0
1,1,888,0.873874,0.648649,11,0.13273,0,0,52.711538,2.6731,1
2,0,1,2,0,0,0.666667,0,0,4,0.5,0
2,0,0,0.375,0,1,0.5,1,3,53.4,5,0
1,6,1,2,0,0,0.666667,0,0,1.5,0.5,0
4,0,1,2,0,0,0.666667,1,1,5.5,1,0
3,0,0,0.375,1,2,0.208791,2,2,15.615385,1.3077,0
3,0,1,0.5,1,0,0.75,0,0,31,0.3333,0
2,0,0,0.142857,1,1,0.232143,2,2,11.375,1.375,1
3,2,4,0.857143,1,0,0.583333,0,0,27.75,0.75,0
1,0,16,0.142857,1,0,0.314286,0,0,40.125,2.5,0
1,0,6,1,0,2,0.833333,0,0,2.25,0.75,0
1,3,66,2,0,0,0.875,0,0,0.25,0.9167,1
3,0,0,0.45,1,0,0.220779,2,2,24.727273,1.7273,1
3,0,3,2,0,0,0.5,1,1,6.666667,1,1
1,1,0,0.571429,1,0,0.35,0,0,15.25,1.75,0
1,0,22,0.428571,1,0,0.178571,0,0,14.625,1.375,0
2,0,1,1,0,0,0.875,0,0,6.5,0,0
3,0,15,1.12,0,0,0.5,1,1,28.833333,2.8333,0
1,0,0,0.701961,1,8,0.188889,0,0,55.888889,0.8889,1
1,1,15,0.514286,1,4,0.246753,0,0,19.363636,0.9091,0
1,0,0,2,0,0,1,0,0,0,1,0
2,0,0,0.466667,1,2,0.5,1,3,17.333333,0.8333,0
2,0,0,0.65,1,0,0.287879,1,3,38.090909,1.5455,1
1,0,0,1.166667,0.5,0,0.333333,0,0,30,2.5,0
2,1,0,0,1,1,0.428571,1,2,5.571429,0.8571,0
1,0,3,1.4375,0,2,0.5,0,0,4,1,0
2,0,0,0.5,1,1,0.4,1,1,19,1,1
1,0,1,2,0,0,1,0,0,0,1,0
1,0,0,2,0,0,1,0,0,11,0,1
3,0,15,0.333333,1,0,0.514286,0,0,13.857143,0.7143,0
1,0,0,2,0,2,1,0,0,33,0,0
1,0,742,0.891064,0.64,6,0.115278,0,0,23.708333,0.9792,1
1,0,62,0.686667,1,6,0.28125,0,0,27.1875,1.1875,1
3,0,58,0.960526,0.578947,0,0.219697,0,0,48,0.8462,0
2,2,0,0.675926,1,4,0.21978,1,3,24.615385,1.1538,1
2,0,0,0.5,0.5,0,0.333333,0,0,8.285714,0.1429,0
3,0,4,0.357143,1,1,0.270833,1,2,22.25,1.25,1
1,0,10,2,0,0,0.6,0,0,0,1,0
1,0,0,2,0,0,1,0,0,24,0,1
1,0,0,0.375,1,1,0.6,0,0,10.6,1.2,0
2,0,86,0.669173,1,3,0.223684,1,3,21.1,1.75,1
1,0,0,0.6,0.2,0,0.518519,1,1,15.333333,1.1111,1
1,0,0,0.700855,1,5,0.254545,0,0,96.7,2.4,1
1,0,1,1,0,0,1,0,0,17,0,0
2,2,1,0.333333,1,1,0.342857,2,3,18,1.5714,0
2,0,15,0.644444,1,3,0.287879,1,3,38.181818,1.1818,1
2,0,0,0.375,1,1,0.4,1,1,22.2,1,1
3,0,3,0.4,1,1,0.351852,2,3,48.166667,0.8333,0
2,1,0,0.545455,1,0,0.283333,1,3,18.416667,1,1
1,0,21,2,0,0,0.321429,0,0,21.142857,2.5714,0
3,0,1,0.5,1,0,0.666667,0,0,19,0.3333,0
1,0,0,2,0,0,0,0,0,132,0,1
1,0,15,2,0,0,0.375,0,0,0,1,0
1,0,1,1.4,0,0,1,0,0,52.5,0,1
4,0,3,0.6,0.333333,0,0.5,0,0,34.5,0.8333,1
2,1,0,0.4375,0.5,1,0.5,0,0,20.2,1.6,0
4,1,1,2,0,0,0.666667,1,1,3.5,0.5,0
2,0,15,2,0,0,0.333333,2,3,8.5,1.1667,1
3,0,7,0.638889,0.5,0,0.285714,3,4,26.6,1.4,1
3,0,15,1.12,0,0,0.5,1,1,28.833333,2.8333,0
1,3,1,2,0,0,0.75,0,0,1.5,0.5,0
1,0,36,1.0625,0,1,0.5625,0,0,0.555556,0.8889,0
1,3,89,0.923077,1,0,0.271429,0,0,14.928571,0.9286,0
1,0,45,2,0,0,0.6,0,0,0,1,1
1,0,3,0.602564,0,0,0.404762,0,0,15.5,0.9286,0
1,0,67,0.641026,0.666667,2,0.401709,0,0,53.357143,1.1429,1
2,0,0,0.333333,1,2,0.47619,1,3,24.142857,0.8571,0
3,0,0,0,1,1,0.75,0,0,16,0.5,0
1,0,0,0.344,1,4,0.184615,0,0,25.807692,1.1538,1
2,0,0,0.75,0.571429,6,0.211538,1,2,25.153846,0.9231,1
1,0,45,2,0,0,0.288889,0,0,0,1,1
2,0,0,0.666667,0.666667,1,0.47619,0,0,14.5,2,1
1,0,6,2,0,0,0.25,0,0,24.5,1,0
3,0,1,2,0,0,0.75,0,0,9.5,0.5,0
2,0,0,0.668571,1,1,0.174825,1,5,21.846154,1.3462,1
2,0,0,0.520833,1,2,0.309524,1,3,26.571429,0.8571,1
1,0,0,0.690476,1,2,0.309524,0,0,47.714286,0.8571,1
1,0,45,2,0,0,0.6,0,0,0,1,0
1,0,0,0.583333,0,2,0.533333,0,0,16.6,0.8,1
1,0,3,2,0,0,0.666667,0,0,6,0.6667,0
1,0,145,0.920635,0.285714,0,0.25731,0,0,21.631579,1.4737,1
1,0,0,0.6,1,1,0.333333,0,0,54.333333,1.3333,1
2,0,193,0.814103,1,0,0.181481,1,6,16.518519,1.037,1
2,0,0,0.545455,1,2,0.285714,1,3,43.222222,1,0
2,0,0,0.3125,0,2,0.222222,2,4,13.555556,1.2222,1
1,10,0,0.454545,1,0,0.444444,0,0,21.666667,2.0833,0
1,2,108,0.866667,1,1,0.185185,0,0,4.5625,0.875,1
3,0,53,0.692308,1,1,0.333333,1,4,34.928571,2.2857,0
1,2,13,0.8,0,0,0.6,0,0,8.5,0.6667,1
3,0,0,0.416667,1,1,0.192308,2,2,12.384615,1.3077,0
3,0,1,2,0,0,0.533333,1,3,22.333333,1.3333,0
1,0,1,2,0,0,0.666667,0,0,23,3,0
5,0,1,2,0,0,0.666667,1,1,3.5,0.5,0
1,0,2,0.178571,1,2,0.34375,0,0,13,1,1
2,0,0,0.384615,1,0,0.171429,2,5,21.571429,1.5714,1
1,0,0,0.888889,0.5,3,0.375,0,0,53.5,1,1
2,0,0,0.52381,1,1,0.3,1,3,12.125,0.875,1
2,2,8,0.5,1,2,0.407407,1,2,10.222222,1,0
1,0,28,2,0,0,0.3,0,0,0,1,0
2,0,576,0.883861,0.470588,8,0.136752,1,5,28.575,1.75,1
2,0,98,0.833333,0.75,2,0.296296,1,3,29.875,1.5625,1
2,0,0,0.166667,1,1,0.5625,0,0,12.75,1,1
2,0,79,0.742857,1,0,0.119048,2,6,18.727273,1.7273,1
1,0,0,0.125,0,0,0.55,0,0,18.2,0.4,0
1,0,0,0.136364,0,0,0.291667,1,1,9.5,1.1667,1
2,0,9,0.5,1,1,0.265306,2,3,11.571429,1.5714,1
4,0,0,0,1,1,0.219697,0,0,8.333333,0.9167,1
2,0,0,0,1,1,0.21875,1,5,4.875,0.9583,1
2,0,15,0.333333,1,0,0.3375,1,6,37.1,0.9,1
2,0,3,2,0,0,0.555556,1,3,14.666667,1.6667,0
1,0,1,2,0,0,0.5,0,0,9.5,1,0
1,1,0,2,0,0,1,0,0,9,0,0
3,0,0,0,0,0,0.666667,0,0,18.5,0.5,0
2,0,1,0.346154,0.5,1,0.202381,1,3,10.071429,0.7143,1
3,0,0,0.55,0.4,1,0.4,1,1,75.4,4.8,0
1,0,15,2,0,0,0.416667,0,0,0,1,0
1,15,34,0.875,1,1,0.416667,0,0,4.111111,0.8889,0
1,4,1504,0.867347,1,3,0.115288,0,0,11.578947,1.1754,1
2,0,0,0.5,0.5,0,0.333333,0,0,26.857143,0.1429,0
1,0,8,0.625,1,4,0.246914,0,0,70.222222,1.2222,1
1,0,153,0.848485,0.121212,1,0.380952,0,0,166.090909,13.7727,1
3,0,0,0,0,0,0.333333,1,2,7,0.8333,0
3,0,3,2,0,0,0.444444,0,0,58.333333,1.3333,1
1,0,0,0.852041,0.285714,3,0.380952,0,0,17.866667,0.8,0
2,0,3,2,0,0,0.5,1,1,4.333333,0.6667,0
1,0,3,0.602564,0,0,0.404762,0,0,15.5,0.9286,0
3,0,5,0.825,0,1,0.333333,1,4,38.833333,3.6667,0
1,0,61,0.692308,0,3,0.320513,0,0,11.285714,0.7143,0
2,0,21,2,0,0,0.5,1,2,6.714286,0.8571,0
2,0,0,0.444444,1,0,0.3,2,3,29.8,3.1,0
2,6,0,0,1,1,0.75,0,0,5,0.5,0
2,0,1,2,0,0,0.666667,1,3,17.5,2,1
3,0,1,1,1,0,0.75,0,0,22.5,0.5,0
1,0,0,2,0,3,1,0,0,12,0,0
1,0,41,0.633333,1,0,0.309091,0,0,15.636364,1.4545,1
1,0,0,0.75,0.333333,4,0.4,0,0,19.4,1.6,0
1,1,16,0.670455,0.875,4,0.197917,0,0,32.666667,0.9167,1
2,0,43,0.75,1,2,0.595238,0,0,16.285714,0.9286,1
2,0,0,0.589286,1,0,0.191667,2,3,18.866667,1.8,0
1,0,95,0.748918,1,5,0.194805,0,0,24.090909,1.5,1
1,0,19,0.64,1,6,0.324675,0,0,28.818182,1.1818,1
1,0,3,1.4375,0,2,0.5,0,0,4,1,0
3,0,0,0.111111,1,1,0.214286,2,2,10.5,1.3,1
1,0,1,2,0,0,0.5,0,0,17,2,0
3,0,2,0.666667,1,1,0.36,1,5,17,1.2,1
1,3,247,0.909091,1,1,0.273913,0,0,4.652174,0.9565,1
1,6,3,2,0,0,0.666667,0,0,1.666667,0.6667,0
2,1,1,0.460317,1,1,0.5,1,3,27.1,0.8,1
1,0,0,0.52,1,1,0.242857,0,0,20.454545,1.4545,0
2,2,8,0.5,0.75,0,0.333333,1,3,18,0.8889,1
1,0,2,0.666667,0.666667,1,0.5,1,1,7.888889,1.1111,0
1,0,93,0.704545,1,0,0.198068,0,0,30.043478,1.8261,1
2,0,1,2,0,0,0.666667,0,0,4,0.5,0
2,1,53,0.854545,0.818182,0,0.296,0,0,34.653846,1,1
1,0,0,0.333333,1,2,0.375,1,1,9.5,1.4,1
