@relation lucene-2.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
2,0,0,10,6,0.142857,1,1,0.232143,2,2,11.375,4,1
3,2,4,2,2,0.857143,1,0,0.583333,0,0,27.75,1,1
4,0,0,28,0,2,0,0,1,0,0,4,0,0
2,0,23,0,9,0.55,1,0,0.313131,1,5,36.090909,1,1
2,0,3,2,3,2,0,0,0.555556,1,3,14.666667,4,0
1,3,141,32,4,0.823529,1,1,0.296296,0,0,8.777778,1,1
1,0,13,1,0,0.600962,1,0,0.253086,0,0,42.185185,26,1
1,3,247,29,14,0.909091,1,1,0.273913,0,0,4.652174,1,1
4,0,3,1,5,2,0,0,0.5,1,1,11.666667,4,1
1,6,3,12,1,2,0,0,0.666667,0,0,1.666667,1,1
2,0,3,1,3,0.2,1,0,0.611111,0,0,15.833333,2,1
2,1,0,2,5,0.454545,1,1,0.416667,1,3,28.083333,1,0
1,0,0,1,3,0.52,1,1,0.242857,0,0,20.454545,3,0
2,1,17,1,1,0.555556,0.75,0,0.36,1,3,17.1,1,0
1,0,2,7,0,0.666667,0.666667,1,0.5,1,1,7.888889,5,0
3,0,9,2,6,0.777778,0.333333,1,0.333333,2,3,16,6,1
1,1,0,1,2,0.466667,1,1,0.611111,0,0,28.166667,3,0
1,0,1,5,0,2,0,0,1,0,0,0,1,1
4,1,1,1,1,2,0,0,0.666667,1,1,3.5,1,0
2,0,15,3,5,2,0,0,0.333333,2,3,8.5,3,1
1,0,0,5,2,0.333333,1,2,0.375,1,1,9.2,4,0
1,0,1,2,0,2,0,0,1,0,0,0,1,1
1,0,1,17,0,2,0,0,0.5,0,0,9.5,2,0
3,0,4,1,7,0.666667,1,0,0.5,1,1,12.5,2,0
1,1,0,2,1,0.571429,1,0,0.35,0,0,15.25,4,1
1,3,15,6,2,2,0,0,0.444444,1,1,1,1,1
1,0,22,1,0,0.428571,1,0,0.178571,0,0,14.625,5,0
2,0,1,3,1,1,0,0,0.875,0,0,6.5,0,1
3,0,15,2,0,1.12,0,0,0.5,1,1,28.833333,14,1
1,0,0,3,24,0.691667,0.9375,8,0.2,0,0,71.25,1,1
1,1,1,2,4,0.514286,1,4,0.246753,0,0,21.818182,1,0
1,0,0,7,0,0.875,0.125,7,0.555556,1,1,17.75,5,0
1,0,0,4,2,2,0,0,1,0,0,0,1,0
2,0,0,1,3,0.466667,1,2,0.5,1,3,17.333333,1,0
2,0,0,1,3,0.625,1,0,0.287879,1,3,39.272727,6,1
1,0,0,0,0,1.166667,0.5,0,0.333333,0,0,30,6,0
2,1,0,1,1,0,1,1,0.428571,1,2,5.571429,1,1
2,0,0,1,3,0,1,0,0.833333,0,0,13,1,1
1,0,0,8,1,0.852041,0.285714,3,0.380952,0,0,17.866667,7,1
1,2,124,47,4,0.875,1,1,0.175,0,0,4.411765,1,1
3,0,53,1,4,0.692308,1,1,0.333333,1,4,34.928571,14,0
1,4,13,14,1,0.9,0.5,0,0.6,0,0,13.5,1,1
3,0,0,1,6,0.416667,1,1,0.192308,2,2,12.384615,6,0
1,1,0,13,1,0.666667,0.333333,1,0.583333,0,0,6.333333,1,1
3,0,1,1,10,2,0,0,0.533333,1,3,22.333333,2,1
2,3,1,3,1,0.5,1,0,0.666667,0,0,4.333333,1,1
1,0,3,0,0,1,0,0,0.333333,0,0,7.666667,2,0
2,0,9,9,1,0.2,1,0,0.333333,1,1,9.666667,3,1
1,0,2,1,3,0.178571,1,2,0.34375,0,0,13,2,1
1,5,5,5,0,0.6,0.5,0,0.7,0,0,13.333333,1,0
1,0,71,3,6,0.75,1,5,0.210526,0,0,23.105263,3,1
1,0,153,9,1,2,0,0,0.37037,0,0,0,1,1
1,0,19,3,12,0.64,1,6,0.324675,0,0,28.818182,4,1
1,0,3,4,0,1.4375,0,2,0.5,0,0,4,2,1
3,1,0,1,7,0,1,1,0.259259,2,2,11.777778,4,0
1,0,1,2,0,2,0,0,0.5,0,0,17,4,0
2,0,0,1,2,0.5,0.875,1,0.3,1,4,23.5,2,1
2,1,0,1,2,0.5,1,1,0.4,1,1,19,2,1
1,0,1,2,2,2,0,0,1,0,0,0,1,0
1,0,6,3,1,0.809524,0.333333,1,0.375,0,0,12.625,2,1
2,0,10,1,1,2,0,0,1,1,1,2,1,0
3,0,15,2,3,0.333333,1,0,0.514286,0,0,13.857143,3,1
1,0,0,2,2,0.383333,1,2,0.328125,0,0,21.3125,7,0
2,0,21,3,1,2,0,0,0.5,1,2,6.714286,1,0
2,0,0,1,5,0.444444,1,0,0.3,2,3,29.8,13,1
2,7,0,7,1,0,1,1,0.75,0,0,5,1,1
2,0,1,3,2,2,0,0,0.666667,1,3,24.5,6,0
1,0,3,2,2,2,0,0,0.833333,0,0,8.333333,2,1
2,0,0,0,8,0.5,0.5,0,0.333333,0,0,8.285714,1,1
2,0,0,2,2,0.52381,0.857143,1,0.208791,1,3,20.923077,2,1
5,0,0,4,0,2,0,0,1,0,0,4,0,0
1,0,10,20,0,2,0,0,0.6,0,0,0,1,0
1,0,0,3,4,0.75,0.333333,4,0.4,0,0,19.4,5,0
1,1,12,2,12,0.690909,0.866667,4,0.21875,0,0,29.166667,1,0
2,0,70,2,7,0.72,1,2,0.5,1,5,15.75,1,1
2,0,0,3,7,0.589286,1,0,0.191667,2,3,18.933333,6,1
2,0,1,0,3,2,0,0,0.666667,0,0,4,1,0
1,0,0,0,4,0.388889,1,0,0.34,0,0,26.8,5,1
3,0,15,1,0,1.12,0,0,0.5,1,1,28.833333,14,0
1,0,0,2,6,0.888889,0.5,3,0.375,0,0,56.25,2,1
2,0,7,1,6,0.612245,1,1,0.2,1,3,17.666667,3,1
1,5,103,31,0,0.928571,1,0,0.28,0,0,16,1,1
1,2,6,23,1,2,0,0,1,0,0,1.25,1,1
3,0,1,2,6,2,0,0,0.583333,1,1,31,1,0
2,0,1,1,5,0,1,0,0.314286,1,1,51.571429,12,1
1,0,1,1,1,2,0,0,0.666667,0,0,0,1,0
2,0,0,1,6,0.666667,0.333333,0,0.375,2,2,12.714286,3,1
2,0,0,1,3,0.333333,1,2,0.47619,1,3,24.142857,1,0
3,0,0,0,4,0,1,1,0.75,0,0,16,1,1
1,0,0,0,10,0.344,1,4,0.184615,0,0,25.730769,2,1
2,0,0,1,1,0.375,0,0,0.466667,1,1,15.2,1,0
2,0,0,3,7,0.766667,0.533333,6,0.211538,1,2,26.076923,1,1
4,0,0,1,1,0.55,0.4,1,0.4,1,1,74,14,0
2,0,0,1,3,0.666667,0.666667,1,0.47619,0,0,14.5,4,0
2,0,48,2,8,0.5625,1,2,0.135747,2,4,14.294118,7,1
2,0,1,4,2,2,0,0,0.666667,1,3,18.5,4,0
1,4,4,7,1,0.5,1,0,0.8,0,0,2.6,1,1
2,0,15,1,3,2,0,0,0.666667,1,3,4.166667,1,0
4,0,0,2,0,2,0,0,1,0,0,4,0,0
2,0,0,11,3,2,0,1,1,0,0,9,0,1
1,1,0,2,12,0.690476,1,2,0.309524,0,0,49,1,0
2,0,0,1,2,0.484848,1,2,0.625,1,1,40.25,1,0
1,0,0,3,0,2,0,0,0,0,0,68,0,0
1,0,282,1,4,0.720301,0.210526,1,0.405714,0,0,83.472222,112,1
1,0,3,4,5,2,0,0,0.666667,0,0,6,1,0
2,1,9,5,7,0.5,0,1,0.265306,2,3,9.428571,4,1
1,5,15,32,1,2,0,0,0.583333,0,0,2.5,1,0
2,0,1,1,11,0.64,1,6,0.35,0,0,26.166667,6,0
2,0,193,3,16,0.824176,1,0,0.16835,1,9,19.407407,2,1
2,0,0,1,9,0.545455,1,2,0.285714,1,3,43.222222,2,0
3,0,9,2,6,0.777778,0.333333,1,0.333333,2,3,16,6,1
2,0,0,2,8,0.3125,0,2,0.222222,2,4,14.666667,5,1
3,0,9,2,6,0.777778,0.333333,1,0.333333,2,3,16,6,1
1,0,4,4,3,0.821429,1,2,0.35,0,0,20,2,1
2,2,8,5,2,0.5,1,2,0.407407,1,2,10.222222,2,0
1,0,28,25,2,2,0,0,0.3,0,0,0,1,0
2,0,732,6,28,0.899793,0.590909,10,0.131119,1,8,26.355556,28,1
2,0,73,2,16,0.826923,0.75,3,0.25641,1,3,24.5,7,1
2,0,0,0,2,0.125,1,1,0.55,0,0,13.2,2,0
1,6,1,22,0,2,0,0,0.666667,0,0,1.5,1,0
4,0,1,1,1,2,0,0,0.666667,1,1,5.5,2,0
3,0,0,1,6,0.375,1,2,0.208791,2,2,15.615385,6,0
3,0,1,1,4,0.5,1,0,0.75,0,0,31,1,1
2,0,8,3,6,0.428571,1,1,0.25,2,3,10.5,5,1
4,0,0,0,14,0,1,1,0.205128,0,0,8.153846,1,0
2,0,0,0,11,0,1,1,0.199074,1,8,6.083333,1,1
1,0,18,1,1,0.428571,1,0,0.314286,0,0,68.875,8,1
1,0,6,11,3,1,0,2,0.833333,0,0,2.25,1,1
1,0,1,3,0,0.277778,1,0,0.619048,0,0,13.285714,3,1
1,5,1,24,1,2,0,0,0.75,0,0,1.5,1,1
1,0,78,10,8,1.041667,0,1,0.427083,0,0,0.384615,1,1
1,0,21,1,0,2,0,0,0.321429,0,0,21.142857,4,1
2,0,1,1,1,0.583333,1,0,0.444444,1,1,67.428571,3,0
1,0,8,3,9,0.683333,1,2,0.236111,0,0,49.375,2,1
3,0,1,1,2,0.5,1,0,0.666667,0,0,19,1,1
1,0,0,2,0,2,0,0,0,0,0,136,0,1
1,0,15,11,0,2,0,0,0.375,0,0,0,1,0
1,0,3,5,0,1.333333,0,0,0.5,0,0,63.333333,3,1
4,0,349,10,8,0.936782,0.666667,0,0.155172,1,3,15.766667,6,1
2,0,0,2,6,2,0,0,0.352273,1,4,34.636364,2,1
2,1,0,2,5,0.4375,0.5,1,0.5,0,0,20.2,4,1
2,0,1,0,3,2,0,0,0.666667,0,0,4,1,1
2,1,86,6,10,0.844444,0.8,0,0.265432,1,7,35.107143,2,1
3,0,2,0,3,0.666667,1,0,0.625,0,0,12.75,1,1
3,0,0,3,6,0.45,1,0,0.220779,2,2,24.818182,7,0
2,0,0,1,1,0.125,0.5,0,0.466667,1,1,15,1,0
2,0,6,1,3,0.75,1,2,0.625,0,0,3.4,1,0
1,1,0,19,0,2,0,0,1,0,0,9,0,0
1,0,25,3,5,0.747253,0.846154,3,0.202381,0,0,42.2,6,0
3,0,0,0,3,0,0,0,0.666667,0,0,18.5,1,1
2,0,0,3,19,0.357143,0.5,1,0.189744,1,3,9.8,1,1
3,0,0,2,1,0.55,0.4,1,0.4,1,1,75.4,14,1
1,0,15,44,4,2,0,0,0.416667,0,0,0,1,0
1,17,34,35,3,0.875,1,1,0.416667,0,0,4.111111,1,1
1,4,1757,93,27,0.877794,1,5,0.102823,0,0,11.967742,11,1
2,0,0,2,6,0,1,1,0.4,1,1,11.2,2,1
2,0,0,1,5,0.5,0.5,0,0.333333,0,0,25.714286,1,0
1,0,17,1,8,0.555556,1,4,0.277778,0,0,64.2,4,1
1,0,153,1,4,0.85034,0.114286,1,0.380952,0,0,169.454545,236,0
2,0,9,1,3,0.333333,1,0,0.571429,0,0,25.428571,2,1
3,0,3,0,3,2,0,0,0.444444,0,0,55.666667,3,1
1,0,3,3,0,1.4375,0,2,0.5,0,0,4,2,0
2,0,0,0,3,0,1,1,0.666667,0,0,7.5,1,1
2,0,0,1,8,0.291667,1,2,0.259259,2,3,36.444444,11,1
2,0,0,1,8,0,1,1,0.333333,2,3,23.333333,4,0
3,0,15,1,8,0.6,0.7,3,0.285714,1,1,33.266667,10,1
3,0,9,2,6,0.777778,0.333333,1,0.333333,2,3,16,6,1
2,0,0,1,6,0.666667,0.666667,0,0.375,2,2,11.714286,3,1
1,0,0,0,2,0,0,0,0.4,0,0,19.5,2,1
1,0,4,2,1,0.583333,0.666667,1,0.5,0,0,27.4,7,1
5,0,1,2,1,2,0,0,0.666667,1,1,3.5,1,0
1,0,0,2,3,0.288462,1,0,0.320513,0,0,104.642857,10,0
1,3,51,3,4,0.809955,1,0,0.198413,0,0,26.222222,19,1
2,0,0,1,6,0.384615,1,0,0.171429,2,5,21.571429,6,1
1,0,1,1,20,0.733333,1,5,0.227273,0,0,106,10,0
1,0,1,0,0,1,0,0,1,0,0,17,0,0
2,2,1,2,8,0.333333,1,1,0.342857,2,3,18,5,0
2,0,26,1,7,0.609091,1,3,0.305556,1,3,36.583333,2,0
3,0,3,0,4,2,0,0,0.555556,2,3,5.666667,1,0
3,0,3,1,16,0.4,1,1,0.351852,2,3,48.166667,1,1
2,1,0,3,4,0.412698,1,1,0.3,1,3,32.3,2,1
1,0,24,14,1,0.75,0.166667,1,0.384615,1,1,12.153846,3,1
2,0,3,1,4,2,0,0,0.305556,1,1,5,1,0
1,0,3,1,1,0.602564,0,0,0.404762,0,0,15.5,1,0
3,0,5,1,4,0.825,0,1,0.333333,1,4,38.833333,16,0
4,0,0,5,0,2,0,0,1,0,0,4,0,0
1,0,61,11,1,0.692308,0,3,0.320513,0,0,11.285714,3,1
1,0,0,1,3,2,0,3,1,0,0,48,0,1
1,0,1344,4,22,0.843179,0.722222,10,0.1006,0,0,34.125,4,1
1,0,72,2,7,0.65,1,6,0.313725,0,0,26.294118,4,1
3,0,69,0,13,0.96337,0.571429,0,0.205128,0,0,49.142857,1,0
2,2,0,2,7,0.666667,1,4,0.21978,1,3,24.846154,3,0
3,0,1,0,5,1,1,0,0.75,1,2,22.5,1,1
1,0,0,1,1,2,0,3,1,0,0,12,0,0
1,0,0,0,2,0,1,0,0.666667,0,0,14.5,3,0
1,1,64,41,0,0.611111,1,0,0.292308,0,0,13.923077,4,0
4,0,6,1,0,2,0,0,0.666667,0,0,4,0,0
1,0,0,8,0,2,0,0,1,0,0,27,0,1
1,0,0,1,2,0.375,1,1,0.6,0,0,10.6,2,1
2,0,104,5,15,0.65625,1,3,0.2375,1,3,22.952381,6,1
