@relation data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R59-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R56-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R53-weka.filters.unsupervised.attribute.Remove-R25-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R3

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute LDHH_noc numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0,0,0,0,0,0,1,8.28236,0,18,0,6,1.03,1,1,0,0,4.04,0.010659,62,clean
0,0,0,0,0,0,0,0,0,0,10,0,21,0,1,1,1,0,0,0,15,clean
0,0,0,0,0,0,0,0,0.102033,0,0,0,28,0,8,0,8,0,1.01,0,25,clean
0,0.000855,0,0,0,5,2,0,8.15351,0,56,0,45,0,5,0,0,0.001409,25.5,0,197,buggy
0,0.001738,0.000844,0,0.002035,4,5,2,8.71535,0,396,0,28,1.07,4,1,0,0.001409,3.03,0.009981,57,clean
0,0,0,0,0,0,0,0,8.21821,0,95,0,105,1.14,3,0,2,0,3.05,0,73,buggy
0,0,0,0.018394,0,0,0,0,0.153793,0,70,0,28,0,4,1,4,0,0,0,260,clean
0,0.014864,0.005736,0,0.006873,6,0,0,8.03229,0,5,0,55,1.1,6,1,0,0,3.05,0.006726,40,clean
0,0,0,0,0,0,1,0,0.159077,0,58,0,45,0,4,0,4,0,0,0,24,clean
0,0.002588,0.008665,0.001296,0.000358,0,1,0,0.447559,1.01,18,0.000585,45,4.35,5,0,0,0.00026,5.08,0.008935,18,buggy
2,0.039109,0.023098,0,0,2,3,1,8.85653,0,28,0,1596,21.3,12,0,0,0.001409,2.02,0.006192,16,buggy
0,0.0035,0.004077,0,0.001136,9,1,1,0.347632,1.01,8,0,703,8.27,12,0,0,0,4.16,0.001096,46,clean
0,0.006842,0,0,0,0,0,0,8.07898,0,96,0,78,0,4,0,2,0,4.06,0,88,clean
0,0.004433,0,0,0,0,0,0,8.38839,0,0,0,15,0,2,1,0,0,1.01,0.000735,8,clean
0,0,0,0,0,0,0,0,0.124288,0,70,0,15,1.05,1,1,0,0,8.13,0.001104,264,clean
2,0,0.001564,0,0,0,0,0,8.25406,0,15,0,15,2.09,13,0,0,0,1.01,0.001488,8,buggy
0,0,0,0,0,0,0,0,0.097153,0,2,0,0,0,0,0,0,0,3.08,0,33,clean
0,0,0,0,0,0,2,1,0.34386,0,0,0,55,0,5,0,0,0,2.02,0.002091,8,clean
0,0,0,0,0,0,0,0,0.120678,0,0,0,91,0,0,0,0,0,1.01,0,22,clean
0,0,0,0,0.002662,4,0,0,0.197432,0,400,0,36,0,4,1,0,0.001409,4.04,0.001375,65,clean
3,0.004147,0.009451,0.005028,0,0,0,1,8.23713,0,3,0,15,2.12,2,1,2,0.008262,2.05,0.009701,12,clean
0,0.006842,0.00143,0,0,0,0,0,8.17266,0,95,0,276,1.45,14,0,8,0,3.05,0.000708,73,clean
1,0.021428,0.001069,0,0.000965,6,2,0,0.323213,1.01,34,0.001667,45,1.17,9,0,0,0.001409,4.04,0.003897,24,clean
0,0,0,0,0,2,0,1,8.28677,0,426,0,78,0,2,1,0,0.001409,7.17,0.003153,124,buggy
0,0,0,0.000864,0,10,0,1,0.59548,0,380,0,15,0,21,0,11,0.001409,2.02,0.002838,38,buggy
0,0,0,0,0,0,0,0,0.175082,0,34,0,6,0,0,0,0,0,4.04,0.000993,87,clean
0,0,0,0,0,0,0,0,0.175967,0,50,0,120,0,2,0,0,0,1.04,0.00073,174,clean
0,0,0,0,0,3,0,0,8.13196,0,384,0,15,0,3,0,0,0.001409,5.06,0.001592,69,clean
4,0.014706,0,0,0.002101,4,2,4,0.916961,0,78,0,861,6.31,58,2,3,0,1.01,0.002449,8,buggy
1,0.002917,0.001642,0.002,0,1,3,0,0.304144,1.01,0,0.002037,28,1.07,6,0,5,0,1.01,0.000893,11,clean
0,0,0,0,0,0,0,0,0,0,55,0,1,0,1,1,1,0,0,0,139,clean
1,0.00099,0,0,0,0,4,0,0.186438,0,7,0,1378,0,24,0,0,0,1.02,0,35,clean
0,0,0,0.000622,0,0,0,0,0.212972,0,0,0,3,0,4,0,4,0,1.01,0,8,clean
0,0,0,0,0,0,1,0,0.097153,0,0,0,10,0,0,0,0,0,1.01,0,8,clean
0,0.003249,0,0,0,0,0,0,0.097153,0,4,0,1,0,0,0,0,0,2.04,0,21,clean
0,0.036079,0.010067,0.006613,0.004246,1,0,0,8.19862,0,49,0,21,3.18,2,0,1,0.001409,24.4,0.002385,148,clean
0,0,0,0,0,0,0,0,8.13654,0,394,0,3,0,0,0,0,0.001409,5.06,0.00298,102,clean
0,0.010167,0,0,0,4,1,0,0.125968,1.01,28,0.000292,10,0,4,0,0,0.001409,2.02,0,16,clean
0,0.001008,0,0,0,0,0,0,0.120784,0,0,0,15,0,3,0,3,0,1.01,0,8,clean
0,0.004765,0.000744,0,0.008082,13,5,3,8.7181,1.01,384,0.000585,136,1.16,13,0,0,0.001409,5.06,0.012779,77,buggy
10,0,0,0.001024,0,0,0,1,8.20884,0,0,0,23005,12.57,17,0,17,0,1.01,0.002724,212,buggy
0,0,0.000441,0,0,1,0,0,0.147285,0,397,0,6,1.03,2,0,1,0.001409,3.03,0.000909,64,clean
0,0,0.000862,0,0,0,3,1,0.176547,0,0,0,45,1.09,0,0,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,0.167452,0,386,0,1,0,2,0,0,0.001409,5.06,0,86,clean
0,0,0,0,0,2,0,0,0.280256,0,423,0,21,0,2,0,0,0.001409,7.09,0.003153,107,clean
9,0,0,0,0,2,0,0,0.197636,0,0,0,66,0,2,0,0,0,1.01,0.000869,8,clean
0,0,0,0,0,0,0,0,0,0,53,0,3,0,1,1,1,0,0,0,134,clean
0,0,0,0,0,0,0,0,0.038262,0,68,0,21,0,1,0,0,0,4.04,0,33,buggy
30,0.001562,0.000757,0.002357,0,0,1,1,8.822,0,5,0,561,11.93,2,0,2,0,1.01,0.005326,10,buggy
0,0,0,0,0,0,0,0,8.07898,0,96,0,55,0,2,0,1,0,4.06,0,88,clean
0,0.004467,0,0,0.000535,1,0,0,8.10751,0,95,0,91,0,6,0,3,0,2.02,0,76,clean
0,0,0,0,0,0,0,0,0.097153,0,1,0,15,0,3,0,0,0,1.01,0,12,clean
0,0,0.000862,0,0.000529,5,1,0,0.237905,0,0,0,78,1.12,5,0,0,0,2.02,0.000823,18,clean
0,0,0,0,0.002662,2,0,0,0.076534,0,421,0,1,0,2,0,0,0.001409,2.02,0,68,clean
0,0,0,0,0,1,3,3,8.56079,0,396,0,21,0,1,0,0,0.001409,3.03,0.004375,57,clean
0,0,0,0,0,0,0,0,7.97221,0,397,0,3,0,0,0,0,0,2.02,0,94,clean
0,0.028144,0.001687,0,0,0,3,1,8.4521,0,384,0,153,3.51,0,0,0,0.001409,5.06,0.002691,69,clean
0,0,0,0,0,0,0,0,0.097153,0,159,0,1,0,1,0,1,0.001409,3.04,0,30,clean
1,0,0,0.001522,0.003988,1,2,2,8.64911,0,387,0,36,0,1,1,0,0.001409,8.1,0,101,buggy
2,0,0,0,0,0,0,0,0.270163,0,3,0,21,1.06,1,0,1,0,1.01,0.002827,12,clean
0,0,0,0.003402,0,0,0,0,8.70653,0,68,0,91,1.13,3,2,1,0,4.04,0.006543,33,buggy
0,0,0,0,0,0,1,0,0.242697,0,67,0,36,0,7,0,0,0,10.15,0.000993,47,buggy
3,0.020603,0.009891,0,0,2,1,0,8.16642,0,0,0,45,3.25,2,1,0,0,0,0.007499,8,clean
0,0.001193,0.001833,0,0,0,0,1,8.43262,0,57,0,78,2.23,0,0,0,0.001409,24.51,0.001064,202,clean
0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,clean
0,0,0,0,0,0,6,0,0.097153,0,2,0,3,0,1,1,0,0,2.04,0,14,clean
0,0,0,0,0,1,1,0,0.066709,0,0,0,6,0,1,0,0,0,1.01,0,8,clean
3,0,0,0.001517,0,0,1,0,0.185927,0,19,0,351,0,12,0,8,0,0,0,0,clean
0,0,0.001069,0,0.000939,1,0,1,0.241568,0,7,0,21,1.06,1,0,0,0,4.06,0,22,clean
41,0.004293,0.003609,0.00771,0.005114,10,0,12,9.11903,0,0,0,1326,13.48,26,7,15,0,1.01,0.012312,8,buggy
1,0,0,0.001798,0,0,0,0,8.14193,0,8,0,253,0,23,0,23,0,1.01,0,40,clean
0,0,0,0,0,1,0,0,0.186314,0,400,0,3,0,2,0,1,0.001409,4.04,0.000909,65,clean
1,0,0.001886,0,0,0,0,0,8.39244,0,0,0,253,4.49,5,2,0,0,2.04,0.006091,15,clean
0,0.00158,0.000628,0,0.000741,13,0,2,8.37102,0,380,0,21,1.06,16,1,0,0.001409,2.02,0.009682,38,buggy
0,0.009397,0,0,0.000397,1,11,0,8.73166,2.02,39,0.002501,300,3.69,29,1,0,0,1.01,0.002669,8,buggy
0,0,0,0,0,0,3,0,8.14618,0,18,0,190,2.59,7,0,0,0,4.04,0.011942,62,clean
2,0.005977,0,0,0,4,0,0,0.122501,0,0,0,55,0,4,0,0,0,1.02,0,16,clean
3,0,0,0,0,2,0,0,8.21981,0,17,0,55,0,10,2,6,0,1.01,0.01252,19,clean
0,0.007698,0,0,0,0,0,0,8.19704,0,99,0,561,3.27,19,1,8,0,3.03,0.000893,100,clean
0,0.016949,0,0,0,0,1,0,0.097153,0,11,0,10,0,1,0,0,0.004395,3.1,0,47,clean
0,0.001008,0.000627,0,0,0,0,1,8.64482,0,0,0,45,1.09,276,0,1,0,1.01,0.000893,8,buggy
0,0.001859,0,0,0,0,0,0,8.12186,0,95,0,300,0,15,0,2,0,2.02,0,70,clean
0,0,0,0,0,1,3,0,0.097153,0,4,0,21,0,1,0,0,0,3.05,0.00143,33,clean
0,0.004829,0.005924,0,0,1,7,0,8.2857,1.01,35,0.0038,351,3.98,1,3,0,0,7.13,0.005647,76,clean
0,0,0,0,0,1,1,1,8.0855,1.01,10,0.000367,10,0,1,1,0,0,4.06,0,59,clean
0,0.002075,0.000978,0.000714,0.001986,2,2,2,0.211619,0,0,0,1,1.54,3,2,0,0,1.01,0.002755,8,clean
0,0,0,0,0,1,0,0,0.167908,0,398,0,78,0,1,0,0,0.001409,2.02,0.001119,56,buggy
0,0,0,0,0,0,0,4,0.470371,0,0,0,0,1.01,0,0,0,0,0,0,0,clean
0,0,0,0.001798,0,0,0,2,0.290484,0,50,0,703,0,14,0,0,0,1.04,0.00073,185,clean
0,0.003082,0,0,0,0,0,0,0.161093,0,0,0,1,0,0,0,0,0,1.01,0,8,clean
0,0,0,0,0,3,0,0,0,0,14,0,10,0,3,1,0,0,0,0,11,clean
0,0,0.000905,0,0,9,0,4,0.502158,0,412,0,36,1.08,9,0,0,0.001409,5.06,0,94,clean
0,0,0,0.018394,0,0,0,0,0.210663,0,69,0,66,0,4,1,4,0,0,0.006522,304,clean
0,0,0,0,0,0,1,0,0.088394,0,0,0,1,0,5,0,0,0,1.01,0,8,clean
0,0,0.000847,0,0,1,0,0,0.037167,0,396,0,28,1.07,1,0,0,0,8.1,0,102,clean
0,0.001726,0.005861,0,0.000516,2,0,0,0.333686,0,0,0,28,3.27,2,0,0,0,1.01,0,8,buggy
1,0,0.001642,0.001003,0.000522,0,0,0,0.124861,0,0,0,1,1.02,0,0,0,0,1.01,0.001237,8,clean
0,0,0,0,0,0,0,0,8.07985,0,3,0,0,0,0,1,0,0.008262,4.13,0.006321,38,buggy
0,0,0,0,0,4,0,0,0.097153,0,0,0,55,0,5,0,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,0.097153,0,0,0,0,0,1,0,1,0,2.03,0,23,clean
4,0.002281,0,0,0,0,0,0,0.178442,0,15,0,28,1.08,2,0,0,0,2.04,0.001336,17,buggy
0,0,0.001421,0.000634,0,0,0,0,8.14429,0,97,0,210,3.87,9,0,4,0,3.03,0.000893,84,clean
2,0.018756,0.003116,0,0.001805,12,0,1,0.367434,0,274,0,105,1.14,12,1,0,0.001409,9.09,0,103,buggy
0,0,0,0,0,0,0,0,0.097153,0,394,0,3,0,0,0,0,0.001409,5.06,0,102,clean
8,0,0,0.002621,0,0,0,0,8.50601,0,39,0,136,1.7,2,0,2,0,1.01,0.005572,8,buggy
0,0,0,0,0,2,0,0,0.128104,0,43,0,0,0,2,0,0,0.001409,4.06,0,33,clean
0,0,0,0.000741,0,3,0,0,0.093454,0,3,0,21,1.07,10,1,7,0.001409,2.05,0,21,clean
0,0,0,0,0,0,0,0,0.097153,0,0,0,20706,0,0,0,0,0,1.01,0,212,buggy
0,0,0.001945,0,0,1,1,0,0.081809,0,0,0,15,0,1,0,0,0,0,0,8,clean
0,0,0.000844,0.000634,0,0,0,0,8.07898,0,95,0,136,1.45,8,0,5,0,2.02,0,68,clean
4,0.001588,0.001069,0,0,1,1,0,8.43925,0,48,0,66,4.39,6,0,0,0,1.01,0.001965,11,buggy
0,0,0.008311,0,0,3,2,1,8.45532,1.02,385,0.001203,10,1.05,3,1,0,0.001409,8.1,0.013031,95,clean
2,0,0,0,0.000358,3,0,1,0,0,402,0,1711,3.71,11,0,8,0.001409,1.01,0,8,clean
0,0,0,0,0,0,0,0,8.14429,0,95,0,105,0,5,0,3,0,2.02,0,68,clean
0,0.001863,0.000844,0,0,0,2,0,8.09027,0,8,0,45,1.46,3,1,0,0.004395,3.06,0.000893,37,clean
0,0.000496,0.001501,0,0.000513,8,0,1,0.345974,0,0,0,45,2.17,8,0,0,0,2.02,0,18,clean
0,0,0,0.000572,0,2,0,1,0.375188,0,0,0,1,0,10,1,8,0,0,0,0,clean
0,0,0,0,0,3,2,2,8.49381,0,402,0,3828,22.01,25,2,0,0.001409,1.01,0,8,clean
1,0,0.002399,0,0,1,0,0,8.23988,1.02,61,0.001421,10,1.04,2,0,0,0,11.19,0.001961,49,buggy
0,0.001278,0,0,0,2,0,0,8.22094,0,49,0,15,0,2,0,0,0.001409,24.4,0.009261,148,clean
0,0,0.000847,0,0,2,0,0,0.085172,0,406,0,36,1.15,2,0,0,0,7.09,0,115,clean
0,0.002782,0,0,0.000535,1,0,0,8.10751,0,95,0,91,0,6,0,3,0,2.02,0,76,clean
0,0,0,0,0,0,0,0,0,0,0,0,78,0,3,1,1,0,0,0,5,clean
0,0,0,0,0,0,1,0,0.031629,0,13,0,10,0,1,0,0,0,2.06,0,55,clean
0,0.000838,0,0,0,0,0,0,8.1394,0,95,0,136,0,7,0,4,0,3.05,0,73,clean
0,0.001803,0,0.005029,0,3,0,2,0.415625,0,0,0,78,0,7,1,0,0,1.01,0.00073,8,buggy
0,0.001137,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8,buggy
0,0.000857,0.001022,0.000583,0,0,0,0,0.062975,0,1,0,6,1.05,5,0,5,0,2.06,0.000938,31,clean
3,0.000725,0.00383,0.002253,0.006846,44,0,1,8.49782,0,114,0,1225,16.7,107,1,2,0,1.01,0.008359,20,clean
0,0,0,0,0.000882,2,0,0,8.2573,0,397,0,3,0,2,0,0,0.001409,6.09,0,124,clean
10,0.004423,0.00378,0.002144,0.000741,8,0,1,8.63408,0,5,0,946,15.31,43,2,8,0,5.1,0.017114,21,buggy
0,0,0,0,0,0,0,0,0.056104,0,18,0,10,0,1,0,0,0,4.04,0,62,clean
11,0.018328,0.014344,0.00159,0.001623,0,0,6,9.15563,0,0,0,2080,22.31,182,7,2,0,0,0.0422,0,buggy
3,0,0.008311,0,0.000397,6,1,0,8.24891,0,153,0,136,1.31,6,0,0,0.001409,2.02,0.000508,16,buggy
0,0,0,0,0,0,0,0,0.124162,0,61,0,3,0,1,0,0,0,10.15,0,45,buggy
0,0,0,0,0,0,0,1,0.198308,0,45,0,91,0,6,1,0,0,0,0.000909,4,clean
1,0,0,0,0,1,0,0,0.097153,0,3,0,3,0,1,0,0,0,2.04,0,17,clean
0,0.001542,0.000627,0.012497,0,0,0,0,8.27278,0,5,0,36,3.26,1,0,1,0,4.08,0.012709,21,clean
0,0,0.005736,0,0.006873,8,1,0,8.14818,0,4,0,55,1.1,8,2,0,0,3.05,0.005297,33,clean
4,0.004257,0.003114,0.000741,0,0,1,1,8.31555,1.01,3,0.000828,276,2.66,9,1,0,0.001409,3.06,0.001119,25,clean
0,0,0,0,0.01,3,0,0,0.153793,0,4,0,78,0,10,1,4,0,0,0.012545,33,clean
0,0,0,0,0,0,0,0,8.10896,0,99,0,171,0,9,0,3,0,3.03,0,100,clean
0,0.014496,0.012242,0,0.004634,0,0,0,0.094512,0,84,0,3,0,0,1,0,0,1.05,0,16,clean
0,0,0,0,0,0,0,0,0.096569,0,6,0,0,0,1,0,1,0,2.03,0,27,clean
0,0,0,0,0,2,0,0,0.097153,0,14,0,6,0,2,0,0,0,1.01,0,11,clean
1,0.001008,0,0,0,4,0,0,0.14946,0,0,0,36,0,4,0,0,0,1.01,0,8,clean
10,0,0.000844,0.000634,0.000882,11,0,0,8.78565,0,13,0,120,5.13,22,3,11,0,8.1,0.00905,19,buggy
3,0.002385,0.00073,0.000774,0.001476,5,0,5,8.7335,0,38,0,66,2.45,7,0,2,0.001409,6.12,0.006797,80,clean
0,0,0,0,0,1,0,0,0.127553,0,37,0,1,0,1,0,0,0.001409,7.13,0,72,buggy
0,0,0,0,0,1,0,0,0.097153,0,8,0,3,0,1,0,0,0,2.03,0.000909,19,clean
0,0.018039,0.00896,0,0,6,1,1,0.68651,1.01,49,0.000295,253,6.75,6,0,0,0.001409,24.4,0.010454,148,buggy
5,0.000798,0,0.008944,0,0,0,1,8.55521,0,3,0,15,2.86,13,4,5,0.009671,2.05,0.012159,12,clean
0,0,0,0,0,0,0,0,0.097153,0,1,0,3,0,2,0,2,0,1.01,0,31,clean
0,0.00319,0,0,0,0,6,0,0.066709,0,95,0,28,0,0,0,0,0,2.02,0,68,clean
0,0,0,0,0,0,1,0,0.235473,0,0,0,136,3.58,21,0,1,0,1.01,0.000938,8,buggy
0,0.001903,0.015395,0.001798,0,0,1,2,8.66042,0,81,0,1540,17.25,5,3,4,0,14.4,0.009986,263,buggy
0,0.000704,0,0,0,0,0,0,8.1394,0,95,0,105,0,24,0,3,0,2.02,0,68,clean
0,0,0,0,0,0,0,0,8.10896,0,95,0,91,0,7,0,5,0,2.02,0,75,clean
0,0,0,0,0,0,0,0,0.097153,0,0,0,0,0,2,0,1,0,2.03,0,23,clean
0,0,0,0,0,0,0,0,0.097153,0,1,0,3,0,3,0,3,0,1.01,0,31,clean
2,0.002352,0,0,0,0,1,1,8.20471,0,3,0,45,0,3,1,0,0,2.04,0.022066,17,clean
0,0,0,0,0,1,0,0,8.1338,0,0,0,28,0,1,0,0,0,2.02,0,18,clean
0,0.002688,0.001729,0,0,0,0,0,8.29439,0,0,0,28,0,10,0,10,0,1.01,0.002753,8,clean
0,0.001448,0,0,0,0,17,0,0.097153,2.02,0,0.000828,6,0,4,0,3,0,1.01,0,22,clean
0,0,0,0,0,0,0,0,0.123602,0,387,0,1,0,0,0,0,0.001409,2.02,0,32,clean
0,0.001269,0,0,0,1,4,0,0.165248,0,411,0,300,0,1,0,0,0.001409,5.06,0,69,clean
0,0,0,0,0,0,0,0,8.3227,0,0,0,0,0,0,0,0,0,1.01,0,8,clean
0,0,0,0,0,0,0,0,0.036648,0,2,0,21,0,1,0,1,0,1.03,0,17,clean
0,0,0,0,0,0,0,0,8.13295,0,0,0,3,0,5,0,2,0,1.02,0,16,clean
0,0,0.002091,0,0,10,3,5,8.8816,0,387,0,435,4.1,10,0,0,0.001409,4.05,0.011574,94,buggy
0,0,0,0,0,0,0,1,8.16785,0,95,0,91,0,5,0,3,0,2.02,0,73,clean
