@relation lucene-2.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
1,0,3,2,2,0,0.833333,0,8.333333,2,1
2,0,0,0,0.5,0,0.333333,0,8.285714,1,1
2,0,0,2,0.52381,1,0.208791,3,20.923077,2,1
5,0,0,4,2,0,1,0,4,0,0
1,0,10,20,2,0,0.6,0,0,1,0
1,0,0,3,0.75,4,0.4,0,19.4,5,0
1,1,12,2,0.690909,4,0.21875,0,29.166667,1,0
2,0,70,2,0.72,2,0.5,5,15.75,1,1
2,0,0,3,0.589286,0,0.191667,3,18.933333,6,1
2,0,1,0,2,0,0.666667,0,4,1,0
1,0,0,0,0.388889,0,0.34,0,26.8,5,1
3,0,15,1,1.12,0,0.5,1,28.833333,14,0
1,0,0,2,0.888889,3,0.375,0,56.25,2,1
2,0,7,1,0.612245,1,0.2,3,17.666667,3,1
1,5,103,31,0.928571,0,0.28,0,16,1,1
1,2,6,23,2,0,1,0,1.25,1,1
3,0,1,2,2,0,0.583333,1,31,1,0
2,0,1,1,0,0,0.314286,1,51.571429,12,1
1,0,1,1,2,0,0.666667,0,0,1,0
2,0,0,1,0.666667,0,0.375,2,12.714286,3,1
2,0,0,1,0.333333,2,0.47619,3,24.142857,1,0
3,0,0,0,0,1,0.75,0,16,1,1
1,0,0,0,0.344,4,0.184615,0,25.730769,2,1
2,0,0,1,0.375,0,0.466667,1,15.2,1,0
2,0,0,3,0.766667,6,0.211538,2,26.076923,1,1
4,0,0,1,0.55,1,0.4,1,74,14,0
2,0,0,1,0.666667,1,0.47619,0,14.5,4,0
2,0,48,2,0.5625,2,0.135747,4,14.294118,7,1
2,0,1,4,2,0,0.666667,3,18.5,4,0
1,4,4,7,0.5,0,0.8,0,2.6,1,1
2,0,15,1,2,0,0.666667,3,4.166667,1,0
4,0,0,2,2,0,1,0,4,0,0
2,0,0,11,2,1,1,0,9,0,1
1,1,0,2,0.690476,2,0.309524,0,49,1,0
2,0,0,1,0.484848,2,0.625,1,40.25,1,0
1,0,0,3,2,0,0,0,68,0,0
1,0,282,1,0.720301,1,0.405714,0,83.472222,112,1
1,0,3,4,2,0,0.666667,0,6,1,0
2,1,9,5,0.5,1,0.265306,3,9.428571,4,1
1,5,15,32,2,0,0.583333,0,2.5,1,0
2,0,1,1,0.64,6,0.35,0,26.166667,6,0
2,0,193,3,0.824176,0,0.16835,9,19.407407,2,1
2,0,0,1,0.545455,2,0.285714,3,43.222222,2,0
3,0,9,2,0.777778,1,0.333333,3,16,6,1
2,0,0,2,0.3125,2,0.222222,4,14.666667,5,1
3,0,9,2,0.777778,1,0.333333,3,16,6,1
1,0,4,4,0.821429,2,0.35,0,20,2,1
2,2,8,5,0.5,2,0.407407,2,10.222222,2,0
1,0,28,25,2,0,0.3,0,0,1,0
2,0,732,6,0.899793,10,0.131119,8,26.355556,28,1
2,0,73,2,0.826923,3,0.25641,3,24.5,7,1
2,0,0,0,0.125,1,0.55,0,13.2,2,0
1,6,1,22,2,0,0.666667,0,1.5,1,0
4,0,1,1,2,0,0.666667,1,5.5,2,0
3,0,0,1,0.375,2,0.208791,2,15.615385,6,0
3,0,1,1,0.5,0,0.75,0,31,1,1
2,0,8,3,0.428571,1,0.25,3,10.5,5,1
4,0,0,0,0,1,0.205128,0,8.153846,1,0
2,0,0,0,0,1,0.199074,8,6.083333,1,1
1,0,18,1,0.428571,0,0.314286,0,68.875,8,1
1,0,6,11,1,2,0.833333,0,2.25,1,1
1,0,1,3,0.277778,0,0.619048,0,13.285714,3,1
1,5,1,24,2,0,0.75,0,1.5,1,1
1,0,78,10,1.041667,1,0.427083,0,0.384615,1,1
1,0,21,1,2,0,0.321429,0,21.142857,4,1
2,0,1,1,0.583333,0,0.444444,1,67.428571,3,0
1,0,8,3,0.683333,2,0.236111,0,49.375,2,1
3,0,1,1,0.5,0,0.666667,0,19,1,1
1,0,0,2,2,0,0,0,136,0,1
1,0,15,11,2,0,0.375,0,0,1,0
1,0,3,5,1.333333,0,0.5,0,63.333333,3,1
4,0,349,10,0.936782,0,0.155172,3,15.766667,6,1
2,0,0,2,2,0,0.352273,4,34.636364,2,1
2,1,0,2,0.4375,1,0.5,0,20.2,4,1
2,0,1,0,2,0,0.666667,0,4,1,1
2,1,86,6,0.844444,0,0.265432,7,35.107143,2,1
3,0,2,0,0.666667,0,0.625,0,12.75,1,1
3,0,0,3,0.45,0,0.220779,2,24.818182,7,0
2,0,0,1,0.125,0,0.466667,1,15,1,0
2,0,6,1,0.75,2,0.625,0,3.4,1,0
1,1,0,19,2,0,1,0,9,0,0
1,0,25,3,0.747253,3,0.202381,0,42.2,6,0
3,0,0,0,0,0,0.666667,0,18.5,1,1
2,0,0,3,0.357143,1,0.189744,3,9.8,1,1
3,0,0,2,0.55,1,0.4,1,75.4,14,1
1,0,15,44,2,0,0.416667,0,0,1,0
1,17,34,35,0.875,1,0.416667,0,4.111111,1,1
1,4,1757,93,0.877794,5,0.102823,0,11.967742,11,1
2,0,0,2,0,1,0.4,1,11.2,2,1
2,0,0,1,0.5,0,0.333333,0,25.714286,1,0
1,0,17,1,0.555556,4,0.277778,0,64.2,4,1
1,0,153,1,0.85034,1,0.380952,0,169.454545,236,0
2,0,9,1,0.333333,0,0.571429,0,25.428571,2,1
3,0,3,0,2,0,0.444444,0,55.666667,3,1
1,0,3,3,1.4375,2,0.5,0,4,2,0
2,0,0,0,0,1,0.666667,0,7.5,1,1
2,0,0,1,0.291667,2,0.259259,3,36.444444,11,1
2,0,0,1,0,1,0.333333,3,23.333333,4,0
3,0,15,1,0.6,3,0.285714,1,33.266667,10,1
3,0,9,2,0.777778,1,0.333333,3,16,6,1
2,0,0,1,0.666667,0,0.375,2,11.714286,3,1
1,0,0,0,0,0,0.4,0,19.5,2,1
1,0,4,2,0.583333,1,0.5,0,27.4,7,1
5,0,1,2,2,0,0.666667,1,3.5,1,0
1,0,0,2,0.288462,0,0.320513,0,104.642857,10,0
1,3,51,3,0.809955,0,0.198413,0,26.222222,19,1
2,0,0,1,0.384615,0,0.171429,5,21.571429,6,1
1,0,1,1,0.733333,5,0.227273,0,106,10,0
1,0,1,0,1,0,1,0,17,0,0
2,2,1,2,0.333333,1,0.342857,3,18,5,0
2,0,26,1,0.609091,3,0.305556,3,36.583333,2,0
3,0,3,0,2,0,0.555556,3,5.666667,1,0
3,0,3,1,0.4,1,0.351852,3,48.166667,1,1
2,1,0,3,0.412698,1,0.3,3,32.3,2,1
1,0,24,14,0.75,1,0.384615,1,12.153846,3,1
2,0,3,1,2,0,0.305556,1,5,1,0
1,0,3,1,0.602564,0,0.404762,0,15.5,1,0
3,0,5,1,0.825,1,0.333333,4,38.833333,16,0
4,0,0,5,2,0,1,0,4,0,0
1,0,61,11,0.692308,3,0.320513,0,11.285714,3,1
1,0,0,1,2,3,1,0,48,0,1
1,0,1344,4,0.843179,10,0.1006,0,34.125,4,1
1,0,72,2,0.65,6,0.313725,0,26.294118,4,1
3,0,69,0,0.96337,0,0.205128,0,49.142857,1,0
2,2,0,2,0.666667,4,0.21978,3,24.846154,3,0
3,0,1,0,1,0,0.75,2,22.5,1,1
1,0,0,1,2,3,1,0,12,0,0
1,0,0,0,0,0,0.666667,0,14.5,3,0
1,1,64,41,0.611111,0,0.292308,0,13.923077,4,0
4,0,6,1,2,0,0.666667,0,4,0,0
1,0,0,8,2,0,1,0,27,0,1
1,0,0,1,0.375,1,0.6,0,10.6,2,1
2,0,104,5,0.65625,3,0.2375,3,22.952381,6,1
