@relation 'jdt-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.42sexp-0.416exp-0.377rexp-0.375nm-0.357nf... numeric
@attribute -0.408sexp-0.408exp+0.392nf+0.371nm-0.367rexp... numeric
@attribute -0.606ndev-0.543lt+0.324la-0.274entropy-0.203fix... numeric
@attribute -0.549entropy+0.538npt+0.364pd+0.349lt+0.278nf... numeric
@attribute 0.734ld+0.563la+0.204fix+0.201ndev+0.164lt... numeric
@attribute -0.762ns-0.532fix+0.225ndev+0.201ld+0.116lt... numeric
@attribute -0.671la+0.574ld-0.319fix+0.309ns-0.076ndev... numeric
@attribute 0.661fix-0.467ns-0.322la-0.304npt+0.263ld... numeric
@attribute 0.713lt-0.499ndev-0.384npt-0.171fix+0.122rexp... numeric
@attribute 0.703entropy+0.561npt-0.311ndev+0.162rexp+0.151pd... numeric
@attribute '-0.705nm+0.62 pd-0.195npt-0.188rexp+0.105ns...' numeric
@attribute bug {1,0}

@data
-2.10252,-3.143591,1.565172,0.289308,-0.562345,-0.557178,0.422225,0.243421,0.258107,0.28135,-0.34836,0
-2.68623,-2.225099,0.164955,0.15891,0.27652,-1.471461,-0.595394,1.535717,-0.059409,1.212199,-0.881581,0
-2.576533,-3.609488,1.678278,0.30843,-0.585607,-0.683172,0.427543,0.383406,0.488097,0.500091,-0.586298,0
-3.191221,-2.937036,1.033362,-0.839299,-0.517159,-0.607476,0.291305,0.553678,0.551431,2.206161,-0.83718,0
-3.72067,-1.741321,1.064303,-1.26377,-0.609039,-0.467325,0.25368,0.73749,0.800456,1.632996,-1.519295,0
-2.856814,-2.477968,1.116199,-0.470174,-0.522467,-0.526517,0.339496,0.404921,0.58468,1.739254,-1.123384,0
-4.611213,-1.544737,-0.614466,-1.560324,-0.110272,0.118225,-0.082921,0.579104,0.520642,-0.397937,-0.582128,0
-2.725692,-3.638092,1.104529,0.575005,-0.385729,-0.52463,0.339428,0.225067,0.50661,0.245786,-0.219501,0
-19.183819,21.479841,8.717991,7.668611,0.830177,1.280387,-2.11093,0.572332,3.292828,-1.441428,-8.410856,1
-8.535633,10.931287,3.902735,2.738433,-1.509152,0.803472,0.38034,1.194536,2.690079,-3.268648,-6.130334,1
-2.175829,-3.192475,1.804979,0.222114,-0.675288,-0.641399,0.474116,0.36039,0.402881,0.554505,-0.64977,0
-2.506824,-2.859073,1.503474,-0.09561,-0.35163,-0.552115,0.157602,0.256594,0.647808,1.1373,-0.903052,0
0.98919,0.314297,0.518839,0.249702,-0.159371,0.499549,0.248269,-0.732984,-0.538927,-0.308451,0.098256,0
-2.287375,-3.475001,0.376729,1.318561,0.249145,-1.624535,-0.51502,1.694975,1.554726,0.818046,-0.814304,0
0.456693,-0.029247,-0.499803,0.4356,-0.036259,0.708281,0.284781,-0.890715,-0.91609,-0.71231,0.19736,0
0.538728,-0.070588,-0.144068,0.409016,-0.168565,0.578582,0.348297,-0.754308,-0.683002,-0.544087,0.16995,0
1.196238,0.485101,-1.116414,0.975045,0.069176,0.919226,0.271934,-0.928598,0.594716,-0.281839,0.123106,0
0.227535,-0.467144,-3.39101,2.30221,0.798937,1.32035,-0.027123,-1.111169,2.859266,-0.037526,0.222464,0
0.829312,0.062638,0.210934,0.351961,-0.295141,0.485327,0.396808,-0.655056,-0.429631,-0.364873,0.097322,0
0.093866,0.551756,-1.442603,-0.410329,0.134454,0.914885,0.130732,-0.834246,-0.82983,0.650173,0.388422,0
-1.155904,-0.161031,-0.795242,-0.574163,0.255125,0.58817,-0.091135,-0.709945,-1.294021,0.669872,0.161868,0
0.723833,0.108158,-0.228675,0.45536,-0.156431,0.632679,0.346724,-0.785452,-0.556025,-0.504045,0.156111,0
-0.180898,0.529904,-2.777389,0.30526,0.489133,1.182578,0.019017,-0.929475,0.788471,1.046263,0.080219,0
0.726831,0.082318,-0.337861,0.513674,-0.099615,0.65938,0.318428,-0.803012,-0.403099,-0.482268,0.137554,0
0.086348,-0.429386,-1.42558,1.094016,0.565926,-0.434078,-0.463517,0.555203,-1.014116,-0.783934,0.128548,0
0.72824,-0.000139,-5.574524,3.449271,1.396556,1.96861,-0.234527,-1.473709,5.008711,0.257209,0.214636,0
-0.4516,0.949686,-2.245976,-0.210754,0.339823,1.182675,-0.018642,-0.752065,0.180469,0.400948,0.367066,0
0.53497,0.039533,-1.632652,1.048294,0.246468,1.004148,0.208508,-1.031213,0.195542,-0.557774,0.200001,0
1.00906,-0.036124,0.774414,0.378191,-0.506921,0.260205,0.488818,-0.407424,0.226089,-0.003806,0.028816,0
0.623053,-0.054144,0.559789,0.164266,0.476251,0.53687,-0.465802,-1.091841,-0.589687,-0.490955,0.130928,0
0.434827,-0.213008,-1.462652,1.148308,0.252872,0.89133,0.162771,-0.928607,0.703957,-0.365072,0.178428,0
1.200381,0.484825,-1.12748,0.973573,0.037678,0.916222,0.306732,-0.912294,0.580443,-0.284876,0.119168,0
0.794329,0.588775,-2.087406,0.927186,0.382049,1.286197,0.167061,-1.320542,-0.613885,-0.923968,0.260578,0
0.066756,0.74027,-0.572099,-0.869012,-0.140345,0.615078,0.212928,-0.565789,-0.734621,1.175556,0.007588,0
-1.425103,2.169091,-1.410304,-1.772732,-0.087995,1.125863,-0.018923,-0.176773,-0.434511,-0.527493,-0.150345,0
0.740607,0.094375,-0.338676,0.512305,-0.099142,0.661133,0.304957,-0.812138,-0.401392,-0.483893,0.138025,0
1.224268,0.505196,-0.691859,0.841026,0.250131,-0.485269,-0.305771,0.633256,-0.954634,-0.555999,0.046737,0
0.803131,0.107731,0.077964,0.348575,-0.189453,0.552515,0.311802,-0.75112,-0.562697,-0.451977,0.119449,0
0.715118,0.126175,-0.340828,0.548658,-0.144146,0.660126,0.365052,-0.781559,-0.421695,-0.472319,0.192767,0
1.223163,0.434982,-0.92276,1.113916,0.338446,-0.455925,-0.360088,0.649672,-0.270021,-0.366557,0.060159,0
0.835559,-0.204851,0.964884,0.323342,-0.133093,0.253674,0.097367,-0.569273,0.277327,-0.020024,0.042083,0
0.510318,-0.059813,-0.448065,0.503209,-0.003994,0.682483,0.237544,-0.867357,-0.588164,-0.593516,0.172319,0
0.185983,1.254434,-1.921457,-0.677776,0.270263,1.135726,0.068367,-1.013746,-1.121766,0.822862,0.124592,0
0.500516,-0.044287,-0.413769,0.504144,0.025205,0.684124,0.212551,-0.878358,-0.599209,-0.590254,0.195073,0
0.664196,-0.295658,-6.817909,4.483465,2.11497,0.89899,-1.056516,-0.023436,6.03204,0.496733,0.115911,0
1.090014,0.490928,-1.456551,1.168076,0.605222,-0.249145,-0.496502,0.426269,-0.568822,-0.606984,0.103579,0
-0.158918,1.15936,-3.15062,0.413368,0.611768,1.391188,-0.019664,-1.127649,0.614513,0.921069,-0.174813,0
-0.259512,-0.809058,-0.062467,0.524147,0.14552,0.432722,0.052068,-0.708331,-0.400674,-0.429376,0.142368,0
-0.090405,0.692462,-1.631154,-0.059001,0.247177,0.922064,0.050732,-0.795911,0.154602,1.032984,0.14039,0
-0.472693,1.333706,-0.767593,-2.73754,-0.445869,0.875113,0.00241,0.469972,0.491492,-0.397969,0.955263,0
0.522262,0.026651,0.0525,0.365237,-0.170935,0.556616,0.306849,-0.770187,-0.864642,-0.551832,0.265379,0
0.546254,0.052243,-1.644579,1.057132,0.25228,1.009989,0.2049,-1.035638,0.212314,-0.554575,0.203289,0
0.549732,1.06658,-1.605379,-0.616645,0.437889,-0.312532,-0.528059,0.707985,-1.548343,1.05511,0.291801,0
-3.277198,-3.711438,-0.90845,0.868945,0.399591,0.127659,0.0018,-0.54517,-0.954035,-1.210034,0.773307,0
1.373025,0.510285,0.452165,0.549464,0.754655,-0.670825,-1.082903,0.422561,-0.710962,-0.341531,0.022243,0
0.049752,-1.005451,0.847352,0.577792,-0.414349,0.015394,0.391745,-0.186368,0.691358,0.194312,0.002946,0
1.129504,0.568519,-0.255154,0.340352,-0.121458,0.751631,0.307144,-0.922466,-0.839879,-0.600982,0.14057,0
0.464886,0.975864,-1.005877,-0.202538,0.036254,0.910985,0.21245,-0.947452,-1.108403,0.125761,0.026261,0
0.929919,0.016472,0.206312,0.552914,-0.339783,0.439092,0.43423,-0.549362,0.252061,-0.120137,0.082571,0
0.405773,0.210068,-2.056461,0.93423,0.404122,1.20746,0.144624,-1.27006,-0.657585,-0.954076,0.283053,0
-3.261423,-3.685446,-0.725728,0.751581,0.361843,0.09128,0.007511,-0.537886,-1.179584,-1.249961,0.767542,0
0.540233,0.497016,-4.064885,2.432088,1.381475,0.376025,-0.816148,0.070869,1.694699,-0.208465,-0.089586,1
0.307501,0.525647,-3.646354,1.546926,0.775983,1.465647,-0.03806,-1.147541,2.354595,0.647057,-0.010216,0
0.335159,0.874664,-3.359517,0.725449,0.94988,0.076571,-0.712936,0.570751,0.843917,1.449994,0.451797,0
1.016402,0.441722,-0.672375,0.617079,-0.052328,0.818666,0.322403,-0.912247,-0.334344,-0.508207,0.159374,0
1.388964,0.481976,0.328657,0.565007,0.578575,-0.674901,-0.801883,0.555732,-0.746496,-0.350237,-0.017707,1
-0.75805,1.577568,-1.219046,-0.609852,0.05983,1.089858,-0.01863,-0.49073,-0.674415,0.157488,1.379138,0
0.848474,0.574147,-1.906045,0.904756,0.310962,1.221121,0.200989,-1.253162,-0.508309,-0.844348,0.240889,0
0.310346,1.077253,-1.38826,-0.821569,0.094982,0.963488,0.113812,-0.831172,-1.110153,1.048506,0.516479,1
0.572745,0.075751,-1.647907,1.055066,0.245569,1.014318,0.212204,-1.03601,0.212718,-0.553011,0.198911,0
0.966823,0.445789,-0.959524,0.69817,0.026748,0.903464,0.297329,-0.979312,-0.320534,-0.567721,0.172144,0
-4.309224,-2.614247,-1.175744,-2.077496,0.2602,0.304567,-0.392194,0.364997,-0.746117,-0.864445,1.439727,0
0.27095,0.444352,-1.474611,0.039045,0.259084,0.964074,0.081591,-0.937824,-0.480111,0.291539,0.351468,0
0.798858,0.158721,0.023147,0.430194,-0.155896,0.577773,0.290567,-0.765699,-0.457213,-0.416131,0.175739,0
-0.34732,1.063837,-1.732019,-0.274099,0.284833,1.178158,0.006399,-0.867019,-0.815666,-0.418206,0.444259,0
-0.043178,0.452418,-0.918368,-0.122297,0.12516,0.812309,0.148673,-0.906509,-1.126511,0.020862,0.059952,0
0.296654,-0.104453,-1.864824,1.133121,0.339507,1.050269,0.165913,-1.07765,0.154848,-0.630043,0.25645,0
-0.218808,0.34964,-2.193533,0.201514,0.333937,1.008334,0.085928,-0.837198,0.469799,0.870446,0.044988,0
0.923751,0.487201,-1.065067,0.675253,0.055238,0.95204,0.294463,-1.031083,-0.539376,-0.664745,0.201058,0
0.714875,0.137846,-0.657497,0.620212,-0.04546,0.755592,0.314603,-0.867614,-0.365198,-0.531678,0.165545,0
0.7336,-0.049597,1.064741,0.178713,0.178507,0.354969,-0.107646,-0.762594,-0.306696,-0.222942,0.163612,0
-0.334952,-1.311103,-6.206732,4.280867,1.992888,0.537799,-1.036896,0.236215,5.696745,0.506769,0.068294,0
0.527557,-0.656809,1.465562,0.3948,1.030221,-1.109866,-1.4598,0.636319,-0.156422,-0.020246,-0.156265,0
0.485649,-0.596614,1.636018,0.396686,1.223465,-1.109482,-1.798789,0.47833,-0.130567,0.00006,-0.064383,0
-0.693661,-0.038338,-2.456933,0.34058,0.802808,-0.321525,-0.685109,0.728481,-0.136294,1.033945,-0.055644,0
0.920501,0.109851,-3.845582,2.668732,1.207279,0.237122,-0.687907,0.277049,2.48304,-0.067638,0.081166,0
-0.557347,-0.466619,-3.72551,1.977489,1.216516,0.010473,-0.762686,0.46402,1.702636,0.392287,-0.13569,0
0.760318,-0.214176,-5.93586,4.013268,1.841223,0.683537,-0.943451,0.102388,5.231047,0.419349,0.088087,1
0.95806,0.072573,0.551838,0.346214,-0.363031,0.379579,0.39814,-0.558097,-0.128195,-0.18236,0.076869,0
0.758914,-0.215247,-5.943961,4.018096,1.835247,0.68369,-0.938061,0.10512,5.236915,0.421123,0.088338,0
0.833058,0.163952,0.213233,0.286927,-0.146868,0.543809,0.237963,-0.7876,-0.661529,-0.462298,0.131582,0
0.759145,-0.214797,-5.943176,4.017941,1.836535,0.683826,-0.939693,0.104286,5.23712,0.421153,0.088557,0
1.132646,0.04308,1.732003,0.018504,0.38218,0.233439,-0.480918,-0.821978,0.19868,0.029826,-0.003042,0
0.703882,0.101453,-0.845397,0.737841,0.040418,0.800226,0.27419,-0.891755,-0.09948,-0.485935,0.154578,0
1.26601,0.496194,-0.427541,0.784612,0.205607,-0.561437,-0.315529,0.68471,-0.904953,-0.479827,0.033322,0
1.363479,0.457161,0.043984,0.823253,0.022565,-0.738251,-0.228003,0.883979,-0.464432,-0.200497,0.047239,0
0.76152,-0.21358,-5.937586,4.014005,1.841081,0.683857,-0.944497,0.101731,5.233604,0.419939,0.087331,0
0.76258,-0.21186,-5.932735,4.010743,1.838194,0.682854,-0.941494,0.103154,5.225704,0.418562,0.087686,0
0.056703,0.801523,-0.801885,-0.870737,-0.107241,0.689568,0.222608,-0.614937,-0.841332,1.144154,0.044747,0
0.072534,1.324598,-1.484191,-1.507161,-0.056827,1.095212,0.044284,-0.357397,-0.353034,-0.038677,0.698019,0
1.266327,0.489482,-0.458878,0.807973,0.257735,-0.547658,-0.359804,0.661664,-0.833426,-0.469149,0.030385,0
0.763002,-0.212132,-5.938824,4.014355,1.839374,0.684107,-0.942601,0.102318,5.233238,0.419746,0.087619,0
1.053903,0.009633,0.792011,0.371873,-0.470513,0.271844,0.445152,-0.435189,0.241196,0.001644,0.026574,0
0.764423,-0.210342,-5.936368,4.012,1.833604,0.682977,-0.937879,0.104472,5.226061,0.418456,0.087863,0
0.292244,0.994219,-2.95889,0.370169,0.810494,-0.055688,-0.64785,0.643382,0.552057,1.506529,-0.007485,0
0.766521,-0.208099,-5.934113,4.010362,1.833088,0.682909,-0.937884,0.104127,5.222731,0.417634,0.088172,0
0.763674,-0.203115,-5.922774,4.010895,1.84628,0.68386,-0.951898,0.097618,5.222182,0.41896,0.095352,0
0.426383,0.957762,-1.308067,-0.781506,0.159323,0.930124,0.051284,-0.826945,-0.788412,1.069171,0.375868,0
0.482873,-0.097242,-0.822896,0.752026,0.058311,0.758119,0.252335,-0.867996,-0.118275,-0.497097,0.182422,0
-0.527959,0.719771,-2.004974,-0.298101,0.249434,0.952134,0.101594,-0.777716,-0.026014,1.217565,-0.188132,0
0.765169,-0.205778,-5.915471,4.000447,1.827672,0.678822,-0.935151,0.106504,5.200656,0.415168,0.089106,1
0.708344,-0.098954,0.657968,0.343882,-0.385081,0.318449,0.398965,-0.516345,-0.242101,-0.192607,0.144926,0
0.845377,0.124181,-2.801744,2.017303,0.906187,-0.013599,-0.574258,0.385808,1.14472,-0.296472,0.071613,0
1.388106,0.253877,0.908547,0.593462,0.11023,-0.978697,-0.511738,0.93494,-0.247983,0.007926,-0.061926,0
-0.253193,-0.899277,-1.563355,1.287615,0.285324,0.745372,0.151958,-0.766618,0.956773,-0.263084,0.105274,0
1.101155,0.463294,-0.148158,0.371435,-0.152948,0.690208,0.327943,-0.849812,-0.622775,-0.501387,0.115412,0
0.943762,0.500232,-0.918726,0.571045,0.026939,0.921695,0.2935,-1.027741,-0.717788,-0.698102,0.179227,0
0.929161,0.473241,-1.110677,0.693688,0.068395,0.960369,0.286784,-1.03566,-0.477867,-0.654784,0.182212,1
-0.263747,-0.901049,-1.553193,1.288811,0.282033,0.742442,0.155976,-0.761841,0.953491,-0.257398,0.107468,0
-0.188519,1.385723,-2.411089,-1.492368,0.445367,0.026089,-0.772384,1.365859,0.017335,-0.215973,0.772569,0
0.054951,-0.909395,-2.939783,2.473859,0.992185,-0.227939,-0.638317,0.647253,2.483148,0.130928,-0.006121,0
-0.035365,1.58263,-1.479511,-2.165767,-0.144161,1.125836,-0.038648,-0.047389,0.10736,-0.12538,0.839696,0
-0.415658,0.041812,-1.105834,0.087749,0.373663,-0.63613,-0.462144,0.903246,-0.97494,0.674985,-0.071355,1
0.490269,-0.622175,0.573986,0.692493,-0.084381,-1.106976,-0.21721,1.175611,-0.360836,-0.070046,-0.123245,0
0.618046,0.920284,-1.200085,-0.482846,0.074505,0.924458,0.158734,-0.84432,-0.752145,0.698965,0.319384,1
-0.413684,-0.023951,-1.572542,-0.179256,0.493868,-0.50171,-0.539327,0.836156,-1.257794,0.817092,0.258238,1
-3.843925,-3.18669,-0.797948,-0.832781,0.506151,0.039457,-0.305457,-0.333686,-1.561288,0.580306,0.967609,1
-3.188733,-3.718429,0.023806,0.487662,0.191615,-0.121497,0.018624,-0.402923,-1.344964,-1.130473,0.693563,0
-3.20657,-3.706698,0.763465,0.282951,2.88959,0.250105,-2.280733,-1.574306,-0.616289,-1.126637,0.673577,1
0.269527,0.815123,-2.893826,0.258456,0.84581,-0.000096,-0.673466,0.509722,-0.408415,0.974412,0.334057,0
1.09821,0.373593,-0.661101,0.838863,0.314698,-0.507538,-0.378534,0.623416,-0.914658,-0.542536,0.024073,0
1.195727,0.468828,-0.256468,0.522619,-0.210347,0.687408,0.397681,-0.781157,-0.187523,-0.357824,0.094901,0
0.300462,-0.328581,-2.308193,1.599303,0.456431,1.080481,0.119607,-1.003051,1.472636,-0.260876,0.166069,0
1.325819,0.475678,0.781509,0.179887,0.502033,0.591787,-0.337623,-1.026548,-0.111606,-0.245951,0.041353,0
0.97442,0.237121,-1.91084,1.535535,0.624594,-0.225649,-0.457158,0.507084,0.317709,-0.383549,0.04835,0
0.033409,0.293487,-0.812565,-0.030661,0.007841,0.711731,0.227737,-0.761965,-0.580214,0.22588,-0.074256,0
0.654092,-0.176185,0.257814,0.473702,-0.141973,0.437189,0.225003,-0.65328,0.026574,-0.21402,0.079979,0
1.198676,0.469474,-0.197892,0.50018,-0.105318,0.693535,0.276185,-0.839323,-0.16913,-0.357892,0.090468,0
-0.060678,1.590966,-0.674108,-1.317909,0.614572,-0.313115,-1.150557,1.114734,-0.551775,-0.210707,0.47275,0
1.238226,0.515247,-0.46408,0.844299,0.202013,-0.552404,-0.304623,0.69177,-0.846807,-0.453345,0.076823,0
1.269312,0.464494,-0.554817,0.847325,0.234335,-0.537883,-0.322137,0.678758,-0.745212,-0.453948,0.004781,0
0.928732,0.503915,-2.01937,1.144574,0.643825,-0.219996,-0.52844,0.591618,0.495645,0.289464,0.121248,1
0.899457,0.180031,-2.698901,1.941434,0.863574,-0.029073,-0.549478,0.392431,0.994299,-0.325654,0.067929,0
0.751179,-0.116995,-5.645479,3.73059,1.74976,0.646196,-0.902443,0.082749,4.499457,0.233681,0.10111,0
0.453964,-0.148874,-0.781412,0.746943,0.266034,0.780783,0.116369,-0.923841,0.003587,-0.465166,0.13789,0
-3.162459,-3.75207,0.083825,0.541685,0.048709,-0.178765,0.157145,-0.282751,-1.149977,-1.022897,0.682006,0
0.582633,-0.073678,0.178929,0.310019,-0.303238,0.477099,0.426586,-0.651064,-0.72491,-0.460508,0.125866,0
-0.165481,0.332621,-1.547845,0.050998,0.640525,0.949175,-0.307058,-1.032604,0.146649,0.642868,-0.004427,0
0.269092,-0.559146,-1.084635,1.277044,0.4547,-0.607368,-0.439127,0.779597,0.079237,-0.287155,-0.031194,0
0.470265,0.614918,-3.848125,1.152964,1.102533,0.174057,-0.750438,0.4956,1.584128,1.293682,0.251907,0
1.564226,0.358899,0.702494,0.628014,-0.103685,-0.949235,-0.228808,1.039542,-0.226827,0.001397,-0.113481,0
0.986654,0.273386,-2.197049,1.575117,0.371406,1.151614,0.17039,-1.034367,1.647312,-0.153537,0.138428,0
0.126218,-0.844227,-2.932073,2.464463,0.989967,-0.216931,-0.64002,0.638679,2.496129,0.145587,-0.027364,1
0.572653,-0.105076,0.007417,0.422335,-0.202221,0.521142,0.356006,-0.690102,-0.463565,-0.416828,0.119772,0
0.447807,-0.032688,-0.443918,0.408725,-0.066809,0.691247,0.312196,-0.865348,-0.943648,-0.68706,0.16113,0
-0.168907,1.658416,-1.763843,-1.096235,0.060852,1.165465,0.078037,-0.600713,-0.459316,0.073609,0.018984,1
0.899844,0.338403,-2.470686,1.564955,0.47455,1.265041,0.125689,-1.158662,1.310373,-0.333377,0.185353,0
1.504981,0.353407,0.313513,0.768485,-0.069456,-0.854531,-0.19274,1.000457,-0.134523,-0.041047,-0.09439,0
1.215287,0.48509,-0.03859,0.436812,0.144299,0.705781,-0.03211,-0.988377,-0.143939,-0.36208,0.084541,0
0.519272,-0.051202,-0.117149,0.426206,-0.194197,0.5712,0.368747,-0.733925,-0.66587,-0.503512,0.170344,0
0.724629,-0.105564,1.040666,0.16052,0.079117,0.318029,-0.182715,-0.786447,-0.269241,-0.206237,0.08824,0
0.808251,0.163942,-0.348501,0.513849,-0.127604,0.672652,0.341772,-0.803798,-0.400168,-0.473622,0.131727,0
0.813724,0.184883,-0.245697,0.448433,-0.189341,0.64615,0.381883,-0.781463,-0.555808,-0.498939,0.137839,0
0.336733,1.035416,-1.596901,-0.306573,0.124571,1.010617,0.18379,-0.90771,-0.651502,0.644957,0.041176,1
-3.377997,-3.728496,-0.91744,0.791019,0.361501,0.132732,0.040747,-0.549666,-1.240804,-1.277361,0.737072,0
0.350048,-0.219968,-1.59515,1.155133,0.298221,0.93713,0.14696,-0.970365,0.596101,-0.408925,0.158956,0
0.470596,-0.089005,-0.426179,0.494706,-0.103116,0.654384,0.332706,-0.803207,-0.617529,-0.561126,0.135348,0
1.553667,0.336234,0.483592,0.759286,-0.121136,-0.915097,-0.180106,1.057832,0.00188,0.045287,-0.110821,0
-0.190973,1.678186,-1.596081,-0.459561,0.140532,1.052441,0.166941,-0.969591,-1.072005,0.800757,-0.389125,0
0.513629,-0.089677,-0.073888,0.38009,-0.184239,0.557157,0.349584,-0.735867,-0.693924,-0.507633,0.122102,0
1.166599,0.40957,-0.659005,0.782391,-0.097116,0.772127,0.353976,-0.811353,0.343185,-0.259761,0.093083,0
1.03865,0.500742,-0.630088,0.615772,-0.049155,0.822713,0.319466,-0.917505,-0.36735,-0.503502,0.190528,0
0.90289,0.335473,-2.448472,1.54431,0.45747,1.257437,0.139554,-1.150241,1.276473,-0.338221,0.173876,0
-0.233441,-0.88298,-1.544944,1.277985,0.285536,0.746402,0.15084,-0.766181,0.972053,-0.242751,0.077531,0
-3.190115,-3.799696,0.101637,0.525311,0.058813,-0.190083,0.145672,-0.276558,-1.130448,-1.006531,0.63752,0
-0.425469,0.441612,-2.345811,-0.146628,0.381554,1.042537,0.027856,-0.837577,0.18447,1.162608,0.066623,0
0.417808,-0.436,-1.971988,1.677845,0.348387,0.929749,0.150875,-0.831294,2.125339,0.050875,0.087623,0
-0.726125,-0.106554,-0.259278,-0.827124,-0.208935,0.277725,0.203319,-0.194617,-0.016992,1.745292,-0.026297,0
1.13346,0.184438,-2.469215,2.076664,0.777594,-0.132137,-0.519522,0.535114,1.746251,-0.009287,0.014997,0
0.503684,-0.071351,-0.095261,0.418259,-0.170905,0.565931,0.333791,-0.743558,-0.644523,-0.4888,0.148113,0
0.079312,0.30729,-0.455382,-0.678436,-0.188743,0.555161,0.261507,-0.506157,-0.693079,0.994275,0.308328,0
0.318797,-0.171355,-1.59696,1.051038,0.247602,0.953633,0.201729,-0.988891,0.215873,-0.529599,0.164751,0
0.7141,-0.19295,0.553208,0.341667,-0.429489,0.313637,0.461246,-0.476964,-0.134017,-0.167309,0.019393,0
1.209149,0.49074,-0.174284,0.471332,-0.239701,0.670601,0.40919,-0.773909,-0.291269,-0.372312,0.09267,0
-0.988635,1.010053,-2.495449,-0.318736,0.337766,1.20635,-0.022498,-0.616868,0.685917,0.051757,-0.308212,0
0.831704,-0.081156,-5.143737,3.513512,1.654267,0.52483,-0.905329,0.139322,4.243212,0.249118,0.079574,0
0.397566,-0.240476,-1.416194,1.132006,0.191712,0.865062,0.215902,-0.882491,0.691943,-0.323007,0.130149,0
-1.306451,1.64024,-1.049772,-0.236385,0.08984,1.004122,-0.003512,-0.587317,-0.735994,0.106881,0.660723,0
1.384034,0.530593,0.575702,0.742201,-0.160331,-0.936124,-0.139566,1.05307,-0.123038,0.001839,-0.42959,0
-4.002655,-3.21847,-1.367215,-0.784766,0.390731,0.14527,-0.115032,-0.320243,-1.725476,0.520694,0.936323,0
1.273199,0.520759,-0.378844,0.774646,0.250537,-0.559425,-0.376722,0.655762,-0.906136,-0.472067,0.041258,0
0.586238,0.098177,-1.618592,1.045817,0.238387,1.011263,0.212645,-1.033065,0.207328,-0.536925,0.186882,0
-5.495691,-1.755758,-1.556466,-0.33348,0.45027,0.34617,-0.133459,-0.366338,-1.516458,-0.365903,-0.479371,0
