@relation jedit-4.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,1,1,6,2,36,0,0,0.947368,0.625,1,17,1,0.5,0
2,0,0,2,2,0.4,62,1,0,0.583333,0.444444,0,8.833333,1,0.8333,0
5,0,119,26,16,0.904762,618,0.857143,3,0.973174,0.203008,18,30.789474,6,1.4211,1
2,0,4,1,4,0.833333,108,0,0,0.769231,0.4,0,25.5,3,1.75,0
1,0,40,15,6,0.733333,268,1,3,0,0.338462,0,19.230769,5,2.1538,1
2,0,4,1,6,0.5,155,0,0,0.818182,0.366667,0,29.8,10,3.8,0
6,0,3,7,5,0.711111,248,0.333333,0,0.994483,0.342857,2,38.833333,10,3,0
2,0,0,4,5,0.272727,176,0,0,0.615385,0.35,2,13.583333,4,1.4167,0
1,0,66,7,4,1.090909,957,0.428571,0,0,0.239583,0,78.166667,27,8.4167,1
6,0,1,1,3,0.5,302,1,1,0.996988,1,4,95.333333,2,1.3333,0
1,0,0,2,1,0.46875,269,1,0,0,0.6,0,51.2,10,3.8,0
1,0,38,69,1,0.892857,437,0.571429,0,0,0.178571,0,31.538462,7,2.3077,0
3,3,43,53,1,0.5,154,0,1,0.566667,0.577778,2,9.133333,3,1.3333,1
1,0,3,7,2,0.583333,226,1,1,0,0.35,0,21.2,5,1.8,0
2,0,25,3,7,0.75,185,1,0,0.615385,0.386364,2,15.636364,3,1.6364,0
6,0,25,3,6,0.716667,333,1,0,0.985119,0.5,5,28.727273,6,1.9091,0
2,0,1,2,5,1,22,0,0,0.947368,0.625,1,9.5,1,0.5,0
2,0,10,1,3,2,88,0,0,0.84,0.52,3,16.6,2,1,0
3,0,2,6,0,0.75,36,1,0,0.809524,0.466667,1,5.4,1,0.8,0
2,0,15,3,14,1.114286,283,0,0,0.782609,0.611111,0,45,1,0.8333,0
1,0,43,4,10,0.661765,747,1,0,0,0.104575,0,40.055556,17,3.0556,1
2,0,1,3,1,1,10,0,0,0.947368,0.75,0,3.5,1,0.5,0
2,0,98,1,11,0.879808,1115,1,5,0.448276,0.264706,2,63.058824,35,6.2353,1
3,0,3,0,3,2,33,0,0,1,0.75,0,10,0,0,0
6,0,24,3,5,0.857143,74,1,2,0.989264,0.625,1,8,1,0.875,1
1,2,9,2,3,0.5,140,1,0,0,0.52381,0,18.857143,9,3.1429,0
1,0,21,4,8,0.970085,1529,0.5,2,0,0.2875,0,149.3,32,8.6,1
2,0,0,2,5,0.285714,179,1,0,0.695652,0.40625,2,21.25,2,1.375,0
1,2,33,16,1,0.8,90,0,0,0,0.386364,0,6.818182,1,0.7273,1
1,0,0,5,1,1.761905,52,0,3,0,0.625,0,14.5,1,0.5,1
4,0,1059,13,15,0.963481,1085,0.677419,4,0.924177,0.103009,25,18.518519,7,1.5741,1
2,0,3,4,7,2,79,0,0,0.9,0.533333,1,25.333333,1,0.6667,0
6,0,18,4,7,0.71875,205,1,1,0.98806,0.5,12,21.333333,2,1,0
1,0,23,22,6,0.72,240,1,1,0,0.16,0,20.363636,5,1.7273,0
1,0,100,2,0,0.7,679,0.8,0,0,0.323529,0,38.352941,12,2,1
6,0,1,1,3,0.5,230,1,1,0.996988,1,4,73,3,1.6667,1
6,0,20,5,4,0.761905,119,0.666667,1,0.991018,0.5,12,13.5,1,0.75,0
2,0,6,3,7,2,171,0,0,0.857143,0.583333,1,41.75,1,0.75,0
2,0,1,2,2,2,8,0,0,0.875,0.625,0,3,1,0.5,0
8,0,1,3,13,2,120,0,0,0.998836,0.75,4,59,8,4,0
1,0,35,1,2,0.6,52,1,1,0,0.424242,0,3.636364,1,0.9091,0
2,0,1,1,2,2,65,0,0,0.875,0.625,0,31.5,5,2.5,0
2,0,5,1,6,0.809524,146,1,0,0.7,0.392857,1,18.857143,2,1.2857,0
1,0,27,6,10,0.705882,1598,1,2,0,0.155556,0,87.388889,33,7.2222,1
1,0,0,5,11,0.555556,298,0.333333,2,0,0.357143,0,72.75,2,1,0
1,0,2,1,1,0.678571,236,1,0,0,1,0,24.444444,5,2.8889,0
3,0,0,6,1,1.222222,71,0.133333,0,0.85,0.5,1,13,1,0.75,0
2,0,1,3,8,2,65,0,0,0.947368,0.625,0,31.5,1,0.5,0
1,0,10,1,0,2,206,0,0,0,0.3,0,40.2,6,3,0
1,0,91,6,15,0.708333,1245,0.75,1,0,0.274854,0,64.105263,5,1.6316,0
8,0,0,2,4,2,79,0,0,1,1,0,78,0,0,0
1,0,0,18,1,0.653846,386,0.125,1,0,0.342857,0,26,6,2.3571,0
1,3,15,3,1,2,49,0,0,0,0.416667,0,7.166667,2,1.5,0
7,0,28,4,11,0.843434,1013,0.888889,1,0.983434,0.214286,0,81.916667,9,2.6667,0
1,0,78,7,0,2,13,0,0,0,0.430769,0,0,1,1,0
1,0,0,6,0,2,21,0,1,0,1,0,15,0,0,1
3,0,4,1,1,0.65,213,1,0,0.987988,0.7,5,40.6,2,1,0
6,0,38,5,11,0.8,306,1,1,0.983655,0.25,12,24.083333,3,1.5833,0
7,0,9,3,8,0.8,299,1,0,0.992401,0.388889,0,48.333333,1,0.8333,0
5,0,7,5,7,0.85,397,1,3,0.993056,0.3,0,64.5,2,1,1
7,6,0,7,3,2,95,0,0,1,1,0,94,0,0,0
1,0,13,5,0,0.5,64,1,0,0,0.166667,0,7.857143,4,1.5714,0
1,0,4,1,3,0.666667,62,1,0,0,0.333333,0,14.25,4,2.25,1
5,0,108,3,15,0.75,539,1,3,0.974277,0.228758,4,30.411765,15,2.5294,1
4,0,0,2,1,2,5,0,0,1,1,0,4,0,0,0
1,0,1,4,1,2,2,0,0,0,0.625,0,0,1,1,0
4,0,23,2,2,0.533333,504,0.333333,1,0.764706,0.272727,4,44.272727,14,3.2727,0
1,0,3,5,0,1.4375,23,0,2,0,0.5,0,4,2,1,0
2,0,3655,0,8,2,686,0,0,0.105263,0.056202,0,6.976744,3,1.0233,0
3,0,1,1,4,2,10,0,0,0.857143,0.75,0,4,1,0.5,0
2,0,0,1,7,0.621212,559,0.636364,2,0.454545,0.265306,0,77.285714,5,3.2857,0
1,0,102,11,15,0.861538,528,1,3,0,0.238095,0,23.52381,5,1.5714,1
2,0,0,1,3,0.5,77,1,0,0.777778,0.444444,2,24,5,2,0
1,0,1,3,1,2,2,0,0,0,1,0,0,1,1,0
1,0,0,1,1,0,59,1,0,0,0.666667,0,13.25,3,1.75,0
4,0,33,14,5,0.45,141,0,0,0.764706,0.363636,2,11.636364,2,1,0
1,0,0,2,1,0.53125,251,1,0,0,0.6,0,47.6,10,3.8,0
2,0,28,1,17,2,269,0,0,0.72,0.363636,1,32.625,1,0.875,0
2,0,1,1,11,2,89,0,0,0.947368,0.625,1,43.5,1,0.5,0
2,0,0,4,2,0,34,1,0,0.714286,0.666667,1,10,1,0.6667,0
2,0,1,2,6,1,19,0,0,0.947368,0.666667,0,8,1,0.5,0
1,0,0,1,9,0.710526,563,1,2,0,0.416667,0,107.8,1,0.6,1
1,0,0,3,3,0.65625,96,0,1,0,0.533333,0,16.6,2,1,0
2,0,1,1,9,1,36,0,0,0.947368,0.625,1,16,1,0.5,0
2,0,3,1,10,1,273,0,0,0.9,0.533333,1,89.666667,1,0.6667,0
7,0,3,3,4,2,180,0,0,0.996947,0.555556,0,59,1,0.6667,0
1,0,0,12,1,0.458333,112,1,0,0,0.384615,0,7.461538,2,1,1
1,0,3,1,6,2,103,0,0,0,0.555556,0,33.333333,14,5.3333,1
7,0,9,3,5,0.611111,214,1,1,0.993812,0.3,13,28.714286,8,2.1429,0
1,0,5427,157,59,0.923831,5109,1,8,0,0.05177,0,43.570175,68,4.0614,1
2,0,1,1,11,1.125,138,0.625,4,0.947368,0.625,1,64,1,0.5,0
2,0,19,8,8,0.333333,52,0,0,0.75,0.457143,1,6.285714,1,0.8571,0
2,0,13,1,3,0.88,150,0.8,0,0.807692,0.541667,3,23.166667,4,1.6667,1
1,0,0,2,9,0.611111,201,0.833333,3,0,0.666667,0,47.75,9,2.5,0
2,0,14,4,18,0.75,352,1,4,0.384615,0.234568,1,37.444444,11,2.7778,0
1,0,0,2,3,0,176,1,0,0,0.583333,0,28.166667,3,2.1667,0
2,0,21,2,4,2,63,0,0,0.888889,0.4,0,8,2,1,0
2,1,71,9,10,0.789916,466,1,2,0.15,0.208333,0,24.5,14,2.5556,0
1,0,4,0,6,0.833333,118,1,0,0,0.3,0,28,5,2.25,0
1,0,0,1,47,0.722069,23683,0.8,8,0,0.183866,0,57.127764,28,4.8894,0
1,0,55,2,1,2,456,0,0,0,0.363636,0,40.454545,6,3.5455,0
3,0,4,1,0,1,83,0,0,0.857143,0.35,2,18.75,1,0.75,0
1,0,44,4,10,0.833333,488,1,0,0,0.180556,0,36.153846,6,2.6154,1
2,0,1,1,6,2,30,0,0,0.947368,0.625,1,14,1,0.5,0
6,0,0,4,4,0.766667,196,1,1,0.990868,0.285714,0,26.285714,2,1.1429,0
7,0,2,1,8,0.5,362,1,1,0.993912,0.466667,0,70.4,4,1.8,0
2,0,1,1,9,2,107,0,0,0.947368,0.625,2,52.5,1,0.5,0
2,0,11,4,4,0.725,232,0.75,1,0.7,0.425,3,19.727273,3,1.5455,0
2,0,3,1,5,0.771429,215,1,0,0.722222,0.722222,3,33.666667,7,3,0
1,0,1,2,0,2,2,0,0,0,0.625,0,0,1,1,0
1,0,0,1,2,0.375,239,1,0,0,0.5,0,46,6,3,0
2,0,1,1,3,2,6,0,0,0.9,0.75,0,2,1,0.5,0
1,0,660,64,10,0.944444,1578,1,0,0,0.12285,0,41.621622,17,4.2162,1
2,0,1,1,3,0.5,106,1,0,0.777778,0.444444,2,34,11,4,0
4,0,759,6,14,0.95619,981,0.88,3,0.938953,0.121646,17,21.232558,31,1.8837,1
2,0,6,1,11,1,279,0,0,0.857143,0.45,1,68.5,4,2.25,0
1,2,15,10,8,0.555556,163,0,3,0,0.266667,0,15,3,1.1,0
2,0,1,1,11,2,186,0,0,0.947368,0.625,2,92,1,0.5,0
2,0,1,1,9,1,80,0,0,0.947368,0.625,1,38.5,1,0.5,0
6,0,113,8,22,0.764706,844,1,0,0.977273,0.194444,6,45.333333,8,1.6111,0
2,0,9,1,4,0.722222,64,1,1,0.454545,0.357143,1,7.714286,1,0.8571,0
6,0,258,4,8,0.818182,530,1,3,0.967311,0.152727,1,19.76,8,1.64,1
2,0,3,5,9,2,63,0,0,0.9,0.6,1,20,1,0.6667,0
1,0,802,74,23,0.94375,1670,0.375,1,0,0.119643,0,39.536585,16,3.122,1
1,0,0,36,1,2,1,0,0,0,1,0,0,1,1,0
1,0,0,5,1,1.095238,222,1,0,0,0.333333,0,52.75,60,20,0
7,0,52,1,7,0.709091,284,1,2,0.983434,0.277778,0,22.25,3,1.3333,0
5,0,53,17,20,0.537037,781,1,5,0.973174,0.210526,1,39.789474,22,3.0526,1
1,0,15,4,3,2,34,0,0,0,0.555556,0,4.666667,2,1,0
5,0,76,5,16,0.78125,412,1,2,0.976084,0.341176,5,22.764706,9,1.4118,1
7,0,77,3,7,0.888889,359,0.888889,1,0.97901,0.283333,0,22.333333,3,1.0667,0
2,0,6,2,0,2,83,0,0,0.842105,0.5625,11,19.75,3,1.25,0
1,0,139,10,21,0.785714,853,1,3,0,0.227273,0,37.5,14,2.0909,1
3,0,4,3,4,0.875,50,0.25,0,0.666667,0.5,1,8.2,1,0.6,0
2,0,3,1,10,1,102,0,0,0.9,0.444444,1,32.666667,6,2.3333,0
1,0,14,6,7,0.666667,485,1,3,0,0.230769,0,35.692308,11,3.3077,1
1,4,54,27,3,0.727273,49,1,0,0,0.3125,0,3,1,0.9167,1
2,0,7,3,7,0.75,336,1,0,0.924242,0.305556,0,54.333333,12,3.6667,1
1,0,0,13,0,2,617,0,0,0,0,0,496,0,0,0
2,0,1,1,3,0.5,71,1,0,0.777778,0.444444,2,22.333333,6,2.3333,0
3,0,0,2,2,2,5,0,0,1,1,0,4,0,0,0
1,0,0,2,1,0.111111,94,1,0,0,0.5,0,21.75,4,2.5,0
6,0,125,13,9,0.916667,342,1,1,0.973094,0.203947,6,16.473684,3,1.0526,1
1,0,0,8,9,0.766234,351,0,1,0,0.375,0,41.5,1,0.375,0
2,0,0,1,3,0.75,151,0.5,0,0.777778,0.444444,2,48,18,7.3333,0
6,0,2,3,6,0.8,202,1,2,0.993893,0.35,0,38.4,1,0.8,0
2,0,1,3,6,1,30,0,0,0.947368,0.666667,2,8,1,0.3333,0
6,0,4,2,5,0.464286,239,1,2,0.993994,0.5,4,45.4,4,1.8,1
8,0,1,3,14,2,133,0,0,0.998836,0.75,3,65.5,8,4,0
1,0,13,0,2,0.6,372,0,0,0,0.28,0,60.833333,11,3,0
2,0,1,0,1,2,14,0,0,0.923077,0.75,0,6,1,0.5,0
6,0,1,1,2,0.5,307,1,0,0.996988,1,4,98,5,2,1
1,3,22,9,5,0.583333,121,1,0,0,0.208333,0,12.111111,3,1.3333,0
1,0,17,10,3,0.622222,296,1,0,0,0.35,0,28.1,10,2.8,0
2,0,0,1,3,0.541667,300,1,1,0.538462,0.333333,3,41.285714,16,4.7143,0
1,0,9,1,3,0.488889,135,1,3,0,0.333333,0,20,6,1.6667,0
2,0,3,8,8,0.666667,93,1,0,0.782609,0.444444,0,14,1,0.8333,0
2,0,0,1,4,0.125,206,1,0,0.7,0.35,3,39.8,11,4,0
2,0,2,2,8,0.555556,173,0.333333,0,0.857143,0.5,1,41.5,1,0.75,0
2,0,0,2,7,0.285714,163,1,0,0.695652,0.40625,2,19.25,2,1.375,0
1,0,0,1,1,0.222222,62,1,0,0,0.666667,0,13.75,3,1.75,0
1,0,15,4,1,2,6,0,0,0,1,0,0,1,1,0
3,0,0,2,2,2,5,0,0,1,1,0,4,0,0,1
1,2,30,10,2,0.75,31,1,1,0,0.266667,0,2.333333,1,0.8889,0
2,0,10,2,13,1.071429,159,0,0,0.818182,0.72,0,29.4,1,0.8,0
5,0,1652,26,37,0.941761,1871,0.878788,5,0.910739,0.115385,12,27.276923,12,2.2462,1
6,0,6,2,5,0.75,206,1,1,0.993994,1,4,39.4,2,1,0
2,0,24,3,2,0.818182,253,0.666667,0,0.592593,0.395833,2,19.833333,4,1.5833,0
1,0,1019,45,21,0.785794,1472,0.117647,5,0,0.134434,0,25.944444,33,1.6296,0
5,0,122,11,14,0.818452,797,1,3,0.964549,0.195556,4,30.32,12,2.28,1
6,0,1,1,3,0.5,159,1,1,0.996988,1,3,50,1,0.6667,1
2,0,37,4,4,0.760684,304,1,1,0.824324,0.22449,0,20.071429,8,1.7143,1
3,0,0,7,2,2,5,0,0,1,1,0,4,0,0,0
5,20,29,21,2,0.805556,285,1,0,0.986405,0.5,0,27.1,2,1.1,0
1,13,12,13,2,0.761905,65,1,2,0,0.354167,0,6.75,3,1.25,0
4,0,0,1,1,0.444444,195,1,0,0.995378,0.375,3,46.25,2,1.25,0
2,0,11,2,13,0.914286,1460,0.333333,3,0.333333,0.236364,0,129.818182,19,5.4545,0
1,0,312,7,21,0.875,721,1,2,0,0.114478,0,24.464286,8,2.25,1
1,0,6,4,1,2,4,0,0,0,0.916667,0,0,1,1,0
6,0,3,1,2,2,50,0,0,0.996988,1,4,15.666667,1,0.6667,0
6,0,3,5,2,2,67,0,0,0.997382,0.444444,0,21.333333,2,1,0
1,5,6,9,0,2,11,0,0,0,0.75,0,1.75,1,0.75,0
1,0,0,2,0,2,186,0,0,0,0,0,148,0,0,0
1,0,228,10,29,0.646875,1520,1,2,0,0.136364,0,44.757576,27,3.7879,1
1,0,3,1,4,0.751701,6336,0.166667,1,0,0.5,0,125.24,84,6.72,0
1,0,0,1,1,0,59,1,0,0,0.666667,0,13.25,3,1.75,0
1,0,0,11,0,0.666667,28,1,0,0,0.5,0,5.25,1,0.75,1
1,0,0,7,1,0.625,64,1,1,0,0.428571,0,7.571429,2,1.1429,0
2,1,1019,16,25,0.944816,2553,0.461538,2,0.148936,0.230072,2,53.042553,11,1.766,0
3,0,0,1,2,2,5,0,0,1,1,0,4,0,0,0
2,0,3,1,3,1.0625,288,0,0,0.636364,0.285714,2,44.333333,25,5.1667,0
3,0,8,0,4,0.375,173,1,2,0.818182,0.366667,3,32.4,7,2.6,0
2,0,36,1,7,0.869565,492,1,4,0.541667,0.319444,3,38.083333,13,3.5833,0
3,0,0,3,2,2,5,0,0,1,1,0,4,0,0,0
1,0,25,3,0,0.529412,1278,0.705882,0,0,0.296296,0,45.703704,7,1.5556,0
2,0,4,1,3,0.666667,55,1,0,0.7,0.375,2,12.25,6,2,0
1,1,1259,37,18,0.938904,1694,0.809524,4,0,0.110988,0,29.981481,6,1.6296,0
6,0,206,16,6,0.772487,614,1,1,0.970588,0.219388,7,20.678571,12,2.25,1
1,0,0,4,0,0.5,66,1,0,0,0.75,0,9.666667,2,1,0
1,0,0,3,2,0.5,111,1,0,0,0.259259,0,11.111111,3,1.5556,0
1,0,0,2,1,0.436364,212,1,0,0,0.395833,0,16.25,3,1.3333,0
1,0,311,7,3,0.873333,177,1,1,0,0.16,0,5.576923,3,1.1923,0
1,0,1,2,0,1,16,0,0,0,0.75,0,6,0,0,0
1,0,6,5,0,2,4,0,0,0,1,0,0,1,1,0
2,0,0,2,3,0.375,127,1,0,0.636364,0.3,2,24,4,1.6,0
7,0,6,3,4,0.75,214,1,0,0.993912,0.3,6,41.4,1,0.8,0
3,0,8,0,4,0.375,173,1,2,0.818182,0.366667,3,32.4,7,2.6,0
2,0,35,1,1,0.866667,163,0.666667,0,0.64,0.30303,3,13.545455,4,1.4545,0
6,0,3,3,4,0.533333,203,1,1,0.994994,0.32,11,31.833333,8,2.3333,0
1,0,1,3,2,2,2,0,0,0,1,0,0,1,1,0
1,0,898,36,5,0.795455,1473,0.5,2,0,0.083333,0,31.644444,12,1.7111,0
1,0,666,12,15,2,1583,0,0,0,0.153846,0,41.783784,28,3.0811,0
1,0,0,2,0,0.222222,388,1,0,0,0.44,0,37.4,6,2.3,0
1,0,0,1,0,2,6,0,0,0,1,0,3,0,0,0
1,0,107,13,5,0.866071,648,0.8125,5,0,0.166667,0,27.727273,12,2.9545,0
1,0,1,3,0,2,3,0,0,0,1,0,0,1,1,0
7,0,98,3,4,0.875,629,1,0,0.977545,0.1875,3,35.352941,5,1.1765,0
2,0,1,2,10,0.875,132,0,2,0.9,0.555556,3,41.666667,1,0.6667,0
6,17,3,20,3,1,43,1,1,0.996937,0.5,0,13,1,0.6667,0
1,7,91,7,2,2,38,0,0,0,0.414286,0,1.714286,1,0.9286,0
3,0,4,4,4,0.833333,47,0.333333,0,0.666667,0.5,1,7.8,1,0.6,0
7,0,20,2,6,0.8,293,1,0,0.989394,0.375,6,35,5,1.375,0
1,0,11,17,1,0.977778,170,1,0,0,0.1,0,13.636364,3,1.7273,0
2,0,6,1,10,0.625,204,0,0,0.818182,0.433333,1,39.4,1,0.8,0
2,0,1,1,8,1,28,0,0,0.947368,0.625,1,12.5,1,0.5,0
5,0,230,17,17,0.925926,697,0.642857,5,0.961708,0.206349,0,23.392857,11,2.2143,1
2,0,1,5,5,2,30,0,0,0.947368,0.625,0,14,1,0.5,0
1,0,0,4,8,0.5,158,0,0,0,0.466667,0,30,5,1.8,1
5,0,0,4,1,0.571429,418,1,0,0.989394,0.625,0,50.875,12,3,0
6,0,1,2,3,0.5,54,1,1,0.997382,0.4,1,16.666667,1,0.6667,0
6,0,34,3,9,0.784091,448,1,0,0.983655,0.5,5,35.666667,8,2.0833,1
3,0,1,7,0,2,9,0,0,1,0.75,0,3.5,0,0,0
2,0,31,1,5,0.8,222,1,1,0.565217,0.333333,3,18.454545,8,2.2727,0
8,0,1,2,8,2,126,0,0,0.998836,0.75,4,62,9,4.5,0
7,0,48,5,17,0.869048,530,1,1,0.981955,0.241758,7,39.230769,10,2.0769,1
2,0,1,1,6,2,28,0,0,0.947368,0.625,1,13,1,0.5,0
5,0,0,2,5,0.666667,112,1,0,0.995427,0.416667,0,26.25,1,0.75,1
1,0,0,1,0,2,6,0,0,0,1,0,3,0,0,0
2,0,210,5,9,1,760,0.5,0,0.512195,0.380952,3,35.095238,16,3.381,0
6,0,0,2,3,0.714286,404,1,0,0.993994,0.5,5,77,5,1.8,0
7,0,55,2,12,0.788462,660,1,0,0.98048,0.214286,0,45.285714,6,1.7857,0
1,35,147,46,7,0.888889,239,0.5,4,0,0.233083,0,11.263158,4,1.5263,0
3,0,0,1,2,2,5,0,0,1,1,0,4,0,0,0
2,0,1,2,8,2,40,0,0,0.947368,0.6,2,18.5,1,0.5,0
1,0,1,5,1,2,2,0,0,0,1,0,0,1,1,0
1,0,152,7,4,0.935223,212,1,5,0,0.155,0,8.95,3,1.2,1
6,0,4,5,7,0.666667,142,1,2,0.993837,0.5,1,26.8,1,0.8,0
6,0,11,4,6,0.777778,137,1,3,0.990868,0.285714,0,18.142857,1,0.8571,0
1,0,49,2,1,0.8,50,1,1,0,0.454545,0,3.363636,1,0.9091,0
3,0,5,9,5,0.938462,87,0.153846,1,0.6,0.4,1,11.333333,1,0.6667,0
1,0,10,8,1,2,5,0,0,0,0.6,0,0,1,1,0
1,0,1,2,1,2,2,0,0,0,0.75,0,0,1,1,0
1,0,0,8,2,0,82,1,0,0,0.466667,0,15.2,4,2,1
3,0,15,2,0,1.12,183,0,0,0.85,0.5,1,28.666667,14,2.8333,0
1,0,0,38,2,0,135,1,0,0,0.484848,0,11.181818,2,1.1818,0
5,0,55,10,16,0.820513,361,0.833333,1,0.98048,0.257143,12,24.357143,10,1.8571,1
2,0,15,3,13,2,279,0,0,0.782609,0.229167,1,45.5,1,0.8333,0
