@relation 'ivy-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16,19'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,3,0.182266,0,15.866667,1.6,0
0,0,0.166667,0,18.2,1.7,0
0,0,0.40625,2,24.375,1.75,0
0,0,0.666667,0,22,2.5,0
0,1,0.666667,0,4.5,0.75,0
0,0,0.75,0,0,1,0
0,0,0.466667,4,16.2,0.9,0
0,0,1,0,4,0,0
0,4,0.428571,0,9.285714,0.8571,0
0,0,0.666667,0,36.666667,0.6667,0
0,0,1,0,0,1,0
0,0,0.5,0,17,2.25,0
0,2,0.466667,0,27,0.6667,0
1,0,0.171111,2,35.433333,2.6333,0
0,1,0.444444,0,19.333333,0.6667,0
0,1,0.444444,0,6,0.8333,0
0,0,1,0,0,1,0
0,0,0.192308,2,9.076923,0.9231,0
0,1,0.533333,0,0.615385,0.9231,0
0,0,1,0,0,1,0
0,0,1,0,3,0,0
0,0,1,0,0,1,0
0,5,0.147569,0,13.770833,1.625,1
0,0,0.75,0,0,1,0
0,0,0.357143,0,19.571429,0.8571,0
0,0,0.285714,0,19.307692,2.3077,0
2,0,0.666667,0,13.75,1.25,0
0,0,0.174603,0,129.7,2.8,0
0,0,0.535714,0,5.857143,0.5714,0
0,0,0.708333,0,8.916667,0.9167,1
0,0,1,0,0,1,0
1,0,0.625,0,3,0.5,0
0,0,0.533333,1,27.2,2.4,0
0,2,0.4375,0,6.25,1,0
0,0,0.375,0,17,1.5,0
0,0,1,0,0,1,0
0,0,0.625,0,8,0.5,0
0,0,0.833333,2,4,0.6667,0
0,1,0.206897,2,22,1.931,0
0,1,0.533333,0,19.4,1.2,0
0,1,0.163194,0,9.121212,1.0303,0
0,1,1,2,30.333333,1,0
3,1,0.666667,0,9.666667,0.6667,0
0,0,1,0,7,0,0
0,2,0.444444,0,12.5,1,1
0,0,0.34375,0,0,1,0
0,3,0.209524,0,28.266667,1.9333,0
3,0,0.533333,1,5.6,0.6,0
0,0,0.254902,1,22.823529,1.2353,0
0,2,0.5,0,7.25,1.25,0
0,0,0.444444,1,14,0.8333,0
0,1,0.625,0,25,0.5,0
0,0,0.75,1,3,0.5,0
0,0,0.571429,2,8.571429,1,0
0,0,0.666667,0,11.5,1,0
0,0,1,0,0,1,0
0,0,0.5,2,17.25,1,0
0,1,0.75,0,5.5,0.5,0
0,0,0.4,0,3.6,0.8,0
0,1,0.75,1,4.666667,0.3333,0
0,1,0.342857,0,26.6,0.8,0
0,0,0.275,2,37.8,0.9333,0
0,0,0.47619,0,133.222222,4.6667,0
0,4,0.087551,0,30.896104,1.9481,1
0,0,0.192308,0,107,2.3077,1
0,1,0.383333,0,31.363636,1.8182,1
0,0,1,0,0,1,0
0,9,0.090506,1,28.050505,2.202,1
0,0,1,0,0,1,0
2,0,0.366667,0,13,1.1667,0
3,1,0.5,0,7.3,0.2,0
0,0,0.323077,0,19.153846,1.5385,0
0,0,0.583333,0,0,1,0
0,1,0.625,0,5.5,0.5,0
0,0,0.289474,4,14.578947,1.6316,0
2,2,0.466667,0,11.333333,0.6667,0
0,5,0.149351,0,36.862069,2.069,1
0,0,0.276786,0,15.357143,1.1429,0
2,2,0.466667,0,21.666667,0.6667,0
0,1,0.285714,9,10.142857,0.7857,0
3,0,0.5,0,6,0.5,0
0,0,0.666667,0,4,0,0
0,0,0.777778,0,3,0.6667,0
0,0,0.777778,0,0,1,0
0,0,0.666667,0,4,0.5,0
0,0,0.416667,0,32.666667,1.3333,0
0,0,0.416667,0,70.333333,1.6667,0
0,1,0.5,0,4.75,0.75,0
0,4,0.109557,0,77.363636,4,1
0,0,1,0,6,0,0
0,0,1,0,0,1,0
0,2,0.331169,2,73.363636,2.8636,1
0,0,0.5,0,9,0.6,0
0,0,0.619048,0,0,1,0
2,0,0.375,0,5.75,0.75,0
0,1,0.253846,0,82.769231,2.8462,0
0,0,0.3,0,118.6,1,0
1,1,0.36,0,27.5,1.4,0
0,1,0.316667,0,17,1,0
0,0,0.233333,0,23.636364,1.5455,1
0,0,0.487179,0,13.538462,1.0769,0
0,2,0.375,0,189.25,0.75,0
0,0,0.5,0,23.5,2,0
0,0,0.393939,1,10.636364,1.4545,0
0,1,0.433333,0,7.2,1,0
0,0,0.169533,3,29.162162,1.6486,0
2,2,0.259259,1,12.444444,1,0
0,1,0.292857,3,35.047619,1.9524,0
0,12,0.055223,0,13.864865,1.2297,0
0,0,0.333333,8,15.857143,1.1429,0
1,3,0.195489,0,8.368421,1.2105,1
0,0,0.75,0,0,1,0
0,3,0.116711,0,22.758621,1.8276,0
3,5,0.077592,0,11.261538,1.4,1
0,0,0.541667,2,7.833333,1.3333,0
0,1,0.5,0,7,0.75,0
0,1,0.75,1,4.666667,0.3333,0
0,1,0.375,1,9.809524,1,0
0,0,1,0,0,1,0
0,6,0.108932,0,19.945455,1.7091,1
5,1,0.314286,0,3,0.8571,0
0,0,0.666667,0,0,1,0
0,1,0.34375,1,16.125,1.625,0
0,0,0.366667,0,0,1,0
0,0,0.306667,5,12.666667,1,0
0,0,0.354167,0,48.428571,0.7143,1
