@relation lucene-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,3,1,3,1,1,0.5,1,0,0.666667,0,0,4.333333,1,0.3333,0
1,0,3,0,0,1,1,0,0,0.333333,0,0,7.666667,2,1,0
1,0,0,2,3,8,0.5,1,0,0.5,0,0,134.555556,3,1,1
1,5,5,5,0,1,0.6,0.5,0,0.7,0,0,13.333333,1,0.5,0
2,0,10,2,9,15,0.133333,0,0,0.375,0,0,15,2,0.875,1
2,5,10,10,6,4,2,0,0,0.466667,1,1,1.8,1,0.8,0
1,0,25,1,7,10,0.722222,1,2,0.228571,0,0,16.4,1,0.9,1
2,0,0,1,5,5,0.5,1,2,0.4,1,2,26.6,1,0.8,0
1,1,888,1,29,32,0.873874,0.648649,11,0.13273,0,0,52.711538,23,2.6731,1
2,0,1,1,3,2,2,0,0,0.666667,0,0,4,1,0.5,0
2,0,0,3,3,0,0.375,0,1,0.5,1,3,53.4,18,5,0
1,6,1,21,0,2,2,0,0,0.666667,0,0,1.5,1,0.5,0
4,0,1,1,1,1,2,0,0,0.666667,1,1,5.5,2,1,0
3,0,0,1,6,11,0.375,1,2,0.208791,2,2,15.615385,6,1.3077,0
3,0,1,1,4,2,0.5,1,0,0.75,0,0,31,1,0.3333,0
2,0,0,9,6,6,0.142857,1,1,0.232143,2,2,11.375,4,1.375,1
3,2,4,2,2,2,0.857143,1,0,0.583333,0,0,27.75,1,0.75,0
1,0,16,0,1,6,0.142857,1,0,0.314286,0,0,40.125,8,2.5,0
1,0,6,10,3,3,1,0,2,0.833333,0,0,2.25,1,0.75,0
1,3,66,32,3,12,2,0,0,0.875,0,0,0.25,1,0.9167,1
3,0,0,3,6,10,0.45,1,0,0.220779,2,2,24.727273,7,1.7273,1
3,0,3,1,5,2,2,0,0,0.5,1,1,6.666667,2,1,1
1,1,0,2,1,7,0.571429,1,0,0.35,0,0,15.25,4,1.75,0
1,0,22,1,0,6,0.428571,1,0,0.178571,0,0,14.625,5,1.375,0
2,0,1,3,1,2,1,0,0,0.875,0,0,6.5,0,0,0
3,0,15,2,0,4,1.12,0,0,0.5,1,1,28.833333,14,2.8333,0
1,0,0,1,21,0,0.701961,1,8,0.188889,0,0,55.888889,1,0.8889,1
1,1,15,2,4,9,0.514286,1,4,0.246753,0,0,19.363636,1,0.9091,0
1,0,0,3,2,1,2,0,0,1,0,0,0,1,1,0
2,0,0,1,3,6,0.466667,1,2,0.5,1,3,17.333333,1,0.8333,0
2,0,0,1,3,7,0.65,1,0,0.287879,1,3,38.090909,6,1.5455,1
1,0,0,0,0,3,1.166667,0.5,0,0.333333,0,0,30,6,2.5,0
2,1,0,1,1,7,0,1,1,0.428571,1,2,5.571429,1,0.8571,0
1,0,3,3,0,3,1.4375,0,2,0.5,0,0,4,2,1,0
2,0,0,0,2,5,0.5,1,1,0.4,1,1,19,2,1,1
1,0,1,2,2,2,2,0,0,1,0,0,0,1,1,0
1,0,0,3,0,0,2,0,0,1,0,0,11,0,0,1
3,0,15,2,3,7,0.333333,1,0,0.514286,0,0,13.857143,3,0.7143,0
1,0,0,1,2,0,2,0,2,1,0,0,33,0,0,0
1,0,742,8,20,32,0.891064,0.64,6,0.115278,0,0,23.708333,2,0.9792,1
1,0,62,2,6,3,0.686667,1,6,0.28125,0,0,27.1875,4,1.1875,1
3,0,58,0,11,11,0.960526,0.578947,0,0.219697,0,0,48,1,0.8462,0
2,2,0,2,7,6,0.675926,1,4,0.21978,1,3,24.615385,3,1.1538,1
2,0,0,0,8,6,0.5,0.5,0,0.333333,0,0,8.285714,1,0.1429,0
3,0,4,2,3,7,0.357143,1,1,0.270833,1,2,22.25,5,1.25,1
1,0,10,15,0,5,2,0,0,0.6,0,0,0,1,1,0
1,0,0,6,0,0,2,0,0,1,0,0,24,0,0,1
1,0,0,1,2,4,0.375,1,1,0.6,0,0,10.6,2,1.2,0
2,0,86,5,14,9,0.669173,1,3,0.223684,1,3,21.1,6,1.75,1
1,0,0,13,0,9,0.6,0.2,0,0.518519,1,1,15.333333,3,1.1111,1
1,0,0,1,18,0,0.700855,1,5,0.254545,0,0,96.7,10,2.4,1
1,0,1,0,0,0,1,0,0,1,0,0,17,0,0,0
2,2,1,2,8,6,0.333333,1,1,0.342857,2,3,18,5,1.5714,0
2,0,15,2,7,7,0.644444,1,3,0.287879,1,3,38.181818,2,1.1818,1
2,0,0,1,6,5,0.375,1,1,0.4,1,1,22.2,2,1,1
3,0,3,1,16,6,0.4,1,1,0.351852,2,3,48.166667,1,0.8333,0
2,1,0,4,4,6,0.545455,1,0,0.283333,1,3,18.416667,2,1,1
1,0,21,1,0,7,2,0,0,0.321429,0,0,21.142857,4,2.5714,0
3,0,1,1,2,3,0.5,1,0,0.666667,0,0,19,1,0.3333,0
1,0,0,2,0,0,2,0,0,0,0,0,132,0,0,1
1,0,15,11,0,6,2,0,0,0.375,0,0,0,1,1,0
1,0,1,3,0,0,1.4,0,0,1,0,0,52.5,0,0,1
4,0,3,9,4,5,0.6,0.333333,0,0.5,0,0,34.5,1,0.8333,1
2,1,0,2,5,4,0.4375,0.5,1,0.5,0,0,20.2,4,1.6,0
4,1,1,1,1,1,2,0,0,0.666667,1,1,3.5,1,0.5,0
2,0,15,2,5,5,2,0,0,0.333333,2,3,8.5,3,1.1667,1
3,0,7,1,12,9,0.638889,0.5,0,0.285714,3,4,26.6,6,1.4,1
3,0,15,1,0,4,1.12,0,0,0.5,1,1,28.833333,14,2.8333,0
1,3,1,19,1,2,2,0,0,0.75,0,0,1.5,1,0.5,0
1,0,36,3,6,8,1.0625,0,1,0.5625,0,0,0.555556,1,0.8889,0
1,3,89,24,0,14,0.923077,1,0,0.271429,0,0,14.928571,1,0.9286,0
1,0,45,3,0,10,2,0,0,0.6,0,0,0,1,1,1
1,0,3,1,1,13,0.602564,0,0,0.404762,0,0,15.5,1,0.9286,0
1,0,67,1,12,8,0.641026,0.666667,2,0.401709,0,0,53.357143,2,1.1429,1
2,0,0,1,3,6,0.333333,1,2,0.47619,1,3,24.142857,1,0.8571,0
3,0,0,0,4,2,0,1,1,0.75,0,0,16,1,0.5,0
1,0,0,0,7,22,0.344,1,4,0.184615,0,0,25.807692,2,1.1538,1
2,0,0,3,6,4,0.75,0.571429,6,0.211538,1,2,25.153846,1,0.9231,1
1,0,45,6,10,10,2,0,0,0.288889,0,0,0,1,1,1
2,0,0,1,3,3,0.666667,0.666667,1,0.47619,0,0,14.5,4,2,1
1,0,6,2,0,3,2,0,0,0.25,0,0,24.5,2,1,0
3,0,1,1,3,2,2,0,0,0.75,0,0,9.5,1,0.5,0
2,0,0,1,14,17,0.668571,1,1,0.174825,1,5,21.846154,6,1.3462,1
2,0,0,1,5,5,0.520833,1,2,0.309524,1,3,26.571429,1,0.8571,1
1,0,0,1,11,7,0.690476,1,2,0.309524,0,0,47.714286,1,0.8571,1
1,0,45,3,0,10,2,0,0,0.6,0,0,0,1,1,0
1,0,0,4,1,0,0.583333,0,2,0.533333,0,0,16.6,1,0.8,1
1,0,3,3,5,2,2,0,0,0.666667,0,0,6,1,0.6667,0
1,0,145,12,6,15,0.920635,0.285714,0,0.25731,0,0,21.631579,7,1.4737,1
1,0,0,1,5,5,0.6,1,1,0.333333,0,0,54.333333,4,1.3333,1
2,0,193,3,13,21,0.814103,1,0,0.181481,1,6,16.518519,2,1.037,1
2,0,0,1,9,7,0.545455,1,2,0.285714,1,3,43.222222,2,1,0
2,0,0,1,8,8,0.3125,0,2,0.222222,2,4,13.555556,4,1.2222,1
1,10,0,13,0,8,0.454545,1,0,0.444444,0,0,21.666667,7,2.0833,0
1,2,108,40,4,15,0.866667,1,1,0.185185,0,0,4.5625,1,0.875,1
3,0,53,1,4,6,0.692308,1,1,0.333333,1,4,34.928571,14,2.2857,0
1,2,13,16,0,5,0.8,0,0,0.6,0,0,8.5,1,0.6667,1
3,0,0,1,6,11,0.416667,1,1,0.192308,2,2,12.384615,6,1.3077,0
3,0,1,1,10,3,2,0,0,0.533333,1,3,22.333333,2,1.3333,0
1,0,1,1,1,2,2,0,0,0.666667,0,0,23,6,3,0
5,0,1,2,1,1,2,0,0,0.666667,1,1,3.5,1,0.5,0
1,0,2,1,2,6,0.178571,1,2,0.34375,0,0,13,2,1,1
2,0,0,1,6,11,0.384615,1,0,0.171429,2,5,21.571429,6,1.5714,1
1,0,0,2,5,0,0.888889,0.5,3,0.375,0,0,53.5,2,1,1
2,0,0,1,5,4,0.52381,1,1,0.3,1,3,12.125,1,0.875,1
2,2,8,5,2,6,0.5,1,2,0.407407,1,2,10.222222,2,1,0
1,0,28,17,2,8,2,0,0,0.3,0,0,0,1,1,0
2,0,576,6,26,19,0.883861,0.470588,8,0.136752,1,5,28.575,26,1.75,1
2,0,98,1,14,4,0.833333,0.75,2,0.296296,1,3,29.875,7,1.5625,1
2,0,0,0,2,4,0.166667,1,1,0.5625,0,0,12.75,2,1,1
2,0,79,12,12,19,0.742857,1,0,0.119048,2,6,18.727273,12,1.7273,1
1,0,0,8,0,0,0.125,0,0,0.55,0,0,18.2,1,0.4,0
1,0,0,58,0,9,0.136364,0,0,0.291667,1,1,9.5,4,1.1667,1
2,0,9,3,6,6,0.5,1,1,0.265306,2,3,11.571429,5,1.5714,1
4,0,0,0,12,12,0,1,1,0.219697,0,0,8.333333,1,0.9167,1
2,0,0,0,9,19,0,1,1,0.21875,1,5,4.875,1,0.9583,1
2,0,15,0,9,4,0.333333,1,0,0.3375,1,6,37.1,1,0.9,1
2,0,3,2,3,0,2,0,0,0.555556,1,3,14.666667,4,1.6667,0
1,0,1,15,0,2,2,0,0,0.5,0,0,9.5,2,1,0
1,1,0,19,0,1,2,0,0,1,0,0,9,0,0,0
3,0,0,0,3,2,0,0,0,0.666667,0,0,18.5,1,0.5,0
2,0,1,3,17,13,0.346154,0.5,1,0.202381,1,3,10.071429,1,0.7143,1
3,0,0,2,1,4,0.55,0.4,1,0.4,1,1,75.4,14,4.8,0
1,0,15,37,4,6,2,0,0,0.416667,0,0,0,1,1,0
1,15,34,30,3,7,0.875,1,1,0.416667,0,0,4.111111,1,0.8889,0
1,4,1504,66,16,43,0.867347,1,3,0.115288,0,0,11.578947,12,1.1754,1
2,0,0,1,5,6,0.5,0.5,0,0.333333,0,0,26.857143,1,0.1429,0
1,0,8,1,7,0,0.625,1,4,0.246914,0,0,70.222222,4,1.2222,1
1,0,153,1,4,7,0.848485,0.121212,1,0.380952,0,0,166.090909,236,13.7727,1
3,0,0,1,1,5,0,0,0,0.333333,1,2,7,1,0.8333,0
3,0,3,0,3,3,2,0,0,0.444444,0,0,58.333333,3,1.3333,1
1,0,0,8,1,14,0.852041,0.285714,3,0.380952,0,0,17.866667,7,0.8,0
2,0,3,1,4,2,2,0,0,0.5,1,1,4.333333,1,0.6667,0
1,0,3,1,1,13,0.602564,0,0,0.404762,0,0,15.5,1,0.9286,0
3,0,5,1,4,5,0.825,0,1,0.333333,1,4,38.833333,16,3.6667,0
1,0,61,11,1,13,0.692308,0,3,0.320513,0,0,11.285714,3,0.7143,0
2,0,21,3,1,7,2,0,0,0.5,1,2,6.714286,1,0.8571,0
2,0,0,0,5,10,0.444444,1,0,0.3,2,3,29.8,13,3.1,0
2,6,0,6,1,1,0,1,1,0.75,0,0,5,1,0.5,0
2,0,1,3,2,0,2,0,0,0.666667,1,3,17.5,4,2,1
3,0,1,0,5,2,1,1,0,0.75,0,0,22.5,1,0.5,0
1,0,0,1,1,0,2,0,3,1,0,0,12,0,0,0
1,0,41,33,0,10,0.633333,1,0,0.309091,0,0,15.636364,4,1.4545,1
1,0,0,3,4,0,0.75,0.333333,4,0.4,0,0,19.4,5,1.6,0
1,1,16,2,10,8,0.670455,0.875,4,0.197917,0,0,32.666667,1,0.9167,1
2,0,43,3,7,14,0.75,1,2,0.595238,0,0,16.285714,1,0.9286,1
2,0,0,3,7,11,0.589286,1,0,0.191667,2,3,18.866667,6,1.8,0
1,0,95,3,6,7,0.748918,1,5,0.194805,0,0,24.090909,5,1.5,1
1,0,19,3,11,5,0.64,1,6,0.324675,0,0,28.818182,4,1.1818,1
1,0,3,4,0,3,1.4375,0,2,0.5,0,0,4,2,1,0
3,0,0,1,6,9,0.111111,1,1,0.214286,2,2,10.5,4,1.3,1
1,0,1,2,0,1,2,0,0,0.5,0,0,17,4,2,0
3,0,2,1,2,5,0.666667,1,1,0.36,1,5,17,3,1.2,1
1,3,247,24,13,22,0.909091,1,1,0.273913,0,0,4.652174,1,0.9565,1
1,6,3,12,1,3,2,0,0,0.666667,0,0,1.666667,1,0.6667,0
2,1,1,3,4,8,0.460317,1,1,0.5,1,3,27.1,1,0.8,1
1,0,0,1,3,6,0.52,1,1,0.242857,0,0,20.454545,3,1.4545,0
2,2,8,2,1,8,0.5,0.75,0,0.333333,1,3,18,1,0.8889,1
1,0,2,7,0,8,0.666667,0.666667,1,0.5,1,1,7.888889,5,1.1111,0
1,0,93,6,3,22,0.704545,1,0,0.198068,0,0,30.043478,17,1.8261,1
2,0,1,0,3,2,2,0,0,0.666667,0,0,4,1,0.5,0
2,1,53,6,8,18,0.854545,0.818182,0,0.296,0,0,34.653846,2,1,1
1,0,0,6,2,10,0.333333,1,2,0.375,1,1,9.5,4,1.4,1
