@relation jedit-4.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,6075,6,0.921126,5223,1,0.138067,0,42.483051,1.4492,0
1,0,217,34,0.872727,370,3,0.108571,0,12.807692,1.5,1
7,0,49,3,0.884615,864,3,0.285714,1,59.428571,1.7143,1
1,0,3,29,1.5,4,0,0.833333,0,0,1,0
4,0,0,17,2,5,0,1,0,4,0,0
1,0,48,4,0.25,300,1,0.305556,0,22,2.5385,1
2,0,1,1,2,36,0,0.625,1,17,0.5,0
2,0,0,2,0.4,62,0,0.444444,0,8.833333,0.8333,0
5,0,119,26,0.904762,618,3,0.203008,18,30.789474,1.4211,1
2,0,4,1,0.833333,108,0,0.4,0,25.5,1.75,0
1,0,40,15,0.733333,268,3,0.338462,0,19.230769,2.1538,1
2,0,4,1,0.5,155,0,0.366667,0,29.8,3.8,0
6,0,3,7,0.711111,248,0,0.342857,2,38.833333,3,0
2,0,0,4,0.272727,176,0,0.35,2,13.583333,1.4167,0
1,0,66,7,1.090909,957,0,0.239583,0,78.166667,8.4167,1
6,0,1,1,0.5,302,1,1,4,95.333333,1.3333,0
1,0,0,2,0.46875,269,0,0.6,0,51.2,3.8,0
1,0,38,69,0.892857,437,0,0.178571,0,31.538462,2.3077,0
3,3,43,53,0.5,154,1,0.577778,2,9.133333,1.3333,1
1,0,3,7,0.583333,226,1,0.35,0,21.2,1.8,0
2,0,25,3,0.75,185,0,0.386364,2,15.636364,1.6364,0
6,0,25,3,0.716667,333,0,0.5,5,28.727273,1.9091,0
2,0,1,2,1,22,0,0.625,1,9.5,0.5,0
2,0,10,1,2,88,0,0.52,3,16.6,1,0
3,0,2,6,0.75,36,0,0.466667,1,5.4,0.8,0
2,0,15,3,1.114286,283,0,0.611111,0,45,0.8333,0
1,0,43,4,0.661765,747,0,0.104575,0,40.055556,3.0556,1
2,0,1,3,1,10,0,0.75,0,3.5,0.5,0
2,0,98,1,0.879808,1115,5,0.264706,2,63.058824,6.2353,1
3,0,3,0,2,33,0,0.75,0,10,0,0
6,0,24,3,0.857143,74,2,0.625,1,8,0.875,1
1,2,9,2,0.5,140,0,0.52381,0,18.857143,3.1429,0
1,0,21,4,0.970085,1529,2,0.2875,0,149.3,8.6,1
2,0,0,2,0.285714,179,0,0.40625,2,21.25,1.375,0
1,2,33,16,0.8,90,0,0.386364,0,6.818182,0.7273,1
1,0,0,5,1.761905,52,3,0.625,0,14.5,0.5,1
4,0,1059,13,0.963481,1085,4,0.103009,25,18.518519,1.5741,1
2,0,3,4,2,79,0,0.533333,1,25.333333,0.6667,0
6,0,18,4,0.71875,205,1,0.5,12,21.333333,1,0
1,0,23,22,0.72,240,1,0.16,0,20.363636,1.7273,0
1,0,100,2,0.7,679,0,0.323529,0,38.352941,2,1
6,0,1,1,0.5,230,1,1,4,73,1.6667,1
6,0,20,5,0.761905,119,1,0.5,12,13.5,0.75,0
2,0,6,3,2,171,0,0.583333,1,41.75,0.75,0
2,0,1,2,2,8,0,0.625,0,3,0.5,0
8,0,1,3,2,120,0,0.75,4,59,4,0
1,0,35,1,0.6,52,1,0.424242,0,3.636364,0.9091,0
2,0,1,1,2,65,0,0.625,0,31.5,2.5,0
2,0,5,1,0.809524,146,0,0.392857,1,18.857143,1.2857,0
1,0,27,6,0.705882,1598,2,0.155556,0,87.388889,7.2222,1
1,0,0,5,0.555556,298,2,0.357143,0,72.75,1,0
1,0,2,1,0.678571,236,0,1,0,24.444444,2.8889,0
3,0,0,6,1.222222,71,0,0.5,1,13,0.75,0
2,0,1,3,2,65,0,0.625,0,31.5,0.5,0
1,0,10,1,2,206,0,0.3,0,40.2,3,0
1,0,91,6,0.708333,1245,1,0.274854,0,64.105263,1.6316,0
8,0,0,2,2,79,0,1,0,78,0,0
1,0,0,18,0.653846,386,1,0.342857,0,26,2.3571,0
1,3,15,3,2,49,0,0.416667,0,7.166667,1.5,0
7,0,28,4,0.843434,1013,1,0.214286,0,81.916667,2.6667,0
1,0,78,7,2,13,0,0.430769,0,0,1,0
1,0,0,6,2,21,1,1,0,15,0,1
3,0,4,1,0.65,213,0,0.7,5,40.6,1,0
6,0,38,5,0.8,306,1,0.25,12,24.083333,1.5833,0
7,0,9,3,0.8,299,0,0.388889,0,48.333333,0.8333,0
5,0,7,5,0.85,397,3,0.3,0,64.5,1,1
7,6,0,7,2,95,0,1,0,94,0,0
1,0,13,5,0.5,64,0,0.166667,0,7.857143,1.5714,0
1,0,4,1,0.666667,62,0,0.333333,0,14.25,2.25,1
5,0,108,3,0.75,539,3,0.228758,4,30.411765,2.5294,1
4,0,0,2,2,5,0,1,0,4,0,0
1,0,1,4,2,2,0,0.625,0,0,1,0
4,0,23,2,0.533333,504,1,0.272727,4,44.272727,3.2727,0
1,0,3,5,1.4375,23,2,0.5,0,4,1,0
2,0,3655,0,2,686,0,0.056202,0,6.976744,1.0233,0
3,0,1,1,2,10,0,0.75,0,4,0.5,0
2,0,0,1,0.621212,559,2,0.265306,0,77.285714,3.2857,0
1,0,102,11,0.861538,528,3,0.238095,0,23.52381,1.5714,1
2,0,0,1,0.5,77,0,0.444444,2,24,2,0
1,0,1,3,2,2,0,1,0,0,1,0
1,0,0,1,0,59,0,0.666667,0,13.25,1.75,0
4,0,33,14,0.45,141,0,0.363636,2,11.636364,1,0
1,0,0,2,0.53125,251,0,0.6,0,47.6,3.8,0
2,0,28,1,2,269,0,0.363636,1,32.625,0.875,0
2,0,1,1,2,89,0,0.625,1,43.5,0.5,0
2,0,0,4,0,34,0,0.666667,1,10,0.6667,0
2,0,1,2,1,19,0,0.666667,0,8,0.5,0
1,0,0,1,0.710526,563,2,0.416667,0,107.8,0.6,1
1,0,0,3,0.65625,96,1,0.533333,0,16.6,1,0
2,0,1,1,1,36,0,0.625,1,16,0.5,0
2,0,3,1,1,273,0,0.533333,1,89.666667,0.6667,0
7,0,3,3,2,180,0,0.555556,0,59,0.6667,0
1,0,0,12,0.458333,112,0,0.384615,0,7.461538,1,1
1,0,3,1,2,103,0,0.555556,0,33.333333,5.3333,1
7,0,9,3,0.611111,214,1,0.3,13,28.714286,2.1429,0
1,0,5427,157,0.923831,5109,8,0.05177,0,43.570175,4.0614,1
2,0,1,1,1.125,138,4,0.625,1,64,0.5,0
2,0,19,8,0.333333,52,0,0.457143,1,6.285714,0.8571,0
2,0,13,1,0.88,150,0,0.541667,3,23.166667,1.6667,1
1,0,0,2,0.611111,201,3,0.666667,0,47.75,2.5,0
2,0,14,4,0.75,352,4,0.234568,1,37.444444,2.7778,0
1,0,0,2,0,176,0,0.583333,0,28.166667,2.1667,0
2,0,21,2,2,63,0,0.4,0,8,1,0
2,1,71,9,0.789916,466,2,0.208333,0,24.5,2.5556,0
1,0,4,0,0.833333,118,0,0.3,0,28,2.25,0
1,0,0,1,0.722069,23683,8,0.183866,0,57.127764,4.8894,0
1,0,55,2,2,456,0,0.363636,0,40.454545,3.5455,0
3,0,4,1,1,83,0,0.35,2,18.75,0.75,0
1,0,44,4,0.833333,488,0,0.180556,0,36.153846,2.6154,1
2,0,1,1,2,30,0,0.625,1,14,0.5,0
6,0,0,4,0.766667,196,1,0.285714,0,26.285714,1.1429,0
7,0,2,1,0.5,362,1,0.466667,0,70.4,1.8,0
2,0,1,1,2,107,0,0.625,2,52.5,0.5,0
2,0,11,4,0.725,232,1,0.425,3,19.727273,1.5455,0
2,0,3,1,0.771429,215,0,0.722222,3,33.666667,3,0
1,0,1,2,2,2,0,0.625,0,0,1,0
1,0,0,1,0.375,239,0,0.5,0,46,3,0
2,0,1,1,2,6,0,0.75,0,2,0.5,0
1,0,660,64,0.944444,1578,0,0.12285,0,41.621622,4.2162,1
2,0,1,1,0.5,106,0,0.444444,2,34,4,0
4,0,759,6,0.95619,981,3,0.121646,17,21.232558,1.8837,1
2,0,6,1,1,279,0,0.45,1,68.5,2.25,0
1,2,15,10,0.555556,163,3,0.266667,0,15,1.1,0
2,0,1,1,2,186,0,0.625,2,92,0.5,0
2,0,1,1,1,80,0,0.625,1,38.5,0.5,0
6,0,113,8,0.764706,844,0,0.194444,6,45.333333,1.6111,0
2,0,9,1,0.722222,64,1,0.357143,1,7.714286,0.8571,0
6,0,258,4,0.818182,530,3,0.152727,1,19.76,1.64,1
2,0,3,5,2,63,0,0.6,1,20,0.6667,0
1,0,802,74,0.94375,1670,1,0.119643,0,39.536585,3.122,1
1,0,0,36,2,1,0,1,0,0,1,0
1,0,0,5,1.095238,222,0,0.333333,0,52.75,20,0
7,0,52,1,0.709091,284,2,0.277778,0,22.25,1.3333,0
5,0,53,17,0.537037,781,5,0.210526,1,39.789474,3.0526,1
1,0,15,4,2,34,0,0.555556,0,4.666667,1,0
5,0,76,5,0.78125,412,2,0.341176,5,22.764706,1.4118,1
7,0,77,3,0.888889,359,1,0.283333,0,22.333333,1.0667,0
2,0,6,2,2,83,0,0.5625,11,19.75,1.25,0
1,0,139,10,0.785714,853,3,0.227273,0,37.5,2.0909,1
3,0,4,3,0.875,50,0,0.5,1,8.2,0.6,0
2,0,3,1,1,102,0,0.444444,1,32.666667,2.3333,0
1,0,14,6,0.666667,485,3,0.230769,0,35.692308,3.3077,1
1,4,54,27,0.727273,49,0,0.3125,0,3,0.9167,1
2,0,7,3,0.75,336,0,0.305556,0,54.333333,3.6667,1
1,0,0,13,2,617,0,0,0,496,0,0
2,0,1,1,0.5,71,0,0.444444,2,22.333333,2.3333,0
3,0,0,2,2,5,0,1,0,4,0,0
1,0,0,2,0.111111,94,0,0.5,0,21.75,2.5,0
6,0,125,13,0.916667,342,1,0.203947,6,16.473684,1.0526,1
1,0,0,8,0.766234,351,1,0.375,0,41.5,0.375,0
2,0,0,1,0.75,151,0,0.444444,2,48,7.3333,0
6,0,2,3,0.8,202,2,0.35,0,38.4,0.8,0
2,0,1,3,1,30,0,0.666667,2,8,0.3333,0
6,0,4,2,0.464286,239,2,0.5,4,45.4,1.8,1
8,0,1,3,2,133,0,0.75,3,65.5,4,0
1,0,13,0,0.6,372,0,0.28,0,60.833333,3,0
2,0,1,0,2,14,0,0.75,0,6,0.5,0
6,0,1,1,0.5,307,0,1,4,98,2,1
1,3,22,9,0.583333,121,0,0.208333,0,12.111111,1.3333,0
1,0,17,10,0.622222,296,0,0.35,0,28.1,2.8,0
2,0,0,1,0.541667,300,1,0.333333,3,41.285714,4.7143,0
1,0,9,1,0.488889,135,3,0.333333,0,20,1.6667,0
2,0,3,8,0.666667,93,0,0.444444,0,14,0.8333,0
2,0,0,1,0.125,206,0,0.35,3,39.8,4,0
2,0,2,2,0.555556,173,0,0.5,1,41.5,0.75,0
2,0,0,2,0.285714,163,0,0.40625,2,19.25,1.375,0
1,0,0,1,0.222222,62,0,0.666667,0,13.75,1.75,0
1,0,15,4,2,6,0,1,0,0,1,0
3,0,0,2,2,5,0,1,0,4,0,1
1,2,30,10,0.75,31,1,0.266667,0,2.333333,0.8889,0
2,0,10,2,1.071429,159,0,0.72,0,29.4,0.8,0
5,0,1652,26,0.941761,1871,5,0.115385,12,27.276923,2.2462,1
6,0,6,2,0.75,206,1,1,4,39.4,1,0
2,0,24,3,0.818182,253,0,0.395833,2,19.833333,1.5833,0
1,0,1019,45,0.785794,1472,5,0.134434,0,25.944444,1.6296,0
5,0,122,11,0.818452,797,3,0.195556,4,30.32,2.28,1
6,0,1,1,0.5,159,1,1,3,50,0.6667,1
2,0,37,4,0.760684,304,1,0.22449,0,20.071429,1.7143,1
3,0,0,7,2,5,0,1,0,4,0,0
5,20,29,21,0.805556,285,0,0.5,0,27.1,1.1,0
1,13,12,13,0.761905,65,2,0.354167,0,6.75,1.25,0
4,0,0,1,0.444444,195,0,0.375,3,46.25,1.25,0
2,0,11,2,0.914286,1460,3,0.236364,0,129.818182,5.4545,0
1,0,312,7,0.875,721,2,0.114478,0,24.464286,2.25,1
1,0,6,4,2,4,0,0.916667,0,0,1,0
6,0,3,1,2,50,0,1,4,15.666667,0.6667,0
6,0,3,5,2,67,0,0.444444,0,21.333333,1,0
1,5,6,9,2,11,0,0.75,0,1.75,0.75,0
1,0,0,2,2,186,0,0,0,148,0,0
1,0,228,10,0.646875,1520,2,0.136364,0,44.757576,3.7879,1
1,0,3,1,0.751701,6336,1,0.5,0,125.24,6.72,0
1,0,0,1,0,59,0,0.666667,0,13.25,1.75,0
1,0,0,11,0.666667,28,0,0.5,0,5.25,0.75,1
1,0,0,7,0.625,64,1,0.428571,0,7.571429,1.1429,0
2,1,1019,16,0.944816,2553,2,0.230072,2,53.042553,1.766,0
3,0,0,1,2,5,0,1,0,4,0,0
2,0,3,1,1.0625,288,0,0.285714,2,44.333333,5.1667,0
3,0,8,0,0.375,173,2,0.366667,3,32.4,2.6,0
2,0,36,1,0.869565,492,4,0.319444,3,38.083333,3.5833,0
3,0,0,3,2,5,0,1,0,4,0,0
1,0,25,3,0.529412,1278,0,0.296296,0,45.703704,1.5556,0
2,0,4,1,0.666667,55,0,0.375,2,12.25,2,0
1,1,1259,37,0.938904,1694,4,0.110988,0,29.981481,1.6296,0
6,0,206,16,0.772487,614,1,0.219388,7,20.678571,2.25,1
1,0,0,4,0.5,66,0,0.75,0,9.666667,1,0
1,0,0,3,0.5,111,0,0.259259,0,11.111111,1.5556,0
1,0,0,2,0.436364,212,0,0.395833,0,16.25,1.3333,0
1,0,311,7,0.873333,177,1,0.16,0,5.576923,1.1923,0
1,0,1,2,1,16,0,0.75,0,6,0,0
1,0,6,5,2,4,0,1,0,0,1,0
2,0,0,2,0.375,127,0,0.3,2,24,1.6,0
7,0,6,3,0.75,214,0,0.3,6,41.4,0.8,0
3,0,8,0,0.375,173,2,0.366667,3,32.4,2.6,0
2,0,35,1,0.866667,163,0,0.30303,3,13.545455,1.4545,0
6,0,3,3,0.533333,203,1,0.32,11,31.833333,2.3333,0
1,0,1,3,2,2,0,1,0,0,1,0
1,0,898,36,0.795455,1473,2,0.083333,0,31.644444,1.7111,0
1,0,666,12,2,1583,0,0.153846,0,41.783784,3.0811,0
1,0,0,2,0.222222,388,0,0.44,0,37.4,2.3,0
1,0,0,1,2,6,0,1,0,3,0,0
1,0,107,13,0.866071,648,5,0.166667,0,27.727273,2.9545,0
1,0,1,3,2,3,0,1,0,0,1,0
7,0,98,3,0.875,629,0,0.1875,3,35.352941,1.1765,0
2,0,1,2,0.875,132,2,0.555556,3,41.666667,0.6667,0
6,17,3,20,1,43,1,0.5,0,13,0.6667,0
1,7,91,7,2,38,0,0.414286,0,1.714286,0.9286,0
3,0,4,4,0.833333,47,0,0.5,1,7.8,0.6,0
7,0,20,2,0.8,293,0,0.375,6,35,1.375,0
1,0,11,17,0.977778,170,0,0.1,0,13.636364,1.7273,0
2,0,6,1,0.625,204,0,0.433333,1,39.4,0.8,0
2,0,1,1,1,28,0,0.625,1,12.5,0.5,0
5,0,230,17,0.925926,697,5,0.206349,0,23.392857,2.2143,1
2,0,1,5,2,30,0,0.625,0,14,0.5,0
1,0,0,4,0.5,158,0,0.466667,0,30,1.8,1
5,0,0,4,0.571429,418,0,0.625,0,50.875,3,0
6,0,1,2,0.5,54,1,0.4,1,16.666667,0.6667,0
6,0,34,3,0.784091,448,0,0.5,5,35.666667,2.0833,1
3,0,1,7,2,9,0,0.75,0,3.5,0,0
2,0,31,1,0.8,222,1,0.333333,3,18.454545,2.2727,0
8,0,1,2,2,126,0,0.75,4,62,4.5,0
7,0,48,5,0.869048,530,1,0.241758,7,39.230769,2.0769,1
2,0,1,1,2,28,0,0.625,1,13,0.5,0
5,0,0,2,0.666667,112,0,0.416667,0,26.25,0.75,1
1,0,0,1,2,6,0,1,0,3,0,0
2,0,210,5,1,760,0,0.380952,3,35.095238,3.381,0
6,0,0,2,0.714286,404,0,0.5,5,77,1.8,0
7,0,55,2,0.788462,660,0,0.214286,0,45.285714,1.7857,0
1,35,147,46,0.888889,239,4,0.233083,0,11.263158,1.5263,0
3,0,0,1,2,5,0,1,0,4,0,0
2,0,1,2,2,40,0,0.6,2,18.5,0.5,0
1,0,1,5,2,2,0,1,0,0,1,0
1,0,152,7,0.935223,212,5,0.155,0,8.95,1.2,1
6,0,4,5,0.666667,142,2,0.5,1,26.8,0.8,0
6,0,11,4,0.777778,137,3,0.285714,0,18.142857,0.8571,0
1,0,49,2,0.8,50,1,0.454545,0,3.363636,0.9091,0
3,0,5,9,0.938462,87,1,0.4,1,11.333333,0.6667,0
1,0,10,8,2,5,0,0.6,0,0,1,0
1,0,1,2,2,2,0,0.75,0,0,1,0
1,0,0,8,0,82,0,0.466667,0,15.2,2,1
3,0,15,2,1.12,183,0,0.5,1,28.666667,2.8333,0
1,0,0,38,0,135,0,0.484848,0,11.181818,1.1818,0
5,0,55,10,0.820513,361,1,0.257143,12,24.357143,1.8571,1
2,0,15,3,2,279,0,0.229167,1,45.5,0.8333,0
