@relation ivy-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
0,0,1,0,2,0,0.444444,0,39.666667,1,0
0,8,4,0.809524,2,0,0.3125,0,118,4,1
0,16,2,0.666667,1,0.740741,0.46875,1,40.625,2,0
0,9,3,0.733333,0,0.583333,0.333333,0,14,3,0
2,3,2,2,0,0.981132,1,0,52,1,0
0,2,0,0.625,0,0.963636,0.7,2,16.2,1,0
0,36,1,2,0,0.631579,0.296296,0,51.888889,9,0
0,120,5,2,0,0,0.204545,0,114.6875,20,0
0,6,3,2,0,0,0.416667,0,24,3,0
1,189,1,0.806818,0,0.889474,0.233766,4,25.086957,8,0
0,15,1,0.75,1,0,0.333333,0,39.857143,5,0
0,3,1,0.666667,0,0.881579,0.65,1,19.3,2,0
0,0,1,0,0,0.75,0.5,0,17.666667,2,0
0,0,3,2,0,0,1,0,0,1,0
0,23,3,0.766667,0,0,0.242424,0,18,3,0
0,6,1,1,1,0,0.666667,0,4.5,2,0
0,17,2,0.725,0,0,0.727273,0,7.272727,2,0
0,151,18,0.970588,0,0,0.194118,0,34.333333,5,0
2,49,2,0.8,0,0.944134,0.345455,2,6.636364,2,0
0,0,1,0.333333,1,0.8125,0.583333,2,9,1,0
0,30,2,0.757576,1,0.388889,0.25,1,12.75,2,0
0,10,3,2,0,1,0.5,0,8.6,0,0
0,429,0,0.894118,1,0.663366,0.314286,4,22.114286,2,1
0,1,5,0.45,1,0,0.318182,0,4.909091,1,0
0,2181,13,0.882991,8,0,0.067568,0,18.175676,6,1
0,34,8,0.9375,1,0.3,0.328125,1,18.555556,1,1
7,44,23,0.555556,1,0,0.201923,1,12,5,0
1,4,1,0.5,0,0,0.4,0,8.4,3,0
0,4,8,0.666667,1,0,0.333333,0,18,4,0
0,36,80,2,0,0,1,0,0,1,0
0,21,0,2,0,0.967568,0.857143,1,8.714286,3,0
0,77,3,0.666667,1,0.606061,0.5,1,17.866667,2,0
0,219,23,0.737179,5,0,0.150997,0,13.37037,4,0
0,465,84,1.033333,0,0,0.132258,0,0,1,0
0,22,9,0.5,1,0.3,0.25,1,12.888889,2,0
0,526,0,0.909259,0,0.650485,0.32973,3,16.405405,3,0
0,1,2,2,0,0,0.5,0,48,7,0
0,57,0,0.821429,0,0.82716,0.306667,2,26,5,1
0,0,1,0,3,0,0.571429,0,203.5,1,0
5,6,5,0.761905,0,0,0.541667,0,16.375,2,0
2,2,2,0.75,2,0.75,0.333333,0,10.2,1,0
0,21,2,2,0,0,0.285714,0,146.714286,10,0
1,79,1,0.807692,0,0,0.285714,0,5.5,2,0
2,142,2,0.763158,0,0,0.5,0,7.95,2,0
0,4,3,0.25,1,0,0.5,0,28.6,5,0
0,52,10,0.333333,2,0.388889,0.282051,1,14.538462,5,0
0,64,2,1.049587,0,0,0.345238,0,76.333333,1,0
0,0,1,0,0,0.983871,0.666667,1,47.5,3,0
0,4,1,0,0,0,0.525,0,30.2,4,0
0,15,26,2,0,0,0.541667,0,0,1,0
0,6,3,1,1,0,0.666667,0,3,1,0
0,25,5,0.8,1,0.285714,0.290909,0,5.272727,1,0
0,66,13,2,0,0,0.316667,0,0,1,0
0,0,6,2,0,0,1,0,0,1,0
0,15,17,2,0,0,0.37037,0,0,1,0
0,0,1,0,2,0,0.6,0,161,13,0
0,0,3,0.5,2,0.833333,0.6,1,59.4,1,1
2,6,5,2,0,1,0.666667,0,4,0,0
0,10,4,2,0,0,0.25,0,21.4,3,0
0,20,2,0.809524,0,0,0.357143,0,36.5,4,1
0,14,2,0.571429,0,0,0.625,0,7.375,3,0
0,8,1,0.5,0,0,0.4,0,18.2,1,0
0,6,0,0.75,2,0,0.466667,0,3.4,1,0
0,1,2,0.5,0,0,0.5,0,5.666667,2,0
0,0,12,0.5,1,0,0.5,0,4.5,1,0
0,6,1,2,0,0.727273,0.666667,1,11,2,0
0,3,0,2,0,0.98895,1,1,4.666667,1,0
0,28,3,2,0,0,0.458333,0,0,1,0
0,3,1,0.6,0,0,0.555556,0,4.333333,1,0
0,1,2,0,0,0,0.444444,0,50,4,0
0,0,1,0.833333,2,0.875,0.5,0,11.333333,1,0
0,0,1,2,0,1,1,0,7,0,0
0,865,1,0.920652,0,0.59292,0.221884,4,17.638298,3,0
0,0,1,0.714286,2,0.752941,0.162879,3,14.863636,3,0
0,11,1,0.766667,1,0,0.233333,0,47.1,2,1
0,0,1,1,1,0.923077,0.75,0,5,1,0
4,8,4,0.5,0,0,0.8,0,5.6,3,0
3,1,3,2,0,0.994118,1,1,5,1,0
0,13,1,0.6,0,0,0.340909,0,5,1,0
0,0,0,0.017241,1,0,0.190862,0,14.152542,4,0
0,224,0,0.905303,0,0.736264,0.37,3,10.72,1,0
0,0,1,0.3,0,0.583333,0.5,2,26.166667,3,0
0,10,1,1.25,0,0,0.2,0,19.2,2,0
0,0,4,1,3,0,0.583333,0,64,6,0
1,1504,8,0.950255,3,0.537815,0.113946,5,43.491228,9,1
0,2,1,0.75,0,0,0.6,0,5.4,1,1
0,24,11,0.65,0,0,0.346154,0,21.538462,4,0
0,0,1,0,0,1,1,0,6,0,0
0,236,1,0.767857,0,0.695652,0.143236,4,24.137931,5,1
0,0,2,2,0,0,1,0,0,1,0
0,8,1,0.875,0,0.982558,0.625,2,13.8,3,0
6,37,6,0.777778,1,0,0.3,0,3.9,1,0
2,156,3,0.855556,0,0.512821,0.32,0,16.333333,6,0
0,0,8,0.5,0,0,0.666667,0,5,1,0
0,112,4,0.907738,1,0,0.239583,0,44.84,29,0
0,1,2,2,0,0.9375,0.625,0,8,1,0
0,213,4,0.966403,2,0.375,0.23913,0,10.347826,5,0
5,132,7,0.5875,1,0,0.17316,0,12.190476,4,0
5,63,5,0.571429,1,0.87574,0.184659,12,31.045455,9,0
0,160,2,0.9125,0,0.661017,0.227513,3,36.571429,3,0
0,0,1,0,0,0.5,0.333333,1,24.222222,3,0
0,20,3,1.012539,1,0.5,0.393939,1,26.583333,6,0
0,3,15,2,0,0,1,0,0,1,0
4,613,4,0.897683,1,0.644231,0.225564,1,20.710526,18,1
0,0,34,2,0,0,1,0,0,1,0
0,0,1,1,1,0.933333,0.666667,0,8.5,1,0
0,31,21,0.8,3,0,0.26,0,5.454545,1,0
0,3,0,1,1,0.8,0.75,1,4.666667,1,0
0,1,2,2,0,0,0.75,0,0,1,0
0,276,5,0.958333,1,0,0.246667,0,3.96,1,0
0,15,22,2,0,0,0.555556,0,0,1,0
0,6,0,0.628571,0,0.6,0.371429,0,16.5,6,0
0,55,35,2,0,0,0.409091,0,0,1,1
0,0,3,2,0,1,1,0,4,0,0
0,1,2,0.5,0,0,0.666667,0,3.333333,1,0
0,25,1,0.805556,0,0,0.7,0,3.9,1,0
0,30,32,0.727273,4,0,0.277778,1,6.833333,2,0
0,28,3,0.875,2,0,0.481481,0,5.222222,2,0
0,1,3,2,0,0,0.75,0,0,1,0
0,17,10,0.54,0,0,0.393939,0,8.272727,2,1
0,46,14,0.736111,1,0.421053,0.196581,1,17.230769,6,0
0,267,16,0.873563,1,0,0.123077,0,16.8,5,0
0,1,1,2,0,0.666667,0.75,1,3,1,0
0,0,2,0.661538,2,0,0.22449,0,14.714286,4,0
0,76,2,0.916667,1,0,0.227273,0,52.076923,8,0
0,54,1,0.840909,0,0,0.5,0,12.833333,3,0
0,0,6,2,0,0,1,0,0,1,0
0,253,46,2,0,0,0.127717,0,0,1,0
0,67,9,0.867347,1,0.125,0.293333,0,5.466667,1,0
2,36,2,2,0,0,0.444444,1,15.222222,9,0
0,170,17,0.6625,1,0.333333,0.253968,9,9.47619,1,0
0,3,2,2,0,0,0.444444,1,21.333333,7,0
0,11794,51,0.967014,12,0,0.062279,0,15.898089,6,0
0,45,57,0.725275,0,0,0.307692,1,18.285714,7,0
0,4,8,0.5,1,0,0.25,0,13.2,1,0
0,15,10,2,0,0,1,0,0,1,0
0,0,1,0,1,0,0.555556,0,6,2,0
0,300,55,2,0,0,0.296,0,0,1,0
0,0,9,0.428571,1,0,0.416667,0,5.5,1,0
0,3,6,0.7,3,0,0.466667,0,7,1,0
0,25,4,0.8,1,0,0.363636,0,5.636364,2,0
17,470,17,0.922581,0,0.552239,0.25,0,19.78125,5,0
0,90,2,0.8125,0,0,0.382353,0,8.470588,1,0
2,3,2,2,0,0,0.5,0,16.666667,2,0
0,21,54,2,0,0,0.571429,0,0,1,0
1,12,2,0.5,1,0.5,0.377778,0,20.666667,5,0
0,300,1,0.728395,0,0.862944,0.129121,9,16.214286,8,0
0,0,5,2,0,0,1,0,0,1,0
0,9,2,0.4,0,0.791667,0.666667,8,5.5,2,0
0,1,4,2,0,0,0.666667,0,0,1,0
0,0,1,0,1,0,0.5,0,107.5,1,0
0,0,15,0.5,3,0,0.666667,0,15,4,0
0,28,14,2,0,0,0.267857,0,0,1,1
0,0,1,0.75,0,0,0.342857,0,65,11,0
0,73,0,0.807692,0,0.888889,0.207792,6,43.357143,7,0
0,7,2,0.5,1,0,0.4,0,9.166667,2,0
0,15,0,0.694444,0,0.5,0.4,0,18.3,7,0
0,0,1,2,0,1,1,0,6,0,0
0,0,1,0.333333,2,0,0.5,0,7.25,3,0
0,182,103,1.015038,1,0,0.144737,0,4.85,2,0
0,171,8,2,0,0,0.421053,0,0,1,0
0,1,7,2,0,0,0.625,0,0,1,0
0,28,2,1.142857,0,0.611111,0.375,3,66.875,4,1
0,78,1,2,0,0.945274,0.174825,7,31.307692,4,0
0,3,2,1,1,0.8,0.75,1,4.666667,1,0
0,1,0,2,0,0.666667,0.666667,1,4,1,0
0,0,5,0.666667,1,0,0.833333,0,13,2,0
0,26,2,0.85,0,0,0.361111,0,5.111111,1,0
0,3,8,2,0,0,1,0,0,1,0
0,10,8,2,0,0,0.7,0,0,1,0
1,3,3,2,0,0.875,0.555556,1,5,1,0
0,3,2,2,0,0,0.666667,0,0,1,0
0,118,5,0.994026,0,0,0.220238,0,23.571429,6,1
0,65,1,0.355769,0,0,0.404762,0,13.214286,3,0
0,2,3,0.625,1,0,0.533333,0,16.4,2,0
0,6,6,2,0,0,1,0,0,1,1
0,0,1,2,0,1,1,0,8,0,0
1,0,3,0.5625,0,0,0.416667,0,16.222222,3,0
0,0,6,2,0,0,1,0,0,1,0
0,0,1,0.545455,1,0,0.243056,0,35.75,6,1
0,6,2,1,0,0,0.375,0,59.25,9,0
0,1,33,2,0,0,0.75,0,0,1,0
0,110,2,0.09375,1,0,0.344538,0,8.588235,2,0
0,3,3,2,0,0,1,0,0,1,0
0,68,0,0.847619,0,0.817073,0.71875,0,9.5,1,1
0,75,1,0.805556,1,0,0.385965,0,32.157895,6,0
0,0,3,0.4,1,0,0.458333,0,7.833333,2,0
0,0,0,0.4,0,0.930556,0.666667,1,22.5,1,0
0,4,2,0.666667,1,0.714286,0.5,1,5.5,1,0
0,0,1,1.6,0,0.941176,0.6,0,11.5,1,0
0,345,30,0.773399,3,0,0.182266,0,15.866667,5,0
0,45,6,2,0,0,0.166667,0,18.2,3,0
0,22,0,0.714286,0,0.938053,0.40625,2,24.375,5,0
0,1,1,2,0,0.857143,0.666667,0,22,5,0
0,6,1,1,1,0,0.666667,0,4.5,2,0
0,1,24,2,0,0,0.75,0,0,1,0
0,13,0,0.722222,0,0.920354,0.466667,4,16.2,1,0
0,0,2,2,0,1,1,0,4,0,0
0,0,3,0.666667,4,0,0.428571,0,9.285714,1,0
0,13,2,0.2,0,0,0.666667,0,36.666667,1,0
0,0,5,2,0,0,1,0,0,1,0
0,0,3,0.333333,0,0,0.5,0,17,7,0
0,0,1,0.833333,2,0.875,0.466667,0,27,1,0
1,369,1,0.724138,0,0.804054,0.171111,2,35.433333,18,0
0,0,1,0.833333,1,0.875,0.444444,0,19.333333,1,0
0,0,10,0.4,1,0,0.444444,0,6,1,0
0,0,4,2,0,0,1,0,0,1,0
0,4,0,0.666667,0,0.755102,0.192308,2,9.076923,1,0
0,78,11,1.055556,1,0,0.533333,0,0.615385,1,0
0,3,7,2,0,0,1,0,0,1,0
0,0,13,2,0,1,1,0,3,0,0
0,1,4,2,0,0,1,0,0,1,0
0,118,3,0.795745,5,0,0.147569,0,13.770833,6,1
0,1,14,2,0,0,0.75,0,0,1,0
0,0,0,0.611111,0,0.917808,0.357143,0,19.571429,1,0
0,0,15,0.416667,0,0,0.285714,0,19.307692,7,0
2,4,2,0.666667,0,0.4,0.666667,0,13.75,2,0
0,39,11,0.666667,0,0,0.174603,0,129.7,7,0
0,15,3,0.5,0,0,0.535714,0,5.857143,1,0
0,30,0,0.8,0,0.858974,0.708333,0,8.916667,1,1
0,1,3,2,0,0,1,0,0,1,0
1,1,3,2,0,0,0.625,0,3,1,0
0,0,0,0.166667,0,0.666667,0.533333,1,27.2,5,0
0,0,1,0.333333,2,0,0.4375,0,6.25,2,0
0,6,22,2,0,0,0.375,0,17,2,0
0,0,5,2,0,0,1,0,0,1,0
0,1,1,2,0,0.9375,0.625,0,8,1,0
0,3,1,2,0,0.8,0.833333,2,4,1,0
0,316,4,0.853571,1,0.517241,0.206897,2,22,8,0
0,0,5,0.583333,1,0,0.533333,0,19.4,3,0
0,390,26,0.929688,1,0.0625,0.163194,0,9.121212,4,0
0,3,1,1,1,0.933333,1,2,30.333333,3,0
3,1,3,0.5,1,0.857143,0.666667,0,9.666667,1,0
0,0,1,2,0,1,1,0,7,0,0
0,0,3,0.6,2,0,0.444444,0,12.5,2,1
0,28,10,2,0,0,0.34375,0,0,1,0
0,39,2,0.827381,3,0,0.209524,0,28.266667,6,0
3,0,3,0.25,0,0.571429,0.533333,1,5.6,1,0
0,84,0,0.851563,0,0.698113,0.254902,1,22.823529,6,0
0,0,1,0.333333,2,0,0.5,0,7.25,3,0
0,3,0,0.8,0,0.930556,0.444444,1,14,1,0
0,0,1,1,1,0.928571,0.625,0,25,1,0
0,1,2,2,0,0.666667,0.75,1,3,1,0
0,21,1,2,0,0.910448,0.571429,2,8.571429,2,0
0,0,1,0,0,0,0.666667,0,11.5,2,0
0,0,4,2,0,0,1,0,0,1,0
0,18,0,0.666667,0,0.936937,0.5,2,17.25,2,0
0,0,3,0,1,0.944444,0.75,0,5.5,1,0
0,6,15,0.75,0,0.818182,0.4,0,3.6,1,0
0,3,3,1,1,0.8,0.75,1,4.666667,1,0
0,8,2,0.625,1,0,0.342857,0,26.6,1,0
0,105,3,1.071429,0,0.735849,0.275,2,37.8,1,0
0,36,1,1.125,0,0,0.47619,0,133.222222,16,0
0,2706,4,0.947917,4,0,0.087551,0,30.896104,11,1
0,78,0,0.972222,0,0,0.192308,0,107,8,1
0,37,4,0.7,1,0,0.383333,0,31.363636,8,1
0,0,8,2,0,0,1,0,0,1,0
0,3615,31,0.876984,9,0,0.090506,1,28.050505,21,1
0,1,19,2,0,0,1,0,0,1,0
2,0,2,0.3,0,0.772727,0.366667,0,13,3,0
3,0,4,0,1,0.968254,0.5,0,7.3,1,0
0,46,0,0.783333,0,0.428571,0.323077,0,19.153846,8,0
0,3,19,2,0,0,0.583333,0,0,1,0
0,0,5,0,1,0.8,0.625,0,5.5,1,0
0,119,1,0.931624,0,0.904255,0.289474,4,14.578947,8,0
2,0,2,0.5,2,0.857143,0.466667,0,11.333333,1,0
0,90,1,0.915584,5,0,0.149351,0,36.862069,14,1
0,35,5,0.153846,0,0,0.276786,0,15.357143,3,0
2,0,2,0.5,2,0.857143,0.466667,0,21.666667,1,0
0,53,5,0.701923,1,0.421053,0.285714,9,10.142857,1,0
3,0,7,1,0,0,0.5,0,6,1,0
0,6,2,1.333333,0,1,0.666667,0,4,0,0
0,3,1,2,0,0.666667,0.777778,0,3,1,0
0,3,4,2,0,0,0.777778,0,0,1,0
0,1,2,2,0,0.857143,0.666667,0,4,1,0
0,3,0,2,0,0,0.416667,0,32.666667,2,0
0,1,1,0,0,0,0.416667,0,70.333333,4,0
0,4,0,0.666667,1,0,0.5,0,4.75,1,0
0,194,9,0.75625,4,0,0.109557,0,77.363636,19,1
0,0,1,0,0,1,1,0,6,0,0
0,0,4,2,0,0,1,0,0,1,0
0,0,2,0.761905,2,0.447368,0.331169,2,73.363636,16,1
0,10,1,2,0,0.785714,0.5,0,9,1,0
0,3,4,2,0,0,0.619048,0,0,1,0
2,6,2,2,0,0,0.375,0,5.75,1,0
0,0,4,0.25,1,0,0.253846,0,82.769231,14,0
0,10,1,2,0,0,0.3,0,118.6,2,0
1,27,3,0.733333,1,0.363636,0.36,0,27.5,4,0
0,0,1,0.30303,1,0,0.316667,0,17,2,0
0,49,8,0.95,0,0,0.233333,0,23.636364,8,1
0,68,0,0.833333,0,0.848101,0.487179,0,13.538462,3,0
0,0,2,0.333333,2,0,0.375,0,189.25,1,0
0,1,2,2,0,0,0.5,0,23.5,4,0
0,37,7,0.625,0,0,0.393939,1,10.636364,3,0
0,23,1,0.5,1,0,0.433333,0,7.2,2,0
0,516,0,0.916667,0,0.650485,0.169533,3,29.162162,5,0
2,10,2,0.583333,2,0.466667,0.259259,1,12.444444,2,0
0,190,1,0.794444,1,0.366667,0.292857,3,35.047619,10,0
0,2213,44,0.901947,12,0,0.055223,0,13.864865,11,0
0,0,2,0.541667,0,0.76,0.333333,8,15.857143,3,0
1,107,29,0.895833,3,0,0.195489,0,8.368421,5,1
0,1,11,2,0,0,0.75,0,0,1,0
0,312,10,0.821429,3,0,0.116711,0,22.758621,6,0
3,2010,5,0.911058,5,0,0.077592,0,11.261538,5,1
0,15,1,2,0,0.615385,0.541667,2,7.833333,2,0
0,0,4,0.333333,1,0,0.5,0,7,1,0
0,3,7,1,1,0.8,0.75,1,4.666667,1,0
0,0,0,0.858333,1,0.660714,0.375,1,9.809524,2,0
0,0,8,2,0,0,1,0,0,1,0
0,1255,17,0.87037,6,0,0.108932,0,19.945455,9,1
5,13,5,0.75,1,0,0.314286,0,3,1,0
0,3,14,2,0,0,0.666667,0,0,1,0
0,20,17,0.464286,1,0,0.34375,1,16.125,6,0
0,45,12,2,0,0,0.366667,0,0,1,0
0,814,1,0.943723,0,0.603604,0.306667,5,12.666667,2,0
0,19,4,0.916667,0,0,0.354167,0,48.428571,1,1
