@relation ant-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11

@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,3,1,5,2,198,0,0,0.9,0.555556,1,65,6,2.3333,0
0,0,192,1,0.384615,153,1,1,0.65,0.333333,2,9.785714,2,0.6429,0
0,10,1,10,1,133,0,0,0.764706,0.5,0,25.4,1,0.8,0
0,322,3,4,0.859375,4244,0.761905,1,0.138889,0.257576,1,126.333333,32,5.6061,0
0,19,1,0,1.037037,197,0.666667,0,0,0.266667,0,25.857143,4,1.1429,0
0,1,1,3,2,33,0,0,0.969697,1,0,15.5,1,0.5,0
0,171,3,16,2,19,0,0,0,0.108359,0,0,1,1,0
0,18,0,4,0.714286,112,1,0,0.840909,0.75,0,12.625,4,1.75,0
0,1,0,5,0.7,137,1,0,0.880952,0.416667,3,21.166667,1,0.8333,0
0,3687,148,17,0.970476,2452,0.6,4,0,0.105495,0,25.56044,6,1.4945,0
0,58,1,5,0.633333,363,1,0,0,0.242188,0,21.3125,5,1.75,0
0,2338,11,18,0.964006,900,1,6,0.52349,0.206349,1,11.125,8,1.4722,0
0,11,0,17,0.916667,671,0.25,2,0.886364,0.25,2,58.909091,2,1,1
0,3,1,0,1.5,4,0,0,0,0.666667,0,0,1,1,0
0,3,3,0,0.583333,53,1,0,0,0.714286,0,6.285714,2,0.8571,0
0,0,3,1,2,1,0,0,0,1,0,0,1,1,0
0,3,1,7,1,152,0,0,0.866667,0.5,0,48.666667,1,0.6667,0
0,13,2,1,0.8,68,1,0,0.924242,0.444444,5,10.166667,3,1.5,0
0,0,4,4,0.666667,261,0,0,0.863636,0.342857,5,35.714286,8,3,0
0,134,7,6,0.6,630,1,0,0.6,0.272109,1,28.809524,9,3,0
0,6,1,12,2,195,0,0,0,0.333333,0,47.75,1,0.75,0
0,209,0,20,0.82,673,1,2,0.552239,0.16129,3,20.387097,2,1.0323,1
0,1,7,4,0,264,1,2,0,0.666667,0,86.333333,13,5,0
26,20,45,1,0.714286,87,1,0,0,0.6875,0,9.625,5,1.5,0
0,2,0,5,0.666667,48,1,0,0.925,0.5,0,10.5,1,0.75,0
0,22,1,3,0.785714,377,0.5,0,0,0.166667,0,45.875,3,1.25,0
4,223,6,19,0.045455,179,1,0,0.614035,0.093822,0,6.73913,4,1.2609,0
0,703,14,8,0.8819,1369,0.684211,1,0.478873,0.176829,5,31.142857,12,1.9286,0
0,0,0,10,0.628571,315,1,1,0.840909,0.325,0,37.75,1,0.875,0
0,4,0,3,0.666667,152,1,0,0.925,0.75,1,36.75,1,0.75,0
0,0,4,6,0.693878,365,0.571429,0,0.844444,0.25,4,43.75,19,5.375,0
0,27,9,4,0.683333,190,1,0,0,0.232323,0,15.727273,1,0.9091,0
0,37,0,7,0.9,758,0.6,0,0.804348,0.285714,0,73.8,7,2.1,0
0,5,2,1,0.8,131,0.5,0,0,0.2,0,20.166667,3,1.3333,0
0,21,1,6,0.793651,369,1,0,0.804348,0.45,0,35.2,2,1.1,0
2,29,2,5,0.555556,162,1,0,0.804348,0.5,0,15,4,1.2,0
0,121,7,5,0.75,503,0.5,0,0.638298,0.294737,2,25.157895,5,2,0
0,3,3,4,2,27,0,0,0.988636,0.666667,4,8,2,0.6667,0
1,421,3,22,0.863636,1740,1,0,0.709091,0.142045,4,49.647059,4,1.1471,1
0,15,2,7,0.666667,166,1,1,0.769231,0.3,1,15.3,3,1.4,0
0,0,1,6,0.166667,142,1,0,0.925,0.625,0,34,2,1,0
0,0,1,0,2,24,0,0,0,0,0,0,0,0,0
0,0,1,0,2,7,0,0,0,0,0,0,0,0,0
0,4,1,2,0.833333,168,0.666667,0,0.896552,0.466667,4,32,1,0.6,0
1,249,4,15,0.869231,607,1,2,0.587302,0.166667,0,20.925926,3,1.1481,1
0,0,5,0,2,5,0,0,1,1,0,4,0,0,0
0,1,1,2,0.7,74,1,0,0,0.555556,0,10.666667,1,0.8333,0
0,1,0,6,0.7,138,1,0,0.842105,0.428571,0,18,1,0.8571,0
0,10,1,0,0.75,81,0,0,0.924528,0.44,2,15,5,2,0
0,219,1,18,0.896842,881,1,4,0.757282,0.221154,4,32.153846,3,1.1538,1
0,14,2,5,0.866071,569,0.285714,1,0,0.163399,1,31.647059,8,1.5294,0
0,0,4,9,0.458333,201,1,2,0.853659,0.392857,3,27.142857,4,2.1429,0
0,26,1,1,0.714286,89,1,0,0,0.142857,0,10,2,0.875,0
0,264,4,2,0.733333,771,1,0,0,0.180556,1,22.625,4,1.1563,0
0,5,4,9,0.65,168,1,0,0.91,0.327273,10,13.909091,3,1.2727,1
0,60,1,3,0.818182,466,0,0,0,0.15,0,37.583333,4,1.8333,0
0,35,1,15,0.823232,849,0.909091,1,0.672727,0.305263,3,43.105263,12,2.2105,1
0,44,1,2,0.805195,156,1,1,0,0.261905,0,11.416667,4,1.25,0
0,1,1,5,2,33,0,0,0.958333,1,0,15.5,1,0.5,0
0,5,0,6,0.733333,95,1,0,0.880952,0.5,0,14.333333,1,0.8333,0
0,0,1,3,0,29,1,0,0.818182,0.666667,0,8.333333,1,0.6667,0
0,10,0,9,0.729167,214,1,0,0.840909,0.3125,1,22.111111,6,1.4444,0
0,0,2,0,0.5,1082,0,0,0,0.666667,0,153.285714,2,0.8571,0
0,87,1,13,0.849265,778,1,0,0.782051,0.188889,4,41.333333,1,0.9444,1
0,0,5,3,0.542857,141,1,1,0,0.34375,0,16,5,1.625,0
0,1,1,4,0.5,29,1,0,0.818182,0.666667,0,8.333333,1,0.6667,0
0,266,29,4,0.641975,602,1,0,0,0.197531,0,20.392857,16,2.25,0
0,3,4,3,2,37,0,0,0.969697,1,3,11.333333,2,1.3333,0
0,184,1,9,0.683333,719,1,2,0.6,0.22619,3,33.095238,4,1.9048,1
0,0,1,8,0.571429,179,1,0,0.823529,0.375,5,21,4,1.125,0
0,1,5,4,2,31,0,0,0.923077,0.666667,0,14.5,1,0.5,0
0,28,1,0,2,274,0,0,0,0.45,0,33.25,7,2.75,0
0,133,1,12,0.813725,1720,0.882353,0,0,0.141414,0,88.631579,11,2.5263,1
0,0,3,2,2,3,0,0,0,1,0,0,1,1,0
0,10,2,1,0.535714,108,1,0,0,0.541667,0,12,3,1.25,0
0,1,0,3,0.5,82,1,0,0.948718,0.666667,1,26,1,0.6667,0
0,36,4,7,2,104,0,0,0.888889,0.407407,8,10.555556,2,1.6667,0
0,3,19,0,2,3,0,0,0,1,0,0,1,1,0
0,0,0,11,0.694444,236,1,1,0.804348,0.45,1,22.2,2,1.4,0
0,4,0,5,0.75,71,1,0,0.902439,0.533333,0,12.6,1,0.8,0
0,2,1,0,0.866667,93,1,0,0,0.5,0,21,5,1.75,0
0,1,1,7,0.8,95,0.666667,2,0.882353,0.6,0,14.333333,3,1.3333,0
0,2518,7,35,0.94,2199,0.966667,10,0.318966,0.1375,3,25.777778,13,1.6543,1
0,0,1,1,2,4,0,0,1,1,0,3,0,0,0
0,15,4,1,2,6,0,0,0,0.444444,0,0,1,1,0
2,1,5,1,0.5,25,1,0,0.882353,0.833333,1,7,3,1.3333,0
1,3,5,2,2,52,0,0,0.96875,0.555556,1,16.333333,3,1.6667,0
0,0,0,4,0.666667,99,1,0,0.902439,0.533333,1,18.2,1,0.8,0
0,10,0,2,0.714286,282,1,0,0.840909,0.325,1,33.75,4,1.25,0
0,0,1,3,0.666667,60,1,1,0,0.75,0,13.25,1,0.75,0
0,0,1,3,0,87,1,0,0.928571,0.75,4,20.5,1,0.5,0
1,437,27,6,0.752525,1171,1,2,0,0.257576,0,32.911765,23,2.5,0
0,0,1,0,0.75,106,0.333333,0,0.921569,0.466667,0,19.6,2,1,1
0,0,4,9,0.458333,199,1,2,0.853659,0.392857,3,26.857143,5,2.5714,0
0,0,5,1,0,69,1,0,0,0.533333,0,12.6,3,1.2,0
0,65,0,8,0.910256,404,1,1,0.74,0.595238,2,27,2,1,0
0,0,0,3,0.75,104,0.5,0,0,0.666667,0,33,1,0.6667,0
0,3,4,2,2,52,0,0,0.96875,0.555556,1,16.333333,3,1.6667,0
0,12,3,12,0.857143,310,0.142857,1,0,0.259259,0,32.666667,1,0.8889,0
2,46,7,2,0.666667,111,1,0,0,0.615385,0,7.230769,1,0.7692,1
0,39,1,10,0.714286,683,1,0,0.847826,0.277778,0,43.733333,1,0.9333,0
0,125,16,5,0.809524,382,1,1,0,0.309091,0,16.045455,8,1.7273,0
0,0,4,18,0,135,1,0,0.666667,0.125,1,7.375,1,0.9375,0
0,6,3,1,2,16,0,0,0,0.875,0,3,1,0.75,0
0,1,4,7,0.84,391,0.5,0,0.791667,0.215909,4,33.636364,8,2.7273,0
0,11,1,9,0.75,329,1,3,0,0.2125,0,31.1,6,1.5,1
0,0,1,0,0,45,1,0,0.642857,0.444444,1,6.333333,1,0.8333,0
52,179,114,7,0.818182,255,1,4,0.290323,0.246377,3,9.73913,4,1.1739,0
0,1,1,8,2,248,0,0,0.958333,1,1,123,1,0.5,0
0,0,0,5,0.866667,237,1,0,0.880952,0.444444,0,38,1,0.8333,0
0,6,1,9,1,195,0,0,0.884615,0.5,0,47.5,10,3,0
0,0,0,1,1.242424,274,1,0,0.888889,0.5,3,79.333333,12,5.6667,0
0,1,0,1,2,20,0,0,0.875,0.75,1,9,1,0.5,0
0,0,4,5,0.708333,215,0.5,0,0.863636,0.342857,4,29.142857,9,2.8571,0
3,86,4,12,0.8,375,1,2,0,0.226667,0,22.25,14,2.0625,0
0,3,20,0,0.666667,43,1,0,0,0.714286,0,4.714286,1,0.8571,0
0,218,16,21,0.914783,1203,0.36,0,0,0.322981,0,48.083333,17,1.9167,0
0,3,1,7,1,151,0,0,0.92,0.5,0,48.333333,1,0.6667,0
2,3,26,4,2,27,0,0,0.988636,0.666667,4,8,2,0.6667,0
0,0,2,1,0,32,1,0,0.75,0.555556,0,9.333333,1,0.6667,0
0,0,1,3,0,33,1,0,0.818182,0.666667,0,9.666667,1,0.6667,0
0,0,4,2,0.333333,83,1,0,0.953846,0.4375,1,19.5,5,2,0
0,14,1,3,0.571429,163,1,1,0.416667,0.3,1,18.875,2,1,0
0,6,1,5,2,71,0,0,0.625,0.5,0,16.75,1,0.75,0
0,0,6,0,0,89,1,0,0,0.428571,1,11.571429,4,1,0
0,21,8,1,2,7,0,0,0,1,0,0,1,1,0
2,18,2,3,0.714286,145,1,0,0.840909,0.4375,1,16.875,1,0.875,0
0,17,5,9,0.7,286,1,2,0.75,0.287879,1,24.545455,3,1.9091,0
5,0,5,4,0.333333,18,1,1,0.921053,0.4375,0,3.25,1,0.75,0
0,3,1,1,0.6,54,1,0,0,0.666667,0,7.666667,1,0.8333,0
0,1,0,5,2,66,0,0,0.980392,1,2,32,4,2,0
0,3,3,0,2,90,0,0,0,0.333333,1,29,8,5,0
0,3,0,0,2,20,0,0,0,0.5,0,5.666667,2,1,0
0,330,2,2,0.781057,2014,0.787234,1,0.225,0.20625,1,60.46875,26,4.0938,0
0,396,25,6,0.928571,1348,0.8,0,0,0.278571,0,45.310345,29,2.6207,1
0,964,7,20,0.946302,816,0.952381,4,0.624,0.154167,3,15.5625,7,1.375,0
0,0,0,1,0,67,1,1,0.714286,0.666667,1,20.333333,1,0.6667,0
1,664,2,15,0.918193,855,0.952381,2,0.486842,0.194444,0,19.85,8,1.6,1
0,0,1,0,2,6,0,0,1,1,0,5,0,0,0
0,3,1,6,2,88,0,0,0,0.444444,0,28.333333,1,0.6667,0
0,4,2,0,0.5,39,1,0,0,0.7,0,6.2,1,0.6,0
0,39,0,12,0.93254,614,1,1,0,0.342857,0,38.733333,10,2.7333,1
0,1,0,3,2,28,0,0,0.967742,0.75,0,13,2,1,0
0,8,69,0,0.3125,69,0.75,1,0,0.583333,0,12,3,0.6,0
0,1,1,5,2,44,0,0,0.958333,1,0,21,1,0.5,0
0,6,1,1,2,20,0,0,0,0.875,0,4,1,0.75,0
0,0,0,1,2,4,0,0,1,1,0,3,0,0,0
1,0,2,1,0.5,137,1,0,0,0.9,0,25.2,4,1.8,0
0,0,3,1,0.333333,24,1,0,0,0.875,0,4.75,1,0.75,0
0,218,12,20,0.776812,708,0.933333,6,0,0.13834,0,27.875,7,1.75,1
2,560,26,26,0.796429,698,1,1,0.434783,0.076352,3,15.853659,5,1.6585,0
1,87,2,4,0.946429,190,1,3,0,0.223214,0,10.866667,4,1.0667,0
0,19,1,13,0.75,317,1,1,0.787234,0.327273,1,27.272727,21,3,0
0,31,14,2,0.892308,361,0.615385,1,0,0.3,0,30.636364,5,2.1818,0
0,0,1,2,0,130,1,0,0.928571,0.75,4,31,1,0.5,0
0,0,1,0,0.5,108,1,0,0,0.533333,0,20.2,3,1.4,0
0,0,0,7,0.666667,261,1,0,0.860465,0.342857,2,35.571429,1,0.8571,0
0,0,1,0,0,20,1,0,0.928571,0.75,0,8.5,1,0.5,1
0,10,0,11,2,587,0,0,0.952381,0.6,6,116.4,18,5.8,0
0,7,1,0,0.333333,98,0,0,0,0.714286,0,12.571429,7,1.4286,0
0,1,0,5,0.5,89,1,0,0,0.5,0,28.333333,1,0.3333,0
0,1,0,5,0.7,75,1,0,0.880952,0.555556,0,10.833333,1,0.8333,0
5,3,12,3,0.4,39,1,0,0.857143,0.5,0,5.333333,3,1.3333,0
1,3,5,2,2,52,0,0,0.96875,0.555556,1,16.333333,3,1.6667,0
0,74,0,8,0.886364,669,0.727273,2,0.649123,0.232143,1,30.333333,3,1.0476,1
0,14,3,1,0.65625,88,1,0,0,0.518519,0,8.333333,1,0.8889,0
1,225,1,8,0.872727,539,1,2,0.606557,0.24,0,19.307692,7,1.1923,0
0,0,0,5,0.333333,95,1,0,0.914286,0.75,0,22.25,1,0.75,0
0,38,2,0,0.631818,617,0.818182,0,0,0.293651,0,27.857143,3,0.8571,0
0,0,2,0,2,2064,0,0,0,0,0,2052,0,0,0
13,19,18,4,0.666667,146,1,1,0.5,0.266667,0,13.3,3,1.2,0
1,16,1,10,0.75,457,1,0,0.822222,0.271605,2,49.222222,5,1.3333,1
0,1,3,2,2,2,0,0,0,0.75,0,0,1,1,0
0,1,1,1,2,2,0,0,0,1,0,0,1,1,0
0,53,3,0,0.9,725,1,1,0,0.26,0,64.818182,47,8.4545,0
0,0,0,5,0,186,1,2,0,0.6,0,90.5,10,5,0
0,181,2,3,0.806818,462,0.875,0,0.547619,0.140909,0,18.73913,5,1.4783,0
0,0,4,5,0.428571,181,1,0,0.833333,0.3125,1,21.375,5,2,0
0,365,2,10,0.896552,717,1,3,0.578125,0.204167,0,22.566667,7,1.4667,0
0,91,5,0,2,14,0,0,0,0.271429,0,0,1,1,0
0,129,2,9,0.849817,837,1,3,0.787879,0.309091,2,36.454545,5,1.2273,1
0,18,1,0,0.666667,464,1,0,0,0.346939,0,56.625,11,3.875,0
1,6,2,3,2,62,0,0,0,0.5,0,14.5,1,0.75,0
0,0,0,8,0.533333,88,1,0,0.880952,0.833333,0,13.166667,1,0.8333,1
0,68,12,2,0.697917,308,1,0,0,0.708333,0,22.076923,36,3.4615,0
0,1,1,3,2,23,0,0,0.969697,1,0,10.5,1,0.5,0
0,3,1,6,1,93,0,0,0.866667,0.5,0,29.666667,1,0.6667,0
1,6,5,0,0.75,32,1,0,0,0.7,0,5,1,0.8,0
0,0,3,1,0.555556,111,1,0,0,0.47619,0,14.428571,4,1.4286,0
0,1,0,1,2,10,0,0,0.985507,0.75,1,4,1,0.5,0
0,58,1,13,0.786667,480,1,2,0.711538,0.25,2,28.375,4,1.4375,0
0,3,0,9,0.722222,145,1,1,0.804348,0.4,4,13.1,2,1.3,0
2,1,8,1,0.583333,92,1,1,0.454545,0.464286,1,11.571429,1,0.8571,0
0,1,1,8,2,132,0,0,0.958333,1,1,65,1,0.5,0
0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,147,1,0,0,0.342857,1,19.857143,4,1,0
0,6,3,4,2,4,0,0,0,0.625,0,0,1,1,0
0,0,13,0,2,1,0,0,0,1,0,0,1,1,0
0,0,1,3,0.333333,70,1,0,0.75,0.5,0,16,1,0.75,0
