@relation mydataframe
@attribute AvgEssential numeric
@attribute AvgLine numeric
@attribute AvgLineBlank numeric
@attribute AvgLineCode numeric
@attribute AvgLineComment numeric
@attribute CountLineCodeDecl numeric
@attribute CountLineComment numeric
@attribute CountSemicolon numeric
@attribute MaxCyclomaticModified numeric
@attribute RatioCommentToCode numeric
@attribute SumCyclomaticStrict numeric
@attribute bug {'1','0'}
@data
2,42,3,32,7,170,287,295,26,0.41,148,'1'
5,65,10,43,13,473,1080,1310,48,0.36,645,'1'
1,10,1,9,0,32,26,24,2,0.41,7,'0'
5,65,11,48,7,119,127,292,44,0.22,110,'1'
2,30,4,21,5,47,51,65,16,0.34,38,'0'
2,24,2,17,3,217,198,317,11,0.31,92,'1'
1,17,2,14,1,50,36,52,10,0.27,27,'0'
1,13,2,11,1,31,23,26,4,0.38,8,'0'
1,16,3,11,2,51,38,50,5,0.37,14,'1'
1,20,1,12,6,105,773,340,12,2.01,53,'0'
2,34,2,26,6,70,229,129,15,0.8,52,'1'
3,40,4,30,4,141,92,281,20,0.15,123,'1'
2,27,3,15,3,55,107,86,9,0.61,27,'1'
2,19,2,16,1,124,146,196,19,0.36,83,'1'
4,37,5,28,8,102,223,257,56,0.37,182,'0'
6,73,6,59,6,446,413,1365,57,0.15,647,'1'
2,36,2,32,0,95,59,185,30,0.15,73,'1'
6,97,10,70,19,203,380,589,62,0.32,262,'1'
1,19,2,15,1,269,290,494,14,0.29,205,'1'
1,17,3,14,0,69,39,111,6,0.2,36,'0'
1,11,2,8,0,44,51,42,2,0.56,12,'1'
2,30,2,22,5,213,235,389,20,0.28,152,'1'
3,45,4,39,3,191,126,314,36,0.16,179,'1'
4,50,5,34,7,428,580,679,36,0.4,340,'0'
4,57,7,35,13,316,971,823,35,0.58,503,'0'
0,0,0,0,0,0,15,0,0,0,0,'0'
2,29,4,23,2,187,108,460,56,0.13,184,'0'
1,6,1,5,0,12,18,4,1,0.9,2,'0'
1,6,0,5,0,15,18,7,2,0.69,4,'0'
1,6,1,5,0,15,15,3,1,0.75,1,'0'
1,6,1,6,0,12,15,4,1,0.71,2,'0'
2,27,3,21,3,246,160,414,21,0.19,200,'1'
4,54,5,40,9,443,973,1488,54,0.32,772,'1'
3,36,2,30,4,94,168,159,24,0.45,85,'1'
4,49,8,32,10,47,145,72,13,0.97,20,'0'
3,47,6,30,12,75,176,126,28,0.63,56,'0'
1,4294967275,5,15,3,29,82,75,8,0.33,22,'1'
2,111,13,83,3,74,90,269,57,0.17,108,'1'
1,9,1,8,0,32,38,26,3,0.5,12,'1'
2,52,5,28,17,49,176,92,7,1.26,14,'0'
4,49,4,26,12,49,121,73,15,0.79,40,'1'
3,29,4,22,4,85,108,118,13,0.38,52,'1'
9,71,11,56,4,36,82,80,17,0.44,53,'0'
3,48,3,42,5,70,88,160,25,0.27,61,'1'
0,0,0,0,0,0,16,0,0,0,0,'0'
0,0,0,0,0,21,19,7,0,0.9,0,'0'
0,0,0,0,0,72,19,24,0,0.26,0,'0'
2,33,4,24,3,72,73,134,9,0.24,59,'1'
2,37,4,28,4,146,212,453,20,0.26,173,'0'
0,0,0,0,0,0,16,0,0,0,0,'1'
2,28,4,22,2,99,84,245,21,0.24,66,'0'
3,43,8,34,2,72,43,202,31,0.13,62,'0'
1,47,6,36,4,27,28,67,7,0.25,20,'0'
1,10,0,9,0,21,21,45,4,0.25,14,'0'
1,9,0,9,0,6,21,1,1,2.33,1,'0'
1,9,0,9,0,6,19,1,1,2.11,1,'0'
27,232,36,139,41,267,1203,1453,223,0.45,953,'0'
4,81,16,55,23,8,28,25,7,0.51,7,'0'
4,31,4,26,1,86,59,185,30,0.19,85,'0'
3,26,3,21,2,85,129,60,13,0.78,33,'0'
18,161,22,129,10,122,116,564,160,0.13,346,'0'
2,39,4,30,3,273,291,744,23,0.21,230,'1'
6,38,6,30,2,35,30,87,15,0.23,44,'0'
1,13,1,11,1,16,21,33,4,0.31,17,'1'
1,14,1,12,1,16,22,35,4,0.32,17,'1'
2,47,5,31,8,128,263,388,27,0.36,139,'1'
3,49,7,31,10,133,353,230,20,0.6,113,'0'
3,42,6,29,7,173,329,497,29,0.35,201,'1'
2,24,5,19,0,13,16,22,4,0.28,9,'0'
1,5,0,5,0,3,15,2,1,1.67,2,'0'
7,77,9,48,19,37,120,97,26,0.58,35,'0'
9,128,14,82,29,139,483,557,125,0.41,316,'1'
5,96,9,65,23,205,454,521,45,0.38,247,'1'
3,38,4,26,5,125,211,362,16,0.31,186,'1'
3,47,7,31,9,344,429,531,26,0.34,235,'0'
5,89,10,55,22,160,541,454,57,0.51,251,'1'
5,57,6,39,12,21,80,57,10,0.67,24,'0'
1,200,12,173,9,24,42,89,26,0.24,30,'1'
1,19,1,12,0,51,56,112,10,0.24,49,'1'
3,45,5,35,7,126,259,1606,19,0.28,178,'1'
2,23,3,18,0,221,75,422,18,0.08,197,'1'
1,9,1,8,0,38,124,17,3,2,7,'0'
1,33,5,23,5,159,213,334,11,0.28,152,'1'
3,49,6,34,9,221,422,537,25,0.39,232,'1'
3,85,12,50,20,235,508,437,59,0.49,230,'1'
1,14,2,11,2,23,41,14,3,0.85,7,'1'
3,20,2,18,0,12,29,29,5,0.41,15,'1'
3,88,8,56,22,77,230,255,34,0.51,75,'1'
4,45,4,32,5,26,47,67,9,0.47,19,'0'
1,32,2,28,1,110,73,296,53,0.14,180,'1'
1,10,1,9,0,8,33,22,3,0.87,8,'0'
6,42,1,41,0,52,33,118,8,0.16,42,'0'
16,221,28,96,21,116,139,210,35,0.37,69,'0'
4,54,6,35,7,226,311,409,22,0.36,142,'0'
1,16,1,14,1,18,44,44,7,0.46,32,'1'
4,61,5,47,8,57,79,201,15,0.24,47,'1'
1,36,3,29,5,214,392,476,15,0.48,105,'1'
1,28,3,22,3,64,62,144,7,0.25,36,'0'
2,18,1,16,1,61,59,136,7,0.23,62,'0'
3,24,2,17,1,66,109,180,11,0.33,78,'1'
4,36,3,29,5,193,1284,567,30,1.21,295,'1'
2,20,2,16,2,54,43,38,7,0.34,22,'0'
11,100,20,71,11,15,114,134,25,0.54,78,'0'
1,118,10,58,37,80,187,130,29,0.66,60,'1'
3,53,4,48,1,8,33,32,7,0.69,7,'0'
1,9,1,8,0,12,30,17,4,0.88,7,'0'
1,65,7,56,2,15,55,59,22,0.49,30,'0'
1,8,1,7,0,13,30,16,3,0.94,6,'0'
1,17,1,16,0,4,23,11,2,1.44,3,'0'
2,42,3,29,7,311,467,713,27,0.33,248,'1'
1,50,8,39,4,13,62,56,12,0.79,14,'0'
2,43,3,18,4,50,67,85,9,0.3,39,'1'
2,27,2,22,2,225,339,768,26,0.23,501,'1'
4,55,7,34,14,190,586,449,36,0.52,256,'1'
4,25,0,22,3,2,18,10,5,0.82,5,'0'
0,0,0,0,0,0,16,0,0,0,0,'0'
1,4,0,4,0,20,25,16,1,0.57,8,'0'
0,0,0,0,0,0,16,0,0,0,0,'0'
2,20,1,17,1,120,72,191,14,0.16,104,'1'
3,57,7,34,8,217,310,454,30,0.33,200,'1'
0,0,0,0,0,0,23,0,0,0,0,'1'
0,0,0,0,0,0,23,0,0,0,0,'1'
4,56,7,36,13,81,245,182,12,0.57,87,'0'
1,18,2,15,1,20,83,45,2,1.38,7,'0'
1,12,1,9,1,31,21,17,1,0.37,6,'0'
1,9,0,9,0,6,15,1,1,1.67,1,'0'
2,45,4,30,6,81,121,214,23,0.28,109,'1'
1,39,1,26,11,27,81,95,6,0.59,11,'0'
2,19,1,12,0,17,25,28,4,0.39,15,'0'
10,98,20,72,6,12,22,42,10,0.31,11,'1'
3,35,3,26,7,119,280,309,18,0.46,148,'1'
0,0,0,0,0,0,16,0,0,0,0,'0'
8,100,7,83,3,49,44,144,33,0.16,62,'0'
2,42,3,29,8,289,474,666,29,0.36,229,'1'
1,34,3,28,3,77,129,252,19,0.36,74,'0'
