@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
1,0,5,4,6,1,4,4,0,0,0.583333,0,1,'0'
2,0,7,22,46,3,10,127,0.5,0,0.4,1,1,'1'
2,3,6,11,6,5,4,61,0,0,0.6875,0,1.25,'1'
2,0,6,61,312,5,42,933,0.944444,8,0.327273,1,0.9545,'1'
1,2,5,13,0,3,4,107,1,2,0.458333,0,1.1667,'0'
2,0,5,22,54,3,10,117,0.5,0,0.5,1,0.8333,'1'
2,0,6,38,21,5,18,284,0.833333,2,0.225564,1,0.9474,'1'
2,0,5,25,43,3,9,182,0,0,0.418182,1,1.0909,'1'
1,132,155,23,105,0,12,84,0,0,0.483333,0,0.8,'1'
2,0,4,27,46,3,11,201,0.333333,0,0.333333,1,1.0769,'1'
1,0,2,24,53,2,6,241,1,0,0.157143,0,1.6364,'0'
2,0,5,22,46,3,10,128,0.5,0,0.4,1,1,'1'
1,2,15,13,42,0,12,62,0,0,0.708333,0,0.8333,'0'
1,0,6,44,0,1,20,153,0.133333,1,0.253968,0,0.9524,'1'
1,0,6,4,6,0,4,4,0,0,1,0,1,'0'
1,0,5,25,7,3,4,230,1,0,0.55,0,2,'1'
3,0,4,2,0,1,1,13,0,0,1,0,0,'0'
1,0,2,18,0,1,4,129,1,1,0.4375,1,2.5,'0'
2,0,5,24,46,4,10,141,0.5,0,0.5,1,0.8333,'1'
2,0,4,13,36,2,9,62,0,0,0.333333,0,0.7778,'1'
2,0,10,23,6,7,12,154,0,0,0.316667,1,1,'1'
2,0,3,20,0,3,4,138,1,0,0.5,1,4.8,'0'
2,0,7,33,43,6,15,258,0.666667,0,0.333333,1,1,'0'
1,0,1,27,15,0,5,264,0,0,0.291667,0,0.8333,'0'
1,0,7,30,0,3,4,212,0,1,0.47619,0,2.1429,'0'
3,0,2,8,10,1,4,26,0,0,0.5,1,0.4,'1'
1,0,2,30,88,1,14,250,0,1,0.21875,0,1.125,'0'
3,0,0,181,0,0,85,2890,0.5,0,0.075456,2,0.9882,'1'
1,2,12,12,3,1,10,69,1,0,0.34,0,1,'0'
2,0,5,28,111,3,16,231,0.8,0,0.458333,1,0.8889,'1'
1,0,3,17,78,1,16,172,1,0,0.291667,0,1.625,'0'
2,0,7,26,57,4,12,195,0.666667,0,0.482143,1,0.8571,'1'
2,0,11,41,258,4,23,389,0.8,0,0.257143,1,1.76,'1'
1,1,10,26,4,7,2,193,1,0,0.416667,0,2,'1'
2,0,7,41,4,6,8,302,0.5,0,0.35,1,1.3333,'1'
1,0,3,4,0,3,2,14,0,1,0.666667,0,0.5,'0'
2,0,4,16,55,3,11,96,0.333333,0,0.272727,0,0.8182,'1'
1,4,20,28,15,19,3,191,0,0,0.333333,0,2.3333,'1'
2,0,8,34,87,5,12,230,0.8,0,0.516667,1,1,'1'
2,0,8,41,66,4,15,319,0.4,0,0.313725,1,1.2353,'1'
2,0,2,8,21,2,7,32,0.5,0,0.428571,1,0.7143,'1'
2,2,7,44,106,4,15,483,0.5,0,0.485294,1,1.5294,'1'
2,0,5,19,5,3,8,223,1,0,0.228571,1,1.2,'0'
1,0,10,20,1,9,2,175,0,0,0.625,0,6,'0'
2,0,5,22,46,3,10,128,0,0,0.4,1,1,'1'
1,0,2,0,0,0,0,10,0,0,0,0,0,'0'
3,0,4,17,0,2,6,120,0.333333,0,0.52381,1,0.7143,'1'
1,0,11,43,28,11,6,416,1,0,0.333333,0,3.2222,'1'
1,0,4,22,0,3,5,88,1,2,0.428571,0,1,'1'
2,0,6,14,9,2,5,48,1,1,0.342857,0,0.7143,'0'
1,0,3,78,0,1,38,234,0,1,0.302564,0,1.0256,'0'
1,0,8,36,1,6,2,137,0,0,0.5,0,1,'0'
2,0,6,18,54,2,8,222,1,1,0.3125,1,1.3333,'0'
2,0,5,55,281,5,31,567,0.545455,0,0.230415,1,1.0645,'0'
1,0,1,0,0,0,0,5,0,0,0,0,0,'0'
2,0,5,22,66,3,11,140,0.666667,0,0.4,1,0.8462,'1'
2,0,8,26,69,4,12,188,0.666667,0,0.321429,1,1.1429,'1'
2,0,9,32,74,4,13,224,0.75,0,0.294118,1,1.1176,'1'
1,0,4,22,0,3,0,163,1,0,0.5,0,2.3333,'0'
1,0,5,21,9,3,11,92,1,0,0.454545,0,0.6364,'0'
2,0,5,32,114,4,18,357,0.833333,0,0.45,1,0.9,'1'
2,0,6,42,0,5,22,423,0.636364,5,0.291667,1,0.9167,'1'
2,0,8,35,169,3,20,316,0.352941,0,0.443182,1,0.9091,'1'
1,0,2,6,0,1,5,43,1,2,0.4,0,0.8,'0'
1,0,4,17,0,3,7,234,1,1,0.511111,0,1.1111,'1'
3,0,2,9,10,1,5,28,0,0,0.55,1,0.2,'1'
1,4,5,6,6,1,1,15,0,0,0.666667,0,0.75,'0'
3,0,10,50,155,5,28,622,0.238095,4,0.34,1,0.9333,'1'
1,0,9,1,0,0,1,1,0,0,1,0,1,'0'
2,0,6,18,45,3,8,79,0,0,0.525,1,0.8,'1'
2,0,6,57,196,5,34,744,0.565217,6,0.277778,1,0.9444,'1'
2,0,6,25,77,3,11,212,0.8,0,0.517857,1,1,'1'
1,0,15,37,66,0,10,494,1,0,0.27381,0,2.5833,'1'
2,0,5,22,54,3,10,120,0.2,0,0.5,1,0.8333,'1'
2,0,4,17,36,3,7,72,0,0,0.555556,1,0.7778,'1'
2,0,10,27,6,5,9,180,0.333333,0,0.355556,1,1.1111,'0'
2,0,7,37,219,5,21,345,0.857143,0,0.347826,1,1.5652,'1'
2,0,8,26,69,4,12,187,0.666667,0,0.321429,1,1.1429,'1'
2,0,7,53,100,6,28,556,0.888889,3,0.221675,1,1.0345,'1'
1,0,1,4,6,0,4,4,0,0,0.5,0,1,'1'
1,0,0,0,0,0,0,7,0,0,0,0,0,'0'
2,0,10,48,38,8,17,419,0.666667,1,0.27451,1,1.1765,'0'
2,0,4,13,36,2,9,58,0,0,0.333333,0,0.7778,'1'
1,0,10,20,0,0,9,294,1,0,0.311111,1,1.8889,'0'
1,0,7,22,3,6,6,111,1,2,0.333333,0,0.8333,'0'
2,0,3,47,175,2,20,475,0,0,0.30303,1,2.0909,'1'
2,0,6,39,106,4,25,487,0.909091,7,0.18,0,1.32,'1'
1,3,11,42,325,1,22,693,0,0,0.544872,0,1.9615,'0'
1,0,2,12,8,2,7,129,0.083333,0,0.642857,0,0.625,'1'
3,0,4,6,0,1,5,37,0,0,0.466667,0,0.8,'0'
2,0,17,48,6,17,2,439,0.666667,2,0.55,1,1.4,'1'
1,48,50,56,15,46,6,923,1,0,0.666667,0,0.8333,'1'
2,0,9,51,228,3,20,419,0.833333,0,0.251429,2,1.64,'1'
1,0,3,5,3,0,2,43,0,0,0.5,0,0.6667,'0'
2,0,4,18,39,3,9,78,0.333333,0,0.283333,1,0.7,'1'
1,0,7,10,0,2,3,78,1,0,0.666667,0,0.6667,'1'
1,0,5,21,9,3,11,92,1,0,0.454545,0,0.6364,'0'
2,0,12,33,32,5,11,320,0.125,0,0.35,1,1.9167,'1'
1,0,0,0,0,0,0,4,0,0,0,0,0,'0'
2,0,5,22,46,3,10,127,0.5,0,0.4,1,1,'1'
1,0,3,8,1,3,2,27,0,0,0.5,0,0.5,'0'
2,0,5,11,4,4,2,108,1,1,0.4,1,1.25,'0'
2,0,4,13,36,2,9,64,0,0,0.333333,0,0.7778,'1'
1,0,5,46,123,4,4,668,1,1,0.267081,0,2.3043,'1'
3,3,4,7,4,0,5,29,1,0,0.6,0,0.2,'1'
4,2,5,7,4,0,5,29,1,0,0.6,0,0.2,'1'
2,0,7,40,142,4,18,342,0.833333,0,0.3,1,1.5,'1'
2,0,6,23,46,4,10,122,0.5,0,0.4,1,0.8333,'1'
1,0,4,4,3,3,3,7,0,0,0.833333,0,0.6667,'0'
2,0,6,39,49,4,13,369,0.5,0,0.516667,1,1.2667,'1'
2,0,4,25,87,2,13,143,0.75,0,0.483333,1,0.8,'1'
2,0,5,21,43,3,9,117,0.5,0,0.418182,1,1,'1'
2,0,5,31,138,3,18,306,0.857143,0,0.36,1,0.9,'1'
2,0,12,36,11,12,2,173,1,2,0.541667,1,1.1667,'0'
1,0,8,15,4,2,2,55,1,0,0.333333,0,0.75,'0'
1,0,8,45,36,8,5,3581,0,0,0.296296,0,1.3333,'0'
2,0,9,117,3214,4,93,1478,0.483146,34,0.313684,1,0.9896,'1'
2,0,4,13,36,2,9,60,0.333333,0,0.333333,0,0.7778,'1'
2,0,4,13,36,2,9,62,0,0,0.333333,0,0.7778,'1'
2,0,6,37,88,5,18,348,0.833333,1,0.36,1,0.9,'1'
5,0,2,8,6,1,4,20,0,0,0.666667,0,0,'1'
2,0,8,16,10,4,5,50,0,0,0.5,0,0.8,'0'
2,1,10,4,0,2,2,22,0,0,0.5,0,0.6667,'1'
2,0,6,33,65,4,12,229,0.666667,0,0.4,1,1.0714,'1'
1,3,14,19,84,3,16,152,0,2,0.317647,0,1.1176,'0'
1,0,63,35,60,0,8,618,0.666667,0,0.212963,0,1.8462,'0'
2,0,4,14,45,2,10,59,0.333333,0,0.32,0,0.8,'1'
2,0,5,17,25,3,8,126,0.5,0,0.568182,1,1.2727,'1'
1,0,15,56,9,11,5,743,1,0,0.166667,0,2,'1'
3,0,9,14,41,4,11,66,0,1,0.327273,0,0.9091,'0'
2,0,8,34,41,7,12,225,0,0,0.285714,1,2,'1'
2,0,8,32,52,4,11,1216,0.4,0,0.415385,1,1.3846,'1'
2,0,7,30,54,3,14,388,0,0,0.3625,1,1.5625,'0'
2,1,2,2,0,1,1,4,0,0,1,0,0,'0'
2,0,5,27,57,4,12,195,0.666667,0,0.482143,1,0.8571,'1'
5,0,1,8,6,1,4,20,0,0,0.666667,0,0,'1'
3,0,8,10,3,2,1,27,0,0,0.666667,1,0.3333,'0'
2,0,3,67,22,2,22,961,0,0,0.244444,1,3.6,'1'
2,0,5,12,10,4,5,32,0,0,0.5,0,0.8,'0'
1,0,3,16,1,2,2,231,0,0,0.5,0,8.5,'0'
1,0,3,21,0,1,4,149,1,1,0.7,0,1.2,'0'
2,0,6,41,38,5,22,429,0.875,4,0.35,1,0.9167,'1'
2,0,6,21,49,3,9,106,0.5,0,0.522727,1,0.8182,'1'
1,0,3,1,0,0,1,1,0,0,1,0,1,'0'
2,0,6,46,117,5,24,505,0.363636,3,0.346154,1,0.9231,'1'
2,0,5,24,46,4,10,144,0.2,0,0.5,1,0.8333,'1'
2,0,9,50,244,6,22,402,0.444444,0,0.284722,1,1.4583,'1'
1,0,3,5,0,2,1,49,1,1,0.6,0,2.5,'0'
3,0,8,18,45,3,8,86,0,0,0.525,1,0.8,'1'
2,0,4,24,36,3,10,143,0.5,0,0.4,1,0.8333,'1'
2,2,6,31,102,3,11,9857,0.75,1,0.190476,0,1.1875,'1'
1,0,19,1,0,1,1,1,0,0,1,0,1,'0'
2,0,5,35,114,4,18,360,0.555556,0,0.45,1,0.9,'1'
1,0,37,95,106,28,13,461,1,2,0.144796,0,1.1176,'0'
2,0,3,24,64,2,11,143,0.6,0,0.5,1,0.7692,'1'
2,0,14,65,94,14,15,327,1,2,0.154545,1,1.15,'0'
2,0,5,7,6,1,5,46,0,0,0.7,1,1,'0'
1,0,1,30,3,1,2,315,0,0,0.333333,0,0.6667,'1'
2,0,6,23,46,4,10,122,0.5,0,0.4,1,0.8333,'1'
1,0,3,4,3,2,3,8,0,0,0.75,0,0.6667,'0'
2,0,4,13,36,2,9,59,0,0,0.333333,0,0.7778,'1'
2,0,4,18,45,3,8,87,0,0,0.525,1,0.8,'1'
1,0,20,55,0,14,14,453,1,3,0.198864,0,1.0625,'0'
1,0,13,10,45,0,10,10,0,0,0.4,0,1,'0'
2,0,5,17,36,3,7,72,0,0,0.555556,1,0.7778,'1'
2,0,5,35,114,4,18,359,0.625,0,0.45,1,0.9,'1'
1,0,2,1,0,1,1,1,0,0,1,0,1,'0'
1,0,13,1,0,0,1,1,0,0,1,0,1,'0'
2,0,10,22,0,3,8,180,1,0,0.545455,1,1,'1'
1,0,19,2,1,1,2,2,0,0,1,0,1,'0'
2,0,5,24,46,4,10,141,0.5,0,0.5,1,0.8333,'1'
3,0,4,29,171,3,19,128,0,0,0.526316,0,0.9474,'1'
1,0,4,1,0,1,1,1,0,0,1,0,1,'0'
2,0,5,31,91,4,16,303,0.8,0,0.458333,1,0.8889,'1'
2,0,6,22,46,3,10,128,0.5,0,0.4,1,1,'1'
1,0,2,4,1,0,1,39,0,0,0.5,0,1.5,'0'
2,0,14,46,25,6,11,366,0.142857,0,0.222222,1,1.8182,'0'
2,0,9,56,511,5,35,604,0.625,4,0.239382,1,1,'1'
2,0,5,24,46,4,10,141,0.5,0,0.5,1,0.8333,'1'
1,0,34,19,107,0,18,170,1,0,0.433333,0,1.2222,'0'
2,0,0,19,0,0,10,86,1,0,0.32,1,0.9,'0'
2,0,6,46,153,5,24,501,0.888889,2,0.346154,1,0.9231,'1'
2,0,5,21,49,3,9,108,0.25,0,0.522727,1,0.8182,'1'
1,0,98,300,2749,54,48,3446,1,5,0.16732,0,2.2209,'1'
1,0,2,8,15,0,6,139,0,0,0.333333,0,2,'1'
2,0,4,14,45,2,10,67,0.333333,0,0.32,0,0.8,'1'
2,0,2,24,253,1,23,49,0,0,0.669565,1,0.9565,'0'
4,0,3,8,6,1,4,20,0,0,0.666667,0,0,'0'
2,0,7,64,312,6,32,614,0.8125,0,0.265625,1,0.9688,'0'
2,0,5,21,49,3,9,109,0.2,0,0.522727,1,0.8182,'1'
2,0,5,24,69,3,12,155,0.666667,0,0.482143,1,0.8571,'1'
1,2,6,14,19,4,6,71,1,2,0.325,0,1.3,'0'
2,0,4,18,33,3,9,89,0.6,0,0.283333,1,0.7,'1'
1,0,3,8,0,0,3,32,0,0,0.666667,0,0.6667,'0'
2,0,12,80,470,6,32,866,0.833333,0,0.219595,1,1.8919,'1'
1,0,4,15,21,3,11,90,1,0,0.454545,0,0.6364,'0'
3,0,3,153,3060,3,72,838,1,2,0.07963,2,1.1375,'0'
3,0,1,15,15,0,6,287,0.054054,2,0.3,1,1.1667,'1'
2,0,4,24,46,4,10,141,0.5,0,0.5,1,0.8333,'1'
1,0,3,5,0,1,2,42,0,0,0.833333,0,0.5,'1'
1,0,6,4,6,2,4,4,0,0,0.666667,0,1,'0'
2,0,5,34,141,4,20,423,0.315789,0,0.443182,1,0.9091,'1'
1,0,5,10,1,4,0,82,0,0,0.5,0,0.5,'0'
2,0,3,12,22,3,7,102,0.8,0,0.35,1,0.625,'1'
2,0,7,9,14,2,6,73,0,0,0.325,0,1,'0'
1,0,33,141,651,30,7,1861,0.705882,1,0.174004,0,3.1667,'1'
2,0,6,35,1,5,16,276,0.8,3,0.366667,1,0.8889,'1'
1,0,8,19,0,1,8,333,0.5,0,0.46875,0,2.125,'1'
1,0,7,1,0,1,1,1,0,0,1,0,1,'0'
2,0,6,41,82,5,22,438,0.875,3,0.35,1,0.9167,'1'
1,0,6,16,4,6,4,82,0,0,0.416667,0,1.25,'1'
2,0,7,29,43,5,9,154,0.5,0,0.418182,1,0.9091,'1'
2,0,5,21,43,3,9,117,0,0,0.418182,1,1,'1'
2,0,5,21,49,3,9,107,0.333333,0,0.522727,1,0.8182,'1'
2,1,6,60,255,5,36,801,0.518519,6,0.331579,1,0.9474,'1'
2,0,15,101,665,14,41,997,1,3,0.185619,2,1.5319,'0'
3,0,4,19,0,2,7,161,0.5,0,0.35,1,0.625,'1'
1,0,0,29,0,0,24,629,1,0,0.313333,1,2.6,'0'
2,0,4,14,45,2,10,52,0.5,0,0.32,0,0.8,'1'
1,0,9,8,1,7,2,24,0,0,0.5,0,0.5,'0'
2,0,6,22,46,3,10,128,0.5,0,0.4,1,1,'1'
3,0,10,65,0,7,9,644,0,1,0.369231,3,1.5385,'1'
1,0,4,29,0,0,24,629,1,0,0.36,1,2.6,'0'
2,0,5,21,43,3,9,106,0.5,0,0.522727,1,0.8182,'1'
1,0,8,9,36,4,9,9,0,0,0.314815,0,1,'0'
1,0,6,89,0,2,41,361,0.066667,1,0.304762,0,1.0952,'1'
1,0,4,1,0,1,1,1,0,0,1,0,1,'0'
2,0,5,24,56,3,11,141,0.666667,0,0.5,1,0.8462,'1'
2,0,6,23,46,4,10,122,0.5,0,0.4,1,0.8333,'1'
2,0,3,12,3,2,9,87,0.5,0,0.283333,1,0.9,'1'
1,0,2,32,20,0,8,291,1,0,0.301587,0,2.4444,'0'
2,0,5,21,49,3,9,106,0.5,0,0.522727,1,0.8182,'1'
2,0,15,49,0,8,11,269,0.333333,0,0.277778,1,1.25,'0'
2,0,5,24,46,4,10,145,0.166667,0,0.5,1,0.8333,'1'
2,0,6,50,327,4,28,505,0.833333,0,0.216667,1,2.0667,'1'
2,0,6,35,37,5,16,287,0.571429,2,0.366667,1,0.8889,'1'
1,0,17,51,3,17,6,282,1,1,0.303571,0,1.8571,'0'
2,0,4,13,36,2,9,62,0,0,0.333333,0,0.7778,'1'
1,0,2,24,4,1,2,146,1,0,0.466667,0,1.25,'0'
2,0,6,23,46,4,10,122,0.5,0,0.4,1,0.8333,'1'
2,0,13,74,94,10,20,490,0.384615,2,0.262857,2,1.52,'1'
1,0,17,45,5,17,6,247,0,2,0.375,0,2.6667,'1'
1,0,7,35,16,6,8,359,0.555556,2,0.319444,0,2,'1'
2,0,1,12,4,1,4,44,1,0,0.5,1,1.25,'0'
2,0,3,15,4,0,5,90,1,0,0.425,1,0.875,'0'
2,0,16,41,6,16,2,181,1,2,0.55,1,1.2,'0'
2,0,6,40,103,4,16,327,0,1,0.472222,1,1.1667,'1'
2,0,7,64,162,4,46,891,0.95,12,0.325,1,1,'1'
1,0,12,29,1,6,1,257,1,1,0.514286,0,0.7143,'0'
4,0,4,8,6,1,4,20,0,0,0.666667,0,0,'1'
2,0,18,87,1362,7,17,1806,1,1,0.265306,1,2.5263,'0'
2,18,21,6,10,1,5,13,0,0,0.6,0,0.8,'0'
1,0,10,19,15,8,5,171,0,0,0.666667,0,0.8333,'1'
2,0,4,17,36,3,7,72,0,0,0.555556,1,0.7778,'1'
1,0,2,35,198,1,28,388,1,0,0.383929,0,1.75,'1'
2,0,8,66,664,4,46,728,0.95,8,0.270833,1,0.9388,'1'
2,0,5,24,46,4,10,141,0.5,0,0.5,1,0.8333,'1'
2,0,5,21,43,3,9,116,0.5,0,0.418182,1,1,'1'
2,0,6,61,367,5,36,807,0.933333,4,0.276316,1,0.9474,'1'
2,0,7,39,204,5,21,418,0.7,1,0.298611,1,1.2917,'1'
2,0,10,60,187,7,34,728,0.888889,2,0.198529,2,1.4118,'1'
2,0,7,44,171,4,28,406,0.916667,9,0.283333,1,0.9032,'1'
2,0,4,13,36,2,9,62,0,0,0.333333,0,0.7778,'1'
1,0,7,17,9,3,11,85,1,0,0.522727,0,0.6364,'0'
1,0,2,21,3,2,2,112,0,0,0.333333,0,2.3333,'0'
1,0,2,24,1,1,1,121,1,0,0.5,0,2.6667,'0'
2,0,6,22,46,3,10,128,0.5,0,0.4,1,1,'1'
1,0,3,4,6,2,4,4,0,0,0.583333,0,1,'0'
1,0,5,5,0,2,3,28,1,2,0.4375,0,0.75,'0'
2,0,6,33,81,5,16,308,0.8,0,0.305556,1,0.8889,'1'
3,0,5,13,3,3,10,73,0.5,0,0.4,1,0.8,'1'
1,0,6,11,0,4,5,170,1,1,0.541667,0,2.3333,'1'
1,0,11,34,0,9,10,210,1,1,0.272727,0,1.0909,'0'
1,0,6,16,9,1,3,1460,0.003636,0,0.190476,0,1.2857,'0'
2,0,5,21,49,3,9,106,0.5,0,0.522727,1,0.8182,'1'
1,0,1,2,0,0,0,6,0,0,1,0,0,'0'
2,0,5,21,43,3,9,116,0.5,0,0.418182,1,1,'1'
2,1,6,32,0,4,9,172,0,0,0.351852,1,1.1111,'0'
1,0,4,31,3,3,9,183,0,0,0.333333,0,1.3,'1'
1,3,19,65,290,6,18,732,1,16,0.175781,0,1.1563,'0'
1,0,6,30,34,0,9,306,1,0,0.375,0,1.5833,'1'
2,0,7,28,61,3,11,245,0.5,0,0.5,1,1.0714,'1'
1,0,5,41,21,1,14,243,0,0,0.297619,0,1.5714,'1'
2,0,5,22,2,4,8,202,0.166667,1,0.333333,1,0.8889,'1'
2,0,5,23,54,3,10,117,0.333333,0,0.4,1,0.8333,'1'
2,0,6,47,28,5,11,353,1,0,0.246753,1,1.3333,'0'
2,0,7,46,105,6,20,422,0.4,2,0.253247,1,0.9091,'1'
1,0,1,5,0,0,4,33,0.25,0,0.583333,0,0.5,'0'
4,0,3,8,6,1,4,20,0,0,0.666667,0,0,'1'
2,0,5,22,54,3,10,119,0.25,0,0.5,1,0.8333,'1'
1,0,3,20,0,2,3,441,1,1,0.416667,0,2.375,'1'
2,0,7,32,72,4,15,282,0.833333,0,0.268908,1,1.2941,'1'
2,0,5,24,46,4,10,141,0.5,0,0.5,1,0.8333,'1'
2,0,5,22,46,3,10,127,0.5,0,0.4,1,1,'1'
3,0,4,28,120,3,16,104,0,0,0.53125,0,0.9375,'1'
1,0,6,6,15,1,6,6,0,0,0.583333,0,1,'0'
2,0,4,14,45,2,10,67,0.333333,0,0.32,0,0.8,'1'
3,0,6,34,19,4,13,379,1,0,0.385714,1,1.4286,'1'
1,0,7,30,48,5,9,322,1,2,0.5,0,1.4167,'1'
3,0,2,9,10,1,5,28,0,0,0.55,1,0.2,'1'
1,0,4,0,0,0,0,0,0,0,0,0,0,'0'
3,0,3,15,26,1,7,219,0.25,1,0.342857,1,1.125,'1'
2,3,11,23,0,4,8,115,1,0,0.375,1,1.25,'0'
2,0,5,41,0,5,22,411,0.875,6,0.35,1,0.9167,'1'
1,0,5,6,2,2,4,36,1,2,0.36,0,0.8,'0'
3,0,3,7,4,0,5,29,1,0,0.6,0,0.2,'0'
3,0,5,24,0,4,8,171,0.5,0,0.525,1,0.9,'1'
1,0,8,17,0,5,3,116,1,0,0.5,0,1.25,'0'
1,0,0,2,0,0,1,51,0,0,1,0,0,'1'
1,0,129,165,62,129,5,1358,0.5,0,0.239583,0,11.4167,'1'
2,0,10,54,348,4,35,661,0.928571,5,0.279279,1,1.1351,'1'
1,0,8,25,24,2,8,319,1,0,0.214286,0,1.25,'0'
2,0,5,22,54,3,10,117,0.5,0,0.5,1,0.8333,'1'
2,4,12,48,44,8,13,298,1,0,0.3875,1,1.3529,'1'
2,0,4,24,46,4,10,141,0.5,0,0.5,1,0.8333,'1'
1,0,20,104,87,16,22,1151,0.6,4,0.146154,0,2.9,'1'
2,0,5,30,107,3,16,259,0.833333,0,0.458333,1,0.8889,'1'
1,0,8,24,2,8,4,117,0,1,0.36,0,2.2,'0'
1,1,14,56,197,10,16,378,0.545455,1,0.369048,0,1.0455,'1'
1,0,7,17,0,5,7,134,1,2,0.458333,0,1.375,'0'
2,0,6,32,114,4,18,361,0.5,0,0.45,1,0.9,'1'
1,0,3,53,331,0,24,767,0,0,0.391667,0,2.6333,'1'
1,0,5,2,1,0,2,2,0,0,0.75,0,1,'0'
1,0,67,376,6636,62,95,3629,0.72973,19,0.067187,0,2.2171,'1'
1,0,7,1,0,1,1,1,0,0,1,0,1,'0'
2,0,6,23,25,3,9,183,0.5,0,0.431818,1,1.1818,'1'
1,0,4,28,0,2,7,426,1,1,0.25,0,3,'1'
1,0,186,43,595,2,32,379,0,0,0.2,0,1.2,'1'
2,0,2,8,21,2,7,26,1,0,0.428571,1,0.7143,'1'
1,0,5,2,1,0,2,2,0,0,0.75,0,1,'0'
2,0,5,21,49,3,9,106,0.333333,0,0.522727,1,0.8182,'1'
2,0,5,15,45,3,10,59,0.333333,0,0.32,0,0.8,'1'
2,0,6,31,43,5,15,229,0.666667,0,0.333333,1,0.9333,'0'
3,0,3,8,10,1,4,26,0,0,0.5,1,0.4,'1'
2,0,8,51,0,5,26,237,0.75,3,0.198413,1,1.1786,'1'
2,0,13,23,0,3,11,271,1,1,0.25641,1,0.9231,'0'
2,0,3,14,33,3,11,66,0.75,0,0.327273,1,0.8182,'1'
1,0,15,62,15,13,6,785,1,0,0.17284,0,2,'1'
2,0,8,47,195,5,27,484,0.833333,0,0.265432,1,1.037,'1'
2,0,9,36,221,4,21,350,0.75,0,0.304348,1,1.8261,'1'
2,0,12,39,1,4,12,243,0.5,0,0.4,1,1.2143,'1'
3,0,2,8,10,1,4,26,0,0,0.5,1,0.4,'1'
1,0,1,9,0,0,3,86,0,0,0.5,0,0.6667,'0'
2,0,7,29,34,5,13,179,0.5,0,0.323077,1,0.9231,'0'
2,0,5,23,66,3,11,140,0.666667,0,0.5,1,0.8462,'1'
2,0,4,13,36,2,9,62,0,0,0.333333,0,0.7778,'1'
1,16,46,56,60,35,12,415,0.25,0,0.283333,0,1.1667,'1'
1,0,7,20,9,5,7,173,1,5,0.571429,0,1,'1'
2,0,4,14,45,2,10,63,0.333333,0,0.32,0,0.8,'1'
2,0,5,21,49,3,9,107,0.333333,0,0.522727,1,0.8182,'1'
2,0,14,108,1491,10,56,1287,0.487179,0,0.203629,1,1.4194,'1'
1,0,3,4,6,0,4,4,0,0,0.75,0,1,'0'
2,0,5,35,109,4,17,265,0.857143,1,0.368421,1,0.8947,'1'
1,0,10,49,0,10,4,492,1,2,0.5625,0,2,'1'
2,0,9,17,30,7,6,55,1,1,0.407407,1,0.8889,'0'
