@relation mydataframe
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute i numeric
@attribute e numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Op numeric
@attribute bug {'1','0'}
@data
1,1,0.5,5.8,23.22,0,0,0,4,'1'
1,2,0.15,17.59,831.38,1,0,0,10,'1'
1,2,0.13,71.67,4031.36,5,14,0,10,'1'
1,2,0.11,27.14,2280.63,0,4,0,11,'1'
1,8,0.04,62.43,33247.47,0,2,3,18,'1'
3,6,0.05,31,10553.84,0,2,0,18,'1'
1,1,0,0,0,1,0,0,1,'1'
1,1,0.29,29.02,355.53,2,3,0,7,'1'
1,1,0.29,31.28,367.69,0,0,0,4,'1'
1,1,0.33,8,72,0,0,0,6,'1'
1,1,0.15,47.55,2008.94,1,2,0,9,'1'
1,1,0,0,0,0,0,0,0,'1'
1,1,0.67,5.33,12,0,0,0,3,'1'
1,2,0.07,22.33,4490.66,1,1,0,12,'1'
1,1,0.24,32.11,566.52,0,0,0,7,'1'
1,1,0.1,16.18,1504.29,0,2,0,9,'1'
1,3,0.07,35.93,8265.25,1,2,0,13,'1'
1,2,0.07,26.83,5143.96,1,1,0,12,'1'
1,5,0.06,41.29,10902.2,3,2,0,13,'1'
1,1,0.25,12.95,207.22,0,1,0,8,'1'
6,2,0.05,17.52,6863.63,0,4,0,19,'1'
1,1,0.67,5.33,12,0,0,0,3,'1'
8,5,0.04,39.75,31758.83,1,8,0,27,'1'
11,14,0.03,104.99,116258.98,5,18,0,25,'1'
1,1,0.26,27.6,409.16,0,2,0,7,'1'
3,6,0.05,43.01,18609.99,0,10,0,16,'1'
10,10,0.03,35.3,48144.92,0,5,0,22,'1'
1,1,0.2,12.19,304.72,0,2,0,8,'1'
1,1,0.67,7.74,17.41,0,0,0,3,'1'
1,1,0.1,21.1,1981.69,0,3,0,14,'1'
1,5,0.07,20.51,4615.62,0,17,0,18,'1'
1,11,0.04,36.31,26321.9,2,6,0,20,'1'
14,3,0.02,40.24,68641.45,0,11,0,21,'1'
3,3,0.04,27.78,14439.1,0,5,0,24,'1'
6,5,0.05,34.45,14002.37,0,3,0,18,'1'
1,1,0.23,24.31,444.89,0,3,0,7,'1'
1,1,0.13,28.62,1594.5,2,0,0,11,'1'
8,8,0.07,37.05,8017.24,0,1,0,13,'1'
4,4,0.1,16.8,1605.84,0,1,0,11,'1'
1,2,0.13,23.87,1425.51,0,1,0,10,'1'
3,2,0.14,29.01,1408.1,0,2,0,11,'1'
1,7,0.06,61.1,19385.15,3,9,0,19,'1'
6,9,0.02,48.29,94805.86,0,8,0,27,'1'
4,2,0.05,19.94,8794.04,0,6,0,21,'1'
1,4,0.11,48.29,3829.05,0,3,0,11,'1'
3,4,0.04,27.18,16984.95,0,5,0,25,'1'
3,4,0.04,29.12,18012.97,0,3,0,26,'1'
1,5,0.05,37.35,13013.89,0,3,0,16,'1'
1,4,0.05,19.15,8714.36,0,5,0,12,'1'
9,5,0.03,34.9,43599.82,0,8,0,29,'1'
1,3,0.14,39.4,1930.48,0,2,0,9,'1'
1,4,0.08,34.7,5231.08,0,4,0,13,'1'
11,15,0.04,64.25,40253.51,1,18,0,23,'1'
1,2,0.14,11.31,586.15,0,1,0,8,'1'
5,4,0.07,29.91,6002.83,0,3,0,15,'1'
3,2,0.07,16.01,2917.3,0,2,0,12,'1'
3,3,0.1,34.99,3462.31,0,5,0,14,'1'
5,25,0.04,107.5,80852.59,44,35,3,17,'1'
1,3,0.09,29.72,3595.9,0,1,0,14,'1'
1,11,0.06,52.58,17326.76,2,2,0,16,'1'
1,4,0.08,35.74,5473.17,2,5,0,12,'1'
7,7,0.05,55.59,22125.51,11,19,2,21,'1'
7,7,0.05,53.5,20664.58,11,20,2,21,'1'
3,4,0.07,50.35,10515.73,9,11,3,16,'1'
1,4,0.09,32.84,3694.35,3,5,0,11,'1'
1,6,0.07,63.37,12478.8,6,12,0,15,'1'
8,14,0.03,59.7,54519.67,11,28,3,21,'1'
3,3,0.06,55.37,14440.71,3,7,0,19,'1'
1,2,0.08,23.31,3356.19,1,1,0,12,'1'
1,2,0.06,20.09,5273.72,1,1,0,12,'1'
1,3,0.2,7.3,182.48,0,1,0,5,'1'
4,16,0.03,72.43,107551.84,3,24,2,26,'1'
1,1,1,4.75,4.75,0,0,0,2,'1'
1,1,0.5,5.8,23.22,0,0,0,4,'1'
4,12,0.03,53.74,59984.29,2,4,1,28,'1'
1,1,0.4,7.86,49.13,0,0,0,5,'1'
1,1,0.4,6.2,38.77,0,0,0,5,'1'
1,1,0.22,34.29,694.29,5,4,0,6,'1'
1,1,0.15,103.45,4461.99,2,11,0,9,'1'
1,1,0.67,5.33,12,0,0,0,3,'1'
1,1,0.5,22.5,90,0,0,0,4,'1'
1,1,0.27,6.74,94.75,0,1,0,5,'1'
1,2,0.14,16.45,852.58,0,1,0,8,'1'
1,1,0.33,12.18,109.62,0,1,0,6,'1'
1,1,0.15,9.32,424.63,0,0,0,9,'1'
1,9,0.02,71.91,126141.8,0,5,0,37,'1'
1,4,0.07,31.49,5682.93,1,2,0,13,'1'
11,12,0.02,50.99,95460.74,22,23,0,27,'1'
1,3,0.08,33.08,4914.15,11,7,0,13,'1'
1,1,0,0,0,0,0,0,1,'1'
1,2,0.16,43.51,1797.96,0,0,0,10,'1'
1,1,0.18,59.23,1857.56,0,0,0,8,'1'
1,1,0.26,25.48,377.68,0,0,0,7,'1'
1,5,0.07,46.48,9110.4,2,3,0,14,'1'
3,3,0.13,17.63,1049.14,0,1,0,9,'1'
3,4,0.07,34.3,6458.35,0,3,0,13,'1'
4,12,0.04,98.25,51144.16,24,22,0,17,'1'
3,8,0.07,78.07,17957.52,5,2,0,12,'1'
1,1,0.33,36.14,325.25,0,1,0,6,'1'
3,8,0.07,73.03,17214.99,4,4,0,12,'1'
1,4,0.09,68.76,8053.51,12,5,0,11,'1'
12,13,0.03,86.96,98179.22,27,18,0,28,'1'
3,3,0.12,15.15,1031.42,0,0,0,9,'1'
3,4,0.08,35.44,5989.62,0,2,0,13,'1'
1,1,0.5,9.83,39.3,0,1,0,4,'1'
1,4,0.1,40.21,4409.92,0,3,0,13,'1'
1,1,1.33,21.67,12.19,0,1,0,1,'1'
3,3,0.14,20.12,1076.02,0,3,0,9,'1'
4,4,0.06,37.93,10325.25,2,3,0,15,'1'
1,1,0.2,43.92,1098.08,0,1,0,7,'1'
5,5,0.05,26.93,9619.48,0,9,0,21,'1'
1,1,0.08,22.36,3472.18,0,2,0,12,'1'
5,7,0.06,96.33,30162.15,19,16,0,18,'1'
3,4,0.06,36.84,8820.26,0,2,0,14,'1'
3,3,0.12,15.15,1031.42,0,0,0,9,'1'
3,3,0.11,19.01,1518.63,0,1,0,11,'1'
1,1,0.5,7.75,31.02,0,2,0,4,'1'
1,1,0,0,0,0,0,0,1,'1'
1,2,0.29,30.98,379.46,0,0,0,7,'1'
1,3,0.08,42.79,6991.99,4,3,0,14,'1'
1,2,0.19,6.64,183.06,0,0,0,7,'1'
1,5,0.05,26.16,9196.23,0,2,0,15,'1'
1,3,0.06,14.98,4564.69,0,3,0,16,'1'
1,4,0.07,31.3,5974.42,1,3,1,15,'1'
1,4,0.05,33.47,14339.44,0,3,2,18,'1'
1,7,0.09,81.45,10906.35,3,9,0,15,'1'
1,1,0.41,46.36,273.43,1,0,0,4,'1'
1,1,0.4,22.2,138.77,1,0,0,5,'1'
1,5,0.08,36.26,5971.91,0,3,0,11,'1'
1,1,0.67,5.33,12,0,0,0,3,'1'
1,2,0.13,18.41,1015.79,0,1,1,8,'1'
1,1,0.33,13.29,119.59,1,0,0,6,'1'
1,1,0.4,9.6,60,0,1,0,5,'1'
5,5,0.05,40.21,16084.69,2,5,0,20,'1'
1,1,0.17,31.39,1062.75,0,2,0,8,'1'
1,2,0.14,30.33,1619.78,1,1,0,10,'1'
1,1,0.21,16.32,355.35,0,0,0,8,'1'
1,5,0.17,39.53,1423.11,0,0,0,9,'1'
3,6,0.07,26.84,4843.41,0,2,0,13,'1'
1,1,0.14,73.32,3942.93,0,3,0,9,'1'
1,3,0.12,13.44,933.33,0,3,0,10,'1'
1,3,0.12,13.44,933.33,0,3,0,10,'1'
1,3,0.12,13.44,933.33,0,3,0,10,'1'
3,6,0.09,165.42,19613.39,1,1,0,12,'1'
3,7,0.08,154.03,23269.16,1,1,0,13,'1'
5,8,0.03,51.86,49456.13,6,6,0,21,'1'
1,3,0.13,24.99,1462.35,1,3,1,9,'1'
1,14,0.03,53.32,48369.03,2,5,0,21,'1'
9,16,0.04,54.5,41638.64,0,10,1,22,'1'
8,13,0.03,70.65,58255.33,11,9,0,21,'1'
1,4,0.05,63.49,22882.74,0,2,0,15,'1'
1,1,0.33,16.73,150.57,0,1,0,6,'1'
1,5,0.1,60.03,6102.99,0,0,0,11,'1'
1,4,0.05,58.78,20116.66,0,1,0,15,'1'
8,13,0.05,35.44,14362.87,3,2,0,17,'1'
1,7,0.05,68.37,32835.61,6,16,0,20,'1'
1,1,0.2,101.02,2425.5,0,0,0,7,'1'
10,13,0.03,59.66,66290.05,0,12,0,20,'1'
6,16,0.03,101.78,90061.35,4,16,0,22,'1'
1,4,0.12,42.94,3238.55,0,0,0,11,'1'
1,11,0.05,67.96,25571.05,7,7,0,17,'1'
3,4,0.09,39.13,4401.18,3,5,0,13,'1'
1,3,0.4,19.93,124.57,0,1,0,5,'1'
1,2,0.1,16.67,1584.53,0,0,0,13,'1'
1,3,0.13,14.75,944.22,0,1,0,8,'1'
1,2,0.19,25.1,691.79,1,1,0,9,'1'
18,27,0.04,143.73,77990.66,17,23,0,18,'1'
22,18,0.02,60,130658.97,6,24,0,30,'1'
1,3,0.08,29.12,4498.32,0,2,0,12,'1'
1,1,0.12,19.13,1382.33,0,1,0,9,'1'
1,1,0,0,0,0,0,0,0,'1'
3,3,0.11,24.93,1890.85,0,8,0,11,'1'
4,3,0.06,22.55,6517.36,0,1,0,17,'1'
7,11,0.04,50.98,33184,2,11,0,19,'1'
1,2,0.15,20.61,870.87,1,7,0,10,'1'
1,2,0.08,14.78,2194.79,0,1,0,13,'1'
21,18,0.02,63.84,123803.5,3,58,0,28,'1'
1,4,0.06,18.77,4738.27,0,13,0,11,'1'
1,1,0.12,21.51,1554.11,0,0,0,11,'1'
3,4,0.06,20.24,5074.74,0,3,0,19,'1'
5,4,0.07,52,10932.56,10,11,4,16,'1'
1,1,0.09,27.14,3165.56,11,4,0,9,'1'
1,2,0.29,17.08,209.28,0,0,0,7,'1'
1,1,0.4,17.75,110.95,0,0,0,5,'1'
1,1,0.33,11.2,100.81,0,0,0,4,'1'
1,3,0.07,53.73,10911.35,3,6,0,14,'1'
1,1,0.3,28.2,321.25,4,5,0,6,'1'
1,3,0.2,24.8,620,0,4,0,8,'1'
1,1,0.14,17.74,905.08,0,2,0,10,'1'
1,3,0.09,19.35,2202.02,2,2,0,12,'1'
1,3,0.1,44.93,4534.29,2,3,1,13,'1'
1,2,0.2,12.44,298.63,3,1,0,7,'1'
3,4,0.06,35.28,10524.82,0,4,0,20,'1'
1,1,0.19,25.66,693.88,18,0,0,8,'1'
1,2,0.14,64.5,3291,0,1,0,10,'1'
1,1,0.33,29.33,264,0,0,0,6,'1'
1,1,0.91,45.63,55.21,0,1,0,2,'1'
3,4,0.07,38.26,7472.51,0,2,0,13,'1'
10,14,0.04,90.59,67213.15,26,25,0,22,'1'
10,13,0.05,79.19,39004.08,24,18,0,23,'1'
6,12,0.06,71.07,22482.47,8,5,0,18,'1'
1,1,0.25,19.53,312.55,0,0,0,8,'1'
1,1,0.22,20.31,411.19,0,0,0,7,'1'
1,1,0.22,20.31,411.19,0,0,0,7,'1'
1,1,0.22,20.31,411.19,0,0,0,7,'1'
1,1,0.22,20.31,411.19,0,0,0,7,'1'
1,2,0.15,16.52,776.91,0,2,0,8,'1'
1,2,0.08,34.3,5796.41,4,5,0,13,'1'
1,5,0.08,52.11,7411.68,4,3,0,14,'1'
1,1,1,8,8,0,0,0,2,'1'
3,5,0.05,50.41,19167.59,0,5,0,18,'1'
5,8,0.06,42.97,12417.08,1,6,0,18,'1'
7,9,0.04,32.56,22222.67,2,5,1,22,'1'
1,5,0.06,73.18,17523.69,2,5,0,17,'1'
13,16,0.06,67.29,18211.24,2,3,0,12,'1'
7,45,0.02,116.45,234743.54,9,15,0,23,'1'
1,8,0.04,69.72,34646.7,7,5,0,15,'1'
5,18,0.06,68.88,16513.25,10,3,0,16,'1'
1,11,0.03,51.83,43431.19,4,13,0,22,'1'
1,2,0.16,11.53,474.89,10,2,1,7,'1'
8,10,0.04,54.22,29746.87,6,10,1,21,'1'
1,1,0.16,28.02,1102.5,0,1,0,6,'1'
1,5,0.05,33.91,13396.54,0,10,0,18,'1'
1,1,0.16,29.24,1208.47,0,1,0,10,'1'
1,1,0.16,29.24,1208.47,0,0,0,10,'1'
3,4,0.03,42.58,51502.32,0,8,0,31,'1'
1,2,0.19,32.64,879.88,2,3,0,9,'1'
1,1,0.4,6.2,38.77,0,0,0,5,'1'
8,12,0.05,140.96,65087.11,44,32,0,19,'1'
1,1,0.18,59.23,1857.56,0,0,0,8,'1'
1,1,0.18,59.23,1857.56,0,0,0,8,'1'
4,5,0.04,43.97,24784.89,8,12,1,17,'1'
1,1,0.19,33.22,945.06,0,0,0,8,'1'
3,6,0.04,85.07,61212.81,2,9,0,22,'1'
1,1,0.21,14.27,310.84,0,2,0,7,'1'
1,7,0.07,53.34,11401.84,10,12,0,16,'1'
1,1,0.32,69.59,687.42,0,2,0,6,'1'
10,18,0.04,83.5,63607.25,8,6,0,20,'1'
12,16,0.03,56.51,71598.78,35,11,0,23,'1'
1,1,0.11,27.09,2347.15,3,3,0,11,'1'
4,12,0.03,37.62,33183.4,2,7,0,22,'1'
7,9,0.02,35.46,56980.83,0,12,0,25,'1'
14,15,0.02,60.37,107760.09,1,12,0,28,'1'
1,2,0.06,51.09,13079.79,10,7,0,16,'1'
15,18,0.02,68.18,159215.89,2,11,0,31,'1'
1,1,0.17,55.71,1895.83,1,1,0,8,'1'
1,1,0.4,26.64,166.52,0,0,0,5,'1'
1,4,0.06,58.17,13919.45,16,17,0,15,'1'
8,8,0.03,41.39,38352.97,10,13,2,23,'1'
1,1,1,8,8,0,0,0,2,'1'
6,9,0.03,57.39,53155.21,1,18,0,25,'1'
3,15,0.03,60.01,58603.66,0,14,0,23,'1'
12,13,0.03,41.82,40708.58,23,13,0,26,'1'
5,5,0.05,19.69,8891.64,0,3,0,15,'1'
6,12,0.06,137.08,44415.05,2,15,0,18,'1'
16,19,0.02,64.47,156823.6,9,16,7,30,'1'
1,1,0.38,11.58,82.35,0,0,0,4,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,0.29,18.03,220.91,0,2,0,5,'0'
1,1,0.38,11.58,82.35,0,0,0,4,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,0.27,29.44,414.05,0,2,0,6,'0'
1,1,0.29,18.03,220.91,0,2,0,5,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,0.29,18.03,220.91,0,2,0,5,'0'
1,1,0,0,0,0,1,0,1,'0'
1,1,0.14,14.02,753.86,0,2,0,8,'0'
3,2,0.1,18.89,1888.7,0,2,0,12,'0'
3,2,0.1,18.89,1888.7,0,2,0,12,'0'
3,2,0.1,18.89,1888.7,0,2,0,12,'0'
1,1,0.19,27.26,737.24,0,2,0,8,'0'
5,6,0.09,36.3,4697.06,1,6,0,13,'0'
1,2,0.17,21.22,708.49,0,1,0,8,'0'
1,4,0.06,30.53,7677.16,0,1,0,12,'0'
3,4,0.09,42.34,5663.36,3,3,0,14,'0'
1,2,0.1,28.99,2898.93,0,5,0,10,'0'
1,2,0.11,16.58,1393.33,0,1,0,10,'0'
1,1,0.1,20.22,2139.43,0,4,0,9,'0'
1,1,0.21,13.88,319.72,0,2,0,8,'0'
1,2,0.15,16.2,720,0,3,0,10,'0'
1,3,0.11,27.25,2381.95,0,2,0,11,'0'
9,10,0.06,46.69,14573.21,4,2,0,16,'0'
1,4,0.06,45.08,11291.12,4,4,0,13,'0'
5,11,0.04,77.47,42021.08,9,5,0,15,'0'
1,3,0.11,25.17,2114.77,1,1,0,11,'0'
1,3,0.11,25.17,2114.77,1,1,0,11,'0'
1,3,0.11,25.17,2114.77,1,1,0,11,'0'
1,2,0.13,68.36,4095.2,1,4,0,9,'0'
1,1,0.19,28.87,780.61,0,0,0,8,'0'
1,1,0.17,42.41,1459.6,0,0,0,8,'0'
1,4,0.08,68.24,10369.98,0,2,0,13,'0'
1,1,0.18,52.46,1619.04,0,0,0,8,'0'
1,6,0.04,39.51,22758.88,6,6,0,16,'0'
1,3,0.1,17.03,1731.04,0,1,0,11,'0'
1,2,0.1,18.95,2015.11,0,2,0,11,'0'
1,2,0.11,11.92,965.81,0,1,0,9,'0'
1,2,0.09,29.77,4075.46,2,2,0,9,'0'
3,6,0.05,30.49,10434.98,0,2,0,13,'0'
1,5,0.04,27.84,15578.6,2,1,0,15,'0'
1,3,0.09,22.65,2576.83,0,1,0,12,'0'
9,9,0.06,28.74,8184.35,1,1,0,15,'0'
11,25,0.03,115.99,125808.33,11,17,0,19,'0'
1,1,0.33,14.99,134.92,0,1,0,6,'0'
1,1,0.4,15.95,99.66,0,1,0,5,'0'
1,2,0.08,22.64,3826.19,0,4,0,11,'0'
1,1,0.21,16.32,355.35,0,0,0,8,'0'
3,5,0.07,39.09,8458.55,0,2,0,13,'0'
1,1,0.25,18.08,289.36,0,2,0,7,'0'
5,11,0.05,43.7,16252.03,4,5,0,15,'0'
1,1,0.33,13.84,124.54,0,1,0,6,'0'
1,2,0.11,39.2,3363.54,0,3,0,11,'0'
1,1,0.17,17.98,601.71,1,2,0,9,'0'
1,4,0.11,42.3,3426.62,0,1,0,9,'0'
5,8,0.06,32.04,9259.3,1,4,0,15,'0'
1,1,0.1,19.44,2057.13,0,2,0,9,'0'
1,1,0.33,28,252,0,1,0,6,'0'
1,1,0.4,7.86,49.13,0,0,0,5,'0'
1,1,0.33,21.58,194.18,0,1,0,6,'0'
1,1,0.4,7.86,49.13,0,0,0,5,'0'
1,1,0.67,7.74,17.41,0,1,0,3,'0'
1,2,0.16,19.71,814.57,0,2,0,10,'0'
1,1,0,0,0,0,0,0,0,'0'
1,5,0.06,35.3,10202.14,0,2,1,14,'0'
1,1,0,0,0,0,0,0,0,'0'
1,1,2,23.22,5.8,0,0,0,1,'0'
1,1,2,23.22,5.8,0,0,0,1,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,1,18.09,18.09,0,0,0,2,'0'
1,1,0.4,14.4,90,0,1,0,4,'0'
1,1,1,18.09,18.09,0,0,0,2,'0'
1,1,0.3,20.76,230.63,0,3,0,5,'0'
1,1,2,31.02,7.75,0,0,0,1,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,1,13.93,13.93,0,0,0,2,'0'
1,1,0,0,0,0,0,0,1,'0'
1,2,0.09,70.66,9507.73,1,5,0,12,'0'
1,1,0,0,0,0,0,0,0,'0'
1,1,1,4.75,4.75,0,0,0,2,'0'
1,1,0.3,20.76,230.63,0,3,0,5,'0'
1,1,1,18.09,18.09,0,0,0,2,'0'
1,1,1,18.09,18.09,0,0,0,2,'0'
1,1,0.25,15.78,252.47,0,2,0,5,'0'
1,1,0.23,58.94,1128.06,0,0,0,7,'0'
1,1,0,0,0,0,0,0,1,'0'
1,1,0.3,20.76,230.63,0,3,0,5,'0'
1,1,0.5,16.84,67.38,0,0,0,2,'0'
1,1,0.64,26.22,64.76,0,0,0,2,'0'
1,1,0.38,22.2,157.89,0,1,0,4,'0'
3,3,0.11,24.39,2097.29,0,2,0,12,'0'
1,1,0.18,35.36,1069.68,0,2,0,10,'0'
8,9,0.05,58.5,20176.5,4,7,0,16,'0'
1,1,0.4,12.68,79.25,0,0,0,5,'0'
1,1,0.4,9.6,60,0,1,0,5,'0'
1,1,0.4,9.6,60,0,1,0,5,'0'
1,1,0.4,12.68,79.25,0,0,0,5,'0'
1,1,0.4,12.68,79.25,0,0,0,5,'0'
1,1,0.4,12.68,79.25,0,0,0,5,'0'
1,1,0.4,9.6,60,0,1,0,5,'0'
1,1,0.4,12.68,79.25,0,0,0,5,'0'
1,1,0.4,12.68,79.25,0,0,0,5,'0'
1,1,0.4,9.6,60,0,1,0,5,'0'
1,9,0.04,52.56,26954.95,5,4,0,18,'0'
1,6,0.04,27.12,16398.39,2,2,0,19,'0'
10,9,0.03,36.77,44593.23,5,7,0,18,'0'
1,6,0.05,39.07,18709.51,3,4,0,12,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
3,7,0.06,43.01,10466.11,0,1,0,13,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.21,16.32,355.35,0,0,0,8,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
1,1,0.67,5.33,12,0,0,0,3,'0'
