@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
0,44,96,286,13,22,1047,0.5,1,0.545455,0.126984,2,5,36.321429,2.5357,'0'
0,6,26,0,5,5,164,1,0,0.823529,0.375,2,5,19.125,1.125,'0'
0,6,16,0,6,4,46,1,0,0.925,0.625,1,1,10.25,0.75,'0'
0,1,8,0,1,6,43,1,1,0,0.666667,0,0,6,0.8333,'0'
0,9,26,3,8,2,147,0,0,0.92,1,1,1,48,3.6667,'0'
0,9,23,0,5,8,198,0.5,0,0.844444,0.35,1,4,23,2.25,'0'
0,4,15,0,3,4,109,1,0,0.75,0.5,0,0,25.75,0.75,'1'
0,4,20,3,4,1,124,1,0,0.960784,1,2,3,40,3,'0'
0,12,82,83,12,11,1238,1,1,0.821053,0.181818,2,2,66.055556,1.8333,'1'
0,3,3,3,1,3,3,0,0,0,0.666667,0,0,0,1,'0'
0,0,3,1,0,2,7,0,0,0.909091,0.75,1,1,2.5,0.5,'0'
0,3,17,0,1,3,196,1,0,0,0.666667,0,0,63,1,'0'
2,10,47,73,8,12,452,1,1,0.72549,0.225,1,1,28.533333,1.8,'0'
0,8,1,0,2,1,1,0,0,0,1,0,0,0,1,'0'
0,5,24,3,5,1,163,1,0,0.960784,1,2,3,53,4,'0'
1,15,66,78,7,12,476,0,0,0,0.207692,0,0,35.461538,1,'0'
0,6,21,6,4,2,91,0,0,0,0.75,0,0,21.75,1.5,'0'
0,10,60,145,9,26,401,1,4,0,0.314815,0,0,13.592593,1.5185,'0'
0,5,19,1,4,5,285,1,0,0.848485,0.47619,2,5,38.714286,1.1429,'0'
0,2,1,0,1,1,1,0,0,0,1,0,0,0,1,'0'
0,5,37,4,5,2,250,1,0,0.8,0.5,1,3,48.8,2.8,'0'
0,11,64,0,11,9,581,1,0,0.770833,0.238095,0,0,47,3.4167,'0'
0,12,15,13,4,11,97,1,3,0.2,0.220779,0,0,7.272727,0.7273,'0'
2,15,83,142,13,8,799,1,5,0.862069,0.186508,3,7,36.571429,1.5238,'0'
0,11,56,24,11,19,715,1,0,0.795918,0.285714,3,4,32.666667,2.1905,'0'
0,8,22,0,8,2,104,1,1,0.962264,0.5,2,2,33.333333,2,'0'
0,9,32,0,9,6,216,1,2,0.880952,0.333333,2,2,34.5,0.8333,'0'
0,4,42,130,4,18,376,1,1,0,0.284211,0,0,17.45,1.15,'0'
0,4,15,0,4,4,70,0.5,0,0.909091,0.583333,0,0,16,1.5,'0'
0,6,26,0,5,5,167,1,0,0.823529,0.375,2,5,19.5,1.125,'0'
11,35,84,0,24,35,302,1,1,0.513889,0.0875,2,2,7.333333,1.1944,'0'
1,18,87,217,17,20,919,1,2,0.587302,0.212963,2,2,32.333333,1.7037,'0'
0,1,6,0,0,5,30,1,0,0,0.7,0,0,4.6,0.8,'0'
0,4,4,1,4,1,11,0,0,0.987179,0.666667,0,0,4.5,0.5,'0'
0,0,7,0,0,3,19,1,0,0,0.666667,0,0,5,0.6667,'0'
0,2,20,21,2,9,130,1,0,0.804348,0.4,1,1,11.5,0.9,'0'
0,3,23,4,2,1,174,1,0,0,0.583333,0,0,42,1.25,'0'
0,5,12,3,4,1,40,0,0,0.857143,0.666667,0,0,12.333333,0.6667,'0'
1,28,11,4,2,5,54,1,0,0,0.533333,0,0,9.6,0.6,'0'
0,15,57,22,15,15,298,1,1,0.869919,0.264706,4,7,16.352941,1.2353,'0'
0,14,24,15,0,5,116,0,0,0,0.3,0,0,18.166667,1,'0'
0,4,41,14,4,8,334,1,0,0.822222,0.355556,1,1,35.444444,2,'1'
0,7,24,9,4,5,231,0.5,0,0.880952,0.266667,1,1,37.166667,0.8333,'1'
0,5,22,0,4,5,150,1,0,0.848485,0.47619,2,5,20,1.1429,'0'
0,7,13,1,6,2,66,1,0,0.958333,1,0,0,31.5,0.5,'0'
0,5,18,0,4,5,113,1,0,0.848485,0.47619,2,4,14.714286,1.1429,'0'
8,23,92,81,15,4,899,1,9,0,0.230159,0,0,45.105263,4.2632,'1'
0,4,16,0,4,4,59,1,0,0.842105,0.875,1,1,13.5,1.75,'0'
0,5,66,348,3,12,567,0.9,2,0,0.317241,0,0,18.206897,1.3793,'0'
9,12,7,4,3,3,22,1,1,0.928571,0.5,0,0,4.25,0.5,'0'
0,2,1,0,0,1,1,0,0,0,1,0,0,0,1,'0'
3,13,38,80,7,12,334,0.857143,0,0,0.285714,0,0,19.4375,1.6875,'0'
0,3,38,84,2,16,541,1,2,0.580645,0.25,2,8,32.25,0.8125,'0'
0,18,1,0,1,1,1,0,0,0,1,0,0,0,1,'0'
0,4,4,0,3,1,16,1,1,0.9375,0.666667,1,1,6.5,0.5,'0'
0,3,9,0,2,5,64,1,0,0,0.533333,0,0,11.2,0.8,'0'
0,12,50,24,6,2,288,1,1,0.68,0.296296,1,1,30.444444,1,'0'
0,9,32,13,9,4,150,1,0,0.9625,0.4,4,9,20.142857,1,'1'
0,4,4,1,4,1,11,0,0,0.987179,0.666667,0,0,4.5,0.5,'0'
0,5,18,0,4,5,126,1,0,0.848485,0.47619,2,5,16.428571,1.2857,'0'
0,4,34,0,1,1,312,1,0,0,0.85,0,0,26.090909,1.7273,'0'
0,7,6,15,1,6,10,0,0,0,0.722222,0,0,0,1,'0'
4,16,21,23,2,5,149,1,1,0.692308,0.228571,1,2,13.7,0.8,'0'
0,7,81,40,3,10,1178,0.909091,8,0.516129,0.25,2,4,67,1,'0'
0,3,13,31,2,10,76,1,1,0,0.375,0,0,6.3,1.1,'0'
0,12,43,36,10,7,424,1,0,0.755102,0.320513,1,6,31.384615,1.8462,'0'
0,5,20,0,2,9,141,1,0,0.6,0.416667,0,0,14.222222,0.6667,'1'
0,3,30,0,3,5,1262,1,0,0.880952,0.555556,1,1,208.666667,1,'0'
10,98,7,0,1,5,33,1,1,0,0.45,0,0,5.4,1,'0'
0,4,12,1,4,1,55,0,0,0.980392,1,1,2,26.5,2,'0'
5,18,23,0,16,16,110,1,0,0.346154,0.114583,0,0,5.055556,0.9444,'0'
0,6,37,0,5,7,308,1,0,0.736842,0.3,2,5,24.166667,1.3333,'0'
0,4,20,0,4,4,144,1,1,0,0.9,0,0,27.2,2.2,'0'
1,14,73,151,13,23,668,0.777778,2,0.627119,0.207729,3,3,27.26087,2.3913,'1'
0,6,38,3,5,1,198,0,0,0.9,0.555556,1,1,65,2.3333,'0'
0,193,26,0,1,14,153,1,1,0.65,0.333333,1,2,9.785714,0.6429,'0'
0,11,24,10,10,4,133,0,0,0.764706,0.5,0,0,25.4,0.8,'0'
0,6,43,322,4,6,4244,0.761905,1,0.138889,0.257576,1,1,126.333333,5.6061,'0'
0,1,20,19,0,4,197,0.666667,0,0,0.266667,0,0,25.857143,1.1429,'0'
0,3,8,1,3,2,33,0,0,0.969697,1,0,0,15.5,0.5,'0'
0,19,19,171,16,19,19,0,0,0,0.108359,0,0,0,1,'0'
0,4,17,18,4,6,112,1,0,0.840909,0.75,0,0,12.625,1.75,'0'
0,5,22,1,5,6,137,1,0,0.880952,0.416667,3,3,21.166667,0.8333,'0'
0,157,212,3687,17,77,2452,0.6,4,0,0.105495,0,0,25.56044,1.4945,'0'
0,6,36,58,5,13,363,1,0,0,0.242188,0,0,21.3125,1.75,'0'
0,27,116,2338,18,65,900,1,6,0.52349,0.206349,1,1,11.125,1.4722,'0'
0,17,83,11,17,9,671,0.25,2,0.886364,0.25,2,2,58.909091,1,'1'
0,1,3,3,0,3,4,0,0,0,0.666667,0,0,0,1,'0'
0,3,11,3,0,7,53,1,0,0,0.714286,0,0,6.285714,0.8571,'0'
0,3,1,0,1,1,1,0,0,0,1,0,0,0,1,'0'
0,8,22,3,7,2,152,0,0,0.866667,0.5,0,0,48.666667,0.6667,'0'
0,3,11,13,1,6,68,1,0,0.924242,0.444444,1,5,10.166667,1.5,'0'
0,8,26,0,4,7,261,0,0,0.863636,0.342857,2,5,35.714286,3,'0'
0,12,62,134,6,15,630,1,0,0.6,0.272109,1,1,28.809524,3,'0'
0,13,23,6,12,1,195,0,0,0,0.333333,0,0,47.75,0.75,'0'
0,20,103,209,20,25,673,1,2,0.552239,0.16129,1,3,20.387097,1.0323,'1'
0,11,24,1,4,3,264,1,2,0,0.666667,0,0,86.333333,5,'0'
26,46,14,20,1,7,87,1,0,0,0.6875,0,0,9.625,1.5,'0'
0,5,9,2,5,4,48,1,0,0.925,0.5,0,0,10.5,0.75,'0'
0,4,39,22,3,6,377,0.5,0,0,0.166667,0,0,45.875,1.25,'0'
4,19,40,223,19,23,179,1,0,0.614035,0.093822,0,0,6.73913,1.2609,'0'
0,20,115,703,8,25,1369,0.684211,1,0.478873,0.176829,1,5,31.142857,1.9286,'0'
0,10,37,0,10,6,315,1,1,0.840909,0.325,0,0,37.75,0.875,'0'
0,3,17,4,3,3,152,1,0,0.925,0.75,1,1,36.75,0.75,'0'
0,10,28,0,6,8,365,0.571429,0,0.844444,0.25,1,4,43.75,5.375,'0'
0,12,32,27,4,9,190,1,0,0,0.232323,0,0,15.727273,0.9091,'0'
0,7,61,37,7,3,758,0.6,0,0.804348,0.285714,0,0,73.8,2.1,'0'
0,3,14,5,1,4,131,0.5,0,0,0.2,0,0,20.166667,1.3333,'0'
0,6,42,21,6,7,369,1,0,0.804348,0.45,0,0,35.2,1.1,'0'
2,7,24,29,5,6,162,1,0,0.804348,0.5,0,0,15,1.2,'0'
0,11,61,121,5,15,503,0.5,0,0.638298,0.294737,2,2,25.157895,2,'0'
0,7,8,3,4,2,27,0,0,0.988636,0.666667,3,4,8,0.6667,'0'
1,25,138,421,22,17,1740,1,0,0.709091,0.142045,4,4,49.647059,1.1471,'1'
0,9,31,15,7,10,166,1,1,0.769231,0.3,1,1,15.3,1.4,'0'
0,6,22,0,6,4,142,1,0,0.925,0.625,0,0,34,1,'0'
0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,'0'
0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,'0'
0,3,20,4,2,4,168,0.666667,0,0.896552,0.466667,2,4,32,0.6,'0'
1,19,80,249,15,18,607,1,2,0.587302,0.166667,0,0,20.925926,1.1481,'1'
0,5,2,0,0,1,5,0,0,1,1,0,0,4,0,'0'
0,3,11,1,2,6,74,1,0,0,0.555556,0,0,10.666667,0.8333,'0'
0,6,17,1,6,7,138,1,0,0.842105,0.428571,0,0,18,0.8571,'0'
0,1,9,10,0,3,81,0,0,0.924528,0.44,2,2,15,2,'0'
0,18,89,219,18,18,881,1,4,0.757282,0.221154,3,4,32.153846,1.1538,'1'
0,7,71,14,5,16,569,0.285714,1,0,0.163399,1,1,31.647059,1.5294,'0'
0,13,25,0,9,7,201,1,2,0.853659,0.392857,1,3,27.142857,2.1429,'0'
0,2,21,26,1,5,89,1,0,0,0.142857,0,0,10,0.875,'0'
0,6,69,264,2,31,771,1,0,0,0.180556,1,1,22.625,1.1563,'0'
0,13,30,5,9,9,168,1,0,0.91,0.327273,2,10,13.909091,1.2727,'1'
0,3,47,60,3,5,466,0,0,0,0.15,0,0,37.583333,1.8333,'0'
0,16,117,35,15,11,849,0.909091,1,0.672727,0.305263,2,3,43.105263,2.2105,'1'
0,3,22,44,2,5,156,1,1,0,0.261905,0,0,11.416667,1.25,'0'
0,6,9,1,5,2,33,0,0,0.958333,1,0,0,15.5,0.5,'0'
0,6,16,5,6,5,95,1,0,0.880952,0.5,0,0,14.333333,0.8333,'0'
0,4,7,0,3,3,29,1,0,0.818182,0.666667,0,0,8.333333,0.6667,'0'
0,9,34,10,9,7,214,1,0,0.840909,0.3125,1,1,22.111111,1.4444,'0'
0,2,8,0,0,1,1082,0,0,0,0.666667,0,0,153.285714,0.8571,'0'
0,13,90,87,13,14,778,1,0,0.782051,0.188889,4,4,41.333333,0.9444,'1'
0,8,22,0,3,7,141,1,1,0,0.34375,0,0,16,1.625,'0'
0,5,7,1,4,3,29,1,0,0.818182,0.666667,0,0,8.333333,0.6667,'0'
0,31,57,266,4,24,602,1,0,0,0.197531,0,0,20.392857,2.25,'0'
0,6,11,3,3,3,37,0,0,0.969697,1,2,3,11.333333,1.3333,'0'
0,10,82,184,9,10,719,1,2,0.6,0.22619,1,3,33.095238,1.9048,'1'
0,9,29,0,8,5,179,1,0,0.823529,0.375,2,5,21,1.125,'0'
0,9,9,1,4,2,31,0,0,0.923077,0.666667,0,0,14.5,0.5,'0'
0,1,14,28,0,8,274,0,0,0,0.45,0,0,33.25,2.75,'0'
0,12,103,133,12,3,1720,0.882353,0,0,0.141414,0,0,88.631579,2.5263,'1'
0,5,1,0,2,1,3,0,0,0,1,0,0,0,1,'0'
0,3,18,10,1,8,108,1,0,0,0.541667,0,0,12,1.25,'0'
0,3,14,1,3,3,82,1,0,0.948718,0.666667,1,1,26,0.6667,'0'
0,10,24,36,7,8,104,0,0,0.888889,0.407407,3,8,10.555556,1.6667,'0'
0,19,3,3,0,3,3,0,0,0,1,0,0,0,1,'0'
0,11,36,0,11,10,236,1,1,0.804348,0.45,1,1,22.2,1.4,'0'
0,5,13,4,5,5,71,1,0,0.902439,0.533333,0,0,12.6,0.8,'0'
0,1,10,2,0,4,93,1,0,0,0.5,0,0,21,1.75,'0'
0,8,21,1,7,5,95,0.666667,2,0.882353,0.6,0,0,14.333333,1.3333,'0'
0,35,213,2518,35,74,2199,0.966667,10,0.318966,0.1375,3,3,25.777778,1.6543,'1'
0,2,2,0,1,1,4,0,0,1,1,0,0,3,0,'0'
0,5,6,15,1,6,6,0,0,0,0.444444,0,0,0,1,'0'
2,6,6,1,1,3,25,1,0,0.882353,0.833333,1,1,7,1.3333,'0'
1,6,14,3,2,3,52,0,0,0.96875,0.555556,1,1,16.333333,1.6667,'0'
0,4,17,0,4,5,99,1,0,0.902439,0.533333,1,1,18.2,0.8,'0'
0,2,39,10,2,8,282,1,0,0.840909,0.325,1,1,33.75,1.25,'0'
0,4,13,0,3,4,60,1,1,0,0.75,0,0,13.25,0.75,'0'
0,4,13,0,3,4,87,1,0,0.928571,0.75,2,4,20.5,0.5,'0'
1,33,67,437,6,21,1171,1,2,0,0.257576,0,0,32.911765,2.5,'0'
0,1,20,0,0,4,106,0.333333,0,0.921569,0.466667,0,0,19.6,1,'1'
0,13,25,0,9,7,199,1,2,0.853659,0.392857,1,3,26.857143,2.5714,'0'
0,6,13,0,1,5,69,1,0,0,0.533333,0,0,12.6,1.2,'0'
0,8,33,65,8,14,404,1,1,0.74,0.595238,1,2,27,1,'0'
0,3,19,0,3,2,104,0.5,0,0,0.666667,0,0,33,0.6667,'0'
0,5,14,3,2,3,52,0,0,0.96875,0.555556,1,1,16.333333,1.6667,'0'
0,14,38,12,12,8,310,0.142857,1,0,0.259259,0,0,32.666667,0.8889,'0'
2,9,20,46,2,8,111,1,0,0,0.615385,0,0,7.230769,0.7692,'1'
0,11,72,39,10,12,683,1,0,0.847826,0.277778,0,0,43.733333,0.9333,'0'
0,19,49,125,5,18,382,1,1,0,0.309091,0,0,16.045455,1.7273,'0'
0,22,29,0,18,16,135,1,0,0.666667,0.125,1,1,7.375,0.9375,'0'
0,4,5,6,1,4,16,0,0,0,0.875,0,0,3,0.75,'0'
0,11,38,1,7,11,391,0.5,0,0.791667,0.215909,1,4,33.636364,2.7273,'0'
0,10,47,11,9,10,329,1,3,0,0.2125,0,0,31.1,1.5,'1'
0,1,15,0,0,6,45,1,0,0.642857,0.444444,1,1,6.333333,0.8333,'0'
52,117,37,179,7,17,255,1,4,0.290323,0.246377,1,3,9.73913,1.1739,'0'
0,9,26,1,8,2,248,0,0,0.958333,1,1,1,123,0.5,'0'
0,5,34,0,5,3,237,1,0,0.880952,0.444444,0,0,38,0.8333,'0'
0,10,26,6,9,2,195,0,0,0.884615,0.5,0,0,47.5,3,'0'
0,1,18,0,1,1,274,1,0,0.888889,0.5,1,3,79.333333,5.6667,'0'
0,1,6,1,1,1,20,0,0,0.875,0.75,1,1,9,0.5,'0'
0,9,28,0,5,7,215,0.5,0,0.863636,0.342857,1,4,29.142857,2.8571,'0'
3,15,56,86,12,6,375,1,2,0,0.226667,0,0,22.25,2.0625,'0'
0,20,8,3,0,7,43,1,0,0,0.714286,0,0,4.714286,0.8571,'0'
0,25,78,218,21,17,1203,0.36,0,0,0.322981,0,0,48.083333,1.9167,'0'
0,8,20,3,7,2,151,0,0,0.92,0.5,0,0,48.333333,0.6667,'0'
2,30,8,3,4,2,27,0,0,0.988636,0.666667,3,4,8,0.6667,'0'
0,3,8,0,1,3,32,1,0,0.75,0.555556,0,0,9.333333,0.6667,'0'
0,4,7,0,3,3,33,1,0,0.818182,0.666667,0,0,9.666667,0.6667,'0'
0,5,15,0,2,4,83,1,0,0.953846,0.4375,1,1,19.5,2,'0'
0,4,25,14,3,4,163,1,1,0.416667,0.3,1,1,18.875,1,'0'
0,6,12,6,5,3,71,0,0,0.625,0.5,0,0,16.75,0.75,'0'
0,6,8,0,0,7,89,1,0,0,0.428571,1,1,11.571429,1,'0'
0,9,7,21,1,7,7,0,0,0,1,0,0,0,1,'0'
2,5,21,18,3,4,145,1,0,0.840909,0.4375,1,1,16.875,0.875,'0'
0,14,40,17,9,10,286,1,2,0.75,0.287879,1,1,24.545455,1.9091,'0'
5,9,5,0,4,3,18,1,1,0.921053,0.4375,0,0,3.25,0.75,'0'
0,2,11,3,1,3,54,1,0,0,0.666667,0,0,7.666667,0.8333,'0'
0,5,14,1,5,1,66,0,0,0.980392,1,1,2,32,2,'0'
0,3,12,3,0,3,90,0,0,0,0.333333,1,1,29,5,'0'
0,0,4,3,0,3,20,0,0,0,0.5,0,0,5.666667,1,'0'
0,4,40,330,2,2,2014,0.787234,1,0.225,0.20625,1,1,60.46875,4.0938,'0'
0,28,120,396,6,25,1348,0.8,0,0,0.278571,0,0,45.310345,2.6207,'1'
0,25,108,964,20,44,816,0.952381,4,0.624,0.154167,3,3,15.5625,1.375,'0'
0,1,10,0,1,1,67,1,1,0.714286,0.666667,1,1,20.333333,0.6667,'0'
1,17,99,664,15,31,855,0.952381,2,0.486842,0.194444,0,0,19.85,1.6,'1'
0,1,3,0,0,1,6,0,0,1,1,0,0,5,0,'0'
0,7,14,3,6,1,88,0,0,0,0.444444,0,0,28.333333,0.6667,'0'
0,2,7,4,0,0,39,1,0,0,0.7,0,0,6.2,0.6,'0'
0,12,69,39,12,12,614,1,1,0,0.342857,0,0,38.733333,2.7333,'1'
0,3,8,1,3,2,28,0,0,0.967742,0.75,0,0,13,1,'0'
0,69,10,8,0,3,69,0.75,1,0,0.583333,0,0,12,0.6,'0'
0,6,14,1,5,2,44,0,0,0.958333,1,0,0,21,0.5,'0'
0,2,7,6,1,4,20,0,0,0,0.875,0,0,4,0.75,'0'
0,1,2,0,1,1,4,0,0,1,1,0,0,3,0,'0'
1,3,15,0,1,4,137,1,0,0,0.9,0,0,25.2,1.8,'0'
0,4,5,0,1,4,24,1,0,0,0.875,0,0,4.75,0.75,'0'
0,31,85,218,20,18,708,0.933333,6,0,0.13834,0,0,27.875,1.75,'1'
2,52,102,560,26,38,698,1,1,0.434783,0.076352,1,3,15.853659,1.6585,'0'
1,6,29,87,4,12,190,1,3,0,0.223214,0,0,10.866667,1.0667,'0'
0,14,37,19,13,9,317,1,1,0.787234,0.327273,1,1,27.272727,3,'0'
0,15,26,31,2,7,361,0.615385,1,0,0.3,0,0,30.636364,2.1818,'0'
0,3,7,0,2,4,130,1,0,0.928571,0.75,2,4,31,0.5,'0'
0,1,19,0,0,3,108,1,0,0,0.533333,0,0,20.2,1.4,'0'
0,7,36,0,7,7,261,1,0,0.860465,0.342857,2,2,35.571429,0.8571,'0'
0,1,7,0,0,2,20,1,0,0.928571,0.75,0,0,8.5,0.5,'1'
0,11,46,10,11,1,587,0,0,0.952381,0.6,4,6,116.4,5.8,'0'
0,1,11,7,0,7,98,0,0,0,0.714286,0,0,12.571429,1.4286,'0'
0,5,19,1,5,2,89,1,0,0,0.5,0,0,28.333333,0.3333,'0'
0,5,14,1,5,6,75,1,0,0.880952,0.555556,0,0,10.833333,0.8333,'0'
5,15,8,3,3,6,39,1,0,0.857143,0.5,0,0,5.333333,1.3333,'0'
1,6,14,3,2,3,52,0,0,0.96875,0.555556,1,1,16.333333,1.6667,'0'
0,8,73,74,8,17,669,0.727273,2,0.649123,0.232143,1,1,30.333333,1.0476,'1'
0,4,18,14,1,4,88,1,0,0,0.518519,0,0,8.333333,0.8889,'0'
1,9,54,225,8,20,539,1,2,0.606557,0.24,0,0,19.307692,1.1923,'0'
0,5,16,0,5,4,95,1,0,0.914286,0.75,0,0,22.25,0.75,'0'
0,2,35,38,0,17,617,0.818182,0,0,0.293651,0,0,27.857143,0.8571,'0'
0,2,1,0,0,0,2064,0,0,0,0,0,0,2052,0,'0'
13,22,24,19,4,5,146,1,1,0.5,0.266667,0,0,13.3,1.2,'0'
1,11,53,16,10,7,457,1,0,0.822222,0.271605,2,2,49.222222,1.3333,'1'
0,4,2,1,2,2,2,0,0,0,0.75,0,0,0,1,'0'
0,2,2,1,1,2,2,0,0,0,1,0,0,0,1,'0'
0,3,26,53,0,9,725,1,1,0,0.26,0,0,64.818182,8.4545,'0'
0,5,30,0,5,0,186,1,2,0,0.6,0,0,90.5,5,'0'
0,5,68,181,3,17,462,0.875,0,0.547619,0.140909,0,0,18.73913,1.4783,'0'
0,9,31,0,5,6,181,1,0,0.833333,0.3125,1,1,21.375,2,'0'
0,12,77,365,10,22,717,1,3,0.578125,0.204167,0,0,22.566667,1.4667,'0'
0,5,14,91,0,14,14,0,0,0,0.271429,0,0,0,1,'0'
0,9,92,129,9,16,837,1,3,0.787879,0.309091,2,2,36.454545,1.2273,'1'
0,1,40,18,0,7,464,1,0,0,0.346939,0,0,56.625,3.875,'0'
1,5,11,6,3,3,62,0,0,0,0.5,0,0,14.5,0.75,'0'
0,8,19,0,8,6,88,1,0,0.880952,0.833333,0,0,13.166667,0.8333,'1'
0,14,23,68,2,12,308,1,0,0,0.708333,0,0,22.076923,3.4615,'0'
0,3,7,1,3,2,23,0,0,0.969697,1,0,0,10.5,0.5,'0'
0,7,19,3,6,2,93,0,0,0.866667,0.5,0,0,29.666667,0.6667,'0'
1,5,7,6,0,5,32,1,0,0,0.7,0,0,5,0.8,'0'
0,3,22,0,1,6,111,1,0,0,0.47619,0,0,14.428571,1.4286,'0'
0,1,5,1,1,2,10,0,0,0.985507,0.75,1,1,4,0.5,'0'
0,13,48,58,13,12,480,1,2,0.711538,0.25,2,2,28.375,1.4375,'0'
0,9,33,3,9,8,145,1,1,0.804348,0.4,2,4,13.1,1.3,'0'
2,9,15,1,1,4,92,1,1,0.454545,0.464286,1,1,11.571429,0.8571,'0'
0,9,20,1,8,2,132,0,0,0.958333,1,1,1,65,0.5,'0'
0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,'0'
0,2,8,0,0,7,147,1,0,0,0.342857,1,1,19.857143,1,'0'
0,6,4,6,4,4,4,0,0,0,0.625,0,0,0,1,'0'
0,13,1,0,0,1,1,0,0,0,1,0,0,0,1,'0'
0,4,12,0,3,4,70,1,0,0.75,0.5,0,0,16,0.75,'0'
