@relation mydataframe
@attribute nm numeric
@attribute nf numeric
@attribute la numeric
@attribute lt numeric
@attribute fix numeric
@attribute npt numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
1,1,0.003636,825,1,1,18,17,'0'
1,3,0.023268,644.666667,1,1,14.5,22,'1'
1,1,0.004969,805,1,1,149,142,'1'
1,5,0.020588,816,1,1,8,8,'1'
1,1,0.0125,800,1,1,3,3,'0'
1,1,0.003755,799,1,1,129,124,'1'
1,5,0.015965,451,1,1,44,43,'1'
1,4,0.047009,819,1,1,123,118,'1'
1,1,0.002618,764,1,1,39,38,'0'
1,6,0.043526,758.166667,1,0.833333,37,36,'1'
1,1,0.007833,766,1,1,106,101,'0'
2,10,0.078744,414,1,0.7,105,103,'1'
1,3,0.005297,629.333333,1,1,95,91,'1'
1,1,0.002635,759,1,1,74,70,'1'
1,1,0.002635,759,1,1,24,23,'0'
1,2,0.011921,713,1,1,70,66,'0'
1,1,0.001314,761,1,1,68,64,'0'
1,3,0.074176,485.333333,1,0.666667,35.5,53,'1'
1,1,0.004076,736,1,1,32,30,'0'
1,2,0.064209,420.5,1,1,29,27,'1'
1,1,0.017882,727,1,1,43.5,53,'0'
1,1,0.009669,724,1,1,91.5,117,'1'
1,1,0.001385,722,1,1,93,106,'0'
1,1,0.002774,721,0,1,92,105,'1'
1,1,0.001387,721,0,1,91,104,'0'
1,1,0.061026,721,1,1,82,95,'1'
1,1,0.004237,708,1,1,25,27,'0'
1,1,0.024079,706,0,1,99,86,'0'
1,2,0.00411,851.5,1,1,100,84,'1'
1,4,0.149399,436.75,1,1,96,80,'1'
1,1,0.001587,630,1,1,20,18,'1'
1,1,0,630,1,1,18,17,'0'
1,1,0.001585,631,1,1,55,41,'0'
1,1,0.004754,631,1,1,19.5,27,'0'
1,1,0.007924,631,1,1,8,8,'0'
1,1,0.001592,628,1,1,68,66,'0'
1,1,0.004777,628,1,1,8,8,'0'
1,5,0.033827,283.8,1,0.2,12.5,20,'1'
1,5,0.297487,342.2,1,1,5,5,'1'
1,1,0.001597,626,1,1,66,64,'0'
1,1,0.009585,626,1,1,422,469,'1'
1,1,0.004823,622,0,1,413,450,'0'
1,6,0.00566,382.833333,1,0.833333,395.5,432,'1'
1,1,0.003226,620,1,1,388.5,425,'0'
1,5,0.023015,521.4,0,0.8,388.5,423,'1'
1,2,0.010949,548,0,1,384,416,'1'
1,7,0.022057,537.571429,1,0.857143,376,408,'1'
1,1,0.006504,615,0,1,363,395,'0'
1,14,0.134058,414,1,0.928571,358,390,'1'
1,1,0.005128,585,1,1,343,375,'1'
1,2,0.029064,464.5,0,1,341.5,371,'0'
1,4,0.251002,686.25,1,0.75,325,353,'1'
1,8,0.025872,430,1,0.75,314,342,'1'
1,1,0.007018,570,0,1,304,332,'1'
1,4,0.015666,383,1,1,303,331,'1'
1,2,0.0134,597,1,1,281,309,'1'
1,3,0.023622,550.333333,1,0.666667,275,303,'1'
1,8,0.06466,419.5,1,0.75,267,294,'1'
1,1,0.001783,561,0,1,258,285,'1'
1,3,0.064944,477.333333,0,0.333333,247,274,'1'
1,3,0.011364,322.666667,0,0.666667,239,266,'1'
1,1,0.003717,538,0,1,233,260,'0'
1,1,0.003717,538,0,1,223,250,'1'
1,31,0.060207,215.387097,1,0.419355,221,248,'1'
1,4,0.022585,199.25,1,0.75,179,206,'1'
1,1,0.002387,419,0,1,154.5,181,'0'
1,3,0.08167,367.333333,1,1,151,177,'1'
1,2,0.00978,409,0,1,151,173,'1'
1,1,0.004854,412,0,1,49,48,'0'
1,5,0.096357,340.4,1,0.4,48,47,'1'
2,43,0.088657,171.813953,0,0.72093,43,43,'0'
1,1,0.002646,378,1,1,160,157,'0'
1,5,0.036455,356.6,1,0.8,159,156,'1'
1,1,0.002667,375,1,1,108,105,'0'
1,2,0.01182,211.5,1,1,107,104,'1'
1,4,0.003815,458.75,1,1,99,97,'0'
1,5,0.013793,174,1,0.8,95,93,'1'
1,1,0.00266,376,0,1,75,75,'1'
1,2,0.009103,384.5,1,1,74,74,'1'
1,2,0.037997,289.5,1,1,58,58,'1'
1,1,0.018717,374,0,1,54,54,'0'
1,4,0.100535,233.75,1,1,39,39,'1'
1,1,0.01497,334,0,1,32,32,'0'
1,1,0.006024,332,0,1,25,25,'0'
1,1,0.006154,325,1,1,189.5,231,'1'
1,1,0.00339,295,1,1,176,214,'0'
1,11,0.077909,177.363636,1,0.636364,183.5,205,'1'
1,17,0.112656,126.882353,1,0.117647,129,129,'1'
1,1,0.010417,288,1,1,92,92,'1'
1,1,0.031469,286,1,1,84,84,'0'
1,20,0.553304,113.5,0,0.6,63,63,'1'
1,16,0.120644,166.8125,0,0.6875,82,82,'0'
1,16,0.643862,159.875,0,0.6875,51,51,'0'
1,3,0.190789,304,0,1,3,3,'0'
1,25,0.109917,130.28,0,0.64,26,26,'0'
1,18,0.044518,385.611111,1,0.611111,130,126,'0'
1,11,0.066723,324.272727,0,0.727273,91,87,'0'
1,1,0.889036,757,0,1,15,11,'0'
1,1,0.002494,802,1,1,14.333333,20,'0'
1,2,0.007601,1052.5,1,1,4,4,'0'
1,1,0.01861,806,1,1,272,291,'0'
1,1,0,861,1,1,203,205,'0'
2,23,0.114865,544.304348,0,0.73913,743.75,805,'0'
2,14,0.043115,555,0,0.785714,623.25,687,'0'
1,14,0.048509,538.928571,0,0.714286,169,256,'0'
2,24,0.080295,463.916667,1,0.666667,84.666667,175,'0'
2,19,0.120863,507.315789,0,0.894737,720.75,782,'0'
1,8,0.003621,690.5,1,0.875,14,13,'0'
1,1,0.002367,845,1,1,534.25,602,'0'
2,11,0.014106,476.909091,0,0.727273,235.25,327,'0'
1,15,0.023342,591.2,1,0.866667,98.75,185,'0'
1,27,0.058407,481.296296,1,0.814815,268,269,'0'
1,1,0.007862,636,1,1,134.049603,432,'0'
1,7,0.007909,289,1,0.571429,199.85,555,'0'
1,1,0.004747,632,1,1,190.85,546,'0'
1,1,0.001585,631,1,1,2,2,'0'
1,1,0.001585,631,1,1,63,41,'0'
1,1,0.019017,631,1,1,227,220,'0'
1,1,0.00312,641,1,1,13.333333,19,'0'
1,1,0.008666,577,1,1,350,328,'0'
1,7,0.025909,683.714286,0,1,268,258,'0'
1,10,0.05792,455.8,1,0.9,251,243,'0'
1,11,0.025648,648.636364,0,1,229,222,'0'
1,12,0.007223,646.083333,1,0.916667,218,211,'0'
1,12,0.013512,635.25,0,0.916667,80,80,'0'
1,2,0.039449,798.5,0,1,33,33,'0'
1,3,0.004646,574,1,1,19,19,'0'
1,3,0.016845,653,0,1,14,14,'0'
1,7,0.023004,726.571429,1,1,8,8,'0'
1,8,0.005135,486.875,0,1,157,151,'0'
1,1,0.037037,243,1,1,314,199,'0'
1,1,0.012552,239,1,1,27,20,'0'
1,2,0.031175,208.5,1,0.5,205.5,214,'0'
1,1,0.008475,236,1,1,21,15,'0'
1,1,0.004274,234,1,1,20,14,'0'
1,1,0.038627,233,1,1,46,30,'0'
1,1,0.046154,195,1,1,313,198,'0'
1,3,0.018605,71.666667,0,0.666667,34,34,'0'
1,4,0.075799,273.75,1,0.75,132,129,'1'
1,10,0.037963,216,1,0.7,122,119,'1'
1,3,0.005529,422,1,1,87,87,'1'
1,1,0.031746,63,0,1,61,61,'0'
1,3,0.253425,292,1,1,43,43,'1'
1,3,0.065898,404.666667,0,0.666667,178.5,217,'1'
1,2,0.028689,244,1,1,165.5,187,'1'
1,1,0.238806,67,0,1,176,176,'1'
1,2,0.200295,339.5,0,1,145,145,'1'
1,2,0.021563,185.5,0,1,143,143,'0'
1,2,0.019068,236,0,1,132,132,'1'
1,2,0,0,0,0.5,34.333333,49,'0'
1,2,3.553191,23.5,0,1,32.333333,47,'0'
1,1,0,0,1,1,25,18,'0'
1,1,0.136364,44,0,1,90.583333,98,'0'
1,2,0.375,40,0,0.5,87.166667,94,'0'
1,2,0.93617,23.5,1,0.5,29.833333,40,'0'
1,1,0.027778,36,1,1,42,31,'0'
1,1,0.03125,32,1,1,32,25,'0'
1,1,0.125,32,1,1,30,23,'0'
1,2,0.153846,19.5,1,0.5,27,20,'0'
1,1,0,0,1,1,25,18,'0'
1,1,0.076923,39,0,1,89.583333,97,'0'
1,2,0.170213,23.5,1,0.5,41,30,'0'
1,1,0.090909,11,0,1,39,28,'0'
1,1,0.2,10,0,1,35,27,'0'
1,1,0.111111,9,0,1,31,24,'0'
1,2,0.564103,19.5,0,0.5,29,22,'0'
1,2,3.540541,18.5,0,0.5,25,18,'0'
2,8,0.064589,389,1,0.75,59,58,'1'
1,1,0.356968,409,1,1,141,138,'1'
1,2,0.084906,212,1,1,2,2,'1'
1,1,0.002874,348,1,1,130,130,'0'
2,18,0.008436,355.611111,1,0.722222,206.5,618,'1'
2,2,0.009804,102,1,0.5,241,249,'0'
2,9,0.003439,452.333333,0,0.888889,21,21,'0'
2,2,0.162791,86,1,0.5,32.5,40,'1'
3,3,0.00974,102.666667,1,0.666667,157,156,'1'
2,2,0.007576,132,1,0.5,215.333333,509,'1'
2,2,0.022388,134,1,0.5,81,101,'1'
2,2,0.016,125,1,0.5,112.333333,136,'0'
2,2,0.022388,134,1,0.5,83,103,'0'
1,1,0,133,0,1,368,340,'0'
3,49,0.003834,260.836735,1,0.693878,69.5,69,'0'
1,1,0.5,26,0,1,449.25,520,'0'
1,4,0,0,0,0.25,189,216,'0'
1,1,0,52,1,1,197.5,243,'0'
1,1,0.326923,52,0,1,17,13,'0'
1,1,0,0,0,1,85,80,'0'
1,1,0,260,0,1,75,68,'0'
1,1,0.038168,262,0,1,74,67,'0'
1,2,0.00554,180.5,1,0.5,238,238,'0'
1,6,0.029526,643.5,1,0.666667,113,105,'0'
1,3,0.013218,655.666667,1,0.666667,206,208,'0'
1,4,0.144585,475.5,1,0.75,180.5,186,'0'
1,1,2.504464,224,0,1,85,80,'0'
1,1,0,0,0,1,17,13,'0'
1,21,0.037935,306.285714,1,0.619048,112,108,'0'
1,2,1.065041,123,0,1,20,16,'0'
1,1,0.023669,169,1,1,596,414,'0'
2,6,0.058504,552.666667,1,0.833333,967.833333,1511,'1'
2,12,0.008124,471.833333,1,0.916667,373,362,'0'
1,1,0.053388,487,1,1,960,943,'0'
3,7,0.08445,351.857143,1,1,949.666667,1460,'1'
3,61,0.012288,272.147541,1,0.360656,932.333333,1397,'1'
1,1,0.008568,817,1,1,791.166667,779,'1'
2,5,0.045055,568.2,1,0.8,753.5,1155,'1'
3,12,0.005278,821,1,1,805,1116,'1'
1,1,0.221216,773,1,1,791.333333,726,'1'
1,1,0.006588,759,1,1,801.833333,720,'0'
1,1,0.010512,761,1,1,853.5,610,'0'
3,3,0.026334,493.666667,1,1,821,878,'1'
2,3,0.006403,572.666667,1,1,646.5,663,'0'
1,1,0.002653,754,1,1,256.995238,778,'0'
1,5,0.004124,533.4,1,1,239.32619,764,'1'
2,4,0.049052,672.75,1,1,474,463,'1'
2,3,0.00285,818.666667,1,0.666667,189,182,'0'
2,2,0.003867,646.5,1,0.5,151,144,'1'
2,2,0.000775,645.5,1,0.5,149,142,'1'
2,2,0.003094,646.5,1,1,143,136,'1'
2,2,0.029337,392,1,1,84,82,'1'
1,1,0.386703,737,1,1,45,34,'1'
1,1,0.001393,718,1,1,26,20,'0'
2,2,0.099817,546,1,1,259,250,'1'
2,3,0.011985,445,1,0.666667,167,161,'0'
2,8,0.011324,397.375,1,0.875,97,94,'1'
2,23,0.020931,481.913044,1,0.695652,44,43,'1'
1,1,0.00146,685,1,1,85.1,108,'0'
1,1,0.037956,685,1,1,106,110,'1'
1,1,0.044843,669,1,1,101.583333,97,'1'
1,1,0.004484,669,1,1,92.583333,91,'0'
2,9,0.01184,572.444444,1,0.888889,26.75,38,'1'
2,2,0.00183,546.5,1,1,19.333333,29,'1'
1,1,0.010542,664,1,1,1,1,'0'
1,1,0.006042,662,1,1,212.704762,590,'1'
1,1,0,661,1,1,96,86,'0'
1,2,0.037815,357,1,1,86.5,71,'1'
3,50,0.006745,249.06,1,0.64,88.5,92,'1'
1,1,0.007634,655,1,1,195.316667,557,'0'
1,1,0.05513,653,1,1,150.316667,381,'1'
1,1,0.004702,638,1,1,182.9,531,'1'
1,1,0.015674,638,1,1,10.5,11,'1'
1,1,0.090333,631,1,1,10,9,'0'
2,5,0.084364,1002.8,1,1,6,6,'1'
1,1,0.002222,450,1,1,1,1,'1'
1,1,0.006623,453,1,1,7,12,'1'
1,1,0.131111,450,1,1,253.816667,341,'1'
1,2,0.003185,314,1,1,112.666667,136,'0'
1,2,0.0304,312.5,1,1,101.833333,130,'1'
2,10,0.027579,601.9,1,0.9,360,396,'1'
2,18,0.056773,433.5,1,0.388889,87.833333,122,'1'
1,1,0.002262,442,1,1,264.833333,445,'0'
1,2,0.014194,1092,1,1,269.5,444,'1'
1,1,0.090698,430,1,1,247.583333,270,'1'
1,1,0.00432,463,1,1,320,305,'0'
1,2,0.022008,1090.5,1,1,254.5,268,'1'
1,1,0.013453,446,1,1,3,3,'0'
2,12,0.042739,181.333333,1,0.916667,43,43,'1'
1,1,0.002257,443,1,1,25,24,'0'
1,1,0.004515,443,1,1,24,23,'0'
2,4,0.005739,174.25,1,0.75,40,48,'1'
1,1,0.002268,441,1,1,38,36,'0'
1,1,0.00907,441,1,1,37,35,'1'
1,1,0.064982,277,1,1,151,150,'0'
1,1,0.003774,265,1,1,13,12,'0'
1,10,0.029172,589.6,1,0.8,132.75,219,'0'
2,16,0.038211,431.8125,0,0.875,537,523,'0'
1,46,0.003785,287.173913,0,0.630435,414,386,'0'
1,9,0.012714,227.222222,0,0.666667,46,46,'0'
2,2,0.010753,372,0,1,36.166667,52,'0'
2,4,0.049758,567.75,1,1,478,467,'0'
1,1,0.00299,669,1,1,82,59,'0'
1,1,0.008969,669,1,1,334,182,'0'
2,2,0.019704,507.5,1,1,192.833333,237,'0'
1,1,0.045113,665,1,1,188.833333,200,'0'
2,4,0.049408,485.75,1,1,994.75,1618,'0'
1,1,0.006784,737,1,1,803.833333,722,'0'
1,1,0.01087,736,1,1,854.5,611,'0'
2,3,0.006575,557.666667,1,1,649.5,666,'0'
1,1,0.006562,762,1,1,802.833333,721,'0'
1,1,0,0,1,1,86,82,'0'
1,6,0.004023,290,0,1,7,7,'1'
1,1,0.048193,83,1,1,50,49,'0'
1,1,0.160494,81,1,1,382.5,417,'0'
1,4,0.048165,109,1,0.5,11,11,'1'
1,3,0.049587,121,0,0.333333,24,24,'1'
1,4,0.024161,186.25,0,1,21,21,'1'
1,1,0.025316,79,0,1,186.5,208,'0'
1,1,0.177215,79,1,1,168,168,'0'
1,1,0.028169,71,0,1,153,153,'1'
1,1,0.057143,70,0,1,152,152,'0'
1,1,0.014706,68,1,1,151,151,'0'
1,1,0.088235,68,0,1,91,91,'0'
1,1,0,66,1,1,90,90,'1'
1,1,0,0,1,1,20,16,'0'
1,1,2.137421,473,0,1,22,18,'0'
2,17,0.108933,576.176471,1,0.823529,639,624,'1'
1,1,0.004348,230,1,1,102.833333,131,'0'
1,1,0.004425,226,1,1,89.833333,122,'0'
1,1,0.06599,197,1,1,249.5,264,'1'
1,1,0.021739,184,1,1,210,203,'0'
1,1,0.021978,182,1,1,7,7,'1'
1,1,0.005525,181,1,1,68,86,'0'
1,1,0.005525,181,0,1,156.333333,173,'0'
1,1,0.005556,180,1,1,155.333333,172,'0'
2,28,0.021663,194.535714,1,0.785714,94.333333,118,'1'
1,1,0.027473,182,1,1,92,87,'0'
1,4,0.069811,397.5,1,1,51,49,'1'
1,4,0.00702,890.25,1,1,47,45,'0'
1,1,0.004619,433,1,1,273,292,'0'
1,1,0.101852,432,1,1,286,285,'1'
1,1,0.055288,416,1,1,13,12,'0'
1,1,0.002445,409,1,1,132,121,'0'
1,2,0.022804,592,1,0.5,106,98,'1'
1,2,0.00937,587,1,0.5,104,96,'1'
1,2,0.022766,593,1,1,34,42,'1'
1,2,0.009426,583.5,1,0.5,153,152,'1'
1,2,0.022901,589.5,1,1,22.5,30,'1'
1,1,0.002451,408,1,1,19.5,27,'0'
1,1,0.002451,408,1,1,17,12,'0'
1,1,0.017157,408,1,1,56,55,'0'
1,2,0.011111,585,1,0.5,135,128,'0'
1,2,0.017217,348.5,1,1,30,29,'0'
1,2,0.003676,272,1,0.5,85,81,'0'
1,5,0.041144,510.4,1,0.8,83,79,'1'
1,6,0.032468,513.333333,1,0.833333,58,54,'1'
1,1,0.005181,386,1,1,40.5,46,'1'
1,1,0.007732,388,1,1,34.5,40,'0'
1,1,0.005181,386,1,1,31,34,'0'
1,2,0.047619,504,1,1,29,32,'1'
1,1,0.005051,396,1,1,25,28,'0'
1,2,0.014127,495.5,1,1,30.833333,71,'1'
1,1,0.002532,395,1,1,99.5,87,'0'
1,1,0.002532,395,1,1,85,69,'1'
1,1,0.002532,395,1,1,69,54,'0'
1,1,0.002532,395,1,1,68,53,'0'
1,1,0.007595,395,1,1,65,50,'1'
1,1,0.005063,395,1,1,44.5,67,'0'
1,3,0.010204,653.333333,1,1,63.166667,67,'1'
1,1,0.012658,395,1,1,59.166667,63,'0'
1,6,0.098327,488.166667,1,1,58.166667,62,'1'
1,2,0.008316,481,1,0.5,33,28,'1'
2,4,0.115021,291.25,1,0.75,16,16,'1'
1,1,0.005682,352,1,1,30.5,36,'0'
1,2,0.030369,461,1,1,3,3,'1'
1,2,0.006579,456,0,0.5,63,61,'0'
1,9,0.045599,558,1,1,421,467,'1'
1,4,0.086444,381.75,0,1,417,454,'1'
1,1,0.002577,388,0,1,412,449,'0'
1,2,0.002247,667.5,1,1,401.5,438,'1'
1,1,0.005391,371,0,1,336.5,366,'0'
1,1,0.005391,371,1,1,320,348,'0'
1,1,0.002695,371,1,1,231,258,'0'
1,1,0.002695,371,0,1,222,249,'0'
1,1,0.002825,354,1,1,149,171,'1'
1,2,0.005618,356,1,1,148,170,'1'
1,1,0.003003,333,0,1,78,78,'0'
1,1,0.003311,302,1,1,40,40,'0'
1,1,0.027491,291,1,1,193.5,239,'1'
1,1,0.003497,286,1,1,192.5,238,'1'
1,2,0.133117,308,1,1,185.5,227,'1'
1,1,0.037313,268,1,1,183.5,222,'1'
1,1,0.218391,261,0,1,182.5,221,'1'
1,1,0.020833,240,1,1,181.5,220,'0'
1,1,0.004525,221,0,1,174,174,'1'
1,11,0.130318,168.818182,0,0.636364,164,164,'1'
1,1,1.018293,492,0,1,22,18,'0'
1,1,0.002392,418,1,1,161.333333,181,'0'
1,1,0.004785,418,1,1,274,293,'0'
1,1,0.105516,417,1,1,287,286,'0'
1,2,0.425968,439,0,1,26,22,'0'
1,2,0,0,0,1,59.166667,68,'0'
1,6,0.646055,469,0,1,227.166667,395,'0'
1,13,0.046662,524.230769,1,0.923077,866.1,991,'0'
2,3,0.003663,273,1,0.666667,195.266667,578,'0'
1,4,0.00456,383.75,1,0.75,223,216,'0'
1,1,0.021739,184,1,1,211,204,'0'
1,1,0.021978,182,1,1,6,6,'0'
1,2,0.004673,214,1,1,287,276,'0'
1,8,0.004049,771.75,1,0.875,237,230,'0'
