@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
3,0,12,4,1,7,3,55,1,0,0.5,1,12.5,1,'0'
1,1,15,0,2,1,7,133,1,0,0.35,0,15.25,1.75,'1'
1,3,7,15,6,2,6,12,0,0,0.444444,1,1,0.8333,'1'
1,0,25,22,1,0,6,126,1,0,0.178571,0,14.625,1.375,'0'
2,0,3,1,3,1,2,16,0,0,0.875,0,6.5,0,'1'
3,0,19,15,2,0,4,184,0,0,0.5,1,28.833333,2.8333,'1'
1,0,99,0,3,24,0,1172,0.9375,8,0.2,0,71.25,0.8125,'1'
1,1,21,1,2,4,9,258,1,4,0.246753,0,21.818182,0.9091,'0'
1,0,6,0,7,0,2,83,0.125,7,0.555556,1,17.75,1.5,'0'
1,0,1,0,4,2,1,1,0,0,1,0,0,1,'0'
2,0,15,0,1,3,6,113,1,2,0.5,1,17.333333,0.8333,'0'
2,0,25,0,1,3,7,447,1,0,0.287879,1,39.272727,1.5455,'1'
1,0,18,0,0,0,3,130,0.5,0,0.333333,0,30,2.5,'0'
2,1,14,0,1,1,7,47,1,1,0.428571,1,5.571429,0.8571,'1'
2,0,8,0,1,3,3,43,1,0,0.833333,0,13,0.6667,'1'
1,0,22,0,8,1,14,297,0.285714,3,0.380952,0,17.866667,0.8,'1'
1,2,26,124,47,4,16,94,1,1,0.175,0,4.411765,0.8824,'1'
3,0,29,53,1,4,6,514,1,1,0.333333,1,34.928571,2.2857,'0'
1,4,17,13,14,1,5,89,0.5,0,0.6,0,13.5,0.6667,'1'
3,0,30,0,1,6,11,176,1,1,0.192308,2,12.384615,1.3077,'0'
1,1,4,0,13,1,2,25,0.333333,1,0.583333,0,6.333333,0.6667,'1'
3,0,13,1,1,10,3,70,0,0,0.533333,1,22.333333,1.3333,'1'
2,3,5,1,3,1,1,17,1,0,0.666667,0,4.333333,0.3333,'1'
1,0,8,3,0,0,1,27,0,0,0.333333,0,7.666667,1,'0'
2,0,18,9,9,1,5,65,1,0,0.333333,1,9.666667,1.1667,'1'
1,0,19,2,1,3,6,116,1,2,0.34375,0,13,1,'1'
1,5,18,5,5,0,1,88,0.5,0,0.7,0,13.333333,0.5,'0'
1,0,48,71,3,6,7,468,1,5,0.210526,0,23.105263,1.3158,'1'
1,0,18,153,9,1,18,18,0,0,0.37037,0,0,1,'1'
1,0,28,19,3,12,5,338,1,6,0.324675,0,28.818182,1.1818,'1'
1,0,4,3,4,0,3,23,0,2,0.5,0,4,1,'1'
3,1,27,0,1,7,9,116,1,1,0.259259,2,11.777778,1.3333,'0'
1,0,5,1,2,0,1,36,0,0,0.5,0,17,2,'0'
2,0,13,0,1,2,7,204,0.875,1,0.3,1,23.5,1,'1'
2,1,16,0,1,2,5,102,1,1,0.4,1,19,1,'1'
1,0,2,1,2,2,2,2,0,0,1,0,0,1,'0'
1,0,12,6,3,1,0,115,0.333333,1,0.375,0,12.625,0.875,'1'
2,0,6,10,1,1,4,15,0,0,1,1,2,0.8,'0'
3,0,13,15,2,3,7,106,1,0,0.514286,0,13.857143,0.7143,'1'
1,0,24,0,2,2,12,361,1,2,0.328125,0,21.3125,1.75,'0'
2,0,10,21,3,1,7,54,0,0,0.5,1,6.714286,0.8571,'0'
2,0,24,0,1,5,10,313,1,0,0.3,2,29.8,3.1,'1'
2,7,4,0,7,1,1,13,1,1,0.75,0,5,0.5,'1'
2,0,4,1,3,2,0,51,0,0,0.666667,1,24.5,3,'0'
1,0,7,3,2,2,3,28,0,0,0.833333,0,8.333333,1,'1'
2,0,15,0,0,8,6,67,0.5,0,0.333333,0,8.285714,0.1429,'1'
2,0,25,0,2,2,10,292,0.857143,1,0.208791,1,20.923077,1,'1'
5,0,2,0,4,0,1,5,0,0,1,0,4,0,'0'
1,0,5,10,20,0,5,5,0,0,0.6,0,0,1,'0'
1,0,14,0,3,4,0,108,0.333333,4,0.4,0,19.4,1.6,'0'
1,1,33,12,2,12,8,377,0.866667,4,0.21875,0,29.166667,0.9167,'0'
2,0,40,70,2,7,16,273,1,2,0.5,1,15.75,0.875,'1'
2,0,43,0,3,7,11,303,1,0,0.191667,2,18.933333,1.8,'1'
2,0,4,1,0,3,2,10,0,0,0.666667,0,4,0.5,'0'
1,0,37,0,0,4,9,280,1,0,0.34,0,26.8,1.6,'1'
3,0,19,15,1,0,4,184,0,0,0.5,1,28.833333,2.8333,'0'
1,0,39,0,2,6,0,235,0.5,3,0.375,0,56.25,1,'1'
2,0,27,7,1,6,7,287,1,1,0.2,1,17.666667,1.0667,'1'
1,5,18,103,31,0,15,256,1,0,0.28,0,16,0.9333,'1'
1,2,5,6,23,1,4,9,0,0,1,0,1.25,0.75,'1'
3,0,9,1,2,6,0,64,0,0,0.583333,1,31,0.5,'0'
2,0,30,1,1,5,7,373,1,0,0.314286,1,51.571429,3.5714,'1'
1,0,2,1,1,1,2,2,0,0,0.666667,0,0,1,'0'
2,0,21,0,1,6,5,99,0.333333,0,0.375,2,12.714286,1,'1'
2,0,16,0,1,3,6,179,1,2,0.47619,1,24.142857,0.8571,'0'
3,0,6,0,0,4,2,35,1,1,0.75,0,16,0.5,'1'
1,0,55,0,0,10,22,705,1,4,0.184615,0,25.730769,1.1538,'1'
2,0,18,0,1,1,5,83,0,0,0.466667,1,15.2,0.8,'0'
2,0,38,0,3,7,4,367,0.533333,6,0.211538,1,26.076923,0.9231,'1'
4,0,18,0,1,1,4,380,0.4,1,0.4,1,74,4.8,'0'
2,0,5,0,1,3,3,65,0.666667,1,0.47619,0,14.5,2,'0'
2,0,43,48,2,8,13,263,1,2,0.135747,2,14.294118,1.6471,'1'
2,0,4,1,4,2,0,39,0,0,0.666667,1,18.5,2,'0'
1,4,6,4,7,1,5,19,1,0,0.8,0,2.6,0.8,'1'
2,0,10,15,1,3,6,31,0,0,0.666667,1,4.166667,0.8333,'0'
4,0,2,0,2,0,1,5,0,0,1,0,4,0,'0'
2,0,2,0,11,3,0,11,0,1,1,0,9,0,'1'
1,1,46,0,2,12,7,357,1,2,0.309524,0,49,0.8571,'0'
2,0,10,0,1,2,0,176,1,2,0.625,1,40.25,0.75,'0'
1,0,1,0,3,0,0,87,0,0,0,0,68,0,'0'
1,0,52,282,1,4,7,3060,0.210526,1,0.405714,0,83.472222,7.6389,'1'
1,0,7,3,4,5,2,21,0,0,0.666667,0,6,0.6667,'0'
2,1,20,9,5,7,6,74,0,1,0.265306,2,9.428571,1.2857,'1'
1,5,8,15,32,1,6,21,0,0,0.583333,0,2.5,0.8333,'0'
2,0,12,1,1,11,6,173,1,6,0.35,0,26.166667,1.5,'0'
2,0,84,193,3,16,21,558,1,0,0.16835,1,19.407407,1.037,'1'
2,0,31,0,1,9,7,409,1,2,0.285714,1,43.222222,1,'0'
3,0,22,9,2,6,6,122,0.333333,1,0.333333,2,16,1.7143,'1'
2,0,26,0,2,8,8,143,0,2,0.222222,2,14.666667,1.3333,'1'
3,0,22,9,2,6,6,122,0.333333,1,0.333333,2,16,1.7143,'1'
1,0,18,4,4,3,4,112,1,2,0.35,0,20,1.2,'1'
2,2,14,8,5,2,6,103,1,2,0.407407,1,10.222222,1,'0'
1,0,8,28,25,2,8,8,0,0,0.3,0,0,1,'0'
2,0,137,732,6,28,20,1253,0.590909,10,0.131119,1,26.355556,1.7556,'1'
2,0,47,73,2,16,4,361,0.75,3,0.25641,1,24.5,1.3571,'1'
2,0,15,0,0,2,5,73,1,1,0.55,0,13.2,1.2,'0'
1,6,3,1,22,0,2,5,0,0,0.666667,0,1.5,0.5,'0'
4,0,4,1,1,1,1,13,0,0,0.666667,1,5.5,1,'0'
3,0,31,0,1,6,11,218,1,2,0.208791,2,15.615385,1.3077,'0'
3,0,17,1,1,4,2,98,1,0,0.75,0,31,0.3333,'1'
2,0,19,8,3,6,7,93,1,1,0.25,2,10.5,1.5,'1'
4,0,31,0,0,14,13,120,1,1,0.205128,0,8.153846,0.9231,'0'
2,0,50,0,0,11,19,171,1,1,0.199074,1,6.083333,0.9583,'1'
1,0,27,18,1,1,6,567,1,0,0.314286,0,68.875,2.5,'1'
1,0,6,6,11,3,3,15,0,2,0.833333,0,2.25,0.75,'1'
1,0,12,1,3,0,6,103,1,0,0.619048,0,13.285714,1,'1'
1,5,3,1,24,1,2,5,0,0,0.75,0,1.5,0.5,'1'
1,0,14,78,10,8,12,20,0,1,0.427083,0,0.384615,0.9231,'1'
1,0,10,21,1,0,7,155,0,0,0.321429,0,21.142857,2.5714,'1'
2,0,32,1,1,1,6,485,1,0,0.444444,1,67.428571,1.1429,'0'
1,0,68,8,3,9,4,814,1,2,0.236111,0,49.375,1,'1'
3,0,10,1,1,2,3,63,1,0,0.666667,0,19,0.3333,'1'
1,0,1,0,2,0,0,174,0,0,0,0,136,0,'1'
1,0,6,15,11,0,6,6,0,0,0.375,0,0,1,'0'
1,0,8,3,5,0,0,205,0,0,0.5,0,63.333333,1,'1'
4,0,75,349,10,8,23,515,0.666667,0,0.155172,1,15.766667,1.2667,'1'
2,0,21,0,2,6,11,392,0,0,0.352273,1,34.636364,0.7273,'1'
2,1,13,0,2,5,4,110,0.5,1,0.5,0,20.2,1.6,'1'
2,0,4,1,0,3,2,10,0,0,0.666667,0,4,0.5,'1'
2,1,89,86,6,10,23,1021,0.8,0,0.265432,1,35.107143,1,'1'
3,0,10,2,0,3,3,57,1,0,0.625,0,12.75,0.75,'1'
3,0,42,0,3,6,10,286,1,0,0.220779,2,24.818182,1.7273,'0'
2,0,12,0,1,1,5,82,0.5,0,0.466667,1,15,0.8,'0'
2,0,7,6,1,3,4,24,1,2,0.625,0,3.4,0.6,'0'
1,1,2,0,19,0,1,12,0,0,1,0,9,0,'0'
1,0,41,25,3,5,7,661,0.846154,3,0.202381,0,42.2,1.5333,'0'
3,0,6,0,0,3,2,41,0,0,0.666667,0,18.5,0.5,'1'
2,0,34,0,3,19,14,164,0.5,1,0.189744,1,9.8,0.7333,'1'
3,0,18,0,2,1,4,387,0.4,1,0.4,1,75.4,4.8,'1'
1,0,6,15,44,4,6,6,0,0,0.416667,0,0,1,'0'
1,17,11,34,35,3,7,47,1,1,0.416667,0,4.111111,0.8889,'1'
1,4,125,1757,93,27,46,815,1,5,0.102823,0,11.967742,1.2258,'1'
2,0,17,0,2,6,5,62,1,1,0.4,1,11.2,1,'1'
2,0,13,0,1,5,6,189,0.5,0,0.333333,0,25.714286,0.1429,'0'
1,0,37,17,1,8,0,659,1,4,0.277778,0,64.2,1.1,'1'
1,0,38,153,1,4,7,3785,0.114286,1,0.380952,0,169.454545,14.0455,'0'
2,0,27,9,1,3,4,186,1,0,0.571429,0,25.428571,0.7143,'1'
3,0,13,3,0,3,3,170,0,0,0.444444,0,55.666667,1.3333,'1'
1,0,4,3,3,0,3,23,0,2,0.5,0,4,1,'0'
2,0,6,0,0,3,2,18,1,1,0.666667,0,7.5,0.5,'1'
2,0,32,0,1,8,9,340,1,2,0.259259,2,36.444444,3,'1'
2,0,28,0,1,8,6,147,1,1,0.333333,2,23.333333,1.5,'0'
3,0,29,15,1,8,11,524,0.7,3,0.285714,1,33.266667,1.7333,'1'
3,0,22,9,2,6,6,122,0.333333,1,0.333333,2,16,1.7143,'1'
2,0,21,0,1,6,5,92,0.666667,0,0.375,2,11.714286,1,'1'
1,0,10,0,0,2,4,83,0,0,0.4,0,19.5,0.5,'1'
1,0,14,4,2,1,4,145,0.666667,1,0.5,0,27.4,2.6,'1'
5,0,4,1,2,1,1,9,0,0,0.666667,1,3.5,0.5,'0'
1,0,28,0,2,3,8,1483,1,0,0.320513,0,104.642857,1.8571,'0'
1,3,28,51,3,4,15,503,1,0,0.198413,0,26.222222,2.1667,'1'
2,0,38,0,1,6,11,318,1,0,0.171429,2,21.571429,1.5714,'1'
1,0,102,1,1,20,0,1192,1,5,0.227273,0,106,2.3636,'0'
1,0,5,1,0,0,0,44,0,0,1,0,17,0,'0'
2,2,27,1,2,8,6,134,1,1,0.342857,2,18,1.5714,'0'
2,0,29,26,1,7,7,461,1,3,0.305556,1,36.583333,1.0833,'0'
3,0,7,3,0,4,3,20,0,0,0.555556,2,5.666667,0.6667,'0'
3,0,33,3,1,16,6,297,1,1,0.351852,2,48.166667,0.8333,'1'
2,1,21,0,3,4,6,340,1,1,0.3,1,32.3,1.1,'1'
1,0,22,24,14,1,13,177,0.166667,1,0.384615,1,12.153846,1.0769,'1'
2,0,12,3,1,4,5,36,0,0,0.305556,1,5,0.8333,'0'
1,0,25,3,1,1,13,237,0,0,0.404762,0,15.5,0.9286,'0'
3,0,20,5,1,4,5,247,0,1,0.333333,1,38.833333,3.6667,'0'
4,0,2,0,5,0,1,5,0,0,1,0,4,0,'0'
1,0,22,61,11,1,13,175,0,3,0.320513,0,11.285714,0.7143,'1'
1,0,2,0,1,3,0,54,0,3,1,0,48,0,'1'
1,0,171,1344,4,22,52,2846,0.722222,10,0.1006,0,34.125,0.9875,'1'
1,0,35,72,2,7,4,474,1,6,0.313725,0,26.294118,1.1176,'1'
3,0,24,69,0,13,12,723,0.571429,0,0.205128,0,49.142857,0.8571,'0'
2,2,34,0,2,7,6,345,1,4,0.21978,1,24.846154,1.1538,'0'
3,0,10,1,0,5,2,48,1,0,0.75,1,22.5,0.5,'1'
1,0,2,0,1,1,0,18,0,3,1,0,12,0,'0'
1,0,4,0,0,2,2,33,1,0,0.666667,0,14.5,1.5,'0'
1,1,21,64,41,0,11,197,1,0,0.292308,0,13.923077,1.4615,'0'
4,0,8,6,1,0,4,20,0,0,0.666667,0,4,0,'0'
1,0,2,0,8,0,0,36,0,0,1,0,27,0,'1'
1,0,10,0,1,2,4,60,1,1,0.6,0,10.6,1.2,'1'
2,0,58,104,5,15,10,511,1,3,0.2375,1,22.952381,1.6667,'1'
