@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
1,1,6,2,2,4,37,1,1,0,0.5,0,8,2,'0'
7,0,77,8,11,3,584,1,1,0.979104,0.355556,0,37.333333,9,'0'
7,0,52,1,7,10,284,1,2,0.983508,0.277778,0,22.25,3,'0'
1,0,3,0,9,1,54,0,0,0,0.333333,0,16.666667,3,'1'
1,0,15,4,3,6,34,0,0,0,0.611111,0,4.666667,2,'0'
5,0,105,8,17,4,477,1,3,0.973174,0.336842,5,23.578947,10,'1'
7,0,67,3,7,4,356,0.888889,1,0.980568,0.285714,0,23.785714,3,'0'
2,0,30,1,1,9,115,1,0,0.571429,0.269231,0,7.384615,2,'0'
7,0,542,8,26,9,1807,0.892857,5,0.946609,0.186813,3,43.475,15,'1'
2,0,0,1,4,0,87,0,1,0.777778,0.444444,2,27.333333,7,'0'
1,0,0,6,1,8,368,0.104167,17,0,0.40625,0,34.555556,2,'0'
2,0,3,1,10,1,102,0,0,0.9,0.444444,1,32.666667,6,'0'
1,0,0,9,7,21,1738,1,3,0,0.251701,0,81.428571,35,'0'
1,5,54,28,3,12,49,1,0,0,0.3125,0,3,1,'0'
2,0,5,3,7,2,377,1,0,0.924242,0.305556,0,61,13,'0'
1,0,0,12,0,0,617,0,0,0,0,0,496,0,'0'
2,0,1,1,3,0,71,1,0,0.777778,0.444444,2,22.333333,6,'0'
6,0,28,2,3,3,269,1,0,0.983824,0.5,4,20.666667,1,'0'
6,0,1420,125,37,45,1722,0.515152,9,0.916193,0.082456,3,27.15,20,'1'
1,4,471,29,15,28,679,0.333333,0,0,0.242424,0,18.617647,5,'1'
3,0,16,1,1,8,49,1,0,0.911392,1,0,4.875,1,'0'
1,0,10,0,2,5,12,0,0,0,0.8,0,1.4,1,'1'
2,0,3,1,3,0,20,0,0,0.777778,0.466667,2,5.666667,1,'0'
2,0,0,1,3,0,80,1,0,0.7,0.357143,2,18.25,5,'0'
1,0,9847,99,51,118,5007,0.714286,12,0,0.077948,0,32.727891,39,'1'
7,0,32,2,9,3,720,1,3,0.983508,0.291667,1,57.75,8,'1'
6,0,1,1,2,3,263,1,0,0.997019,1,4,84,5,'0'
4,0,0,17,0,1,5,0,0,1,1,0,4,0,'0'
1,0,61,4,7,12,314,1,1,0,0.320513,0,21.357143,8,'1'
2,0,1,1,6,1,36,0,0,0.947368,0.625,1,17,1,'0'
2,0,0,4,6,5,123,1,0,0.538462,0.285714,1,16.142857,3,'0'
5,0,153,29,18,12,1181,0.888889,3,0.967407,0.173913,7,49.173913,18,'1'
2,0,4,1,4,2,109,0,0,0.769231,0.4,0,25.75,3,'0'
1,0,26,15,6,13,274,1,3,0,0.338462,0,19.692308,5,'0'
2,0,4,1,6,2,153,0,0,0.818182,0.366667,0,29.4,10,'0'
6,0,3,7,5,4,263,0.3,0,0.994483,0.314286,2,41.166667,11,'1'
1,0,23,3,9,7,479,1,1,0,0.4,0,42.181818,3,'1'
1,0,15,4,1,6,6,0,0,0,1,0,0,1,'0'
6,0,1,1,4,3,435,1,9,0.997019,1,5,137.333333,2,'0'
1,0,0,2,1,3,273,1,0,0,0.6,0,52,10,'0'
1,0,38,76,1,7,446,0.5,0,0,0.178571,0,32.230769,7,'0'
1,0,3,1,2,2,13,0,1,0,0.625,0,3,1,'0'
3,3,43,53,1,11,154,0,1,0.566667,0.577778,2,9.133333,3,'0'
2,0,24,3,2,7,253,0,0,0.592593,0.395833,2,19.833333,6,'0'
1,0,1039,45,21,45,1684,0.117647,5,0,0.126362,0,29.309091,32,'1'
3,0,38,3,7,13,670,0.777778,0,0.729167,0.185185,5,40.3125,24,'1'
6,0,25,3,8,1,349,1,0,0.985272,0.5,5,30.181818,6,'1'
6,0,1,1,3,1,159,1,1,0.997019,1,3,50,1,'0'
2,0,6,1,3,4,86,0,0,0.928571,0.6,1,20.5,2,'0'
2,0,37,4,4,11,429,0.888889,1,0.824324,0.22449,0,29,5,'0'
2,0,15,3,14,1,286,0,0,0.782609,0.611111,0,45.5,1,'0'
1,0,43,4,11,9,785,0.875,0,0,0.104575,0,42.166667,18,'0'
2,0,1,3,1,1,10,0,0,0.947368,0.75,0,3.5,1,'0'
2,0,78,1,15,8,1296,1,5,0.464286,0.265625,3,78.0625,35,'1'
6,0,34,3,6,9,91,1,2,0.987749,0.592593,3,8.888889,1,'1'
1,0,6,4,1,4,4,0,0,0,0.916667,0,0,1,'1'
1,0,30,5,13,7,1525,0.9375,4,0,0.215385,0,115.076923,42,'1'
6,0,3,5,2,1,66,0,0,0.997382,0.444444,0,21,2,'0'
1,2,59,17,1,9,117,0,0,0,0.297619,0,7.071429,5,'1'
1,1,1,9,1,3,138,0,2,0,0.4,0,37.333333,15,'0'
4,0,988,14,14,46,1107,0.677419,5,0.925501,0.101415,25,19.301887,7,'1'
1,0,3,1,4,6,6280,0.166667,1,0,0.5,0,124.12,167,'0'
1,0,0,1,1,3,59,1,0,0,0.666667,0,13.25,3,'0'
1,0,0,14,0,4,28,1,0,0,0.5,0,5.25,1,'0'
1,0,0,7,1,2,64,1,1,0,0.428571,0,7.571429,2,'0'
2,1,1019,19,25,26,2549,0.461538,2,0.148936,0.230072,2,52.957447,11,'0'
2,0,0,1,2,1,5,0,0,1,1,0,4,0,'0'
2,0,6,3,7,2,176,0,0,0.857143,0.583333,1,43,1,'0'
6,1,13,11,1,5,75,1,0,0.996078,0.4,12,11.333333,2,'0'
2,0,36,1,7,8,505,1,4,0.541667,0.319444,3,39.166667,14,'0'
2,0,0,3,2,1,5,0,0,1,1,0,4,0,'0'
1,0,25,3,0,21,1277,0.705882,0,0,0.296296,0,45.666667,7,'0'
2,0,1,1,2,2,65,0,0,0.888889,0.625,0,31.5,7,'0'
7,0,29,2,10,4,396,1,0,0.984985,0.363636,0,34.363636,4,'0'
1,0,6075,6,1,27,5207,0.717391,1,0,0.138067,0,42.347458,9,'1'
2,0,0,1,1,1,6,0,0,1,1,0,4,0,'0'
1,0,2,1,1,6,236,1,0,0,1,0,24.444444,5,'0'
1,0,0,4,2,9,112,1,0,0,0.259259,0,11.222222,3,'0'
1,0,0,2,1,0,218,1,0,0,0.395833,0,16.75,3,'0'
1,0,311,7,3,23,179,1,1,0,0.16,0,5.653846,3,'0'
1,0,1,2,0,0,16,0,0,0,0.75,0,6,0,'0'
1,0,6,6,0,4,4,0,0,0,1,0,0,1,'0'
1,0,0,19,1,10,386,0.125,1,0,0.342857,0,26,6,'0'
1,4,10,4,1,5,48,0,0,0,0.45,0,8.6,2,'0'
7,0,43,4,11,2,1049,0.894737,1,0.980568,0.204082,0,72.571429,9,'0'
2,0,25,2,1,7,177,0,0,0.64,0.30303,3,14.818182,6,'0'
2,1,6,2,6,4,81,1,1,0.666667,0.288889,2,14,2,'0'
1,0,1,3,2,2,2,0,0,0,1,0,0,1,'0'
1,0,898,36,5,28,1472,0.25,2,0,0.083333,0,31.622222,12,'0'
1,0,666,12,15,14,1616,0,0,0,0.153846,0,42.675676,30,'0'
1,0,0,2,0,8,387,1,0,0,0.436364,0,33.818182,4,'0'
1,0,0,1,0,0,6,0,0,0,1,0,3,0,'0'
1,0,90,13,5,9,660,0.6875,5,0,0.169312,0,29.666667,14,'1'
1,0,4,1,3,3,62,1,0,0,0.333333,0,14.25,4,'1'
5,0,106,4,16,3,554,1,3,0.974277,0.215686,4,31.235294,15,'1'
4,0,0,2,1,1,5,0,0,1,1,0,4,0,'0'
2,0,1,1,6,1,30,0,0,0.947368,0.625,1,14,1,'0'
2,0,15,3,13,6,280,0,0,0.782609,0.229167,1,45.666667,1,'0'
1,7,91,7,2,14,38,0,0,0,0.414286,0,1.714286,1,'0'
2,0,4,4,3,4,52,0.25,0,0.5,0.5,1,8.6,1,'0'
7,0,20,2,6,3,294,1,0,0.989442,0.375,5,35.125,5,'0'
1,0,34,26,1,11,237,0.888889,0,0,0.083333,0,16.538462,3,'1'
2,0,6,1,10,1,206,0,0,0.818182,0.433333,1,39.8,1,'0'
2,0,1,1,8,1,28,0,0,0.947368,0.625,1,12.5,1,'0'
1,0,97,12,15,10,623,0.846154,3,0,0.25,0,26.727273,6,'1'
5,0,267,21,16,23,751,0.571429,5,0.957478,0.209524,0,22.774194,12,'1'
2,0,0,1,3,0,77,1,0,0.777778,0.444444,2,24,5,'0'
1,0,1,3,1,2,2,0,0,0,1,0,0,1,'0'
1,0,0,1,1,3,59,1,0,0,0.666667,0,13.25,3,'0'
4,0,33,14,5,11,141,0,0,0.764706,0.363636,2,11.636364,2,'0'
1,0,0,0,5,4,161,1,0,0,0.25,0,30.8,3,'0'
1,0,0,2,1,3,256,1,0,0,0.6,0,48.6,10,'0'
2,0,28,1,17,1,273,0,0,0.72,0.363636,1,33.125,1,'0'
2,0,1,1,11,1,91,0,0,0.947368,0.625,1,44.5,1,'0'
2,0,0,4,2,3,36,1,0,0.6,0.666667,1,10.666667,1,'0'
2,0,1,2,6,1,19,0,0,0.947368,0.666667,0,8,1,'0'
2,0,6,3,13,2,727,0.956522,4,0.461538,0.25,0,77.222222,14,'1'
1,0,0,6,3,5,112,0,1,0,0.533333,0,19.8,2,'0'
3,0,5,1,7,7,153,1,2,0.727273,0.392857,2,19.857143,2,'0'
1,0,0,6,10,1,1130,0.9,4,0,0.386667,0,69,29,'1'
1,0,0,10,10,4,316,0.333333,2,0,0.357143,0,51.166667,2,'0'
2,0,1,1,9,1,36,0,0,0.947368,0.625,1,16,1,'0'
2,0,3,1,10,1,274,0,0,0.9,0.533333,1,90,1,'0'
7,0,3,3,4,3,161,0,0,0.99696,0.555556,0,52.666667,1,'1'
1,0,0,11,1,12,110,1,0,0,0.384615,0,7.307692,2,'1'
1,0,3,1,9,1,110,0,0,0,0.555556,0,35.666667,17,'1'
7,0,9,3,5,4,214,1,1,0.993812,0.3,13,28.714286,8,'0'
1,0,5891,169,60,81,5263,0.964286,9,0,0.053846,0,43.364407,61,'1'
2,0,1,1,11,1,137,0.625,4,0.947368,0.625,1,63.5,1,'0'
2,0,19,8,8,6,53,0,0,0.75,0.457143,1,6.428571,1,'0'
2,0,9,1,4,4,439,0.6,0,0.886364,0.5,3,70.5,13,'1'
5,0,5,5,9,1,140,1,3,0.992401,0.388889,0,21.666667,2,'0'
5,0,5,5,6,3,141,1,2,0.992401,0.5,7,22,1,'0'
6,0,9,4,6,0,134,1,3,0.992378,0.3,0,20.833333,1,'0'
1,0,49,2,1,11,50,1,1,0,0.454545,0,3.363636,1,'0'
2,0,5,8,4,5,86,0.166667,1,0.428571,0.4,1,11.333333,1,'0'
1,0,10,9,1,5,5,0,0,0,0.666667,0,0,1,'0'
1,0,0,1,48,87,23590,0.769231,8,0,0.138015,0,56.05569,46,'0'
3,0,4,1,0,4,82,0,0,0.857143,0.35,2,18.5,1,'0'
2,0,0,7,3,9,552,0.111111,1,0.3,0.273504,0,53.3,13,'0'
1,0,44,4,10,6,487,0.6,0,0,0.180556,0,36.076923,6,'1'
6,0,10,4,4,4,207,1,1,0.990868,0.291667,2,24.375,2,'1'
7,0,2,1,8,4,362,1,1,0.993939,0.466667,0,70.4,4,'0'
7,1,137,4,8,10,767,0.909091,0,0.97474,0.194737,8,38.789474,10,'1'
2,0,1,1,2,2,84,0,0,0.888889,0.625,0,41,9,'1'
6,0,0,2,4,1,338,1,0,0.994056,0.5,4,64.2,3,'0'
1,0,4,1,1,3,137,1,0,0,0.5,0,25.6,3,'0'
1,0,780,69,8,37,1674,0,0,0,0.10625,0,40.825,17,'1'
1,0,21,36,0,7,7,0,0,0,0.52381,0,0,1,'0'
4,0,737,6,12,36,956,0.88,3,0.938953,0.121646,17,20.651163,29,'1'
2,0,6,1,11,1,280,0,0,0.857143,0.45,1,68.75,4,'0'
1,2,5,9,8,7,161,0,2,0,0.255556,0,14.9,3,'0'
2,0,1,1,12,1,214,0,0,0.947368,0.625,2,106,1,'0'
