@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
0,4,28,2,8,1.142857,56,0,0.538462,0.40625,2,5.75,0.75,'1'
0,1,10,1,5,1.25,18,0,0.7,0.6,2,2.2,0.6,'1'
3,3,4,0,5,0.5,29,0,0.944444,0.6,0,4.6,0.2,'1'
0,7,141,4,17,0.814815,253,0,0.407407,0.307018,6,12,0.8947,'1'
0,10,0,0,9,0.25,294,0,0,0.311111,1,31.444444,1.8889,'0'
0,5,2,2,4,0.75,36,2,0,0.36,0,5.4,0.8,'0'
3,18,257,5,16,0.958418,671,14,0,0.2,0,20.233333,1.1333,'1'
0,7,4,3,2,0.333333,46,0,0,0.333333,0,10,0.75,'0'
0,4,72,3,10,0.916667,221,0,0.52381,0.519231,5,15.846154,1.0769,'1'
0,9,3214,4,93,0.981195,1478,34,0.106796,0.313684,6,13.46875,0.9896,'1'
0,5,49,3,9,0.85,106,0,0.578947,0.522727,6,8.454545,0.8182,'1'
0,6,0,1,3,0.25,78,0,0,0.666667,0,24.333333,0.6667,'1'
0,4,43,4,9,0.85,117,0,0.578947,0.522727,6,9.454545,0.8182,'1'
0,5,43,3,9,0.85,116,0,0.578947,0.418182,6,9.363636,1,'1'
0,5,43,3,9,0.85,116,0,0.578947,0.418182,6,9.363636,1,'1'
0,5,4,4,2,0.833333,108,1,0.5,0.4,1,25.5,1.25,'0'
0,14,9,10,5,0.722222,663,0,0,0.166667,0,93.285714,2,'1'
0,48,1888,44,45,0.880784,2248,8,0,0.108571,0,28.355263,1.8421,'1'
0,7,0,1,1,2,1,0,0,1,0,0,1,'0'
0,2,1,1,2,2,10,0,0.75,0.666667,1,3.5,0.5,'0'
0,1,0,0,5,0.2,266,0,0,0.166667,0,43.166667,2,'1'
0,9,3,7,3,2,121,0,0,0.583333,0,39.333333,0.6667,'1'
0,7,193,4,45,0.879348,856,12,0.2,0.32766,6,16.787234,1,'1'
0,6,66,4,11,0.777778,175,0,0.52381,0.333333,6,12.230769,1.1538,'1'
0,18,0,16,24,0.723077,553,2,0,0.183761,0,19.296296,1.4815,'1'
0,6,479,4,35,0.898649,536,6,0.244444,0.335135,6,12.684211,0.9211,'0'
0,6,217,4,23,0.864,341,3,0.333333,0.352,6,11.730769,0.8846,'1'
2,6,19,4,6,0.611111,71,2,0,0.325,0,5.9,1.3,'0'
0,11,3,1,3,1.5,6,0,0,0.666667,0,0,1,'1'
0,5,9,3,11,0.25,92,0,0,0.454545,0,7.181818,0.6364,'0'
0,5,119,4,17,0.824074,281,0,0.407407,0.460526,6,13.473684,0.8947,'1'
0,5,6,1,4,2,4,0,0,0.583333,0,0,1,'0'
0,7,174,3,19,0.961765,285,0,0.37931,0.452381,6,11.761905,0.9048,'1'
0,5,49,3,9,0.85,112,0,0.578947,0.418182,6,9,0.9091,'1'
0,4,21,3,11,0.533333,90,0,0,0.454545,0,6.909091,0.6364,'0'
0,5,49,3,9,0.85,112,0,0.578947,0.418182,6,9,0.9091,'0'
0,1,15,0,6,1.177143,275,2,0.915254,0.3,2,39,1.1667,'1'
4,5,6,1,1,2,15,0,0,0.666667,0,2.75,0.75,'0'
0,5,43,3,9,0.8,182,0,0.578947,0.418182,6,15.363636,1.0909,'0'
0,4,1,1,2,2,10,0,0.75,0.666667,1,3.5,0.5,'0'
0,9,0,0,1,2,1,0,0,1,0,0,1,'0'
0,6,36,3,7,1.125,72,0,0.647059,0.555556,6,6.888889,0.7778,'1'
0,5,1,4,0,2,82,0,0,0.5,0,40,0.5,'0'
0,4,30,4,9,0.90625,106,4,0.5,0.388889,2,9.888889,0.7778,'1'
0,5,217,5,33,0.923274,642,6,0.255814,0.280952,6,16.685714,0.9429,'1'
0,7,9,3,11,0.25,85,0,0,0.522727,0,6.545455,0.6364,'0'
0,4,35,3,9,0.8,119,0,0.578947,0.418182,6,9.636364,0.8182,'1'
15,21,28,13,8,2,166,0,0,0.458333,0,19.75,2.625,'1'
0,4,66,2,11,1.090909,97,0,0.4375,0.333333,2,6.833333,1.0833,'1'
0,3,0,3,2,0,14,1,0,0.666667,0,5.5,0.5,'0'
0,4,43,4,9,0.85,117,0,0.578947,0.522727,6,9.454545,0.8182,'1'
0,4,171,3,19,2,126,0,0.581395,0.526316,0,5.631579,0.9474,'1'
0,7,87,5,12,0.871429,230,0,0.478261,0.516667,5,14,1,'0'
0,4,0,1,1,2,1,0,0,1,0,0,1,'0'
0,5,94,4,15,0.8125,240,0,0.44,0.470588,6,12.823529,0.8824,'1'
0,6,312,4,26,0.796296,434,0,0.305556,0.21875,6,14.285714,1.8571,'1'
0,6,40,5,15,0.830357,250,2,0.44,0.376471,6,13.294118,0.8824,'1'
0,5,43,3,9,0.85,117,0,0.578947,0.418182,6,9.454545,1,'1'
1,11,0,5,6,0.357143,278,0,0.823529,0.375,1,33.5,1.625,'0'
0,8,252,4,22,0.782609,366,0,0.34375,0.305556,6,14.041667,1.7917,'1'
0,3,28,2,8,1.142857,56,0,0.538462,0.40625,2,5.75,0.75,'1'
0,2,4,1,2,0.333333,146,0,0,0.466667,0,35.25,1.25,'0'
0,5,49,3,9,0.975,108,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,6,164,5,23,0.828704,412,2,0.333333,0.352,6,15.12,0.92,'1'
0,8,349,5,18,0.888288,1625,1,0.23913,0.243421,7,41.368421,2.3158,'1'
0,39,1269,34,24,0.892573,2395,2,0,0.187192,0,39.372881,1.4407,'1'
0,6,9,2,5,0.5,48,1,0.848485,0.342857,0,5.714286,0.7143,'0'
0,2,15,0,6,1.2,137,0,0,0.333333,0,21.666667,2,'1'
0,6,3,1,3,1.5,38,0,0.6,0.555556,1,11.333333,1,'0'
0,6,54,2,8,0.924242,222,1,0.230769,0.3125,2,17,1.3333,'0'
0,6,104,4,15,0.883929,293,1,0.44,0.485294,6,15.823529,1.1765,'1'
0,1,0,0,0,2,5,0,0,0,0,0,0,'0'
0,1,3,1,2,2,315,0,0,0.333333,0,104,0.6667,'1'
0,0,0,0,24,0.388889,629,0,0,0.313333,1,24.04,2.6,'0'
0,6,1,6,2,2,28,0,0,0.5,0,13,0.5,'1'
0,12,36,0,9,2,9,0,0,0.555556,0,0,1,'1'
0,5,49,3,9,0.85,106,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,5,43,3,9,0.85,116,0,0.578947,0.418182,6,9.363636,1,'0'
0,4,0,0,24,0.388889,629,0,0,0.36,1,24.04,2.6,'0'
0,3,78,1,16,0.533333,172,0,0,0.291667,0,9.5,1.625,'0'
0,8,190,7,13,2,433,0,0,0.2,0,20.65,1.7,'0'
0,8,213,4,20,0.75,330,0,0.366667,0.310606,6,13.818182,1.8636,'1'
0,5,49,3,9,0.933333,106,0,0.578947,0.418182,6,8.363636,0.8182,'1'
0,6,122,5,19,0.94,334,1,0.37931,0.301587,6,14.190476,0.9048,'1'
0,4,119,4,17,0.901235,284,0,0.407407,0.460526,6,13.473684,0.8947,'1'
0,3,64,2,11,0.833333,144,0,0.52381,0.5,6,9.769231,0.7692,'1'
0,5,9,3,11,0.25,92,0,0,0.454545,0,7.181818,0.6364,'0'
0,0,0,0,0,2,4,0,0,0,0,0,0,'0'
0,3,6,0,4,2,4,0,0,0.75,0,0,1,'0'
0,4,28,2,8,1.142857,56,0,0.538462,0.40625,2,5.75,0.75,'1'
0,99,0,0,1,2,5,0,1,1,0,4,0,'0'
0,5,0,5,21,0.744318,387,6,0.354839,0.356522,6,15.478261,0.913,'1'
0,5,56,4,11,0.805556,158,0,0.52381,0.5,6,10.923077,0.8462,'1'
0,8,3,2,1,2,27,0,0.971429,0.666667,1,8,0.3333,'0'
0,5,10,4,5,2,32,0,0.555556,0.5,0,5.4,0.8,'0'
4,4,4,0,4,0.333333,46,0,0,0.666667,0,10.25,1,'0'
0,6,93,5,17,0.796296,285,1,0.407407,0.368421,6,13.684211,0.8947,'1'
0,13,0,3,11,0.642857,271,1,0.45,0.25641,2,19.307692,0.9231,'0'
0,16,65,12,19,0.75,984,4,0,0.147929,0,36.076923,2.8846,'1'
0,26,31,0,5,0.577778,414,0,0,0.206349,0,39.9,1.2,'1'
0,6,49,3,9,0.85,106,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,5,77,3,11,0.876923,202,0,0.5,0.517857,5,13.071429,1,'1'
0,9,21,0,5,2,350,0,0,0.306122,0,49,3.5714,'1'
0,5,0,2,19,0.978947,140,1,0,0.258333,0,5.25,0.95,'1'
0,5,43,3,9,0.85,117,0,0.578947,0.418182,6,9.454545,1,'1'
0,4,36,3,7,1.125,72,0,0.647059,0.555556,6,6.888889,0.7778,'0'
0,3,6,2,4,2,4,0,0,0.583333,0,0,1,'0'
0,5,0,2,3,0.666667,28,2,0,0.4375,0,5.25,0.75,'0'
0,5,91,5,21,0.795455,375,3,0.354839,0.356522,6,14.956522,0.913,'1'
0,6,66,4,11,0.777778,174,0,0.52381,0.333333,6,12.153846,1.1538,'1'
0,6,43,4,9,0.85,156,0,0.578947,0.418182,6,13,0.9091,'1'
0,2,201,2,23,0.833333,379,0,0.25,0.369565,2,15.217391,1.1304,'1'
0,11,0,9,10,0.566667,210,1,0,0.272727,0,17.818182,1.0909,'0'
0,2,0,0,0,2,41,0,0,0,0,0,0,'0'
0,5,43,3,9,0.85,106,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,10,252,4,22,0.782609,365,0,0.34375,0.261905,6,14,1.7917,'1'
0,9,297,9,4,0.659004,583,0,0,0.353448,0,18.133333,1.9,'1'
0,13,0,0,1,2,1,0,0,1,0,0,1,'0'
0,8,84,5,16,0.673913,451,3,0,0.183333,0,17.541667,1.7083,'0'
0,20,0,14,14,0.5,453,3,0,0.198864,0,27.0625,1.0625,'0'
0,6,27,4,8,0.809524,222,2,0,0.5,0,20.5,1.5,'1'
0,5,36,3,7,1.125,72,0,0.647059,0.555556,6,6.888889,0.7778,'0'
0,1,0,0,0,2,6,0,0,1,0,3,0,'0'
0,4,35,3,12,0.673077,183,0,0.458333,0.297619,5,11.785714,1.5714,'1'
0,5,141,3,17,0.865079,266,0,0.407407,0.368421,6,12.631579,0.8947,'1'
0,7,28,2,21,0.895833,840,0,0,0.485714,0,32.36,2.84,'0'
0,0,0,0,1,2,51,0,0,1,0,3,0,'1'
40,40,10,38,5,1.25,288,0,0,0.8,0,56.4,0.8,'1'
0,10,366,4,34,0.865306,621,5,0.25,0.282407,6,15.861111,1.1389,'1'
0,2,6,1,4,2,20,0,1,0.666667,0,4,0,'1'
0,5,49,3,9,0.975,108,0,0.578947,0.522727,6,8.454545,0.8182,'1'
0,6,85,4,13,0.814286,209,0,0.478261,0.322222,6,12.6,0.8667,'1'
0,5,110,3,15,0.833333,232,0,0.44,0.470588,6,12.294118,0.8824,'1'
1,14,176,10,16,0.725,353,4,0,0.3625,0,15.428571,1,'1'
0,5,15,1,6,2,6,0,0,0.583333,0,0,1,'0'
0,5,1,0,2,2,2,0,0,0.75,0,0,1,'0'
0,4,34,3,11,0.75,191,0,0.478261,0.294872,5,13.307692,1.6923,'1'
0,7,3,4,3,1.5,168,0,0.6,0.777778,4,54.666667,1.6667,'0'
1,1,4,0,5,0.5,29,0,0.944444,0.6,0,4.6,0.2,'1'
0,116,463,2,27,0.866667,340,0,0,0.203704,0,9.870968,1.0968,'1'
0,3,26,1,7,0.857143,219,1,0.9,0.342857,1,25.875,1.125,'1'
0,5,66,3,11,0.805556,140,0,0.52381,0.4,6,9.538462,0.8462,'0'
0,12,1,6,1,0,257,1,0,0.514286,0,35.571429,0.7143,'0'
0,4,6,1,4,2,20,0,1,0.666667,0,4,0,'1'
0,5,49,3,9,1,109,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,5,66,3,11,0.805556,140,0,0.52381,0.5,6,9.538462,0.8462,'1'
0,15,1362,7,17,0.927083,1806,1,0.25,0.265306,7,30.473684,2.5263,'0'
0,4,0,3,0,0.333333,163,0,0,0.5,0,25.666667,2.3333,'0'
0,8,1,6,5,0.809524,314,5,0.333333,0.571429,2,42.857143,1.4286,'1'
0,4,36,3,7,1.125,72,0,0.647059,0.555556,6,6.888889,0.7778,'0'
0,4,48,2,10,0.890909,171,0,0.4375,0.35,2,12.833333,1.5,'1'
0,6,0,5,21,0.838843,386,5,0.354839,0.297101,6,15.304348,0.913,'1'
0,6,694,4,45,0.911702,677,8,0.2,0.27305,6,12.6875,0.9375,'1'
0,8,535,5,30,0.941176,396,0,0.255814,0.225,5,10,1.6,'1'
2,5,0,3,4,0.5,107,2,0,0.458333,0,16.5,1.1667,'0'
0,5,49,3,9,0.85,106,0,0.578947,0.522727,6,8.454545,0.8182,'1'
0,4,43,4,9,0.85,117,0,0.578947,0.522727,6,9.454545,0.8182,'1'
0,6,210,4,21,0.875,368,0,0.34375,0.298611,6,14,1.2083,'1'
0,6,6,2,4,2,4,0,0,0.666667,0,0,1,'0'
100,115,85,0,11,0.846154,125,0,0,0.5,0,7.642857,0.7857,'1'
0,7,183,4,27,0.864943,391,9,0.297297,0.287356,6,11.633333,0.9,'1'
0,5,148,4,19,0.971053,334,0,0.37931,0.452381,6,14,0.9048,'1'
0,1,26,0,3,1.047619,169,0,0,0.2,0,19.75,1.25,'1'
0,5,43,3,9,0.85,117,0,0.578947,0.418182,6,9.454545,1,'1'
0,6,0,3,3,0,97,0,0,0.5,0,23,1.75,'0'
0,4,43,4,9,1,120,0,0.578947,0.522727,6,9.454545,0.8182,'1'
0,5,66,3,11,0.805556,140,0,0.52381,0.5,6,9.538462,0.8462,'0'
0,35,106,27,13,0.354167,453,2,0,0.144796,0,25.470588,1.1176,'1'
0,13,57,13,13,0.607843,316,2,0.346154,0.172222,1,16.388889,1.1667,'1'
0,4,28,2,8,1.142857,56,0,0.538462,0.40625,2,5.75,0.75,'1'
0,2,10,2,5,1.1,41,0,0.7,0.6,2,6.2,0.6,'1'
0,5,49,3,9,0.85,106,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,5,49,3,9,0.85,106,0,0.578947,0.522727,6,8.454545,0.8182,'0'
0,6,65,4,12,0.794872,234,0,0.5,0.4,6,15.5,1.0714,'1'
0,6,43,3,9,0.85,117,0,0.578947,0.418182,6,9.454545,1,'1'
0,4,5,2,8,0.740741,223,0,0.3,0.228571,2,21,1.2,'1'
0,17,3,17,6,0.083333,282,1,0,0.303571,0,39,1.8571,'0'
0,2,1,0,1,2,39,0,0,0.5,0,18.5,1.5,'0'
0,9,511,5,35,0.938063,603,4,0.244444,0.239382,6,14.236842,0.9737,'1'
0,25,107,0,18,0.382353,170,0,0,0.433333,0,8.333333,1.2222,'0'
0,2,0,0,0,2,9,0,0,0,0,0,0,'1'
0,6,79,3,13,0.785714,251,0,0.478261,0.483333,6,15.533333,1.2,'1'
0,6,0,5,17,0.712963,297,4,0.407407,0.368421,6,14.315789,0.8947,'1'
0,7,13,7,6,0.6,233,0,0,0.375,0,37.666667,1.6667,'1'
0,0,0,0,0,2,4,0,0,0,0,0,0,'0'
0,17,5,17,6,0.55,247,2,0,0.375,0,39.5,2.6667,'0'
2,7,0,5,10,0,53,1,0.64,0.55,2,4.2,0.9,'1'
0,5,49,3,9,0.85,106,0,0.578947,0.522727,6,8.454545,0.8182,'1'
0,3,4,0,5,0.428571,90,0,0.416667,0.425,1,9.875,0.875,'0'
0,16,0,13,39,0.832447,617,3,0,0.165957,0,11.6875,1.2708,'1'
0,3,6,1,4,2,20,0,1,0.666667,0,4,0,'1'
0,5,109,4,17,0.81746,265,1,0.407407,0.368421,6,12.578947,0.8947,'0'
0,9,30,7,6,0.75,55,1,0.529412,0.407407,1,5,0.8889,'0'
0,3,21,2,7,2,21,0,0.538462,0.357143,2,2,0.8571,'1'
0,9,1,7,2,2,24,0,0,0.5,0,11,0.5,'0'
0,5,43,3,9,0.85,117,0,0.578947,0.418182,6,9.454545,1,'1'
0,5,112,3,15,0.8125,208,0,0.44,0.470588,6,10.941176,0.8824,'1'
0,7,2,6,5,0.75,103,2,0,0.36,0,18.8,0.8,'1'
