@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
1,0,12,51,67,8,0.641026,764,2,0.401709,0,53.357143,1.1429,'1'
2,0,4,16,0,6,0.333333,179,2,0.47619,1,24.142857,0.8571,'0'
3,0,4,6,0,2,0,35,1,0.75,0,16,0.5,'0'
1,0,7,55,0,22,0.344,707,4,0.184615,0,25.807692,1.1538,'1'
2,0,9,38,0,4,0.75,354,6,0.211538,1,25.153846,0.9231,'1'
1,0,16,10,45,10,2,10,0,0.288889,0,0,1,'1'
2,0,4,5,0,3,0.666667,65,1,0.47619,0,14.5,2,'1'
1,0,2,18,6,3,2,102,0,0.25,0,24.5,1,'0'
3,0,4,5,1,2,2,21,0,0.75,0,9.5,0.5,'0'
2,0,15,56,0,17,0.668571,601,1,0.174825,1,21.846154,1.3462,'1'
2,0,6,25,0,5,0.520833,201,2,0.309524,1,26.571429,0.8571,'1'
1,0,11,37,0,7,0.690476,348,2,0.309524,0,47.714286,0.8571,'1'
1,0,3,10,45,10,2,10,0,0.6,0,0,1,'0'
1,0,5,12,0,0,0.583333,94,2,0.533333,0,16.6,0.8,'1'
1,0,6,7,3,2,2,21,0,0.666667,0,6,0.6667,'0'
1,0,18,51,145,15,0.920635,437,0,0.25731,0,21.631579,1.4737,'1'
1,0,6,39,0,5,0.6,337,1,0.333333,0,54.333333,1.3333,'1'
2,0,13,80,193,21,0.814103,479,0,0.181481,1,16.518519,1.037,'1'
2,0,10,32,0,7,0.545455,409,2,0.285714,1,43.222222,1,'0'
2,0,8,25,0,8,0.3125,133,2,0.222222,2,13.555556,1.2222,'1'
1,10,13,13,0,8,0.454545,275,0,0.444444,0,21.666667,2.0833,'0'
1,2,42,25,108,15,0.866667,91,1,0.185185,0,4.5625,0.875,'1'
3,0,5,29,53,6,0.692308,514,1,0.333333,1,34.928571,2.2857,'0'
1,2,16,14,13,5,0.8,58,0,0.6,0,8.5,0.6667,'1'
3,0,6,30,0,11,0.416667,176,1,0.192308,2,12.384615,1.3077,'0'
3,0,11,13,1,3,2,70,0,0.533333,1,22.333333,1.3333,'0'
1,0,2,9,1,2,2,48,0,0.666667,0,23,3,'0'
5,0,3,4,1,1,2,9,0,0.666667,1,3.5,0.5,'0'
1,0,3,19,2,6,0.178571,116,2,0.34375,0,13,1,'1'
2,0,6,38,0,11,0.384615,318,0,0.171429,2,21.571429,1.5714,'1'
1,0,7,38,0,0,0.888889,224,3,0.375,0,53.5,1,'1'
2,0,5,17,0,4,0.52381,108,1,0.3,1,12.125,0.875,'1'
2,2,7,14,8,6,0.5,103,2,0.407407,1,10.222222,1,'0'
1,0,19,8,28,8,2,8,0,0.3,0,0,1,'0'
2,0,29,123,576,19,0.883861,1200,8,0.136752,1,28.575,1.75,'1'
2,0,15,55,98,4,0.833333,498,2,0.296296,1,29.875,1.5625,'1'
2,0,2,13,0,4,0.166667,57,1,0.5625,0,12.75,1,'1'
2,0,20,60,79,19,0.742857,439,0,0.119048,2,18.727273,1.7273,'1'
1,0,8,6,0,0,0.125,100,0,0.55,0,18.2,0.4,'0'
1,0,58,21,0,9,0.136364,128,0,0.291667,1,9.5,1.1667,'1'
2,0,8,18,9,6,0.5,89,1,0.265306,2,11.571429,1.5714,'1'
4,0,12,29,0,12,0,113,1,0.219697,0,8.333333,0.9167,'1'
2,0,9,49,0,19,0,142,1,0.21875,1,4.875,0.9583,'1'
2,0,9,27,15,4,0.333333,382,0,0.3375,1,37.1,0.9,'1'
2,0,5,9,3,0,2,47,0,0.555556,1,14.666667,1.6667,'0'
1,0,15,7,1,2,2,21,0,0.5,0,9.5,1,'0'
1,1,19,2,0,1,2,12,0,1,0,9,0,'0'
3,0,3,6,0,2,0,41,0,0.666667,0,18.5,0.5,'0'
2,0,19,32,1,13,0.346154,157,1,0.202381,1,10.071429,0.7143,'1'
3,0,3,18,0,4,0.55,387,1,0.4,1,75.4,4.8,'0'
1,0,40,6,15,6,2,6,0,0.416667,0,0,1,'0'
1,15,33,11,34,7,0.875,47,1,0.416667,0,4.111111,0.8889,'0'
1,4,80,108,1504,43,0.867347,724,3,0.115288,0,11.578947,1.1754,'1'
2,0,6,13,0,6,0.5,197,0,0.333333,0,26.857143,0.1429,'0'
1,0,8,36,8,0,0.625,648,4,0.246914,0,70.222222,1.2222,'1'
1,0,5,38,153,7,0.848485,3709,1,0.380952,0,166.090909,13.7727,'1'
3,0,2,14,0,5,0,49,0,0.333333,1,7,0.8333,'0'
3,0,3,16,3,3,2,178,0,0.444444,0,58.333333,1.3333,'1'
1,0,9,22,0,14,0.852041,297,3,0.380952,0,17.866667,0.8,'0'
2,0,5,6,3,2,2,16,0,0.5,1,4.333333,0.6667,'0'
1,0,2,25,3,13,0.602564,237,0,0.404762,0,15.5,0.9286,'0'
3,0,5,20,5,5,0.825,247,1,0.333333,1,38.833333,3.6667,'0'
1,0,12,22,61,13,0.692308,175,3,0.320513,0,11.285714,0.7143,'0'
2,0,3,10,21,7,2,54,0,0.5,1,6.714286,0.8571,'0'
2,0,5,24,0,10,0.444444,313,0,0.3,2,29.8,3.1,'0'
2,6,7,4,0,1,0,13,1,0.75,0,5,0.5,'0'
2,0,5,4,1,0,2,37,0,0.666667,1,17.5,2,'1'
3,0,5,10,1,2,1,48,0,0.75,0,22.5,0.5,'0'
1,0,2,2,0,0,2,18,3,1,0,12,0,'0'
1,0,33,19,41,10,0.633333,186,0,0.309091,0,15.636364,1.4545,'1'
1,0,7,14,0,0,0.75,108,4,0.4,0,19.4,1.6,'0'
1,1,11,23,16,8,0.670455,420,4,0.197917,0,32.666667,0.9167,'1'
2,0,10,38,43,14,0.75,246,2,0.595238,0,16.285714,0.9286,'1'
2,0,9,43,0,11,0.589286,302,0,0.191667,2,18.866667,1.8,'0'
1,0,6,52,95,7,0.748918,563,5,0.194805,0,24.090909,1.5,'1'
1,0,12,28,19,5,0.64,338,6,0.324675,0,28.818182,1.1818,'1'
1,0,4,4,3,3,1.4375,23,2,0.5,0,4,1,'0'
3,0,6,27,0,9,0.111111,116,1,0.214286,2,10.5,1.3,'1'
1,0,2,5,1,1,2,36,0,0.5,0,17,2,'0'
3,0,3,8,2,5,0.666667,93,1,0.36,1,17,1.2,'1'
1,3,34,28,247,22,0.909091,131,1,0.273913,0,4.652174,0.9565,'1'
1,6,13,4,3,3,2,8,0,0.666667,0,1.666667,0.6667,'0'
2,1,6,34,1,8,0.460317,288,1,0.5,1,27.1,0.8,'1'
1,0,4,25,0,6,0.52,241,1,0.242857,0,20.454545,1.4545,'0'
2,2,3,11,8,8,0.5,175,0,0.333333,1,18,0.8889,'1'
1,0,7,10,2,8,0.666667,83,1,0.5,1,7.888889,1.1111,'0'
1,0,9,34,93,22,0.704545,726,0,0.198068,0,30.043478,1.8261,'1'
2,0,3,4,1,2,2,10,0,0.666667,0,4,0.5,'0'
2,1,13,80,53,18,0.854545,938,0,0.296,0,34.653846,1,'1'
1,0,7,18,0,10,0.333333,107,2,0.375,1,9.5,1.4,'1'
