@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
0,13,24,69,12,723,0.571429,0,0.454545,0.205128,0,49.142857,1,'0'
0,6,22,1,2,172,0,0,0,0.5,0,85,1,'0'
1,6,9,21,1,15,0,0,0,0.428571,0,1.142857,1,'1'
0,8,8,15,1,30,0,2,0.444444,0.333333,0,3.666667,1,'0'
0,4,7,3,3,28,0,0,0,0.833333,0,8.333333,2,'0'
3,16,3,1,2,5,0,0,0,1,0,1.5,1,'1'
0,2,2,0,0,18,0,3,0,1,0,12,0,'0'
0,2,4,0,2,33,1,0,0,0.666667,0,14.5,3,'0'
1,41,21,64,11,197,1,0,0,0.292308,0,13.923077,4,'1'
0,17,5,10,5,5,0,0,0,0.6,0,0,1,'1'
0,7,14,0,0,108,0.333333,4,0,0.4,0,19.4,5,'1'
0,2,10,5,5,1311,1,0,0.428571,0.416667,0,185.142857,5,'1'
0,5,12,0,5,387,0.2,1,0,0.4,0,61.833333,4,'0'
0,0,25,3,2,165,0,0,0,0.333333,0,54,1,'0'
0,1,15,4,6,240,0.5,1,0,0.309524,0,28.25,8,'0'
0,9,40,70,16,267,1,2,0.575758,0.5,5,15.375,1,'0'
0,14,52,0,5,584,0.333333,5,0.352941,0.179487,0,43,20,'0'
0,7,6,0,2,83,0.125,7,0,0.555556,1,17.75,5,'1'
0,10,20,0,6,84,1,1,0.285714,0.416667,2,12.833333,2,'1'
0,9,18,0,7,228,0.5,0,0.714286,0.357143,2,27.25,1,'1'
0,3,15,11,6,110,1,0,0.555556,0.388889,0,16.666667,4,'0'
0,4,15,0,6,113,1,2,0.615385,0.5,3,17.333333,1,'1'
0,12,66,99,2,1164,0.470588,4,0,0.231405,0,48.869565,2,'0'
0,0,18,0,3,127,0.5,0,0,0.333333,0,29.25,6,'1'
0,4,22,32,10,135,0.8,1,0,0.269231,1,9,7,'0'
0,3,15,2,3,708,0.5,0,0.7,0.333333,2,139.8,79,'0'
0,7,63,208,11,531,0.769231,2,0.08,0.178571,0,19.72,4,'1'
0,3,5,0,1,33,1,0,0.923077,0.5,4,14.5,1,'0'
0,4,8,0,3,28,1,1,0.5,0.666667,1,8,1,'1'
0,1,16,99,14,3574,0,0,0,0.339286,0,237.2,8,'1'
0,15,96,60,8,1498,0.5,1,0,0.1875,0,113.769231,3,'1'
0,3,17,19,0,133,0.5,1,0,0.386364,0,10.545455,2,'0'
0,2,6,10,4,15,0,0,0.5,1,2,2,1,'0'
0,8,2,0,1,5,0,0,1,1,0,4,0,'0'
0,12,22,61,13,175,0,3,0,0.320513,0,11.285714,3,'1'
0,12,10,2,5,74,0,4,0.5,0.4,0,13,3,'1'
0,44,392,6747,88,8474,0.737705,12,0,0.070034,0,49.680723,7,'1'
0,6,27,0,11,348,1,0,0.571429,0.287879,3,30.090909,15,'1'
0,4,8,3,3,31,0,0,0.714286,0.777778,2,9.333333,1,'1'
0,9,16,91,14,228,0,0,0,0.261905,0,15.285714,2,'1'
1,4,22,0,1,481,1,1,0,0.5,0,45.7,2,'0'
0,9,41,2,15,386,0.333333,0,0.633333,0.3625,6,22.9375,2,'1'
0,22,46,0,4,770,0,6,0.222222,0.232143,1,83.111111,12,'1'
2,9,9,28,0,16,0,1,0,0.267857,0,0.875,1,'0'
5,20,8,15,5,17,0,0,0.705882,0.5,1,1.833333,1,'1'
2,7,14,8,6,103,1,2,0.384615,0.407407,2,10.222222,2,'0'
1,22,95,0,21,1118,1,1,0.730769,0.126689,11,29.027027,6,'1'
1,34,168,2716,44,3477,0.571429,12,0,0.093421,0,41.407407,23,'1'
0,19,40,17,2,599,0,6,0.4,0.222222,0,52.363636,15,'1'
1,39,183,1464,28,2234,0.580645,13,0.605096,0.139194,15,33.421875,30,'1'
0,5,8,3,3,31,0,0,0.714286,0.777778,2,9.333333,1,'1'
0,22,62,172,5,438,0.75,3,0.4,0.245614,4,20.7,7,'1'
0,6,25,0,0,378,0,1,0.75,0.5,3,74.2,26,'0'
4,8,11,8,8,54,1,0,0.416667,0.3125,2,5.625,4,'1'
7,23,3,1,2,5,0,0,0,0.666667,0,1.5,1,'1'
0,13,25,46,3,364,0,5,0.352941,0.19697,0,26.307692,14,'0'
2,5,9,21,6,18,0,0,0,0.47619,0,1.571429,1,'0'
0,7,32,0,12,224,1,2,0.566667,0.214286,2,14.857143,6,'1'
0,5,15,4,2,133,0.5,0,0.777778,0.416667,2,31.25,1,'0'
0,8,19,8,7,93,1,1,0.631579,0.25,3,10.5,5,'1'
0,14,31,0,13,120,1,1,0.6,0.205128,0,8.153846,1,'1'
0,12,57,0,23,200,1,1,0.73,0.185714,9,6.107143,1,'1'
0,2,27,18,6,567,1,0,0,0.314286,0,68.875,8,'1'
0,3,11,3,2,30,0,0,0.958333,0.555556,1,8.666667,1,'1'
0,5,9,3,0,47,0,0,0.857143,0.555556,3,14.666667,4,'0'
0,21,37,0,2,340,0.333333,6,0.5,0.466667,0,110.333333,1,'1'
0,4,22,0,14,227,1,0,0,0.428571,1,15,6,'0'
0,4,7,0,3,36,0,1,0.666667,0.6,0,9.666667,1,'0'
0,10,7,10,3,28,0,2,0.5,0.4,0,4.2,1,'0'
0,6,25,0,10,180,1,2,0,0.325,0,16.4,3,'1'
0,6,6,10,4,11,0,1,0,0.7,0,1,1,'1'
0,23,47,0,7,1605,0.291667,11,0.181818,0.157895,0,78.05,12,'0'
0,16,69,0,24,801,1,1,0.701923,0.170799,9,23.030303,4,'1'
0,3,2,0,1,5,0,0,1,1,0,4,0,'0'
1,7,25,0,5,190,1,2,0.571429,0.309524,3,25,1,'1'
0,10,48,0,13,359,1,0,0.586207,0.211538,2,26.307692,7,'1'
0,13,46,32,3,409,0.5,1,0.416667,0.25,0,44,1,'0'
0,4,10,0,0,182,1,2,0.625,0.625,1,41.75,2,'0'
0,5,30,0,0,227,0,0,0,0.3,0,43.6,7,'1'
0,5,51,253,7,3060,0.210526,1,0,0.405882,0,85.885714,112,'1'
0,7,7,3,2,21,0,0,0,0.666667,0,6,1,'1'
1,11,20,9,6,74,0,1,0.666667,0.265306,3,9.428571,4,'1'
5,38,8,15,6,21,0,0,0,0.583333,0,2.5,1,'1'
2,3,15,8,7,48,0,0,0.5,0.5,1,4.875,1,'0'
0,7,17,0,5,71,1,1,0.333333,0.533333,1,13,1,'0'
0,13,42,0,2,599,0.571429,5,0,0.3,0,97.666667,1,'1'
0,10,31,0,7,409,1,2,0.5,0.285714,3,43.222222,2,'1'
0,7,12,1,1,52,0,0,0.947368,0.833333,0,25,5,'1'
0,7,21,9,6,120,0.333333,1,0.705882,0.333333,3,15.714286,6,'1'
0,19,77,170,0,1041,0.846154,5,0,0.208333,0,40.12,5,'1'
9,12,14,8,9,293,1,0,0,0.461538,0,21.307692,7,'1'
15,54,39,72,12,249,1,0,0,0.230769,0,18.076923,9,'1'
0,5,18,4,4,112,1,2,0,0.35,0,20,2,'1'
2,53,26,124,16,94,1,1,0,0.18125,0,4.411765,1,'1'
0,9,28,0,6,149,1,1,0.705882,0.333333,3,23.666667,4,'1'
0,5,32,10,9,245,0.1875,1,0.4375,0.287879,3,18.083333,1,'1'
0,3,19,2,5,188,0.8,0,0.625,0.428571,0,35.6,18,'0'
0,7,21,9,6,120,0.333333,1,0.705882,0.333333,3,15.714286,6,'1'
0,6,21,0,5,90,0.666667,0,0.5,0.375,2,11.428571,3,'0'
0,2,10,0,4,83,0,0,0,0.4,0,19.5,2,'0'
0,1,44,13,13,1158,1,0,0,0.253086,0,41.592593,26,'0'
0,25,4,6,4,4,0,0,0,0.5,0,0,1,'0'
0,4,9,0,3,31,0.5,0,0.25,0.416667,0,6.25,1,'1'
2,28,17,19,5,72,0,0,0,0.388889,0,9,1,'1'
0,8,29,0,7,118,1,1,0.333333,0.375,1,13.625,3,'1'
0,8,38,0,9,695,1,0,0.222222,0.314815,2,75.555556,14,'1'
0,2,2,1,2,2,0,0,0,0.666667,0,0,1,'0'
0,6,21,0,5,97,0.333333,0,0.5,0.375,2,12.428571,3,'0'
0,4,16,0,6,179,1,2,0.571429,0.47619,3,24.142857,1,'1'
0,4,18,2,2,78,0.333333,1,0.777778,0.416667,2,17.75,1,'0'
0,10,44,1,0,658,0.52381,7,0,0.366667,0,56.909091,7,'1'
0,3,15,0,0,158,1,0,0.5625,0.425,3,17.875,1,'0'
1,22,53,0,14,577,1,1,0.605263,0.23125,5,34.875,6,'1'
0,11,39,0,4,394,0.533333,6,0.294118,0.211538,2,28.153846,1,'0'
0,13,48,12,13,413,1,0,0.428571,0.158824,4,23.058824,7,'1'
0,4,27,7,4,135,0.5,0,0,0.388889,0,17.714286,5,'1'
0,5,26,80,8,207,0.857143,0,0.083333,0.214286,0,11.5,2,'1'
1,7,7,15,0,9,0,0,0,0.366667,0,0.5,1,'0'
0,6,7,0,3,123,1,1,0.625,0.458333,0,27.75,5,'0'
1,7,37,0,9,357,1,1,0.444444,0.416667,3,28.083333,1,'1'
0,2,1,0,0,179,0,0,0,0,0,140,0,'0'
1,7,8,21,0,15,0,1,0,0.342857,0,1,1,'0'
0,24,64,72,2,856,0.2,2,0.388889,0.155556,1,64.461538,4,'1'
0,14,43,10,5,498,0,3,0.352941,0.208333,0,36.692308,9,'1'
0,3,5,0,3,27,0,0,0.892857,0.5,2,5.5,1,'1'
0,11,10,2,8,83,0.666667,1,0,0.5,1,7.888889,5,'1'
0,7,21,9,6,120,0.333333,1,0.705882,0.333333,3,15.714286,6,'1'
2,5,3,1,2,5,0,0,0.666667,0.75,0,1.5,1,'0'
1,7,13,0,4,117,1,2,0.25,0.5,0,18,4,'1'
0,5,7,0,3,106,0.142857,1,0,0.666667,0,32,2,'0'
0,4,8,3,3,31,0,0,0.714286,0.777778,2,9.333333,1,'1'
2,18,97,114,24,1037,0.8,0,0.413043,0.267857,8,34.413793,3,'1'
0,3,19,7,3,107,0.5,0,0.636364,0.4,3,16.166667,1,'1'
0,7,18,0,10,104,1,2,0,0.375,1,9.2,4,'0'
0,2,3,3,3,3,0,0,0,1,0,0,1,'0'
0,2,12,0,5,82,0.5,0,0.5,0.466667,2,15,1,'0'
0,4,7,6,4,24,1,2,0.571429,0.625,0,3.4,1,'0'
1,23,2,0,1,12,0,0,0,1,0,9,0,'1'
1,4,15,0,7,133,1,0,0,0.35,0,15.25,4,'0'
3,8,7,15,6,12,0,0,0,0.444444,1,1,1,'0'
0,3,12,2,2,79,0,0,0.777778,0.4,2,17.75,1,'0'
0,24,41,0,14,205,0.5,1,0.676471,0.189744,3,12.533333,1,'1'
0,3,18,0,4,408,0.4,1,0.866667,0.4,1,79.6,14,'1'
0,3,8,3,5,54,0,0,0.833333,0.5,2,7.666667,1,'1'
0,48,6,15,6,6,0,0,0,0.416667,0,0,1,'1'
17,40,10,13,4,44,1,1,0.375,0.458333,0,6.166667,1,'1'
4,128,131,2812,62,722,0.571429,1,0,0.100833,0,8.407895,12,'1'
0,2,29,100,12,569,1,0,0.538462,0.233333,11,27.25,6,'1'
1,5,4,3,0,6,0,0,0,1,0,1,1,'0'
0,10,16,0,2,238,0.142857,6,0,0.416667,0,43.8,1,'0'
0,3,14,4,4,145,0.666667,1,0,0.5,0,27.4,7,'0'
0,3,4,1,1,9,0,0,0.928571,0.666667,1,3.5,1,'1'
1,12,69,0,54,1531,1,0,0.018868,0.287879,1,26.8,8,'1'
0,8,29,0,9,1538,1,0,0,0.321429,0,101.266667,10,'1'
3,7,34,140,21,593,1,0,0,0.171875,0,23.041667,20,'1'
0,7,38,0,11,318,1,0,0.5,0.171429,5,21.571429,6,'1'
4,12,8,17,5,28,1,0,0,0.380952,0,2.714286,1,'0'
4,14,5,6,4,7,0,0,0,0.625,0,0.75,1,'1'
0,15,34,26,5,480,0.928571,6,0,0.321429,0,37.833333,4,'1'
0,8,29,26,7,461,1,3,0.444444,0.305556,3,36.583333,2,'1'
1,10,28,0,10,122,1,1,0.653846,0.266667,2,11.1,4,'1'
0,1,6,3,2,62,0,0,0,0.333333,0,19.666667,4,'0'
0,4,6,0,5,35,1,1,0,0.45,0,5.4,1,'0'
0,3,17,0,6,236,0.875,1,0.708333,0.270833,4,27.5,2,'0'
3,41,29,270,23,138,1,1,0,0.275,0,4.708333,1,'1'
0,6,8,4,2,42,0,0,0.896552,0.35,1,9.5,4,'1'
6,15,10,9,4,31,1,0,0,0.5,0,4,1,'1'
0,5,17,3,4,102,1,0,0.571429,0.611111,0,15.833333,2,'1'
0,2,2,0,1,5,0,0,1,1,0,4,0,'0'
8,9,6,0,2,20,1,1,0.714286,0.666667,0,5.333333,1,'1'
0,9,19,0,5,146,0,4,0.444444,0.277778,0,19,3,'0'
0,8,15,1,5,969,0.363636,0,0,0.333333,0,135.857143,14,'1'
0,5,4,1,0,51,0,0,0.923077,0.666667,3,24.5,6,'0'
2,9,34,0,6,345,1,4,0.4,0.21978,3,24.846154,3,'1'
0,5,11,3,3,55,1,0,0.958333,0.666667,2,17,1,'1'
0,10,36,0,18,242,0.666667,0,0.384615,0.25,2,11.421053,1,'1'
0,11,33,26,11,332,0.666667,1,0.566667,0.175,5,19.1875,2,'0'
0,5,2,0,1,5,0,0,1,1,0,4,0,'0'
0,12,15,11,5,84,0.4,5,0.705882,0.6,0,10.285714,1,'1'
0,1,8,6,4,20,0,0,1,0.666667,0,4,0,'0'
0,29,5,0,1,172,0,0,0,0.45,0,39.75,8,'1'
2,14,34,10,8,455,0.875,4,0,0.230769,0,32.769231,1,'1'
0,15,2,1,2,2,0,0,0,1,0,0,1,'1'
0,2,10,0,4,60,1,1,0,0.6,0,10.6,2,'0'
0,16,56,104,10,500,1,3,0.32,0.2375,3,22.428571,5,'1'
0,10,43,0,11,382,1,0,0.461538,0.191667,3,24.133333,9,'1'
0,25,77,43,45,1122,0.230769,1,0,0.285714,1,20.745098,12,'1'
0,15,36,4,2,356,1,1,0,0.5,0,87.75,1,'1'
0,6,1,0,1,1,0,0,0,1,0,0,1,'1'
1,9,6,10,0,8,0,0,0,0.466667,0,0.6,1,'0'
0,4,12,2,2,58,0,1,0.777778,0.4,2,12.75,1,'0'
0,4,25,0,7,447,1,0,0.444444,0.287879,3,39.272727,6,'1'
0,5,12,2,2,354,0,0,0,0.428571,0,85.5,10,'1'
0,5,27,9,4,186,1,0,0.5,0.571429,0,25.428571,2,'1'
1,2,16,0,8,56,1,1,0.681818,0.395833,2,5.875,1,'1'
0,4,8,0,3,43,1,0,0.666667,0.833333,0,13,1,'1'
0,4,15,0,6,102,0.75,2,0.142857,0.238095,0,10.75,3,'1'
0,9,22,0,14,286,0.222222,3,0,0.380952,0,16.866667,7,'1'
1,4,18,0,6,162,1,1,0.285714,0.416667,2,25.666667,2,'1'
0,4,2,1,2,2,0,0,0,1,0,0,1,'0'
0,2,25,3,13,237,0,0,0,0.404762,0,15.5,1,'0'
0,5,20,5,5,247,0,1,0.722222,0.333333,4,38.833333,16,'1'
3,9,18,66,12,78,0,0,0,0.541667,1,5.5,4,'1'
0,6,29,38,11,178,0.6,1,0.466667,0.285714,2,12.307692,1,'1'
0,3,24,0,12,361,1,2,0,0.328125,0,21.3125,7,'1'
0,3,10,21,7,54,0,0,0.714286,0.5,2,6.714286,1,'0'
0,24,37,7,4,276,0,8,0.333333,0.188889,0,25.4,4,'0'
0,6,6,3,0,22,0,0,0.992366,0.571429,2,6.333333,1,'1'
