@relation mydataframe
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute t numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute bug {'1','0'}
@data
1,1,0.1,9.63,18.1,93.13,0,3,0,'0'
1,2,0.11,9.1,21.16,97.35,13,5,0,'0'
3,3,0.06,18.12,28.78,525.35,5,22,0,'0'
4,4,0.06,17.25,35.02,578.93,15,19,0,'0'
1,1,0.5,2,14.04,3.12,1,5,0,'0'
1,3,0.06,16,30.93,439.95,28,12,0,'0'
1,1,0.4,2.5,10.8,3.75,1,2,0,'0'
1,1,0.16,6.19,21.8,46.37,2,6,0,'0'
1,1,0.14,7,26.21,71.35,5,5,0,'0'
1,1,0.12,8.25,17.05,64.45,5,3,0,'0'
1,1,0.4,2.5,8.98,3.12,1,2,0,'0'
3,2,0.08,13.2,38.77,375.34,6,5,0,'0'
1,1,0.17,6,16.28,32.56,2,5,0,'0'
1,1,0.08,13.05,27.99,264.86,6,5,0,'0'
1,1,0.21,4.67,9.97,12.06,0,4,0,'0'
1,1,0.14,7,11.78,32.07,0,5,0,'0'
1,3,0.08,12.6,59.16,522.12,8,6,0,'0'
1,1,0.29,3.5,9.96,6.78,1,4,0,'0'
1,5,0.04,23.5,26.31,807.18,30,21,0,'0'
1,1,0.4,2.5,10.8,3.75,1,2,0,'0'
1,1,0.33,3,10,5,0,2,0,'0'
1,1,0.29,3.5,9.49,6.46,0,2,0,'0'
1,1,0.13,7.6,37.54,120.46,0,7,0,'0'
1,1,0.12,8.36,34.64,134.41,0,7,0,'0'
1,1,0.1,9.73,30.16,158.63,1,13,0,'0'
7,27,0.02,55.88,91.32,15842.82,13,53,0,'0'
1,4,0.05,20.71,30.45,725.84,3,12,0,'0'
1,6,0.08,12,64.31,514.45,0,10,0,'0'
6,2,0.02,46,28.25,3321.07,6,6,0,'0'
1,1,0.07,14.38,17.53,201.26,0,7,0,'0'
1,1,0.07,14.38,17.53,201.26,0,6,0,'0'
8,1,0.04,23.02,48.87,1438.91,5,3,0,'0'
1,1,0.18,5.63,12.4,21.79,0,0,0,'0'
1,1,0.33,3,12.18,6.09,0,0,0,'0'
1,1,0.38,2.67,11.58,4.57,0,3,0,'0'
7,6,0.02,48.06,56.02,7187.47,55,24,0,'0'
12,9,0.02,54.33,104.25,17097.62,58,2,0,'0'
1,3,0.09,11.69,47.22,358.3,11,1,0,'0'
1,2,0.11,9.41,33.23,163.53,3,1,0,'0'
1,2,0.11,8.91,31.71,139.72,3,2,0,'0'
1,3,0.12,8.63,34.56,142.82,2,2,0,'0'
10,13,0.03,38.57,133.35,11022.02,119,26,0,'0'
1,13,0.02,40.25,77.8,7002.58,50,21,0,'0'
1,1,0.13,7.86,12.74,43.68,1,4,0,'0'
8,5,0.03,36.21,129.72,9448.14,39,5,0,'0'
1,1,0.3,3.33,33.12,20.45,0,0,0,'0'
1,2,0.09,11.63,32,240.54,9,2,0,'0'
1,3,0.09,11.56,39.18,290.68,3,5,0,'0'
1,4,0.06,17.63,48.31,834.15,13,3,0,'0'
7,20,0.04,22.73,151.5,4346.94,33,22,0,'0'
9,7,0.05,18.86,105.02,2075.52,7,8,0,'0'
1,1,0.5,2,7.75,1.72,0,0,0,'0'
1,1,0.5,2,7.75,1.72,0,0,0,'0'
3,1,0.07,14.75,60.5,731.3,35,2,0,'0'
1,1,0.5,2,7.75,1.72,0,0,0,'0'
1,1,0.5,2,37.64,8.36,0,0,0,'0'
1,1,0.38,2.67,34.69,13.71,0,0,0,'0'
1,1,0.38,2.67,34.69,13.71,0,0,0,'0'
1,2,0.06,15.69,93.81,1283.42,7,14,0,'0'
1,2,0.07,14.68,58.05,695.12,6,5,0,'0'
1,1,0.4,2.5,7.86,2.73,0,0,0,'0'
1,1,0.05,21,13.75,336.99,0,4,0,'0'
11,6,0.02,46.92,118.83,14535.59,65,10,0,'0'
1,1,0.5,2,11.23,2.5,0,0,0,'0'
1,2,0.13,7.71,45.77,151.33,18,10,0,'0'
1,1,0.19,5.25,34.23,52.42,0,5,0,'0'
1,1,0.06,15.5,19.24,256.79,6,5,0,'0'
1,1,0.29,3.5,12.85,8.74,0,0,0,'0'
1,1,0.11,9.29,16.29,78.02,0,4,0,'0'
1,1,0.11,9.29,16.29,78.02,0,4,0,'0'
1,1,0.08,12.04,61.85,498.05,39,12,0,'0'
1,2,0.11,9.5,31.58,158.33,6,0,0,'0'
1,2,0.04,23,22.83,670.83,6,3,0,'0'
1,1,0.27,3.75,11.52,9,0,1,0,'0'
3,2,0.13,7.64,24.32,78.8,5,0,0,'0'
1,3,0.03,33.32,52.18,3218.44,20,10,0,'0'
1,1,0.67,1.5,7.74,0.97,0,0,0,'0'
1,1,0.44,2.29,27.24,7.91,0,1,0,'0'
1,1,0.3,3.33,33.12,20.45,0,0,0,'0'
1,1,0.38,2.67,34.69,13.71,0,0,0,'0'
19,13,0.03,36.57,75.09,5579.41,18,24,0,'0'
1,24,0.04,27.21,171.89,7070.88,58,6,0,'0'
1,1,0.5,2,7.75,1.72,0,0,0,'0'
1,1,0.5,2,7.75,1.72,0,0,0,'0'
9,7,0.05,18.26,86.16,1596.06,19,6,0,'0'
1,1,0.67,1.5,5.33,0.67,0,0,0,'0'
1,1,0.5,2,5.8,1.29,0,0,0,'0'
1,1,0.4,2.5,7.86,2.73,0,0,0,'0'
1,1,0.4,2.5,10.8,3.75,4,0,0,'0'
1,1,0.47,2.14,34.11,8.7,0,0,0,'0'
1,4,0.09,11.57,34.26,254.83,23,0,0,'0'
1,1,0.26,3.88,57.09,47.81,9,1,0,'0'
1,6,0.07,13.9,66.12,710,15,0,0,'0'
1,3,0.08,13.24,27.2,264.71,0,1,0,'0'
3,1,0.09,10.56,13.72,85.06,0,4,0,'0'
1,2,0.07,13.88,94.81,1014.9,6,1,0,'0'
1,1,0.5,2,11.23,2.5,0,0,0,'0'
1,1,0.09,11.47,28.66,209.5,13,1,0,'0'
1,1,0.12,8.31,54.96,210.72,9,0,0,'0'
1,1,0.14,7.2,12.33,35.52,0,0,0,'0'
1,1,0.33,3,13,6.5,0,0,0,'0'
1,1,0.05,19.94,14.28,315.25,4,1,0,'0'
1,1,0.21,4.67,8.54,10.33,3,0,0,'0'
1,1,0.09,10.83,10.71,69.81,3,0,0,'0'
1,1,0.67,1.5,5.33,0.67,0,0,0,'0'
1,1,0.29,3.5,21.15,14.39,0,0,0,'0'
1,1,0.33,3,10.57,5.28,3,0,0,'0'
1,2,0.09,11.48,36.77,269,12,1,0,'0'
5,2,0.04,25.33,20.08,716.01,9,5,0,'0'
1,1,0.05,20.22,18.12,411.64,2,3,0,'0'
4,1,0.04,24.37,27.7,913.75,3,4,0,'0'
15,15,0.02,57,46.37,8370.61,41,67,0,'0'
4,1,0.07,15.38,24,315.56,11,9,0,'0'
1,6,0.05,21.46,46.84,1198.69,22,15,0,'0'
1,1,0.33,3,9.51,4.75,1,0,0,'0'
1,3,0.07,14.06,24.31,267.06,0,6,0,'0'
1,1,0.4,2.5,7.24,2.51,0,0,0,'0'
1,1,0.08,12,8.79,70.32,0,1,0,'0'
1,1,0.23,4.38,11.07,11.77,0,0,0,'0'
1,1,0.21,4.88,22.65,29.9,0,0,0,'0'
1,1,0.07,14.14,12.09,134.33,0,1,0,'0'
1,1,0.07,14.67,14.67,175.37,0,1,0,'0'
1,1,0.33,3,13,6.5,0,0,0,'0'
1,1,0.4,2.5,7.86,2.73,0,0,0,'0'
1,2,0.04,25.34,45.35,1617.62,22,21,0,'0'
1,1,0.67,1.5,7.74,0.97,1,2,0,'0'
1,2,0.04,25.89,22.84,850.88,10,9,0,'0'
1,1,0.67,1.5,7.74,0.97,1,2,0,'0'
1,2,0.04,25.89,22.84,850.88,10,10,0,'0'
1,8,0.03,31.3,83.37,4536.32,31,46,0,'0'
1,1,0.67,1.5,7.74,0.97,1,2,0,'0'
1,1,0.67,1.5,7.74,0.97,1,2,0,'0'
1,1,0.07,15.21,33.99,436.87,14,8,0,'0'
1,1,0.5,2,7.75,1.72,7,1,0,'0'
1,4,0.03,34.84,71.49,4820.79,28,33,0,'0'
1,5,0.06,16.56,44.36,675.77,0,10,0,'0'
1,3,0.05,19.95,25.24,558.17,21,25,0,'0'
1,4,0.07,14.44,46.13,534.32,13,9,0,'0'
3,5,0.07,14.9,53.81,663.95,16,20,0,'0'
1,1,0.2,5,24.2,33.61,3,3,0,'0'
1,2,0.06,15.45,49.18,651.98,4,10,0,'0'
1,1,0.1,9.8,21.05,112.33,4,6,0,'0'
1,1,0.1,9.8,21.05,112.33,4,6,0,'0'
1,1,0.5,2,5.8,1.29,3,2,0,'0'
1,2,0.12,8.62,30.91,127.45,8,7,0,'0'
1,4,0.09,11.12,47.35,325.03,12,14,0,'0'
5,5,0.07,14.56,55.58,654.97,18,19,0,'0'
1,1,0.29,3.5,9.96,6.78,3,7,0,'0'
5,8,0.04,26.32,68.78,2646.91,29,36,0,'0'
1,2,0.16,6.19,16.52,35.13,2,2,0,'0'
1,2,0.16,6.19,16.52,35.13,2,2,0,'0'
1,2,0.16,6.19,16.52,35.13,2,2,0,'0'
1,2,0.16,6.19,16.52,35.13,2,2,0,'0'
1,2,0.16,6.19,16.52,35.13,2,2,0,'0'
1,2,0.16,6.19,16.52,35.13,2,2,0,'0'
1,2,0.16,6.19,16.52,35.13,2,2,0,'0'
1,1,0.08,12,10.9,87.2,2,3,0,'0'
1,1,0.08,12,17.29,138.3,2,3,0,'0'
4,6,0.07,13.74,35.27,369.73,22,9,0,'0'
1,2,0.15,6.67,15.6,38.52,12,5,0,'0'
1,1,0.12,8.25,13.38,50.58,3,1,0,'0'
1,1,0.11,9.17,20.27,94.64,3,1,0,'0'
1,1,0.07,14.67,10.03,119.9,0,5,0,'0'
10,7,0.04,27.25,125.84,5190.45,57,49,0,'0'
15,24,0.04,22.99,243.12,7136.55,56,77,0,'0'
1,1,0.18,5.65,38.22,67.88,0,2,0,'0'
1,4,0.05,19.2,84.37,1727.43,29,31,0,'0'
1,2,0.04,24.18,37.89,1230.78,31,34,0,'0'
1,3,0.11,9.48,49.79,248.67,5,14,0,'0'
1,1,0.19,5.14,17.89,26.29,7,2,0,'0'
1,1,0.22,4.5,11.51,12.95,0,1,0,'0'
1,1,0.22,4.5,11.85,13.33,0,1,0,'0'
1,1,0.12,8.13,20.02,73.41,0,5,0,'0'
1,1,0.15,6.75,21.19,53.65,0,4,0,'0'
1,2,0.05,19.41,24.42,511.24,1,5,0,'0'
1,3,0.1,10.4,16.09,96.7,7,4,0,'0'
9,9,0.02,48.79,67.42,8917.59,51,39,0,'0'
1,3,0.05,18.53,49.27,939.32,6,18,0,'0'
5,15,0.01,73.1,78.9,23424.16,37,49,0,'0'
3,6,0.02,46.67,47.58,5756.11,25,31,0,'0'
1,1,0.22,4.5,16.89,19,0,1,0,'0'
1,1,0.2,5,29.39,40.82,5,7,0,'0'
1,1,0.12,8.25,61.55,232.74,4,6,0,'0'
1,6,0.04,24,29.49,943.76,3,5,0,'0'
1,1,0.14,7.14,16.02,45.42,0,2,0,'0'
4,2,0.08,12,22.03,176.27,0,1,0,'0'
1,1,0.11,9.5,25.23,126.52,7,7,0,'0'
1,1,0.12,8.03,26.81,96.24,0,1,0,'0'
4,3,0.03,35.45,45.89,3203.93,0,17,0,'0'
1,1,0.14,7.22,24.7,71.57,1,3,0,'0'
1,1,0.14,7.22,24.08,69.78,0,3,0,'0'
1,2,0.07,13.6,25,256.89,1,6,0,'0'
3,1,0.21,4.8,14.65,18.75,0,0,0,'0'
1,1,0.08,12.5,23.58,204.72,0,4,0,'0'
1,1,0.5,2,5.8,1.29,0,0,0,'0'
5,1,0.16,6.43,19.29,44.29,0,0,0,'0'
9,8,0.02,64.68,75.56,17561.98,76,84,0,'0'
1,6,0.02,48.05,76.91,9864.42,6,17,0,'0'
5,4,0.03,29.45,37.1,1788.18,8,16,0,'0'
1,11,0.04,27.04,101.31,4116.1,14,51,0,'0'
1,3,0.09,11.25,40.4,284.09,6,6,0,'0'
1,2,0.14,7.27,22.35,65.66,0,1,0,'0'
1,3,0.04,24.29,29.6,970.03,3,9,0,'0'
1,3,0.08,13.2,25.58,247.57,0,5,0,'0'
1,1,0.67,1.5,7.74,0.97,3,1,0,'0'
8,6,0.02,55.62,41.58,7146.11,22,15,0,'0'
8,6,0.02,55.62,41.58,7146.11,22,15,0,'0'
9,5,0.02,49.74,45.69,6280.65,23,23,0,'0'
9,5,0.02,49.74,45.69,6280.65,23,23,0,'0'
4,2,0.04,23.47,26.43,808.94,10,4,0,'0'
4,2,0.04,23.47,26.43,808.94,10,4,0,'0'
4,2,0.04,23.16,28.99,863.59,5,3,0,'0'
4,2,0.04,23.16,28.99,863.59,5,3,0,'0'
9,2,0.01,76.87,28.41,9326.23,12,6,0,'0'
15,2,0.01,95.66,33.36,16956.99,16,9,0,'0'
6,2,0.02,46,28.25,3321.07,6,7,0,'0'
7,2,0.03,38.79,49.14,4106.85,8,6,0,'0'
8,1,0.04,27.04,46.31,1880.89,8,5,0,'0'
1,2,0.05,22.11,27.26,739.96,22,6,0,'0'
1,4,0.04,23.68,61.36,1911.4,21,15,0,'0'
5,4,0.04,24.77,71.01,2420.1,13,40,0,'0'
1,8,0.09,11.65,30.54,230.19,0,9,0,'0'
1,3,0.04,22.46,21.39,599.74,15,16,0,'0'
15,17,0.03,37.2,140.31,10788.59,100,82,0,'0'
1,2,0.14,7,10.75,29.28,0,1,0,'0'
4,7,0.03,28.98,76.03,3548.06,26,34,0,'0'
1,3,0.06,16.36,45.51,676.94,31,22,0,'0'
1,2,0.1,10.29,35.45,208.38,12,9,0,'0'
1,1,0.5,2,9.83,2.18,0,2,0,'0'
3,2,0.07,13.82,15.83,167.91,4,12,0,'0'
3,3,0.05,19.35,39.73,826.8,21,14,0,'0'
13,7,0.02,41.38,58.36,5551.65,70,38,0,'0'
5,7,0.05,21.71,52.05,1363.54,58,39,0,'0'
1,1,0.5,2,9.05,2,0,2,0,'0'
1,4,0.06,17.86,31.79,563.36,16,19,0,'0'
1,1,0.2,5,20.75,28.81,0,1,0,'0'
1,3,0.1,9.75,37.6,198.58,7,13,0,'0'
1,1,0.29,3.5,9.96,6.78,0,0,0,'0'
1,1,0.29,3.5,10.44,7.11,0,0,0,'0'
1,1,0.33,3,12.18,6.09,0,0,0,'0'
1,1,0.33,3,12.18,6.09,0,0,0,'0'
1,1,0.09,10.58,24.71,153.57,0,3,0,'0'
1,1,0.19,5.4,16.21,26.27,6,6,0,'0'
1,1,0.16,6.25,24.87,53.96,1,3,0,'0'
1,1,0.2,5,13.71,19.04,0,1,0,'0'
1,1,0.33,3,11.07,5.54,0,0,0,'0'
1,1,0.14,7,27.4,74.6,1,2,0,'0'
1,1,0.1,9.63,18.54,95.4,0,3,0,'0'
1,2,0.09,10.56,16.21,100.52,15,6,0,'0'
1,1,0.33,3,9,4.5,0,0,0,'0'
1,6,0.05,18.91,46.89,931.38,16,12,0,'0'
1,1,0.16,6.19,22.46,47.77,2,6,0,'0'
1,1,0.15,6.87,42.88,112.6,0,0,0,'0'
1,1,0.18,5.63,21.8,38.32,0,0,0,'0'
1,1,0.17,6,16.93,33.86,0,1,0,'0'
1,3,0.06,18,8.17,147.15,0,3,0,'0'
7,9,0.04,27.86,81.22,3503.39,15,25,0,'0'
1,4,0.06,16.94,27.55,439.31,2,5,0,'0'
1,1,0.17,5.79,14.52,27,2,5,0,'0'
1,2,0.06,18.12,28.99,528.58,9,15,0,'0'
1,1,0.5,2,9.83,2.18,1,3,0,'0'
1,1,0.09,10.63,17.66,110.76,2,5,0,'0'
1,1,0.07,13.5,13.77,139.38,2,6,0,'0'
1,1,0.06,17.06,13.64,220.67,2,5,0,'0'
1,4,0.05,18.29,40.01,743.18,0,4,0,'0'
1,1,0.33,3,14.4,7.2,2,5,0,'0'
1,6,0.04,23.73,42.36,1325.49,0,4,0,'0'
1,3,0.1,10.11,35.6,202.22,9,14,0,'0'
10,11,0.03,33.87,108.35,6906.29,17,35,0,'0'
1,5,0.1,10.11,110.24,625.52,0,1,0,'0'
1,2,0.09,10.67,17.71,111.92,2,6,0,'0'
1,1,0.36,2.77,70.78,30.15,0,0,0,'0'
1,1,0.13,8,12.85,45.69,1,3,0,'0'
1,4,0.05,20.7,42.9,1021.21,19,17,0,'0'
1,2,0.03,30.2,37.71,1910.24,7,16,0,'0'
1,2,0.03,33.51,48.56,3029.95,5,11,0,'0'
1,4,0.05,20.16,27.4,618.64,0,5,0,'0'
27,63,0.01,125.77,136.16,119649.48,165,81,0,'0'
1,5,0.07,13.61,78,802.09,0,2,0,'0'
1,3,0.18,5.69,19.23,34.57,2,20,0,'0'
10,3,0.03,31.06,83.81,4491.28,12,115,0,'0'
12,10,0.02,51.47,78.34,11529.23,27,156,0,'0'
1,1,0.06,16.32,21.3,315.63,2,10,0,'0'
9,1,0.04,25.26,50.79,1800.1,53,17,0,'0'
27,22,0.02,42.76,200.98,20413.7,32,48,0,'0'
1,2,0.11,9.27,54.5,260.36,0,1,0,'0'
1,4,0.08,13.07,20.45,193.96,0,1,0,'0'
7,10,0.05,18.72,83.91,1634.26,8,17,0,'0'
3,10,0.02,40.22,83.12,7470.5,18,74,0,'0'
1,3,0.07,15.16,28.18,359.73,4,33,0,'0'
1,13,0.05,21.53,35.91,924.95,0,1,0,'0'
1,14,0.04,23.03,36.57,1077.48,0,1,0,'0'
1,7,0.1,10.16,160.8,921.45,0,4,0,'0'
9,10,0.05,20.34,81.37,1870.96,8,16,0,'0'
3,10,0.02,43.66,81.52,8635.06,19,40,0,'0'
9,11,0.03,38.3,84.48,6886.01,15,77,0,'0'
1,1,0.23,4.38,11.07,11.77,10,4,0,'0'
1,1,0.16,6.19,17.16,36.51,5,3,0,'0'
1,1,0.5,2,5.8,1.29,0,1,0,'0'
1,1,0.67,1.5,10.84,1.35,0,0,0,'0'
3,1,0.07,14.68,17.03,203.9,14,8,0,'0'
1,1,0.23,4.38,11.07,11.77,10,4,0,'0'
1,2,0.18,5.5,19.71,33.13,2,3,0,'0'
1,2,0.07,13.93,22.53,242.84,19,13,0,'0'
1,1,0.5,2,5.8,1.29,0,1,0,'0'
1,1,0.67,1.5,10.84,1.35,0,0,0,'0'
1,1,0.22,4.5,14.38,16.18,7,5,0,'0'
1,1,0.25,4,14.8,13.16,7,5,0,'0'
1,1,0.09,10.64,17.24,108.37,7,7,0,'0'
1,1,0.19,5.14,16.32,24,3,5,0,'0'
1,1,0.19,5.14,16.32,24,3,5,0,'0'
1,1,0.06,16,39.36,559.78,19,16,0,'0'
1,1,0.4,2.5,17.27,6,2,3,0,'0'
1,1,0.2,5,17.19,23.88,0,3,0,'0'
1,1,0.22,4.5,17.77,19.99,0,3,0,'0'
1,2,0.16,6.29,17.91,39.32,6,4,0,'0'
1,1,0.4,2.5,17.27,6,2,3,0,'0'
1,1,0.2,5,17.19,23.88,0,3,0,'0'
1,1,0.22,4.5,17.77,19.99,0,3,0,'0'
1,2,0.16,6.29,17.91,39.32,6,4,0,'0'
1,1,0,0,0,0,0,1,0,'0'
1,1,0,0,0,0,0,1,0,'0'
1,1,0,0,0,0,12,8,0,'0'
1,1,0.5,2,5.8,1.29,0,3,0,'0'
1,1,0.23,4.38,11.86,12.61,8,2,0,'0'
1,1,0.07,15.32,26.67,347.85,4,7,0,'0'
1,1,0.67,1.5,7.74,0.97,1,2,0,'0'
1,1,0.27,3.75,12.68,9.91,1,1,0,'0'
1,1,0.16,6.29,16.78,36.84,5,2,0,'0'
1,1,0.1,10,17.13,95.17,5,3,0,'0'
1,1,0.12,8.03,26.81,96.24,0,2,0,'0'
4,4,0.04,26.1,32,1211.24,33,27,0,'0'
5,1,0.06,17.6,15.76,271.16,2,6,0,'0'
3,2,0.04,27.86,30.99,1335.96,14,20,0,'0'
1,1,0.16,6.11,20.51,42.55,1,4,0,'0'
1,1,0.16,6.11,19.8,41.08,2,5,0,'0'
1,1,0.1,9.63,14.83,76.31,2,3,0,'0'
4,4,0.1,10.5,46.9,287.24,7,7,0,'0'
4,4,0.1,10.5,46.9,287.24,5,7,0,'0'
1,3,0.14,7.26,33.1,97.04,0,0,0,'0'
1,3,0.09,10.93,34.57,229.41,0,0,0,'0'
1,3,0.1,10.43,36.48,220.55,0,0,0,'0'
4,3,0.08,12.75,41.71,376.67,0,0,0,'0'
6,6,0.07,14.8,75.22,915.63,9,2,0,'0'
3,2,0.07,14.77,21.05,255.11,0,5,0,'0'
3,1,0.1,10,9.14,50.76,0,0,0,'0'
10,9,0.09,11.21,65.44,456.59,0,12,0,'0'
10,8,0.05,20.43,31.33,726.91,0,8,0,'0'
10,9,0.1,10.16,74.62,427.62,0,12,0,'0'
1,8,0.05,18.55,70.63,1350.39,0,5,0,'0'
5,2,0.04,25.33,20.08,716.01,9,5,0,'0'
1,1,0.05,20.22,18.12,411.64,2,3,0,'0'
4,1,0.04,24.37,27.7,913.75,3,4,0,'0'
1,1,0.2,5,20.85,28.96,0,0,0,'0'
1,1,0.29,3.43,20.51,13.39,0,0,0,'0'
3,4,0.03,30.04,31.79,1593.75,2,7,0,'0'
1,2,0.35,2.86,25.09,11.38,0,2,0,'0'
1,12,0.02,53.98,55.25,8944.21,1,10,0,'0'
1,3,0.04,26.67,45.29,1789.31,10,7,0,'0'
1,1,0.11,9.5,40.04,200.76,12,7,0,'0'
1,1,0.5,2,12,2.67,0,1,0,'0'
3,1,0.17,5.85,29.05,55.22,0,3,0,'0'
1,3,0.04,25.08,53.25,1861.37,4,5,0,'0'
1,3,0.09,11.7,30.82,234.36,3,9,0,'0'
1,1,0.29,3.5,11.39,7.75,0,0,0,'0'
1,1,0.08,12,8.79,70.32,0,1,0,'0'
1,1,0.23,4.38,11.07,11.77,0,0,0,'0'
1,1,0.21,4.88,22.65,29.9,0,0,0,'0'
1,1,0.07,14.14,12.09,134.33,0,1,0,'0'
1,1,0.07,14.67,14.67,175.37,0,1,0,'0'
1,1,0.33,3,13,6.5,0,0,0,'0'
1,1,0.4,2.5,7.86,2.73,0,0,0,'0'
1,1,0.1,10.42,21.83,131.62,0,1,0,'0'
1,2,0.05,21.52,38.55,991.46,19,15,0,'1'
1,3,0.08,12.33,52.03,439.7,22,27,0,'1'
8,9,0.04,27.11,46.15,1885.02,45,30,0,'1'
1,2,0.07,14.25,27.05,305.19,7,9,0,'1'
1,5,0.05,18.46,53.63,1014.98,30,31,0,'1'
1,4,0.04,26.64,234.02,9228.55,46,62,0,'1'
1,7,0.05,22.12,78.96,2145.57,14,36,0,'1'
1,12,0.04,28.52,175.18,7918.63,57,93,0,'1'
21,26,0.01,71.54,127.7,36307.62,170,155,0,'1'
1,1,0.11,9,17.77,79.96,1,7,0,'1'
1,1,0.11,9,17.77,79.96,1,7,0,'1'
1,26,0.01,77.46,54.04,18014.49,91,55,0,'1'
