@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
4,1,9,57,4,14,200,0.875,3,0.383333,6,11.8,1.5333,'0'
1,0,0,3,0,3,3,0,0,0.555556,0,0,1,'0'
1,0,1,58,0,14,547,0.2,3,0.31,0,26.1,3.95,'0'
4,0,3,36,3,9,50,0,0,0.555556,6,4.555556,0.8889,'0'
1,0,0,0,0,1,9,0,0,1,0,3,0,'0'
1,0,2,6,1,4,4,0,0,0.75,0,0,1,'0'
4,0,3,0,3,1,6,0,0,1,0,5,0,'0'
4,1,6,43,4,9,115,0.5,0,0.325,6,10.3,1.5,'0'
4,4,17,124,9,24,598,0.666667,1,0.337931,11,19.517241,2.4828,'1'
1,0,0,325,0,26,26,0,0,0.487179,0,0,1,'0'
3,2,9,15,4,6,90,0,0,0.333333,4,13.833333,1.1667,'1'
2,0,13,862,10,16,962,0.875,6,0.119298,5,19.844444,1.5556,'0'
1,0,0,246,0,35,436,1,6,0.125926,0,10.944444,1.1389,'0'
1,0,2,0,1,4,1114,0.009288,0,0.5,0,157.2,2.2,'0'
4,0,3,36,3,9,50,0,0,0.555556,5,4.555556,0.8889,'0'
1,0,0,153,0,18,40,0,0,0.285714,0,1.222222,0.9444,'0'
1,0,0,55,0,11,11,0,0,0.515152,0,0,1,'0'
2,2,9,18,2,5,69,0.666667,2,0.416667,3,7.25,1.25,'0'
4,0,2,351,2,27,171,0,0,0.37963,0,5.333333,1.1111,'0'
3,0,39,4,3,2,580,0.051282,0,0.555556,1,134.25,0.5,'0'
1,0,6,89,5,12,1528,0.692308,4,0.232143,0,67.863636,4.6818,'0'
1,0,1,0,0,0,0,0,0,0,0,0,0,'0'
4,0,2,3,2,3,17,0,0,0.5,0,4.666667,0.6667,'0'
4,1,0,0,0,1,11,0,0,1,0,7,0,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
4,1,0,0,0,1,24,0,0,1,0,7,0,'1'
3,0,59,541,9,29,1017,0.8,5,0.284848,4,28.617647,2.2059,'0'
1,0,22,1,0,2,5,0,0,0.6,0,0,1,'0'
1,0,0,0,0,1,121,0,0,1,0,3,0,'0'
1,0,0,15,0,6,6,0,0,0.75,0,0,1,'0'
1,0,2,15,1,6,6,0,0,0.75,0,0,1,'0'
1,0,0,3,0,3,3,0,0,0.666667,0,0,1,'1'
1,0,0,105,0,15,15,0,0,0.488889,0,0,1,'0'
1,0,3,0,1,4,236,0.064516,0,0.5,0,40,2.2,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'1'
1,1,6,47,1,18,357,1,1,0.179012,0,18.388889,1.7778,'0'
3,0,0,1,0,2,247,0,0,1,0,81,0.3333,'0'
1,0,3,2,0,2,395,1,0,0.5,0,97.25,0.5,'0'
1,0,0,37,0,10,64,1,0,0.375,0,5,0.8,'0'
1,0,0,28,0,8,8,0,0,0.75,0,0,1,'0'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
4,0,2,3,2,3,17,0,0,0.666667,0,4.666667,0.6667,'0'
1,0,0,0,0,1,1,0,0,1,0,0,1,'0'
3,0,0,1,0,2,9,0,0,0.75,0,3.5,0,'1'
1,0,0,91,0,14,14,0,0,0.206349,0,0,1,'0'
1,0,0,3,0,2,102,0,0,0.333333,0,33,0.6667,'0'
1,0,38,25,0,11,191,0,0,0.409091,1,16,1.1818,'0'
1,0,29,1146,20,20,6637,0.090909,6,0.192308,1,123.603774,13.3585,'0'
5,1,1,0,0,1,8,0,0,1,0,5,0,'1'
1,0,3,0,2,1,1,0,0,1,0,0,1,'0'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
3,1,4,3,3,4,192,0.666667,0,0.611111,3,30.5,1.3333,'1'
4,0,2,136,2,17,123,0,0,0.317647,0,6.235294,1.1765,'0'
2,0,6,0,4,1,120,1,0,0.388889,2,12,1,'0'
4,0,3,10,3,5,28,0,0,0.6,4,4.6,0.8,'0'
1,0,8,0,2,28,1200,1,2,0.333333,0,39.724138,2.8621,'0'
4,0,6,0,6,1,103,0.5,0,0.5,11,24.25,1.5,'0'
2,0,1,1,1,2,13,0,0,1,0,5.5,0.5,'1'
4,0,2,3,2,3,19,0,0,0.666667,0,5.333333,0.6667,'0'
2,0,8,25,8,5,592,0,0,0.328571,7,58.2,2.8,'1'
1,1,0,45,0,9,53,0,0,0.228571,0,4.3,0.9,'1'
1,0,0,120,0,16,16,0,0,0.5,0,0,1,'0'
1,0,3,0,1,6,332,0,0,0.35,0,26.166667,2.75,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
1,0,0,153,0,18,18,0,0,0.5,0,0,1,'0'
2,0,7,0,1,6,62,0,1,0.375,0,7.5,0.8333,'1'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
1,0,7,0,1,1,471,0,0,0.566667,0,45.6,2.8,'0'
2,0,7,141,6,9,1405,0.15,2,0.189815,0,75.944444,1.1667,'0'
4,0,0,0,0,1,5,0,0,1,0,4,0,'0'
1,0,0,595,0,35,35,0,0,0.371429,0,0,1,'0'
1,0,0,171,0,19,19,0,0,0.438596,0,0,1,'0'
4,0,3,105,3,15,83,0,0,0.533333,6,4.533333,0.9333,'0'
2,0,13,0,12,22,7413,0.882353,3,0.170833,4,179.390244,1.0488,'1'
4,0,2,253,2,23,127,0,0,0.521739,0,4.521739,0.9565,'0'
2,0,6,37,5,7,967,1,2,0.285714,0,93.9,0.8,'0'
1,1,3,35,0,11,87,0.1,2,0.393939,0,6,0.9091,'1'
1,0,0,6,0,4,4,0,0,0.75,0,0,1,'0'
1,2,5,13,3,5,127,0,1,0.533333,0,20,3.3333,'1'
1,14,17,10,2,5,13,1,0,0.533333,0,1.4,0.8,'0'
1,6,10,234,9,0,268,0,1,0.195652,0,9.166667,0.9583,'0'
1,0,0,1,0,2,2,0,0,1,0,0,1,'1'
1,0,0,81,0,14,75,1,0,0.392857,0,4,0.7143,'0'
1,0,24,753,17,39,2272,0.862069,12,0.138249,0,35.177419,1.3226,'1'
1,0,0,3,0,3,3,0,0,0.777778,0,0,1,'1'
4,0,3,36,3,9,50,0,0,0.555556,6,4.555556,0.8889,'0'
1,0,4,0,2,10,93,1,0,0.533333,0,8.2,1.1,'0'
1,0,0,105,0,15,34,0,0,0.285714,0,1.266667,0.9333,'0'
1,1,4,0,2,4,264,1,1,0.44,0,50.6,6,'0'
2,0,2,4,2,2,31,1,1,0.5,0,6.5,0.5,'0'
1,0,0,15,0,6,6,0,0,0.75,0,0,1,'0'
1,0,1,13,0,4,208,1,0,0.25,0,28.142857,1.5714,'1'
2,0,2,10,2,7,223,0.214286,0,0.46875,1,25.125,1.5,'0'
1,0,2,0,1,0,0,0,0,0,0,0,0,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
1,0,9,18,2,3,366,0.153846,1,0.31746,0,38.222222,4.6667,'0'
1,0,23,602,17,16,2550,0.071429,15,0.15303,0,54.422222,1.0222,'0'
1,0,16,0,0,1,1,0,0,1,0,0,1,'0'
4,0,2,10,2,5,28,0,0,0.6,0,4.6,0.8,'0'
1,0,0,0,0,0,0,0,0,0,0,0,0,'1'
1,0,2,28,1,8,8,0,0,0.5,0,0,1,'0'
4,0,3,36,3,9,50,0,0,0.555556,4,4.555556,0.8889,'0'
3,0,25,1294,22,48,2553,0.952381,1,0.22623,10,40.508197,2.4918,'0'
4,0,2,3,2,3,19,0,0,0.666667,0,5.333333,0.6667,'0'
1,0,0,231,0,22,22,0,0,0.281818,0,0,1,'0'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
4,0,3,55,3,11,61,0,0,0.545455,6,4.545455,0.9091,'0'
3,0,3,10,2,5,76,0,0,0.55,1,14.2,0.4,'0'
1,0,1,0,0,3,224,1,0,0.833333,0,72.666667,4.6667,'0'
1,0,17,1069,16,22,7218,1,15,0.148033,0,101.028571,1.0429,'0'
1,0,0,190,0,20,20,0,0,0.75,0,0,1,'0'
1,3,12,8,9,3,191,1,0,0.333333,0,36.6,0.6,'0'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
1,0,0,3,0,3,3,0,0,0.666667,0,0,1,'0'
1,0,0,10,0,5,5,0,0,0.6,0,0,1,'1'
1,0,0,0,0,12,178,0,0,0.4375,0,13.583333,1.25,'0'
3,0,6,0,6,1,84,0.5,0,0.5,7,19.5,1,'0'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
1,0,2,4,1,0,185,0.5,1,0.333333,0,35.6,1,'0'
1,0,4,0,1,5,233,1,1,0.533333,0,45,1.4,'0'
2,0,6,13,5,7,1265,0.944444,2,0.314286,0,123.7,0.8,'0'
1,0,0,120,0,16,16,0,0,0.6875,0,0,1,'0'
1,0,2,0,1,0,0,0,0,0,0,0,0,'0'
1,0,4,0,4,26,2564,0,7,0.222222,0,61.146341,3.0244,'1'
4,0,0,0,0,1,5,0,0,1,0,4,0,'0'
4,0,5,0,5,1,117,0.5,0,0.5,9,27.75,2.25,'0'
1,0,9,24,2,11,855,0,0,0.291667,1,68.75,5.0833,'0'
3,0,0,1,0,2,247,0,0,1,0,81,0.3333,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
2,0,2,0,1,3,81,1,1,0.6,1,14.6,0.6,'1'
1,1,0,14,0,6,115,1,0,0.571429,0,12.875,0.75,'1'
4,0,4,0,0,2,13,0,0,0.666667,0,5,0.5,'0'
1,0,4,0,0,0,14,0,0,1,0,3,0,'0'
1,0,10,0,1,4,201,0.083333,0,0.5,0,34.4,2.2,'0'
1,0,0,325,0,26,26,0,0,0.5,0,0,1,'0'
4,0,3,36,3,9,50,0,0,0.555556,5,4.555556,0.8889,'0'
1,0,2,6,1,4,4,0,0,0.75,0,0,1,'0'
1,0,7,5,6,7,1019,1,3,0.387755,0,143.857143,0.7143,'0'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
3,0,5,0,5,1,85,0.5,0,0.5,7,19.75,0.75,'0'
1,0,0,0,0,1,1,0,0,1,0,0,1,'0'
1,0,2,6,1,4,4,0,0,0.75,0,0,1,'0'
1,0,0,1,0,2,14,0,0,0.5,0,3.333333,0.3333,'1'
4,0,2,6,2,4,16,0,0,0.625,5,2.75,0.5,'0'
1,4,8,20,2,0,77,1,3,0.518519,0,7,0.8889,'0'
4,0,2,105,2,15,126,0,0,0.4,0,7.4,1.1333,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
1,0,10,10,4,5,5,0,0,0.4,0,0,1,'0'
2,0,6,18,4,10,1000,0,0,0.239316,7,75.923077,7.5385,'0'
4,0,2,21,2,7,43,0,0,0.571429,0,5.142857,0.8571,'0'
1,0,0,0,0,0,0,0,0,0,0,0,0,'1'
2,0,7,33,6,7,181,0.857143,2,0.244444,0,16.4,1.1,'0'
4,0,3,3,2,3,17,0,0,0.666667,0,4.666667,0.6667,'0'
1,0,13,30,12,7,1444,1,7,0.307692,0,108.384615,1.0769,'1'
4,0,2,10,2,5,31,0,0,0.45,2,5.2,0.8,'0'
1,0,2,28,1,8,8,0,0,0.75,0,0,1,'0'
1,0,6,4,3,8,184,1,2,0.303571,0,21.125,1.5,'0'
4,0,2,36,2,9,52,0,0,0.416667,0,4.777778,0.8889,'0'
4,0,3,36,3,9,50,0,0,0.555556,6,4.555556,0.8889,'0'
1,0,2,153,1,18,18,0,0,0.75,0,0,1,'0'
1,0,0,28,0,8,8,0,0,0.5,0,0,1,'0'
4,0,6,190,6,19,284,0,1,0.275,0,13.15,2,'0'
1,0,0,66,0,12,12,0,0,0.354167,0,0,1,'0'
1,0,11,28,5,8,8,0,0,0.363636,0,0,1,'0'
4,0,3,253,3,23,149,0,0,0.295652,3,5.478261,1.1304,'0'
2,0,8,1,8,1,140,0,0,0.571429,2,69,0.5,'0'
1,0,2,45,1,10,10,0,0,0.75,0,0,1,'0'
3,0,7,0,7,1,176,0.5,0,0.5,5,42.5,2.5,'0'
1,0,0,561,0,34,34,0,0,0.282353,0,0,1,'0'
1,0,0,406,0,29,29,0,0,0.37069,0,0,1,'0'
1,0,2,0,1,0,0,0,0,0,0,0,0,'0'
1,0,46,1993,44,51,6176,0.965517,38,0.101329,0,69.465116,1.5581,'1'
4,0,2,3,2,3,20,0,0,0.5,0,5.666667,0.6667,'0'
1,0,7,20,6,8,464,1,2,0.464286,0,56.25,0.625,'0'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
1,3,10,811,7,36,1901,0.933333,3,0.127273,0,33.290909,2.9273,'0'
1,0,1,149,0,10,703,0.941176,0,0.233333,0,35.105263,2.7895,'0'
4,0,5,91,4,12,172,1,1,0.357143,0,11.214286,1.7857,'0'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
3,1,4,9,2,6,46,0.5,0,0.5,5,6.333333,1.3333,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
3,1,4,3,3,4,165,0.666667,0,0.611111,3,26,1.3333,'1'
1,0,0,91,0,14,14,0,0,0.5,0,0,1,'0'
1,6,10,0,4,5,183,1,3,0.466667,0,18.222222,0.8889,'0'
4,0,3,55,3,11,61,0,0,0.545455,4,4.545455,0.9091,'0'
1,0,0,136,0,17,17,0,0,0.455882,0,0,1,'1'
3,52,55,253,3,17,249,0,0,0.456522,2,9.826087,1.6087,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
4,0,2,78,2,13,72,0,0,0.538462,0,4.538462,0.9231,'0'
1,0,10,62,5,13,601,0.636364,4,0.233083,0,28.5,2.65,'0'
1,0,2,0,0,6,608,0,0,0.458333,0,98.833333,2.5,'0'
2,0,8,1,8,1,145,0,0,0.571429,0,71.5,0.5,'0'
1,0,0,15,0,6,6,0,0,0.611111,0,0,1,'0'
1,0,2,15,1,6,6,0,0,0.75,0,0,1,'0'
1,0,0,10,0,5,5,0,0,0.7,0,0,1,'0'
2,0,7,35,6,6,686,1,3,0.233333,0,66,0.8,'0'
4,0,2,10,2,5,28,0,0,0.6,0,4.6,0.8,'0'
4,0,3,10,3,5,28,0,0,0.6,4,4.6,0.8,'0'
1,0,10,5,0,8,7825,0.176471,0,0.25,0,779.8,4.7,'0'
4,0,3,21,3,7,39,0,0,0.571429,4,4.571429,0.8571,'0'
1,0,0,21,0,7,7,0,0,1,0,0,1,'1'
4,1,5,37,2,10,93,0.8,0,0.4,6,7.8,1.6,'0'
4,0,0,0,0,1,10,0,0,1,0,7,0,'1'
3,0,4,0,4,1,118,0.5,0,0.466667,8,22.2,2,'0'
1,0,2,120,1,16,16,0,0,0.375,0,0,1,'0'
1,0,0,66,0,12,12,0,0,0.5,0,0,1,'0'
3,0,0,1,0,2,2145,0,0,1,0,713.666667,0.3333,'0'
1,0,6,0,1,1,12,0,2,1,0,3,0,'0'
4,0,3,10,3,5,28,0,0,0.6,4,4.6,0.8,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
4,0,3,55,3,11,61,0,0,0.545455,6,4.545455,0.9091,'0'
1,0,0,6,0,4,4,0,0,1,0,0,1,'1'
1,0,27,1255,26,8,8696,0.962963,9,0.154872,0,130.348485,1.697,'1'
1,0,0,55,0,11,11,0,0,0.348485,0,0,1,'0'
1,0,0,253,0,23,23,0,0,0.347826,0,0,1,'0'
2,0,5,0,3,1,154,1,2,0.416667,2,24.333333,0.8333,'0'
1,0,2,6,1,4,4,0,0,0.75,0,0,1,'0'
1,0,0,300,0,25,37,0,0,0.33,0,0,1,'1'
4,0,4,0,4,1,33,0.5,0,0.555556,7,9.333333,0.6667,'0'
4,0,2,36,2,9,50,0,0,0.555556,0,4.555556,0.8889,'0'
1,0,0,3,0,3,3,0,0,1,0,0,1,'1'
4,0,3,703,3,38,229,0,0,0.294737,3,5.026316,1.0789,'0'
4,0,3,300,3,25,142,0,0,0.312,7,4.68,0.96,'0'
4,0,3,10,3,5,28,0,0,0.6,4,4.6,0.8,'0'
4,0,5,231,5,22,179,1,1,0.25,1,7.090909,1.2273,'0'
1,0,2,190,1,20,20,0,0,0.375,0,0,1,'0'
2,0,3,0,2,6,109,1,1,0.3,1,12.25,0.75,'0'
4,1,7,2,4,5,52,0.666667,1,0.4,6,8.8,1.2,'0'
1,0,6,0,1,4,205,0.136364,0,0.5,0,35.6,2.2,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
3,0,0,1,0,2,923,0,0,1,0,306.333333,0.3333,'0'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
4,0,2,10,2,5,28,0,0,0.6,0,4.6,0.8,'0'
4,0,3,171,3,19,107,0,0,0.394737,6,4.631579,0.9474,'0'
1,0,0,0,0,1,1,0,0,1,0,0,1,'1'
4,0,0,28,0,8,106,1,0,0.466667,0,10.333333,0.5556,'0'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
1,0,0,6,0,4,4,0,0,0.75,0,0,1,'0'
1,0,0,78,0,13,13,0,0,0.461538,0,0,1,'0'
4,0,2,21,2,7,43,0,0,0.571429,0,5.142857,0.8571,'0'
2,1,7,109,5,11,1196,0.5,0,0.186275,8,65.333333,7.1111,'0'
2,0,7,0,5,2,147,1,1,0.355556,2,15.111111,0.8889,'0'
4,0,2,171,2,19,105,0,0,0.394737,0,4.526316,0.9474,'0'
1,0,4,683,4,27,2103,1,2,0.137778,0,44.543478,4.0435,'0'
1,0,0,0,0,1,17,0,0,1,0,0,1,'1'
4,0,3,105,2,15,195,0,0,0.32,1,12,1.7333,'0'
1,0,2,6,1,4,4,0,0,0.75,0,0,1,'0'
1,0,0,1,0,2,2,0,0,1,0,0,1,'1'
1,0,2,28,1,8,8,0,0,0.75,0,0,1,'0'
2,0,7,0,0,7,284,1,0,0.40625,2,33.5,1,'0'
4,0,3,10,3,5,28,0,0,0.6,4,4.6,0.8,'0'
1,0,0,1,0,2,103,0,0,0.5,0,50,5,'0'
4,0,2,36,2,9,52,0,0,0.555556,1,4.777778,0.8889,'0'
1,0,0,10,0,5,5,0,0,0.7,0,0,1,'0'
3,3,10,17,7,11,333,0.666667,1,0.480769,2,22.571429,1.5714,'1'
1,0,0,703,0,38,38,0,0,0.355263,0,0,1,'0'
1,0,52,67,4,26,2121,0.916667,2,0.338889,0,68.9,3.1667,'0'
2,0,1,1,1,2,13,0,0,1,0,5.5,0.5,'1'
1,1,1,15,0,11,102,1,0,0.431818,0,8.090909,0.9091,'0'
3,0,0,1,0,2,325,0,0,1,0,107,0.3333,'0'
1,9,16,866,11,2,2172,0.366667,20,0.1875,0,42.102041,2.2857,'0'
2,1,10,568,8,41,1384,1,6,0.141337,9,27.625,1.0625,'1'
2,0,5,0,3,1,60,1,1,0.45,2,10.8,0.8,'0'
1,0,0,15,0,6,6,0,0,1,0,0,1,'1'
4,0,6,630,6,35,471,1,2,0.214286,0,12.027778,2,'0'
1,0,0,276,0,24,28,0,0,0.270833,0,0,1,'0'
1,0,2,6,1,4,4,0,0,0.75,0,0,1,'0'
6,0,17,0,1,1,6,0,0,1,0,5,0,'1'
1,0,0,0,0,1,4,0,0,1,0,3,0,'0'
2,0,7,15,6,6,393,1,1,0.333333,1,53.857143,0.7143,'0'
1,0,5,0,5,11,332,1,3,0.318182,0,28.636364,0.9091,'0'
4,0,3,210,3,21,118,0,0,0.314286,7,4.619048,0.9524,'0'
4,0,2,10,2,5,52,0,0,0.6,0,9.4,1.6,'0'
1,0,9,28,1,8,8,0,0,0.583333,0,0,1,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
4,0,2,78,2,13,103,0,0,0.403846,0,6.923077,1.2308,'0'
2,0,5,26,4,7,56,1,1,0.285714,0,5.75,0.75,'0'
1,0,0,0,0,0,0,0,0,0,0,0,0,'1'
4,0,2,3,2,3,17,0,0,0.5,0,4.666667,0.6667,'0'
1,0,7,3,0,3,3,0,0,0.666667,0,0,1,'0'
4,0,3,136,3,17,98,1,1,0.490196,0,4.705882,1,'0'
2,0,3,0,2,16,403,1,0,0.183007,15,22.411765,2.2353,'0'
5,0,4,0,4,1,44,0.5,0,0.555556,11,13,1,'0'
1,0,2,3,0,3,3,0,0,0.5,0,0,1,'0'
4,0,3,36,3,9,50,0,0,0.555556,5,4.555556,0.8889,'0'
4,0,2,3,2,3,17,0,0,0.666667,0,4.666667,0.6667,'0'
1,0,8,3,2,6,112,0,2,0.5,1,13.333333,0.6667,'0'
2,0,8,17,7,6,608,1,2,0.333333,0,84.571429,0.7143,'0'
1,0,0,45,0,10,10,0,0,0.75,0,0,1,'0'
1,0,0,21,0,7,7,0,0,0.25,0,0,1,'0'
2,0,4,4,4,3,31,0,1,0.444444,0,6.5,0.5,'0'
1,0,0,78,0,13,13,0,0,0.538462,0,0,1,'1'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
1,1,15,711,13,3,3171,0.076923,0,0.194286,0,61.64,2.48,'0'
1,0,1,0,0,0,0,0,0,0,0,0,0,'0'
1,0,0,0,0,1,1,0,0,1,0,0,1,'0'
4,0,2,3,2,3,17,0,0,0.666667,0,4.666667,0.6667,'0'
2,0,11,0,10,22,2599,0.833333,3,0.201149,2,85.233333,1.3,'0'
1,0,0,0,0,1,1,0,0,1,0,0,1,'0'
1,0,2,6,1,4,4,0,0,0.75,0,0,1,'0'
1,0,2,0,1,0,0,0,0,0,0,0,0,'0'
4,0,2,136,2,17,96,0,0,0.397059,0,4.647059,0.9412,'0'
