@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
1,0,3,0,4,3,2,12,0,0.833333,0,3,1,'0'
1,0,45,3,7,8,2,216,0,0.283333,0,20.6,4,'0'
5,0,0,1,1,2,1,21,0,0.75,0,8.5,1,'0'
4,0,291,3,17,24,0.820513,303,3,0.116049,2,10,2,'1'
1,0,10,4,0,5,2,5,0,1,0,0,1,'1'
1,0,24,0,4,5,0.375,125,2,0.444444,0,12.666667,2,'0'
1,0,27,1,2,10,0.666667,69,1,0.425,0,5.6,1,'0'
4,0,39,3,9,10,0.666667,68,0,0.35,1,5.7,1,'0'
1,0,1,2,1,2,2,2,0,1,0,0,1,'0'
1,0,11,8,2,6,0.75,166,0,0.5,0,21.857143,1,'0'
1,1,41,4,7,7,0.512821,799,0,0.316239,0,55.857143,14,'1'
1,0,9,0,4,5,0.2,41,0,0.416667,0,5.666667,2,'0'
1,0,0,0,0,1,2,1,0,1,0,0,1,'0'
1,0,576,1,8,37,0.86859,758,0,0.143939,0,14.204082,7,'0'
4,0,13,1,6,10,0.555556,82,1,0.375,1,7,2,'1'
2,0,0,1,6,4,0.5,78,1,0.4,0,18,2,'0'
1,0,3,62,2,3,2,3,0,0.555556,0,0,1,'0'
1,1,437,1,15,28,0.855556,251,2,0.133995,0,7,2,'1'
3,0,8,1,35,3,0.59375,571,2,0.234375,1,62,10,'0'
2,0,124,4,7,13,0.75,99,1,0.235294,1,4.764706,1,'0'
1,0,1,1,1,1,2,7,0,0.75,0,2.5,1,'0'
2,0,0,2,9,3,0,94,0,0.583333,1,22,3,'0'
1,0,0,24,3,1,2,1,0,1,0,0,1,'0'
2,0,0,0,4,4,0,80,0,0.444444,1,12.166667,3,'0'
3,0,318,1,5,29,0.86039,342,0,0.199234,1,10.413793,1,'1'
1,0,78,15,9,12,2,218,0,0.461538,0,15.769231,2,'1'
5,0,0,1,1,1,2,14,0,1,0,12,0,'0'
3,0,14,1,16,4,0.928571,297,0,0.371429,0,35.625,6,'0'
3,0,13,1,6,4,0.4,54,1,0.444444,1,7.833333,1,'0'
0,0,13,1,7,3,0.9,143,0,0.357143,0,22.5,1,'0'
1,0,0,21,0,1,2,1,0,1,0,0,1,'0'
2,6,7,6,5,5,0.6,49,2,0.375,0,6.833333,2,'0'
2,0,3,1,7,2,2,44,0,0.75,0,13.666667,1,'0'
1,3,46,6,7,8,0.454545,102,1,0.22619,0,7.416667,2,'0'
1,0,0,1,2,4,0.666667,28,2,0.4375,0,5.25,1,'0'
3,0,126,4,17,14,0.782895,299,2,0.16,1,13.55,2,'0'
0,2,6,2,3,1,2,93,0,0.4,0,22.25,4,'0'
4,2,1,2,5,2,1,17,1,0.875,0,7,0,'0'
3,0,1,0,4,1,2,9,0,0.75,1,3.5,1,'0'
4,0,0,1,1,1,2,5,0,1,0,4,0,'0'
5,0,3,1,1,3,2,16,0,0.777778,0,4.333333,0,'0'
1,0,161,10,1,22,0.829545,249,0,0.286957,0,9.478261,3,'0'
1,0,61,3,17,10,0.89011,189,1,0.1875,0,10.733333,1,'0'
1,0,6,0,3,2,2,93,0,1,1,22.25,1,'0'
2,0,4,2,8,7,0.619048,79,0,0.325,0,8.5,2,'0'
2,0,3,0,1,3,2,12,0,0.666667,1,3,1,'0'
3,3,6,10,0,4,2,20,0,0.666667,0,4,0,'0'
0,0,1,0,4,2,2,18,0,1,0,8,1,'0'
3,0,3,0,4,2,2,24,0,0.444444,1,7,1,'0'
1,0,0,0,1,1,2,1,0,1,0,0,1,'0'
2,0,0,0,1,4,0.333333,22,0,0.583333,0,4.25,1,'0'
1,0,73,0,10,10,0.461538,192,0,0.306122,0,12.571429,2,'0'
1,0,178,9,13,13,0.881579,587,2,0.210526,0,28.15,9,'0'
2,0,288,5,10,20,0.854167,204,0,0.246667,1,7.08,1,'0'
1,0,95,1,0,12,0.285714,106,0,0.377778,0,5.933333,1,'0'
5,0,6,4,2,3,0.916667,67,0,0.36,0,11.8,2,'0'
2,0,17,2,9,4,0.666667,61,0,0.261905,1,7.428571,1,'0'
1,0,0,2,3,1,2,1,0,1,0,0,1,'0'
1,0,1,16,1,2,2,2,0,0.7,0,0,1,'0'
5,0,0,1,1,2,1,22,0,0.666667,0,9,1,'0'
1,0,2,1,7,2,0.5,131,2,0.777778,0,31.25,3,'0'
1,0,33,0,5,5,0.777778,235,1,0.422222,0,22.2,4,'0'
3,0,0,2,12,1,0.55,99,1,0.3,1,14.833333,1,'0'
3,0,2,2,21,2,0.65625,272,1,0.28125,1,28.333333,2,'0'
3,0,39,4,12,5,0.777778,177,0,0.271605,0,16.6,5,'1'
2,2,1836,12,25,50,0.883876,1188,2,0.09612,0,17.265625,6,'1'
1,0,30,1,18,7,0.772727,479,1,0.418182,0,38.416667,17,'0'
3,0,16,1,5,7,0.25,87,1,0.311111,1,8.555556,1,'0'
4,0,10,1,7,5,2,41,0,0.466667,2,7.2,1,'1'
3,0,3,0,3,2,2,30,0,0.666667,0,9,1,'0'
5,0,59,1,16,10,0.764706,389,1,0.20915,1,20.166667,3,'0'
2,0,24,0,7,9,0.6875,78,1,0.407407,0,7.444444,1,'0'
4,0,8,0,9,3,0.5,91,1,0.44,2,17,1,'0'
1,0,4,1,5,4,0.333333,23,0,0.5,0,4.5,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
2,0,21,3,11,4,0.8625,180,1,0.2,1,14.636364,3,'0'
1,0,0,134,1,1,2,1,0,1,0,0,1,'0'
1,0,76,3,3,11,0.916667,180,0,0.1,0,12.769231,1,'1'
1,0,459,11,23,31,0.9,165,3,0.148387,0,4.225806,1,'0'
1,0,30,1,2,8,0.375,79,0,0.355556,0,7.666667,1,'0'
1,0,1,3,29,3,0.666667,190,2,0.416667,0,25.428571,1,'0'
2,0,0,1,11,3,0.464286,304,2,0.371429,1,36.5,2,'0'
1,0,3,0,5,3,2,19,0,0.533333,0,5.333333,1,'0'
1,0,43,4,4,11,1.014286,163,0,0.4,0,13.181818,4,'1'
4,0,1,2,3,1,2,24,0,0.666667,1,11,1,'0'
1,0,6,1,0,3,2,87,0,0.416667,0,20.75,2,'0'
1,0,3,0,6,3,2,41,0,0.833333,0,12.666667,2,'1'
2,0,0,3,1,7,0.611111,66,0,0.392857,0,8,2,'0'
1,0,0,0,0,1,2,1,0,1,0,0,1,'0'
4,0,0,1,12,4,0.208333,300,1,0.270833,1,32,1,'0'
3,0,8,2,8,4,0.75,61,1,0.45,1,11,3,'1'
3,0,28,3,4,13,0.555556,123,0,0.292308,1,8.230769,1,'0'
1,0,0,1,3,1,2,1,0,1,0,0,1,'0'
1,0,4,1,2,3,0.666667,17,1,0.5,0,3,1,'0'
1,2,6,2,4,1,2,96,0,0.45,0,23,3,'0'
1,0,37,1,10,11,0.980952,465,0,0.193333,0,29,3,'0'
1,0,8,3,5,5,0.25,39,0,0.7,0,6.6,1,'0'
2,0,0,8,7,6,0.571429,69,1,0.3,1,7.375,2,'0'
2,0,125,3,13,17,0.870588,162,0,0.179012,1,7.722222,3,'0'
1,1,34,3,12,3,0.80303,217,1,0.261364,0,16.583333,4,'0'
2,0,0,0,1,1,2,6,0,1,0,3,0,'0'
1,3,1214,6,28,45,0.786096,737,2,0.106618,0,12.961538,7,'0'
3,0,3,1,4,2,2,17,0,0.5,1,4.666667,1,'0'
3,0,6,0,3,8,0.4375,82,2,0.416667,1,7.888889,3,'0'
1,0,0,1,3,13,0,70,1,0.326923,0,4.307692,1,'0'
3,0,93,1,14,8,0.821429,217,0,0.261905,2,13.2,2,'0'
3,0,1,1,4,2,2,47,0,0.75,0,22.5,1,'1'
0,0,3,1,0,2,2,106,0,0.777778,0,34.333333,9,'0'
4,0,3,3,3,3,2,12,0,0.666667,1,3,1,'1'
1,7,24,7,4,5,0.375,125,2,0.444444,0,12.666667,2,'0'
1,0,1,4,2,2,2,7,0,0.75,0,2.5,1,'1'
3,0,1,0,4,1,2,9,0,0.75,1,3.5,1,'0'
1,0,3,1,1,0,2,63,0,0.5,0,20,1,'0'
3,1,0,4,5,5,0.166667,41,1,0.47619,1,4.714286,1,'0'
3,0,16,1,5,8,0.809524,66,1,0.34375,1,6.875,4,'0'
2,27,0,27,5,6,0.285714,47,1,0.34375,1,4.75,1,'0'
1,0,78,2,14,12,2,80,0,0.326923,0,5.153846,1,'1'
1,1,112,2,5,12,0.8,151,2,0.266667,0,8.1875,4,'0'
2,0,834,4,8,44,0.5,345,0,0.261364,1,6.795455,1,'1'
1,1,0,1,0,4,0,27,0,1,0,5.5,1,'0'
3,1,8,5,8,7,0.458333,127,1,0.375,0,12.777778,2,'0'
1,0,0,5,0,1,2,1,0,1,0,0,1,'0'
0,0,7,2,18,3,0.6,323,0,0.457143,0,52.5,4,'0'
1,0,270,2,23,24,0.927536,127,3,0.180556,0,4.166667,1,'0'
1,1,45,4,10,12,0.714286,169,5,0.35,0,9.8,3,'0'
2,0,4,12,1,2,0.952381,89,7,0.444444,1,19.5,1,'1'
1,0,7,1,3,7,0.583333,48,2,0.392857,0,5.571429,3,'0'
3,0,3,0,7,1,2,45,0,0.555556,1,14,1,'0'
4,0,73,1,9,13,0.634615,236,1,0.257143,1,15.571429,6,'1'
2,2,15,2,5,4,0.333333,44,0,0.285714,0,5.142857,3,'0'
3,0,0,0,1,3,0,21,0,0.625,2,4,1,'0'
1,0,0,10,2,1,2,1,0,1,0,0,1,'0'
4,0,15,1,5,5,1,43,0,0.444444,0,6,1,'0'
1,0,0,3,2,1,2,1,0,1,0,0,1,'0'
1,0,1,2,4,1,2,21,0,0.5,0,9.5,1,'0'
1,0,0,30,0,1,2,1,0,1,0,0,1,'0'
1,0,6,5,2,4,1.333333,5,0,0.5625,0,0,1,'0'
5,1,1,2,8,1,2,26,0,0.666667,1,12,1,'0'
3,0,1,0,7,1,2,19,0,0.666667,1,8.5,1,'0'
1,0,0,2,1,3,0,17,1,0.666667,0,4.333333,1,'0'
2,0,217,4,18,23,0.636364,247,3,0.241546,1,9.608696,2,'0'
1,0,1,1,9,2,0.5,141,1,0.666667,0,45.333333,6,'1'
1,0,112,5,4,14,0.6,273,0,0.4875,0,15.9375,1,'1'
5,0,0,1,1,2,1,21,0,0.75,0,8.5,1,'0'
2,1,0,1,6,7,0.25,66,1,0.388889,1,6.222222,1,'1'
3,0,10,1,4,4,1,35,0,0.44,0,5.8,1,'0'
2,13,9792,59,69,130,0.895238,1747,3,0.057143,0,11.326241,6,'1'
4,0,4,1,7,2,0.5,63,1,0.4,2,11.4,1,'0'
1,0,1,1,1,2,2,121,0,0.666667,0,59.5,13,'0'
2,0,25,3,11,8,0.766667,73,0,0.25,0,5.363636,1,'0'
1,0,1,1,1,2,2,2,0,1,0,0,1,'0'
2,0,3,2,4,3,2,10,0,0.555556,0,2.333333,1,'0'
1,0,3,11,1,3,2,3,0,0.833333,0,0,1,'0'
0,0,41,0,6,11,0.833333,99,2,0.393939,0,7.727273,5,'0'
2,0,3,0,1,3,2,12,0,0.666667,1,3,1,'0'
1,0,490,11,22,32,0.892473,171,3,0.136364,0,4.25,1,'0'
4,0,0,1,5,4,0.4,85,1,0.4,1,12.833333,1,'1'
3,0,26,1,8,9,0.555556,214,2,0.307692,1,15.230769,8,'1'
3,0,80,3,8,16,0.1875,187,0,0.245098,2,9.941176,5,'0'
3,0,0,1,3,2,0.333333,86,0,0.4375,2,20.25,3,'0'
1,4,9,5,0,5,0.6,23,0,0.5,0,2.666667,1,'0'
0,2,36,2,14,2,2,217,0,0.37037,0,23.111111,2,'0'
1,0,6,5,4,3,2,62,0,0.458333,0,14.5,3,'0'
1,0,6,0,10,3,2,76,0,0.25,0,18,1,'0'
3,0,0,1,6,5,0.666667,84,2,0.285714,1,10.571429,1,'1'
4,0,5,0,4,1,0.5,102,0,0.6,2,15.666667,2,'0'
1,0,0,8,1,1,2,1,0,1,0,0,1,'0'
3,2,3,3,3,2,2,28,0,0.777778,1,8.333333,1,'0'
3,1,1808,6,24,55,0.77381,615,3,0.089167,2,8.967213,5,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
1,0,6,0,0,1,2,79,0,0.375,0,18.75,5,'0'
3,0,129,3,11,16,0.8,157,4,0.173684,1,7,3,'1'
1,1,0,4,5,24,0.08,236,1,0.258242,0,8.038462,2,'1'
1,0,0,0,0,0,2,15,0,0,0,0,0,'0'
2,4,34,5,7,8,0.636364,172,1,0.25,0,13.166667,3,'0'
1,0,43,1,3,10,0.1,124,1,0.363636,0,10.181818,3,'0'
1,0,231,163,1,22,2,22,0,0.25974,0,0,1,'0'
3,0,36,5,12,7,0.781818,152,2,0.25974,0,11.25,2,'0'
1,0,0,1,2,3,0.5,29,0,0.666667,0,8,1,'0'
0,0,1,1,4,2,2,50,0,0.75,0,24,1,'0'
3,0,1,1,18,2,0.857143,136,2,0.666667,0,42,1,'0'
2,0,17,6,5,6,0.666667,90,0,0.375,0,11.571429,2,'0'
1,0,39,0,4,13,0.692308,231,0,0.261538,0,15.142857,1,'0'
1,0,1,1,3,2,2,52,0,0.666667,0,25,3,'0'
1,0,1,0,2,2,2,7,0,0.75,0,2.5,1,'0'
4,1,1,5,4,2,2,5,0,0.75,0,1.5,1,'0'
1,0,815,4,7,35,0.833333,792,1,0.261905,0,17.186047,1,'0'
1,0,149,1,0,18,0.558824,114,0,0.183333,0,5.222222,2,'0'
3,0,61,1,5,14,0.595238,168,0,0.366667,1,10,2,'1'
4,0,15,0,6,5,2,45,0,0.3,0,6.5,1,'0'
3,0,0,1,10,5,0.6,203,0,0.4,0,32.333333,1,'0'
1,0,131,9,6,16,0.882353,144,1,0.235294,0,6.666667,2,'0'
1,0,0,11,1,1,2,1,0,1,0,0,1,'0'
2,0,3,0,1,3,2,12,0,0.666667,1,3,1,'0'
4,0,13,1,6,10,0.555556,82,1,0.375,1,7,2,'1'
5,1,0,1,9,7,0.666667,198,0,0.3125,0,23,4,'0'
1,0,78,0,3,15,0.76,134,0,0.175,0,7.0625,1,'0'
2,0,9,1,1,6,0.2,41,0,0.5,0,5.666667,2,'0'
1,2,9,4,7,10,0.666667,86,3,0.285714,0,7.3,3,'0'
3,2,37,2,6,4,0.666667,127,0,0.3,1,10.272727,1,'0'
2,2,42,7,14,8,0.666667,340,1,0.213675,1,24.769231,2,'1'
2,1,1723,12,40,48,0.930328,1182,8,0.075261,1,17.741935,7,'1'
3,2,77,9,9,11,0.576923,106,2,0.265306,1,6.428571,2,'0'
1,0,36,0,6,8,2,49,0,0.142857,0,4.444444,1,'0'
5,0,51,1,14,10,0.722689,369,1,0.20915,1,19.111111,3,'0'
