@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
1,0,15,16,3,6,2,6,0,0,0,0,1,'1'
3,0,9,1,9,6,0.5,55,1,0.970297,5,6.714286,2,'0'
1,0,78,44,16,17,0.96875,462,1,0,0,25.588235,2,'0'
1,0,55,12,2,13,0.153846,212,2,0,0,14,1,'0'
1,0,4934,44,48,62,0.90559,2911,6,0,0,23.853448,13,'1'
1,0,0,0,1,2,0,35,2,0,0,15.5,2,'0'
2,0,0,0,5,1,2,7,0,1,0,6,0,'0'
5,0,1,1,16,2,0.5,177,0,0.982456,7,57.666667,1,'0'
1,0,211,0,12,28,0.656566,1600,3,0,0,45.794118,7,'0'
2,26,3,29,8,2,2,24,0,0.964286,2,7,1,'0'
1,0,2,2,8,2,0.333333,475,1,0,0,117.25,1,'0'
3,0,0,0,3,19,0.5,498,0,0.5,2,22.47619,3,'0'
3,0,1,1,19,7,0.333333,70,0,0.922078,8,8.857143,2,'0'
1,0,66,1,0,12,2,12,0,0,0,0,1,'0'
1,0,0,0,0,0,1.266667,90,0,0,0,15.25,4,'0'
1,6,0,9,7,19,0.238095,152,1,0,0,5.863636,1,'0'
1,0,36,16,4,9,2,9,0,0,0,0,1,'0'
2,0,71,6,25,13,0.538462,167,0,0.733333,3,10.857143,2,'0'
1,0,0,2,2,1,2,1,0,0,0,0,1,'0'
4,1,0,2,1,1,2,4,0,1,0,3,0,'0'
3,0,8,1,8,5,0.5,92,0,0.904762,6,17.2,8,'0'
4,0,0,1,1,1,2,5,0,1,0,4,0,'0'
4,0,6,0,8,4,2,121,0,0.985366,4,29.25,1,'0'
2,1,0,2,3,8,0.238095,157,2,0.588235,5,18.25,3,'0'
6,1,31,9,49,11,0.810458,1125,1,0.853448,8,61,6,'0'
2,0,20,0,14,6,0.571429,189,2,0.5,1,22.25,8,'1'
4,0,3,0,12,3,2,59,0,0.979592,13,18.666667,3,'0'
4,0,1,1,5,1,2,65,0,0.995261,4,31.5,1,'0'
3,0,3,2,0,3,2,61,0,0.95,2,19.333333,5,'0'
2,0,3,1,2,0,2,24,0,0.5,0,7,2,'0'
1,0,50,0,4,16,0.65625,569,0,0,0,32.235294,14,'0'
2,0,0,1,0,7,0,213,0,0.684211,2,29.285714,1,'0'
4,0,1,0,5,2,2,17,0,0.979592,6,7.5,1,'0'
1,0,0,0,0,1,2,5,0,0,0,3,0,'0'
1,0,0,3,0,0,2,36,0,0,0,28,0,'0'
1,0,0,2,2,1,2,1,0,0,0,0,1,'0'
2,1,6,1,5,4,2,58,0,0.823529,4,13.5,5,'0'
3,1,0,5,1,1,2,4,0,1,0,3,0,'0'
1,0,1,1,1,2,2,2,0,0,0,0,1,'0'
3,0,210,12,13,20,0.916667,979,0,0.465116,2,37.6,17,'1'
3,0,188,2,6,15,1.019737,859,0,0.709677,8,41.55,12,'1'
1,0,0,4,0,3,0,38,0,0,0,11.333333,1,'0'
1,0,1,53,1,2,2,2,0,0,0,0,1,'0'
4,1,1873,3,23,57,0.911111,2275,11,0.591195,19,32.507463,13,'1'
3,0,3,2,5,3,2,25,0,0.953488,1,7.333333,1,'0'
3,0,119,2,64,13,0.85,1465,4,0.756757,3,75.578947,9,'0'
1,2,1037,8,16,48,0.878405,2724,6,0,0,36.760563,12,'1'
2,0,0,1,17,4,0.166667,93,0,0.8,0,21.75,12,'0'
4,0,4,1,4,4,0.666667,26,0,0.964286,0,5.25,1,'0'
3,0,0,12,0,1,2,5,0,1,0,4,0,'0'
2,10,10,16,11,4,2,56,0,0.931034,4,10.2,1,'0'
3,0,0,2,33,5,0.45,416,2,0.918033,8,67.666667,28,'0'
2,0,0,1,0,7,0,65,0,0.684211,2,8.142857,1,'0'
5,0,6,1,17,3,2,468,0,0.986111,6,116,3,'1'
1,0,57,2,4,19,0.666667,154,1,0,0,7,1,'0'
2,4,30,5,3,6,0.912946,505,0,0.704545,0,27.058824,3,'1'
1,6,466,98,11,31,0.806452,276,1,0,0,7.59375,3,'0'
6,0,6,0,10,3,2,113,0,0.955224,8,27.25,1,'0'
4,0,21,4,22,5,2,452,0,0.923077,7,63.571429,14,'0'
4,0,1,1,2,2,2,13,0,0.987805,0,5.5,1,'0'
1,0,561,3,13,34,2,34,0,0,0,0,1,'0'
1,0,0,6,2,4,0.4375,115,2,0,0,21.2,4,'1'
2,0,0,4,2,11,0.55,127,1,0.583333,3,10.363636,3,'0'
2,2,0,2,1,2,0.5,32,0,0.75,0,9,1,'0'
1,0,3,2,4,3,2,141,0,0,0,46,1,'1'
7,2,0,4,10,4,0.2,94,0,0.970803,10,14.5,3,'0'
5,0,28,2,3,8,2,31,0,0.951049,19,2.875,2,'0'
3,0,3,0,1,3,2,10,0,0.989899,4,2.333333,1,'0'
1,0,0,24,2,1,2,1,0,0,0,0,1,'0'
8,0,2,2,8,3,0.333333,97,1,0.978571,2,22.75,4,'0'
3,0,3,1,5,3,2,19,0,0.952381,1,5.333333,1,'0'
1,0,0,7,4,9,0.5,101,1,0,0,10,2,'0'
4,0,1,0,5,2,2,15,0,0.979592,6,6.5,1,'0'
1,0,3,0,6,3,2,41,0,0,0,12.666667,6,'0'
1,0,0,20,9,21,0.68254,476,2,0,0,20.363636,3,'0'
7,0,6,3,14,8,0.409091,230,1,0.93007,13,18,5,'1'
1,0,114,2,8,29,0.846429,394,4,0,0,12.241379,1,'0'
1,0,0,0,0,1,2,1,0,0,0,0,1,'0'
5,0,3,1,6,2,2,40,0,0.990698,4,12.333333,1,'0'
2,1,2,1,0,3,0.666667,91,0,0.942857,3,21.25,3,'1'
4,0,1,0,1,2,0.5,599,0,0.97619,0,198.333333,1,'0'
5,0,1,0,2,2,2,6,0,0.995833,1,2,1,'0'
4,0,0,1,20,4,0.333333,149,0,0.979592,4,36,10,'0'
4,0,1,1,7,3,0.5,26,1,0.990868,0,7.333333,1,'0'
2,1,36,20,6,1,2,28,0,0.6,0,2.111111,1,'0'
4,0,0,0,26,3,0.166667,264,3,0.979592,15,86,3,'0'
1,0,0,5,0,0,2,136,0,0,0,119,0,'0'
4,0,1,0,13,2,2,43,0,0.989691,4,20.5,2,'1'
1,0,3,4,3,3,1,183,3,0,0,58.666667,5,'0'
4,0,3,1,9,1,2,169,0,0.990566,1,55.333333,1,'0'
4,0,25,1,7,10,0.555556,86,1,0.905263,22,7.5,2,'1'
7,0,0,1,19,2,0,171,3,0.985185,4,54.666667,6,'0'
4,1,1,2,7,1,2,50,0,0.995261,2,24,1,'0'
3,0,3,2,5,3,2,25,0,0.953488,1,7.333333,1,'0'
2,0,0,1,5,2,0.444444,152,2,0.727273,4,36.25,1,'0'
3,0,0,0,13,4,0.333333,44,0,0.959459,7,9.75,1,'0'
5,0,15,1,15,4,2,193,0,0.977064,4,31.166667,6,'1'
3,0,15,0,9,6,2,160,0,0.975124,5,25.666667,4,'0'
1,0,1,4,0,2,1.456897,583,0,0,0,174,3,'0'
4,0,1,0,8,2,2,72,0,0.979592,7,35,1,'0'
3,0,0,0,20,4,0.75,144,1,0.933333,6,27.4,3,'0'
1,0,66,2,13,9,0.909091,477,0,0,0,38.583333,5,'1'
2,0,337,4,17,19,0.894661,1704,6,0.288889,0,48.5,18,'0'
3,0,55,1,2,11,2,44,0,0.830189,0,3,1,'0'
3,2,241,11,14,26,0.733333,1095,2,0.641975,9,34.16129,17,'0'
1,0,0,2,0,0,2,0,0,0,0,0,0,'0'
4,9,28,9,9,4,2,110,0,0.872727,5,12.75,2,'0'
3,0,53,2,5,15,0.785714,164,5,0.933333,5,9.6,2,'0'
3,0,27,1,9,14,0.666667,290,2,0.937799,4,19.5,2,'0'
4,0,3,1,6,2,2,54,0,0.990566,3,17,1,'0'
4,1,4,7,4,4,0.666667,30,0,0.990868,0,6.25,1,'0'
1,0,0,3,4,5,0.65,328,2,0,0,63.6,3,'0'
2,0,0,0,4,9,0.5,67,2,0.714286,1,6.222222,1,'0'
4,0,0,1,17,8,0.142857,135,2,0.925532,3,15.625,2,'0'
3,0,1,0,5,2,0.5,37,1,0.965517,4,11,1,'0'
1,0,666,41,0,37,2,37,0,0,1,0,1,'0'
1,0,0,3,0,1,2,1,0,0,0,0,1,'0'
3,0,6,1,10,3,2,43,0,0.949153,4,9.75,1,'0'
5,0,1,0,5,2,2,65,0,0.982143,8,31.5,1,'0'
1,0,0,3,4,4,1.211538,391,1,0,0,69.4,2,'0'
3,12,8,13,0,3,1.223684,424,0,0.926829,0,80,3,'0'
3,0,0,1,24,5,0.4,201,2,0.918033,6,32.166667,3,'0'
1,0,3,0,11,3,2,261,0,0,0,86,1,'0'
4,0,15,10,30,5,2,282,0,0.938272,12,46,8,'0'
4,2,516,24,19,31,0.96875,600,6,0.801471,29,17,2,'1'
1,6,3,7,1,0,2,6,0,0,0,1,1,'0'
3,0,617,4,28,27,0.86031,2387,9,0.830508,6,55.571429,26,'0'
1,0,0,0,0,1,2,68,0,0,0,3,0,'0'
3,0,0,2,28,5,0.65,361,3,0.918033,5,58.5,13,'0'
2,0,10,1,1,5,2,305,0,0.5,5,60,8,'0'
3,0,0,0,14,7,0.285714,117,1,0.965517,5,13.5,2,'0'
1,0,0,4,6,42,0.783972,437,2,0,0,9.238095,6,'0'
1,0,0,1,0,1,2,16,1,0,0,12,0,'0'
3,0,3,1,5,3,2,24,0,0.952381,1,7,1,'0'
4,0,3,0,22,3,2,131,0,0.979592,14,42.666667,5,'0'
1,0,1,0,11,4,0.75,499,0,0,0,69.714286,7,'0'
3,0,89,1,32,7,1.030769,805,0,0.821918,5,55.785714,11,'0'
1,0,0,1,0,1,2,1,0,0,0,0,1,'0'
1,0,9,1,17,7,0.722222,593,0,0,0,82.857143,10,'1'
3,2,99,15,20,18,0.907407,335,3,0.769231,4,16,7,'0'
1,0,0,6,1,1,2,1,0,0,0,0,1,'0'
1,0,3,0,0,10,0.329412,833,0,0,0,45,8,'0'
3,0,1,1,3,2,2,13,0,0.97619,1,5.5,1,'0'
3,0,0,2,25,6,0.333333,213,2,0.934211,7,34,4,'0'
4,3,52,7,9,12,0.840909,96,1,0.887755,3,6.666667,6,'0'
2,0,10,1,9,7,0.714286,180,1,0.915663,1,21,8,'0'
3,2,189,24,11,22,0.942857,179,4,0.903226,14,6.681818,1,'0'
3,0,7,1,35,7,0.644444,658,2,0.861538,9,64.3,13,'0'
1,0,10,6,0,5,2,5,0,0,0,0,1,'0'
2,0,201,9,36,21,0.52381,715,0,0.622642,4,31.454545,7,'1'
5,2,22,3,26,9,0.75,158,1,0.925234,4,16.222222,2,'0'
4,0,1,0,1,2,0.5,614,0,0.97619,0,203.333333,1,'0'
5,0,36,1,10,6,2,195,0,0.963801,7,20.666667,16,'1'
1,0,0,8,0,11,0.425,234,0,0,0,19.909091,4,'0'
2,0,0,1,3,8,0.628571,212,1,0.588235,5,24.875,12,'0'
1,0,0,1,0,1,2,16,0,0,0,12,0,'0'
3,0,0,0,33,10,0.185185,600,2,0.8875,9,58.7,7,'0'
1,0,666,24,4,37,1.027778,51,0,0,0,0,1,'0'
1,0,0,4,2,1,2,1,0,0,0,0,1,'0'
3,1,218,10,8,34,0.625,693,2,0.682692,9,17.621622,12,'1'
1,0,428,2,1,28,0.834921,967,3,0,0,25.111111,2,'0'
4,2,354,6,12,28,0.88172,657,2,0.866953,19,19.25,10,'0'
2,0,0,17,0,8,0.285714,119,0,0.666667,0,13.75,2,'0'
4,0,24,0,21,5,0.53125,311,1,0.923077,13,33.111111,6,'0'
3,0,3,1,1,6,0.6,33,0,0.975124,2,4.166667,1,'0'
5,1,0,8,13,16,0.4375,281,2,0.892857,9,15.411765,7,'0'
3,0,121,10,22,21,0.852381,485,4,0.740741,7,20.590909,8,'0'
1,1,0,4,4,1,2,28,4,0,0,21,0,'0'
3,0,0,6,0,2,1.095238,54,0,0.944444,0,10.75,1,'0'
1,0,0,6,0,1,2,1,0,0,0,0,1,'0'
6,0,0,1,5,3,0.25,129,0,0.979021,1,24.6,17,'0'
3,0,37,6,2,10,0.888889,52,0,0.956098,1,3.8,1,'0'
1,0,3,51,2,15,1.015345,485,0,0,0,20.833333,3,'0'
2,0,1,1,2,6,0.5,199,1,0.85,6,27.142857,6,'0'
1,0,6,1,7,3,0.660714,399,0,0,0,47.875,7,'0'
1,0,45,26,0,10,1.111111,11,0,0,0,0,1,'0'
1,0,0,1,0,5,0.5,30,0,0,0,4.6,1,'0'
3,0,0,1,17,4,0.25,129,1,0.933333,5,24.4,5,'0'
4,0,0,2,0,0,2,5,0,1,0,4,0,'0'
4,0,1,0,1,2,0.5,426,0,0.97619,0,140.666667,1,'0'
2,0,3,1,2,6,0.733333,462,0,0.772727,1,75,2,'0'
3,0,0,33,25,8,0.583333,508,2,0.910256,7,55.111111,5,'0'
4,0,1,0,1,2,0.5,614,0,0.97619,0,203.333333,1,'0'
3,0,15,3,15,10,0.7,228,1,0.951456,5,19.454545,4,'0'
1,0,0,2,0,2,0,29,0,0,0,12,0,'0'
1,0,0,26,3,7,0,155,0,0,0,21,4,'0'
1,0,0,0,0,1,2,353,0,0,0,3,0,'1'
3,0,10,2,3,5,2,39,0,0.98,4,6.8,1,'0'
2,0,3,1,2,0,2,24,0,0.5,0,7,2,'0'
3,0,0,0,1,1,2,4,0,1,0,3,0,'0'
2,0,0,3,2,5,0,82,1,0.966667,0,15.2,1,'0'
3,0,28,1,0,7,1.142857,430,0,0.857143,0,17.375,2,'1'
2,0,5,1,11,6,0.583333,131,2,0.9,5,17.428571,6,'0'
1,0,6,6,1,4,2,4,0,0,0,0,1,'0'
3,0,9,2,1,6,0.6,49,0,0.975124,5,7,3,'0'
4,0,0,0,8,3,0,51,1,0.979592,13,15.666667,2,'0'
5,0,1,3,1,2,2,11,0,1,0,4.5,0,'0'
2,0,575,1,11,41,0.863946,1086,2,0.236364,0,23.930233,2,'0'
3,0,3,2,5,3,2,25,0,0.953488,1,7.333333,1,'0'
5,0,27,1,8,9,0.844444,79,0,0.945205,5,6.4,2,'0'
1,1,76,11,1,20,0.858333,409,0,0,0,18.190476,8,'1'
1,0,151,43,1,17,0.941176,258,0,0,0,13.277778,5,'1'
3,0,0,0,21,7,0,143,1,0.934211,7,19.285714,2,'0'
3,0,3,1,9,3,2,50,0,0.95,6,15.666667,1,'0'
3,0,6,0,20,8,0.375,217,1,0.960784,5,23,2,'0'
3,0,0,5,17,4,0.833333,127,0,0.949153,3,30.25,4,'0'
4,7,6,12,9,8,0.375,123,1,0.857143,9,12.555556,6,'0'
3,1,1,24,3,9,0.703704,99,2,0.910256,22,8.6,3,'1'
5,0,46,4,22,13,0.6,561,2,0.899281,13,33.9375,9,'1'
1,0,0,1,15,9,0.633333,360,2,0,0,31.181818,11,'0'
1,0,0,13,3,9,0.97076,247,3,0,0,21.8,4,'1'
4,0,1,1,5,1,2,27,0,0.995261,2,12.5,1,'0'
2,0,0,0,5,8,0.666667,271,3,0.5,5,23.090909,4,'0'
4,0,1,0,1,2,0.5,79,0,0.975,3,25,3,'0'
4,0,1,0,1,2,0.5,575,0,0.97619,0,190.333333,1,'0'
5,0,1,3,0,2,2,12,0,1,0,5,0,'0'
2,0,0,0,2,8,0.666667,152,1,0.588235,5,17.25,5,'0'
4,1,8,4,2,12,0.541667,257,0,0.771429,4,18.615385,5,'0'
1,0,0,1,4,8,0.472222,182,2,0,0,16.8,2,'0'
3,0,9,1,7,6,0.833333,134,1,0.934211,12,20.333333,1,'0'
2,0,10,2,0,5,2,107,0,0.888889,2,20.4,4,'0'
1,0,0,1,1,0,1.269231,80,1,0,0,12.5,3,'0'
1,0,0,1,4,0,0.833333,84,2,0,0,25,4,'0'
4,0,3,1,15,3,2,56,0,0.979592,6,17.666667,1,'0'
3,4,0,4,6,6,0.166667,119,1,0.970297,0,15.857143,2,'0'
5,4,6,6,9,8,0.375,124,1,0.875,15,12.666667,6,'0'
1,0,3,1,13,3,2,207,0,0,0,68,11,'0'
1,0,121,3,18,9,0.680272,943,4,0,0,41.545455,19,'0'
5,0,15,1,1,6,2,34,0,1,0,4.666667,0,'0'
3,0,8,1,7,5,0.5,59,0,0.904762,6,10.6,2,'0'
7,0,0,1,10,3,0,119,0,0.985185,3,38.333333,5,'0'
1,1,13,3,2,2,0.861111,99,2,0,0,11.428571,1,'0'
2,0,0,2,11,18,0.447368,186,2,0.540541,1,8.2,2,'0'
5,0,3,0,6,3,2,45,0,0.964912,7,14,1,'0'
3,0,232,2,5,18,0.901042,807,1,0.676923,6,30.96,18,'1'
2,0,0,0,2,11,0.566667,120,1,0.5,5,9.636364,5,'0'
4,1,39,11,10,9,0.8,333,0,0.964286,2,28.909091,4,'0'
1,0,23,4,2,8,0.925,419,1,0,0,36.363636,10,'1'
3,0,3,1,5,3,2,42,0,0.953488,6,13,1,'0'
3,0,10,0,6,5,2,69,0,0.98,5,12.8,1,'0'
2,1,2426,155,22,78,0.936207,1294,11,0.195876,0,14.617284,5,'1'
1,0,0,1,2,5,0.3,69,0,0,0,10.166667,3,'0'
1,0,0,2,0,1,2,1,0,0,0,0,1,'0'
2,0,3,5,25,2,0.7875,2654,0,0.848485,2,436,36,'1'
4,0,1,0,1,2,0.5,349,0,0.975,3,115,6,'0'
6,0,1,2,33,10,0.518519,302,2,0.925234,4,28.9,8,'0'
4,0,3,1,8,3,2,176,0,0.975904,12,57.666667,1,'0'
3,0,0,87,2,6,0.1,97,2,0.894737,1,14.833333,3,'0'
5,0,3,0,11,3,2,37,0,0.99,5,11.333333,1,'0'
1,0,4,1,6,3,0.75,127,2,0,0,22.8,1,'0'
3,1,87,6,15,18,0.6,336,3,0.816092,24,16.421053,9,'1'
3,3,3,30,33,3,2,242,0,0.978723,0,79.666667,2,'0'
4,0,1,0,13,2,2,44,0,0.989691,4,21,2,'0'
1,0,58,3,1,16,0.741667,261,1,0,0,14.8125,3,'0'
1,0,783,4,9,1,0.962585,1954,2,0,0,43.465116,19,'1'
3,0,4,6,13,5,0.571429,75,0,0.922078,8,8.125,1,'0'
3,0,0,4,18,7,0.583333,262,0,0.875,6,24.8,10,'0'
1,0,0,6,0,12,0.361111,160,0,0,0,11.076923,2,'0'
1,0,0,1,1,2,0,67,1,0,0,20,3,'0'
5,0,1,0,5,2,2,43,0,0.982143,7,20.5,1,'0'
5,0,1,1,8,1,2,50,0,0.995283,2,24,1,'0'
1,0,1026,19,9,47,0.895161,1204,3,0,0,21.132075,17,'0'
1,0,0,3,2,21,0.59,357,0,0,0,15.761905,4,'0'
2,0,4,2,3,5,1,61,3,0.904762,1,10,1,'0'
1,0,254,3,0,20,0.902778,559,0,0,0,21.12,3,'0'
4,0,1,0,18,2,2,61,0,0.989691,4,29.5,1,'0'
1,0,0,0,0,1,2,16,1,0,0,12,0,'0'
3,0,1,1,3,2,2,13,0,0.97619,1,5.5,1,'0'
1,0,5942,5,5,118,0.798319,1019,1,0,0,7.466667,4,'0'
2,0,1235,27,55,43,0.948113,1914,6,0.504673,7,34,9,'1'
3,0,3,2,5,3,2,25,0,0.953488,1,7.333333,1,'0'
3,0,0,0,22,3,0.333333,115,0,0.949153,5,27.5,2,'0'
5,0,83,0,8,13,0.821429,210,0,0.729167,6,12.866667,3,'0'
1,0,0,0,0,1,2,10,0,0,0,3,0,'0'
1,0,0,2,8,33,0.817582,914,2,0,0,24.027778,7,'0'
1,1,5,6,19,7,0.733333,321,4,0,0,44.142857,1,'0'
1,5,78,40,13,13,2,40,0,0,0,2.076923,1,'0'
1,0,15,4,6,8,0.619048,331,1,0,0,20.466667,1,'1'
3,0,0,1,41,5,0.55,531,4,0.923077,4,86.833333,4,'1'
1,0,516,10,16,35,0.929143,831,9,0,0,21.388889,12,'0'
5,0,1,0,4,2,2,28,0,0.982143,7,13,1,'0'
1,12,10,28,0,5,2,19,0,0,0,2.8,1,'0'
7,0,3,1,4,1,2,31,0,0.985185,5,9.333333,2,'0'
3,0,0,1,25,4,0.25,253,1,0.933333,3,49.4,5,'0'
3,0,0,2,21,5,0.8,706,0,0.923077,7,114.333333,28,'1'
1,0,0,1,0,1,2,12,0,0,0,9,0,'0'
5,0,37,3,13,10,0.916667,141,0,0.938776,5,10.727273,2,'0'
5,0,6,1,5,3,2,64,0,0.976563,6,15,4,'0'
1,0,300,52,2,25,1.041667,28,0,0,0,0,1,'0'
3,0,0,0,2,1,2,4,0,1,0,3,0,'0'
1,0,0,1,2,15,0.628571,158,2,0,0,9.2,2,'0'
3,0,0,0,13,4,0.333333,44,0,0.959459,7,9.75,1,'0'
1,0,0,4,1,5,1,92,1,0,0,13.8,0,'0'
1,0,24,2,2,8,0.708333,143,1,0,0,14.555556,3,'0'
1,0,0,1,0,3,0.642857,55,0,0,0,15,0,'0'
3,23,68,25,37,15,0.848958,1894,4,0.763441,10,74.12,15,'1'
2,0,0,2,5,10,0.111111,78,1,0.689655,1,6.7,2,'0'
5,0,10,3,6,4,2,52,0,0.976563,4,9.4,3,'1'
1,0,37,0,0,10,0.777778,64,0,0,0,5,1,'0'
5,0,3,1,1,0,2,10,0,0.99095,1,2.333333,1,'0'
1,0,0,4,0,16,0.653409,621,0,0,0,34.882353,10,'0'
3,0,3,0,5,6,0.4,60,0,0.975124,4,8.833333,1,'0'
2,0,3,1,2,0,2,18,0,0.5,0,5,2,'0'
4,0,1,0,5,2,2,15,0,0.979592,6,6.5,1,'0'
1,1,92,22,2,14,0.888889,133,0,0,0,6.9375,3,'0'
2,0,0,0,1,4,0.833333,62,0,0.571429,4,14,3,'0'
1,0,42,4,5,13,0.625,345,0,0,0,25.384615,5,'0'
3,0,0,0,0,1,2,5,0,1,0,4,0,'0'
3,0,0,2,24,6,0.083333,282,1,0.922078,9,39,3,'0'
1,0,29,11,13,14,0.769231,546,0,0,0,37.642857,4,'0'
3,0,3,0,4,3,2,9,0,0.95,6,2,1,'0'
3,0,42,5,24,9,0.783333,663,1,0.823529,11,49.615385,18,'0'
2,1,714,14,7,56,0.739394,839,1,0.363636,4,13.875,9,'0'
1,0,3,1,5,0,0.611111,815,3,0,0,79.9,11,'1'
2,3,18,3,4,6,0.8,114,0,0.837838,1,12.625,1,'0'
2,0,13,2,2,5,0.9,104,1,0.871795,1,16,2,'0'
1,0,268,50,4,28,0.562963,732,0,0,1,24.964286,9,'0'
2,1,50,7,19,16,0.746667,356,1,0.666667,9,20.9375,9,'0'
1,0,0,1,0,0,0.681818,365,2,0,0,28.583333,10,'0'
3,0,0,1,21,7,0,143,1,0.934211,7,19.285714,2,'0'
1,0,223,2,2,28,0.634483,460,0,0,0,14.166667,5,'0'
5,0,54,2,9,12,0.9,119,0,0.926174,5,7.384615,2,'0'
4,0,0,0,0,1,2,5,0,1,0,4,0,'0'
5,0,0,1,33,8,0.142857,241,1,0.933962,4,29,6,'0'
1,2,21,3,5,7,2,13,0,0,0,0.857143,1,'0'
1,0,21,0,1,7,1,30,1,0,0,3,1,'0'
5,0,8,4,16,14,0.75,261,2,0.899281,10,15.0625,4,'0'
2,0,76,6,22,16,0.8,736,2,0.558824,1,44.6875,25,'0'
4,0,117,1,10,29,0.5,904,0,0.802721,20,28.032258,15,'1'
2,0,3,1,2,0,2,24,0,0.5,0,7,2,'0'
2,7,36,15,8,8,2,51,0,0.789474,7,4.666667,2,'0'
1,0,231,20,2,22,2,22,0,0,0,0,1,'0'
3,0,8,3,5,2,0.875,198,1,0.904762,0,38.2,2,'0'
3,0,3,0,20,5,0.4,183,1,0.918033,6,29.333333,5,'0'
1,0,45,53,0,10,1.111111,11,0,0,0,0,1,'0'
