@relation mydataframe
@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute fix numeric
@attribute pd numeric
@attribute npt numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
2,2,0,0,0,0,0.2,8233.378571,1065,'1'
6,28,0,0,0,0,0.009804,6168.622619,473,'1'
1,1,0,0.041667,0,0,1,8367.008333,471,'0'
1,1,0,0,0,0,1,8227.171429,395,'0'
2,2,0,0,0,0,0.5,8353.008333,587,'0'
1,1,0,0.060686,0,0,1,8367.008333,471,'0'
1,1,0,0.079365,0,0,1,8367.008333,471,'0'
1,2,0.088232,1.416667,1,34,1,11.866667,3,'0'
1,1,0,0.12,1,5,1,8229.486905,400,'0'
1,1,0,0.420561,0,0,1,8276.378571,417,'0'
2,21,0,0,0,0,0.006993,5905.622619,286,'0'
3,10,0.74748,0.302469,0,82,0.333333,8222.171429,1087,'0'
1,2,0.561838,0.09375,0,64,0.666667,8340.008333,458,'0'
2,3,0,0,0,0,0.333333,8206.917857,1015,'0'
1,1,0,2.272727,1,17,1,9.866667,1,'0'
5,6,0.720227,0.102731,0,151,0.714286,8336.008333,1406,'0'
3,4,0.509454,0.176849,0,233,0.444444,8294.008333,1203,'0'
2,2,0,0,0,0,0.333333,8222.171429,1035,'0'
3,3,0.955232,0.481481,0,6,0.666667,8240.008333,1175,'0'
3,5,0.641848,0.566396,0,235,0.444444,8274.008333,1185,'0'
4,7,0.576936,0.263757,0,74,0.5,8247.378571,1129,'0'
2,2,0,0,0,0,0.5,8274.008333,1122,'0'
1,1,0,0.05303,0,0,1,8223.171429,394,'0'
2,14,0,0,0,0,0.006993,5762.622619,143,'1'
3,39,0,0,0,0,0.006211,6066.622619,447,'1'
1,1,0,0.026316,0,0,1,8367.008333,87,'0'
1,1,0,0,0,0,1,8340.008333,82,'0'
2,3,0,0,0,0,0.090909,8294.008333,120,'0'
1,1,0,0,0,0,1,8344.008333,83,'0'
1,1,0,3.333333,0,1,1,5631.833333,8539,'1'
1,6,0,0,0,0,0.05,5918.8,15698,'1'
1,9,0.959278,0.010692,1,630,0.4,5692.916667,12224,'0'
1,1,0.693186,0.625536,1,430,0.777778,5324.75,10599,'1'
1,1,0,2.493827,0,19,1,250,228,'1'
1,2,0.11091,1.574713,1,81,1,5885.216667,15653,'1'
1,1,0,0,0,0,1,5279.666667,11412,'0'
1,1,0,0.128205,1,17,1,4461.642857,15917,'0'
1,2,0.054939,0.567073,0,234,0.666667,869.1,2242,'0'
1,1,0,0.210526,1,21,1,5283,11420,'0'
1,3,0.334163,0.727528,1,43,1,5286.666667,11419,'1'
1,1,0.628234,0.292683,0,57,0.666667,6116.5,9882,'0'
1,1,0,0.032558,0,6,1,768.25,1548,'0'
1,1,0,0.00463,0,7,1,756.416667,1533,'0'
1,1,0.884153,0.094845,1,134,1,753.416667,1530,'1'
1,4,0.677169,0.030973,0,158,0.75,748.416667,1523,'0'
1,1,0,0.034483,0,169,1,690.316667,1906,'0'
1,1,0,0.007353,1,7,1,675.316667,1891,'0'
1,3,0.607304,0.349842,0,1154,0.615385,601.25,1350,'1'
1,1,0,0.26087,1,46,1,1688.833333,1938,'0'
1,2,0.387051,0.136364,1,79,1,1671,1915,'1'
1,1,0.825627,0.126437,1,8,0.5,943.833333,1337,'1'
1,3,0.056432,0.959813,0,58,1,953.166667,1306,'1'
1,1,0,0.040909,1,4,1,948.166667,1301,'0'
1,3,0.804625,0.235892,0,77,0.8,922.666667,1274,'1'
1,2,0.126579,1.521739,1,6,0.333333,1081.5,1192,'1'
1,2,0.667714,0.029018,1,6,1,4265.5,6401,'0'
1,1,0,0.031933,0,1,1,783,1047,'0'
1,1,0,0.011589,0,0,1,777,1041,'0'
1,3,0.725686,0.02381,1,17,1,746.5,1000,'0'
2,2,0,0,0,0,0.25,8247.378571,118,'0'
1,1,0,0.736842,0,0,1,4454.5,6029,'0'
1,3,0.916726,0.082996,0,242,0.4,4415.5,5990,'1'
1,1,0,0,0,0,0.333333,2686,2678,'1'
1,43,0,0,0,0,0.004484,6495.622619,223,'1'
3,4,0.680559,0.616071,0,92,0.583333,8233.378571,1169,'1'
2,3,0,0.067164,0,0,0.25,6926.622619,652,'0'
1,1,0,0.285714,0,2,1,8224.171429,643,'0'
1,1,0,0.004167,1,29,1,37.866667,5,'0'
1,3,0.753502,0.082508,0,35,0.2,8179.222619,625,'0'
4,8,0.629258,0.25,0,93,0.4,8280.778571,2319,'1'
1,1,1,0.035088,0,20,0.5,8226.171429,645,'0'
2,3,0.63093,0.008969,1,30,0.333333,8223.946429,1043,'1'
1,1,0,0.007194,0,0,1,8367.008333,697,'0'
2,3,0.976305,0.031609,1,8,0.5,8211.84881,987,'0'
1,1,0,0.048851,1,19,1,38.783333,6,'0'
4,6,0,0,0,0,0.125,8329.008333,1279,'0'
1,49,0,0,0,0,0.003077,6820.622619,548,'1'
5,6,0,0,0,0,0.083333,8321.008333,1391,'0'
5,10,0.772281,0.144882,0,310,0.533333,8321.008333,1391,'0'
2,2,0.889513,0.032103,0,24,0.666667,8203.917857,1012,'0'
3,6,0.933574,0.316294,1,133,1,36.866667,12,'0'
4,6,0,0,0,0,0.045455,8200.917857,1059,'1'
1,19,0,0,0,0,0.015873,6883.622619,611,'1'
4,7,0.870059,0.204225,0,19,0.466667,8275.378571,1258,'0'
1,1,0,0,0,15,1,8253.378571,5,'0'
1,1,0,0,0,0,1,6926.622619,1,'0'
1,12,0,0,0,0,0.030303,6916.622619,33,'0'
3,4,0.886292,0.075153,1,46,0.666667,8229.946429,1088,'0'
3,4,0,0,0,0,0.142857,8254.008333,1150,'0'
3,3,0.64448,0.061033,0,96,0.714286,8254.008333,1150,'0'
2,2,0,0,0,0,0.25,8179.222619,664,'0'
1,1,0,0.031746,0,41,1,714.15,1797,'0'
1,1,0,0.223022,0,0,1,679.633333,1721,'0'
1,1,0,0,0,84,1,3602,13,'0'
1,3,0,0,0,137,1,3607,18,'0'
1,1,0,0,0,0,1,476,1,'0'
1,2,0.98648,2.438596,0,28,1,1899,8,'0'
1,1,0,0,0,0,1,1656,2,'0'
2,2,0.928839,0.093458,0,0,0.5,1778,1778,'0'
1,1,0,0.066667,0,0,1,1693,5,'0'
1,1,0,2.583333,0,0,1,1656,2,'0'
1,1,0,0,0,0,1,2692,9,'0'
1,1,0,0.769231,1,36,1,2824,10,'0'
1,1,0,0,0,0,1,1658,4,'0'
1,1,0,2.4,0,0,1,1658,4,'0'
1,2,0.591673,0.211414,1,25,1,5083.711905,1008,'1'
1,2,0,0,0,0,0.045455,4543.604762,682,'0'
1,2,0,0,0,0,0.25,4568.604762,707,'0'
1,3,0,0,0,0,0.2,4459.17619,792,'0'
1,1,0,0.272727,0,70,1,5432.361905,1055,'0'
1,1,0,0,0,0,1,4594.604762,733,'0'
1,1,0,0,0,0,0.333333,4564.604762,703,'0'
1,2,0.970951,0.042735,1,20,1,4483.642857,753,'0'
1,2,0,0,1,0,0.2,4473.642857,743,'1'
1,1,0.974252,0.160643,0,147,1,5578.016667,1063,'0'
1,1,0,0,0,56,1,5494.65,1056,'0'
1,1,0,0,0,0,1,4460.17619,793,'0'
1,1,0,0,0,0,0.25,4551.604762,690,'0'
1,4,0.484206,0.148241,0,18,0.5,4431.17619,764,'0'
1,3,0.533563,0.076687,1,20,1,4481.642857,751,'0'
2,252,0.30127,21,0,238874,0.276793,8223.622619,19576,'0'
2,6,0.358423,0.136086,1,349,1,5373.442857,17835,'1'
2,19,0,0,0,0,0.018182,4559.828571,16553,'1'
1,1,0,0,0,0,0.5,4422.388095,817,'0'
1,4,0.593229,0.14983,0,28,0.75,5075.616667,1003,'0'
1,6,0.697436,0.180371,0,206,0.533333,4459.17619,792,'0'
1,1,0.67839,0.12,0,28,0.25,4551.604762,690,'0'
1,4,0,0,0,0,0.166667,4582.604762,721,'0'
1,2,0,0,0,0,0.166667,4439.17619,772,'0'
1,1,0,0,1,0,0.333333,5412.845238,1040,'0'
1,1,0,1.028754,0,16,1,4439.17619,772,'0'
1,4,0.340311,0.427481,0,55,0.25,4582.604762,721,'1'
1,1,0,0.132743,0,0,1,5421.845238,1049,'0'
1,1,0,0.067524,1,10,1,5413.845238,1041,'1'
1,2,0.780502,0.81741,1,20,1,4466.642857,736,'0'
1,2,0.625829,0.148872,0,3,0.333333,4521.761905,651,'0'
1,3,0.78355,0.258065,0,48,1,5420.845238,1048,'0'
2,23,0.69565,0.014675,1,1734,0.461538,5526.65,18104,'1'
1,2,0.918296,0.002801,1,20,0.5,4475.642857,745,'0'
1,4,0.628475,0.1875,0,70,0.1,4564.604762,703,'1'
1,1,0,0.265625,1,8,1,5081.711905,1006,'0'
1,4,0.665893,0.86014,0,715,1,4562.388095,926,'1'
1,2,0,0.6,0,56,0.125,4543.604762,682,'1'
1,1,0,0.006667,0,1,1,4522.761905,652,'0'
1,1,0,0,1,0,1,4466.642857,736,'1'
2,4,0.604113,0.189974,1,597,1,5364.442857,17826,'1'
1,1,0,0,1,0,1,4481.642857,751,'0'
1,2,0,0,0,0,0.333333,4587.604762,726,'1'
1,1,0,0,0,0,1,5420.845238,1048,'0'
1,4,0.677175,0.320611,0,42,0.166667,4594.604762,733,'1'
1,1,0,0,0,12,0.5,4587.604762,726,'0'
1,2,0.289079,1.014085,1,27,1,4473.642857,743,'1'
1,2,0.354738,1.004167,0,713,0.8,4504.388095,871,'1'
1,3,0.147465,0.798077,0,406,0.5,5789.333333,586,'1'
1,1,0,0,0,340,1,4607.233333,514,'0'
1,1,0,0,0,0,0.142857,5789.333333,586,'0'
1,4,0,0,0,0,0.166667,4496.388095,863,'0'
1,4,0,0,0,0,0.125,4472.388095,843,'0'
1,1,0,0,0,0,1,4577.388095,938,'0'
1,2,0,0,0,0,0.333333,4504.388095,871,'0'
1,2,0,0,0,0,0.1,4456.388095,831,'0'
1,1,0,0.277778,0,171,1,4411.016667,431,'1'
1,1,0,0,0,0,1,6459.833333,406,'0'
1,3,0,0,0,0,0.25,5364.833333,345,'1'
1,2,0,0,0,0,0.333333,5371.833333,350,'0'
1,2,0,0,0,0,0.1,4532.388095,899,'1'
1,3,0.66501,0.165179,1,33,1,5416.845238,1044,'0'
1,1,0.873981,0.117647,0,0,1,4579.388095,940,'0'
1,6,0.770872,0.30855,0,630,0.5,4532.388095,899,'0'
1,3,0.804446,0.411765,0,520,0.6,5765.333333,562,'0'
2,8,0.946714,0.074742,0,2551,0.428571,4938.45,14998,'0'
1,9,0.875416,0.086176,0,1342,0.461538,6458.833333,405,'0'
1,7,0,0,0,0,0.047619,5356.833333,341,'1'
1,1,0,0.612903,1,22,1,4503.828571,594,'0'
2,5,0.670387,0.109718,0,365,0.833333,5911.4,16226,'1'
2,4,0.367111,0.117647,0,98,0.8,5807.4,16122,'0'
2,3,0.716636,0.106707,0,211,1,4570.233333,14603,'1'
2,3,0.911534,0.032,1,261,1,6179.816667,13380,'0'
1,4,0.424831,0.012876,1,185,0.6,5228.916667,355,'0'
1,3,0.617522,0.261017,0,1674,0.363636,5778.333333,575,'0'
1,1,0,0.090909,0,114,1,6460.833333,407,'0'
1,4,0,0,0,0,0.166667,4553.388095,918,'0'
1,1,0,0,0,0,1,5765.333333,562,'0'
1,1,0,0,0,0,0.5,5367.833333,347,'0'
1,3,0.615232,0.121739,1,650,1,4487.642857,757,'0'
1,1,0,0,0,0,0.5,5778.333333,575,'0'
1,1,0,0,0,0,1,4411.016667,431,'0'
2,5,0.79381,0.129542,1,69,0.4,5080.711905,17436,'0'
1,1,0,0,1,0,1,4484.642857,754,'0'
1,1,0,0,0,0,1,39,2,'0'
1,1,0,0.567568,0,0,1,68,10,'0'
2,4,0.755754,0.277778,1,134,0.5,62,85,'0'
1,1,0,1.675676,0,0,1,39,2,'0'
1,1,0,0,0,0,1,68,10,'0'
1,1,0.437734,1.768041,0,0,0.5,68,10,'0'
1,1,0,0,0,0,1,68,10,'0'
1,1,0,0,0,0,1,42,4,'0'
1,1,0,1.769231,0,0,1,42,4,'0'
1,1,0,0,0,0,1,86,27,'0'
1,1,0,0,0,0,1,86,27,'0'
1,1,0,0,0,0,1,86,27,'0'
1,1,0,0,0,0,1,86,27,'0'
1,1,0,0,0,0,1,86,27,'0'
1,1,0,0,0,0,1,86,27,'0'
1,1,0,0,0,0,1,86,27,'0'
1,2,0.854993,1.596639,0,0,0.125,86,27,'0'
1,1,0,0,0,0,1,86,27,'0'
1,1,0,0,0,0,1,88,29,'0'
1,1,0,1.636364,0,0,1,88,29,'0'
1,1,0,0,0,0,1,122,41,'0'
1,1,0,0.134328,0,0,1,140,57,'0'
1,1,0,0,0,0,1,136,55,'0'
1,1,0,0,0,0,1,141,58,'0'
1,1,0,0,0,0,1,122,41,'0'
1,2,0.875463,1.770764,0,0,0.166667,122,41,'0'
1,1,0,0,0,0,1,136,55,'0'
1,1,0,0.233333,0,0,1,139,56,'0'
1,4,0.837994,1.629252,0,0,0.142857,136,55,'0'
1,1,0,0,0,0,1,122,41,'0'
1,1,0,0,0,0,1,122,41,'0'
1,1,0,0,0,0,1,122,41,'0'
1,1,0,0,0,0,1,122,41,'0'
1,1,0,0,0,0,1,136,55,'0'
1,1,0,0,0,0,1,136,55,'0'
1,1,0,0,0,0,1,136,55,'0'
1,1,0,0,0,0,1,136,55,'0'
1,1,0,0,0,0,1,136,55,'0'
1,1,0,0,0,0,1,4490.642857,758,'1'
1,1,0,0.092593,1,8,1,8254.378571,1184,'0'
1,1,0,0.019231,0,65,1,8180.222619,1183,'0'
1,1,0,0,0,0,1,6255.133333,385,'0'
1,1,0,0,0,187,1,4409.016667,429,'0'
1,3,0,0,0,4500,0.4,4597.233333,504,'0'
1,1,0,0,0,0,1,5275,298,'0'
1,1,0,0.282051,0,710,1,4539.733333,432,'0'
1,1,0,0,0,0,1,4598.233333,505,'0'
1,5,0.422893,0.876513,0,5007,0.789474,4430.016667,13919,'0'
1,1,0,0,0,0,1,4368,35,'0'
1,1,0,0,0,0,1,4605.233333,512,'0'
1,1,0,0,0,408,1,4612.233333,519,'0'
1,2,0,0,0,0,0.5,5288,300,'0'
1,2,0,0,0,620,1,4586.233333,493,'0'
1,1,0,0,0,0,1,4599.233333,506,'0'
1,1,0,0,0,47,1,4602.233333,509,'0'
1,1,0,0,0,0,0.166667,302,28,'1'
1,1,0,0,0,0,0.166667,4577.233333,484,'0'
1,1,0,0,0,767,1,4584.233333,491,'0'
1,1,0,0,0,0,1,4367,34,'0'
1,1,0,0,0,0,1,4606.233333,513,'0'
1,1,0,0,0,23,1,4573,23,'0'
1,1,0,0,0,135,1,5048.6,408,'0'
1,2,0,0,0,0,0.5,3602,13,'1'
2,24,0.957675,2.304897,0,147,0.02027,956.5,1088,'1'
2,7,0.443,1.69964,0,575,0.5,1705.5,2007,'1'
2,34,0.868247,1.407118,0,1770,0.431373,1102.666667,1306,'1'
1,1,0,0.02521,0,218,1,4533.5,142,'0'
1,1,0,0,0,0,0.022222,4258.5,101,'0'
1,1,0,0,0,31649,0.045455,4574.2,476,'0'
1,1,0,0,0,0,1,4608.233333,515,'0'
1,2,0,0,0,0,0.5,4826,25,'0'
1,1,0,0,0,0,1,4272,116,'0'
1,1,0,2.783784,0,0,1,4272,116,'0'
1,1,0,0,0,6,1,4601.233333,508,'0'
1,1,0,0,0,0,1,4118,119,'0'
1,2,0,0,0,0,0.5,4611.233333,518,'0'
2,4,0.690767,0.109049,1,37,1,4597.5,7006,'0'
1,1,0,0,0,413,1,4571.233333,478,'0'
1,3,0.859335,0.056856,0,11,0.090909,5028.5,233,'0'
1,2,0,0,0,0,0.5,3607,18,'0'
1,1,0,0,0,0,1,4584.233333,491,'0'
1,1,0,0.181818,0,9,1,4939.45,535,'0'
1,4,0.244154,1.562141,1,94,0.5,4546.5,148,'1'
2,17,0.743698,0.230807,1,2427,0.689655,4204.5,5900,'0'
1,1,0,0,0,0,1,4282,118,'0'
1,1,0,2.5,0,0,1,4282,118,'0'
2,12,0.84964,0.895219,0,740,0.423077,1423,1708,'1'
1,1,0,0,1,0,1,4546.5,148,'1'
1,1,0,0.051282,0,10,1,5759.333333,556,'0'
1,1,0,2.181818,1,201,1,5286.083333,297,'0'
1,1,0,0,0,0,0.5,4117,37,'1'
1,1,1,0.264463,0,133,1,1397,29,'0'
2,28,0.875332,1.828386,0,2423,0.722222,6007.666667,8572,'1'
1,1,0,0.024096,1,18,1,5253.75,320,'0'
1,1,0,0.021053,1,6,1,4541.5,143,'0'
1,1,0,0.138298,1,3,1,4389.5,134,'0'
2,11,0.768254,0.153798,1,2390,0.541667,4366.5,6682,'1'
2,2,0,0.102041,1,26,0.5,4584.5,6993,'0'
1,2,0,0,0,0,0.166667,26,7,'1'
1,1,0,0.166667,1,5,1,4543.5,149,'0'
2,2,0,0.005405,1,24,1,4590.5,6999,'0'
1,2,0.94566,0.01845,1,330,0.5,4718.55,410,'0'
1,1,0,1.587838,0,0,0.333333,4855,31,'0'
1,1,0,0,0,0,0.333333,4850,28,'0'
2,3,0.861546,0.031579,1,217,0.75,22.5,23,'1'
1,2,1,0.009756,1,96,0.5,6006.166667,296,'0'
1,1,0,2.105405,1,39,1,472.5,1,'1'
2,51,0.471933,0.124123,0,19651,0.378505,626.5,882,'1'
1,2,0,0,0,0,0.25,4582.233333,489,'0'
1,6,0.576632,0.630564,1,3862,0.263158,4707.25,319,'1'
1,2,0,0,0,0,0.333333,105,11,'1'
1,1,0,0,0,21,1,5720.433333,589,'0'
1,1,0,0,0,212,1,4605.233333,512,'0'
1,1,0,0,0,0,1,3668,19,'0'
1,1,0,0,0,0,1,4572,22,'1'
1,1,0,1.835616,0,130,1,1297.416667,48,'1'
1,2,0.981941,0.22695,0,357,1,1394,26,'0'
1,1,0,2.157407,1,39,1,473.5,2,'1'
1,1,0,0,0,0,1,4601.233333,508,'0'
1,1,0,0,0,767,1,4582.233333,489,'0'
1,1,0,0.0625,1,0,1,1395,27,'0'
1,1,0,0,0,0,1,5758.333333,555,'0'
1,1,0,0,0,0,1,4587.233333,494,'0'
1,12,0.882657,0.116022,1,4687,0.37037,6255.733333,384,'1'
1,3,0.974981,0,0,66,0.090909,5130.5,222,'0'
1,1,0.993238,0.863813,0,1029,0.444444,4677,180,'0'
1,1,0,0,0,0,0.083333,4129,49,'1'
1,1,0.957608,0.072993,1,128,0.222222,6412,284,'0'
2,6,0.912187,1.201842,1,1009,0.466667,209,209,'1'
1,1,0.852992,0.308642,0,18,0.166667,4150.5,56,'0'
2,3,0.841092,0.443836,0,312,0.5,4633,7046,'0'
2,5,0.830056,0.035545,0,32,0.8,5147.5,7690,'0'
1,1,0,0,1,0,0.125,4273.5,114,'1'
1,1,0,0,0,492,0.333333,6132.5,293,'0'
1,1,0.717753,0.613636,0,420,0.444444,4557.5,158,'0'
1,1,0,0,0,0,0.5,6370.116667,392,'0'
1,1,0,0.058824,1,167,1,6004.166667,294,'0'
1,1,0,0,0,0,0.25,4402,138,'0'
1,1,0,0.019608,1,6,1,4273.5,114,'0'
1,1,0.953583,0.315385,0,24,0.25,4262.5,105,'0'
1,1,0,0.03125,1,0,1,888,4,'0'
1,1,0.979032,1.23913,0,3,0.333333,4517.5,141,'0'
2,3,0.024639,0.218085,0,4311,0.3,4731.916667,14287,'0'
1,1,0.498396,0.112676,0,741,0.75,6370.116667,392,'0'
1,1,0,0,0,30,1,4130,50,'0'
1,1,0,0.022472,1,7,1,4239.5,33,'0'
1,1,0,0.159091,0,25,1,4200,32,'0'
1,2,0.38715,0.039157,1,393,1,6415,287,'0'
1,1,0,0,0,212,1,4611.233333,518,'0'
1,1,0,1.8,1,30,1,82,8,'0'
2,2,0.663197,0.112299,1,0,1,5982.5,8699,'1'
2,3,0.681785,1.61461,0,42,0.3,6013.166667,8593,'1'
1,1,0,0.041667,1,6,1,876,3,'0'
1,1,0,0.04,0,12,1,3,1,'0'
1,1,0,0,0,0,1,4603.233333,510,'0'
1,1,0,0,0,0,0.5,872.9,6,'0'
1,1,0,0,0,0,1,8343.008333,1188,'0'
1,4,0.94776,0.024546,0,91,0.666667,3875,3856,'1'
1,1,0,0.037037,0,17,1,4410.5,5985,'0'
1,1,0,0,0,0,0.5,3908,3889,'0'
1,1,0,0,0,0,1,2769,2760,'0'
1,4,0.274644,0.787986,0,1024,0.666667,5948.266667,15770,'0'
1,1,0,1.275591,0,12,1,1276.416667,1982,'1'
1,2,0.891161,1.634551,0,57,0.666667,5792.5,8466,'0'
1,1,0.118859,0.773973,0,3,1,5794.5,8468,'1'
1,8,0.842118,0.097007,0,186,0.416667,731.5,1635,'1'
1,3,0.310918,0.051064,0,0,0.8,3944,3924,'1'
1,1,0,0,0,0,1,5278.666667,11411,'0'
1,3,0.795269,1.310526,0,812,0.2,5231.25,10419,'1'
1,1,0,0,0,0,1,4382,5262,'0'
2,4,0.971555,0.018397,0,78,1,5215.797619,17600,'0'
1,8,0.696723,0.480568,0,1008,0.833333,4373.5,5948,'1'
1,6,0.692678,0.62584,0,2506,0.444444,5146.135714,15833,'1'
1,2,0.881291,0.060345,0,8,1,4210,4190,'1'
1,2,0,0,0,0,0.333333,778.616667,2074,'0'
1,1,0,0.010256,0,0,1,2578,2570,'0'
1,1,0,0.469388,0,79,1,873.883333,2218,'0'
1,1,0,0,0,0,0.5,5284,10275,'0'
1,1,0,0,1,0,1,5497.65,17019,'0'
1,2,0.702093,0.164384,1,563,1,704.966667,1921,'0'
1,7,0.74136,0.072619,0,1027,0.833333,691.633333,1733,'1'
1,1,0,2.618421,0,37,1,1266.083333,1992,'0'
1,2,0.961032,0.426923,0,156,1,1265.083333,1991,'0'
1,1,0,0.11215,0,3,1,516.5,569,'0'
1,2,0,0,0,0,0.1,4177.5,5681,'1'
1,1,0,0.293478,0,1,1,1151,1339,'1'
1,1,0,0.0625,1,210,1,4563.333333,13895,'0'
1,1,0,0,0,0,0.5,5146.711905,16494,'0'
1,3,0.78209,0.053435,0,583,0.666667,4465.842857,15916,'1'
1,4,0.969724,0.017647,1,198,0.6,6413.55,13570,'0'
1,1,0,0,0,0,0.333333,5283.5,10253,'1'
1,2,0,0,0,0,0.333333,4465.842857,15916,'0'
1,2,0.491237,0.030227,1,65,1,4588.5,6267,'0'
1,1,0,0,0,0,1,5937.266667,15759,'0'
1,1,0,0,0,0,1,5650.5,8593,'1'
1,1,0,0,1,0,1,4445,4424,'1'
1,1,0,0,0,0,1,6336.166667,9847,'0'
1,1,0,0,0,0,1,844,1108,'0'
1,1,0,1.403509,0,18,1,5444.357143,16868,'0'
1,2,0.798652,0.307471,0,2325,0.333333,4751.916667,13879,'0'
1,2,0.918296,0.00885,0,145,1,4698.216667,13843,'1'
1,5,0.782933,0.203279,0,152,1,4331.5,6467,'0'
1,1,0,1.888889,1,18,1,4119,5441,'0'
1,1,0,0,0,0,1,5049.747619,16384,'1'
1,1,0,0.127451,0,0,1,4337,6325,'0'
1,1,0,0,0,0,1,3691,3672,'0'
1,7,0.961586,0.008883,0,96,0.857143,3465,3455,'0'
1,1,0,0,0,0,1,484,483,'0'
1,1,0,0.031746,0,259,1,5506,17063,'0'
1,1,0,0.006173,1,25,1,4832,4807,'0'
1,1,0,0.3125,0,1,1,5193.833333,11191,'0'
1,1,0,2.489796,0,19,1,255,233,'1'
1,2,0.590387,0.181818,0,21,1,4210.5,5785,'0'
1,2,0.63431,0.321513,0,0,0.5,33,33,'0'
1,1,0,0,0,0,1,3565,3555,'0'
1,1,0,0.013265,0,0,1,3458,3448,'0'
1,2,0.811278,0.022161,0,28,1,484,483,'0'
1,6,0.830923,0.0701,1,410,1,4497.828571,15897,'1'
1,2,0.954434,0.266667,0,122,0.5,304,276,'1'
1,2,0,0,1,0,0.25,3586,3576,'1'
1,3,0.590645,0.019934,0,60,1,69,69,'0'
1,5,0.657883,0.117458,0,206,1,744.416667,1519,'1'
1,5,0.472377,0.375312,0,309,0.857143,659.583333,1411,'1'
1,5,0.585937,0.277019,0,146,1,4639,4616,'1'
1,1,0,0.040816,0,135,1,5160.711905,16508,'0'
1,3,0.507042,0.929682,0,84,0.416667,6020.166667,8350,'1'
1,1,0,0.707182,0,72,1,4629,4606,'0'
1,11,0.80473,0.055576,0,109,0.526316,2759,2750,'1'
1,2,0,0,0,0,0.333333,4734,4711,'0'
1,1,0,0,0,0,1,2759,2750,'0'
1,2,0.318894,0.399293,1,110,1,5331.416667,10656,'1'
1,1,0,1.593838,1,1,1,5317.75,10534,'1'
1,1,0.557286,0.101077,1,436,0.666667,5330.75,10521,'1'
1,1,0,0.373134,0,0,1,476,508,'0'
1,4,0.889095,0.028028,0,47,0.555556,190,190,'0'
1,1,0,0.072464,0,16,1,769.416667,1546,'0'
1,1,0,0.483333,0,9,1,5844.333333,10131,'1'
1,2,0.098959,0.352941,1,53,1,5648.5,8591,'1'
1,4,0.682592,0.31068,1,103,0.571429,5637.666667,8553,'1'
1,2,0.11249,1.017316,1,169,1,5303.666667,10680,'1'
1,1,0,0.86,0,0,1,19,19,'0'
1,1,0,0.137255,0,9,1,219,219,'0'
1,1,0,0.07767,0,0,1,335.5,344,'0'
