@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
1,0,0,2,5,128,0,0,0.6,0,0,24.4,5,'0'
1,0,0,8,3,69,0,0,0,0,0,6,0,'0'
1,0,24,0,21,243,0.8,0,0.261905,0,0,28.75,2,'0'
1,0,0,11,3,1,0,0,1,0,0,0,1,'0'
2,0,13,0,13,98,0.333333,0,0.4,1,2,14.833333,4,'0'
1,0,172,13,17,561,0.714286,1,0.225806,0,0,16.3125,8,'0'
2,0,43,2,16,459,0.666667,0,0.22449,0,0,29,23,'1'
3,0,11,1,9,206,0.666667,0,0.466667,1,1,32.833333,9,'0'
1,0,1,8,2,2,0,0,0.75,0,0,0,1,'0'
2,0,6,0,14,206,0.8,0,0.416667,0,0,39.2,5,'0'
2,7,8,7,8,73,0.5,0,0.3125,1,2,13.2,3,'0'
3,0,13,0,10,72,0.8,0,0.4,2,3,10.166667,1,'0'
1,11,1,11,4,36,0,0,0.666667,0,0,17,5,'0'
1,0,4,1,7,32,1,1,0.5,0,0,6.75,2,'0'
1,0,6,6,2,4,0,0,0.666667,0,0,0,1,'0'
1,0,0,1,12,77,1,0,0.75,0,0,37,4,'0'
2,0,1,4,13,185,0.75,1,0.35,0,0,29.166667,12,'0'
2,0,6,0,11,216,0.666667,0,0.416667,0,0,41.6,14,'1'
1,1,4,2,16,192,0.5,0,0.444444,0,0,46.5,1,'0'
1,0,13,1,19,123,0.5,0,0.28,0,0,19.166667,8,'0'
3,0,76,10,13,377,0.888889,0,0.3,3,3,20.647059,24,'0'
1,0,11,1,6,175,0.2,0,0.266667,0,0,23.285714,4,'0'
2,0,4,2,6,71,0.666667,0,0.444444,0,0,16,5,'0'
3,0,13,0,10,87,0.333333,0,0.4,1,2,13,3,'0'
1,0,1081,51,9,47,0,0,0.139265,0,0,0,1,'0'
2,7,0,7,6,123,0.666667,0,0.277778,0,0,11,2,'0'
2,0,63,3,10,295,0.875,2,0.255102,1,1,18.133333,12,'1'
2,0,1,4,6,55,0.666667,1,0.4,1,1,7.666667,1,'0'
1,0,30,0,24,274,0.75,0,0.267857,0,0,29,2,'0'
5,0,3,2,5,18,0,0,0.5,0,0,5,1,'0'
1,0,1,5,2,2,0,0,0.666667,0,0,0,1,'0'
1,0,0,4,3,288,1,0,0.6,0,0,56.2,9,'0'
2,0,6,0,9,106,0.666667,0,0.416667,0,0,19.6,2,'0'
2,0,13,0,15,173,0.333333,0,0.4,1,2,27.333333,8,'0'
2,0,13,0,11,130,0.333333,0,0.4,1,2,20.166667,8,'0'
2,0,213,2,27,596,0.714286,0,0.196154,0,0,20.555556,11,'1'
3,0,4,3,9,105,0.666667,0,0.444444,2,2,24.5,7,'0'
1,0,15,5,9,146,0,0,0.5,0,0,23.333333,4,'0'
1,0,257,12,4,196,0.615385,1,0.194286,0,0,6.038462,3,'0'
3,0,13,0,14,142,0.333333,0,0.4,1,2,22.166667,5,'0'
1,11,0,11,2,73,1,0,0.52381,0,0,9.142857,4,'0'
1,0,322,12,0,186,1,0,0.296552,0,0,4.931034,1,'0'
1,0,7,1,14,336,0.666667,0,0.35,0,0,54.5,18,'1'
3,0,17,1,11,228,0.333333,0,0.366667,1,2,31.142857,10,'0'
1,0,0,3,2,1,0,0,1,0,0,0,1,'0'
2,0,8,0,8,116,0.857143,0,0.416667,0,0,20.8,7,'0'
1,0,28,1,13,545,0.666667,1,0.232143,0,0,59.222222,25,'0'
2,7,4,7,8,71,0.5,0,0.333333,0,0,16.25,3,'0'
1,0,33,7,7,264,0.5,0,0.222222,0,0,25.2,4,'0'
2,0,6,0,11,289,0.666667,0,0.416667,0,0,56.2,19,'0'
1,0,16,3,5,158,0.875,0,0.514286,0,0,17.75,5,'0'
2,0,13,0,12,129,0.333333,0,0.4,1,2,20,6,'0'
1,0,26,6,3,70,0.428571,0,0.375,0,0,6,1,'0'
1,0,87,1,1,200,1,0,0.361111,0,0,9.666667,1,'0'
1,0,1,6,15,63,0,0,0.5,0,0,30.5,7,'0'
2,0,2,1,20,491,0.75,0,0.5,1,1,96.4,1,'0'
1,0,30,3,6,197,0.857143,2,0.366667,0,0,13.615385,5,'0'
1,0,1,2,0,12,0,0,1,0,0,4,0,'0'
1,0,7,3,10,525,0.181818,1,0.28,0,0,44.727273,5,'0'
1,0,13,0,8,257,0.5,0,0.2,0,0,41.5,6,'1'
1,0,3,1,12,275,0.666667,1,0.261905,0,0,37.857143,22,'1'
3,0,17,2,9,267,0.833333,0,0.3,2,2,22.727273,8,'0'
1,0,1,2,2,2,0,0,0.75,0,0,0,1,'0'
1,0,15,10,1,6,0,0,0.458333,0,0,0,1,'0'
2,0,13,0,10,83,0.333333,0,0.4,1,2,12.333333,3,'0'
1,0,0,2,0,20,1,0,1,0,0,5.333333,1,'0'
4,0,3,88,0,17,1,0,0.777778,0,0,4.333333,0,'0'
1,0,5,3,10,65,0.75,2,0.2,0,0,9.166667,1,'0'
1,3,10,13,2,88,0,0,0.45,0,0,16.6,5,'0'
1,0,9,7,1,157,1,0,0.475,0,0,14.4,2,'0'
1,0,1,7,10,91,0,0,0.5,0,0,44.5,7,'0'
2,0,13,0,12,161,0.333333,0,0.4,1,2,25.333333,9,'0'
1,0,0,4,0,88,0,0,0,0,0,49,0,'0'
2,0,1,0,7,20,0,0,0.75,0,0,9,1,'0'
1,0,0,1,10,42,1,0,0.75,0,0,19.5,3,'0'
3,0,4,0,5,30,1,0,0.666667,0,0,6.25,1,'0'
1,0,30,1,16,216,0.75,2,0.25,0,0,22.555556,6,'1'
1,0,22,1,1,75,1,2,0.288889,0,0,6.888889,4,'0'
1,0,28,1,17,210,0.666667,1,0.232143,0,0,22,6,'0'
1,0,16,3,4,94,0.75,1,0.3,0,0,9,2,'0'
3,0,6,0,12,228,0.666667,0,0.416667,1,1,44,10,'0'
1,0,0,2,6,124,1,0,0.6,0,0,23.6,5,'0'
2,0,13,0,13,254,0.6,0,0.4,1,2,40.5,12,'0'
1,0,6,1,16,522,0.8,0,0.3125,0,0,102.4,30,'0'
1,0,0,2,6,143,1,0,0.6,0,0,27.4,5,'0'
1,0,19,1,5,187,0.5,0,0.458333,0,0,25.428571,10,'0'
2,0,11,2,7,227,0.833333,1,0.288889,0,0,21.1,12,'0'
2,0,103,2,15,459,0.909091,0,0.294118,0,0,23.888889,13,'0'
1,0,13,1,10,141,0.5,0,0.3,0,0,22.166667,6,'0'
1,0,3,2,6,383,0.181818,1,0.333333,0,0,50.571429,3,'0'
2,0,52,0,10,589,0.666667,0,0.363636,2,4,47.833333,8,'0'
1,0,7,1,14,335,0.666667,0,0.32,0,0,54.333333,15,'0'
1,0,9,1,9,113,0.5,0,0.333333,0,0,17.5,1,'0'
1,0,15,0,11,35,0,0,0.361111,0,0,4.833333,1,'0'
2,0,6,0,12,224,0.666667,0,0.416667,0,0,43.2,13,'0'
1,0,6,1,20,193,0.666667,0,0.5,0,0,37,8,'0'
2,0,7,2,9,312,0.666667,0,0.222222,0,0,29.6,6,'0'
1,0,28,1,13,171,0.666667,1,0.232143,0,0,17.666667,5,'0'
1,0,6,6,1,4,0,0,0.7,0,0,0,1,'0'
1,0,8,9,7,103,0.5,0,0.35,0,0,19.2,4,'0'
2,0,7,0,12,128,0.666667,0,0.416667,0,0,16.857143,3,'0'
1,0,6,1,12,145,0.8,0,0.3125,0,0,27,6,'0'
1,0,10,11,3,5,0,0,0.45,0,0,0,1,'1'
1,0,39,1,37,604,0.5,0,0.190476,0,0,59.2,6,'1'
3,0,8,2,5,93,0.666667,0,0.5,2,2,17,6,'0'
1,0,1,2,4,33,0,0,0.5,0,0,15.5,3,'0'
1,0,11,3,4,169,1,2,0.316667,0,0,15.4,7,'0'
3,0,8,1,7,61,0.5,0,0.3125,1,2,10.8,2,'0'
1,0,28,4,0,8,0,0,1,0,0,0,1,'0'
3,0,7,0,13,203,0.857143,0,0.416667,1,1,27,9,'0'
3,0,13,0,12,141,0.333333,0,0.4,1,2,22,6,'0'
2,0,47,2,8,479,0.7,0,0.3,0,0,30.266667,27,'1'
1,0,4,4,9,185,0.5,0,0.333333,0,0,44.75,11,'0'
1,0,28,1,10,465,0.666667,1,0.25,0,0,50.333333,30,'1'
1,0,21,43,1,7,0,0,0.428571,0,0,0,1,'0'
1,0,35,3,5,165,1,2,0.255102,0,0,10.357143,5,'0'
1,0,6,1,10,120,0.8,0,0.3125,0,0,22,4,'0'
1,0,0,1,14,102,1,0,0.75,0,0,49.5,6,'0'
1,0,4,3,0,198,0.8,0,0.25,0,0,37.6,5,'0'
1,0,490,17,29,867,0.909091,2,0.103955,0,0,13.266667,10,'1'
3,0,56,3,15,595,0.909091,1,0.257143,2,2,35.5,9,'0'
1,0,6,55,1,4,0,0,0.5,0,0,0,1,'0'
3,0,6,1,6,39,0.5,0,0.333333,1,1,8.25,1,'0'
3,0,13,0,10,87,0.333333,0,0.4,1,2,13,3,'0'
2,0,13,0,12,167,0.333333,0,0.4,1,2,26.333333,11,'0'
1,0,28,7,3,8,0,0,0.4375,0,0,0,1,'0'
1,0,0,3,3,76,1,0,0.555556,0,0,23.666667,4,'0'
1,0,1269,8,28,806,0.925926,4,0.119013,0,0,13.425926,23,'0'
3,0,13,0,10,87,0.333333,0,0.4,1,2,13,3,'0'
2,0,13,0,12,190,0.333333,0,0.4,1,2,30.166667,10,'0'
1,0,9,2,32,527,0.75,0,0.361111,0,0,73.714286,20,'1'
