@relation mydataframe
@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_lcom numeric
@attribute LDHH_fanIn numeric
@attribute WCHU_numberOfAttributes numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil. numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute ck_oo_rfc numeric
@attribute LDHH_wmc numeric
@attribute WCHU_fanOut numeric
@attribute WCHU_lcom numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil. numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil. numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute bug {'1','0'}
@data
1,0,0.000838,0,0.002797,0,0,7.18983,0,0,1,0,0,18,0,0,0.174975,0,0.043647,3,385,6,0,0,1.02,15,16,0,1.01,0,1,0,0,0,0,0.001409,5.06,0.000996,79,5,'0'
0,0.000617,0.000948,3.03,0.043239,0,0,17.658,0.001721,0,7,2,0,65,0,0,8.32175,1.01,0.01888,6,61,4,3,0.000358,0,36,53,0.006457,2.02,1.08,8,0,0,0,0,0,10.15,0.001599,45,5,'1'
0,0.002658,0.007063,2.04,0.014835,0.003969,0.000634,11.8043,0,0,0,0,0,56,0,1.01,8.17852,0,0.005599,6,9,5,11,0,1.01,276,54,0.003779,2.03,5.81,10,1,0,0,4.05,0.004395,4.07,0.00185,42,20,'0'
0,0,0,0,0.030785,0,0,11.2897,0,0,0,0,0,44,0,0,8.19532,0,0.025373,5,68,2,1,0,0,36,30,0.000694,1.04,0,1,0,0,0,0,0,4.04,0.000687,33,5,'0'
0,0,0,0,0.005436,0,0,9.64599,0,0,0,0,0,27,0,0,8.18241,0,0.001421,6,95,3,1,0,0,120,59,0,0,0,7,0,4,0,0,0,3.05,0,73,6,'0'
0,0,0.01277,0,0.003978,0,0,7.95479,0,0,0,0,0,33,0,0,8.1394,0,0.001421,3,95,3,4,0,0,190,63,0,0,0,7,0,4,0,0,0,2.02,0,82,7,'0'
0,0,0.00099,1.01,0.006098,0,0,8.22982,0.000695,0,1,0,0,17,0,0,8.14431,0,0,3,0,1,1,0,0,45,34,0,0,0,1,0,0,0,0,0,1.01,0,17,10,'0'
0,0,0,0,0.023178,0,0,17.3206,0,0,2,0,2,58,0,0,8.30766,0,0.043647,13,412,5,1,0,1.02,28,73,0,1.01,0,2,0,0,2,0,0.001409,5.06,0.000996,94,8,'0'
0,0,0,0,0.00703,0,0,9.22461,0,0,0,0,0,19,0,0,0.220489,0,0,4,0,1,4,0,0,15,16,0.000681,0,0,3,0,3,0,0,0,1.01,0,8,6,'0'
10,0.001099,0.005532,2.02,0.231619,0,0.006522,26.5196,0.001543,2.02,10,0,3,148,0.001038,1.01,8.69297,0,0.016601,31,12,2,7,0,0,703,331,0.022977,6.06,2.73,27,4,3,5,0,0,2.03,0.01479,36,24,'1'
0,0,0,1.01,0.014268,0,0,11.17,0.001311,0,4,3,1,9,0,0,0.287591,1.01,0.043647,2,380,3,0,0.000798,1.02,3,13,0.001106,0,0,4,0,0,1,0,0.001409,2.02,0,38,3,'0'
0,0.00736,0.001278,0,0.009892,0.005303,0,8.12682,0,0,3,0,0,7,0,0,8.15185,0,0,1,0,1,4,0,0,21,12,0.007223,1.01,2.11,3,0,0,1,1.01,0,0,0.006321,8,5,'0'
23,0.003901,0,5.13,0.50624,0,0.002586,30.0415,0,3.06,3,0,1,276,0.003816,4.12,0.808926,0,0,20,0,1,2,0,0,496,294,0.013778,3.07,5.99,28,0,24,6,0,0,1.01,0.004154,8,0,'0'
0,0,0,0,0.000657,0,0,1.10349,0,0,2,0,0,1,0,0,0.027116,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,8,1,'0'
0,0.001617,0,0,0.021094,0,0,14.8353,0,0,0,0,1,21,0,0,8.28236,0,0,8,18,2,1,0,0,6,48,0.002455,2.02,1.03,1,1,0,3,0,0,4.04,0.010659,62,2,'0'
0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,5,10,2,1,0,0,21,32,0,0,0,1,1,1,0,0,0,0,0,15,1,'0'
0,0,0,0,0.014051,0,0,4.23122,0,0,0,0,0,20,0,0,0.102033,0,0,2,0,2,1,0,0,28,24,0.000773,0,0,8,0,8,0,0,0,1.01,0,25,7,'0'
0,0,0.000855,0,0.004269,0,0,10.9152,0,0,5,2,0,37,0,0,8.15351,0,0.042401,7,56,5,10,0,1.02,45,22,0,0,0,5,0,0,0,0,0.001409,25.5,0,197,10,'1'
0,0.000617,0.001738,1.01,0.130658,0.000844,0,30.6378,0.002035,0,4,5,2,87,0,0,8.71535,0,0.043647,23,396,4,17,0,1.02,28,105,0.028564,7.08,1.07,4,1,0,4,1.01,0.001409,3.03,0.009981,57,8,'0'
0,0.000558,0,0,0.005591,0,0,11.4275,0,0,0,0,0,41,0,0,8.21821,0,0.001421,5,95,3,1,0,0,105,76,0.000681,0,1.14,3,0,2,0,0,0,3.05,0,73,5,'1'
0,0,0,1.01,0.004584,0,0.018394,1.29357,0,0,0,0,0,11,0,1.01,0.153793,0,0,4,70,8,2,0,0,28,19,0,0,0,4,1,4,0,0,0,0,0,260,7,'0'
0,0.004874,0.014864,1.04,0.024515,0.005736,0,5.43024,0.006873,0,6,0,0,34,0,0,8.03229,0,0,5,5,3,1,0,0,55,21,0.006873,2.03,1.1,6,1,0,0,1.01,0,3.05,0.006726,40,11,'0'
0,0,0,0,0.00353,0,0,6.03322,0,0,0,1,0,50,0,0,0.159077,0,0.033088,4,58,2,3,0,0,45,51,0,0,0,4,0,4,0,0,0,0,0,24,1,'0'
0,0.008844,0.002588,4.04,0.085435,0.008665,0.001296,15.9456,0.000358,0,0,1,0,37,0,3.1,0.447559,1.01,0.026917,9,18,2,1,0.000585,1.01,45,77,0.017689,4.06,4.35,5,0,0,0,4.05,0.00026,5.08,0.008935,18,10,'1'
2,0.029766,0.039109,1.1,0.435971,0.023098,0,35.3663,0,1.02,2,3,1,273,0.003145,0,8.85653,0,0.039372,11,28,2,126,0,1.02,1596,197,0.059715,3.06,21.3,12,0,0,4,11.17,0.001409,2.02,0.006192,16,54,'1'
0,0.003005,0.0035,1.01,0.44007,0.004077,0,14.1223,0.001136,0,9,1,1,342,0,0,0.347632,1.01,0.001421,6,8,2,19,0,0,703,84,0.007723,1.01,8.27,12,0,0,2,4.15,0,4.16,0.001096,46,37,'0'
0,0,0.006842,0,0.003951,0,0,5.59671,0,0,0,0,0,23,0,0,8.07898,0,0.001421,4,96,4,2,0,0,78,46,0,0,0,4,0,2,0,0,0,4.06,0,88,3,'0'
0,0,0.004433,1.02,0.150336,0,0,17.0375,0,0,0,0,0,15,0,0,8.38839,0,0,11,0,1,1,0,0,15,25,0.00183,1.01,0,2,1,0,0,0,0,1.01,0.000735,8,6,'0'
0,0.002852,0,0,0.001637,0,0,4.4156,0,0,0,0,0,8,0,0,0.124288,0,0.021979,4,70,5,1,0,0,15,14,0.002154,1.01,1.05,1,1,0,0,0,0,8.13,0.001104,264,5,'0'
2,0.001343,0,0,0.014742,0.001564,0,13.0232,0,0,0,0,0,24,0,0,8.25406,0,0,7,15,1,0,0,0,15,31,0.001745,2.03,2.09,13,0,0,0,2.02,0,1.01,0.001488,8,4,'1'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,1,0,0,0.097153,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.08,0,33,1,'0'
0,0,0,0,0.042135,0,0,14.4323,0,0,0,2,1,51,0,0,0.34386,0,0,18,0,1,5,0,0,55,89,0.005166,2.02,0,5,0,0,2,0,0,2.02,0.002091,8,3,'0'
0,0,0,0,0.02691,0,0,5.07933,0,0,0,0,0,14,0,0,0.120678,0,0,0,0,1,0,0,0,91,14,0,0,0,0,0,0,0,0,0,1.01,0,22,14,'0'
0,0,0,1.01,0.017571,0,0,7.6133,0.002662,0,4,0,0,23,0,0,0.197432,0,0.043647,7,400,5,5,0,1.02,36,32,0.001952,1.01,0,4,1,0,0,0,0.001409,4.04,0.001375,65,9,'0'
3,0.008897,0.004147,1.02,0.107001,0.009451,0.005028,11.4729,0,1.01,0,0,1,52,0.004869,1.02,8.23713,0,0.006779,15,3,2,1,0,1.01,15,57,0.010444,2.05,2.12,2,1,2,2,2.02,0.008262,2.05,0.009701,12,3,'0'
0,0.000617,0.006842,0,0.007795,0.00143,0,9.64335,0,0,0,0,0,54,0,0,8.17266,0,0.001421,7,95,3,2,0,0,276,104,0.000839,1.01,1.45,14,0,8,0,2.02,0,3.05,0.000708,73,12,'0'
1,0.000537,0.021428,1.01,0.040694,0.001069,0,12.6921,0.000965,0,6,2,0,49,0,0,0.323213,1.01,0.036902,11,34,3,17,0.001667,1.02,45,41,0.01053,3.05,1.17,9,0,0,2,1.02,0.001409,4.04,0.003897,24,9,'0'
0,0,0,0,0.019509,0,0,14.4405,0,0,2,0,1,140,0,0,8.28677,0,0.043647,18,426,7,1,0,1.02,78,226,0.001713,3.03,0,2,1,0,1,0,0.001409,7.17,0.003153,124,13,'1'
0,0,0,1.01,0.269073,0,0.000864,23.6077,0,0,10,0,1,84,0,1.01,0.59548,0,0.043647,19,380,3,0,0,1.02,15,172,0.006536,3.03,0,21,0,11,2,0,0.001409,2.02,0.002838,38,6,'1'
0,0,0,0,0.003446,0,0,7.42989,0,0,0,0,0,10,0,0,0.175082,0,0.016601,2,34,5,1,0,0,6,13,0.000954,1.01,0,0,0,0,0,0,0,4.04,0.000993,87,1,'0'
0,0,0,0,0.003746,0,0,7.54777,0,0,0,0,0,22,0,0,0.175967,0,0,7,50,4,1,0,0,120,45,0,1.01,0,2,0,0,0,0,0,1.04,0.00073,174,7,'0'
0,0,0,0,0.024129,0,0,9.13341,0,0,3,0,0,38,0,0,8.13196,0,0.043647,7,384,4,1,0,1.02,15,44,0.009849,1.01,0,3,0,0,0,0,0.001409,5.06,0.001592,69,6,'0'
4,0.008567,0.014706,8.36,0.267116,0,0,29.6783,0.002101,3.06,4,2,4,426,0.002607,0,0.916961,0,0.030967,7,78,1,6,0,0,861,329,0.054612,1.01,6.31,58,2,3,10,0,0,1.01,0.002449,8,1,'1'
1,0.001008,0.002917,1.01,0.034972,0.001642,0.002,11.0206,0,0,1,3,0,22,0,1.01,0.304144,1.01,0,8,0,1,7,0.002037,0,28,56,0.006702,1.01,1.07,6,0,5,0,1.01,0,1.01,0.000893,11,7,'0'
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,55,5,5,0,0,1,3,0,0,0,1,1,1,0,0,0,0,0,139,2,'0'
1,0,0.00099,0,0.006179,0,0,7.96737,0,0,0,4,0,125,0,0,0.186438,0,0,11,7,2,11,0,0,1378,194,0,0,0,24,0,0,0,0,0,1.02,0,35,21,'0'
0,0,0,1.01,0.004092,0,0.000622,9.12702,0,0,0,0,0,4,0,1.01,0.212972,0,0,1,0,1,1,0,0,3,8,0,0,0,4,0,4,0,0,0,1.01,0,8,3,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,1,0,4,0,0,0.097153,0,0,0,0,1,2,0,0,10,5,0,0,0,0,0,0,0,0,0,1.01,0,8,5,'0'
0,0,0.003249,0,0.002208,0,0,4.07501,0,0,0,0,0,1,0,0,0.097153,0,0,0,4,4,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2.04,0,21,0,'0'
0,0.006679,0.036079,1.01,0.067159,0.010067,0.006613,11.296,0.004246,0,1,0,0,13,0,2.02,8.19862,0,0.039372,5,49,4,18,0,1.02,21,23,0.012978,1.04,3.18,2,0,1,0,3.04,0.001409,24.4,0.002385,148,7,'0'
0,0,0,0,0.036478,0,0,9.07976,0,0,0,0,0,15,0,0,8.13654,0,0.048429,5,394,6,1,0,1.02,3,24,0.009285,1.01,0,0,0,0,0,0,0.001409,5.06,0.00298,102,3,'0'
0,0,0.010167,0,0.003654,0,0,5.34312,0,0,4,1,0,7,0,0,0.125968,1.01,0.035574,3,28,2,5,0.000292,1.02,10,12,0,0,0,4,0,0,0,0,0.001409,2.02,0,16,5,'0'
0,0,0.001008,0,0.023211,0,0,5.18073,0,0,0,0,0,32,0,0,0.120784,0,0,3,0,1,1,0,0,15,17,0.000695,0,0,3,0,3,0,0,0,1.01,0,8,6,'0'
0,0.00075,0.004765,1.01,0.109581,0.000744,0,30.738,0.008082,0,13,5,3,166,0,0,8.7181,1.01,0.043647,17,384,4,5,0.000585,1.02,136,191,0.028936,5.05,1.16,13,0,0,3,1.01,0.001409,5.06,0.012779,77,17,'1'
10,0.002616,0,2.02,0.383893,0,0.001024,13.7363,0,4.04,0,0,1,265,0.003316,2.02,8.20884,0,0,13,0,1,0,0,0,23005,1156,0.003403,3.04,12.57,17,0,17,1,0,0,1.01,0.002724,212,205,'1'
0,0.000472,0,0,0.003157,0.000441,0,6.20089,0,0,1,0,0,6,0,0,0.147285,0,0.043647,3,397,5,1,0,1.02,6,17,0.000886,1.01,1.03,2,0,1,0,1.01,0.001409,3.03,0.000909,64,4,'0'
0,0.000647,0,0,0.00447,0.000862,0,7.56137,0,0,0,3,1,6,0,0,0.176547,0,0,2,0,1,4,0,0,45,13,0,0,1.09,0,0,0,1,1.01,0,1.01,0,8,8,'0'
0,0,0,0,0.002647,0,0,6.61333,0,0,0,0,0,2,0,0,0.167452,0,0.041172,0,386,7,0,0,1.02,1,2,0,0,0,2,0,0,0,0,0.001409,5.06,0,86,2,'0'
0,0,0,0,0.013422,0,0,11.7816,0,0,2,0,0,75,0,0,0.280256,0,0.043647,14,423,6,1,0,1.02,21,132,0.001713,3.04,0,2,0,0,0,0,0.001409,7.09,0.003153,107,7,'0'
9,0,0,0,0.006684,0,0,8.42439,0,0,2,0,0,68,0,0,0.197636,0,0,13,0,1,1,0,0,66,116,0.000804,1.01,0,2,0,0,0,0,0,1.01,0.000869,8,3,'0'
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,53,5,2,0,0,3,5,0,0,0,1,1,1,0,0,0,0,0,134,3,'0'
0,0,0,0,0.001224,0,0,1.70656,0,0,0,0,0,27,0,0,0.038262,0,0.024267,5,68,2,1,0,0,21,16,0,0,0,1,0,0,0,0,0,4.04,0,33,4,'1'
30,0.005347,0.001562,2.03,0.420596,0.000757,0.002357,34.1638,0,6.13,0,1,1,159,0.004351,2.03,8.822,0,0.001671,15,5,2,3,0,0,561,263,0.016816,6.16,11.93,2,0,2,1,1.01,0,1.01,0.005326,10,3,'1'
0,0,0,0,0.003865,0,0,5.59671,0,0,0,0,0,15,0,0,8.07898,0,0.001421,2,96,4,1,0,0,55,32,0,0,0,2,0,1,0,0,0,4.06,0,88,1,'0'
0,0,0.004467,1.01,0.003862,0,0,6.78585,0.000535,0,1,0,0,22,0,0,8.10751,0,0.001421,4,95,3,6,0,0,91,47,0,0,0,6,0,3,0,0,0,2.02,0,76,4,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,9,0,0,0.097153,0,0,1,1,2,1,0,0,15,13,0,0,0,3,0,0,0,0,0,1.01,0,12,6,'0'
0,0.000647,0,1.01,0.015435,0.000862,0,10.2582,0.000529,0,5,1,0,32,0,0,0.237905,0,0,6,0,2,3,0,0,78,42,0.002497,1.01,1.12,5,0,0,1,1.01,0,2.02,0.000823,18,9,'0'
0,0,0,1.02,0.003697,0,0,3.00217,0.002662,0,2,0,0,2,0,0,0.076534,0,0.046698,1,421,4,1,0,1.02,1,3,0,0,0,2,0,0,0,0,0.001409,2.02,0,68,2,'0'
0,0,0,0,0.091984,0,0,27.1274,0,0,1,3,3,62,0,0,8.56079,0,0.043647,18,396,4,8,0,1.02,21,79,0.015995,3.03,0,1,0,0,3,0,0.001409,3.03,0.004375,57,7,'0'
0,0,0,0,0.003357,0,0,2.07169,0,0,0,0,0,12,0,0,7.97221,0,0.02857,3,397,5,1,0,0,3,21,0.020305,0,0,0,0,0,0,0,0,2.02,0,94,3,'0'
0,0.00725,0.028144,0,0.072005,0.001687,0,21.1415,0,0,0,3,1,48,0,0,8.4521,0,0.043647,10,384,4,36,0,1.02,153,72,0.011777,3.03,3.51,0,0,0,1,2.02,0.001409,5.06,0.002691,69,14,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,0,0,2,0,0,0.097153,0,0.044263,0,159,3,0,0,1.02,1,2,0,0,0,1,0,1,0,0,0.001409,3.04,0,30,1,'0'
1,0,0,1.01,0.06711,0,0.001522,28.5804,0.003988,0,1,2,2,91,0,1.01,8.64911,0,0.043647,13,387,7,3,0,1.02,36,115,0.02263,0,0,1,1,0,6,0,0.001409,8.1,0,101,7,'1'
2,0.00105,0,0,0.014428,0,0,6.78997,0,1.01,0,0,0,13,0.002751,0,0.270163,0,0,3,3,1,2,0,0,21,17,0.04187,1.01,1.06,1,0,1,1,0,0,1.01,0.002827,12,5,'0'
0,0.002451,0,1.01,0.083187,0,0.003402,29.3011,0,0,0,0,0,117,0,1.01,8.70653,0,0.025373,22,68,2,1,0,0,91,107,0.014256,5.07,1.13,3,2,1,4,0,0,4.04,0.006543,33,3,'1'
0,0,0,0,0.012363,0,0,8.96672,0,0,0,1,0,29,0,0,0.242697,0,0.01888,3,67,5,2,0,0,36,30,0.003788,1.01,0,7,0,0,0,0,0,10.15,0.000993,47,7,'1'
3,0.010949,0.020603,0,0.039263,0.009891,0,9.16287,0,2.02,2,1,0,53,0.002735,0,8.16642,0,0,6,0,1,8,0,0,45,53,0.011108,2.02,3.25,2,1,0,0,3.03,0,0,0.007499,8,6,'0'
0,0.001581,0.001193,0,0.040562,0.001833,0,20.4542,0,0,0,0,1,33,0,0,8.43262,0,0.042506,9,57,5,1,0,1.02,78,78,0.01119,2.02,2.23,0,0,0,3,2.02,0.001409,24.51,0.001064,202,12,'0'
0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,2,0,1,0,0,0,3,15,0,0,0,2,0,0,0,0,0,0,0,0,1,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,0,6,0,2,0,0,0.097153,0,0,0,2,2,3,0,0,3,3,0,0,0,1,1,0,1,0,0,2.04,0,14,3,'0'
0,0,0,0,0.00115,0,0,2.96868,0,0,1,1,0,6,0,0,0.066709,0,0,1,0,1,1,0,0,6,5,0,0,0,1,0,0,0,0,0,1.01,0,8,3,'0'
3,0,0,1.01,0.012089,0,0.001517,7.2605,0,0,0,1,0,54,0,2.02,0.185927,0,0,7,19,1,6,0,0,351,106,0.001225,0,0,12,0,8,0,0,0,0,0,0,2,'0'
0,0.000537,0,1.01,0.007057,0.001069,0,10.0961,0.000939,0,1,0,1,12,0,0,0.241568,0,0.003149,2,7,3,3,0,1.01,21,15,0.001698,0,1.06,1,0,0,1,1.01,0,4.06,0,22,4,'0'
41,0.019285,0.004293,5.05,0.285085,0.003609,0.00771,41.3943,0.005114,7.1,10,0,12,468,0.023527,5.05,9.11903,0,0,44,0,1,6,0,0,1326,794,0.057481,4.07,13.48,26,7,15,24,3.03,0,1.01,0.012312,8,11,'1'
1,0,0,1.01,0.004884,0,0.001798,10.091,0,0,0,0,0,64,0,1.01,8.14193,0,0,11,8,2,1,0,0,253,66,0,0,0,23,0,23,0,0,0,1.01,0,40,22,'0'
0,0,0,0,0.003172,0,0,7.8386,0,0,1,0,0,5,0,0,0.186314,0,0.043647,3,400,5,1,0,1.02,3,13,0,1.01,0,2,0,1,0,0,0.001409,4.04,0.000909,65,3,'0'
1,0.00209,0,0,0.17533,0.001886,0,21.0102,0,1.01,0,0,0,197,0.000462,0,8.39244,0,0,31,0,1,3,0,0,253,346,0.011288,4.04,4.49,5,2,0,3,2.05,0,2.04,0.006091,15,15,'0'
0,0.000516,0.00158,2.04,0.020449,0.000628,0,19.2089,0.000741,0,13,0,2,79,0,0,8.37102,0,0.043647,19,380,3,2,0,1.02,21,99,0.012549,3.04,1.06,16,1,0,2,1.01,0.001409,2.02,0.009682,38,7,'1'
0,0.003643,0.009397,7.14,0.246259,0,0,30.3272,0.000397,0,1,11,0,209,0,0,8.73166,2.02,0.012734,24,39,1,15,0.002501,0,300,157,0.01574,2.02,3.69,29,1,0,2,0,0,1.01,0.002669,8,9,'1'
0,0.008143,0,1.03,0.037352,0,0,9.44761,0,1.01,0,3,0,36,0.001009,0,8.14618,0,0,11,18,2,8,0,0,190,85,0.008817,3.03,2.59,7,0,0,1,0,0,4.04,0.011942,62,5,'0'
2,0,0.005977,0,0.00393,0,0,5.15795,0,0,4,0,0,41,0,0,0.122501,0,0,4,0,1,8,0,0,55,37,0.001073,0,0,4,0,0,1,0,0,1.02,0,16,9,'0'
3,0,0,0,0.012619,0,0,11.8899,0,0,2,0,0,48,0,0,8.21981,0,0.016601,18,17,2,1,0,0,55,109,0.0021,3.03,0,10,2,6,1,0,0,1.01,0.01252,19,6,'0'
0,0.001552,0.007698,0,0.01427,0,0,10.2923,0,0,0,0,0,82,0,0,8.19704,0,0.001421,8,99,4,3,0,0,561,151,0.001793,1.01,3.27,19,1,8,0,0,0,3.03,0.000893,100,13,'0'
0,0,0.016949,0,0.002208,0,0,4.07501,0,0,0,1,0,4,0,0,0.097153,0,0.005044,0,11,6,1,0,1.01,10,5,0,0,0,1,0,0,0,0,0.004395,3.1,0,47,4,'0'
0,0.000558,0.001008,12.33,0.207262,0.000627,0,26.6608,0,0,0,0,1,41,0,0,8.64482,0,0,1,0,1,3,0,0,45,26,0.000681,1.01,1.09,276,0,1,3,1.01,0,1.01,0.000893,8,10,'1'
0,0,0.001859,0,0.049096,0,0,7.27499,0,0,0,0,0,28,0,0,8.12186,0,0.001421,2,95,2,7,0,0,300,43,0,0,0,15,0,2,0,0,0,2.02,0,70,16,'0'
0,0,0,0,0.002208,0,0,4.07501,0,0,1,3,0,8,0,0,0.097153,0,0,3,4,2,1,0,0,21,11,0,1.01,0,1,0,0,0,0,0,3.05,0.00143,33,7,'0'
0,0.005264,0.004829,0,0.010598,0.005924,0,14.9873,0,0,1,7,0,50,0,0,8.2857,1.01,0.004526,13,35,3,19,0.0038,0,351,83,0.005729,3.03,3.98,1,3,0,0,3.04,0,7.13,0.005647,76,21,'0'
0,0,0,0,0.0083,0,0,8.14238,0,0,1,1,1,8,0,0,8.0855,1.01,0,4,10,3,1,0.000367,0,10,12,0.002154,0,0,1,1,0,2,0,0,4.06,0,59,1,'0'
0,0.000726,0.002075,3.07,0.084221,0.000978,0.000714,8.91433,0.001986,0,2,2,2,1,0,1.01,0.211619,0,0,0,0,1,0,0,0,1,2,0.002691,3.11,1.54,3,2,0,2,1.06,0,1.01,0.002755,8,2,'0'
0,0,0,0,0.002155,0,0,7.10146,0,0,1,0,0,25,0,0,0.167908,0,0.044275,8,398,4,1,0,1.02,78,40,0,1.01,0,1,0,0,0,0,0.001409,2.02,0.001119,56,13,'1'
