@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
4,0,11,73,9,13,0.634615,236,0.257143,1,16,15.571429,6,'0'
2,6,26,105,14,22,0.666667,265,0.113757,1,3,8.703704,4,'1'
2,2,7,15,5,4,0.333333,44,0.285714,0,0,5.142857,3,'0'
3,0,8,0,8,2,0.5,44,0.4,0,0,12.666667,2,'0'
3,0,1,0,1,3,0,21,0.625,2,2,4,1,'0'
1,0,8,1011,4,48,0.947649,726,0.1825,0,0,13.06,9,'0'
1,0,14,0,2,1,2,1,1,0,0,0,1,'1'
1,0,4,1,3,3,0,47,0.5,0,0,14.333333,2,'0'
4,0,5,15,5,5,1,43,0.444444,0,0,6,1,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
1,0,7,0,2,1,2,1,1,0,0,0,1,'0'
1,0,20,178,5,12,0.631579,880,0.276316,0,0,42.95,15,'0'
1,0,6,1,4,1,2,21,0.5,0,0,9.5,1,'0'
5,0,4,0,2,2,0,25,0.666667,0,0,11,1,'1'
1,0,38,1,1,2,2,2,0.875,0,0,0,1,'0'
1,0,4,0,3,4,0.166667,67,0.5,0,0,15.25,2,'0'
1,0,6,6,2,4,1.333333,5,0.5625,0,0,0,1,'0'
1,0,4,1,2,2,2,8,0.75,0,0,3,1,'0'
5,1,9,1,8,1,2,26,0.666667,1,1,12,1,'0'
2,1,15,142,14,12,0.828571,292,0.2,1,2,12.571429,3,'0'
3,0,7,1,7,1,2,19,0.666667,1,1,8.5,1,'0'
1,0,4,1,3,2,2,9,1,0,0,3.5,1,'0'
1,0,7,22,4,4,0.619048,100,0.354167,0,0,11.125,2,'0'
3,0,10,0,10,2,0,136,0.5,1,1,44,2,'0'
2,0,7,0,5,4,0,30,0.45,1,1,6.25,1,'0'
2,0,4,7,4,4,0.3,71,0.375,1,1,10.5,2,'0'
1,2,7,21,5,3,2,133,0.666667,0,0,18,5,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
1,0,10,1,9,2,0.5,141,0.666667,0,0,45.333333,6,'0'
3,0,5,0,4,4,0,34,0.533333,1,1,5.6,1,'1'
1,1,11,112,4,14,0.6,275,0.4875,0,0,16.0625,1,'1'
1,0,0,0,0,0,2,12,1,0,0,3,0,'0'
1,0,16,0,1,1,2,1,1,0,0,0,1,'0'
3,0,14,235,11,23,0.712,303,0.188034,1,3,10.461538,4,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
3,0,16,7,16,3,0.733333,108,0.4,1,1,16.5,3,'0'
4,0,7,13,6,10,0.555556,82,0.375,1,1,7,2,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
5,3,12,0,9,8,0.6875,202,0.296296,0,0,20.777778,4,'0'
3,4,11,10,7,1,2,33,0.44,0,0,5.6,1,'1'
1,0,3,97,3,17,0.77451,165,0.172222,0,0,7.833333,1,'0'
3,0,7,15,7,2,2,138,0.416667,0,0,22,2,'0'
2,0,2,9,1,6,0.2,41,0.5,0,0,5.666667,2,'0'
0,0,5,1,4,2,2,58,0.75,0,0,28,1,'0'
1,2,9,9,7,10,0.666667,86,0.285714,0,0,7.3,3,'0'
3,0,12,3,12,1,2,67,0.666667,1,3,21.333333,1,'0'
1,0,4,0,3,6,0.6,46,0.333333,0,0,6.166667,1,'0'
3,0,2,1,1,3,0.5,15,0.666667,0,0,3.666667,1,'0'
1,0,7,36,3,9,2,9,0.311111,0,0,0,1,'0'
1,0,38,6646,28,113,0.973346,1370,0.081822,0,0,9.883333,33,'0'
3,0,4,35,4,10,0.2,62,0.590909,2,5,4.545455,1,'0'
2,0,8,144,8,20,0.879699,148,0.20625,0,0,6.05,2,'0'
2,0,8,99,7,15,0.761905,89,0.253333,1,20,4.733333,1,'0'
3,0,6,8,6,4,0.75,36,0.4,1,1,6,1,'0'
1,0,6,4,5,4,0.333333,22,0.5,0,0,4.25,1,'0'
2,0,3,4,1,2,0.962963,111,0.444444,1,1,24.5,1,'0'
2,0,73,41,2,8,0.977778,259,0.37037,1,1,23.9,4,'0'
1,0,18,314,17,27,0.920635,201,0.144828,0,0,5.62069,2,'0'
0,1,7,4,2,4,0.666667,24,0.5,0,0,4.75,1,'0'
2,1,24,1296,19,44,0.684615,614,0.240566,1,1,10.490566,9,'1'
2,2,6,0,4,4,0,38,0.666667,1,1,5.166667,1,'0'
3,0,4,8,4,4,0.5,36,0.36,1,2,6,1,'0'
1,7,11,24,4,5,0.375,125,0.444444,0,0,12.666667,2,'0'
5,0,4,0,3,3,0.5,34,0.555556,0,0,9.666667,1,'1'
1,0,6,3,2,2,2,23,0.833333,0,0,6.666667,2,'0'
1,2,10,49,8,9,0.6,118,0.25974,0,0,9.636364,2,'0'
3,0,4,1,4,1,2,9,0.75,1,1,3.5,1,'1'
3,0,9,0,8,4,0.875,106,0.4375,0,0,19.4,1,'1'
1,0,2,3,1,0,2,63,0.5,0,0,20,1,'0'
1,0,9,1,1,2,2,2,0.75,0,0,0,1,'0'
3,0,8,0,5,5,0.166667,41,0.47619,1,1,4.714286,1,'1'
1,0,7,0,2,1,2,1,1,0,0,0,1,'0'
1,0,16,190,14,20,2,20,0.225,0,0,0,1,'0'
1,0,2,0,1,1,2,7,1,0,0,6,0,'0'
1,0,11,11,7,7,0.444444,66,0.4,0,0,8,1,'0'
2,27,32,0,5,6,0.285714,47,0.34375,1,1,4.75,1,'0'
1,0,20,66,13,11,2,74,0.333333,0,0,5.166667,1,'1'
1,0,8,6,3,4,2,4,0.75,0,0,0,1,'0'
1,1,8,112,6,12,0.8,150,0.266667,0,0,8.125,3,'1'
1,0,7,2,6,4,0.625,68,0.4375,0,0,12.2,5,'0'
3,0,32,245,16,24,0.835165,345,0.169231,1,6,11.518519,3,'0'
1,0,11,21,11,9,0.555556,97,0.211111,0,0,8.3,1,'0'
2,0,24,641,24,37,0.904135,453,0.155263,1,1,10.25641,2,'0'
0,2,11,21,9,1,1.166667,163,0.6,0,0,22.142857,5,'0'
1,1,15,81,8,18,0.388889,474,0.315789,0,0,23.789474,8,'1'
2,0,14,102,13,16,0.966667,144,0.195313,0,0,7.375,1,'0'
2,0,3,1,1,1,2,29,1,0,0,13.5,1,'0'
2,0,5,4,1,2,0.888889,45,0.444444,1,1,9.5,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
0,2,10,6,8,1,1.333333,85,0.5,0,0,20,5,'0'
3,0,15,0,15,5,0.642857,135,0.357143,1,1,15.375,2,'0'
3,0,4,111,4,16,0.813725,200,0.311111,1,2,9.777778,5,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
2,0,14,198,7,16,0.8,119,0.217687,1,3,4.619048,1,'0'
1,0,0,6,0,1,2,79,0.375,0,0,18.75,5,'0'
3,0,4,1,4,1,2,11,0.666667,1,1,4.5,1,'0'
3,0,15,37,14,10,0.589286,217,0.314286,1,1,13.2,5,'1'
3,0,3,3,3,1,2,25,0.777778,1,2,7.333333,1,'0'
1,1,9,0,5,24,0.08,236,0.258242,0,0,8.038462,2,'1'
1,0,5,0,4,2,0,39,0.666667,0,0,18,1,'1'
1,0,0,0,0,0,2,19,0,0,0,0,0,'0'
1,0,3,1,2,1,0.5,88,0.5,0,0,28,5,'1'
2,4,14,34,9,9,0.625,187,0.230769,0,0,13.230769,3,'1'
1,0,40,1,0,2,2,2,1,0,0,0,1,'1'
3,0,7,3,6,4,0,46,0.375,1,1,6.5,1,'0'
2,0,7,9,6,6,0.666667,36,0.444444,1,20,4.5,1,'0'
2,0,25,104,17,13,0.866071,305,0.18125,1,1,16.529412,2,'1'
3,0,6,0,5,3,0,29,0.533333,0,0,8.333333,1,'1'
1,0,182,231,1,22,2,22,0.25974,0,0,0,1,'1'
2,0,9,15,9,4,2,90,0.25,1,2,14,2,'0'
1,0,3,0,2,2,0,12,0.75,0,0,4.5,1,'0'
2,0,2,0,1,1,2,14,1,0,0,13,0,'0'
3,0,14,57,11,10,0.8,195,0.241071,0,0,11.666667,6,'0'
5,0,13,24,13,8,0.785714,49,0.222222,1,1,4.875,1,'0'
3,0,25,22,25,5,0.727273,391,0.272727,2,3,31.166667,2,'0'
1,0,6,0,5,4,0.222222,90,0.458333,0,0,20.75,3,'0'
4,0,17,72,14,16,0.813333,150,0.21875,1,1,8.0625,1,'0'
1,1,3,3,0,6,0.2,55,0.666667,0,0,8,1,'1'
1,0,16,24,15,1,0.375,239,0.416667,1,4,25.444444,10,'0'
4,1,5,0,4,1,2,11,1,0,0,8,0,'0'
3,0,24,4,24,3,0.904762,156,0.583333,0,0,36.25,3,'0'
3,1,20,55,18,11,0.788462,188,0.205357,1,2,12.142857,5,'0'
2,0,11,17,5,6,0.666667,90,0.375,0,0,11.571429,2,'0'
1,0,12,0,10,2,0,70,0.571429,0,0,32.5,1,'1'
1,0,4,39,4,13,0.692308,231,0.261538,0,0,15.142857,1,'0'
6,0,14,10,14,4,2,77,0.366667,0,0,14.4,1,'0'
1,0,5,3,4,3,2,58,0.666667,0,0,18.333333,3,'0'
3,0,3,1,3,1,2,17,0.666667,1,2,7.5,1,'0'
1,0,2,1,2,2,2,7,0.75,0,0,2.5,1,'0'
4,0,11,0,11,1,0.708333,407,0.291667,2,4,43.555556,1,'0'
4,1,9,1,4,2,2,5,0.75,0,0,1.5,1,'0'
1,0,10,0,5,10,0.518519,136,0.257143,0,0,12.3,2,'0'
2,0,6,3,4,1,2,60,0.5,1,1,19,3,'0'
3,0,6,1,6,1,2,39,0.666667,1,2,18.5,1,'0'
2,2,14,5,9,4,0.4,96,0.366667,0,0,14.666667,2,'1'
2,0,10,178,8,16,0.789474,114,0.221429,1,3,4.65,1,'0'
2,0,3,1,1,1,2,40,1,0,0,19,1,'0'
1,0,7,29,5,9,0.911111,110,0.444444,0,0,9.5,4,'1'
3,0,6,61,5,14,0.595238,168,0.366667,1,3,10,2,'0'
1,0,11,45,4,10,2,10,0.255556,0,0,0,1,'0'
4,0,6,15,6,5,2,45,0.3,0,0,6.5,1,'0'
1,0,6,6,2,4,2,4,0.55,0,0,0,1,'0'
3,0,8,0,8,2,0.555556,201,0.5,0,0,48.5,1,'0'
3,0,8,3,8,2,2,39,0.666667,1,1,12,1,'0'
3,0,4,10,4,3,2,31,0.466667,1,1,5.2,1,'0'
1,0,1,0,0,4,0.333333,52,0.625,0,0,11.5,1,'0'
1,0,4,6,3,4,2,19,1,0,0,3.75,1,'0'
1,0,28,17,27,3,2,180,0.285714,1,4,24.714286,1,'0'
3,3,9,37,6,4,0.666667,127,0.3,1,1,10.272727,1,'1'
1,0,8,300,7,27,0.910494,248,0.136364,0,0,7.428571,4,'0'
2,2,20,93,16,9,0.745098,377,0.2,1,1,19.611111,3,'1'
2,0,2,7,2,6,0.583333,39,0.314286,1,1,4.285714,1,'0'
2,1,56,2573,44,61,0.93067,1510,0.069257,1,1,18.826667,7,'1'
2,0,9,10,6,5,2,30,0.36,1,1,5,1,'0'
2,1,45,992,43,42,0.929078,824,0.093617,0,0,15.729167,6,'0'
1,0,8,16,8,7,0.571429,159,0.267857,0,0,18.625,2,'0'
3,0,12,15,10,3,0.944444,156,0.328571,1,2,20.857143,3,'1'
3,0,17,8,16,3,0.75,295,0.314286,1,1,57.8,18,'0'
5,0,3,3,1,3,1.5,17,0.777778,0,0,4.333333,0,'0'
4,0,2,0,1,3,0.5,34,0.5,0,0,9.666667,1,'0'
3,0,9,8,9,3,0.5,84,0.4,1,2,15.4,2,'0'
0,0,5,0,4,9,0,213,0.37037,0,0,22.555556,1,'0'
2,0,15,11,12,6,0.666667,181,0.355556,1,1,16.6,3,'1'
0,0,17,102,14,10,0.858333,189,0.222222,0,0,10.3125,3,'0'
1,0,3,15,0,6,2,6,0.555556,0,0,0,1,'0'
4,0,3,1,1,2,2,12,0.833333,0,0,4.5,0,'0'
3,0,9,26,8,9,0.555556,226,0.307692,1,1,16.153846,8,'1'
2,0,21,627,19,38,0.824324,326,0.105263,0,0,7.368421,2,'1'
3,0,11,71,9,13,0.230769,171,0.271429,2,7,11.142857,4,'0'
2,0,13,54,12,4,0.708333,222,0.305556,1,1,15.769231,3,'1'
3,0,3,0,3,2,0.333333,86,0.4375,2,3,20.25,3,'0'
0,0,10,2,9,3,0.666667,71,0.833333,0,0,16,1,'0'
1,4,5,9,0,5,0.6,23,0.5,0,0,2.666667,1,'0'
2,0,12,22,11,8,0.285714,60,0.303571,0,0,6.375,1,'0'
0,2,16,28,14,2,2,208,0.375,0,0,25,2,'0'
1,0,10,0,6,5,0.25,112,0.44,0,0,21.2,3,'0'
1,0,9,6,9,3,2,54,0.25,0,0,12.5,1,'0'
2,1,5,8,2,4,0.75,29,0.583333,0,0,4.6,1,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
2,0,9,15,8,7,0.666667,44,0.357143,1,20,4.857143,1,'0'
2,0,8,3,7,1,1,17,0.75,1,1,4.333333,1,'0'
1,0,1,1,0,2,2,2,1,0,0,0,1,'0'
1,0,7,0,6,4,0.333333,74,0.416667,0,0,17.25,1,'0'
2,0,17,289,16,25,0.875,279,0.136364,0,0,9.423077,3,'0'
0,0,10,4,9,3,0.666667,81,0.4375,0,0,19,6,'0'
2,0,10,30,10,9,0.708333,58,0.333333,1,21,5.111111,1,'0'
1,0,4,3,3,3,2,60,0.666667,0,0,19,6,'0'
4,3,4,0,0,1,2,7,1,0,0,5,0,'0'
3,0,8,6,4,3,2,62,0.5625,0,0,14.5,2,'1'
4,0,9,30,8,9,0.25,75,0.355556,2,3,7.222222,1,'0'
3,0,9,11,8,3,0.8,44,0.4,1,1,6,1,'0'
1,0,12,1,11,1,2,75,0.666667,1,1,36,1,'0'
1,0,1,0,0,1,2,1,1,0,0,0,1,'0'
2,0,1,3,1,3,2,12,0.666667,1,2,3,1,'0'
1,0,4,3,4,3,2,20,0.833333,0,0,5.666667,1,'0'
2,0,20,133,18,18,0.951872,141,0.130952,1,1,6.222222,1,'0'
1,1,7,137,6,16,0.857143,184,0.157895,0,0,8.315789,2,'1'
4,0,4,6,3,8,0.5,89,0.34375,1,1,9.875,3,'0'
3,0,5,0,4,1,0,24,0.5,1,1,6.666667,1,'1'
6,0,3,0,2,4,0.666667,45,0.4375,0,0,9.5,1,'0'
1,0,5,0,1,1,2,1,1,0,0,0,1,'0'
4,0,16,297,16,17,0.880637,793,0.166144,1,1,25,17,'1'
1,0,6,0,0,1,2,1,1,0,0,0,1,'0'
1,0,14,7,12,3,0.666667,213,0.4,1,1,34,1,'0'
1,0,1,0,0,0,2,0,0,0,0,0,0,'0'
2,0,6,18,5,6,0.935065,166,0.314286,1,1,18.375,1,'0'
5,0,25,0,1,4,0.5,52,0.5,0,0,11.5,2,'1'
2,1,25,220,20,16,0.90942,444,0.142292,1,1,17,5,'0'
3,16,21,4,4,3,0.75,53,0.5,1,3,9.2,3,'1'
3,0,4,3,4,1,2,33,0.777778,1,1,10,1,'0'
1,0,3,1,1,2,2,6,0.75,0,0,2,1,'0'
2,1,6,29,1,14,0.807692,173,0.535714,0,0,10.785714,5,'0'
1,0,5,3,5,3,2,18,0.555556,0,0,5,1,'0'
1,0,8,25,7,9,0.722222,86,0.311111,0,0,7.2,3,'0'
3,0,37,168,29,13,0.725,266,0.192857,2,3,11.47619,5,'0'
1,0,7,6,3,5,0.625,31,0.466667,0,0,4.8,1,'0'
4,0,5,17,4,7,0.633333,108,0.327273,1,2,8.545455,3,'1'
1,0,8,3,3,2,2,193,0.583333,0,0,63.333333,10,'0'
1,0,6,0,3,1,2,1,1,0,0,0,1,'0'
5,0,1,0,1,3,0.833333,47,0.5,0,0,10.25,2,'0'
1,0,448,325,4,26,1.04,29,0.157692,0,0,0,1,'1'
0,0,2,1,1,2,2,7,1,0,0,2.5,1,'0'
1,0,5,495,4,34,0.90303,277,0.134804,0,0,6.852941,11,'0'
1,0,9,3,2,3,2,3,1,0,0,0,1,'0'
3,0,23,0,23,2,0.666667,221,0.4375,1,1,52.75,7,'0'
5,0,3,6,2,3,0.916667,67,0.36,0,0,11.8,2,'1'
1,0,6,3,5,2,2,33,0.416667,0,0,10,2,'1'
1,0,9,22,8,5,0.8125,138,0.265625,0,0,13.666667,3,'0'
1,3,3,0,0,4,0.333333,31,0.625,0,0,6.5,1,'0'
2,0,12,9,6,5,0.733333,48,0.366667,0,0,6.5,1,'0'
3,0,24,1527,21,53,0.944357,617,0.133621,1,2,9.084746,11,'1'
1,0,6,0,5,2,0,31,0.625,0,0,14,1,'1'
4,0,3,15,3,6,2,37,0.444444,2,2,5.166667,1,'0'
4,0,10,27,8,10,0.611111,87,0.32,2,3,7.5,2,'0'
2,0,5,15,4,5,0.666667,95,0.433333,1,3,12.428571,2,'0'
1,0,14,53,12,11,0.794872,213,0.230769,0,0,13.785714,3,'1'
1,0,1,25,0,11,0.725,105,0.409091,0,0,8.181818,3,'0'
2,0,7,0,6,5,0.166667,152,0.357143,1,1,20.428571,4,'1'
3,0,17,1,17,4,0.5,162,0.444444,1,1,25.666667,1,'0'
1,0,7,0,6,2,0.5,72,0.6,0,0,22.333333,6,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
6,0,3,0,2,1,2,13,1,0,0,12,0,'0'
4,0,3,0,0,3,0.666667,37,0.45,0,0,7.75,2,'0'
2,0,10,79,9,13,0.892857,129,0.314286,0,0,7.2,4,'0'
1,0,2,1,0,2,2,2,1,0,0,0,1,'1'
1,0,6,1,0,2,2,2,1,0,0,0,1,'0'
4,2,21,54,11,7,0.545455,83,0.333333,0,0,5.833333,1,'0'
1,0,4,0,1,1,2,1,1,0,0,0,1,'0'
3,6,12,75,6,11,0.821429,179,0.205357,1,1,10.4,3,'1'
2,0,8,15,7,7,0.666667,51,0.357143,1,20,5.857143,1,'0'
3,0,16,157,15,18,0.944444,111,0.215278,1,1,4.526316,1,'0'
1,0,14,1708,13,49,0.661111,811,0.122222,0,0,12.196721,6,'0'
1,0,4,0,1,1,2,1,1,0,0,0,1,'0'
1,0,16,283,13,14,0.888889,410,0.157343,0,0,13.851852,7,'1'
1,0,5,0,4,5,0,39,0.5,0,0,6.6,1,'1'
4,0,11,33,9,14,0.653846,167,0.3,1,1,10.642857,5,'0'
0,0,10,2,9,3,0.666667,71,0.833333,0,0,16,1,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
1,0,8,60,8,12,0.727273,64,0.104167,0,0,4.25,1,'0'
1,0,6,1,6,2,2,23,0.75,0,0,10.5,1,'0'
2,0,6,9,6,6,0.666667,36,0.444444,1,20,4.5,1,'0'
3,0,7,24,7,6,0.40625,131,0.333333,0,0,13.111111,1,'0'
3,0,3,1,3,1,2,12,0.666667,1,1,5,1,'0'
2,0,2,9,1,6,0.2,45,0.416667,0,0,6.333333,2,'0'
2,14,26,3,4,7,0.111111,81,0.5,1,1,7,1,'1'
3,0,8,9,6,4,0.6,111,0.375,2,4,17.333333,4,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
1,0,38,18,38,9,0.766667,264,0.333333,0,0,18.923077,1,'0'
1,0,6,0,2,1,2,1,1,0,0,0,1,'0'
1,0,3,15,3,5,2,45,0.291667,0,0,6.5,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
3,0,10,1,9,3,2,54,0.5,0,0,17,2,'1'
1,0,4,3,3,3,2,48,0.533333,0,0,15,1,'0'
3,0,7,0,7,3,0.5,62,0.458333,1,1,9,1,'0'
1,0,8,0,0,1,2,1,1,0,0,0,1,'0'
3,0,10,0,10,2,0.733333,88,0.3,1,1,10.857143,1,'0'
2,0,3,4,1,2,0.944444,78,0.444444,1,1,17,1,'0'
1,0,7,30,7,5,0.71875,96,0.375,0,0,9.222222,1,'0'
1,0,6,10,5,8,0.5,185,0.333333,0,0,19.222222,4,'0'
1,0,23,181,21,22,0.871429,302,0.123377,0,0,12.272727,6,'1'
1,0,4,3,4,3,2,18,0.833333,0,0,5,1,'0'
4,0,10,3,8,9,0.333333,107,0.283333,2,3,9.6,4,'0'
1,0,7,4,2,5,0.25,30,0.7,0,0,4.8,1,'0'
1,0,4,10,4,5,2,28,0.36,0,0,4.6,1,'0'
2,0,6,56,5,7,0.75,145,0.260417,1,2,10.75,2,'0'
4,0,7,24,3,9,0.625,60,0.444444,2,2,5.555556,1,'0'
4,0,6,0,0,2,0,20,0.75,0,0,8.5,1,'0'
2,0,8,52,7,11,0.638889,201,0.321429,0,0,14.230769,1,'0'
1,1,7,75,6,12,0.803571,139,0.27619,0,0,8,2,'1'
2,0,11,0,11,3,0.7,152,0.466667,1,2,23.666667,4,'1'
1,0,5,24,3,7,0.714286,68,0.541667,0,0,7.25,2,'0'
1,0,9,12,9,7,0.65,224,0.275,0,0,23.333333,4,'0'
2,0,2,0,0,1,2,4,1,0,0,3,0,'0'
2,0,11,0,6,4,0,36,0.5,0,0,7.75,1,'0'
3,0,6,3,6,2,2,22,0.666667,1,1,6.333333,1,'0'
3,0,38,320,37,20,0.854839,834,0.175953,2,3,24.6875,7,'0'
1,0,22,1,0,2,2,2,0.833333,0,0,0,1,'1'
4,0,9,21,8,7,2,57,0.392857,3,4,7.142857,2,'0'
3,0,12,42,10,8,0.704545,124,0.233766,1,1,9,2,'1'
1,0,22,6,3,4,2,4,0.4,0,0,0,1,'1'
1,0,13,39,12,11,0.8,101,0.272727,0,0,7.818182,1,'0'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
3,0,3,13,3,4,0.4,34,0.375,1,1,4.5,2,'0'
2,0,9,159,7,15,0.666667,105,0.233083,1,3,4.473684,1,'0'
1,1,6,0,5,6,0,39,0.309524,0,0,5.333333,1,'1'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
1,17,49,279,10,21,0.776,366,0.205128,0,0,12.884615,6,'0'
0,0,4,3,3,3,2,65,0.416667,0,0,20.666667,4,'0'
1,0,60,1,0,2,2,2,0.833333,0,0,0,1,'0'
1,0,10,1,5,3,0,26,0.5,0,0,7.333333,1,'1'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
1,0,1,22,0,8,0.761905,52,0.458333,0,0,5.125,1,'0'
4,0,7,13,6,10,0.555556,82,0.375,1,1,7,2,'0'
2,0,7,0,6,4,0.5,78,0.4,0,0,18,2,'1'
2,0,11,123,10,18,0.686275,142,0.161111,0,0,6.722222,1,'0'
1,1,16,437,15,28,0.855556,251,0.133995,0,0,7,2,'1'
3,0,40,0,40,4,0.458333,505,0.222222,1,1,54.777778,1,'0'
2,0,9,124,7,13,0.75,99,0.235294,1,3,4.764706,1,'0'
1,0,2,1,1,1,2,7,0.75,0,0,2.5,1,'0'
2,0,12,0,10,4,0.25,125,0.5,1,2,23.4,4,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
3,0,5,71,5,13,0.842857,164,0.293333,2,6,9.6,4,'0'
1,0,7,6,2,4,2,4,0.583333,0,0,0,1,'1'
1,0,3,0,3,4,0.333333,34,0.5,0,0,7.25,2,'0'
1,32,37,63,3,7,0.846939,239,0.377778,0,0,14.466667,5,'1'
1,0,11,10,5,4,2,41,0.28,0,0,7.2,1,'0'
1,0,11,9,10,3,0.4,189,0.333333,0,0,30.333333,5,'0'
1,0,5,0,0,1,2,1,1,0,0,0,1,'0'
1,0,3,0,2,3,0,21,0.666667,0,0,5.666667,1,'0'
