@relation mydataframe
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
4,2,0,14,6,14,1,156,0,0.555556,0,37.75,10,'0'
3,1,0,12,1,11,0.5,143,0,0.5,0,46.333333,12,'0'
8,1,0,7,8,4,0.714286,79,1,0.314286,0,8.5,3,'1'
5,1,0,23,8,9,0.5,77,0,0.4375,0,14.2,2,'0'
61,1,0,46,378,21,0.881667,776,2,0.111241,0,11.557377,11,'1'
1,1,0,2,0,0,2,1,0,1,0,0,1,'0'
4,2,0,6,2,6,0.666667,49,0,0.666667,0,10.75,3,'0'
4,1,0,9,6,3,2,4,0,0.6875,0,0,1,'0'
15,2,0,15,27,9,0.72619,326,1,0.4,1,20.333333,7,'0'
16,2,0,13,34,9,0.866667,483,0,0.258929,0,28.6875,8,'1'
5,1,0,7,0,3,0.25,288,0,0.6,0,56.2,9,'0'
2,1,0,14,1,3,1.977778,106,0,1,0,7,0,'1'
4,1,0,78,6,1,2,4,0,0.5,0,0,1,'0'
6,1,0,14,15,9,2,146,0,0.5,0,23.333333,4,'0'
11,1,0,5,25,4,1.07561,1312,0,0.271429,0,114.545455,10,'1'
4,2,0,9,2,9,0.866667,371,0,0.666667,0,89.25,23,'1'
1,1,0,0,0,0,2,7,0,1,0,3,0,'0'
3,3,0,7,3,5,2,70,0,0.833333,1,22.333333,8,'1'
7,1,0,9,5,9,0.7,114,1,0.392857,0,14.571429,5,'0'
3,2,0,10,3,10,2,107,0,0.555556,0,34.666667,11,'0'
15,1,0,23,49,13,0.285714,940,0,0.154762,0,61.6,12,'1'
4,2,0,4,4,4,0.666667,43,1,0.444444,1,9.5,2,'0'
6,1,0,3,0,2,0.5,60,1,0.458333,0,8.666667,1,'0'
