@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
1,17,73,151,15,14,618,1,0,0.72,0.221591,0,26.590909,1.6364,'1'
0,8,1,0,2,1,1,0,0,0,1,0,0,1,'0'
0,6,14,2,5,4,68,1,1,0.75,0.5,0,15.5,0.75,'0'
0,5,25,3,5,1,191,1,0,0.960784,1,2,62.333333,4.6667,'0'
2,23,68,151,9,17,413,0.166667,0,0,0.152778,0,21.611111,1.5,'1'
0,2,39,10,2,8,308,1,0,0.840909,0.325,1,37,1.25,'0'
0,3,50,74,2,18,721,1,2,0,0.28125,0,34.8,2.4,'1'
0,12,79,333,11,31,487,1,6,0,0.167857,0,12.657143,1.7143,'1'
0,6,30,0,5,6,328,1,1,0.777778,0.375,2,30.8,2.3,'0'
0,4,13,0,3,4,87,1,0,0.928571,0.75,2,20.5,0.5,'0'
1,37,119,1112,9,28,1739,1,2,0,0.244505,0,31.396226,2.8113,'1'
2,8,23,67,2,9,170,1,0,0,0.516667,0,9.933333,1,'1'
1,5,8,3,0,7,47,1,0,0,0.47619,0,5.142857,0.8571,'0'
0,10,33,35,10,6,165,1,1,0.950617,0.351852,3,15.2,0.9,'0'
0,15,62,78,14,12,416,0.8,1,0.719298,0.205882,0,23.176471,2.8235,'0'
0,7,39,4,7,7,277,1,0,0.917647,0.46875,4,32.875,1.375,'0'
0,8,41,0,8,5,230,1,0,0.902439,0.4,2,44.4,0.8,'0'
0,14,45,25,10,16,458,0.8,0,0.850467,0.298246,4,22.578947,1.8421,'1'
0,4,58,130,4,5,630,0.25,0,0,0.129412,0,35.823529,2.1176,'1'
0,4,5,0,1,4,24,1,0,0,0.875,0,4.75,0.75,'0'
0,1,13,6,1,4,45,0,0,0,0.625,0,10.25,1,'0'
0,4,15,1,4,0,59,0,0,0.952381,0.666667,1,28.5,0.5,'0'
2,55,123,919,30,47,918,1,1,0.384615,0.064444,2,17.22,1.88,'1'
0,15,77,6,14,5,585,1,1,0.840909,0.35,0,71,3.875,'1'
11,39,96,0,28,40,328,1,1,0.474359,0.073413,2,6.785714,1.1667,'0'
2,20,97,307,17,24,1137,1,2,0.552239,0.209677,2,35,1.871,'1'
0,1,2,0,1,1,4,0,0,1,1,0,3,0,'0'
1,3,2,0,1,1,4,0,0,1,1,0,3,0,'0'
0,6,14,0,6,3,96,1,1,0.916667,0.5,1,22.75,1.75,'0'
0,0,23,0,0,9,250,1,0,0.5625,0.388889,1,26.333333,0.7778,'0'
0,3,25,4,2,1,183,1,0,0,0.583333,0,44.25,1.25,'0'
0,9,28,1,8,2,268,0,0,0.958333,1,1,133,0.5,'1'
0,5,35,0,5,3,300,1,0,0.880952,0.444444,1,48.5,0.8333,'0'
1,35,11,4,2,5,54,1,0,0,0.533333,0,9.6,0.6,'0'
0,15,58,39,15,16,316,1,1,0.862903,0.268519,4,16.388889,1.2222,'0'
3,8,12,2,2,5,49,1,0,0.902439,0.466667,0,8.4,0.8,'0'
0,1,6,1,1,1,20,0,0,0.875,0.75,1,9,0.5,'0'
0,6,10,0,2,4,125,1,0,0.75,0.5,0,29.5,1,'0'
0,6,26,15,5,6,237,0.5,0,0.860465,0.285714,1,32.571429,0.8571,'0'
3,15,56,86,12,6,372,1,2,0,0.226667,0,22.0625,2,'0'
0,24,8,3,0,7,43,1,0,0,0.714286,0,4.714286,0.8571,'0'
0,29,100,420,25,22,1585,0.333333,0,0,0.28125,0,46.212121,2.1818,'1'
0,8,20,3,7,2,151,0,0,0.92,0.5,0,48.333333,0.6667,'0'
3,32,9,3,4,2,23,0,0,0.988636,0.666667,3,6.666667,0.6667,'0'
0,3,8,0,1,3,32,1,0,0.75,0.555556,0,9.333333,0.6667,'0'
0,5,68,407,3,13,624,0.904762,2,0,0.316129,0,18.451613,1.4516,'0'
0,19,67,112,13,14,468,1,1,0.652174,0.183007,1,26.176471,2.7059,'1'
0,2,1,0,0,1,1,0,0,0,1,0,0,1,'0'
0,4,30,27,3,5,252,1,1,0.357143,0.283333,1,23.5,1,'0'
3,13,39,80,7,12,341,0.857143,0,0,0.285714,0,19.875,1.75,'1'
0,3,41,84,2,16,559,1,2,0.580645,0.25,2,33.375,0.8125,'1'
0,7,14,0,3,2,92,1,1,0.953488,0.555556,1,29,3,'0'
0,9,7,21,1,7,7,0,0,0,1,0,0,1,'0'
0,3,9,0,2,5,64,1,0,0,0.533333,0,11.2,0.8,'0'
0,11,45,16,10,4,216,0.6,0,0.840909,0.270833,1,25.375,1.875,'0'
0,18,63,65,13,2,322,1,3,0.586207,0.230769,1,21.5,0.9286,'1'
0,2,42,0,1,12,236,1,0,0,0.444444,0,18.333333,1.5833,'1'
0,2,11,3,1,3,56,1,0,0,0.666667,0,8,0.8333,'0'
0,5,15,1,5,1,67,0,0,0.980392,1,1,32.5,2,'0'
0,7,5,10,1,5,5,0,0,0,0.4,0,0,1,'0'
0,2,33,4,1,5,269,0.714286,1,0,0.416667,0,31.75,1.75,'0'
0,14,26,0,9,7,199,1,2,0.853659,0.392857,1,26.857143,2.5714,'0'
0,6,13,0,1,5,69,1,0,0,0.533333,0,12.6,1.2,'0'
0,8,34,65,8,14,404,1,1,0.74,0.595238,1,27,1,'0'
0,2,7,21,0,7,7,0,0,0,0.642857,0,0,1,'0'
1,14,89,301,13,30,844,0.826087,2,0.560606,0.207407,3,26.366667,2.5,'0'
0,2,7,6,1,4,20,0,0,0,0.875,0,4,0.75,'0'
0,1,2,0,1,1,4,0,0,1,1,0,3,0,'0'
2,5,15,0,1,4,137,1,0,0,0.9,0,25.2,1.8,'0'
0,1,3,0,0,1,6,0,0,1,1,0,5,0,'0'
0,7,14,3,6,1,88,0,0,0,0.444444,0,28.333333,0.6667,'1'
0,2,7,4,0,0,39,1,0,0,0.7,0,6.2,0.6,'0'
0,13,74,50,13,12,635,1,1,0,0.288889,0,37.5625,2.6875,'0'
0,9,24,10,9,3,137,0,0,0.882353,0.4,0,26.4,2.8,'0'
0,80,19,18,1,6,99,0.75,1,0,0.392857,0,10.875,0.625,'0'
0,10,44,0,10,14,199,1,1,0.74,0.255102,2,12.928571,1.4286,'0'
0,6,2,0,0,1,5,0,0,1,1,0,4,0,'0'
0,9,24,1,8,2,147,0,0,0.958333,1,0,72.5,0.5,'0'
0,4,0,0,2,0,0,0,0,0,0,0,0,0,'0'
0,1,9,10,0,3,81,1,0,0.924528,0.44,2,15,2,'0'
0,19,93,317,19,23,949,1,5,0.728972,0.238095,3,29.933333,1.1,'1'
0,8,74,14,5,16,599,0.285714,1,0,0.163399,1,33.411765,1.5294,'1'
0,9,11,3,4,3,76,0,0,0.953488,0.666667,1,24.333333,1.6667,'0'
0,3,8,1,3,2,33,0,0,0.969697,1,0,15.5,0.5,'0'
0,23,24,276,20,24,24,0,0,0,0.089286,0,0,1,'0'
0,4,18,10,4,6,172,1,0,0.840909,0.75,0,20.125,1.75,'0'
0,5,24,1,5,6,137,1,0,0.880952,0.416667,3,21.166667,0.8333,'0'
0,18,40,23,16,19,386,1,1,0.604651,0.119298,2,19.052632,1.7368,'0'
0,3,7,0,2,4,161,1,0,0.928571,0.75,2,38.5,0.5,'0'
0,1,19,0,0,3,108,1,0,0,0.533333,0,20.2,1.4,'0'
0,7,38,0,7,7,262,1,0,0.860465,0.342857,2,35.714286,0.8571,'0'
0,0,16,34,0,8,60,1,0,0.8,0.666667,1,5.555556,1,'0'
0,2,8,0,0,3,28,1,0,0.928571,0.666667,0,8,0.3333,'0'
0,9,50,21,9,1,686,0,0,0.930233,0.714286,4,97,5.4286,'0'
0,2,3,3,0,3,4,0,0,0,0.666667,0,0,1,'0'
0,4,15,6,0,7,286,1,0,0,0.541667,0,34.5,2.375,'0'
0,3,1,0,1,1,1,0,0,0,1,0,0,1,'0'
0,8,22,3,7,2,152,0,0,0.866667,0.5,0,48.666667,0.6667,'0'
0,7,50,14,5,8,348,1,1,0.884058,0.481481,2,37.222222,3.4444,'0'
0,9,26,0,4,7,263,0,0,0.863636,0.342857,2,36,3,'0'
0,5,60,16,5,8,720,0.538462,1,0.876404,0.305556,1,57.916667,1.0833,'0'
0,4,18,14,1,4,88,1,0,0,0.518519,0,8.333333,0.8889,'0'
0,22,151,498,22,38,1000,1,4,0.440476,0.122222,1,19.5625,1.125,'1'
0,5,16,0,5,4,95,1,0,0.914286,0.75,0,22.25,0.75,'0'
0,2,35,38,0,17,617,0.818182,0,0,0.293651,0,27.857143,0.8571,'1'
0,6,34,4,4,6,367,1,0,0,0.3125,0,29.083333,0.8333,'0'
0,5,10,2,5,4,48,1,0,0.925,0.5,0,10.5,0.75,'0'
0,4,39,22,3,6,377,0.5,0,0,0.166667,0,45.875,1.25,'0'
1,14,61,19,13,8,543,1,0,0.804348,0.266667,2,52.6,1.4,'1'
5,23,45,348,23,28,204,1,0,0.564516,0.079193,0,6.25,1.2143,'0'
0,3,13,6,0,4,86,0,0,0,0.333333,1,20.5,3.5,'0'
0,11,6,15,1,6,10,0,0,0,0.722222,0,0,1,'0'
0,4,40,330,2,2,2011,0.777778,1,0.225,0.20625,1,60.4375,4.0938,'0'
0,51,146,654,8,33,2046,0.777778,0,0,0.283333,0,54.054054,2.8108,'1'
0,2,1,0,2,1,1,0,0,0,1,0,0,1,'0'
0,3,13,31,2,10,76,1,1,0,0.375,0,6.3,1.1,'0'
0,26,89,246,14,16,817,1,0,0.578125,0.241071,1,27.964286,2.4286,'1'
0,6,26,0,2,11,181,1,0,0.529412,0.409091,0,15,0.7273,'0'
0,4,19,4,3,4,107,1,0,0.903226,0.7,2,20.2,0.6,'0'
0,6,44,21,6,7,367,1,0,0.804348,0.45,0,35.1,1.1,'0'
2,7,26,29,5,6,162,1,0,0.804348,0.5,0,15,1.2,'0'
0,11,71,124,6,15,698,0.625,0,0.625,0.3,2,33.5,2,'1'
0,9,9,3,4,2,23,0,0,0.988636,0.666667,3,6.666667,0.6667,'0'
1,31,169,453,28,22,2236,1,2,0.684211,0.144144,0,57.236842,1.2632,'1'
0,3,38,6,3,8,233,1,0,0,0.375,0,27.75,1.75,'1'
0,3,7,1,3,2,23,0,0,0.969697,1,0,10.5,0.5,'0'
0,6,26,3,6,4,134,1,0,0.880952,0.5,0,21,1,'0'
0,1,0,0,0,0,24,0,0,0,0,0,0,0,'1'
1,5,7,6,0,5,32,1,0,0,0.7,0,5,0.8,'0'
0,3,22,0,1,6,112,1,0,0,0.47619,0,14.571429,1.4286,'0'
0,3,20,4,2,4,168,0.666667,0,0.896552,0.466667,2,32,0.6,'1'
1,19,106,272,15,26,712,1,3,0.513889,0.175,0,18.361111,1.3889,'0'
0,4,2,1,2,2,2,0,0,0,0.75,0,0,1,'0'
0,5,1,0,1,1,1,0,0,0,1,0,0,1,'0'
0,10,39,0,10,6,330,1,1,0.840909,0.325,0,39.625,0.875,'1'
0,5,30,0,5,0,189,1,2,0,0.6,0,92,5,'0'
0,3,18,4,3,3,152,1,0,0.925,0.75,1,36.75,0.75,'0'
0,8,77,317,3,22,615,0.916667,0,0.469388,0.14,1,18.451613,1.5161,'1'
0,7,57,19,7,9,518,0.875,0,0.804348,0.34,2,50,1,'1'
0,11,33,0,5,6,181,1,0,0.833333,0.3125,1,21.375,2,'0'
0,14,90,519,10,25,815,1,3,0.536232,0.171429,0,21.971429,1.4,'0'
0,8,19,45,0,14,138,1,0,0,0.371429,0,8.571429,0.9286,'0'
0,8,26,0,8,3,125,1,1,0.944444,0.4,2,30,1.75,'1'
0,9,36,1,9,7,250,1,2,0.860465,0.285714,2,34.142857,0.8571,'1'
0,3,37,41,2,14,437,0.75,1,0.454545,0.311111,1,27.333333,0.8,'1'
0,5,1,0,1,1,1,0,0,0,1,0,0,1,'0'
0,8,71,55,5,9,616,1,0,0,0.219048,0,39.466667,0.8667,'1'
0,6,11,1,5,2,41,0,0,0.958333,1,0,19.5,0.5,'0'
0,6,18,5,6,5,95,1,0,0.880952,0.5,0,14.333333,0.8333,'0'
0,5,4,6,1,4,4,0,0,0,0.5,0,0,1,'0'
0,9,34,10,9,7,214,1,0,0.840909,0.3125,1,22.111111,1.4444,'1'
0,7,23,0,7,7,145,1,0,0.860465,0.342857,1,19.142857,1.4286,'0'
0,13,5,10,0,5,5,0,0,0,0.533333,0,0,1,'0'
0,8,52,119,8,9,523,0.928571,2,0.672727,0.169591,0,25.789474,1.4737,'1'
0,13,1,0,1,1,1,0,0,0,1,0,0,1,'0'
0,5,17,0,4,5,107,1,0,0.848485,0.47619,2,13.857143,1.2857,'0'
1,7,9,0,2,3,47,1,0,0,0.666667,0,14.333333,0.6667,'1'
0,10,33,0,10,6,511,1,0,0.939759,0.555556,1,83.5,0.8333,'1'
0,17,36,3,12,10,253,1,2,0.795455,0.266667,1,23.9,2.3,'0'
0,3,2,1,0,2,2,0,0,0,0.75,0,0,1,'0'
0,14,69,130,13,16,819,1,4,0.660714,0.25,2,39.4,3.05,'1'
0,7,9,1,4,2,31,0,0,0.923077,0.666667,0,14.5,0.5,'0'
0,1,14,28,0,8,271,0,0,0,0.45,0,32.875,2.75,'0'
0,14,113,173,14,5,1964,0.894737,0,0,0.144628,0,83.565217,4.3913,'0'
0,8,1,0,2,1,3,0,0,0,1,0,0,1,'0'
0,3,19,8,1,9,119,1,0,0,0.518519,0,11.777778,1.4444,'0'
0,3,17,4,3,3,99,1,0,0.925,0.75,1,23.25,1,'0'
0,1,12,0,0,6,62,1,0,0.5,0.458333,1,9,0.8333,'0'
0,23,3,3,0,3,3,0,0,0,1,0,0,1,'0'
0,4,15,0,3,4,109,1,0,0.75,0.5,0,25.75,0.75,'0'
0,11,38,0,11,11,250,1,1,0.787234,0.454545,1,21.363636,1.4545,'0'
0,12,84,83,12,11,1202,1,1,0.821053,0.181818,2,64.055556,1.9444,'1'
0,1,11,6,0,5,153,1,0,0,0.5,0,28.6,1.4,'1'
0,11,23,1,7,5,95,0.666667,2,0.882353,0.6,0,14.333333,1.3333,'0'
0,35,227,2766,35,78,2412,0.969697,10,0.308333,0.136905,3,26.988235,1.6706,'1'
0,1,2,0,1,1,4,0,0,1,1,0,3,0,'0'
0,5,6,15,1,6,6,0,0,0,0.444444,0,0,1,'0'
0,1,5,3,0,3,24,0,0,0,0.666667,0,7,1.6667,'0'
2,6,6,1,1,3,25,1,0,0.882353,0.833333,1,7,1.3333,'0'
1,7,14,3,2,3,52,0,0,0.96875,0.555556,1,16.333333,1.6667,'0'
0,5,19,0,5,5,100,1,0,0.902439,0.533333,1,18.4,0.8,'0'
0,7,22,6,5,2,121,0,0,0,0.75,0,29.25,1.5,'0'
0,4,13,0,3,4,60,1,1,0,0.75,0,13.25,0.75,'0'
0,5,53,19,5,1,404,0.5,1,0.932584,0.485714,3,56.428571,2.4286,'1'
0,1,6,1,1,1,20,0,0,0.875,0.75,1,9,0.5,'0'
0,2,1,0,1,1,1,0,0,0,1,0,0,1,'0'
0,4,42,130,4,18,376,1,1,0,0.284211,0,17.45,1.15,'0'
0,6,17,0,4,4,70,0.5,0,0.909091,0.583333,0,16,1.5,'0'
0,11,91,108,10,15,962,1,0,0.804124,0.2125,0,46.3,1.1,'1'
0,3,25,0,2,7,211,1,0,0,0.47619,0,28.571429,2,'1'
0,5,32,70,2,9,158,1,1,0,0.083333,0,10.846154,0.9231,'0'
0,6,73,353,2,34,790,0.789474,0,0,0.16,1,21.028571,1.2,'0'
0,0,2,0,0,1,6,0,0,0,1,0,3,0,'0'
0,16,78,69,16,10,502,1,0,0.72549,0.233333,1,32,1.4,'1'
0,11,23,10,10,4,130,0,0,0.764706,0.5,0,24.8,0.8,'0'
0,6,44,322,4,5,4238,0.780488,1,0.138889,0.257576,1,126.181818,5.6061,'0'
0,34,111,363,22,22,1004,0.789474,6,0,0.108374,0,31.833333,1.9333,'1'
0,3,36,51,0,8,314,0.6,0,0,0.22,0,26.636364,1.3636,'0'
0,6,26,0,5,5,173,1,0,0.823529,0.375,2,20.25,1.125,'0'
0,32,57,147,6,19,441,1,1,0,0.313043,0,17.869565,1.8696,'1'
0,32,38,0,27,25,189,1,0,0.555556,0.08,1,6.52,0.96,'0'
0,6,5,6,1,4,16,0,0,0,0.875,0,3,0.75,'0'
0,12,38,1,7,11,394,0.5,0,0.791667,0.215909,1,33.909091,2.7273,'0'
0,11,54,17,10,11,437,1,4,0,0.191919,0,37.909091,1.5455,'1'
0,0,7,0,0,3,19,1,0,0,0.666667,0,5,0.6667,'0'
0,2,20,21,2,9,132,1,0,0.804348,0.4,1,11.7,0.9,'0'
59,138,52,361,7,20,318,1,4,0.236842,0.195833,1,9.333333,1.2,'1'
0,5,12,3,4,1,40,0,0,0.857143,0.666667,0,12.333333,0.6667,'0'
0,5,28,12,5,8,217,1,0,0.8,0.481481,2,22.666667,0.7778,'0'
0,10,26,6,9,2,195,0,0,0.884615,0.5,0,47.5,3,'0'
0,1,18,0,1,1,258,1,0,0.888889,0.5,1,79.666667,5.6667,'0'
0,14,24,15,0,5,116,0,0,0,0.3,0,18.166667,1,'0'
0,6,80,272,6,12,777,1,1,0.587302,0.290123,1,26.142857,2.5357,'1'
0,11,30,0,6,8,299,0.428571,0,0.844444,0.35,1,35.5,3.125,'0'
0,7,22,1,5,2,222,0,0,0,0.5,0,110,6,'1'
0,5,22,0,4,5,150,1,0,0.848485,0.47619,2,20,1.1429,'0'
0,7,13,1,6,2,66,1,0,0.958333,1,0,31.5,0.5,'0'
0,6,25,0,5,6,251,1,1,0.777778,0.375,2,23.2,1.6,'0'
8,23,98,112,15,4,951,1,9,0,0.242857,0,43.190476,4.0476,'1'
0,4,16,0,4,4,59,1,0,0.842105,0.875,1,13.5,1.75,'0'
0,4,6,0,3,3,34,1,0,0.818182,0.666667,0,10,1,'0'
11,14,7,4,3,3,22,1,1,0.928571,0.5,0,4.25,0.5,'0'
0,6,15,0,2,4,83,1,0,0.953846,0.4375,1,19.5,2,'0'
0,8,49,33,8,9,463,1,1,0.72549,0.25,1,29.8,1.9333,'1'
0,21,71,43,16,17,661,1,5,0.690909,0.177778,2,35.111111,3,'1'
0,6,13,6,5,3,83,0,0,0.625,0.5,0,19.75,0.75,'0'
0,7,8,0,0,7,89,1,0,0,0.428571,1,11.571429,1,'0'
0,20,1,0,1,1,1,0,0,0,1,0,0,1,'0'
0,4,4,0,3,1,16,1,1,0.9375,0.666667,1,6.5,0.5,'0'
2,5,24,26,3,5,169,1,0,0.822222,0.444444,1,17.555556,0.8889,'0'
0,16,42,17,9,10,291,1,2,0.75,0.287879,1,25,1.9091,'1'
8,12,5,0,4,3,18,1,1,0.921053,0.4375,0,3.25,0.75,'0'
0,10,31,18,10,4,149,1,1,0.9625,0.357143,3,17.25,0.875,'0'
0,2,8,1,2,1,37,0,0,0.987179,0.5,0,16.5,0.5,'0'
0,5,18,0,4,5,126,1,0,0.848485,0.47619,2,16.428571,1.2857,'0'
0,10,69,15,10,2,453,1,0,0.727273,0.367347,2,63.571429,2.8571,'0'
0,18,94,220,18,18,769,1,3,0.587302,0.119048,1,25.892857,2.7143,'0'
0,12,15,13,4,11,97,1,3,0.2,0.220779,0,7.272727,0.7273,'0'
2,15,99,165,13,10,1007,1,6,0.85034,0.158385,3,42.173913,1.3913,'1'
0,28,98,0,28,38,890,1,0,0.661017,0.080594,3,20.487805,1.6341,'1'
0,6,14,1,5,2,45,0,0,0.958333,1,0,21.5,0.5,'1'
0,6,28,8,6,7,221,1,1,0.840909,0.5,2,26.125,1.75,'0'
1,7,40,3,5,1,237,0,0,0.9,0.555556,1,78,3,'0'
0,243,27,0,1,15,157,1,1,0.619048,0.322222,1,9.333333,0.6667,'0'
0,3,30,0,3,5,1270,1,0,0.880952,0.555556,1,210,1,'0'
19,128,8,4,1,5,37,1,1,0,0.45,0,6.2,1.2,'1'
0,4,13,1,4,1,56,0,0,0.980392,1,1,27,2,'0'
5,20,25,0,18,18,122,1,0,0.321429,0.102778,0,5.05,0.95,'0'
0,7,39,0,6,7,424,1,0,0.717949,0.292308,2,30.923077,1.4615,'1'
0,4,20,0,4,4,145,1,1,0,0.9,0,27.4,2.2,'0'
0,3,11,1,2,6,74,1,0,0,0.555556,0,10.666667,0.8333,'0'
2,10,18,8,1,6,160,1,1,0.384615,0.377778,1,16,0.8889,'0'
0,6,18,1,6,7,139,1,0,0.842105,0.428571,0,18.142857,0.8571,'0'
1,11,27,0,9,11,90,1,1,0.788462,0.333333,0,6.333333,1.0833,'0'
0,3,8,0,0,7,147,1,0,0,0.342857,1,19.857143,1,'0'
0,6,4,6,4,4,4,0,0,0,0.625,0,0,1,'0'
0,19,1,0,0,1,1,0,0,0,1,0,0,1,'0'
0,4,13,0,3,4,89,1,0,0.75,0.5,0,20.75,0.75,'0'
1,8,20,129,5,17,134,1,3,0,0.229167,0,5.611111,0.9444,'0'
0,14,39,19,13,9,332,1,1,0.787234,0.327273,1,28.636364,3,'0'
0,17,26,31,2,7,362,0.615385,1,0,0.3,0,30.727273,2.1818,'1'
0,1,3,1,0,2,7,0,0,0.947368,0.75,1,2.5,0.5,'0'
2,10,23,3,8,6,139,1,2,0.853659,0.428571,1,18.285714,1.7143,'0'
0,202,247,4576,23,87,2015,0.588235,4,0,0.09087,0,18.81,1.4,'1'
0,6,36,58,5,13,366,1,0,0,0.242188,0,21.5,1.75,'1'
0,27,121,2541,18,68,918,1,6,0.513158,0.205714,1,10.866667,1.4667,'1'
0,8,32,9,8,4,194,1,1,0.902439,0.35,2,30.833333,2.1667,'1'
0,17,87,20,17,9,687,0.25,2,0.876404,0.260417,2,55.25,1,'1'
0,1,11,7,0,7,105,0,0,0,0.714286,0,13.571429,1.4286,'0'
0,13,52,90,11,15,522,1,1,0,0.22619,0,23.095238,1.7619,'1'
0,5,19,1,5,2,89,1,0,0,0.5,0,28.333333,0.3333,'0'
0,5,15,1,5,6,75,1,0,0.880952,0.555556,0,10.833333,0.8333,'1'
5,18,8,3,3,6,39,1,0,0.857143,0.5,0,5.333333,1.3333,'0'
0,6,14,3,2,3,52,0,0,0.96875,0.555556,1,16.333333,1.6667,'0'
0,2,5,0,1,3,34,1,1,0.818182,0.5,1,10,0.6667,'0'
0,12,68,133,6,16,677,1,0,0.588235,0.266234,2,29.590909,2.9545,'1'
0,13,28,10,12,1,225,0.5,0,0,0.333333,0,43.6,1,'1'
1,9,56,225,8,20,537,1,2,0.606557,0.24,0,19.230769,1.1923,'1'
0,13,18,0,7,4,137,1,2,0,0.5,0,32.5,1.5,'1'
33,59,14,20,1,7,87,1,0,0,0.6875,0,9.625,1.5,'0'
0,2,1,0,0,0,2064,0,0,0,0,0,2052,0,'0'
15,24,29,59,4,5,169,1,1,0.391304,0.209524,0,10.066667,1.2667,'0'
0,11,19,2,11,4,102,1,1,0.931818,0.5,0,24,2,'0'
0,8,27,55,7,9,218,0.5,0,0,0.284091,0,18.636364,1.9091,'1'
0,4,37,0,1,1,340,1,0,0,0.818182,0,26.166667,1.6667,'0'
0,0,4,3,0,3,20,0,0,0,0.5,0,5.666667,1,'0'
0,7,32,9,7,5,128,0.5,1,0.545455,0.5,0,17,0.8571,'0'
6,20,21,23,2,5,151,1,1,0.692308,0.228571,1,13.8,0.8,'0'
0,8,99,112,3,15,1445,0.923077,8,0.3125,0.213542,1,55.76,1,'1'
0,25,109,964,20,44,819,0.952381,4,0.624,0.154167,3,15.625,1.375,'0'
0,1,10,0,1,1,67,1,1,0.714286,0.666667,1,20.333333,0.6667,'0'
2,17,105,700,15,32,988,0.956522,2,0.480519,0.195122,0,22.536585,1.6341,'0'
0,5,2,1,0,2,2,0,0,0,0.75,0,0,1,'0'
2,11,45,112,4,16,543,0.857143,0,0,0.316667,0,25.8,3,'0'
0,9,90,129,9,16,826,1,3,0.787879,0.318182,2,35.954545,1.2727,'1'
0,1,42,24,0,7,485,1,0,0,0.346939,0,59.375,4,'0'
1,6,12,10,3,3,86,0,0,0,0.533333,0,16.2,0.8,'0'
0,8,25,0,8,7,141,1,0,0.860465,0.857143,1,18.571429,0.8571,'0'
0,14,29,0,9,6,224,0.75,2,0.883721,0.416667,1,35.666667,2.6667,'0'
0,14,23,68,2,12,357,1,0,0,0.708333,0,25.846154,4.0769,'0'
0,9,31,15,7,10,166,1,1,0.769231,0.3,1,15.3,1.4,'0'
0,7,19,3,6,2,93,0,0,0.866667,0.5,0,29.666667,0.6667,'0'
