@relation mydataframe
@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute pd numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
1,2,0.749595,0.230769,0.128205,78,1,354,1734.375938,536,'0'
2,11,0.994361,0.009988,0.009988,220.266667,0,139,2738.133333,4643,'0'
1,1,0.739352,0.022568,0.022568,257,0,964,2769.600397,499,'0'
1,1,0,0.078947,0.013158,76,1,15,4279.069048,461,'0'
1,1,0.988109,0.008449,0.000768,118.363636,1,393,4376.421429,460,'0'
1,2,0.998364,0.132911,0,79,1,61,4357.804762,444,'0'
1,1,0,0.112676,0.15493,71,1,1,4423.905952,440,'0'
1,1,0.241768,0.076174,0.028344,376.333333,1,54,4426.615476,439,'0'
1,1,0,0.43662,0.028169,71,1,119,2739.295238,383,'0'
1,1,0,0,0.016949,59,1,37,2876.647619,372,'0'
1,1,0,0.033333,0.033333,60,1,3,2761.097619,353,'0'
1,2,0.787127,0.195652,0.173913,46,1,2,2710.747619,352,'1'
1,1,0,0.017857,0.017857,56,1,0,2631.169048,344,'1'
1,1,0,0.142857,0,56,1,0,2630.169048,343,'1'
2,4,0.788294,0.023385,0.028953,112.25,0,293,2823.466667,1337,'1'
1,1,0,0.074074,0.055556,54,1,1,2403.466667,261,'0'
1,1,0,0.37037,0.055556,54,1,95,2399.7,252,'0'
1,1,0,0.057692,0.057692,52,0,45,2138.083333,233,'0'
1,1,0,0.035714,0.035714,56,0,6,1887.583333,185,'0'
1,1,0.922317,0.02,0.009231,216.666667,1,1,1836.666667,182,'1'
1,1,0,0.037736,0.037736,53,0,32,1653.333333,172,'0'
2,4,0.853197,0.005833,0.083333,171.428571,1,59,1569.333333,858,'1'
1,1,0,0,0.106061,66,0,0,1523,161,'0'
2,2,0.896241,0.010471,0.010471,143.25,1,3,1521,809,'0'
1,1,0.827176,0.094637,0.018927,211.333333,1,24,1502.166667,157,'1'
1,2,0.371232,0.083333,0.208333,48,0,76,1421.5,153,'1'
1,1,0,0.030769,0,65,1,19,1417.166667,147,'0'
1,1,0,0.016667,0.016667,60,0,18,1265.333333,114,'0'
1,1,0,0.1,0.483333,60,1,4,1139.5,85,'0'
1,1,0.819779,0.246291,0.299703,168.5,0,2,1124.333333,78,'1'
1,1,0,0.533333,0.066667,75,1,7,1016.833333,68,'0'
1,1,0,0.047337,0.06213,169,1,6,935.5,36,'1'
1,2,0.922456,0.084479,0.062868,127.25,1,0,955.333333,28,'0'
1,1,0,0.017857,0.017857,56,0,1,938.333333,16,'0'
1,1,0.665274,0.405594,0.118881,71.5,1,10,444.5,315,'0'
1,1,0,0,0,0,0,0,125,105,'0'
1,2,0.987693,0.707071,0.222222,49.5,0,0,130,109,'0'
1,2,0.90072,2.264151,0,26.5,0,0,125,105,'0'
1,1,0,0.009945,0.00442,905,1,104,1669.348782,548,'0'
1,1,0,0.023359,0.006674,899,1,284,1875.710065,531,'0'
3,4,0.61832,0.008753,0.007659,457,0,89,2751.371032,1225,'1'
1,1,0,0.001134,0.001134,882,0,31,2741.133333,507,'0'
1,1,0,0.001134,0.001134,882,0,0,2742.281349,494,'0'
1,1,0,0.002268,0,882,1,147,1443.25,10,'0'
1,1,0,0.195678,0.121248,833,1,1,4424.905952,441,'1'
1,1,0,0.002551,0.003827,784,1,0,2832.083333,397,'0'
1,1,0,0.007634,0.006361,786,1,86,2813.083333,395,'1'
2,2,1,0.002389,0.002389,418.5,1,133,2695.295238,2245,'0'
1,1,0,0.001274,0.001274,785,0,20,2874.27381,373,'0'
1,1,0,0.001274,0.001274,785,1,7,2860.397619,369,'0'
2,2,0.831474,0.005693,0.006325,790.5,1,0,2893.380952,2429,'0'
2,4,0.88831,0.011526,0.001383,542.25,1,216,2890.380952,2426,'1'
2,3,0.810575,0.040481,0.014223,228.5,1,145,2863.397619,2397,'0'
1,1,0,0.005148,0.005148,777,1,15,2859.397619,363,'0'
1,1,0,0.002574,0.002574,777,0,3,2764.097619,354,'0'
1,2,0.977409,0.023852,0.027385,283,0,219,2708.747619,350,'1'
1,1,0.322757,0.035253,0.0047,425.5,1,56,2697.983333,339,'0'
2,2,0.516343,0.025755,0.005329,375.333333,1,209,2677.433333,2100,'1'
1,1,0,0.001305,0.001305,766,0,24,2651.133333,335,'0'
1,1,0,0.016971,0,766,1,3,1284.75,5,'0'
1,1,0,0,0.001309,764,0,1,2576.216667,331,'0'
1,1,0.918296,0.058264,0.005945,420.5,1,90,2724.9,326,'0'
1,1,0,0.100917,0.06422,763,1,2,2716.1,324,'0'
1,1,0,0.009396,0.006711,745,1,23,2699.35,319,'0'
1,1,0,0.025538,0.005376,744,1,19,2697.016667,314,'0'
1,1,0,0.016327,0.012245,735,1,0,2633.066667,311,'0'
1,1,0,0.019048,0.008163,735,1,0,1191.333333,15,'0'
1,1,0,0.04104,0.002736,731,1,27,1190.333333,14,'0'
1,1,0,0.064789,0.015493,710,1,15,2654.283333,309,'1'
1,1,0,0.001439,0.001439,695,1,0,2631.716667,289,'0'
1,1,0,0.002878,0.002878,695,0,0,2630.716667,288,'0'
1,1,0,0.001439,0.001439,695,0,0,1400.116667,13,'0'
1,1,0,0.01295,0.004317,695,1,0,2622.716667,287,'0'
1,1,0,0.005789,0.001447,691,1,5,1399.116667,12,'1'
1,1,0,0.005806,0.005806,689,1,0,2644.2,286,'0'
1,1,0,0.086179,0.001626,615,1,56,2703.483333,279,'0'
1,1,0,0.01675,0.008375,597,1,0,2384.383333,267,'0'
2,2,1,0.012308,0.003077,325,1,8,2383.383333,707,'0'
2,2,0.98424,0.083591,0.010836,323,1,90,2413.1,691,'1'
1,1,0.954434,0.057903,0.042254,319.5,1,0,2412.7,259,'1'
1,1,0.930586,0.23937,0.006299,317.5,1,146,2401.7,254,'1'
1,1,0,0,0.001859,538,0,1,2467.1,250,'0'
2,2,0.616166,0.068471,0.025478,314,1,157,2475.133333,635,'1'
1,1,0,0.078358,0.022388,536,1,46,2580.733333,242,'0'
1,1,0,0,0.001942,515,1,3,2284.583333,229,'0'
1,1,0,0,0.013592,515,0,0,2283.416667,227,'0'
1,1,0,0.046602,0.003883,515,0,11,2282.416667,226,'0'
1,1,0,0.145631,0.029126,515,1,3,1291.666667,10,'1'
1,2,0.764205,0.356343,0.01306,268,1,18,2279.666667,221,'1'
1,1,0,0.005089,0.007634,393,0,3,2252,218,'0'
1,1,0,0.066158,0,393,1,0,2241,217,'0'
1,1,0,0.018277,0.010444,383,1,1,2239,216,'0'
1,1,0,0.005195,0.005195,385,1,0,2229.666667,213,'0'
1,1,0,0.005195,0.005195,385,1,10,2228.666667,212,'0'
1,1,0,0.002597,0.002597,385,0,13,2147.166667,204,'1'
1,2,0.747394,0.041108,0.013405,559.5,1,5,1961.833333,192,'1'
1,1,0,0.067024,0.005362,373,0,1,1957.833333,190,'1'
2,3,0.780274,0.017476,0.030421,309,1,61,1949.083333,1216,'1'
1,1,0,0.096257,0,374,1,51,1829.666667,176,'1'
1,1,0,0.017192,0.008596,349,0,15,1427,154,'0'
1,1,0,0.002882,0.002882,347,1,8,1430.5,145,'0'
2,3,0.759178,0.031288,0.019632,407.5,0,0,1345,566,'1'
1,1,0,0.040346,0.020173,347,1,0,1337,138,'0'
1,1,0,0.008772,0,342,1,0,1336,137,'0'
1,3,0.39195,0.098282,0.034351,349.333333,0,9,1335,136,'1'
1,2,0.548487,0.070915,0.002055,486.5,1,8,1307,128,'1'
1,1,0,0.011278,0.003759,266,0,9,1266.333333,115,'0'
1,1,0,0.033835,0.011278,266,1,9,1252.5,100,'1'
1,1,0,0.068441,0.08365,263,1,0,1140.5,86,'1'
1,1,0,0.003745,0.003745,267,0,4,1134.5,80,'0'
2,2,1,0.005682,0,176,1,7,1020.833333,141,'0'
1,1,0,0.129032,0.064516,279,0,7,1017.833333,69,'0'
1,1,1,0.004435,0.004435,225.5,0,0,954.5,48,'0'
1,1,0,0.115385,0.009615,52,0,253,671.5,37,'0'
1,1,0,0.131274,0.027027,259,1,178,1739.720274,532,'0'
1,1,0,0.111554,0.031873,251,1,148,2079.759271,530,'0'
1,1,0,0.003984,0.003984,251,1,52,4234.769444,483,'0'
1,3,0.682755,0.096079,0.062473,257.888889,1,556,282,9,'1'
1,1,0,0.023904,0.003984,251,1,140,2536.554762,380,'0'
1,1,0,0.052419,0.016129,248,1,3,2766.097619,355,'1'
2,2,0.840359,0,0.117914,220.5,1,102,2703.733333,1774,'0'
1,1,0,0.019531,0.007813,256,1,35,2717.733333,281,'0'
2,2,0.970951,0.115556,0.028889,225,1,14,2817.383333,1257,'1'
1,1,0,0.004184,0.004184,239,1,12,2402.466667,260,'0'
2,3,1,0.003376,0.003376,296.25,0,207,2450.633333,614,'0'
1,1,0,0.012552,0.004184,239,1,0,2538.233333,244,'0'
1,1,0,0.008368,0.004184,239,1,23,2534.233333,243,'0'
2,2,0.650022,0.019337,0.013812,181,1,19,2579.833333,557,'1'
1,2,0.487918,0.044792,0.023958,480,1,9,2612.5,238,'1'
1,1,0,0.012712,0.016949,236,0,27,2125,232,'0'
1,1,0,0.004237,0.004237,236,0,3,1198.5,3,'0'
1,1,0,0.004237,0,236,0,11,2284.416667,228,'0'
2,3,0.861878,0.0928,0.0176,208.333333,1,9,2335.333333,1624,'0'
1,2,0.991076,0.019293,0.009646,155.5,1,17,2238,215,'0'
1,1,0,0.16087,0.095652,230,1,9,2078.666667,197,'1'
2,2,0.563856,0.115183,0.062827,191,1,6,1890.583333,1153,'1'
1,1,0,0.027273,0.004545,220,1,7,1724.583333,174,'0'
1,1,0,0.022936,0.009174,218,1,16,1641,168,'0'
2,2,0.543564,0.011516,0.003839,260.5,1,26,1405.5,684,'0'
1,2,0.988699,0.030474,0.005643,443,0,10,1423.5,144,'1'
1,1,0.666578,0.082677,0.007874,127,0,7,1276.333333,122,'1'
1,1,0,0,0.015957,188,0,5,422,6,'0'
2,4,0.730481,0.053631,0.007821,223.75,1,19,1273.333333,476,'0'
1,2,1,0.002699,0.002699,370.5,0,4,1256.5,104,'0'
1,1,0,0.043956,0.021978,182,1,5,1254.5,102,'0'
1,1,0,0.033149,0.01105,181,0,3,1123,97,'0'
1,1,0,0.022346,0.011173,179,0,5,1137,90,'0'
1,1,0,0.185393,0.219101,178,1,1,1022.333333,75,'1'
1,1,0,0.016304,0.065217,184,1,1,1018.833333,70,'1'
1,2,0.514091,0.064426,0.021008,357,0,2,1018.833333,66,'0'
1,1,0,0.005556,0,180,0,0,1026.833333,64,'0'
1,1,0,0.005587,0.005587,179,0,0,965.833333,61,'0'
1,1,0,0.106145,0.01676,179,1,4,964.833333,60,'1'
1,1,0,0.005988,0.02994,167,0,1,956.166667,50,'0'
1,2,0,0.029412,0.011765,42.5,1,22,941.5,42,'0'
1,1,0,0.02381,0.011905,168,0,0,924,33,'0'
1,1,0,0.011765,0.005882,170,0,0,945.333333,22,'0'
1,1,0,0.201183,0.201183,169,1,1,939.333333,17,'0'
1,1,0,1.858824,1.747059,170,1,29,933.333333,11,'1'
1,1,0,0.025806,0.006452,155,1,1,473,341,'1'
1,2,0.999723,0.113027,0.082375,261,1,24,466.5,334,'0'
1,1,0,0.031746,0.007937,126,1,1,457.5,325,'0'
1,1,0,0.041237,0.020619,97,1,35,450.5,318,'0'
1,1,0,0.170455,0.011364,88,1,34,425.5,290,'0'
2,4,0.736155,0.056723,0.02521,119,0,10,384.5,372,'1'
1,2,0.918296,0.012315,0.002463,203,0,5,377,272,'0'
1,1,0,0.061728,0.015432,324,1,69,20,13,'0'
1,1,0,0.003571,0.003571,280,1,0,320,30,'0'
1,1,0.311929,0.328205,0.402564,195,1,34,319,29,'0'
1,1,0,0.12,0.050909,275,0,1,37,1,'0'
1,1,0.67418,0.116691,0.155096,96.714286,0,6,29,7,'0'
1,1,1,0.02924,0,171,0,72,154,13,'0'
1,1,0,0.014286,0.014286,70,0,129,193,152,'0'
2,2,0.236647,1.366279,1.267442,57.333333,0,504,192,185,'0'
1,3,0.011048,1.905292,0.278552,71.8,0,126,174,137,'0'
2,3,0.438403,0.954545,1.056818,17.6,0,381,110,103,'0'
1,1,0,0.175,0.1375,80,0,116,95,81,'0'
1,1,0.918296,0.018634,0,80.5,0,206,465.666667,2,'0'
1,1,0,0.020408,0.061224,147,1,53,469.5,337,'0'
2,2,1,0.222222,0.222222,4.5,0,0,39,31,'0'
1,1,0,0.078853,0.139785,139.5,0,0,31,9,'0'
1,1,0,0,0,0,0,0,174,137,'0'
2,2,0.020023,1.183333,9,20,0,395,184,177,'0'
1,1,0,2.086957,0,46,0,0,174,137,'0'
1,1,0,1,0.333333,3,1,630,2744.82381,391,'0'
1,1,0,0.166667,0.166667,6,0,0,972.833333,63,'0'
1,1,0,0.5,0.166667,6,0,4,773,1,'0'
1,1,0,0,0,6,1,0,962.166667,55,'0'
1,1,0.590962,0.715455,0.623337,122.125,0,607,16,12,'0'
1,3,0.554383,2.120172,0.706009,30.064516,0,216,314,250,'1'
1,1,0,0.046296,0.009259,108,0,83,143,22,'0'
1,1,0.856439,0.532838,0.096654,73.363636,1,108,73,22,'0'
1,1,0.361805,0.304348,0.294314,37.375,0,178,67,10,'0'
1,1,1,0.583784,0,92.5,0,171,8,4,'0'
1,1,0,0.082759,0.124138,145,1,27,4,2,'0'
1,1,0,0.430464,0.006623,151,1,11,250,1,'1'
1,1,0,0.109244,0.008403,119,0,8,321,31,'1'
1,1,0,0.092593,0.148148,108,0,12,145,23,'0'
1,1,0,0.5,0.023256,86,0,8,316,27,'0'
1,1,0,0.014493,0.014493,69,1,0,21,2,'0'
1,1,0,0.014493,0,69,0,6,20,1,'0'
1,2,0.685387,0.373494,0.036145,27.666667,1,242,2715.1,323,'1'
1,1,0,0.4,0.2,5,0,29,2635.4,300,'0'
1,2,0,0,0,12.5,1,0,2632.2,285,'1'
1,1,0,0,0,0,0,0,87,80,'0'
1,2,1,0.3,0.3,10,0,718,3028.37619,436,'0'
1,1,0.819448,0.074468,0.095745,31.333333,0,496,2632.4,299,'0'
1,2,0,0,0,9.5,1,0,2403.7,256,'1'
1,1,0.908804,0.108344,0.027397,80.3,0,17,181,23,'0'
1,1,0.917675,2.671742,2.671742,82.1,0,3335,984,61,'0'
1,1,0,0.183673,0.020408,49,0,174,631.5,27,'0'
2,2,1,0.019417,0.019417,51.5,1,148,1187,42,'0'
4,4,0.913972,0.108,0.04,35.714286,1,74,309,245,'0'
4,5,1,0.005447,0.005447,183.6,1,46,729,725,'0'
1,1,0,0.023256,0.511628,43,0,3,50,11,'0'
1,1,0,0.023256,0.023256,43,1,78,1181,25,'0'
1,1,0,0,0,88.777778,0,444,748,24,'0'
1,2,0.77085,2.661309,0,42.487805,0,2174,87,80,'0'
1,1,0,0,0,15,1,0,1642,169,'0'
1,1,0,0.013699,0.027397,73,1,159,2745.82381,392,'0'
1,1,0,0.013514,0.013514,74,0,47,2875.27381,374,'0'
1,1,0,0.03125,0.03125,64,1,0,2726.9,327,'0'
1,1,0,0,0,34,1,0,1305,126,'1'
1,1,0,0,0,0,0,0,87,80,'0'
2,3,0.902972,0.042576,0.017467,229,1,83,1646,920,'1'
1,1,0,0.194444,0,36,0,42,1569.666667,165,'0'
1,1,0,0.074074,0.037037,27,0,9,629.5,7,'0'
1,1,0,0,0.074074,27,0,1,1253,111,'0'
1,2,0.928516,0.080952,0.034524,280,1,23,462.666667,5,'1'
1,1,0,0.473684,0.473684,19,0,15,1021.333333,74,'0'
1,1,0,2.736842,2.789474,19,1,64,934.333333,12,'1'
1,1,0.863121,0.021739,0.028986,69,1,0,455.5,323,'0'
1,1,0,0.546012,0.006135,81.5,1,60,463.5,331,'0'
1,1,0,0,0,11,1,0,937.5,38,'0'
1,1,0,0,0,74,0,0,402,11,'0'
1,1,0,0.006623,0.006623,151,1,3,251,2,'0'
1,1,0,1.358025,8.358025,27,0,686,87,80,'0'
1,1,0.622466,0.33121,0.050955,39.25,0,4,650.5,35,'0'
1,1,0,0,0,32.5,0,0,635.5,31,'0'
1,1,0,0,0,8,1,0,2966.007143,403,'0'
1,1,0,0,0,41,1,0,4360.804762,447,'1'
1,1,0,0.183099,0.070423,71,1,1,1732.375938,534,'0'
1,1,0,1.30303,0.560606,66,1,352,1733.228968,533,'0'
2,2,0.730017,0.032988,0.013195,530.5,1,89,4246.943254,4354,'1'
1,1,0,0.034483,0.034483,29,1,103,2617.183333,307,'0'
1,1,0,0.034483,0.034483,29,1,0,2315.583333,270,'0'
1,1,0,0.103448,0.068966,29,1,70,2314.583333,269,'0'
1,1,0,0.065217,0.086957,46,1,49,2607.5,236,'1'
1,1,0,0.032258,0.032258,31,1,5,2149.166667,205,'0'
1,1,0,0.16129,0.129032,31,1,78,2074.666667,194,'1'
1,1,0,1.384615,1.410256,39,0,127,927.333333,5,'1'
1,1,0,0.088235,0.029412,34,1,3,415.5,283,'0'
1,1,0,0,0,0,0,0,110,90,'0'
1,1,0,0.021277,0.021277,47,1,280,2665.166667,310,'0'
2,2,0.412309,0.212714,0.398533,81.8,1,627,2831.083333,3343,'1'
2,2,0.989498,0.017937,0.024664,148.666667,0,276,2691.983333,2125,'0'
1,1,0,0.04878,0.02439,41,1,29,2672.65,332,'0'
1,1,0,0.275862,0,29,0,2,2633.483333,308,'0'
1,1,0,0.003745,0.003745,267,0,1,941.333333,19,'0'
1,1,0,1.337079,1.277154,267,1,112,928.333333,6,'0'
1,1,0,0.004,0.004,250,1,8,433.5,306,'0'
1,3,0.742084,0.151899,0.151899,131.666667,0,55,434,301,'1'
1,1,0,0.011429,0.011429,175,0,0,345,260,'0'
1,1,0,0.011429,0.011429,175,0,0,344,259,'0'
1,1,0,0,0,0,0,0,125,105,'0'
1,1,0,0.222826,0.065217,184,0,0,197,156,'0'
1,1,0,0.018072,0.301205,166,0,0,196,155,'0'
1,1,0,0.208696,0,115,0,0,189,150,'0'
1,1,0,0.440367,0.137615,109,0,0,167,130,'0'
1,1,0,0.063291,0.063291,79,0,0,166,129,'0'
1,2,0.782444,0.361702,0.095745,47,0,124,128,107,'0'
1,1,0,0.197917,0.020833,96,1,294,2770.526984,500,'0'
1,1,0,0,0,76,1,0,2766.095238,393,'0'
1,1,0,0,0,79,1,0,4358.804762,445,'0'
1,1,0,0.020408,0.020408,49,0,77,2436.01158,529,'0'
1,1,0,0.040816,0.040816,49,0,1,2508.78373,518,'0'
1,1,0,0.047619,0.047619,42,0,63,2638.783333,379,'0'
1,2,0.370056,0.156479,0.118582,409,1,2,2729.9,330,'1'
2,2,0.816452,0.096774,0.103943,69.75,1,86,2616.183333,1492,'0'
1,1,0,0.783784,0.027027,37,1,119,2636.4,301,'1'
1,1,0,1.115385,0.192308,26,1,140,2398.7,251,'0'
1,1,0,0.8,0,25,1,109,1830.666667,177,'1'
1,1,0,0.35,0,20,0,12,1141.5,87,'1'
1,1,0,0,0,18,1,0,942.5,43,'1'
1,1,0,0.294118,0.235294,17,1,196,2861.030952,370,'0'
1,1,0,0.1875,0.0625,16,0,118,2637.4,302,'0'
1,2,1,0.105263,0.105263,9.5,1,2,2405.466667,263,'0'
2,2,0.619382,0.009166,0.00275,545.5,1,9,3000.283333,3563,'0'
1,1,0,0.054688,0.054688,128,1,13,3001.283333,409,'1'
1,1,0,0,0,128,1,0,2979.07381,407,'1'
1,1,0,0,0.352941,17,0,87,1886.583333,184,'0'
1,1,0,0.6875,0,16,1,43,1304,125,'0'
1,1,0,0.333333,0,18,1,1,940.333333,18,'0'
1,2,0.873175,1.692308,1.74359,29.25,0,549,932.333333,10,'0'
1,2,0.367202,0.507886,0.037855,105.666667,0,0,375,270,'1'
1,1,0,0,0,12,0,0,343,258,'0'
1,1,0,0,0,0,0,0,110,90,'0'
1,2,0.448864,0.12766,0.212766,47,0,122,112,92,'0'
1,1,0,0.097222,0.263889,72,1,0,4359.804762,446,'0'
1,1,0,0.005102,0.005102,784,1,45,3000.283333,408,'0'
1,2,0,0,0,15,1,0,924.333333,2,'1'
1,2,0.94566,0.097297,0.021622,92.5,0,105,472,340,'0'
5,10,0.954745,0.092137,0.318507,125.9,1,83,1236,1839,'1'
1,1,0,0,0,0,0,0,165,128,'0'
1,1,0,1.979592,0,49,0,0,165,128,'0'
1,1,0,0,0,0,0,0,189,150,'0'
1,2,0,0,0,0,0,130,205,164,'0'
1,1,0,0,0,0,0,0,189,150,'0'
1,1,0.083188,0.706161,0.208531,105.5,0,0,195,154,'0'
1,1,1,3.222222,0,18,0,0,189,150,'0'
1,1,0,0.042105,0,95,1,16,442.5,313,'0'
1,1,0.669016,0.052239,0.097015,134,1,4,388.5,282,'0'
1,1,0.842658,0.300813,0.089431,61.5,1,445,2748.223413,502,'0'
1,1,0,0,0,37,1,0,4271.687698,466,'1'
1,1,0,0.164384,0.013699,73,1,75,4057.444048,492,'0'
1,1,0,0.073529,0.044118,68,1,36,4262.769444,484,'0'
1,1,0,0,0,66,1,0,4271.687698,466,'1'
1,1,0,0.164384,0.013699,73,1,127,3254.681349,493,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,142,116,'0'
1,1,0,0,0,0,0,0,87,80,'0'
2,2,0,1,1,0.333333,0,286,148,141,'0'
2,3,0.864974,0.037313,0.037313,44.666667,0,375,99,92,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,2,0,0.136364,0,13.2,0,0,135,114,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,2,0.187202,0.035144,0.300319,52.166667,0,127,181,143,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,141,115,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,3,0.09765,0.357143,0.285714,6.222222,0,123,125,105,'0'
1,1,0,0,0,0,0,0,87,80,'0'
2,3,0.618095,0.025518,0.015949,78.375,0,0,165,158,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,87,80,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,1,0,0.017751,0.017751,169,0,0,229,188,'0'
1,1,0,0.130178,0.236686,169,0,0,228,187,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,3,0.813296,2.166843,0,86.090909,0,0,227,186,'0'
1,1,0,0.009963,0.004981,401.5,1,443,2978.07381,406,'0'
1,2,0.860988,0.040737,0.033948,343.666667,0,511,2629.4,296,'1'
1,1,0,0.067797,0.508475,118,1,120,2465.216667,246,'0'
1,1,0,0.022388,0.022388,134,0,1,1334,133,'0'
1,1,0,0.104478,0.373134,134,0,28,1278.333333,124,'1'
1,1,0.956889,0.361775,0.395904,146.5,0,15,1020.333333,73,'1'
1,1,0,0,0,142,1,0,960.166667,53,'0'
1,1,0,0,0,0,0,27,418.5,285,'0'
1,1,0,0,0,0,0,0,280,216,'0'
