@relation mydataframe
@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
1,1,0,0.029096,0,10,1,2444.317202,22424,'0'
1,2,0.1029,0.050648,1,13,269,317.165079,1563,'1'
1,2,0.439497,0.002459,0,11,75,263.183333,745,'0'
1,1,0.947177,0.00306,1,10,762,321.428607,1561,'0'
1,1,0,0.014263,0,9,92,261.283333,743,'0'
1,1,0,0.309524,1,5,90,318.737374,1558,'1'
1,1,0.803042,0.040937,0,12,3624,601.166667,2126,'0'
1,1,0,0.001826,0,14,1,151.333333,414,'0'
1,1,0.957553,0.033824,0,11,586,261.816667,737,'1'
1,1,0,0.000704,0,11,3,617.533333,2107,'0'
1,1,0,0.009091,0,10,57,262.016667,735,'0'
1,1,0.968321,0.077763,0,10,4,2459.713473,22346,'0'
1,1,0.513588,0.057558,0,11,204,615.85,2101,'0'
1,1,0,0.059441,0,7,294,617.733333,2099,'0'
1,2,0.516393,0.049835,0,14,1119,624.333333,2098,'0'
1,2,0.444126,0.059246,0,11,316,849.766667,3050,'0'
1,1,0,0.003303,0,12,118,849.016667,3048,'0'
1,2,0.721928,0.00207,0,10,25,845.183333,3041,'0'
1,1,0,0.004317,0,11,97,257.216667,727,'0'
1,1,0,0.009494,0,9,49,611.4,2080,'0'
1,1,0,0.333333,0,4,500,841.733333,3037,'0'
1,1,0,0.00252,1,10,14,2091.65,5590,'0'
1,1,0,0.666667,1,1,0,2089.666667,5587,'0'
1,1,0,0.814815,1,1,446,2088.666667,5586,'0'
1,2,0.843758,0.025514,1,10,95,2096.4,5584,'0'
1,1,0,0.002412,1,10,2,347.95285,1553,'0'
1,2,0.357647,0.006924,1,11,109,2089.4,5556,'0'
1,1,0,0.003668,1,10,2,353.036183,1552,'1'
1,1,0,0.042056,0,4,126,633.7,2079,'0'
1,1,0,0.000159,1,10,5,357.369517,1550,'0'
1,1,0,0.095238,0,7,110,635.433333,2077,'0'
1,1,0,0.000956,1,10,6,356.725072,1549,'0'
1,1,0,0.555556,0,1,112,632.683333,2074,'0'
1,1,0,0.020619,0,9,6,626.8,2068,'0'
1,1,0,0.023041,1,7,116,355.458406,1547,'0'
1,1,0,0.007843,1,4,457,354.569517,1546,'0'
1,1,0,0.003826,1,10,0,353.569517,1545,'0'
1,1,0,0.002873,1,10,1,351.569517,1543,'0'
1,2,0.918296,0.016842,0,8,98,624.683333,2064,'0'
1,1,0.85282,0.011782,0,11,116,273.716667,722,'0'
1,1,0,0.043165,1,7,103,350.569517,1542,'0'
1,1,0,0.002869,1,10,0,349.569517,1541,'0'
1,1,0,0.03268,0,2,75,622.683333,2062,'0'
1,1,0,0.000638,1,10,0,346.569517,1538,'0'
1,2,1,0.002985,1,9,125,345.569517,1537,'0'
1,1,0,0.000798,1,10,0,341.569517,1533,'0'
1,1,0,0.008304,1,10,34,340.569517,1532,'0'
1,1,0.921072,0.075897,0,10,78,270.716667,719,'0'
1,1,0,0.025114,0,9,82,864.366667,3005,'0'
1,3,0.96023,0.001301,0,10,169,863.366667,3004,'0'
1,1,0,0.000641,1,10,10,351.832576,1530,'1'
1,1,0,0.03876,0,4,421,934.5,3000,'0'
1,1,0,0.004411,1,10,28,647.7,2058,'0'
1,1,0,0.1875,1,1,309,647.45,2057,'0'
1,1,0,0.005851,0,9,17,2367.227092,105,'0'
1,1,0,0.044053,0,8,11,284.033333,695,'0'
1,1,0,0.013359,0,11,18,283.4,694,'0'
1,1,0,0.005348,0,11,27,281.4,692,'1'
1,1,0,0.004803,0,9,53,2415.340657,104,'0'
1,1,0.985228,0.002199,1,11,46,648.883333,2043,'0'
1,1,0,0.003837,1,7,49,2101.55,5316,'0'
1,1,0.998364,0.021538,0,10,12,202.5,402,'0'
1,2,0.650022,0.005612,1,8,470,2099.083333,5313,'1'
1,1,0,0.007813,1,2,25,2111.433333,5306,'0'
1,1,0.716634,0.040289,0,10,49,206.333333,400,'1'
1,1,0.811278,0.00443,1,10,233,2145.2,5271,'1'
1,1,0.964845,0.143333,0,9,226,2762.938023,22308,'1'
1,1,0,0.064815,0,8,28,2760.938023,22306,'0'
1,1,0,1.325681,0,9,15,2762.615296,22304,'1'
1,1,0.889459,0.012256,1,12,166,605.683333,1978,'0'
1,1,0,0.036364,1,8,23,603.983333,1973,'0'
1,1,0,0.005917,0,7,16,205.5,395,'0'
1,1,0,0.000406,0,10,1,1095.916667,2989,'0'
1,1,0,0.457547,0,5,22,203.5,393,'0'
1,1,0,0.001247,1,9,18,597.55,1965,'0'
1,2,0.434081,0.027053,0,9,12,1091.216667,2978,'0'
1,1,0,0.099156,0,5,106,1078.316667,2965,'0'
1,1,0,0.066929,0,7,7,210.333333,392,'0'
1,2,0.775061,0.307479,1,8,1099,590.65,1939,'0'
1,1,0,0.014706,1,7,337,387.397222,1510,'0'
1,1,0,0.019391,1,7,3,386.397222,1509,'0'
1,1,0.309543,0.020118,1,8,122,388.48575,1507,'1'
1,1,0,0,1,10,1,568.1,1908,'0'
1,1,0,0.00035,1,11,2,387.940115,1500,'0'
1,1,0,0.109359,0,9,2,1087.3,2954,'0'
1,1,0,0.003546,0,7,92,2819.076515,22271,'0'
1,1,0,0,0,7,130,1087.633333,2953,'0'
1,2,0.624806,0.235067,0,10,66,1086.633333,2952,'0'
1,1,0,0.018277,1,7,20,2077.05,4945,'0'
1,1,0.811278,0.0023,1,10,2,388.010786,1497,'0'
1,1,0,0.051282,1,1,25,382.172691,1490,'0'
1,1,0,0.000815,0,9,8,206.333333,372,'0'
1,1,0,0.00739,1,7,28,2111.85,4912,'1'
1,1,0,0.024138,0,7,103,1087.8,2948,'0'
1,1,0,0.017937,0,10,20,1096.633333,2942,'0'
1,3,0.838711,0.006418,0,12,166,201.666667,365,'1'
1,1,0,0.005848,0,11,38,197.666667,361,'0'
1,1,0,0.010033,1,2,13,383.681421,1484,'0'
1,1,0,0.219512,0,7,1,196.5,358,'0'
1,1,0,0.008584,0,8,248,1088.666667,2918,'0'
1,1,0,0.333333,0,4,290,1087.666667,2917,'0'
1,1,0,0.017204,0,8,20,606.383333,1893,'0'
1,1,0,0.003077,0,8,48,605.633333,1892,'0'
1,2,0.721928,0.005513,0,11,72,246.666667,626,'1'
1,1,0,0,0,11,17,2913.232648,22246,'0'
1,1,0,0.028676,0,10,27,1160.266667,2916,'0'
1,1,0,0.007576,0,9,30,1170.316667,2915,'0'
1,1,0,0.013423,1,1,34,380.890115,1458,'0'
1,4,0.875794,0.014968,0,12,784,238.5,354,'0'
1,1,0,0.020619,0,8,90,1218.483333,2912,'0'
1,1,0,0.003015,0,7,22,233.5,349,'0'
1,1,0,0.020101,0,9,248,222.466667,579,'0'
1,1,0,0.000847,0,11,2,227,342,'0'
1,1,0,0.009605,0,9,1,2502.101984,99,'0'
1,1,0,0.010638,0,7,0,3039.867496,22228,'0'
1,2,0.918296,0.013175,0,11,49,1237.55,2873,'0'
1,1,0,0.005607,0,7,3,1232.816667,2864,'0'
1,2,0.994539,0.027911,0,4,425,2485.99127,95,'0'
1,1,0,0.003,1,7,24,380.103175,1449,'0'
1,1,0,0.025316,0,8,227,1231.766667,2854,'0'
1,1,0.764205,0.011933,0,7,279,1227.766667,2850,'0'
1,1,0,0.002123,0,11,3,1225.016667,2847,'0'
1,1,0,0.004785,0,4,1,1226.75,2846,'0'
1,1,0,0.004902,0,7,26,221,329,'0'
1,4,0.727464,0.003235,0,12,237,1225.983333,2845,'0'
1,1,0,0.031057,1,10,12,381.251191,1443,'0'
1,1,0,0.006246,0,9,27,1221.983333,2841,'0'
1,3,0.710491,0.055257,0,12,3696,1215.983333,2835,'0'
1,2,0,0.005305,1,1,11,381.831746,1442,'0'
1,1,1,0.010909,0,11,19,3110.094553,22221,'0'
1,1,0,0.054187,1,7,190,383.795635,1439,'0'
1,1,0,0.002857,0,11,38,725.383333,1889,'0'
1,7,0.843738,0.007774,0,13,1527,3123.732612,22213,'0'
1,1,0,0.003762,1,7,0,387.111111,1435,'0'
1,1,0.950478,0.036728,1,8,212,384.111111,1432,'1'
1,1,0,0.031802,0,7,100,211,315,'0'
1,1,0,0.103448,0,1,1,1268.666667,2813,'0'
1,2,0.948078,0.024804,0,11,255,740.333333,1888,'1'
1,3,0.80458,0.129213,0,14,18,1286.833333,2782,'0'
1,1,0,0.171053,0,7,191,207.5,311,'0'
1,1,0,0.009662,0,11,29,3198.218074,22195,'0'
1,1,0,0.001873,0,9,112,1236.25,2725,'0'
1,1,0,0.050251,0,7,152,1235.833333,2723,'0'
1,1,0.798618,0.083333,0,10,599,3205.617388,22184,'1'
1,1,0.716978,0.030102,0,7,308,206.5,310,'0'
1,1,0,0.001269,0,11,19,201.5,305,'0'
1,1,0,0.024845,0,5,0,200.5,304,'0'
1,1,0.896038,0.097473,0,5,333,196.5,300,'0'
1,1,0,0.008068,1,10,17,378.858333,1404,'0'
1,1,0,0.000267,1,10,77,2595.583333,4440,'0'
1,2,0.891008,0.038771,0,11,863,1234.333333,2707,'0'
1,1,0,0.007874,0,11,6,1226.833333,2699,'0'
1,1,0,0.036635,0,10,1,3266.997691,22176,'0'
1,1,0,0.01511,1,10,91,2596.416667,4430,'0'
1,1,0,0.007231,1,10,1,386.070238,1397,'0'
1,2,0.813195,0.012384,0,11,250,3274.111291,22175,'0'
1,1,0,0.000849,1,10,1,386.070238,1396,'0'
1,1,0.996792,0.051282,0,8,100,3270.147006,22171,'0'
1,2,0.721928,0.098361,1,8,312,385.121429,1395,'0'
1,1,0.355196,0.167658,0,9,885,215.5,293,'0'
1,1,0,0.078797,0,11,51,820,1880,'0'
1,1,0,0.000211,1,10,13,420.446429,1390,'0'
1,1,0,0.00212,0,10,28,330.166667,559,'0'
1,1,0.222285,0.00964,1,10,167,426.25,1377,'0'
1,1,0,0.054622,0,9,14,330.166667,556,'0'
1,1,0,0.057851,0,1,15,945.916667,1864,'0'
1,2,0.742488,0.007911,1,11,95,2780,4340,'0'
1,2,1,0.001283,0,11,22,940.666667,1858,'0'
1,1,0,0.000152,1,10,1,424.994048,1374,'0'
1,1,0,0.000976,0,9,5,280.5,282,'0'
1,1,0,0.000458,0,10,5,934.916667,1852,'0'
1,1,0,0.017426,0,5,1,1248.75,2568,'0'
1,1,0,0.057096,0,9,3,933.916667,1851,'0'
1,1,0,0.013158,0,8,58,925.916667,1843,'0'
1,1,0,0.008795,0,9,86,924.916667,1842,'0'
1,1,0,0.006826,0,1,9,923.916667,1841,'0'
1,1,0,0.000458,1,10,85,423.168651,1372,'0'
1,1,0,0.005698,0,5,13,1227.833333,2547,'0'
1,1,0,0.007547,0,4,40,3636.468434,22144,'1'
1,1,0,0.058824,0,3,84,918.916667,1836,'0'
1,1,0.999171,0.079533,0,10,132,915.916667,1833,'1'
1,1,0.91357,0.009756,0,11,89,3632.468434,22140,'0'
1,2,0.949124,0.015857,0,10,93,901.916667,1819,'0'
1,1,0,0.008791,0,7,3,900.416667,1817,'0'
1,2,0.773674,0.066667,0,10,182,323.916667,549,'1'
1,15,0.62471,0.022906,0,12,1731,1379.666667,2546,'1'
1,1,0,0.002667,0,9,31,862.083333,1764,'0'
1,1,0,0.013889,1,1,63,2845.833333,4319,'0'
1,1,0,0.001676,0,10,12,330.083333,531,'1'
1,1,0.684038,0.013314,0,11,85,3773.059091,22091,'1'
1,1,0,0.0131,1,11,43,2888.083333,4302,'1'
1,2,1,0.011352,0,12,42,1447.333333,2500,'0'
1,1,0,0.037175,0,7,37,900.75,1738,'0'
1,1,0,0.001686,0,9,33,331.083333,525,'1'
1,1,0,0.005051,0,7,35,906.833333,1736,'0'
1,1,0,0.003683,0,11,26,905.833333,1735,'0'
1,3,0.764002,0.014486,0,10,166,2951.028571,90,'0'
1,1,0,0.163539,1,9,1,2421.833333,3813,'0'
1,1,0,0.045977,0,8,146,1636.75,2498,'0'
1,1,0,0.005277,0,8,22,909.916667,1732,'0'
1,4,0.776407,0.005019,0,10,99,322.416667,515,'0'
1,1,0,0.001028,0,9,7,1637.25,2497,'0'
1,1,0,0.000421,1,10,2,473.577778,1362,'0'
1,1,0,0.0625,0,8,24,3840.239286,22082,'0'
1,1,0,0.00077,1,7,8,471.998016,1360,'0'
1,1,0,0.001344,1,9,14,471.902778,1359,'0'
1,1,0,0.090909,0,6,188,914.583333,1727,'0'
1,1,0,0.003854,0,7,22,208,208,'0'
1,1,0,0.02551,1,7,21,466.902778,1354,'0'
1,1,0,0.002892,0,11,17,935.666667,1726,'0'
1,2,0.413817,0.012288,0,10,16,1754.166667,2490,'0'
1,2,0.999839,0.057881,0,12,0,1751.166667,2487,'0'
1,1,0,0.011952,0,9,14,936.333333,1724,'0'
1,1,0,1.308943,0,7,7,3945.525397,22060,'1'
1,1,0.525451,0.031921,0,9,138,1761,2480,'0'
1,1,0,0.015564,0,10,9,952.333333,1720,'0'
1,1,0,0.025152,0,10,8,954.833333,1719,'0'
1,1,0,0.010101,0,11,8,3994.513889,22056,'1'
1,4,0.859777,0.002122,0,12,15,317.833333,493,'0'
1,1,0,0.036827,0,6,7,313.833333,489,'1'
1,1,0,0.011551,0,9,7,945.833333,1709,'0'
1,1,0,0.147541,1,6,6,462.56627,1337,'0'
1,1,0,0.015177,0,9,2,314.5,487,'0'
1,1,0.985228,0.030303,1,6,2,2393,3705,'0'
1,1,0,0.030189,0,7,0,4014.744048,22034,'0'
1,3,0.656197,0.022901,0,14,66,310,482,'0'
1,1,0,0.056,0,8,68,307,479,'0'
1,1,0.308757,0.064234,0,10,85,306,478,'1'
1,1,0,0.009259,1,8,0,1465,2775,'0'
1,1,1,0.025,1,7,566,465.422619,1336,'0'
1,1,0,0.919483,0,9,6,4014.224603,22033,'1'
1,1,0,0.018568,0,8,11,953.5,1697,'1'
1,1,0,0.053079,0,7,9,207,207,'0'
1,1,1,0.004717,0,11,79,206,206,'0'
1,1,0,0.016,0,7,1,204,204,'0'
1,1,0,0,1,10,2,464.739286,1334,'0'
1,1,1,0.018265,0,9,163,203,203,'0'
1,1,0,0.254482,1,9,6,1460.833333,2747,'0'
1,2,0.753196,0.00623,1,12,298,461.780952,1331,'0'
1,1,0,0.269461,0,5,388,1019.833333,1695,'0'
1,1,0,0.003774,0,8,28,1018.833333,1694,'0'
1,1,0,0.008652,0,11,3,1020.333333,1693,'0'
1,1,0,0.015296,0,9,14,1780.333333,2467,'0'
1,1,0,0.141975,0,5,311,1019,1684,'0'
1,1,0,0.021798,1,10,0,1467.833333,2733,'0'
1,1,0,0.010695,0,6,2,1019.666667,1683,'0'
1,1,0,0.160428,1,6,78,1435.666667,2690,'0'
1,2,0.742488,0.018127,0,9,66,4077.979762,21999,'0'
1,2,0.62357,0.0066,0,11,4,4070.081746,21988,'0'
1,3,0.031288,0.085463,0,12,40,4065.081746,21983,'1'
1,1,0,0.035211,0,9,21,982.5,1633,'0'
1,2,0.494183,0.012804,0,10,47,981.5,1632,'0'
1,1,0,0.007576,0,9,8,4079.161905,21953,'0'
1,1,0,0,0,9,20,974.5,1620,'0'
1,1,0.689779,0.005407,1,7,223,1424,2670,'0'
1,1,0,0.16,0,1,34,977.5,1619,'0'
1,2,0.991618,0.008192,1,11,0,466.555556,1320,'0'
1,1,0,0.011516,0,7,0,155,155,'0'
1,1,0,0.000448,0,10,13,976.5,1618,'0'
1,3,0.712698,0.72211,0,11,670,4079.045635,21949,'1'
1,1,0,0.002685,1,10,0,1420.833333,2661,'0'
1,1,0,0.000269,1,10,7,1419.833333,2660,'0'
1,1,0,0.015723,0,10,7,313.166667,472,'0'
1,2,0.597095,0.015406,0,9,65,4062.411111,21932,'0'
1,1,0,0.004425,1,2,5,464.278968,1314,'0'
1,1,0,0.2,1,7,13,464.346825,1313,'0'
1,1,0,0.014212,0,9,0,4054.12619,21909,'0'
1,2,0.210842,0.040422,0,9,0,1783,2454,'0'
1,1,0,0.000394,0,11,0,3977.255952,21829,'0'
1,1,0,0.011364,0,7,31,3989.740476,21817,'0'
1,1,0,0.001973,1,11,3,1567.166667,2619,'0'
1,1,0,0.018868,0,7,2,914.166667,1545,'0'
1,1,0,0.055556,0,10,14,913.166667,1544,'0'
1,1,0,0.285714,1,8,351,457.034921,1300,'0'
1,1,0,0.064151,1,8,57,456.268254,1299,'1'
1,3,0.488671,0.026439,1,11,887,455.268254,1298,'1'
1,1,0,0.015504,0,7,130,901.166667,1532,'0'
1,1,0.25593,0.071845,0,10,26,306,463,'1'
1,1,0,0.003228,1,9,0,1553,2601,'1'
1,2,0.56651,0.006563,0,14,7,124,124,'0'
1,1,0,0.048701,1,10,13,448.551587,1291,'0'
1,1,0,0.00639,0,9,2,4016.876984,21814,'0'
1,1,0.836641,0.015707,0,9,11,4006.876984,21804,'0'
1,1,0,0.036496,0,9,2,880.166667,1504,'0'
1,2,0.391244,0.008621,0,9,56,879.166667,1503,'0'
1,1,0,0.049383,0,7,87,873.166667,1497,'0'
1,1,0,0.016566,0,11,2,296.666667,451,'0'
1,1,0,0.016548,0,8,182,878.666667,1494,'0'
1,1,0,1.4,0,2,8,882.333333,1493,'0'
1,1,0,0.111111,0,10,15,881.333333,1492,'0'
1,1,0,0.012162,0,9,6,878.333333,1489,'0'
1,1,0,0.004739,0,7,49,877.333333,1488,'0'
1,5,0.790067,0.009233,0,11,194,40,40,'0'
1,3,0.678034,0.079177,1,11,215,434.213492,1275,'1'
1,3,0.764401,0.034686,1,12,27,428.784921,1267,'1'
1,1,0,0.006227,0,10,1,3962.321825,21697,'0'
1,4,0.927314,0.011676,0,11,520,873.166667,1481,'1'
1,2,0.503258,0.002349,1,9,3,422.999206,1261,'1'
1,1,0,0.049296,0,7,32,3959.995238,21692,'0'
1,1,0,0.000395,1,7,63,421.070635,1259,'0'
1,1,0,0.005908,1,8,1,420.070635,1258,'0'
1,1,0.973385,0.046154,0,9,6,270.5,424,'0'
1,1,0.981941,0.034483,0,7,129,3874.83254,21580,'1'
1,1,0,0.238377,0,10,3,836.5,1436,'0'
1,1,0,0.001551,0,9,24,1632.333333,2280,'0'
1,1,0,0.001761,1,3,38,390.570635,1226,'0'
1,1,0,0.056452,0,7,219,836.333333,1434,'1'
1,2,0.991076,0.021762,0,11,159,834.333333,1432,'0'
1,2,0.721565,0.049711,0,10,121,831.333333,1428,'1'
1,1,0,0.227273,0,7,48,3881.058333,21571,'0'
1,1,0,0.3,0,7,226,828.333333,1425,'0'
1,1,0,0.015873,0,3,56,1625.833333,2273,'0'
1,1,0,0.357143,0,2,41,1624.833333,2272,'0'
1,1,0,0.002584,0,8,28,1623.833333,2271,'0'
1,2,0.603238,0.047826,1,9,165,1521.333333,2480,'0'
1,1,0,0.098901,1,6,60,1524.666667,2471,'0'
1,1,0,0.020833,1,9,0,1523.666667,2470,'0'
1,1,0.998364,0.029661,1,9,248,1522.666667,2469,'0'
1,1,0.534474,0.067961,0,8,87,3952.475,21564,'1'
1,1,0,0.019048,1,5,297,1520.666667,2466,'0'
1,1,0,0.015823,1,6,28,1441.666667,2387,'0'
1,1,0.836641,0.008205,1,10,107,1440.666667,2386,'0'
1,2,0.896038,0.055118,1,8,75,1437.666667,2383,'0'
1,1,0,0.028862,1,9,0,1423.666667,2368,'0'
1,1,0,0.09375,1,7,0,1422.666667,2367,'0'
1,1,0.721928,0.008361,1,9,33,1421.666667,2366,'0'
1,1,0,0.010846,1,11,4,1414.666667,2359,'0'
1,2,0.497406,0.012987,0,9,64,1438,1974,'0'
1,1,0,0.358209,0,8,2,1440,1971,'0'
1,2,0.970951,0.003071,0,11,2,398.91627,1224,'0'
1,2,0.996961,0.015003,0,9,229,836.333333,1421,'0'
1,1,1,0.026971,0,9,2,1439.333333,1968,'0'
1,7,0.845475,0.023129,1,11,963,832.833333,1417,'1'
1,1,1,0.002633,0,9,14,1437.833333,1965,'0'
1,1,0,0.287671,1,7,283,1396.166667,2323,'0'
1,1,0,0.003442,0,9,6,828.166667,1393,'0'
1,4,0.489387,0.007289,0,11,223,827.166667,1392,'0'
1,2,1,0.000571,1,10,53,416.059127,1222,'1'
1,1,0,0.00052,1,8,9,1392,2294,'0'
1,1,0,0.109034,0,11,32,1391,2293,'0'
1,1,0,0.009481,0,10,8,200.333333,326,'0'
1,3,0.82815,0.022849,0,10,769,840.666667,1383,'0'
1,1,0,0.015873,1,7,3,1376.666667,2274,'0'
1,1,0,0.037325,0,8,2,4036.448016,21456,'0'
1,1,0,0.095756,0,11,0,845,1359,'1'
1,1,0,0.007181,0,10,28,844,1358,'0'
1,2,0.59705,0.201258,0,9,374,846.166667,1354,'1'
1,2,0.706541,0.006211,0,9,25,1589.5,1905,'1'
1,1,1,0.008761,0,8,141,843.166667,1349,'0'
1,1,0,2.066372,0,10,152,1369,2247,'1'
1,2,0.683071,0.023992,1,9,94,433.769048,1216,'1'
1,2,1,0.001419,1,9,23,1377.5,2246,'0'
1,2,0.994985,0.008091,1,9,24,1368,2236,'0'
1,1,0.551322,0.03943,1,9,0,1365,2233,'0'
1,1,0,0.175287,0,6,15,191.833333,310,'0'
1,1,0,0.00042,1,7,20,1350.5,2218,'0'
1,1,0,0.005747,1,6,3,1349.5,2217,'0'
1,3,0.805355,0.031726,1,9,33,426.036905,1200,'1'
1,1,0,0.064516,0,7,121,4078.233333,21423,'0'
1,1,0,0.000225,1,9,0,407.435714,1180,'0'
1,1,0,0.000449,0,9,7,1614.5,1896,'0'
1,1,0,0.004274,0,8,143,1607.5,1889,'0'
1,1,0,0.012761,1,9,0,408.133333,1176,'0'
1,4,0.635674,0.018956,1,11,775,407.133333,1175,'1'
1,3,0.844354,0.009276,0,9,231,1257.333333,1533,'0'
1,4,0.464108,0.065309,1,9,234,1246.333333,1501,'1'
1,1,0,0.032401,0,11,20,901.666667,1332,'0'
1,1,0,0.002245,0,11,5,901,1329,'0'
1,1,0,0.000411,0,10,19,199.5,305,'0'
1,3,0.676421,0.046257,0,9,267,914.5,1327,'1'
1,1,0,0.007634,0,7,8,4072.343254,21300,'0'
1,1,0,0.00823,1,9,0,1284.833333,2144,'0'
1,1,0,0.111111,0,9,196,910,1320,'0'
1,1,0,0.042672,0,8,7,908,1318,'0'
1,1,0,0.005348,0,8,9,4117.526587,21277,'0'
1,1,0.955759,0.060729,0,9,4,195.5,294,'1'
1,1,0,0.040519,0,9,9,4102.526587,21262,'0'
1,1,0,0.008696,0,5,2,1177.5,1354,'0'
1,1,0,0.066667,0,10,12,902,1283,'0'
1,1,0,0.028213,1,6,7,1269,2116,'0'
1,1,0,0.021409,1,7,1,1264,2111,'1'
1,1,0,0.031746,0,5,33,909.5,1276,'0'
1,1,0,0.007587,1,9,37,421.328571,1158,'0'
1,2,0.521479,0.10148,0,10,816,906,1272,'0'
1,4,0.374864,0.016206,1,12,243,1300.5,2101,'0'
1,2,0.294758,0.038025,1,7,348,1303,2095,'1'
1,1,0.952859,0.14741,0,8,161,1169,1329,'0'
1,2,0.957407,0.00661,1,7,89,1300,2092,'0'
1,3,0.058598,0.114601,0,10,14,911,1262,'0'
1,1,1,0.007752,0,4,407,906,1257,'0'
1,2,0.669996,0.017831,0,10,63,198,285,'1'
1,1,0,0.00166,0,10,1,196,283,'0'
