@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
3,0,9,3,4,5,0.733333,110,0,0.333333,0,14,3,'0'
5,2,3,2,0,1,2,159,0,1,0,52,1,'0'
6,0,2,0,0,5,0.625,88,0,0.7,2,16.2,1,'0'
3,0,36,1,20,5,2,476,0,0.296296,0,51.888889,9,'0'
1,0,120,5,23,2,2,1851,0,0.204545,0,114.6875,20,'0'
1,0,6,3,2,3,2,100,0,0.416667,0,24,3,'0'
5,1,189,1,9,14,0.806818,608,0,0.233766,3,25.086957,8,'0'
1,0,15,1,6,2,0.75,288,1,0.333333,0,39.857143,5,'0'
4,0,3,1,0,9,0.666667,207,0,0.65,1,19.3,2,'0'
2,0,0,1,3,3,0,57,0,0.5,0,17.666667,2,'0'
1,0,0,3,2,1,2,1,0,1,0,0,1,'0'
1,0,23,3,1,7,0.766667,215,0,0.242424,0,18,3,'0'
1,0,6,1,1,3,1,23,1,0.666667,0,4.5,2,'0'
1,0,17,2,0,11,0.725,95,0,0.727273,0,7.272727,2,'0'
1,0,151,18,5,15,0.970588,638,0,0.194118,0,34.333333,5,'0'
5,2,49,2,0,10,0.8,85,0,0.345455,2,6.636364,2,'0'
2,0,0,1,0,3,0.333333,41,1,0.583333,1,9,1,'0'
2,0,30,2,5,11,0.757576,171,1,0.25,1,12.75,2,'0'
5,0,10,3,3,5,2,48,0,0.5,0,8.6,0,'0'
4,0,429,0,0,28,0.894118,824,1,0.314286,2,22.114286,2,'1'
1,0,1,5,2,11,0.45,67,1,0.318182,0,4.909091,1,'0'
1,0,2181,13,30,72,0.882991,1443,8,0.067568,0,18.175676,6,'1'
2,0,34,8,13,5,0.9375,178,1,0.328125,1,18.555556,1,'1'
1,7,44,23,6,6,0.555556,172,1,0.201923,1,12,5,'0'
1,1,4,1,2,5,0.5,48,0,0.4,0,8.4,3,'0'
1,0,4,8,3,2,0.666667,77,1,0.333333,0,18,4,'0'
1,0,36,80,3,9,2,9,0,1,0,0,1,'0'
6,0,21,0,0,7,2,68,0,0.857143,1,8.714286,3,'0'
2,0,77,3,7,12,0.666667,286,1,0.5,1,17.866667,2,'0'
1,0,219,23,13,24,0.737179,394,5,0.150997,0,13.37037,4,'0'
1,0,465,84,16,31,1.033333,33,0,0.132258,0,0,1,'0'
2,0,22,9,8,7,0.5,127,1,0.25,1,12.888889,2,'0'
4,0,526,0,0,30,0.909259,659,0,0.32973,2,16.405405,3,'0'
1,0,1,2,1,1,2,98,0,0.5,0,48,7,'0'
4,0,57,0,0,14,0.821429,411,0,0.306667,1,26,5,'1'
1,0,0,1,29,2,0,412,3,0.571429,0,203.5,1,'0'
1,5,6,5,1,6,0.761905,145,0,0.541667,0,16.375,2,'0'
2,2,2,2,4,4,0.75,60,2,0.333333,0,10.2,1,'0'
1,0,21,2,8,5,2,1034,0,0.285714,0,146.714286,10,'0'
1,1,79,1,1,7,0.807692,97,0,0.285714,0,5.5,2,'0'
1,2,142,2,2,18,0.763158,183,0,0.5,0,7.95,2,'0'
1,0,4,3,10,3,0.25,149,1,0.5,0,28.6,5,'0'
2,0,52,10,4,13,0.333333,204,2,0.282051,1,14.538462,5,'0'
1,0,64,2,0,5,1.049587,939,0,0.345238,0,76.333333,1,'0'
4,0,0,1,1,2,0,99,0,0.666667,1,47.5,3,'0'
1,0,4,1,6,3,0,158,0,0.525,0,30.2,4,'0'
1,0,15,26,2,6,2,6,0,0.541667,0,0,1,'0'
1,0,6,3,1,2,1,17,1,0.666667,0,3,1,'0'
2,0,25,5,2,11,0.8,74,1,0.290909,0,5.272727,1,'0'
1,0,66,13,6,12,2,12,0,0.316667,0,0,1,'0'
1,0,0,6,1,1,2,1,0,1,0,0,1,'0'
1,0,15,17,5,6,2,6,0,0.37037,0,0,1,'0'
1,0,0,1,14,2,0,326,2,0.6,0,161,13,'0'
2,0,0,3,7,5,0.5,305,2,0.6,1,59.4,1,'1'
4,2,6,5,0,4,2,20,0,0.666667,0,4,0,'0'
1,0,10,4,2,4,2,112,0,0.25,0,21.4,3,'0'
1,0,20,2,1,4,0.809524,303,0,0.357143,0,36.5,4,'1'
1,0,14,2,0,6,0.571429,69,0,0.625,0,7.375,3,'0'
1,0,8,1,1,5,0.5,97,0,0.4,0,18.2,1,'0'
1,0,6,0,3,5,0.75,24,2,0.466667,0,3.4,1,'0'
1,0,1,2,0,1,0.5,21,0,0.5,0,5.666667,2,'0'
1,0,0,12,1,4,0.5,24,1,0.5,0,4.5,1,'0'
2,0,6,1,2,4,2,48,0,0.666667,1,11,2,'0'
6,0,3,0,0,3,2,17,0,1,1,4.666667,1,'0'
1,0,28,3,5,8,2,8,0,0.458333,0,0,1,'0'
1,0,3,1,0,6,0.6,34,0,0.555556,0,4.333333,1,'0'
1,0,1,2,6,3,0,155,0,0.444444,0,50,4,'0'
3,0,0,1,4,3,0.833333,40,2,0.5,0,11.333333,1,'0'
3,0,0,1,3,1,2,9,0,1,0,7,0,'0'
4,0,865,1,0,45,0.920652,896,0,0.221884,2,17.638298,3,'0'
2,0,0,1,15,22,0.714286,354,2,0.162879,1,14.863636,3,'0'
1,0,11,1,0,5,0.766667,491,1,0.233333,0,47.1,2,'1'
2,0,0,1,2,2,1,14,1,0.75,0,5,1,'0'
1,4,8,4,3,4,0.5,34,0,0.8,0,5.6,3,'0'
5,3,1,3,3,2,2,12,0,1,1,5,1,'0'
1,0,13,1,0,11,0.6,68,0,0.340909,0,5,1,'0'
1,0,0,0,31,57,0.017241,895,1,0.190862,0,14.152542,4,'0'
4,0,224,0,0,25,0.905303,304,0,0.37,2,10.72,1,'0'
2,0,0,1,0,5,0.3,165,0,0.5,1,26.166667,3,'0'
1,0,10,1,0,3,1.25,103,0,0.2,0,19.2,2,'0'
1,0,0,4,11,2,1,201,3,0.583333,0,64,6,'0'
2,1,1504,8,54,27,0.950255,2550,3,0.113946,2,43.491228,9,'1'
1,0,2,1,1,5,0.75,36,0,0.6,0,5.4,1,'1'
1,0,24,11,4,12,0.65,298,0,0.346154,0,21.538462,4,'0'
3,0,0,1,2,1,0,15,0,1,0,6,0,'0'
2,0,236,1,20,22,0.767857,733,0,0.143236,1,24.137931,5,'1'
1,0,0,2,0,1,2,1,0,1,0,0,1,'0'
5,0,8,1,0,4,0.875,76,0,0.625,2,13.8,3,'0'
1,6,37,6,6,10,0.777778,51,1,0.3,0,3.9,1,'0'
2,2,156,3,0,15,0.855556,373,0,0.32,0,16.333333,6,'0'
1,0,0,8,0,3,0.5,20,0,0.666667,0,5,1,'0'
1,0,112,4,7,21,0.907738,1160,1,0.239583,0,44.84,29,'0'
3,0,1,2,4,2,2,18,0,0.625,0,8,1,'0'
2,0,213,4,3,15,0.966403,284,2,0.23913,0,10.347826,5,'0'
1,5,132,7,5,10,0.5875,281,1,0.17316,0,12.190476,4,'0'
4,5,63,5,25,11,0.571429,707,1,0.184659,4,31.045455,9,'0'
3,0,160,2,0,15,0.9125,797,0,0.227513,2,36.571429,3,'0'
2,0,0,1,7,9,0,228,0,0.333333,1,24.222222,3,'0'
2,0,20,3,5,9,1.012539,360,1,0.393939,1,26.583333,6,'0'
1,0,3,15,1,3,2,3,0,1,0,0,1,'0'
4,4,613,4,0,29,0.897683,839,1,0.225564,1,20.710526,18,'1'
1,0,0,34,0,1,2,1,0,1,0,0,1,'0'
3,0,0,1,3,2,1,21,1,0.666667,0,8.5,1,'0'
1,0,31,21,4,8,0.8,77,3,0.26,0,5.454545,1,'0'
2,0,3,0,0,1,1,18,1,0.75,1,4.666667,1,'0'
1,0,1,2,2,2,2,2,0,0.75,0,0,1,'0'
1,0,276,5,1,25,0.958333,136,1,0.246667,0,3.96,1,'0'
1,0,15,22,1,6,2,6,0,0.555556,0,0,1,'0'
2,0,6,0,5,6,0.628571,145,0,0.371429,0,16.5,6,'0'
1,0,55,35,8,11,2,11,0,0.409091,0,0,1,'1'
3,0,0,3,0,1,2,5,0,1,0,4,0,'0'
1,0,1,2,0,3,0.5,14,0,0.666667,0,3.333333,1,'0'
1,0,25,1,0,10,0.805556,53,0,0.7,0,3.9,1,'0'
1,0,30,32,4,12,0.727273,99,4,0.277778,1,6.833333,2,'0'
1,0,28,3,1,9,0.875,60,2,0.481481,0,5.222222,2,'0'
1,0,1,3,0,2,2,2,0,0.75,0,0,1,'0'
1,0,17,10,4,10,0.54,107,0,0.393939,0,8.272727,2,'1'
3,0,46,14,3,12,0.736111,243,1,0.196581,1,17.230769,6,'0'
1,0,267,16,12,30,0.873563,543,1,0.123077,0,16.8,5,'0'
2,0,1,1,3,1,2,8,0,0.75,1,3,1,'0'
1,0,0,2,8,13,0.661538,225,2,0.22449,0,14.714286,4,'0'
1,0,76,2,26,8,0.916667,691,1,0.227273,0,52.076923,8,'0'
1,0,54,1,8,10,0.840909,170,0,0.5,0,12.833333,3,'0'
1,0,0,6,1,1,2,1,0,1,0,0,1,'0'
1,0,253,46,16,23,2,23,0,0.127717,0,0,1,'0'
2,0,67,9,3,15,0.867347,104,1,0.293333,0,5.466667,1,'0'
1,2,36,2,3,9,2,146,0,0.444444,1,15.222222,9,'0'
2,0,170,17,4,21,0.6625,224,1,0.253968,1,9.47619,1,'0'
1,0,3,2,4,2,2,67,0,0.444444,1,21.333333,7,'0'
1,0,11794,51,75,142,0.967014,2701,12,0.062279,0,15.898089,6,'0'
1,0,45,57,0,13,0.725275,277,0,0.307692,1,18.285714,7,'0'
1,0,4,8,3,3,0.5,72,1,0.25,0,13.2,1,'0'
1,0,15,10,2,6,2,6,0,1,0,0,1,'0'
1,0,0,1,1,3,0,22,1,0.555556,0,6,2,'0'
1,0,300,55,8,25,2,25,0,0.296,0,0,1,'0'
1,0,0,9,3,8,0.428571,54,1,0.416667,0,5.5,1,'0'
1,0,3,6,3,5,0.7,52,3,0.466667,0,7,1,'0'
1,0,25,4,2,11,0.8,78,1,0.363636,0,5.636364,2,'0'
3,17,470,17,0,8,0.922581,670,0,0.25,0,19.78125,5,'0'
1,0,90,2,5,17,0.8125,167,0,0.382353,0,8.470588,1,'0'
1,2,3,2,5,1,2,53,0,0.5,0,16.666667,2,'0'
1,0,21,54,0,7,2,7,0,0.571429,0,0,1,'0'
2,1,12,2,12,8,0.5,197,1,0.377778,0,20.666667,5,'0'
6,0,300,1,17,21,0.728395,488,0,0.129121,4,16.214286,8,'0'
1,0,0,5,2,1,2,1,0,1,0,0,1,'0'
2,0,9,2,1,6,0.4,40,0,0.666667,1,5.5,2,'0'
1,0,1,4,0,2,2,2,0,0.666667,0,0,1,'0'
1,0,0,1,15,3,0,435,1,0.5,0,107.5,1,'0'
1,0,0,15,0,2,0.5,68,3,0.666667,0,15,4,'0'
1,0,28,14,14,8,2,8,0,0.267857,0,0,1,'1'
1,0,0,1,4,5,0.75,334,0,0.342857,0,65,11,'0'
5,0,73,0,0,7,0.807692,623,0,0.207792,3,43.357143,7,'0'
1,0,7,2,2,6,0.5,63,1,0.4,0,9.166667,2,'0'
2,0,15,0,0,8,0.694444,197,0,0.4,0,18.3,7,'0'
3,0,0,1,2,1,2,8,0,1,0,6,0,'0'
1,0,0,1,1,4,0.333333,35,2,0.5,0,7.25,3,'0'
1,0,182,103,5,17,1.015038,124,1,0.144737,0,4.85,2,'0'
1,0,171,8,0,19,2,19,0,0.421053,0,0,1,'0'
1,0,1,7,3,2,2,4,0,0.625,0,0,1,'0'
2,0,28,2,7,6,1.142857,544,0,0.375,1,66.875,4,'1'
6,0,78,1,24,12,2,420,0,0.174825,4,31.307692,4,'0'
2,0,3,2,3,1,1,18,1,0.75,1,4.666667,1,'0'
2,0,1,0,1,2,2,10,0,0.666667,1,4,1,'0'
1,0,0,5,2,2,0.666667,58,1,0.833333,0,13,2,'0'
1,0,26,2,1,9,0.85,60,0,0.361111,0,5.111111,1,'0'
1,0,3,8,3,3,2,3,0,1,0,0,1,'0'
1,0,10,8,0,5,2,5,0,0.7,0,0,1,'0'
2,1,3,3,1,3,2,18,0,0.555556,1,5,1,'0'
1,0,3,2,1,3,2,3,0,0.666667,0,0,1,'0'
1,0,118,5,10,18,0.994026,719,0,0.220238,0,23.571429,6,'1'
1,0,65,1,0,13,0.355769,207,0,0.404762,0,13.214286,3,'0'
1,0,2,3,6,5,0.625,89,1,0.533333,0,16.4,2,'0'
1,0,6,6,0,4,2,4,0,1,0,0,1,'1'
3,0,0,1,3,1,2,11,0,1,0,8,0,'0'
1,1,0,3,3,6,0.5625,157,0,0.416667,0,16.222222,3,'0'
1,0,0,6,2,1,2,1,0,1,0,0,1,'0'
1,0,0,1,10,7,0.545455,444,1,0.243056,0,35.75,6,'1'
1,0,6,2,4,2,1,242,0,0.375,0,59.25,9,'0'
1,0,1,33,1,2,2,7,0,0.75,0,0,1,'0'
1,0,110,2,4,17,0.09375,165,1,0.344538,0,8.588235,2,'0'
1,0,3,3,2,3,2,3,0,1,0,0,1,'0'
4,0,68,0,0,16,0.847619,175,0,0.71875,0,9.5,1,'1'
1,0,75,1,6,18,0.805556,636,1,0.385965,0,32.157895,6,'0'
1,0,0,3,3,6,0.4,55,1,0.458333,0,7.833333,2,'0'
4,0,0,0,0,6,0.4,143,0,0.666667,1,22.5,1,'0'
3,0,4,2,5,1,0.666667,27,1,0.5,1,5.5,1,'0'
3,0,0,1,3,2,1.6,30,0,0.6,0,11.5,1,'0'
1,0,345,30,9,27,0.773399,513,3,0.182266,0,15.866667,5,'0'
1,0,45,6,16,9,2,192,0,0.166667,0,18.2,3,'0'
6,0,22,0,0,5,0.714286,204,0,0.40625,2,24.375,5,'0'
2,0,1,1,6,2,2,46,0,0.666667,0,22,5,'0'
1,0,6,1,1,3,1,23,1,0.666667,0,4.5,2,'0'
1,0,1,24,0,2,2,2,0,0.75,0,0,1,'0'
5,0,13,0,0,9,0.722222,176,0,0.466667,2,16.2,1,'0'
5,0,0,2,1,1,2,5,0,1,0,4,0,'0'
1,0,0,3,1,7,0.666667,77,4,0.428571,0,9.285714,1,'0'
1,0,13,2,4,5,0.2,227,0,0.666667,0,36.666667,1,'0'
1,0,0,5,1,1,2,1,0,1,0,0,1,'0'
1,0,0,3,3,4,0.333333,74,0,0.5,0,17,7,'0'
3,0,0,1,6,3,0.833333,87,2,0.466667,0,27,1,'0'
3,1,369,1,25,13,0.724138,1096,0,0.171111,1,35.433333,18,'0'
3,0,0,1,6,3,0.833333,64,1,0.444444,0,19.333333,1,'0'
1,0,0,10,2,6,0.4,44,1,0.444444,0,6,1,'0'
1,0,0,4,2,1,2,1,0,1,0,0,1,'0'
3,0,4,0,0,13,0.666667,134,0,0.192308,2,9.076923,1,'0'
1,0,78,11,2,12,1.055556,24,1,0.533333,0,0.615385,1,'0'
1,0,3,7,3,3,2,3,0,1,0,0,1,'0'
2,0,0,13,1,1,2,4,0,1,0,3,0,'0'
1,0,1,4,2,2,2,2,0,1,0,0,1,'0'
1,0,118,3,15,39,0.795745,719,5,0.147569,0,13.770833,6,'1'
1,0,1,14,2,2,2,2,0,0.75,0,0,1,'0'
4,0,0,0,0,7,0.611111,147,0,0.357143,0,19.571429,1,'0'
1,0,0,15,8,11,0.416667,267,0,0.285714,0,19.307692,7,'0'
2,2,4,2,5,1,0.666667,60,0,0.666667,0,13.75,2,'0'
1,0,39,11,0,7,0.666667,1308,0,0.174603,0,129.7,7,'0'
1,0,15,3,0,6,0.5,51,0,0.535714,0,5.857143,1,'0'
4,0,30,0,0,12,0.8,124,0,0.708333,0,8.916667,1,'1'
1,0,1,3,2,2,2,2,0,1,0,0,1,'0'
1,1,1,3,3,2,2,8,0,0.625,0,3,1,'0'
2,0,0,0,4,4,0.166667,144,0,0.533333,1,27.2,5,'0'
1,0,0,1,3,4,0.333333,31,2,0.4375,0,6.25,2,'0'
1,0,6,22,0,3,2,72,0,0.375,0,17,2,'0'
1,0,0,5,2,1,2,1,0,1,0,0,1,'0'
3,0,1,1,4,2,2,18,0,0.625,0,8,1,'0'
2,0,3,1,2,3,2,15,0,0.833333,2,4,1,'0'
3,0,316,4,0,20,0.853571,677,1,0.206897,2,22,8,'0'
1,0,0,5,2,5,0.583333,105,1,0.533333,0,19.4,3,'0'
2,0,390,26,7,32,0.929688,350,1,0.163194,0,9.121212,4,'0'
2,0,3,1,3,0,1,95,1,1,2,30.333333,3,'0'
2,3,1,3,3,2,0.5,33,1,0.666667,0,9.666667,1,'0'
3,0,0,1,4,1,2,9,0,1,0,7,0,'0'
1,0,0,3,3,4,0.6,84,2,0.444444,0,12.5,2,'1'
1,0,28,10,6,8,2,8,0,0.34375,0,0,1,'0'
1,0,39,2,18,6,0.827381,451,3,0.209524,0,28.266667,6,'0'
2,3,0,3,2,5,0.25,34,0,0.533333,1,5.6,1,'0'
3,0,84,0,0,15,0.851563,413,0,0.254902,1,22.823529,6,'0'
1,0,0,1,1,4,0.333333,35,2,0.5,0,7.25,3,'0'
4,0,3,0,0,6,0.8,94,0,0.444444,1,14,1,'0'
3,0,0,1,3,2,1,54,1,0.625,0,25,1,'0'
2,0,1,2,3,1,2,8,0,0.75,1,3,1,'0'
4,0,21,1,1,7,2,67,0,0.571429,2,8.571429,2,'0'
1,0,0,1,2,2,0,26,0,0.666667,0,11.5,2,'0'
1,0,0,4,2,1,2,1,0,1,0,0,1,'0'
5,0,18,0,0,7,0.666667,149,0,0.5,1,17.25,2,'0'
4,0,0,3,2,2,0,14,1,0.75,0,5.5,1,'0'
2,0,6,15,2,5,0.75,25,0,0.4,0,3.6,1,'0'
2,0,3,3,3,1,1,18,1,0.75,1,4.666667,1,'0'
1,0,8,2,11,4,0.625,140,1,0.342857,0,26.6,1,'0'
3,0,105,3,0,7,1.071429,583,0,0.275,1,37.8,1,'0'
1,0,36,1,21,3,1.125,1209,0,0.47619,0,133.222222,16,'0'
1,0,2706,4,49,49,0.947917,2480,4,0.087551,0,30.896104,11,'1'
1,0,78,0,0,1,0.972222,1407,0,0.192308,0,107,8,'1'
1,0,37,4,0,5,0.7,360,1,0.383333,0,31.363636,8,'1'
1,0,0,8,1,1,2,1,0,1,0,0,1,'0'
1,0,3615,31,42,73,0.876984,2894,9,0.090506,1,28.050505,21,'1'
1,0,1,19,0,2,2,2,0,1,0,0,1,'0'
2,2,0,2,0,4,0.3,86,0,0.366667,0,13,3,'0'
2,3,0,4,1,9,0,84,1,0.5,0,7.3,1,'0'
2,0,46,0,0,10,0.783333,267,0,0.323077,0,19.153846,8,'0'
1,0,3,19,2,3,2,3,0,0.583333,0,0,1,'0'
2,0,0,5,3,2,0,14,1,0.625,0,5.5,1,'0'
6,0,119,1,0,17,0.931624,309,0,0.289474,3,14.578947,8,'0'
2,2,0,2,3,2,0.5,39,2,0.466667,0,11.333333,1,'0'
1,0,90,1,38,22,0.915584,1109,5,0.149351,0,36.862069,14,'1'
1,0,35,5,7,11,0.153846,230,0,0.276786,0,15.357143,3,'0'
2,2,0,2,4,2,0.5,70,2,0.466667,0,21.666667,1,'0'
2,0,53,5,5,14,0.701923,164,1,0.285714,1,10.142857,1,'0'
1,3,0,7,0,4,1,32,0,0.5,0,6,1,'0'
3,0,6,2,0,4,1.333333,21,0,0.666667,0,4,0,'0'
2,0,3,1,2,3,2,12,0,0.777778,0,3,1,'0'
1,0,3,4,1,3,2,3,0,0.777778,0,0,1,'0'
2,0,1,2,2,2,2,10,0,0.666667,0,4,1,'0'
1,0,3,0,11,3,2,101,0,0.416667,0,32.666667,2,'0'
1,0,1,1,10,3,0,215,0,0.416667,0,70.333333,4,'0'
1,0,4,0,2,4,0.666667,24,1,0.5,0,4.75,1,'0'
1,0,194,9,48,20,0.75625,2591,4,0.109557,0,77.363636,19,'1'
3,0,0,1,2,1,0,15,0,1,0,6,0,'0'
1,0,0,4,1,1,2,1,0,1,0,0,1,'0'
2,0,0,2,20,5,0.761905,1648,2,0.331169,1,73.363636,16,'1'
3,0,10,1,2,4,2,50,0,0.5,0,9,1,'0'
1,0,3,4,5,3,2,3,0,0.619048,0,0,1,'0'
1,2,6,2,8,4,2,27,0,0.375,0,5.75,1,'0'
1,0,0,4,15,12,0.25,1090,1,0.253846,0,82.769231,14,'0'
1,0,10,1,16,4,2,598,0,0.3,0,118.6,2,'0'
2,1,27,3,4,0,0.733333,290,1,0.36,0,27.5,4,'0'
1,0,0,1,0,11,0.30303,222,1,0.316667,0,17,2,'0'
1,0,49,8,3,8,0.95,279,0,0.233333,0,23.636364,8,'1'
4,0,68,0,0,12,0.833333,194,0,0.487179,0,13.538462,3,'0'
1,0,0,2,22,3,0.333333,763,2,0.375,0,189.25,1,'0'
1,0,1,2,0,1,2,49,0,0.5,0,23.5,4,'0'
1,0,37,7,0,10,0.625,132,0,0.393939,1,10.636364,3,'0'
1,0,23,1,0,9,0.5,88,1,0.433333,0,7.2,2,'0'
4,0,516,0,0,29,0.916667,1130,0,0.169533,2,29.162162,5,'0'
2,2,10,2,5,8,0.583333,124,2,0.259259,1,12.444444,2,'0'
2,0,190,1,0,7,0.794444,766,1,0.292857,1,35.047619,10,'0'
1,0,2213,44,46,70,0.901947,1119,12,0.055223,0,13.864865,11,'0'
2,0,0,2,0,6,0.541667,122,0,0.333333,1,15.857143,3,'0'
1,1,107,29,3,19,0.895833,186,3,0.195489,0,8.368421,5,'1'
1,0,1,11,1,2,2,2,0,0.75,0,0,1,'0'
1,0,312,10,16,27,0.821429,699,3,0.116711,0,22.758621,6,'0'
1,3,2010,5,37,39,0.911058,810,5,0.077592,0,11.261538,5,'1'
2,0,15,1,4,6,2,53,0,0.541667,2,7.833333,2,'0'
1,0,0,4,1,4,0.333333,34,1,0.5,0,7,1,'0'
2,0,3,7,3,1,1,18,1,0.75,1,4.666667,1,'0'
3,0,0,0,0,19,0.858333,233,1,0.375,1,9.809524,2,'0'
1,0,0,8,2,1,2,1,0,1,0,0,1,'0'
1,0,1255,17,15,41,0.87037,1167,6,0.108932,0,19.945455,9,'1'
1,5,13,5,4,7,0.75,30,1,0.314286,0,3,1,'0'
1,0,3,14,1,3,2,3,0,0.666667,0,0,1,'0'
1,0,20,17,1,8,0.464286,141,1,0.34375,1,16.125,6,'0'
1,0,45,12,3,10,2,10,0,0.366667,0,0,1,'0'
4,0,814,1,0,45,0.943723,636,0,0.306667,3,12.666667,2,'0'
1,0,19,4,7,4,0.916667,348,0,0.354167,0,48.428571,1,'1'
