@relation mydataframe
@attribute v.g. numeric
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute uniq_Opnd numeric
@attribute total_Opnd numeric
@attribute bug {'1','0'}
@data
26,17,19,0,0,0,0,0,0,0,0,0,'1'
2,1,1,0.17,6,13.67,492.27,0,0,0,5,6,'1'
13,13,7,0,0,0,0,0,0,0,0,0,'1'
3,1,1,0.06,16.71,13.45,3756.37,0,4,0,7,18,'1'
2,1,2,0.17,6,38.97,1403,0,2,0,15,20,'1'
6,3,4,0,0,0,0,0,0,0,0,0,'1'
19,10,11,0.03,34.67,93,111762.93,7,16,1,57,208,'1'
20,15,7,0.03,33.19,39.19,43166.62,7,12,0,29,77,'1'
4,1,4,0.07,14.86,36.3,8012.03,7,8,0,21,48,'1'
15,12,4,0,0,0,0,0,0,0,0,0,'1'
2,1,2,0.15,6.46,54.98,2292.07,3,0,0,23,33,'1'
110,95,85,0,0,0,0,0,0,0,0,0,'1'
27,14,9,0,0,0,0,0,0,0,0,0,'1'
19,18,11,0.02,45.4,70.04,144343.07,9,12,0,63,220,'1'
9,7,7,0.04,24.96,74.63,46500.6,21,15,2,53,126,'1'
3,1,2,0.11,9,23.94,1939.44,0,2,1,12,18,'1'
10,8,10,0,0,0,0,0,0,0,0,0,'1'
55,55,55,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0.34,2.92,17.79,151.35,0,2,0,6,7,'1'
1,1,1,0.34,2.92,17.79,151.35,0,2,0,6,7,'1'
27,23,26,0,0,0,0,0,0,0,0,0,'1'
27,20,16,0.02,41.45,68.26,117259.19,0,9,5,57,189,'1'
1,1,1,0.34,2.92,17.79,151.35,0,2,0,6,7,'1'
1,1,1,0.33,3,15.5,139.52,0,2,0,5,6,'1'
2,1,1,0.24,4.08,15.41,256.87,0,1,0,6,7,'1'
36,27,35,0,0,0,0,0,0,0,0,0,'1'
16,1,16,0.03,34.25,123.53,144911.31,8,24,22,76,274,'1'
15,11,15,0.06,18.04,91.8,29873.71,4,9,0,51,115,'1'
1,1,1,0.34,2.92,17.79,151.35,0,2,0,6,7,'1'
4,1,1,0.13,8,22.92,1467.19,0,2,0,12,16,'1'
9,1,4,0.07,14.88,47.63,10538.49,6,6,0,30,74,'1'
1,1,1,0.22,4.59,75.63,1592.09,0,0,0,17,39,'1'
5,1,1,0.05,21,12.76,5627.15,0,2,0,8,28,'1'
8,1,7,0.03,33.25,41.29,45651.03,19,12,3,24,76,'1'
2,1,2,0.24,4.24,55.47,995.75,0,1,0,19,23,'1'
4,1,4,0.08,11.92,33.26,4723,1,14,0,18,33,'1'
30,18,25,0.02,46.42,55.65,119927.45,1,14,1,52,142,'1'
1,1,1,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0.08,12.06,42.19,6135.2,0,4,0,17,41,'1'
2,1,2,0.08,12.2,69.81,10396.13,3,4,0,32,71,'1'
1,1,1,0.07,14.4,11.9,2467.17,0,2,0,5,16,'1'
3,1,2,0.12,8.33,10.56,733.33,0,1,0,6,10,'1'
1,1,1,0.32,3.12,11.16,108.97,0,1,0,4,5,'1'
3,1,1,0.13,7.43,14.73,812.63,1,1,0,7,13,'1'
1,1,1,0.24,4.2,12.8,225.85,0,0,0,5,6,'1'
55,22,26,0,0,0,0,0,0,0,0,0,'1'
5,1,4,0.03,32.04,53.85,55302.55,1,8,0,32,140,'1'
4,1,4,0.1,10.15,36.59,3769.56,6,6,0,20,29,'1'
12,5,9,0.03,34.94,50.35,61473.97,17,10,1,44,123,'1'
1,1,1,0.3,3.3,21.82,237.6,0,2,0,10,11,'1'
11,1,7,0.04,28.25,57.92,46222.9,17,17,0,40,113,'1'
14,5,11,0.04,26.16,68.92,47150.8,4,10,0,64,124,'1'
6,1,3,0.03,30.23,31.19,28502.18,2,10,2,22,70,'1'
1,1,1,0.5,2,15,60,0,0,0,4,4,'1'
1,1,1,0.5,2,15,60,0,0,0,4,4,'1'
1,1,1,0.5,2,15,60,0,0,0,4,4,'1'
1,1,1,0.5,2,15,60,0,0,0,4,4,'1'
1,1,1,0.5,2,15,60,0,0,0,4,4,'1'
5,5,3,0,0,0,0,0,0,0,0,0,'1'
3,1,1,0.13,8,10.26,656.36,2,3,0,5,8,'1'
2,1,1,0.11,9.17,13.09,1100,0,1,0,6,11,'1'
15,11,7,0.04,24.66,122.46,74486,28,37,0,86,202,'1'
4,1,3,0.09,10.71,45.31,5201.91,0,2,0,21,45,'1'
1,1,1,0.4,2.5,9.6,60,0,0,0,3,3,'1'
2,1,2,0.13,7.8,30.26,1840.8,0,2,0,10,26,'1'
11,1,9,0.05,18.58,124.77,43059.58,14,24,3,78,161,'1'
6,3,5,0.04,23.76,32.03,18080.85,0,9,0,25,54,'1'
6,1,3,0.04,27.36,46.38,34716.98,1,2,0,32,103,'1'
4,4,1,0,0,0,0,0,0,0,0,0,'1'
5,3,5,0.04,23.38,30.96,16913.84,0,5,0,24,51,'1'
7,5,7,0.05,20.64,52.77,22476.1,13,8,2,29,63,'1'
4,3,4,0.05,20.5,28.15,11828.05,0,6,0,21,41,'1'
9,9,5,0.03,28.97,37.8,31713.43,4,5,0,29,84,'1'
6,1,3,0.07,14.86,22.79,5030.26,3,5,0,14,26,'1'
2,1,2,0.07,15.27,22.21,5181.53,8,1,0,11,28,'1'
3,1,3,0.05,20.86,30.65,13343,2,4,8,22,54,'1'
5,3,4,0.05,21,26,11464.81,1,5,1,22,42,'1'
15,9,9,0.02,43.15,61.62,114716.17,23,13,12,51,163,'1'
16,10,9,0.02,42,72.43,127774.61,3,11,8,68,204,'1'
18,11,1,0.02,43.89,47.48,91475.26,3,11,0,38,139,'1'
5,3,4,0.05,20,26.42,10568.94,0,5,0,21,40,'1'
4,3,3,0,0,0,0,0,0,0,0,0,'1'
23,21,8,0.03,36.58,56.89,76123.38,31,8,0,57,139,'1'
12,1,6,0.04,28.44,28.62,23153.61,1,8,0,18,64,'1'
3,1,2,0.09,10.86,40.42,4764.79,0,5,0,21,38,'1'
3,1,2,0.09,11.69,14.17,1936.26,0,0,0,8,17,'1'
6,6,4,0,0,0,0,0,0,0,0,0,'1'
8,1,3,0.04,24.55,18.96,11422.07,24,8,0,11,36,'1'
2,1,1,0.24,4.08,14.5,241.76,0,3,0,6,7,'1'
6,6,2,0,0,0,0,0,0,0,0,0,'1'
3,1,2,0.08,12.32,40.76,6186.03,0,6,0,25,44,'1'
4,1,4,0.03,32,10.32,10567.04,3,31,0,7,28,'1'
6,1,3,0.04,23.33,14.54,7916.23,2,19,3,9,30,'1'
10,7,6,0.02,43.2,9.18,17128.1,0,0,0,5,36,'1'
11,1,3,0.03,37.14,17.53,24187.25,72,26,4,14,52,'1'
3,1,2,0.08,12.32,40.76,6186.03,0,6,0,25,44,'1'
2,1,2,0.19,5.25,13.39,369.12,4,2,0,6,9,'1'
5,1,4,0.03,33.23,17.29,19097.28,5,14,0,13,48,'1'
6,1,4,0,0,0,0,0,0,0,0,0,'1'
3,3,2,0.14,6.9,34.55,1645.08,9,5,0,15,23,'1'
3,1,1,0,0,0,0,0,0,0,0,0,'1'
4,4,2,0.18,5.63,39.63,1253.84,5,2,0,16,20,'1'
4,4,2,0.18,5.56,42.28,1306.45,5,2,0,17,21,'1'
14,1,14,0.02,50.45,43.92,111794.23,0,2,0,42,163,'1'
13,7,12,0.04,22.9,83.4,43717.5,5,11,0,67,118,'1'
5,1,4,0.06,16.07,83.25,21503.57,1,11,0,49,105,'1'
4,3,3,0.05,18.84,58.25,20667.93,0,9,0,?,?,'1'
10,5,4,0,0,0,0,0,0,0,0,0,'1'
2,1,2,0.12,8.64,21.87,1631.15,1,4,0,11,19,'1'
9,1,7,0.03,29.02,54.34,45774.99,14,12,2,43,104,'1'
8,5,5,0.04,27.06,44.19,32355.38,14,11,2,34,80,'1'
10,1,10,0.03,30.81,47.37,44979.31,19,8,0,27,104,'1'
20,8,3,0.02,64.31,32.04,132580.53,35,26,6,32,147,'1'
5,1,1,0.05,18.57,38.84,13396.47,2,6,1,21,65,'1'
3,1,3,0.09,11.63,41.7,5641.32,4,6,1,19,34,'1'
3,1,3,0.11,9.33,19.29,1680.79,0,4,0,9,14,'1'
3,1,3,0.09,11.76,45.42,6283.02,4,6,1,21,38,'1'
5,1,1,0.05,22,19.44,9410.28,3,13,2,13,44,'1'
6,4,5,0.05,18.29,52.16,17443.19,4,9,0,33,71,'1'
31,23,12,0.01,91.2,83.15,691554.81,43,8,0,45,304,'1'
4,1,3,0,0,0,0,0,0,0,0,0,'1'
4,3,4,0.1,9.9,79.97,7845.03,15,13,0,42,64,'1'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'1'
1,1,1,0.24,4.2,26.28,463.52,5,6,4,10,12,'1'
2,1,1,0.22,4.5,17.36,351.62,0,1,0,6,6,'1'
8,6,7,0.05,20,39.38,15750.5,7,8,4,24,64,'1'
2,1,2,0.11,9.25,46.95,4017.03,0,4,0,24,37,'1'
2,1,2,0.1,9.65,44.64,4158.72,0,4,0,23,37,'1'
6,1,2,0.05,20.45,17.46,7307.05,4,7,5,11,30,'1'
21,4,5,0.03,34.5,27.98,33300.26,0,19,0,19,57,'1'
9,5,4,0.03,30.86,37.43,35639.87,14,16,1,32,79,'1'
2,1,2,0.08,13.33,32.54,5784.24,1,2,1,18,32,'1'
11,4,6,0.03,31.05,24.99,24093.43,0,8,0,20,54,'1'
27,18,23,0.02,60.15,59,213471.74,32,8,0,47,257,'1'
7,1,4,0.06,15.6,23.28,5665.86,6,6,0,15,26,'1'
12,6,5,0.07,14.57,23.8,5053.28,0,8,0,14,24,'1'
31,14,7,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0.21,4.8,13.11,301.96,0,1,0,5,6,'1'
3,1,2,0.11,8.79,31.25,2416.5,0,4,0,17,23,'1'
2,1,2,0.05,18.33,19.26,6472.44,0,5,0,9,22,'1'
2,1,2,0.04,22.4,18.68,9370.8,0,5,0,10,28,'1'
2,1,2,0.06,17.82,23.2,7364.31,0,5,0,11,28,'1'
5,1,1,0,0,0,0,0,0,0,0,0,'1'
4,1,2,0,0,0,0,0,0,0,0,0,'1'
4,3,3,0.05,19.5,29.87,11359.14,0,4,0,19,39,'1'
2,1,2,0.08,13.33,33.6,5973.51,1,9,0,21,35,'1'
4,1,3,0.08,12.4,43.19,6645.43,5,3,0,26,43,'1'
7,1,4,0.11,9.39,32.72,2883.89,5,3,0,18,26,'1'
1,1,1,0.5,2,21.59,86.37,0,1,0,6,6,'1'
5,1,5,0.05,20,35.59,14235.72,4,5,0,22,44,'1'
8,4,6,0.04,27.33,22.69,16950.73,0,4,0,12,41,'1'
7,1,6,0.04,24.67,23.58,14348.35,0,5,0,12,37,'1'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'1'
18,8,6,0.02,51.33,22.39,59009.54,18,73,3,18,84,'1'
4,3,2,0.06,17.6,23.08,7149.9,0,7,0,15,33,'1'
22,1,13,0.04,23.91,86.26,49298.55,5,5,7,48,153,'1'
2,1,1,0.18,5.6,11.23,352.28,0,3,0,5,7,'1'
2,1,2,0.26,3.86,21.11,314.01,1,11,0,7,9,'1'
6,6,3,0,0,0,0,0,0,0,0,0,'1'
9,9,7,0.06,17,31.75,9175.89,5,4,0,15,34,'1'
9,9,7,0.05,22.22,24.32,12011.92,1,3,0,18,40,'1'
10,4,6,0.02,41.31,56.87,97048.2,37,17,0,45,143,'1'
1,1,1,0.5,2,9.83,39.3,0,0,0,3,3,'1'
7,5,4,0.07,13.46,19.49,3530.54,4,2,0,12,19,'1'
8,3,5,0.05,19.95,29,11543.38,5,5,5,20,38,'1'
10,10,4,0.03,28.72,22.23,18342.91,0,5,0,18,47,'1'
18,14,17,0.03,28.75,48.7,40251.99,2,9,0,36,90,'1'
16,7,6,0.02,48.03,20.94,48310.12,1,11,3,17,71,'1'
7,5,5,0.04,22.5,27.42,13880.6,0,1,0,22,45,'1'
8,6,6,0.04,26,27.41,18526.03,0,3,0,23,52,'1'
6,4,4,0.05,18.95,26.22,9413.58,0,2,0,19,36,'1'
16,13,7,0.03,39.72,31.07,49004.57,0,6,5,23,87,'1'
35,21,17,0.02,51.27,62.26,163640.68,0,21,0,46,147,'1'
8,7,4,0,0,0,0,0,0,0,0,0,'1'
9,1,6,0,0,0,0,0,0,0,0,0,'1'
4,4,2,0,0,0,0,0,0,0,0,0,'1'
34,34,1,0.01,104,14.06,152114.74,2,2,0,7,104,'1'
11,1,10,0.07,14.56,88.65,18789.41,0,10,0,34,90,'1'
11,10,8,0,0,0,0,0,0,0,0,0,'1'
4,1,4,0,0,0,0,0,0,0,0,0,'1'
5,4,2,0.11,9,25.11,2033.51,0,1,0,14,18,'1'
4,3,2,0.11,9,20.89,1691.85,8,7,0,12,18,'1'
7,4,4,0.06,17.5,24.82,7599.79,1,6,5,18,35,'1'
2,1,2,0.1,10,17.13,1713,0,3,0,9,15,'1'
3,1,2,0.13,7.82,42.69,2607.88,0,5,0,19,27,'1'
5,5,3,0.06,15.83,14.77,3702.36,0,1,0,9,19,'1'
3,1,2,0.16,6.3,13.3,527.7,1,1,0,5,7,'1'
4,1,4,0.07,15.33,14.61,3434.79,0,2,0,9,23,'1'
25,11,9,0.02,49.5,56.84,139267.55,3,20,0,48,198,'1'
6,6,4,0.07,13.93,22.67,4398.21,0,3,2,14,26,'1'
8,7,5,0.08,13.24,27.2,4764.71,6,2,0,17,30,'1'
9,6,4,0.03,33.21,38.41,42377.72,12,13,0,35,93,'1'
9,8,3,0.03,30.35,22.06,20327.18,0,3,0,17,43,'1'
11,11,9,0.05,21.71,66.92,31551.52,13,15,0,42,96,'1'
6,5,5,0.12,8.67,75.4,5663.15,0,1,0,36,52,'1'
8,3,6,0.02,58.83,28.54,98758.54,0,5,1,26,133,'1'
4,4,3,0.07,14,23.93,4690,3,5,0,16,28,'1'
11,4,9,0.04,22.75,58.69,30374.3,4,13,2,36,91,'1'
1,1,1,0.67,1.5,17.23,38.77,0,0,0,3,3,'1'
3,3,2,0.14,7.07,13.56,678.21,0,1,0,7,9,'1'
7,7,3,0.07,13.93,29.01,5632.38,0,1,0,15,38,'1'
19,1,10,0.03,39.52,61.24,95624.29,0,12,0,33,163,'1'
1,1,1,0.4,2.5,13.95,87.17,0,0,0,4,4,'1'
2,1,2,0.23,4.38,11.07,211.89,0,0,0,4,5,'1'
4,1,3,0.06,17.86,39.66,12647.85,0,11,0,21,50,'1'
12,1,8,0.05,19.73,46.68,18164.52,5,5,1,33,62,'1'
1,1,1,0.36,2.81,23.68,187.33,0,1,0,8,9,'1'
1,1,1,0.5,2,23.25,93.01,0,2,0,6,6,'1'
1,1,1,0.5,2,23.25,93.01,0,2,0,6,6,'1'
38,17,19,0,0,0,0,0,0,0,0,0,'1'
13,5,10,0.02,58.15,29.68,100356.31,7,9,6,23,107,'1'
8,5,5,0.02,56.21,25.49,80523.48,3,7,2,19,89,'1'
4,1,4,0.07,13.57,42.69,7854.69,0,8,0,23,48,'1'
4,3,2,0.04,26,22.68,15330.08,1,4,3,18,36,'1'
7,1,6,0.07,15,51.44,11575.03,18,16,7,26,60,'1'
40,6,34,0.01,90.63,84.39,693194.02,55,31,8,87,415,'1'
12,1,2,0.05,18.38,42.98,14512.58,0,14,0,32,49,'1'
15,1,14,0.08,11.86,87.27,12282.72,0,17,0,33,87,'1'
22,19,7,0.02,54.08,31.05,90814.72,19,14,0,24,118,'1'
12,12,3,0.03,34.15,35.08,40908.48,1,10,0,34,86,'1'
5,1,3,0,0,0,0,0,0,0,0,0,'1'
12,5,2,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0.32,3.12,11.16,108.97,0,2,0,4,5,'1'
25,20,11,0,0,0,0,0,0,0,0,0,'1'
2,1,1,0.11,8.75,32.77,2508.86,1,4,0,16,28,'1'
3,1,2,0.09,11.2,34.44,4323.1,0,6,0,22,29,'1'
7,6,2,0,0,0,0,0,0,0,0,0,'1'
16,11,11,0,0,0,0,0,0,0,0,0,'1'
4,1,3,0.08,12.12,21.03,3086.88,0,2,0,13,21,'1'
3,3,2,0.09,11.64,17.16,2323.84,0,2,0,11,16,'1'
7,1,7,0.04,27.2,28.32,20951.94,0,4,0,15,68,'1'
1,1,1,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0.11,9.38,30.92,2717.75,0,4,0,12,25,'1'
1,1,1,0.14,7,12.85,629.62,0,0,0,4,8,'1'
12,7,2,0,0,0,0,0,0,0,0,0,'1'
24,18,2,0.02,49.24,25.46,61718.34,0,2,0,21,94,'1'
8,7,3,0.05,18.42,18.73,6352.21,0,6,0,12,26,'1'
5,1,5,0.03,37.4,145.12,202995.67,1,16,0,76,379,'1'
2,1,1,0.06,17.82,187.35,59506.88,0,23,0,101,225,'1'
5,1,5,0.05,20.09,71.14,28722.62,0,9,0,43,108,'1'
8,5,3,0.03,32.1,26.99,27818.77,5,8,0,24,67,'1'
4,1,2,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0,0,0,0,0,0,0,0,0,'1'
9,7,1,0.03,35.93,129.78,167499.82,13,29,0,87,329,'1'
2,1,2,0.02,43.85,186.83,359168.94,130,47,7,104,570,'1'
3,3,3,0.03,29.78,312.17,276879.2,19,52,0,165,546,'1'
1,1,1,0.05,18.75,150.87,53039.56,12,14,0,56,210,'1'
94,52,68,0.01,71.81,177.24,913945.71,34,34,0,126,696,'1'
5,1,5,0.03,38.3,142.72,209353.17,1,15,0,75,383,'1'
1,1,1,0.03,29.66,326.75,287464.24,2,47,0,112,604,'1'
22,19,16,0,0,0,0,0,0,0,0,0,'1'
4,1,3,0.02,45.85,35.17,73943.47,0,15,0,20,131,'1'
1,1,1,0.05,18.37,186.54,62970.12,0,16,0,59,271,'1'
2,1,2,0.07,14.34,113.29,23292.68,19,24,0,62,127,'1'
3,1,3,0.13,8,38.46,2461.66,0,4,0,21,28,'1'
7,5,3,0.03,36.5,26.6,35432.13,6,8,1,25,73,'1'
2,1,2,0.1,9.71,32.68,3079.54,0,4,0,17,30,'1'
2,1,2,0.11,9.17,34.98,2939.08,0,4,0,18,30,'1'
5,1,5,0.03,37.21,147.28,203890.96,1,15,0,77,382,'1'
1,1,1,0.18,5.47,134.31,4016.98,1,18,0,32,70,'1'
1,1,1,0.29,3.46,39.27,470.54,0,2,0,13,15,'1'
5,3,3,0.09,10.98,54.01,6514.48,1,6,0,29,49,'1'
26,24,8,0.03,32.09,55.94,57612.92,8,10,0,43,120,'1'
6,5,2,0.03,33.39,25.62,28563.14,5,11,0,23,64,'1'
6,1,6,0.04,26.35,28.76,19975.32,9,6,0,17,64,'1'
9,1,8,0.02,55.06,280.16,849494.97,2,27,0,162,939,'1'
2,1,2,0.1,9.73,75.51,7142.89,1,9,6,31,67,'1'
6,4,3,0,0,0,0,0,0,0,0,0,'1'
6,1,6,0,0,0,0,0,0,0,0,0,'1'
5,1,5,0.03,38.3,142.72,209353.17,1,15,0,75,383,'1'
5,1,5,0.03,38.29,144.81,212301.39,1,14,0,76,388,'1'
6,1,6,0.02,44.35,252.67,496927.66,1,33,1,138,720,'1'
5,1,5,0.03,37.8,144.98,207105.85,1,18,0,76,383,'1'
5,1,5,0.03,38.06,154.83,224308.42,1,38,0,80,406,'1'
23,1,11,0.02,65.16,207.25,879854.82,17,76,1,160,834,'1'
3,1,3,0.13,7.5,172.88,9724.72,1,2,0,58,87,'1'
3,1,3,0.05,19.99,134.61,53766.34,2,9,0,69,197,'1'
2,1,2,0.03,33.1,134.61,147512.6,1,15,0,87,288,'1'
7,1,3,0.03,36.63,109.36,146687.9,0,10,0,60,293,'1'
5,1,5,0.03,37.21,147.28,203890.96,1,13,0,77,382,'1'
1,1,1,0.1,10.45,217.61,23753.18,0,8,0,67,175,'1'
2,1,2,0.15,6.8,24.53,1134.22,7,3,0,10,17,'1'
7,1,4,0.03,28.6,33.02,27006.41,18,14,0,25,65,'1'
6,5,2,0.04,25.2,24.87,15796.21,7,9,0,20,48,'1'
4,1,2,0,0,0,0,0,0,0,0,0,'1'
10,6,6,0.06,17.5,37.52,11490.16,4,9,7,22,55,'1'
5,4,4,0.1,9.71,33.68,3172.85,0,6,3,17,30,'1'
2,1,2,0.21,4.73,26.06,582.35,3,2,0,11,13,'1'
1,1,1,0.09,11.17,68.82,8589.6,5,10,0,32,55,'1'
3,3,2,0.08,13.01,59.97,10157.26,1,10,0,34,59,'1'
3,3,2,0,0,0,0,0,0,0,0,0,'1'
3,1,3,0.05,21.99,127.51,61634.6,40,20,1,70,171,'1'
7,4,5,0.08,12.66,33.97,5442.89,2,6,3,19,37,'1'
1,1,1,0,0,0,0,0,0,0,0,0,'1'
4,1,2,0.04,25.77,33.7,22384.84,5,5,8,22,81,'1'
5,1,3,0.05,19.85,26.95,10621.32,6,8,0,17,45,'1'
4,3,2,0.1,10,29.48,2948.03,3,6,1,15,25,'1'
4,1,4,0.05,20.46,21.84,9145.48,6,3,0,13,38,'1'
18,10,13,0.03,35.14,50.91,62875.51,12,10,16,42,123,'1'
3,1,3,0.12,8.25,14.21,966.96,0,2,4,6,11,'1'
1,1,1,0.33,3,6.55,58.95,0,0,0,1,1,'1'
4,3,3,0.05,20.57,35.2,14895.77,0,7,0,21,48,'1'
2,1,2,0.21,4.8,23.46,540.42,3,3,0,10,12,'1'
3,1,2,0.13,7.5,20.81,1170.6,3,4,0,11,15,'1'
3,3,2,0.11,9.29,23.55,2031.02,0,5,0,14,20,'1'
1,1,1,0.33,3,15.5,139.52,0,1,0,5,6,'1'
1,1,1,0,0,0,0,0,0,0,0,0,'1'
1,1,1,0.1,9.6,10.64,980.99,0,3,0,5,8,'1'
2,1,2,0.19,5.4,22.03,642.29,3,4,0,10,12,'1'
11,1,11,0.03,38.04,30.64,44336.48,6,13,0,24,83,'1'
1,1,1,0.27,3.75,5.99,84.22,0,0,0,2,3,'1'
9,5,8,0.03,38,30.45,43974.79,7,7,0,22,88,'1'
5,1,4,0.09,11.07,27.33,3350.3,0,5,0,14,31,'1'
5,4,4,0.14,6.91,25.21,1203.32,0,3,0,11,19,'1'
4,4,4,0.14,7.31,17.89,956.47,0,0,0,8,13,'1'
7,4,6,0.03,31.91,33.55,34163.18,5,11,0,33,81,'1'
6,1,4,0.05,19.68,24.69,9565.99,0,5,2,19,44,'1'
14,9,13,0.05,22.12,90.87,44461.2,1,5,0,50,158,'1'
5,1,5,0.04,26.33,40.88,28345.28,40,9,0,27,79,'1'
28,20,8,0.01,89.59,28.26,226792.97,45,20,0,28,173,'1'
11,10,2,0.02,51.06,23.91,62335.54,4,3,0,16,86,'1'
5,3,3,0.07,13.52,30.88,5646.37,0,6,0,?,?,'1'
5,1,4,0.05,18.38,28.78,9716.87,3,9,4,16,49,'1'
22,1,18,0.04,25.77,103.27,68604.07,10,16,1,71,183,'1'
3,1,3,0.09,11.2,40.88,5128.16,5,7,0,20,32,'1'
3,1,3,0.11,9.5,24.13,2177.86,3,5,0,12,19,'1'
12,7,6,0.02,43.48,32.18,60836.25,1,4,0,29,97,'1'
4,1,4,0.06,16,19.01,4867.64,3,2,1,14,28,'1'
12,10,5,0,0,0,0,0,0,0,0,0,'1'
2,1,2,0.08,12.09,21.51,3144.31,0,0,0,11,19,'1'
8,1,7,0.04,23.16,24.59,13184.02,13,8,0,16,39,'1'
9,5,9,0,0,0,0,0,0,0,0,0,'1'
2,1,2,0.24,4.2,13.66,240.91,8,2,0,5,6,'1'
12,12,11,0.06,16.77,44.3,12464.7,1,1,0,31,52,'1'
12,1,10,0.03,38.63,38.94,58093.11,10,10,11,44,103,'1'
1,1,1,0.19,5.25,9.23,254.27,0,0,0,4,6,'1'
6,1,3,0.09,11.38,27.18,3516.4,0,2,1,16,26,'1'
1,1,1,0.67,1.5,7.74,17.41,0,0,0,2,2,'1'
1,1,1,0.24,4.13,124.62,2130.3,4,5,0,26,43,'1'
2,1,2,0.07,15,116.98,26321.3,0,1,1,33,165,'1'
7,6,5,0.07,15.04,40.76,9223.07,12,2,0,24,38,'1'
2,1,2,0.08,13,33.37,5639.63,0,4,0,20,40,'1'
88,44,51,0.01,67.29,212.86,963681.5,69,75,3,175,785,'1'
1,1,1,0.28,3.54,40.39,506.68,0,3,0,12,17,'1'
1,1,1,0.34,2.92,17.79,151.35,0,0,0,6,7,'1'
2,1,1,0.04,28.22,132.74,105742.77,1,25,0,69,205,'1'
16,9,10,0.02,41.28,50.48,86030.5,6,9,0,39,140,'1'
3,1,1,0.2,5,17.51,437.85,0,4,0,7,10,'1'
52,13,37,0.01,99.31,93.57,922860.63,5,5,0,86,438,'1'
2,1,2,0,0,0,0,0,0,0,0,0,'1'
4,1,4,0,0,0,0,0,0,0,0,0,'1'
22,6,9,0.02,63.88,42.26,172435.02,0,14,1,33,124,'1'
