@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
7,0,5,98,4,4,0.875,662,0,0.1875,3,37.294118,5,'0'
4,0,3,0,1,1,2,5,0,1,0,4,0,'0'
6,16,19,3,3,3,1,59,1,0.5,0,18.333333,1,'0'
5,0,13,71,10,8,0.813131,498,3,0.19883,0,24.631579,9,'1'
6,0,4,1,3,1,0.5,253,1,1,3,80,1,'1'
3,0,5,2,0,5,0.75,36,0,0.466667,1,5.4,1,'0'
3,0,8,0,2,1,2,5,0,1,0,4,0,'0'
5,15,17,29,2,5,0.805556,258,0,0.5,0,24.4,2,'1'
1,13,15,12,2,0,0.761905,66,2,0.354167,0,6.875,3,'0'
2,0,11,123,11,8,0.888889,1106,5,0.233918,1,55.894737,33,'1'
1,0,29,228,24,16,0.900621,534,0,0.15528,0,20.958333,6,'1'
1,0,10,9,8,7,0.951111,1441,1,0.314286,0,140.6,32,'1'
2,0,5,0,3,6,0.285714,174,0,0.40625,2,20.625,2,'0'
1,0,2,0,0,0,2,186,0,0,0,148,0,'0'
1,0,34,197,27,28,0.64,1228,2,0.112903,0,38.290323,23,'1'
1,0,5,3,4,6,0.751701,6259,1,0.5,0,123.7,163,'0'
1,0,2,0,1,3,0,59,0,0.666667,0,13.25,3,'0'
1,0,22,23,3,8,0.72,244,1,0.16,0,20.727273,5,'0'
1,0,1,100,0,16,0.7,691,0,0.323529,0,39.058824,13,'0'
6,0,4,1,3,3,0.5,238,1,1,4,76,3,'0'
6,0,6,20,4,1,0.761905,123,1,0.5,12,14,2,'1'
2,0,10,6,7,2,2,175,0,0.583333,1,42.75,1,'0'
2,0,7,38,7,8,0.863636,470,4,0.319444,3,36.5,12,'1'
1,0,3,25,0,21,0.529412,1277,0,0.296296,0,45.666667,7,'0'
2,0,5,3,4,7,0.809524,115,0,0.392857,1,14.428571,3,'1'
5,0,6,0,5,2,0.5,62,1,0.416667,0,14,2,'0'
2,0,4,1,3,0,0.5,71,0,0.444444,2,22.333333,6,'0'
6,0,109,1197,30,40,0.892361,1437,8,0.078469,1,24.836364,13,'1'
1,4,23,175,6,22,0.993197,239,0,0.392045,0,9.545455,4,'1'
1,0,15,0,9,3,0.766234,356,1,0.375,0,42.125,1,'0'
2,0,4,3,3,0,2,20,0,0.466667,2,5.666667,1,'0'
2,0,4,0,3,0,0.444444,80,0,0.357143,2,18.25,5,'0'
7,0,7,21,6,4,0.833333,384,0,0.3,0,36.6,5,'0'
8,0,11,1,11,2,2,100,0,0.75,2,49,7,'1'
1,0,2,13,2,5,0.6,374,0,0.28,0,61.166667,11,'0'
3,0,4,0,1,3,1.222222,71,0,0.5,1,13,1,'0'
2,0,11,1,8,1,2,65,0,0.625,0,31.5,1,'0'
1,0,10,290,3,22,0.888889,161,1,0.157407,0,5.2,3,'0'
1,0,19,91,15,9,0.708333,1263,1,0.274854,0,65.052632,5,'0'
8,0,4,0,4,1,2,83,0,1,0,82,0,'1'
1,0,19,0,1,11,0.669643,391,1,0.333333,0,24.533333,6,'0'
3,0,4,8,4,5,0.375,173,2,0.366667,3,32.4,7,'0'
2,0,2,25,1,7,0.833333,167,0,0.30303,2,13.909091,4,'0'
1,0,4,1,0,2,2,2,0,0.666667,0,0,1,'1'
3,0,3,3,1,5,0.44,387,1,0.333333,1,62.666667,14,'0'
1,0,5,3,0,2,1.4375,23,2,0.5,0,4,2,'0'
2,0,8,3741,8,84,2,711,0,0.054675,2,7.172414,3,'0'
3,0,5,1,4,2,2,10,0,0.75,0,4,1,'0'
2,0,7,0,7,3,0.616667,500,2,0.285714,0,69,5,'1'
5,0,16,31,14,16,0.794118,551,5,0.317647,0,28.944444,7,'1'
2,0,10,1,5,1,2,30,0,0.625,0,14,1,'0'
1,0,3,1,1,2,2,2,0,1,0,0,1,'0'
5,0,4,0,1,5,0.25,339,0,0.6,0,66.4,12,'0'
6,0,3,3,2,3,2,45,0,0.5,2,14,1,'0'
6,0,14,44,13,1,0.814815,517,0,0.5,5,38.076923,12,'1'
3,0,7,1,0,2,2,9,0,0.75,0,3.5,0,'0'
2,0,5,31,5,7,0.8,231,0,0.4,3,19.272727,8,'1'
8,0,9,1,8,2,2,127,0,0.75,4,62.5,9,'1'
7,0,15,17,15,5,0.814815,477,1,0.25,7,46.1,9,'1'
1,0,8,3,4,5,0.68,128,1,0.458333,0,19.5,2,'1'
6,0,17,64,7,9,0.691667,589,1,0.22449,7,26.761905,13,'1'
2,0,10,1,9,1,1,36,0,0.625,1,16,1,'0'
2,0,11,3,10,1,1,273,0,0.533333,1,89.666667,1,'0'
7,0,5,3,4,3,2,162,0,0.555556,0,53,1,'1'
6,0,4,0,3,3,0.711538,386,0,0.5,5,73.6,6,'1'
1,35,50,147,7,19,0.888889,240,4,0.233083,0,11.315789,6,'0'
2,0,12,1,11,1,1.125,137,4,0.625,1,63.5,1,'0'
2,0,10,1,8,1,2,40,0,0.6,2,18.5,1,'0'
1,0,5,0,1,1,2,1,0,1,0,0,1,'0'
1,0,8,100,3,17,0.91875,199,4,0.183824,0,10.117647,4,'1'
6,0,10,4,8,2,0.666667,152,2,0.4,1,28.8,1,'1'
6,0,7,11,6,0,0.777778,145,3,0.285714,0,19.285714,1,'1'
3,0,14,5,5,5,0.927273,81,1,0.4,1,10.666667,1,'0'
1,0,9,10,2,5,2,5,0,0.6,0,0,1,'0'
1,0,47,0,47,82,0.718392,23350,8,0.183375,0,57.458647,46,'0'
1,0,3,55,1,9,2,456,0,0.363636,0,40.454545,6,'0'
3,0,2,15,0,4,1.12,184,0,0.5,1,28.833333,14,'0'
1,0,11,44,10,6,0.833333,488,0,0.180556,0,36.153846,6,'1'
2,0,7,1,6,1,2,30,0,0.625,1,14,1,'0'
7,0,10,44,9,4,0.782051,631,0,0.217949,0,46.538462,7,'0'
2,0,7,1,6,1,2,36,0,0.625,1,17,1,'0'
2,0,8,12,6,5,0.714286,223,0,0.291667,0,26.375,8,'0'
5,0,20,37,11,8,0.857143,533,3,0.257143,5,36.071429,6,'1'
2,0,4,8,4,2,0.75,106,0,0.333333,2,20,3,'0'
1,0,19,36,6,12,0.745455,236,3,0.416667,0,18.25,5,'1'
2,0,7,4,6,2,0.5,153,0,0.366667,0,29.4,10,'0'
5,0,5,0,4,2,0.575758,313,0,0.375,0,74.5,11,'1'
2,0,8,3,5,8,0.333333,189,0,0.425,2,17.8,4,'0'
1,0,8,36,4,9,2,904,0,0.301587,0,99.444444,20,'1'
6,0,4,1,3,3,0.5,321,1,1,4,102,3,'0'
1,0,3,0,1,3,0.46875,269,0,0.6,0,51.2,10,'0'
1,0,64,36,1,7,0.886905,433,0,0.178571,0,31.230769,7,'0'
3,2,51,0,1,9,0.1,137,1,0.575758,1,11.363636,2,'0'
1,0,5,0,2,6,0.428571,139,1,0.395833,0,16,5,'0'
5,0,14,6,11,1,0.833333,458,3,0.32,0,90,3,'0'
2,0,11,35,7,8,0.673077,889,1,0.619048,7,62.214286,10,'1'
3,0,6,8,5,10,0.672727,501,0,0.30303,4,40.333333,17,'1'
6,0,7,170,6,5,0.9,508,2,0.169312,1,22.714286,8,'1'
1,0,1,15,0,6,2,6,0,0.75,0,0,1,'0'
2,0,14,3,9,2,2,63,0,0.6,1,20,1,'0'
2,0,9,1,6,1,1,54,0,0.666667,2,24.5,1,'0'
1,0,3,6,2,4,0.666667,37,1,0.5,0,8,2,'0'
6,0,11,27,9,1,0.775,595,0,0.363636,0,52.363636,12,'1'
2,0,8,1,7,1,2,50,0,0.625,1,24,1,'0'
1,0,6,15,3,6,2,24,0,0.555556,0,3,2,'0'
5,0,14,14,14,4,0.633333,398,2,0.323077,5,29.230769,8,'1'
1,0,8,6,7,8,0.678571,160,2,0.234375,0,18.5,6,'0'
7,0,4,3,4,3,1,176,0,0.666667,0,57.333333,1,'1'
1,0,26,73,19,12,0.785714,736,3,0.247619,0,47.666667,13,'1'
3,0,5,4,4,4,0.875,50,0,0.5,1,8.2,1,'0'
2,0,11,3,10,1,1,101,0,0.444444,1,32.333333,6,'0'
1,2,23,106,2,15,0.8,128,0,0.205357,0,6.875,3,'0'
2,0,6,9,5,3,0.8,305,0,0.305556,0,49.166667,8,'1'
8,0,10,15,10,4,2,144,0,0.333333,7,23,5,'0'
6,0,6,28,5,1,0.392344,645,2,0.5,3,51.166667,5,'1'
7,0,24,69,24,8,0.869231,708,2,0.174603,0,48.857143,9,'1'
2,0,5,3,5,4,0.771429,230,0,0.722222,3,36.166667,7,'1'
1,0,5,3,1,3,2,3,0,0.444444,0,0,1,'0'
2,0,4,1,3,1,2,6,0,0.75,0,2,1,'0'
1,0,45,378,2,24,2,950,0,0.183673,0,32.928571,14,'1'
2,0,4,1,3,0,0.5,106,0,0.444444,2,34,11,'0'
2,0,1,1,1,2,0.6,141,0,0.47619,2,22.166667,3,'0'
1,0,5,0,4,4,0.666667,416,1,0.265306,0,57.142857,14,'1'
7,0,5,2,4,4,0.642857,380,0,0.4,0,73.6,6,'0'
2,0,5,2,4,4,0.5625,199,0,0.466667,7,38,8,'1'
3,0,102,6941,40,90,0.952558,5047,7,0.068783,1,38.714286,25,'1'
7,0,12,47,11,3,0.808036,1186,3,0.283333,1,77,7,'1'
1,0,24,3,0,3,1.5,4,0,0.833333,0,0,1,'0'
4,0,16,0,0,1,2,5,0,1,0,4,0,'0'
1,0,10,17,3,8,0.622222,299,0,0.35,0,28.4,10,'0'
1,0,6,78,0,13,2,13,0,0.430769,0,0,1,'0'
1,0,6,0,0,0,2,21,1,1,0,15,0,'0'
5,0,4,1,3,2,0.5,138,0,0.5,0,44.666667,2,'0'
6,0,11,50,10,1,0.816667,361,1,0.24359,12,26.384615,5,'0'
7,0,8,9,8,3,0.8,311,0,0.388889,0,50.333333,1,'0'
7,6,8,0,2,1,2,93,0,1,0,92,0,'0'
1,0,12,1,0,2,2,3,0,1,0,0,1,'0'
1,0,2,4,2,3,0.666667,58,0,0.333333,0,13.25,4,'0'
5,0,5,0,5,2,0.4,129,1,0.277778,0,20,1,'1'
2,0,11,1,10,2,0.875,134,2,0.555556,3,42.333333,1,'0'
6,0,13,46,9,1,0.785714,438,0,0.333333,4,32.153846,9,'1'
2,0,7,1,5,2,1,22,0,0.625,1,9.5,1,'0'
2,0,4,15,4,6,2,93,0,0.5,3,14.5,2,'1'
2,0,8,37,4,11,0.760684,324,1,0.22449,0,21.5,8,'1'
2,0,16,10,14,1,1.142857,256,0,0.72,0,48.8,1,'0'
1,0,12,47,10,9,0.773109,730,0,0.104575,0,39.166667,16,'0'
2,0,4,1,1,1,1,10,0,0.75,0,3.5,1,'0'
2,0,10,21,10,3,0.828571,1272,3,0.236364,0,113.363636,17,'1'
1,2,9,6,7,8,0.375,174,0,0.296296,0,18.222222,6,'0'
6,0,5,3,2,1,2,71,0,0.444444,0,22.666667,2,'0'
1,2,15,23,1,7,0.777778,80,0,0.4,0,6.6,1,'1'
1,0,4,0,0,2,1.8,48,2,0.666667,0,13,1,'1'
4,0,15,462,8,39,0.899522,1143,3,0.136752,18,23.977778,12,'1'
2,0,11,3,7,2,2,79,0,0.533333,1,25.333333,1,'0'
1,0,10,0,0,4,0.666667,28,0,0.5,0,5.25,1,'0'
1,0,8,0,2,3,0.65,57,1,0.416667,0,7.833333,2,'1'
2,0,34,928,25,26,0.93007,2533,2,0.231061,2,55,9,'0'
3,0,3,0,2,1,2,5,0,1,0,4,0,'0'
2,0,4,3,3,0,1.0625,288,0,0.285714,2,44.333333,25,'0'
3,0,4,8,4,5,0.375,173,2,0.366667,3,32.4,7,'0'
3,0,4,0,2,1,2,5,0,1,0,4,0,'0'
2,0,4,4,3,0,0.666667,55,0,0.375,2,12.25,6,'0'
1,1,44,1139,18,35,0.949091,1644,4,0.111765,0,30.803922,6,'0'
1,0,12,0,0,0,2,617,0,0,0,496,0,'0'
3,0,4,0,2,1,2,5,0,1,0,4,0,'0'
1,0,2,0,1,3,0,63,0,0.666667,0,14.25,2,'0'
6,0,14,94,9,8,0.898438,334,1,0.213235,6,18.176471,5,'1'
2,0,4,0,3,0,0.75,151,0,0.444444,2,48,18,'0'
6,0,7,5,6,1,0.833333,229,2,0.333333,0,36.166667,1,'0'
2,0,9,1,6,1,1,30,0,0.666667,2,8,1,'0'
1,0,6,6075,1,27,0.921126,5223,1,0.138067,0,42.483051,9,'0'
1,0,39,159,13,16,0.858586,300,3,0.103896,0,11.652174,9,'1'
1,0,5,0,2,9,0.5,111,0,0.259259,0,11.111111,3,'0'
1,0,3,0,1,0,0.436364,218,0,0.395833,0,16.75,3,'0'
1,0,1,10,0,5,2,206,0,0.3,0,40.2,6,'0'
1,0,2,1,0,0,1,16,0,0.75,0,6,0,'0'
1,0,5,6,0,4,2,4,0,1,0,0,1,'0'
2,0,5,0,3,0,0.375,127,0,0.3,2,24,4,'0'
1,3,4,15,1,6,2,49,0,0.416667,0,7.166667,2,'0'
7,0,9,40,8,2,0.943182,687,1,0.222222,3,54.916667,5,'1'
2,0,16,15,13,6,2,280,0,0.229167,1,45.666667,1,'0'
1,6,8,91,2,14,2,38,0,0.414286,0,1.714286,1,'0'
3,0,6,4,4,4,0.833333,47,0,0.5,1,7.8,1,'0'
7,0,6,13,4,3,0.8,55,0,0.25,0,8,1,'1'
8,0,9,0,9,1,2,111,0,1,0,110,0,'0'
2,0,11,6,10,1,0.625,204,0,0.433333,1,39.4,1,'0'
2,0,9,1,8,1,1,28,0,0.625,1,12.5,1,'0'
2,0,4,0,3,0,0.5,77,0,0.444444,2,24,5,'0'
1,0,11,0,8,0,0.5,155,0,0.466667,0,29.4,5,'1'
1,0,2,0,1,3,0,59,0,0.666667,0,13.25,3,'0'
4,0,18,13,5,11,0.1,171,0,0.545455,2,14.454545,2,'0'
1,0,3,0,1,3,0.53125,251,0,0.6,0,47.6,10,'0'
2,0,18,28,17,1,2,271,0,0.363636,1,32.875,1,'0'
2,0,12,1,11,1,2,63,0,0.625,1,30.5,1,'0'
2,0,6,0,2,3,0,34,0,0.666667,1,10,1,'0'
2,0,8,1,6,1,1,19,0,0.666667,0,8,1,'0'
2,0,7,1,6,1,2,28,0,0.625,1,13,1,'0'
1,0,13,0,10,4,0.555556,301,2,0.357143,0,73.5,2,'0'
5,0,5,3,4,3,2,55,0,1,0,17.333333,1,'0'
1,0,1,0,0,0,2,6,0,1,0,3,0,'0'
2,0,12,198,9,19,0.94,981,0,0.375,4,45.47619,16,'1'
7,0,5,9,4,4,0.611111,210,1,0.3,13,28.142857,8,'1'
1,0,162,4043,48,67,0.915102,4367,7,0.059418,0,42.858586,56,'1'
3,0,3,0,2,1,2,5,0,1,0,4,0,'0'
2,0,16,19,8,6,0.333333,53,0,0.457143,1,6.428571,1,'0'
2,0,4,13,3,5,0.95,126,0,0.541667,3,19.333333,4,'0'
1,0,11,0,9,3,0.611111,145,3,0.583333,0,33.75,3,'1'
2,0,14,3,14,2,0.72,252,3,0.305556,1,40.166667,10,'1'
2,0,4,3,2,2,2,40,0,0.583333,0,12.333333,2,'0'
2,1,13,48,10,14,0.780952,443,2,0.241071,0,26.25,14,'1'
1,0,2,1,1,2,2,2,0,0.75,0,0,1,'0'
1,0,9,0,2,0,0,82,0,0.466667,0,15.2,4,'0'
3,0,1,4,0,4,1,82,0,0.35,2,18.5,1,'0'
1,0,39,0,2,11,0,135,0,0.484848,0,11.181818,2,'0'
5,0,17,54,12,9,0.875,303,1,0.261538,12,21.846154,10,'1'
